"plh0206i06","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"5 on scale 1-7","2006","Urban Area","West Germany","","","",""
"5 on scale 1-7","2006","Urban Area","East Germany","","","",""
"5 on scale 1-7","2006","Rural Area","West Germany","","","",""
"5 on scale 1-7","2006","Rural Area","East Germany","","","",""
"6 on scale 1-7","2006","Urban Area","West Germany","","","",""
"6 on scale 1-7","2006","Urban Area","East Germany","","","",""
"6 on scale 1-7","2006","Rural Area","West Germany","","","",""
"6 on scale 1-7","2006","Rural Area","East Germany","","","",""
"7 Strongly agree","2006","Urban Area","West Germany","","","",""
"7 Strongly agree","2006","Urban Area","East Germany","","","",""
"7 Strongly agree","2006","Rural Area","West Germany","","","",""
"7 Strongly agree","2006","Rural Area","East Germany","","","",""
"1 Strongly disagree","2007","Urban Area","West Germany","","","",""
"1 Strongly disagree","2007","Urban Area","East Germany","","","",""
"1 Strongly disagree","2007","Rural Area","West Germany","","","",""
"1 Strongly disagree","2007","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2007","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2007","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2007","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2007","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2007","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2007","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2007","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2007","Rural Area","East Germany","","","",""
"4 on scale 1-7","2007","Urban Area","West Germany","","","",""
"4 on scale 1-7","2007","Urban Area","East Germany","","","",""
"4 on scale 1-7","2007","Rural Area","West Germany","","","",""
"4 on scale 1-7","2007","Rural Area","East Germany","","","",""
"5 on scale 1-7","2007","Urban Area","West Germany","","","",""
"5 on scale 1-7","2007","Urban Area","East Germany","","","",""
"5 on scale 1-7","2007","Rural Area","West Germany","","","",""
"5 on scale 1-7","2007","Rural Area","East Germany","","","",""
"6 on scale 1-7","2007","Urban Area","West Germany","","","",""
"6 on scale 1-7","2007","Urban Area","East Germany","","","",""
"6 on scale 1-7","2007","Rural Area","West Germany","","","",""
"6 on scale 1-7","2007","Rural Area","East Germany","","","",""
"7 Strongly agree","2007","Urban Area","West Germany","","","",""
"7 Strongly agree","2007","Urban Area","East Germany","","","",""
"7 Strongly agree","2007","Rural Area","West Germany","","","",""
"7 Strongly agree","2007","Rural Area","East Germany","","","",""
"1 Strongly disagree","2008","Urban Area","West Germany","","","",""
"1 Strongly disagree","2008","Urban Area","East Germany","","","",""
"1 Strongly disagree","2008","Rural Area","West Germany","","","",""
"1 Strongly disagree","2008","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2008","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2008","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2008","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2008","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2008","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2008","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2008","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2008","Rural Area","East Germany","","","",""
"4 on scale 1-7","2008","Urban Area","West Germany","","","",""
"4 on scale 1-7","2008","Urban Area","East Germany","","","",""
"4 on scale 1-7","2008","Rural Area","West Germany","","","",""
"4 on scale 1-7","2008","Rural Area","East Germany","","","",""
"5 on scale 1-7","2008","Urban Area","West Germany","","","",""
"5 on scale 1-7","2008","Urban Area","East Germany","","","",""
"5 on scale 1-7","2008","Rural Area","West Germany","","","",""
"5 on scale 1-7","2008","Rural Area","East Germany","","","",""
"6 on scale 1-7","2008","Urban Area","West Germany","","","",""
"6 on scale 1-7","2008","Urban Area","East Germany","","","",""
"6 on scale 1-7","2008","Rural Area","West Germany","","","",""
"6 on scale 1-7","2008","Rural Area","East Germany","","","",""
"7 Strongly agree","2008","Urban Area","West Germany","","","",""
"7 Strongly agree","2008","Urban Area","East Germany","","","",""
"7 Strongly agree","2008","Rural Area","West Germany","","","",""
"7 Strongly agree","2008","Rural Area","East Germany","","","",""
"1 Strongly disagree","2009","Urban Area","West Germany","","","",""
"1 Strongly disagree","2009","Urban Area","East Germany","","","",""
"1 Strongly disagree","2009","Rural Area","West Germany","","","",""
"1 Strongly disagree","2009","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2009","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2009","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2009","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2009","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2009","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2009","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2009","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2009","Rural Area","East Germany","","","",""
"4 on scale 1-7","2009","Urban Area","West Germany","","","",""
"4 on scale 1-7","2009","Urban Area","East Germany","","","",""
"4 on scale 1-7","2009","Rural Area","West Germany","","","",""
"4 on scale 1-7","2009","Rural Area","East Germany","","","",""
"5 on scale 1-7","2009","Urban Area","West Germany","","","",""
"5 on scale 1-7","2009","Urban Area","East Germany","","","",""
"5 on scale 1-7","2009","Rural Area","West Germany","","","",""
"5 on scale 1-7","2009","Rural Area","East Germany","","","",""
"6 on scale 1-7","2009","Urban Area","West Germany","","","",""
"6 on scale 1-7","2009","Urban Area","East Germany","","","",""
"6 on scale 1-7","2009","Rural Area","West Germany","","","",""
"6 on scale 1-7","2009","Rural Area","East Germany","","","",""
"7 Strongly agree","2009","Urban Area","West Germany","","","",""
"7 Strongly agree","2009","Urban Area","East Germany","","","",""
"7 Strongly agree","2009","Rural Area","West Germany","","","",""
"7 Strongly agree","2009","Rural Area","East Germany","","","",""
"1 Strongly disagree","2010","Urban Area","West Germany","259","0.0283062896043142","0.0249802314593389","0.0316323477492894"
"1 Strongly disagree","2010","Urban Area","East Germany","26","","",""
"1 Strongly disagree","2010","Rural Area","West Germany","67","0.0240852873534353","0.0185659004326562","0.0296046742742145"
"1 Strongly disagree","2010","Rural Area","East Germany","73","0.0292893453332626","0.0229043370535708","0.0356743536129545"
"2 on scale 1-7 ","2010","Urban Area","West Germany","343","0.0322710978787355","0.028726986231132","0.035815209526339"
"2 on scale 1-7 ","2010","Urban Area","East Germany","43","0.0324343061157779","0.0233161583423396","0.0415524538892162"
"2 on scale 1-7 ","2010","Rural Area","West Germany","91","0.0284982049315637","0.0225080294160466","0.0344883804470808"
"2 on scale 1-7 ","2010","Rural Area","East Germany","93","0.0325333740632084","0.0258153077911575","0.0392514403352592"
"3 on scale 1-7 ","2010","Urban Area","West Germany","628","0.068083334793703","0.0630316921876767","0.0731349773997293"
"3 on scale 1-7 ","2010","Urban Area","East Germany","78","0.0632432183887445","0.0507151390760231","0.0757712977014658"
"3 on scale 1-7 ","2010","Rural Area","West Germany","190","0.0629274808010634","0.0541853808982895","0.0716695807038373"
"3 on scale 1-7 ","2010","Rural Area","East Germany","181","0.0674409449689795","0.0579444852735185","0.0769374046644406"
"4 on scale 1-7","2010","Urban Area","West Germany","1444","0.15550337874354","0.148235753219147","0.162771004267933"
"4 on scale 1-7","2010","Urban Area","East Germany","260","0.179914804802507","0.160143878066639","0.199685731538375"
"4 on scale 1-7","2010","Rural Area","West Germany","543","0.199887980519639","0.185490790761448","0.21428517027783"
"4 on scale 1-7","2010","Rural Area","East Germany","422","0.147891241259321","0.134448727925797","0.161333754592846"
"5 on scale 1-7","2010","Urban Area","West Germany","2181","0.221915748547115","0.213582179407509","0.230249317686721"
"5 on scale 1-7","2010","Urban Area","East Germany","330","0.193857484207911","0.173509973333019","0.214204995082803"
"5 on scale 1-7","2010","Rural Area","West Germany","721","0.232345828241375","0.217141780027208","0.247549876455543"
"5 on scale 1-7","2010","Rural Area","East Germany","631","0.230735516157501","0.214781985927525","0.246689046387477"
"6 on scale 1-7","2010","Urban Area","West Germany","2656","0.267775271105931","0.25889490034374","0.276655641868122"
"6 on scale 1-7","2010","Urban Area","East Germany","435","0.303054158555073","0.279399116234975","0.32670920087517"
"6 on scale 1-7","2010","Rural Area","West Germany","807","0.257767046387053","0.242020228492195","0.273513864281912"
"6 on scale 1-7","2010","Rural Area","East Germany","750","0.26323211421481","0.246555936526735","0.279908291902884"
"7 Strongly agree","2010","Urban Area","West Germany","2040","0.226144879326661","0.217755170702063","0.23453458795126"
"7 Strongly agree","2010","Urban Area","East Germany","278","0.20414371513827","0.183396996267434","0.224890434009107"
"7 Strongly agree","2010","Rural Area","West Germany","545","0.19448817176587","0.180238936754122","0.208737406777618"
"7 Strongly agree","2010","Rural Area","East Germany","529","0.228877464002918","0.212969120925039","0.244785807080796"
"1 Strongly disagree","2011","Urban Area","West Germany","","","",""
"1 Strongly disagree","2011","Urban Area","East Germany","","","",""
"1 Strongly disagree","2011","Rural Area","West Germany","","","",""
"1 Strongly disagree","2011","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2011","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2011","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2011","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2011","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2011","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2011","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2011","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2011","Rural Area","East Germany","","","",""
"4 on scale 1-7","2011","Urban Area","West Germany","","","",""
"4 on scale 1-7","2011","Urban Area","East Germany","","","",""
"4 on scale 1-7","2011","Rural Area","West Germany","","","",""
"4 on scale 1-7","2011","Rural Area","East Germany","","","",""
"5 on scale 1-7","2011","Urban Area","West Germany","","","",""
"5 on scale 1-7","2011","Urban Area","East Germany","","","",""
"5 on scale 1-7","2011","Rural Area","West Germany","","","",""
"5 on scale 1-7","2011","Rural Area","East Germany","","","",""
"6 on scale 1-7","2011","Urban Area","West Germany","","","",""
"6 on scale 1-7","2011","Urban Area","East Germany","","","",""
"6 on scale 1-7","2011","Rural Area","West Germany","","","",""
"6 on scale 1-7","2011","Rural Area","East Germany","","","",""
"7 Strongly agree","2011","Urban Area","West Germany","","","",""
"7 Strongly agree","2011","Urban Area","East Germany","","","",""
"7 Strongly agree","2011","Rural Area","West Germany","","","",""
"7 Strongly agree","2011","Rural Area","East Germany","","","",""
"1 Strongly disagree","2012","Urban Area","West Germany","","","",""
"1 Strongly disagree","2012","Urban Area","East Germany","","","",""
"1 Strongly disagree","2012","Rural Area","West Germany","","","",""
"1 Strongly disagree","2012","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2012","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2012","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2012","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2012","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2012","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2012","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2012","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2012","Rural Area","East Germany","","","",""
"4 on scale 1-7","2012","Urban Area","West Germany","","","",""
"4 on scale 1-7","2012","Urban Area","East Germany","","","",""
"4 on scale 1-7","2012","Rural Area","West Germany","","","",""
"4 on scale 1-7","2012","Rural Area","East Germany","","","",""
"5 on scale 1-7","2012","Urban Area","West Germany","","","",""
"5 on scale 1-7","2012","Urban Area","East Germany","","","",""
"5 on scale 1-7","2012","Rural Area","West Germany","","","",""
"5 on scale 1-7","2012","Rural Area","East Germany","","","",""
"6 on scale 1-7","2012","Urban Area","West Germany","","","",""
"6 on scale 1-7","2012","Urban Area","East Germany","","","",""
"6 on scale 1-7","2012","Rural Area","West Germany","","","",""
"6 on scale 1-7","2012","Rural Area","East Germany","","","",""
"7 Strongly agree","2012","Urban Area","West Germany","","","",""
"7 Strongly agree","2012","Urban Area","East Germany","","","",""
"7 Strongly agree","2012","Rural Area","West Germany","","","",""
"7 Strongly agree","2012","Rural Area","East Germany","","","",""
"1 Strongly disagree","2013","Urban Area","West Germany","","","",""
"1 Strongly disagree","2013","Urban Area","East Germany","","","",""
"1 Strongly disagree","2013","Rural Area","West Germany","","","",""
"1 Strongly disagree","2013","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2013","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2013","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2013","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2013","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2013","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2013","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2013","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2013","Rural Area","East Germany","","","",""
"4 on scale 1-7","2013","Urban Area","West Germany","","","",""
"4 on scale 1-7","2013","Urban Area","East Germany","","","",""
"4 on scale 1-7","2013","Rural Area","West Germany","","","",""
"4 on scale 1-7","2013","Rural Area","East Germany","","","",""
"5 on scale 1-7","2013","Urban Area","West Germany","","","",""
"5 on scale 1-7","2013","Urban Area","East Germany","","","",""
"5 on scale 1-7","2013","Rural Area","West Germany","","","",""
"5 on scale 1-7","2013","Rural Area","East Germany","","","",""
"6 on scale 1-7","2013","Urban Area","West Germany","","","",""
"6 on scale 1-7","2013","Urban Area","East Germany","","","",""
"6 on scale 1-7","2013","Rural Area","West Germany","","","",""
"6 on scale 1-7","2013","Rural Area","East Germany","","","",""
"7 Strongly agree","2013","Urban Area","West Germany","","","",""
"7 Strongly agree","2013","Urban Area","East Germany","","","",""
"7 Strongly agree","2013","Rural Area","West Germany","","","",""
"7 Strongly agree","2013","Rural Area","East Germany","","","",""
"1 Strongly disagree","2014","Urban Area","West Germany","","","",""
"1 Strongly disagree","2014","Urban Area","East Germany","","","",""
"1 Strongly disagree","2014","Rural Area","West Germany","","","",""
"1 Strongly disagree","2014","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2014","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2014","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2014","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2014","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2014","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2014","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2014","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2014","Rural Area","East Germany","","","",""
"4 on scale 1-7","2014","Urban Area","West Germany","","","",""
"4 on scale 1-7","2014","Urban Area","East Germany","","","",""
"4 on scale 1-7","2014","Rural Area","West Germany","","","",""
"4 on scale 1-7","2014","Rural Area","East Germany","","","",""
"5 on scale 1-7","2014","Urban Area","West Germany","","","",""
"5 on scale 1-7","2014","Urban Area","East Germany","","","",""
"5 on scale 1-7","2014","Rural Area","West Germany","","","",""
"5 on scale 1-7","2014","Rural Area","East Germany","","","",""
"6 on scale 1-7","2014","Urban Area","West Germany","","","",""
"6 on scale 1-7","2014","Urban Area","East Germany","","","",""
"6 on scale 1-7","2014","Rural Area","West Germany","","","",""
"6 on scale 1-7","2014","Rural Area","East Germany","","","",""
"7 Strongly agree","2014","Urban Area","West Germany","","","",""
"7 Strongly agree","2014","Urban Area","East Germany","","","",""
"7 Strongly agree","2014","Rural Area","West Germany","","","",""
"7 Strongly agree","2014","Rural Area","East Germany","","","",""
"1 Strongly disagree","2015","Urban Area","West Germany","375","0.026624864515065","0.0240928035555022","0.0291569254746277"
"1 Strongly disagree","2015","Urban Area","East Germany","51","0.0260514341212934","0.0190964779897714","0.0330063902528153"
"1 Strongly disagree","2015","Rural Area","West Germany","155","0.0236012982668929","0.0196600816436459","0.0275425148901398"
"1 Strongly disagree","2015","Rural Area","East Germany","110","0.0319891063851705","0.0260863139896391","0.0378918987807019"
"2 on scale 1-7 ","2015","Urban Area","West Germany","490","0.0336069576312719","0.0307724226153781","0.0364414926471657"
"2 on scale 1-7 ","2015","Urban Area","East Germany","63","0.0326089993006668","0.0248540257131189","0.0403639728882147"
"2 on scale 1-7 ","2015","Rural Area","West Germany","182","0.0317976073049367","0.0272421806450358","0.0363530339648376"
"2 on scale 1-7 ","2015","Rural Area","East Germany","120","0.0351879349515345","0.0290072787635357","0.0413685911395333"
"3 on scale 1-7 ","2015","Urban Area","West Germany","832","0.0527496176348833","0.0492337510848697","0.0562654841848969"
"3 on scale 1-7 ","2015","Urban Area","East Germany","104","0.0482859645134096","0.0389259987908935","0.0576459302359257"
"3 on scale 1-7 ","2015","Rural Area","West Germany","316","0.061025952265237","0.0548110709481794","0.0672408335822946"
"3 on scale 1-7 ","2015","Rural Area","East Germany","184","0.0494266248152161","0.0421557003488099","0.0566975492816224"
"4 on scale 1-7","2015","Urban Area","West Germany","2269","0.140960262455168","0.135487012191714","0.146433512718621"
"4 on scale 1-7","2015","Urban Area","East Germany","280","0.171489173553627","0.155031137346935","0.187947209760318"
"4 on scale 1-7","2015","Rural Area","West Germany","833","0.147424497923572","0.138220001867715","0.156628993979428"
"4 on scale 1-7","2015","Rural Area","East Germany","563","0.165881201190608","0.153403664000709","0.178358738380507"
"5 on scale 1-7","2015","Urban Area","West Germany","3306","0.223955394080123","0.217398254391234","0.230512533769011"
"5 on scale 1-7","2015","Urban Area","East Germany","446","0.204515810555481","0.186904576627152","0.22212704448381"
"5 on scale 1-7","2015","Rural Area","West Germany","1278","0.230092104756663","0.219164650238548","0.241019559274777"
"5 on scale 1-7","2015","Rural Area","East Germany","787","0.217922765652433","0.20407459344171","0.231770937863156"
"6 on scale 1-7","2015","Urban Area","West Germany","4339","0.282403401373726","0.275322876102167","0.289483926645284"
"6 on scale 1-7","2015","Urban Area","East Germany","621","0.31433795769669","0.294067477671954","0.334608437721425"
"6 on scale 1-7","2015","Rural Area","West Germany","1569","0.273785265520305","0.262208524271124","0.285362006769486"
"6 on scale 1-7","2015","Rural Area","East Germany","959","0.27528083536979","0.26029816604855","0.29026350469103"
"7 Strongly agree","2015","Urban Area","West Germany","3917","0.239699502309764","0.232984958166093","0.246414046453435"
"7 Strongly agree","2015","Urban Area","East Germany","450","0.202710660258833","0.185157438539298","0.220263881978368"
"7 Strongly agree","2015","Rural Area","West Germany","1366","0.232273273962393","0.221309711051042","0.243236836873745"
"7 Strongly agree","2015","Rural Area","East Germany","691","0.224311531635248","0.210319338194234","0.238303725076262"
"1 Strongly disagree","2016","Urban Area","West Germany","27","","",""
"1 Strongly disagree","2016","Urban Area","East Germany","4","","",""
"1 Strongly disagree","2016","Rural Area","West Germany","14","","",""
"1 Strongly disagree","2016","Rural Area","East Germany","4","","",""
"2 on scale 1-7 ","2016","Urban Area","West Germany","25","","",""
"2 on scale 1-7 ","2016","Urban Area","East Germany","1","","",""
"2 on scale 1-7 ","2016","Rural Area","West Germany","5","","",""
"2 on scale 1-7 ","2016","Rural Area","East Germany","4","","",""
"3 on scale 1-7 ","2016","Urban Area","West Germany","25","","",""
"3 on scale 1-7 ","2016","Urban Area","East Germany","2","","",""
"3 on scale 1-7 ","2016","Rural Area","West Germany","10","","",""
"3 on scale 1-7 ","2016","Rural Area","East Germany","3","","",""
"4 on scale 1-7","2016","Urban Area","West Germany","126","0.142857661580856","0.129712005293342","0.15600331786837"
"4 on scale 1-7","2016","Urban Area","East Germany","7","","",""
"4 on scale 1-7","2016","Rural Area","West Germany","32","0.0811336880963988","0.0632356220888421","0.0990317541039555"
"4 on scale 1-7","2016","Rural Area","East Germany","17","","",""
"5 on scale 1-7","2016","Urban Area","West Germany","227","0.118437785342398","0.106298988215861","0.130576582468936"
"5 on scale 1-7","2016","Urban Area","East Germany","23","","",""
"5 on scale 1-7","2016","Rural Area","West Germany","69","0.0676943678773482","0.0512265993402278","0.0841621364144687"
"5 on scale 1-7","2016","Rural Area","East Germany","20","","",""
"6 on scale 1-7","2016","Urban Area","West Germany","383","0.162899429678762","0.149026996824599","0.176771862532924"
"6 on scale 1-7","2016","Urban Area","East Germany","32","0.219849972163491","0.171852612651951","0.267847331675031"
"6 on scale 1-7","2016","Rural Area","West Germany","98","0.132066333932972","0.109873198675798","0.154259469190146"
"6 on scale 1-7","2016","Rural Area","East Germany","44","0.108280614962","0.0793448019928081","0.137216427931192"
"7 Strongly agree","2016","Urban Area","West Germany","1909","0.509827281391085","0.491047517216838","0.528607045565332"
"7 Strongly agree","2016","Urban Area","East Germany","217","0.664918023044876","0.610213320429785","0.719622725659968"
"7 Strongly agree","2016","Rural Area","West Germany","666","0.678334107318135","0.647714214537546","0.708954000098724"
"7 Strongly agree","2016","Rural Area","East Germany","351","0.736947156676677","0.695946963598055","0.777947349755299"
"1 Strongly disagree","2017","Urban Area","West Germany","17","","",""
"1 Strongly disagree","2017","Urban Area","East Germany","1","","",""
"1 Strongly disagree","2017","Rural Area","West Germany","19","","",""
"1 Strongly disagree","2017","Rural Area","East Germany","1","","",""
"2 on scale 1-7 ","2017","Urban Area","West Germany","13","","",""
"2 on scale 1-7 ","2017","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2017","Rural Area","West Germany","5","","",""
"2 on scale 1-7 ","2017","Rural Area","East Germany","2","","",""
"3 on scale 1-7 ","2017","Urban Area","West Germany","20","","",""
"3 on scale 1-7 ","2017","Urban Area","East Germany","3","","",""
"3 on scale 1-7 ","2017","Rural Area","West Germany","7","","",""
"3 on scale 1-7 ","2017","Rural Area","East Germany","","","",""
"4 on scale 1-7","2017","Urban Area","West Germany","86","0.0513754644425139","0.0415795605994678","0.0611713682855601"
"4 on scale 1-7","2017","Urban Area","East Germany","8","","",""
"4 on scale 1-7","2017","Rural Area","West Germany","25","","",""
"4 on scale 1-7","2017","Rural Area","East Germany","8","","",""
"5 on scale 1-7","2017","Urban Area","West Germany","188","0.101507414336588","0.0881067728706669","0.114908055802509"
"5 on scale 1-7","2017","Urban Area","East Germany","13","","",""
"5 on scale 1-7","2017","Rural Area","West Germany","41","0.0708661510984912","0.0509080236183856","0.0908242785785967"
"5 on scale 1-7","2017","Rural Area","East Germany","9","","",""
"6 on scale 1-7","2017","Urban Area","West Germany","249","0.142227353499578","0.126728587645457","0.1577261193537"
"6 on scale 1-7","2017","Urban Area","East Germany","8","","",""
"6 on scale 1-7","2017","Rural Area","West Germany","63","0.0926404984515905","0.0700902482112372","0.115190748691944"
"6 on scale 1-7","2017","Rural Area","East Germany","7","","",""
"7 Strongly agree","2017","Urban Area","West Germany","1378","0.675607548386204","0.654834411980963","0.696380684791444"
"7 Strongly agree","2017","Urban Area","East Germany","98","0.674796580471625","0.594577730507099","0.75501543043615"
"7 Strongly agree","2017","Rural Area","West Germany","475","0.723824438608217","0.689049171682425","0.758599705534009"
"7 Strongly agree","2017","Rural Area","East Germany","105","0.801162685500903","0.733074709145064","0.869250661856743"
"1 Strongly disagree","2018","Urban Area","West Germany","5","","",""
"1 Strongly disagree","2018","Urban Area","East Germany","1","","",""
"1 Strongly disagree","2018","Rural Area","West Germany","1","","",""
"1 Strongly disagree","2018","Rural Area","East Germany","1","","",""
"2 on scale 1-7 ","2018","Urban Area","West Germany","5","","",""
"2 on scale 1-7 ","2018","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2018","Rural Area","West Germany","1","","",""
"2 on scale 1-7 ","2018","Rural Area","East Germany","1","","",""
"3 on scale 1-7 ","2018","Urban Area","West Germany","1","","",""
"3 on scale 1-7 ","2018","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2018","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2018","Rural Area","East Germany","","","",""
