"plh0206i06","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"3 on scale 1-7 ","2005","indirect migration background","higher education","3","","","","3"
"3 on scale 1-7 ","2005","direct migration background","middle vocational","52","0.0507200439509193","0.0361310558911876","0.0653090320106511","3"
"3 on scale 1-7 ","2005","direct migration background","vocational + Abi","9","","","","3"
"3 on scale 1-7 ","2005","direct migration background","higher vocational","6","","","","3"
"3 on scale 1-7 ","2005","no migration background","in school","42","0.0833468731398178","0.0591434721580221","0.107550274121613","3"
"3 on scale 1-7 ","2005","no migration background","inadequately","5","","","","3"
"3 on scale 1-7 ","2005","no migration background","general elemantary","111","0.0697271982094283","0.0574159112675363","0.0820384851513203","3"
"3 on scale 1-7 ","2005","no migration background","middle vocational","533","0.0607951397198717","0.0558685029259422","0.0657217765138013","3"
"3 on scale 1-7 ","2005","no migration background","vocational + Abi","47","0.0570545684923387","0.0416241849427785","0.072484952041899","3"
"3 on scale 1-7 ","2005","no migration background","higher vocational","72","0.0463897339329265","0.0353047925556437","0.0574746753102093","3"
"3 on scale 1-7 ","2005","no migration background","higher education","159","0.040675633082962","0.0343565967088449","0.0469946694570792","3"
"4 on scale 1-7","2005","no migration background","inadequately","11","","","","4"
"4 on scale 1-7","2005","indirect migration background","in school","24","","","","4"
"4 on scale 1-7","2005","no migration background","in school","97","0.187156472875356","0.153002979658182","0.22130996609253","4"
"4 on scale 1-7","2005","direct migration background","higher education","44","0.171560661058661","0.131488031220623","0.2116332908967","4"
"4 on scale 1-7","2005","no migration background","general elemantary","321","0.185873921484525","0.167069834630984","0.204678008338065","4"
"4 on scale 1-7","2005","direct migration background","in school","6","","","","4"
"4 on scale 1-7","2005","direct migration background","vocational + Abi","42","0.235298653822202","0.17859846441169","0.291998843232714","4"
"4 on scale 1-7","2005","direct migration background","higher vocational","20","","","","4"
"4 on scale 1-7","2005","indirect migration background","inadequately","1","","","","4"
"4 on scale 1-7","2005","indirect migration background","general elemantary","31","0.167660185550325","0.113387951028505","0.221932420072144","4"
"4 on scale 1-7","2005","indirect migration background","middle vocational","60","0.18500363612325","0.143484680559522","0.226522591686978","4"
"4 on scale 1-7","2005","indirect migration background","vocational + Abi","6","","","","4"
"4 on scale 1-7","2005","indirect migration background","higher vocational","13","","","","4"
"4 on scale 1-7","2005","indirect migration background","higher education","9","","","","4"
"4 on scale 1-7","2005","direct migration background","inadequately","37","0.194698683524061","0.129799268193946","0.259598098854175","4"
"4 on scale 1-7","2005","direct migration background","general elemantary","80","0.166434176125629","0.135584878327775","0.197283473923484","4"
"4 on scale 1-7","2005","direct migration background","middle vocational","128","0.164929765945394","0.140255216801993","0.189604315088795","4"
"4 on scale 1-7","2005","no migration background","middle vocational","1497","0.164147571736401","0.15651065623501","0.171784487237792","4"
"4 on scale 1-7","2005","no migration background","vocational + Abi","141","0.155992506807186","0.131853841769793","0.18013117184458","4"
"4 on scale 1-7","2005","no migration background","higher vocational","217","0.1717561308013","0.15187815123088","0.191634110371721","4"
"4 on scale 1-7","2005","no migration background","higher education","514","0.138880299894429","0.127817806048338","0.149942793740521","4"
"5 on scale 1-7","2005","indirect migration background","general elemantary","34","0.168876995826588","0.114448003271666","0.223305988381511","5"
"5 on scale 1-7","2005","indirect migration background","inadequately","2","","","","5"
"5 on scale 1-7","2005","indirect migration background","in school","24","","","","5"
"5 on scale 1-7","2005","indirect migration background","middle vocational","75","0.249923177425101","0.203628123731236","0.296218231118966","5"
"5 on scale 1-7","2005","indirect migration background","vocational + Abi","10","","","","5"
"5 on scale 1-7","2005","indirect migration background","higher vocational","8","","","","5"
"5 on scale 1-7","2005","indirect migration background","higher education","16","","","","5"
"5 on scale 1-7","2005","no migration background","in school","123","0.213720492314844","0.1778249276438","0.249616056985888","5"
"5 on scale 1-7","2005","no migration background","inadequately","14","","","","5"
"5 on scale 1-7","2005","no migration background","general elemantary","350","0.208278812824148","0.188649465262475","0.227908160385821","5"
"5 on scale 1-7","2005","no migration background","middle vocational","1986","0.217571629470787","0.209064963559789","0.226078295381784","5"
"5 on scale 1-7","2005","no migration background","vocational + Abi","225","0.250401106299994","0.22157932499183","0.279222887608159","5"
"5 on scale 1-7","2005","no migration background","higher vocational","335","0.244623386698673","0.221968194255942","0.267278579141405","5"
"5 on scale 1-7","2005","no migration background","higher education","889","0.232266476816793","0.218758214820569","0.245774738813017","5"
"5 on scale 1-7","2005","direct migration background","in school","10","","","","5"
"5 on scale 1-7","2005","direct migration background","inadequately","24","","","","5"
"5 on scale 1-7","2005","direct migration background","general elemantary","122","0.21933366550461","0.185061665324249","0.253605665684971","5"
"5 on scale 1-7","2005","direct migration background","middle vocational","175","0.176971750349703","0.151597247209143","0.202346253490264","5"
"5 on scale 1-7","2005","direct migration background","vocational + Abi","40","0.188234614418539","0.135983703063918","0.240485525773159","5"
"5 on scale 1-7","2005","direct migration background","higher vocational","27","","","","5"
"5 on scale 1-7","2005","direct migration background","higher education","64","0.194082511533443","0.152044019953896","0.23612100311299","5"
"6 on scale 1-7","2005","indirect migration background","inadequately","2","","","","6"
"6 on scale 1-7","2005","indirect migration background","in school","15","","","","6"
"6 on scale 1-7","2005","indirect migration background","general elemantary","39","0.244823460918024","0.182354661666276","0.307292260169772","6"
"6 on scale 1-7","2005","indirect migration background","middle vocational","82","0.219759945938275","0.175484102533272","0.264035789343278","6"
"6 on scale 1-7","2005","indirect migration background","higher vocational","9","","","","6"
"6 on scale 1-7","2005","indirect migration background","higher education","22","","","","6"
"6 on scale 1-7","2005","indirect migration background","vocational + Abi","13","","","","6"
"6 on scale 1-7","2005","direct migration background","in school","20","","","","6"
"6 on scale 1-7","2005","direct migration background","inadequately","28","","","","6"
"6 on scale 1-7","2005","direct migration background","general elemantary","124","0.192634747381699","0.159971721235944","0.225297773527453","6"
"6 on scale 1-7","2005","direct migration background","middle vocational","199","0.209654174228961","0.182589765625048","0.236718582832874","6"
"6 on scale 1-7","2005","direct migration background","vocational + Abi","60","0.233131410540709","0.176613027092388","0.289649793989031","6"
"6 on scale 1-7","2005","direct migration background","higher vocational","33","0.212623464863966","0.143085960516153","0.28216096921178","6"
"6 on scale 1-7","2005","no migration background","in school","126","0.261442217362386","0.222964497655518","0.299919937069253","6"
"6 on scale 1-7","2005","no migration background","inadequately","9","","","","6"
"6 on scale 1-7","2005","no migration background","general elemantary","350","0.212784258997418","0.193000272003329","0.232568245991506","6"
"6 on scale 1-7","2005","no migration background","middle vocational","2339","0.253499853393101","0.244530941559839","0.262468765226362","6"
"6 on scale 1-7","2005","direct migration background","higher education","95","0.263359106685987","0.216541337647574","0.3101768757244","6"
"6 on scale 1-7","2005","no migration background","higher education","1207","0.316939716388569","0.302055745688554","0.331823687088583","6"
"6 on scale 1-7","2005","no migration background","vocational + Abi","245","0.278659360414953","0.24883334440041","0.308485376429496","6"
"6 on scale 1-7","2005","no migration background","higher vocational","364","0.255654577695864","0.232663938354451","0.278645217037277","6"
"7 Strongly agree","2005","indirect migration background","inadequately","2","","","","7"
"7 Strongly agree","2005","indirect migration background","in school","17","","","","7"
"7 Strongly agree","2005","indirect migration background","general elemantary","55","0.323058550782202","0.255118077061121","0.390999024503284","7"
"7 Strongly agree","2005","indirect migration background","higher vocational","10","","","","7"
"7 Strongly agree","2005","indirect migration background","higher education","17","","","","7"
"7 Strongly agree","2005","indirect migration background","middle vocational","92","0.271872899226941","0.224299409563785","0.319446388890096","7"
"7 Strongly agree","2005","direct migration background","in school","11","","","","7"
"7 Strongly agree","2005","direct migration background","inadequately","37","0.297159954607128","0.222256221484086","0.372063687730169","7"
"7 Strongly agree","2005","indirect migration background","vocational + Abi","12","","","","7"
"7 Strongly agree","2005","direct migration background","general elemantary","163","0.283286283205473","0.245966448730832","0.320606117680114","7"
"7 Strongly agree","2005","direct migration background","middle vocational","265","0.330445597146395","0.299171763424406","0.361719430868383","7"
"7 Strongly agree","2005","direct migration background","vocational + Abi","55","0.286960597898874","0.226496613848646","0.347424581949103","7"
"7 Strongly agree","2005","direct migration background","higher vocational","40","0.321951172889822","0.242546189202658","0.401356156576985","7"
"7 Strongly agree","2005","direct migration background","higher education","112","0.306819624815613","0.257799622304771","0.355839627326455","7"
"7 Strongly agree","2005","no migration background","in school","75","0.170211695829918","0.137303234111737","0.203120157548099","7"
"7 Strongly agree","2005","no migration background","inadequately","23","","","","7"
"7 Strongly agree","2005","no migration background","general elemantary","358","0.22265563704569","0.202545234744543","0.242766039346838","7"
"7 Strongly agree","2005","no migration background","middle vocational","2141","0.241398123443372","0.23257525403493","0.250220992851813","7"
"7 Strongly agree","2005","no migration background","vocational + Abi","174","0.21044062558291","0.183323389777867","0.237557861387953","7"
"7 Strongly agree","2005","no migration background","higher vocational","324","0.2251807470481","0.203166550958675","0.247194943137525","7"
"7 Strongly agree","2005","no migration background","higher education","896","0.243826118136645","0.230090383072667","0.257561853200624","7"
"1 Strongly disagree","2006","direct migration background","general elemantary","","","","","1"
"1 Strongly disagree","2006","direct migration background","middle vocational","","","","","1"
"1 Strongly disagree","2006","direct migration background","vocational + Abi","","","","","1"
"1 Strongly disagree","2006","direct migration background","higher vocational","","","","","1"
"1 Strongly disagree","2006","direct migration background","higher education","","","","","1"
"1 Strongly disagree","2006","indirect migration background","in school","","","","","1"
"1 Strongly disagree","2006","indirect migration background","inadequately","","","","","1"
"1 Strongly disagree","2006","indirect migration background","general elemantary","","","","","1"
"1 Strongly disagree","2006","indirect migration background","middle vocational","","","","","1"
"1 Strongly disagree","2006","indirect migration background","vocational + Abi","","","","","1"
"1 Strongly disagree","2006","indirect migration background","higher vocational","","","","","1"
"1 Strongly disagree","2006","indirect migration background","higher education","","","","","1"
"1 Strongly disagree","2006","no migration background","in school","","","","","1"
"1 Strongly disagree","2006","no migration background","inadequately","","","","","1"
"1 Strongly disagree","2006","no migration background","general elemantary","","","","","1"
"1 Strongly disagree","2006","no migration background","middle vocational","","","","","1"
"1 Strongly disagree","2006","no migration background","vocational + Abi","","","","","1"
"1 Strongly disagree","2006","no migration background","higher vocational","","","","","1"
"1 Strongly disagree","2006","no migration background","higher education","","","","","1"
"1 Strongly disagree","2006","direct migration background","in school","","","","","1"
"1 Strongly disagree","2006","direct migration background","inadequately","","","","","1"
"2 on scale 1-7 ","2006","indirect migration background","inadequately","","","","","2"
"2 on scale 1-7 ","2006","indirect migration background","in school","","","","","2"
"2 on scale 1-7 ","2006","indirect migration background","higher vocational","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","inadequately","","","","","2"
"2 on scale 1-7 ","2006","indirect migration background","higher education","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","middle vocational","","","","","2"
"2 on scale 1-7 ","2006","indirect migration background","general elemantary","","","","","2"
"2 on scale 1-7 ","2006","indirect migration background","middle vocational","","","","","2"
"2 on scale 1-7 ","2006","indirect migration background","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","general elemantary","","","","","2"
"2 on scale 1-7 ","2006","no migration background","inadequately","","","","","2"
"2 on scale 1-7 ","2006","no migration background","general elemantary","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","in school","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","higher vocational","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","higher education","","","","","2"
"2 on scale 1-7 ","2006","no migration background","in school","","","","","2"
"2 on scale 1-7 ","2006","no migration background","middle vocational","","","","","2"
"2 on scale 1-7 ","2006","no migration background","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2006","no migration background","higher vocational","","","","","2"
"2 on scale 1-7 ","2006","no migration background","higher education","","","","","2"
"3 on scale 1-7 ","2006","indirect migration background","in school","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","inadequately","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","general elemantary","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","in school","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","inadequately","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","general elemantary","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","higher vocational","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","higher education","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","middle vocational","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","higher vocational","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","higher education","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","middle vocational","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2006","no migration background","inadequately","","","","","3"
"3 on scale 1-7 ","2006","no migration background","general elemantary","","","","","3"
"3 on scale 1-7 ","2006","no migration background","middle vocational","","","","","3"
"3 on scale 1-7 ","2006","no migration background","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2006","no migration background","higher vocational","","","","","3"
"3 on scale 1-7 ","2006","no migration background","higher education","","","","","3"
"3 on scale 1-7 ","2006","no migration background","in school","","","","","3"
"4 on scale 1-7","2006","direct migration background","higher education","","","","","4"
"4 on scale 1-7","2006","direct migration background","higher vocational","","","","","4"
"4 on scale 1-7","2006","indirect migration background","middle vocational","","","","","4"
"4 on scale 1-7","2006","indirect migration background","in school","","","","","4"
"4 on scale 1-7","2006","indirect migration background","inadequately","","","","","4"
"4 on scale 1-7","2006","indirect migration background","general elemantary","","","","","4"
"4 on scale 1-7","2006","indirect migration background","vocational + Abi","","","","","4"
"4 on scale 1-7","2006","indirect migration background","higher vocational","","","","","4"
"4 on scale 1-7","2006","indirect migration background","higher education","","","","","4"
"4 on scale 1-7","2006","direct migration background","in school","","","","","4"
"4 on scale 1-7","2006","direct migration background","inadequately","","","","","4"
"4 on scale 1-7","2006","direct migration background","general elemantary","","","","","4"
"4 on scale 1-7","2006","direct migration background","middle vocational","","","","","4"
"4 on scale 1-7","2006","direct migration background","vocational + Abi","","","","","4"
"4 on scale 1-7","2006","no migration background","in school","","","","","4"
"4 on scale 1-7","2006","no migration background","inadequately","","","","","4"
"4 on scale 1-7","2006","no migration background","general elemantary","","","","","4"
"4 on scale 1-7","2006","no migration background","middle vocational","","","","","4"
"4 on scale 1-7","2006","no migration background","vocational + Abi","","","","","4"
"4 on scale 1-7","2006","no migration background","higher vocational","","","","","4"
"4 on scale 1-7","2006","no migration background","higher education","","","","","4"
"5 on scale 1-7","2006","indirect migration background","inadequately","","","","","5"
"5 on scale 1-7","2006","indirect migration background","in school","","","","","5"
"5 on scale 1-7","2006","indirect migration background","general elemantary","","","","","5"
"5 on scale 1-7","2006","indirect migration background","middle vocational","","","","","5"
"5 on scale 1-7","2006","indirect migration background","vocational + Abi","","","","","5"
"5 on scale 1-7","2006","direct migration background","inadequately","","","","","5"
"5 on scale 1-7","2006","direct migration background","general elemantary","","","","","5"
"5 on scale 1-7","2006","direct migration background","middle vocational","","","","","5"
"5 on scale 1-7","2006","direct migration background","vocational + Abi","","","","","5"
"5 on scale 1-7","2006","direct migration background","higher vocational","","","","","5"
"5 on scale 1-7","2006","direct migration background","higher education","","","","","5"
"5 on scale 1-7","2006","indirect migration background","higher vocational","","","","","5"
"5 on scale 1-7","2006","indirect migration background","higher education","","","","","5"
"5 on scale 1-7","2006","no migration background","general elemantary","","","","","5"
"5 on scale 1-7","2006","no migration background","middle vocational","","","","","5"
"5 on scale 1-7","2006","no migration background","vocational + Abi","","","","","5"
"5 on scale 1-7","2006","no migration background","higher vocational","","","","","5"
"5 on scale 1-7","2006","no migration background","higher education","","","","","5"
"5 on scale 1-7","2006","direct migration background","in school","","","","","5"
"5 on scale 1-7","2006","no migration background","in school","","","","","5"
"5 on scale 1-7","2006","no migration background","inadequately","","","","","5"
"6 on scale 1-7","2006","indirect migration background","inadequately","","","","","6"
"6 on scale 1-7","2006","indirect migration background","in school","","","","","6"
"6 on scale 1-7","2006","direct migration background","inadequately","","","","","6"
"6 on scale 1-7","2006","direct migration background","higher vocational","","","","","6"
"6 on scale 1-7","2006","direct migration background","higher education","","","","","6"
"6 on scale 1-7","2006","indirect migration background","general elemantary","","","","","6"
"6 on scale 1-7","2006","indirect migration background","middle vocational","","","","","6"
"6 on scale 1-7","2006","indirect migration background","higher vocational","","","","","6"
"6 on scale 1-7","2006","indirect migration background","higher education","","","","","6"
"6 on scale 1-7","2006","direct migration background","general elemantary","","","","","6"
"6 on scale 1-7","2006","direct migration background","middle vocational","","","","","6"
"6 on scale 1-7","2006","direct migration background","vocational + Abi","","","","","6"
"6 on scale 1-7","2006","indirect migration background","vocational + Abi","","","","","6"
"6 on scale 1-7","2006","no migration background","inadequately","","","","","6"
"6 on scale 1-7","2006","no migration background","general elemantary","","","","","6"
"6 on scale 1-7","2006","no migration background","middle vocational","","","","","6"
"6 on scale 1-7","2006","direct migration background","in school","","","","","6"
"6 on scale 1-7","2006","no migration background","in school","","","","","6"
"6 on scale 1-7","2006","no migration background","vocational + Abi","","","","","6"
"6 on scale 1-7","2006","no migration background","higher vocational","","","","","6"
"6 on scale 1-7","2006","no migration background","higher education","","","","","6"
"7 Strongly agree","2006","indirect migration background","higher education","","","","","7"
"7 Strongly agree","2006","indirect migration background","higher vocational","","","","","7"
"7 Strongly agree","2006","indirect migration background","in school","","","","","7"
"7 Strongly agree","2006","indirect migration background","inadequately","","","","","7"
"7 Strongly agree","2006","indirect migration background","middle vocational","","","","","7"
"7 Strongly agree","2006","indirect migration background","vocational + Abi","","","","","7"
"7 Strongly agree","2006","indirect migration background","general elemantary","","","","","7"
"7 Strongly agree","2006","direct migration background","in school","","","","","7"
"7 Strongly agree","2006","direct migration background","inadequately","","","","","7"
"7 Strongly agree","2006","direct migration background","general elemantary","","","","","7"
"7 Strongly agree","2006","direct migration background","middle vocational","","","","","7"
"7 Strongly agree","2006","direct migration background","vocational + Abi","","","","","7"
"7 Strongly agree","2006","direct migration background","higher vocational","","","","","7"
"7 Strongly agree","2006","direct migration background","higher education","","","","","7"
"7 Strongly agree","2006","no migration background","in school","","","","","7"
"7 Strongly agree","2006","no migration background","inadequately","","","","","7"
"7 Strongly agree","2006","no migration background","general elemantary","","","","","7"
"7 Strongly agree","2006","no migration background","middle vocational","","","","","7"
"7 Strongly agree","2006","no migration background","vocational + Abi","","","","","7"
"7 Strongly agree","2006","no migration background","higher vocational","","","","","7"
"7 Strongly agree","2006","no migration background","higher education","","","","","7"
"1 Strongly disagree","2007","direct migration background","general elemantary","","","","","1"
"1 Strongly disagree","2007","direct migration background","middle vocational","","","","","1"
"1 Strongly disagree","2007","direct migration background","vocational + Abi","","","","","1"
"1 Strongly disagree","2007","direct migration background","higher vocational","","","","","1"
"1 Strongly disagree","2007","direct migration background","higher education","","","","","1"
"1 Strongly disagree","2007","indirect migration background","in school","","","","","1"
"1 Strongly disagree","2007","indirect migration background","inadequately","","","","","1"
"1 Strongly disagree","2007","indirect migration background","general elemantary","","","","","1"
"1 Strongly disagree","2007","indirect migration background","middle vocational","","","","","1"
"1 Strongly disagree","2007","indirect migration background","vocational + Abi","","","","","1"
"1 Strongly disagree","2007","indirect migration background","higher vocational","","","","","1"
"1 Strongly disagree","2007","indirect migration background","higher education","","","","","1"
"1 Strongly disagree","2007","no migration background","in school","","","","","1"
"1 Strongly disagree","2007","no migration background","inadequately","","","","","1"
"1 Strongly disagree","2007","no migration background","general elemantary","","","","","1"
"1 Strongly disagree","2007","no migration background","middle vocational","","","","","1"
"1 Strongly disagree","2007","no migration background","vocational + Abi","","","","","1"
"1 Strongly disagree","2007","no migration background","higher vocational","","","","","1"
"1 Strongly disagree","2007","no migration background","higher education","","","","","1"
"1 Strongly disagree","2007","direct migration background","in school","","","","","1"
"1 Strongly disagree","2007","direct migration background","inadequately","","","","","1"
"2 on scale 1-7 ","2007","indirect migration background","in school","","","","","2"
"2 on scale 1-7 ","2007","indirect migration background","inadequately","","","","","2"
"2 on scale 1-7 ","2007","indirect migration background","higher vocational","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","inadequately","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","general elemantary","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","middle vocational","","","","","2"
"2 on scale 1-7 ","2007","indirect migration background","general elemantary","","","","","2"
"2 on scale 1-7 ","2007","indirect migration background","middle vocational","","","","","2"
"2 on scale 1-7 ","2007","indirect migration background","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2007","no migration background","inadequately","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","in school","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","higher vocational","","","","","2"
"2 on scale 1-7 ","2007","direct migration background","higher education","","","","","2"
"2 on scale 1-7 ","2007","indirect migration background","higher education","","","","","2"
"2 on scale 1-7 ","2007","no migration background","in school","","","","","2"
"2 on scale 1-7 ","2007","no migration background","general elemantary","","","","","2"
"2 on scale 1-7 ","2007","no migration background","middle vocational","","","","","2"
"2 on scale 1-7 ","2007","no migration background","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2007","no migration background","higher vocational","","","","","2"
"2 on scale 1-7 ","2007","no migration background","higher education","","","","","2"
"3 on scale 1-7 ","2007","indirect migration background","in school","","","","","3"
"3 on scale 1-7 ","2007","indirect migration background","inadequately","","","","","3"
"3 on scale 1-7 ","2007","indirect migration background","general elemantary","","","","","3"
"3 on scale 1-7 ","2007","direct migration background","in school","","","","","3"
"3 on scale 1-7 ","2007","direct migration background","inadequately","","","","","3"
"3 on scale 1-7 ","2007","direct migration background","general elemantary","","","","","3"
"3 on scale 1-7 ","2007","direct migration background","middle vocational","","","","","3"
"3 on scale 1-7 ","2007","direct migration background","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2007","direct migration background","higher vocational","","","","","3"
"3 on scale 1-7 ","2007","direct migration background","higher education","","","","","3"
"3 on scale 1-7 ","2007","indirect migration background","middle vocational","","","","","3"
"3 on scale 1-7 ","2007","indirect migration background","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2007","indirect migration background","higher vocational","","","","","3"
"3 on scale 1-7 ","2007","indirect migration background","higher education","","","","","3"
"3 on scale 1-7 ","2007","no migration background","inadequately","","","","","3"
"3 on scale 1-7 ","2007","no migration background","general elemantary","","","","","3"
"3 on scale 1-7 ","2007","no migration background","middle vocational","","","","","3"
"3 on scale 1-7 ","2007","no migration background","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2007","no migration background","higher vocational","","","","","3"
"3 on scale 1-7 ","2007","no migration background","higher education","","","","","3"
"3 on scale 1-7 ","2007","no migration background","in school","","","","","3"
"4 on scale 1-7","2007","direct migration background","higher vocational","","","","","4"
"4 on scale 1-7","2007","direct migration background","higher education","","","","","4"
"4 on scale 1-7","2007","indirect migration background","in school","","","","","4"
"4 on scale 1-7","2007","indirect migration background","inadequately","","","","","4"
"4 on scale 1-7","2007","indirect migration background","general elemantary","","","","","4"
"4 on scale 1-7","2007","indirect migration background","middle vocational","","","","","4"
"4 on scale 1-7","2007","indirect migration background","vocational + Abi","","","","","4"
"4 on scale 1-7","2007","indirect migration background","higher vocational","","","","","4"
"4 on scale 1-7","2007","indirect migration background","higher education","","","","","4"
"4 on scale 1-7","2007","direct migration background","in school","","","","","4"
"4 on scale 1-7","2007","direct migration background","inadequately","","","","","4"
"4 on scale 1-7","2007","direct migration background","general elemantary","","","","","4"
"4 on scale 1-7","2007","direct migration background","middle vocational","","","","","4"
"4 on scale 1-7","2007","direct migration background","vocational + Abi","","","","","4"
"4 on scale 1-7","2007","no migration background","in school","","","","","4"
"4 on scale 1-7","2007","no migration background","inadequately","","","","","4"
