"plh0206i06","year","migback","n","percent","lower_confidence","upper_confidence"
"6 on scale 1-7","2008","indirect migration background","","","",""
"7 Strongly agree","2008","no migration background","","","",""
"7 Strongly agree","2008","direct migration background","","","",""
"7 Strongly agree","2008","indirect migration background","","","",""
"1 Strongly disagree","2009","no migration background","","","",""
"1 Strongly disagree","2009","direct migration background","","","",""
"1 Strongly disagree","2009","indirect migration background","","","",""
"2 on scale 1-7 ","2009","no migration background","","","",""
"2 on scale 1-7 ","2009","direct migration background","","","",""
"2 on scale 1-7 ","2009","indirect migration background","","","",""
"3 on scale 1-7 ","2009","no migration background","","","",""
"3 on scale 1-7 ","2009","direct migration background","","","",""
"3 on scale 1-7 ","2009","indirect migration background","","","",""
"4 on scale 1-7","2009","no migration background","","","",""
"4 on scale 1-7","2009","direct migration background","","","",""
"4 on scale 1-7","2009","indirect migration background","","","",""
"5 on scale 1-7","2009","no migration background","","","",""
"5 on scale 1-7","2009","direct migration background","","","",""
"5 on scale 1-7","2009","indirect migration background","","","",""
"6 on scale 1-7","2009","no migration background","","","",""
"6 on scale 1-7","2009","direct migration background","","","",""
"6 on scale 1-7","2009","indirect migration background","","","",""
"7 Strongly agree","2009","no migration background","","","",""
"7 Strongly agree","2009","direct migration background","","","",""
"7 Strongly agree","2009","indirect migration background","","","",""
"1 Strongly disagree","2010","no migration background","375","0.0285734806677237","0.025864338933783","0.0312826224016645"
"1 Strongly disagree","2010","direct migration background","35","0.0224287690742347","0.0148308026352017","0.0300267355132677"
"1 Strongly disagree","2010","indirect migration background","15","","",""
"2 on scale 1-7 ","2010","no migration background","503","0.0318178769441542","0.0289638418827714","0.034671912005537"
"2 on scale 1-7 ","2010","direct migration background","46","0.0359518045493596","0.0263990159920895","0.0455045931066296"
"2 on scale 1-7 ","2010","indirect migration background","21","","",""
"3 on scale 1-7 ","2010","no migration background","948","0.0685642440287561","0.0644549191807439","0.0726735688767683"
"3 on scale 1-7 ","2010","direct migration background","90","0.0552108198429097","0.043491564992032","0.0669300746937873"
"3 on scale 1-7 ","2010","indirect migration background","39","0.0620984056365307","0.0436446711249102","0.0805521401481512"
"4 on scale 1-7","2010","no migration background","2350","0.164650281845666","0.158619681061095","0.170680882630236"
"4 on scale 1-7","2010","direct migration background","220","0.170761373951854","0.151452585384504","0.190070162519204"
"4 on scale 1-7","2010","indirect migration background","99","0.151086072494206","0.123701280184007","0.178470864804405"
"5 on scale 1-7","2010","no migration background","3422","0.22834432807673","0.221518551542091","0.235170104611368"
"5 on scale 1-7","2010","direct migration background","301","0.180622504836703","0.160882448344895","0.200362561328512"
"5 on scale 1-7","2010","indirect migration background","140","0.242110234025792","0.209355430303591","0.274865037747993"
"6 on scale 1-7","2010","no migration background","4115","0.272842974538624","0.265600021565497","0.280085927511751"
"6 on scale 1-7","2010","direct migration background","366","0.242898962288067","0.220894528621272","0.264903395954862"
"6 on scale 1-7","2010","indirect migration background","167","0.235419637711251","0.20297833246045","0.267860942962052"
"7 Strongly agree","2010","no migration background","2815","0.205206813898347","0.198639797031512","0.211773830765181"
"7 Strongly agree","2010","direct migration background","401","0.292125765456872","0.268792075159975","0.315459455753768"
"7 Strongly agree","2010","indirect migration background","176","0.28197233253914","0.247565931731352","0.316378733346928"
"1 Strongly disagree","2011","no migration background","","","",""
"1 Strongly disagree","2011","direct migration background","","","",""
"1 Strongly disagree","2011","indirect migration background","","","",""
"2 on scale 1-7 ","2011","no migration background","","","",""
"2 on scale 1-7 ","2011","direct migration background","","","",""
"2 on scale 1-7 ","2011","indirect migration background","","","",""
"3 on scale 1-7 ","2011","no migration background","","","",""
"3 on scale 1-7 ","2011","direct migration background","","","",""
"3 on scale 1-7 ","2011","indirect migration background","","","",""
"4 on scale 1-7","2011","no migration background","","","",""
"4 on scale 1-7","2011","direct migration background","","","",""
"4 on scale 1-7","2011","indirect migration background","","","",""
"5 on scale 1-7","2011","no migration background","","","",""
"5 on scale 1-7","2011","direct migration background","","","",""
"5 on scale 1-7","2011","indirect migration background","","","",""
"6 on scale 1-7","2011","no migration background","","","",""
"6 on scale 1-7","2011","direct migration background","","","",""
"6 on scale 1-7","2011","indirect migration background","","","",""
"7 Strongly agree","2011","no migration background","","","",""
"7 Strongly agree","2011","direct migration background","","","",""
"7 Strongly agree","2011","indirect migration background","","","",""
"1 Strongly disagree","2012","no migration background","","","",""
"1 Strongly disagree","2012","direct migration background","","","",""
"1 Strongly disagree","2012","indirect migration background","","","",""
"2 on scale 1-7 ","2012","no migration background","","","",""
"2 on scale 1-7 ","2012","direct migration background","","","",""
"2 on scale 1-7 ","2012","indirect migration background","","","",""
"3 on scale 1-7 ","2012","no migration background","","","",""
"3 on scale 1-7 ","2012","direct migration background","","","",""
"3 on scale 1-7 ","2012","indirect migration background","","","",""
"4 on scale 1-7","2012","no migration background","","","",""
"4 on scale 1-7","2012","direct migration background","","","",""
"4 on scale 1-7","2012","indirect migration background","","","",""
"5 on scale 1-7","2012","no migration background","","","",""
"5 on scale 1-7","2012","direct migration background","","","",""
"5 on scale 1-7","2012","indirect migration background","","","",""
"6 on scale 1-7","2012","no migration background","","","",""
"6 on scale 1-7","2012","direct migration background","","","",""
"6 on scale 1-7","2012","indirect migration background","","","",""
"7 Strongly agree","2012","no migration background","","","",""
"7 Strongly agree","2012","direct migration background","","","",""
"7 Strongly agree","2012","indirect migration background","","","",""
"1 Strongly disagree","2013","no migration background","","","",""
"1 Strongly disagree","2013","direct migration background","","","",""
"1 Strongly disagree","2013","indirect migration background","","","",""
"2 on scale 1-7 ","2013","no migration background","","","",""
"2 on scale 1-7 ","2013","direct migration background","","","",""
"2 on scale 1-7 ","2013","indirect migration background","","","",""
"3 on scale 1-7 ","2013","no migration background","","","",""
"3 on scale 1-7 ","2013","direct migration background","","","",""
"3 on scale 1-7 ","2013","indirect migration background","","","",""
"4 on scale 1-7","2013","no migration background","","","",""
"4 on scale 1-7","2013","direct migration background","","","",""
"4 on scale 1-7","2013","indirect migration background","","","",""
"5 on scale 1-7","2013","no migration background","","","",""
"5 on scale 1-7","2013","direct migration background","","","",""
"5 on scale 1-7","2013","indirect migration background","","","",""
"6 on scale 1-7","2013","no migration background","","","",""
"6 on scale 1-7","2013","direct migration background","","","",""
"6 on scale 1-7","2013","indirect migration background","","","",""
"7 Strongly agree","2013","no migration background","","","",""
"7 Strongly agree","2013","direct migration background","","","",""
"7 Strongly agree","2013","indirect migration background","","","",""
"1 Strongly disagree","2014","no migration background","","","",""
"1 Strongly disagree","2014","direct migration background","","","",""
"1 Strongly disagree","2014","indirect migration background","","","",""
"2 on scale 1-7 ","2014","no migration background","","","",""
"2 on scale 1-7 ","2014","direct migration background","","","",""
"2 on scale 1-7 ","2014","indirect migration background","","","",""
"3 on scale 1-7 ","2014","no migration background","","","",""
"3 on scale 1-7 ","2014","direct migration background","","","",""
"3 on scale 1-7 ","2014","indirect migration background","","","",""
"4 on scale 1-7","2014","no migration background","","","",""
"4 on scale 1-7","2014","direct migration background","","","",""
"4 on scale 1-7","2014","indirect migration background","","","",""
"5 on scale 1-7","2014","no migration background","","","",""
"5 on scale 1-7","2014","direct migration background","","","",""
"5 on scale 1-7","2014","indirect migration background","","","",""
"6 on scale 1-7","2014","no migration background","","","",""
"6 on scale 1-7","2014","direct migration background","","","",""
"6 on scale 1-7","2014","indirect migration background","","","",""
"7 Strongly agree","2014","no migration background","","","",""
"7 Strongly agree","2014","direct migration background","","","",""
"7 Strongly agree","2014","indirect migration background","","","",""
"1 Strongly disagree","2015","no migration background","436","0.0256833661300535","0.0234470930567569","0.0279196392033502"
"1 Strongly disagree","2015","direct migration background","206","0.0310600517838076","0.0265760715729348","0.0355440319946803"
"1 Strongly disagree","2015","indirect migration background","49","0.0274124219495515","0.0196138495076734","0.0352109943914295"
"2 on scale 1-7 ","2015","no migration background","618","0.0340064179603188","0.0314441982414303","0.0365686376792074"
"2 on scale 1-7 ","2015","direct migration background","177","0.0316135700201551","0.0270911042623977","0.0361360357779124"
"2 on scale 1-7 ","2015","indirect migration background","60","0.027838913664466","0.0199816322848102","0.0356961950441217"
"3 on scale 1-7 ","2015","no migration background","1057","0.0545733161898459","0.0513622230345764","0.0577844093451154"
"3 on scale 1-7 ","2015","direct migration background","276","0.0449637382185536","0.0396075564756787","0.0503199199614284"
"3 on scale 1-7 ","2015","indirect migration background","103","0.0670096713691928","0.0550674707580066","0.078951871980379"
"4 on scale 1-7","2015","no migration background","2930","0.15090645030601","0.145846101223644","0.155966799388376"
"4 on scale 1-7","2015","direct migration background","776","0.133688761783717","0.124892490937162","0.142485032630272"
"4 on scale 1-7","2015","indirect migration background","239","0.125379945901334","0.109563794923648","0.141196096879021"
"5 on scale 1-7","2015","no migration background","4542","0.234618225427939","0.228627647312457","0.24060880354342"
"5 on scale 1-7","2015","direct migration background","976","0.167531514907302","0.157878870064491","0.177184159750112"
"5 on scale 1-7","2015","indirect migration background","299","0.205328031627729","0.186035238111158","0.2246208251443"
"6 on scale 1-7","2015","no migration background","5623","0.284924160501009","0.278543149467701","0.291305171534317"
"6 on scale 1-7","2015","direct migration background","1429","0.266763359449062","0.25533196167077","0.278194757227353"
"6 on scale 1-7","2015","indirect migration background","436","0.280646769077819","0.259186845545787","0.302106692609851"
"7 Strongly agree","2015","no migration background","4016","0.215288063484825","0.209477558078053","0.221098568891596"
"7 Strongly agree","2015","direct migration background","1910","0.324379003837403","0.312278816189064","0.336479191485742"
"7 Strongly agree","2015","indirect migration background","498","0.266384246409907","0.245270483491016","0.287498009328798"
"1 Strongly disagree","2016","no migration background","","","",""
"1 Strongly disagree","2016","direct migration background","49","0.0181777629259997","0.0141907741639556","0.0221647516880438"
"1 Strongly disagree","2016","indirect migration background","","","",""
"2 on scale 1-7 ","2016","no migration background","","","",""
"2 on scale 1-7 ","2016","direct migration background","33","0.0142370036773895","0.0107014786464848","0.0177725287082941"
"2 on scale 1-7 ","2016","indirect migration background","2","","",""
"3 on scale 1-7 ","2016","no migration background","","","",""
"3 on scale 1-7 ","2016","direct migration background","39","0.0209850507407324","0.0167073732795349","0.0252627282019299"
"3 on scale 1-7 ","2016","indirect migration background","1","","",""
"4 on scale 1-7","2016","no migration background","5","","",""
"4 on scale 1-7","2016","direct migration background","173","0.0895878014947029","0.0810646180565752","0.0981109849328306"
"4 on scale 1-7","2016","indirect migration background","4","","",""
"5 on scale 1-7","2016","no migration background","1","","",""
"5 on scale 1-7","2016","direct migration background","336","0.101179443722191","0.0921794749244347","0.110179412519948"
"5 on scale 1-7","2016","indirect migration background","2","","",""
"6 on scale 1-7","2016","no migration background","2","","",""
"6 on scale 1-7","2016","direct migration background","552","0.157878192591088","0.146996238437942","0.168760146744234"
"6 on scale 1-7","2016","indirect migration background","3","","",""
"7 Strongly agree","2016","no migration background","6","","",""
"7 Strongly agree","2016","direct migration background","3131","0.597954744847896","0.583321858797018","0.612587630898774"
"7 Strongly agree","2016","indirect migration background","6","","",""
"1 Strongly disagree","2017","no migration background","","","",""
"1 Strongly disagree","2017","direct migration background","38","0.0137635609081875","0.00948539331871975","0.0180417284976552"
"1 Strongly disagree","2017","indirect migration background","","","",""
"2 on scale 1-7 ","2017","no migration background","","","",""
"2 on scale 1-7 ","2017","direct migration background","20","","",""
"2 on scale 1-7 ","2017","indirect migration background","","","",""
"3 on scale 1-7 ","2017","no migration background","","","",""
"3 on scale 1-7 ","2017","direct migration background","30","0.0134594633475818","0.0092281693104393","0.0176907573847242"
"3 on scale 1-7 ","2017","indirect migration background","","","",""
"4 on scale 1-7","2017","no migration background","","","",""
"4 on scale 1-7","2017","direct migration background","127","0.053588203773906","0.0453187554264511","0.0618576521213609"
"4 on scale 1-7","2017","indirect migration background","","","",""
"5 on scale 1-7","2017","no migration background","","","",""
"5 on scale 1-7","2017","direct migration background","251","0.0970242092199642","0.0861554498012096","0.107892968638719"
"5 on scale 1-7","2017","indirect migration background","","","",""
"6 on scale 1-7","2017","no migration background","","","",""
"6 on scale 1-7","2017","direct migration background","327","0.120918826435119","0.108946919895295","0.132890732974943"
"6 on scale 1-7","2017","indirect migration background","","","",""
"7 Strongly agree","2017","no migration background","","","",""
"7 Strongly agree","2017","direct migration background","2056","0.693647430920619","0.676720351932253","0.710574509908985"
"7 Strongly agree","2017","indirect migration background","","","",""
"1 Strongly disagree","2018","no migration background","","","",""
"1 Strongly disagree","2018","direct migration background","8","","",""
"1 Strongly disagree","2018","indirect migration background","","","",""
"2 on scale 1-7 ","2018","no migration background","","","",""
"2 on scale 1-7 ","2018","direct migration background","7","","",""
"2 on scale 1-7 ","2018","indirect migration background","","","",""
"3 on scale 1-7 ","2018","no migration background","","","",""
"3 on scale 1-7 ","2018","direct migration background","1","","",""
"3 on scale 1-7 ","2018","indirect migration background","","","",""
"4 on scale 1-7","2018","no migration background","","","",""
"4 on scale 1-7","2018","direct migration background","26","","",""
"4 on scale 1-7","2018","indirect migration background","","","",""
"5 on scale 1-7","2018","no migration background","","","",""
"5 on scale 1-7","2018","direct migration background","31","0.0617763271410191","0.0387245020877365","0.0848281521943018"
"5 on scale 1-7","2018","indirect migration background","","","",""
"6 on scale 1-7","2018","no migration background","","","",""
"6 on scale 1-7","2018","direct migration background","50","0.0874000250808786","0.0603581324303606","0.114441917731397"
"6 on scale 1-7","2018","indirect migration background","","","",""
"7 Strongly agree","2018","no migration background","","","",""
"7 Strongly agree","2018","direct migration background","296","0.764801811580709","0.724191855510792","0.805411767650626"
"7 Strongly agree","2018","indirect migration background","","","",""
"1 Strongly disagree","2019","no migration background","","","",""
"1 Strongly disagree","2019","direct migration background","4","","",""
"1 Strongly disagree","2019","indirect migration background","","","",""
"2 on scale 1-7 ","2019","no migration background","","","",""
"2 on scale 1-7 ","2019","direct migration background","4","","",""
"2 on scale 1-7 ","2019","indirect migration background","","","",""
"3 on scale 1-7 ","2019","no migration background","","","",""
"3 on scale 1-7 ","2019","direct migration background","8","","",""
"3 on scale 1-7 ","2019","indirect migration background","","","",""
"4 on scale 1-7","2019","no migration background","","","",""
"4 on scale 1-7","2019","direct migration background","21","","",""
"4 on scale 1-7","2019","indirect migration background","","","",""
"5 on scale 1-7","2019","no migration background","","","",""
"5 on scale 1-7","2019","direct migration background","35","0.104204518113827","0.0682897223003045","0.14011931392735"
"5 on scale 1-7","2019","indirect migration background","","","",""
"6 on scale 1-7","2019","no migration background","","","",""
"6 on scale 1-7","2019","direct migration background","30","0.12331424980467","0.0846638225235564","0.161964677085784"
"6 on scale 1-7","2019","indirect migration background","","","",""
"7 Strongly agree","2019","no migration background","","","",""
"7 Strongly agree","2019","direct migration background","176","0.652872514470546","0.596911653574715","0.708833375366378"
"7 Strongly agree","2019","indirect migration background","","","",""
