"plh0206i06","year","e11103","n","percent","lower_confidence","upper_confidence"
"6 on scale 1-7","2012","Not Working","","","",""
"7 Strongly agree","2012","Full Time","","","",""
"7 Strongly agree","2012","Part Time","","","",""
"7 Strongly agree","2012","Not Working","","","",""
"1 Strongly disagree","2013","Full Time","","","",""
"1 Strongly disagree","2013","Part Time","","","",""
"1 Strongly disagree","2013","Not Working","","","",""
"2 on scale 1-7 ","2013","Full Time","","","",""
"2 on scale 1-7 ","2013","Part Time","","","",""
"2 on scale 1-7 ","2013","Not Working","","","",""
"3 on scale 1-7 ","2013","Full Time","","","",""
"3 on scale 1-7 ","2013","Part Time","","","",""
"3 on scale 1-7 ","2013","Not Working","","","",""
"4 on scale 1-7","2013","Full Time","","","",""
"4 on scale 1-7","2013","Part Time","","","",""
"4 on scale 1-7","2013","Not Working","","","",""
"5 on scale 1-7","2013","Full Time","","","",""
"5 on scale 1-7","2013","Part Time","","","",""
"5 on scale 1-7","2013","Not Working","","","",""
"6 on scale 1-7","2013","Full Time","","","",""
"6 on scale 1-7","2013","Part Time","","","",""
"6 on scale 1-7","2013","Not Working","","","",""
"7 Strongly agree","2013","Full Time","","","",""
"7 Strongly agree","2013","Part Time","","","",""
"7 Strongly agree","2013","Not Working","","","",""
"1 Strongly disagree","2014","Full Time","","","",""
"1 Strongly disagree","2014","Part Time","","","",""
"1 Strongly disagree","2014","Not Working","","","",""
"2 on scale 1-7 ","2014","Full Time","","","",""
"2 on scale 1-7 ","2014","Part Time","","","",""
"2 on scale 1-7 ","2014","Not Working","","","",""
"3 on scale 1-7 ","2014","Full Time","","","",""
"3 on scale 1-7 ","2014","Part Time","","","",""
"3 on scale 1-7 ","2014","Not Working","","","",""
"4 on scale 1-7","2014","Full Time","","","",""
"4 on scale 1-7","2014","Part Time","","","",""
"4 on scale 1-7","2014","Not Working","","","",""
"5 on scale 1-7","2014","Full Time","","","",""
"5 on scale 1-7","2014","Part Time","","","",""
"5 on scale 1-7","2014","Not Working","","","",""
"6 on scale 1-7","2014","Full Time","","","",""
"6 on scale 1-7","2014","Part Time","","","",""
"6 on scale 1-7","2014","Not Working","","","",""
"7 Strongly agree","2014","Full Time","","","",""
"7 Strongly agree","2014","Part Time","","","",""
"7 Strongly agree","2014","Not Working","","","",""
"1 Strongly disagree","2015","Full Time","173","0.0192097322626814","0.0164486953860862","0.0219707691392766"
"1 Strongly disagree","2015","Part Time","172","0.0234834189940846","0.0199612611962286","0.0270055767919407"
"1 Strongly disagree","2015","Not Working","346","0.0357766457422619","0.0321474018889508","0.039405889595573"
"2 on scale 1-7 ","2015","Full Time","278","0.0306116782694678","0.0271465769398457","0.0340767795990898"
"2 on scale 1-7 ","2015","Part Time","245","0.0315187521173211","0.0274550819552412","0.035582422279401"
"2 on scale 1-7 ","2015","Not Working","332","0.0372004564097522","0.0335024335752643","0.04089847924424"
"3 on scale 1-7 ","2015","Full Time","486","0.0510355435287282","0.0466087952956276","0.0554622917618288"
"3 on scale 1-7 ","2015","Part Time","428","0.057451181319253","0.0520387830936619","0.0628635795448442"
"3 on scale 1-7 ","2015","Not Working","522","0.0541402502085758","0.0497184306308356","0.058562069786316"
"4 on scale 1-7","2015","Full Time","1341","0.135798554215132","0.128907613005695","0.142689495424568"
"4 on scale 1-7","2015","Part Time","1062","0.150311444165605","0.141999277494386","0.158623610836825"
"4 on scale 1-7","2015","Not Working","1542","0.156242759588523","0.149148023856567","0.16333749532048"
"5 on scale 1-7","2015","Full Time","2161","0.232573098790016","0.2240750009588","0.241071196621232"
"5 on scale 1-7","2015","Part Time","1605","0.235896120490358","0.226021397161766","0.24577084381895"
"5 on scale 1-7","2015","Not Working","2051","0.206017298635702","0.198114427854707","0.213920169416698"
"6 on scale 1-7","2015","Full Time","2867","0.311168164279349","0.301855420346834","0.320480908211864"
"6 on scale 1-7","2015","Part Time","1997","0.271055800909071","0.260717127182054","0.281394474636089"
"6 on scale 1-7","2015","Not Working","2624","0.260075376247988","0.251503599044124","0.268647153451853"
"7 Strongly agree","2015","Full Time","2188","0.219603228654626","0.211275998469923","0.22793045883933"
"7 Strongly agree","2015","Part Time","1592","0.230283282004306","0.220490975478845","0.240075588529768"
"7 Strongly agree","2015","Not Working","2644","0.250547213167196","0.242079922976025","0.259014503358367"
"1 Strongly disagree","2016","Full Time","","","",""
"1 Strongly disagree","2016","Part Time","","","",""
"1 Strongly disagree","2016","Not Working","48","0.0164794513885805","0.0126843920823676","0.0202745106947934"
"2 on scale 1-7 ","2016","Full Time","","","",""
"2 on scale 1-7 ","2016","Part Time","","","",""
"2 on scale 1-7 ","2016","Not Working","35","0.0227881806403749","0.0183397722059638","0.027236589074786"
"3 on scale 1-7 ","2016","Full Time","","","",""
"3 on scale 1-7 ","2016","Part Time","","","",""
"3 on scale 1-7 ","2016","Not Working","40","0.0195053084655428","0.0153828669031868","0.0236277500278988"
"4 on scale 1-7","2016","Full Time","","","",""
"4 on scale 1-7","2016","Part Time","","","",""
"4 on scale 1-7","2016","Not Working","179","0.117101448224676","0.107516450623024","0.126686445826329"
"5 on scale 1-7","2016","Full Time","","","",""
"5 on scale 1-7","2016","Part Time","","","",""
"5 on scale 1-7","2016","Not Working","339","0.0982287876604721","0.089356756698417","0.107100818622527"
"6 on scale 1-7","2016","Full Time","","","",""
"6 on scale 1-7","2016","Part Time","","","",""
"6 on scale 1-7","2016","Not Working","556","0.156476255464863","0.145646258081466","0.167306252848261"
"7 Strongly agree","2016","Full Time","","","",""
"7 Strongly agree","2016","Part Time","","","",""
"7 Strongly agree","2016","Not Working","3126","0.56942056815549","0.554660149062333","0.584180987248646"
"1 Strongly disagree","2017","Full Time","","","",""
"1 Strongly disagree","2017","Part Time","","","",""
"1 Strongly disagree","2017","Not Working","38","0.0137635609081875","0.00948539331871975","0.0180417284976552"
"2 on scale 1-7 ","2017","Full Time","","","",""
"2 on scale 1-7 ","2017","Part Time","","","",""
"2 on scale 1-7 ","2017","Not Working","20","","",""
"3 on scale 1-7 ","2017","Full Time","","","",""
"3 on scale 1-7 ","2017","Part Time","","","",""
"3 on scale 1-7 ","2017","Not Working","30","0.0134594633475818","0.0092281693104393","0.0176907573847242"
"4 on scale 1-7","2017","Full Time","","","",""
"4 on scale 1-7","2017","Part Time","","","",""
"4 on scale 1-7","2017","Not Working","127","0.053588203773906","0.0453187554264511","0.0618576521213609"
"5 on scale 1-7","2017","Full Time","","","",""
"5 on scale 1-7","2017","Part Time","","","",""
"5 on scale 1-7","2017","Not Working","251","0.0970242092199642","0.0861554498012096","0.107892968638719"
"6 on scale 1-7","2017","Full Time","","","",""
"6 on scale 1-7","2017","Part Time","","","",""
"6 on scale 1-7","2017","Not Working","327","0.120918826435119","0.108946919895295","0.132890732974943"
"7 Strongly agree","2017","Full Time","","","",""
"7 Strongly agree","2017","Part Time","","","",""
"7 Strongly agree","2017","Not Working","2056","0.693647430920619","0.676720351932253","0.710574509908985"
"1 Strongly disagree","2018","Full Time","","","",""
"1 Strongly disagree","2018","Part Time","","","",""
"1 Strongly disagree","2018","Not Working","8","","",""
"2 on scale 1-7 ","2018","Full Time","","","",""
"2 on scale 1-7 ","2018","Part Time","","","",""
"2 on scale 1-7 ","2018","Not Working","7","","",""
"3 on scale 1-7 ","2018","Full Time","","","",""
"3 on scale 1-7 ","2018","Part Time","","","",""
"3 on scale 1-7 ","2018","Not Working","1","","",""
"4 on scale 1-7","2018","Full Time","","","",""
"4 on scale 1-7","2018","Part Time","","","",""
"4 on scale 1-7","2018","Not Working","26","","",""
"5 on scale 1-7","2018","Full Time","","","",""
"5 on scale 1-7","2018","Part Time","","","",""
"5 on scale 1-7","2018","Not Working","31","0.0617763271410191","0.0387245020877365","0.0848281521943018"
"6 on scale 1-7","2018","Full Time","","","",""
"6 on scale 1-7","2018","Part Time","","","",""
"6 on scale 1-7","2018","Not Working","50","0.0874000250808786","0.0603581324303606","0.114441917731397"
"7 Strongly agree","2018","Full Time","","","",""
"7 Strongly agree","2018","Part Time","","","",""
"7 Strongly agree","2018","Not Working","296","0.764801811580709","0.724191855510792","0.805411767650626"
"1 Strongly disagree","2019","Full Time","","","",""
"1 Strongly disagree","2019","Part Time","","","",""
"1 Strongly disagree","2019","Not Working","4","","",""
"2 on scale 1-7 ","2019","Full Time","","","",""
"2 on scale 1-7 ","2019","Part Time","","","",""
"2 on scale 1-7 ","2019","Not Working","4","","",""
"3 on scale 1-7 ","2019","Full Time","","","",""
"3 on scale 1-7 ","2019","Part Time","","","",""
"3 on scale 1-7 ","2019","Not Working","8","","",""
"4 on scale 1-7","2019","Full Time","","","",""
"4 on scale 1-7","2019","Part Time","","","",""
"4 on scale 1-7","2019","Not Working","21","","",""
"5 on scale 1-7","2019","Full Time","","","",""
"5 on scale 1-7","2019","Part Time","","","",""
"5 on scale 1-7","2019","Not Working","35","0.104204518113827","0.0682897223003045","0.14011931392735"
"6 on scale 1-7","2019","Full Time","","","",""
"6 on scale 1-7","2019","Part Time","","","",""
"6 on scale 1-7","2019","Not Working","30","0.12331424980467","0.0846638225235564","0.161964677085784"
"7 Strongly agree","2019","Full Time","","","",""
"7 Strongly agree","2019","Part Time","","","",""
"7 Strongly agree","2019","Not Working","176","0.652872514470546","0.596911653574715","0.708833375366378"
