"plh0206i06","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Brandenburg","college entrance qualification","3","","",""
"1 Strongly disagree","2005","Brandenburg","Other degree","","","",""
"1 Strongly disagree","2005","Brandenburg","no degree/no degree yet","1","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","lower secondary degree","4","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","college entrance qualification","1","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","Other degree","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","no degree/no degree yet","1","","",""
"1 Strongly disagree","2005","Saxony","lower secondary degree","16","","",""
"1 Strongly disagree","2005","Saxony","secondary school degree","13","","",""
"1 Strongly disagree","2005","Saxony","college entrance qualification","2","","",""
"1 Strongly disagree","2005","Saxony","Other degree","","","",""
"1 Strongly disagree","2005","Saxony","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","lower secondary degree","10","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","secondary school degree","14","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","college entrance qualification","5","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","Other degree","1","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","no degree/no degree yet","2","","",""
"1 Strongly disagree","2005","Thuringia","lower secondary degree","11","","",""
"1 Strongly disagree","2005","Thuringia","secondary school degree","9","","",""
"1 Strongly disagree","2005","Thuringia","college entrance qualification","2","","",""
"1 Strongly disagree","2005","Thuringia","Other degree","","","",""
"1 Strongly disagree","2005","Thuringia","no degree/no degree yet","1","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","lower secondary degree","8","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","secondary school degree","4","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","college entrance qualification","1","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","Other degree","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Hamburg","lower secondary degree","1","","",""
"2 on scale 1-7 ","2005","Hamburg","secondary school degree","1","","",""
"2 on scale 1-7 ","2005","Hamburg","college entrance qualification","1","","",""
"2 on scale 1-7 ","2005","Hamburg","Other degree","","","",""
"2 on scale 1-7 ","2005","Hamburg","no degree/no degree yet","1","","",""
"2 on scale 1-7 ","2005","Lower Saxony","lower secondary degree","21","","",""
"2 on scale 1-7 ","2005","Lower Saxony","secondary school degree","24","","",""
"2 on scale 1-7 ","2005","Lower Saxony","college entrance qualification","10","","",""
"2 on scale 1-7 ","2005","Lower Saxony","Other degree","1","","",""
"2 on scale 1-7 ","2005","Lower Saxony","no degree/no degree yet","4","","",""
"2 on scale 1-7 ","2005","Bremen","lower secondary degree","2","","",""
"2 on scale 1-7 ","2005","Bremen","secondary school degree","1","","",""
"2 on scale 1-7 ","2005","Bremen","college entrance qualification","1","","",""
"2 on scale 1-7 ","2005","Bremen","Other degree","","","",""
"2 on scale 1-7 ","2005","Bremen","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","lower secondary degree","47","0.0298976382670049","0.0213973603226481","0.0383979162113618"
"2 on scale 1-7 ","2005","North Rhine-Westphalia","secondary school degree","39","0.0413944546512849","0.0286938839065337","0.054095025396036"
"2 on scale 1-7 ","2005","North Rhine-Westphalia","college entrance qualification","22","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","Other degree","6","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","no degree/no degree yet","8","","",""
"2 on scale 1-7 ","2005","Hesse","lower secondary degree","17","","",""
"2 on scale 1-7 ","2005","Hesse","secondary school degree","13","","",""
"2 on scale 1-7 ","2005","Hesse","college entrance qualification","6","","",""
"2 on scale 1-7 ","2005","Hesse","Other degree","5","","",""
"2 on scale 1-7 ","2005","Hesse","no degree/no degree yet","3","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","lower secondary degree","24","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","secondary school degree","8","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","college entrance qualification","4","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","Other degree","3","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","lower secondary degree","21","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","secondary school degree","15","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","college entrance qualification","10","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","Other degree","10","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","no degree/no degree yet","3","","",""
"2 on scale 1-7 ","2005","Bavaria","lower secondary degree","39","0.0280997434317625","0.0186666700236046","0.0375328168399205"
"2 on scale 1-7 ","2005","Bavaria","secondary school degree","24","","",""
"2 on scale 1-7 ","2005","Bavaria","college entrance qualification","13","","",""
"2 on scale 1-7 ","2005","Bavaria","Other degree","4","","",""
"2 on scale 1-7 ","2005","Bavaria","no degree/no degree yet","4","","",""
"2 on scale 1-7 ","2005","Berlin","lower secondary degree","4","","",""
"2 on scale 1-7 ","2005","Berlin","secondary school degree","12","","",""
"2 on scale 1-7 ","2005","Berlin","college entrance qualification","6","","",""
"2 on scale 1-7 ","2005","Berlin","Other degree","","","",""
"2 on scale 1-7 ","2005","Berlin","no degree/no degree yet","3","","",""
"2 on scale 1-7 ","2005","Brandenburg","lower secondary degree","8","","",""
"2 on scale 1-7 ","2005","Brandenburg","secondary school degree","12","","",""
"2 on scale 1-7 ","2005","Brandenburg","college entrance qualification","7","","",""
"2 on scale 1-7 ","2005","Brandenburg","Other degree","","","",""
"2 on scale 1-7 ","2005","Brandenburg","no degree/no degree yet","1","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","lower secondary degree","4","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","secondary school degree","12","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","college entrance qualification","1","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","Other degree","2","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","no degree/no degree yet","1","","",""
"2 on scale 1-7 ","2005","Saxony","lower secondary degree","14","","",""
"2 on scale 1-7 ","2005","Saxony","secondary school degree","29","","",""
"2 on scale 1-7 ","2005","Saxony","college entrance qualification","14","","",""
"2 on scale 1-7 ","2005","Saxony","Other degree","","","",""
"2 on scale 1-7 ","2005","Saxony","no degree/no degree yet","2","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","lower secondary degree","15","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","secondary school degree","5","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","college entrance qualification","4","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","Other degree","2","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","no degree/no degree yet","1","","",""
"2 on scale 1-7 ","2005","Thuringia","lower secondary degree","7","","",""
"2 on scale 1-7 ","2005","Thuringia","secondary school degree","14","","",""
"2 on scale 1-7 ","2005","Thuringia","college entrance qualification","4","","",""
"2 on scale 1-7 ","2005","Thuringia","Other degree","","","",""
"2 on scale 1-7 ","2005","Thuringia","no degree/no degree yet","1","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","lower secondary degree","10","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","secondary school degree","5","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","college entrance qualification","8","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","Other degree","","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","no degree/no degree yet","2","","",""
"3 on scale 1-7 ","2005","Hamburg","lower secondary degree","3","","",""
"3 on scale 1-7 ","2005","Hamburg","secondary school degree","2","","",""
"3 on scale 1-7 ","2005","Hamburg","college entrance qualification","6","","",""
"3 on scale 1-7 ","2005","Hamburg","Other degree","","","",""
"3 on scale 1-7 ","2005","Hamburg","no degree/no degree yet","1","","",""
"3 on scale 1-7 ","2005","Lower Saxony","lower secondary degree","50","0.0808448054320654","0.059692474391065","0.101997136473066"
"3 on scale 1-7 ","2005","Lower Saxony","secondary school degree","36","0.0606282712546956","0.0404625718837154","0.0807939706256758"
"3 on scale 1-7 ","2005","Lower Saxony","college entrance qualification","17","","",""
"3 on scale 1-7 ","2005","Lower Saxony","Other degree","4","","",""
"3 on scale 1-7 ","2005","Lower Saxony","no degree/no degree yet","5","","",""
"3 on scale 1-7 ","2005","Bremen","lower secondary degree","2","","",""
"3 on scale 1-7 ","2005","Bremen","secondary school degree","","","",""
"3 on scale 1-7 ","2005","Bremen","college entrance qualification","2","","",""
"3 on scale 1-7 ","2005","Bremen","Other degree","","","",""
"3 on scale 1-7 ","2005","Bremen","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","lower secondary degree","83","0.0559596385028731","0.0444876517831329","0.0674316252226133"
"3 on scale 1-7 ","2005","North Rhine-Westphalia","secondary school degree","57","0.0590388193082646","0.0440113146216962","0.0740663239948331"
"3 on scale 1-7 ","2005","North Rhine-Westphalia","college entrance qualification","66","0.0581122153332917","0.0450956770974035","0.0711287535691799"
"3 on scale 1-7 ","2005","North Rhine-Westphalia","Other degree","7","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","no degree/no degree yet","10","","",""
"3 on scale 1-7 ","2005","Hesse","lower secondary degree","28","","",""
"3 on scale 1-7 ","2005","Hesse","secondary school degree","25","","",""
"3 on scale 1-7 ","2005","Hesse","college entrance qualification","16","","",""
"3 on scale 1-7 ","2005","Hesse","Other degree","4","","",""
"3 on scale 1-7 ","2005","Hesse","no degree/no degree yet","7","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","lower secondary degree","33","0.0647640688500092","0.044717665523909","0.0848104721761093"
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","secondary school degree","28","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","college entrance qualification","12","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","Other degree","3","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","5","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","lower secondary degree","64","0.0767633096242691","0.0589502787643431","0.0945763404841951"
"3 on scale 1-7 ","2005","Baden-Württemberg","secondary school degree","29","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","college entrance qualification","24","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","Other degree","18","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","no degree/no degree yet","14","","",""
"3 on scale 1-7 ","2005","Bavaria","lower secondary degree","69","0.0497264213455182","0.0373182118190684","0.062134630871968"
"3 on scale 1-7 ","2005","Bavaria","secondary school degree","41","0.0427713536446954","0.0278352309124725","0.0577074763769182"
"3 on scale 1-7 ","2005","Bavaria","college entrance qualification","26","","",""
"3 on scale 1-7 ","2005","Bavaria","Other degree","8","","",""
"3 on scale 1-7 ","2005","Bavaria","no degree/no degree yet","6","","",""
"3 on scale 1-7 ","2005","Berlin","lower secondary degree","12","","",""
"3 on scale 1-7 ","2005","Berlin","secondary school degree","11","","",""
"3 on scale 1-7 ","2005","Berlin","college entrance qualification","17","","",""
"3 on scale 1-7 ","2005","Berlin","Other degree","2","","",""
"3 on scale 1-7 ","2005","Berlin","no degree/no degree yet","1","","",""
"3 on scale 1-7 ","2005","Brandenburg","lower secondary degree","16","","",""
"3 on scale 1-7 ","2005","Brandenburg","secondary school degree","25","","",""
"3 on scale 1-7 ","2005","Brandenburg","college entrance qualification","10","","",""
"3 on scale 1-7 ","2005","Brandenburg","Other degree","1","","",""
"3 on scale 1-7 ","2005","Brandenburg","no degree/no degree yet","4","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","lower secondary degree","10","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","secondary school degree","15","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","college entrance qualification","5","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","Other degree","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Saxony","lower secondary degree","14","","",""
"3 on scale 1-7 ","2005","Saxony","secondary school degree","44","0.0673095268136131","0.0489311977096514","0.0856878559175748"
"3 on scale 1-7 ","2005","Saxony","college entrance qualification","10","","",""
"3 on scale 1-7 ","2005","Saxony","Other degree","","","",""
"3 on scale 1-7 ","2005","Saxony","no degree/no degree yet","3","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","lower secondary degree","20","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","secondary school degree","21","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","college entrance qualification","8","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","Other degree","1","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","no degree/no degree yet","7","","",""
"3 on scale 1-7 ","2005","Thuringia","lower secondary degree","11","","",""
"3 on scale 1-7 ","2005","Thuringia","secondary school degree","17","","",""
"3 on scale 1-7 ","2005","Thuringia","college entrance qualification","6","","",""
"3 on scale 1-7 ","2005","Thuringia","Other degree","","","",""
"3 on scale 1-7 ","2005","Thuringia","no degree/no degree yet","3","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","lower secondary degree","25","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","secondary school degree","31","0.185513440427229","0.126908478303008","0.24411840255145"
"4 on scale 1-7","2005","Schleswig-Holstein","college entrance qualification","19","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","Other degree","2","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","no degree/no degree yet","6","","",""
"4 on scale 1-7","2005","Hamburg","lower secondary degree","9","","",""
"4 on scale 1-7","2005","Hamburg","secondary school degree","12","","",""
"4 on scale 1-7","2005","Hamburg","college entrance qualification","10","","",""
"4 on scale 1-7","2005","Hamburg","Other degree","","","",""
"4 on scale 1-7","2005","Hamburg","no degree/no degree yet","2","","",""
"4 on scale 1-7","2005","Lower Saxony","lower secondary degree","105","0.148778255639311","0.121164286354245","0.176392224924376"
"4 on scale 1-7","2005","Lower Saxony","secondary school degree","100","0.171761780653464","0.13989062189007","0.203632939416857"
"4 on scale 1-7","2005","Lower Saxony","college entrance qualification","50","0.0941340396461716","0.0656237987841687","0.122644280508175"
"4 on scale 1-7","2005","Lower Saxony","Other degree","19","","",""
"4 on scale 1-7","2005","Lower Saxony","no degree/no degree yet","22","","",""
"4 on scale 1-7","2005","Bremen","lower secondary degree","8","","",""
"4 on scale 1-7","2005","Bremen","secondary school degree","6","","",""
"4 on scale 1-7","2005","Bremen","college entrance qualification","2","","",""
"4 on scale 1-7","2005","Bremen","Other degree","1","","",""
"4 on scale 1-7","2005","Bremen","no degree/no degree yet","1","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","lower secondary degree","259","0.17495728657197","0.155994151521886","0.193920421622054"
"4 on scale 1-7","2005","North Rhine-Westphalia","secondary school degree","156","0.167288239470572","0.143491785729898","0.191084693211246"
"4 on scale 1-7","2005","North Rhine-Westphalia","college entrance qualification","190","0.149938930443802","0.130075947570533","0.16980191331707"
"4 on scale 1-7","2005","North Rhine-Westphalia","Other degree","55","0.205592721092579","0.160749554903928","0.250435887281229"
"4 on scale 1-7","2005","North Rhine-Westphalia","no degree/no degree yet","38","0.153976693359066","0.105277079071072","0.20267630764706"
"4 on scale 1-7","2005","Hesse","lower secondary degree","81","0.155719498238818","0.121448343265664","0.189990653211973"
"4 on scale 1-7","2005","Hesse","secondary school degree","59","0.155206998381244","0.116886439469416","0.193527557293072"
"4 on scale 1-7","2005","Hesse","college entrance qualification","62","0.185168277969469","0.147291357123803","0.223045198815135"
"4 on scale 1-7","2005","Hesse","Other degree","15","","",""
"4 on scale 1-7","2005","Hesse","no degree/no degree yet","15","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","lower secondary degree","76","0.132203844935214","0.10461460647001","0.159793083400417"
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","secondary school degree","39","0.137462819424649","0.0958476417833543","0.179077997065945"
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","college entrance qualification","33","0.119760722113343","0.0787689074434128","0.160752536783273"
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Other degree","12","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","4","","",""
"4 on scale 1-7","2005","Baden-Württemberg","lower secondary degree","159","0.180757523609673","0.155008612418412","0.206506434800934"
"4 on scale 1-7","2005","Baden-Württemberg","secondary school degree","104","0.181305077944545","0.150031336168404","0.212578819720685"
"4 on scale 1-7","2005","Baden-Württemberg","college entrance qualification","78","0.132484683029768","0.105425738882938","0.159543627176597"
"4 on scale 1-7","2005","Baden-Württemberg","Other degree","42","0.2041518547881","0.155803218434214","0.252500491141986"
"4 on scale 1-7","2005","Baden-Württemberg","no degree/no degree yet","37","0.282491533162303","0.211153914398641","0.353829151925965"
"4 on scale 1-7","2005","Bavaria","lower secondary degree","188","0.175650569979261","0.153929978815094","0.197371161143429"
"4 on scale 1-7","2005","Bavaria","secondary school degree","116","0.181106111081788","0.15267892318431","0.209533298979265"
"4 on scale 1-7","2005","Bavaria","college entrance qualification","103","0.169581789755427","0.141920245387681","0.197243334123173"
"4 on scale 1-7","2005","Bavaria","Other degree","18","","",""
"4 on scale 1-7","2005","Bavaria","no degree/no degree yet","17","","",""
"4 on scale 1-7","2005","Berlin","lower secondary degree","27","","",""
"4 on scale 1-7","2005","Berlin","secondary school degree","58","0.261129086653066","0.20678864794546","0.315469525360672"
"4 on scale 1-7","2005","Berlin","college entrance qualification","42","0.155793393650742","0.113162485427955","0.198424301873529"
"4 on scale 1-7","2005","Berlin","Other degree","5","","",""
"4 on scale 1-7","2005","Berlin","no degree/no degree yet","9","","",""
"4 on scale 1-7","2005","Brandenburg","lower secondary degree","53","0.249854905878797","0.194385088049534","0.30532472370806"
"4 on scale 1-7","2005","Brandenburg","secondary school degree","67","0.199010578400484","0.15928376783672","0.238737388964247"
"4 on scale 1-7","2005","Brandenburg","college entrance qualification","29","","",""
"4 on scale 1-7","2005","Brandenburg","Other degree","1","","",""
"4 on scale 1-7","2005","Brandenburg","no degree/no degree yet","4","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","lower secondary degree","18","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","secondary school degree","38","0.141115097911801","0.0966983952908338","0.185531800532767"
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","college entrance qualification","14","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","Other degree","2","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","no degree/no degree yet","1","","",""
"4 on scale 1-7","2005","Saxony","lower secondary degree","67","0.164901076120037","0.128212359292569","0.201589792947505"
"4 on scale 1-7","2005","Saxony","secondary school degree","116","0.157998702394255","0.131245108794719","0.184752295993792"
"4 on scale 1-7","2005","Saxony","college entrance qualification","56","0.157906853389436","0.119146369637446","0.196667337141426"
"4 on scale 1-7","2005","Saxony","Other degree","3","","",""
"4 on scale 1-7","2005","Saxony","no degree/no degree yet","13","","",""
"4 on scale 1-7","2005","Saxony-Anhalt","lower secondary degree","51","0.20380095688567","0.156618232886341","0.250983680885"
"4 on scale 1-7","2005","Saxony-Anhalt","secondary school degree","66","0.167279175990955","0.128671690258608","0.205886661723301"
"4 on scale 1-7","2005","Saxony-Anhalt","college entrance qualification","21","","",""
"4 on scale 1-7","2005","Saxony-Anhalt","Other degree","2","","",""
"4 on scale 1-7","2005","Saxony-Anhalt","no degree/no degree yet","6","","",""
"4 on scale 1-7","2005","Thuringia","lower secondary degree","52","0.155452496569175","0.113893260380458","0.197011732757893"
"4 on scale 1-7","2005","Thuringia","secondary school degree","44","0.0855974349978061","0.057902257635214","0.113292612360398"
"4 on scale 1-7","2005","Thuringia","college entrance qualification","28","","",""
"4 on scale 1-7","2005","Thuringia","Other degree","2","","",""
"4 on scale 1-7","2005","Thuringia","no degree/no degree yet","6","","",""
"5 on scale 1-7","2005","Schleswig-Holstein","lower secondary degree","55","0.206757351173822","0.15724483044594","0.256269871901705"
"5 on scale 1-7","2005","Schleswig-Holstein","secondary school degree","37","0.201197308249657","0.140755759851325","0.261638856647989"
"5 on scale 1-7","2005","Schleswig-Holstein","college entrance qualification","52","0.259333497993127","0.191635501865852","0.327031494120401"
"5 on scale 1-7","2005","Schleswig-Holstein","Other degree","8","","",""
"5 on scale 1-7","2005","Schleswig-Holstein","no degree/no degree yet","4","","",""
"5 on scale 1-7","2005","Hamburg","lower secondary degree","13","","",""
"5 on scale 1-7","2005","Hamburg","secondary school degree","18","","",""
"5 on scale 1-7","2005","Hamburg","college entrance qualification","35","0.313970062902508","0.226441082961966","0.40149904284305"
"5 on scale 1-7","2005","Hamburg","Other degree","","","",""
"5 on scale 1-7","2005","Hamburg","no degree/no degree yet","2","","",""
"5 on scale 1-7","2005","Lower Saxony","lower secondary degree","136","0.205321356956955","0.17397763361462","0.23666508029929"
"5 on scale 1-7","2005","Lower Saxony","secondary school degree","105","0.195499990528248","0.161988530445632","0.229011450610864"
"5 on scale 1-7","2005","Lower Saxony","college entrance qualification","114","0.294720439394751","0.250208005171831","0.339232873617672"
"5 on scale 1-7","2005","Lower Saxony","Other degree","17","","",""
"5 on scale 1-7","2005","Lower Saxony","no degree/no degree yet","19","","",""
"5 on scale 1-7","2005","Bremen","lower secondary degree","11","","",""
"5 on scale 1-7","2005","Bremen","secondary school degree","11","","",""
"5 on scale 1-7","2005","Bremen","college entrance qualification","5","","",""
"5 on scale 1-7","2005","Bremen","Other degree","2","","",""
"5 on scale 1-7","2005","Bremen","no degree/no degree yet","4","","",""
"5 on scale 1-7","2005","North Rhine-Westphalia","lower secondary degree","328","0.217104724375223","0.196527235413001","0.237682213337445"
"5 on scale 1-7","2005","North Rhine-Westphalia","secondary school degree","203","0.20326633320773","0.177608410191725","0.228924256223735"
"5 on scale 1-7","2005","North Rhine-Westphalia","college entrance qualification","285","0.235541285615653","0.211932549456654","0.259150021774651"
"5 on scale 1-7","2005","North Rhine-Westphalia","Other degree","76","0.264065503604114","0.215150035988225","0.312980971220002"
"5 on scale 1-7","2005","North Rhine-Westphalia","no degree/no degree yet","41","0.19336445153101","0.14007590683013","0.246652996231891"
"5 on scale 1-7","2005","Hesse","lower secondary degree","99","0.223467486567913","0.18409427344979","0.262840699686037"
"5 on scale 1-7","2005","Hesse","secondary school degree","96","0.251164611036908","0.205268759191243","0.297060462882574"
"5 on scale 1-7","2005","Hesse","college entrance qualification","106","0.259913870083415","0.217146428686474","0.302681311480356"
"5 on scale 1-7","2005","Hesse","Other degree","26","","",""
"5 on scale 1-7","2005","Hesse","no degree/no degree yet","6","","",""
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","lower secondary degree","158","0.283231886434064","0.246531619751543","0.319932153116584"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","secondary school degree","56","0.22804696398825","0.177338809595152","0.278755118381347"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","college entrance qualification","71","0.301348722445455","0.243418596083134","0.359278848807775"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Other degree","21","","",""
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","14","","",""
