"plh0206i06","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"7 Strongly agree","2006","East Germany","Female","","","",""
"1 Strongly disagree","2007","West Germany","Male","","","",""
"1 Strongly disagree","2007","West Germany","Female","","","",""
"1 Strongly disagree","2007","East Germany","Male","","","",""
"1 Strongly disagree","2007","East Germany","Female","","","",""
"2 on scale 1-7 ","2007","West Germany","Male","","","",""
"2 on scale 1-7 ","2007","West Germany","Female","","","",""
"2 on scale 1-7 ","2007","East Germany","Male","","","",""
"2 on scale 1-7 ","2007","East Germany","Female","","","",""
"3 on scale 1-7 ","2007","West Germany","Male","","","",""
"3 on scale 1-7 ","2007","West Germany","Female","","","",""
"3 on scale 1-7 ","2007","East Germany","Male","","","",""
"3 on scale 1-7 ","2007","East Germany","Female","","","",""
"4 on scale 1-7","2007","West Germany","Male","","","",""
"4 on scale 1-7","2007","West Germany","Female","","","",""
"4 on scale 1-7","2007","East Germany","Male","","","",""
"4 on scale 1-7","2007","East Germany","Female","","","",""
"5 on scale 1-7","2007","West Germany","Male","","","",""
"5 on scale 1-7","2007","West Germany","Female","","","",""
"5 on scale 1-7","2007","East Germany","Male","","","",""
"5 on scale 1-7","2007","East Germany","Female","","","",""
"6 on scale 1-7","2007","West Germany","Male","","","",""
"6 on scale 1-7","2007","West Germany","Female","","","",""
"6 on scale 1-7","2007","East Germany","Male","","","",""
"6 on scale 1-7","2007","East Germany","Female","","","",""
"7 Strongly agree","2007","West Germany","Male","","","",""
"7 Strongly agree","2007","West Germany","Female","","","",""
"7 Strongly agree","2007","East Germany","Male","","","",""
"7 Strongly agree","2007","East Germany","Female","","","",""
"1 Strongly disagree","2008","West Germany","Male","","","",""
"1 Strongly disagree","2008","West Germany","Female","","","",""
"1 Strongly disagree","2008","East Germany","Male","","","",""
"1 Strongly disagree","2008","East Germany","Female","","","",""
"2 on scale 1-7 ","2008","West Germany","Male","","","",""
"2 on scale 1-7 ","2008","West Germany","Female","","","",""
"2 on scale 1-7 ","2008","East Germany","Male","","","",""
"2 on scale 1-7 ","2008","East Germany","Female","","","",""
"3 on scale 1-7 ","2008","West Germany","Male","","","",""
"3 on scale 1-7 ","2008","West Germany","Female","","","",""
"3 on scale 1-7 ","2008","East Germany","Male","","","",""
"3 on scale 1-7 ","2008","East Germany","Female","","","",""
"4 on scale 1-7","2008","West Germany","Male","","","",""
"4 on scale 1-7","2008","West Germany","Female","","","",""
"4 on scale 1-7","2008","East Germany","Male","","","",""
"4 on scale 1-7","2008","East Germany","Female","","","",""
"5 on scale 1-7","2008","West Germany","Male","","","",""
"5 on scale 1-7","2008","West Germany","Female","","","",""
"5 on scale 1-7","2008","East Germany","Male","","","",""
"5 on scale 1-7","2008","East Germany","Female","","","",""
"6 on scale 1-7","2008","West Germany","Male","","","",""
"6 on scale 1-7","2008","West Germany","Female","","","",""
"6 on scale 1-7","2008","East Germany","Male","","","",""
"6 on scale 1-7","2008","East Germany","Female","","","",""
"7 Strongly agree","2008","West Germany","Male","","","",""
"7 Strongly agree","2008","West Germany","Female","","","",""
"7 Strongly agree","2008","East Germany","Male","","","",""
"7 Strongly agree","2008","East Germany","Female","","","",""
"1 Strongly disagree","2009","West Germany","Male","","","",""
"1 Strongly disagree","2009","West Germany","Female","","","",""
"1 Strongly disagree","2009","East Germany","Male","","","",""
"1 Strongly disagree","2009","East Germany","Female","","","",""
"2 on scale 1-7 ","2009","West Germany","Male","","","",""
"2 on scale 1-7 ","2009","West Germany","Female","","","",""
"2 on scale 1-7 ","2009","East Germany","Male","","","",""
"2 on scale 1-7 ","2009","East Germany","Female","","","",""
"3 on scale 1-7 ","2009","West Germany","Male","","","",""
"3 on scale 1-7 ","2009","West Germany","Female","","","",""
"3 on scale 1-7 ","2009","East Germany","Male","","","",""
"3 on scale 1-7 ","2009","East Germany","Female","","","",""
"4 on scale 1-7","2009","West Germany","Male","","","",""
"4 on scale 1-7","2009","West Germany","Female","","","",""
"4 on scale 1-7","2009","East Germany","Male","","","",""
"4 on scale 1-7","2009","East Germany","Female","","","",""
"5 on scale 1-7","2009","West Germany","Male","","","",""
"5 on scale 1-7","2009","West Germany","Female","","","",""
"5 on scale 1-7","2009","East Germany","Male","","","",""
"5 on scale 1-7","2009","East Germany","Female","","","",""
"6 on scale 1-7","2009","West Germany","Male","","","",""
"6 on scale 1-7","2009","West Germany","Female","","","",""
"6 on scale 1-7","2009","East Germany","Male","","","",""
"6 on scale 1-7","2009","East Germany","Female","","","",""
"7 Strongly agree","2009","West Germany","Male","","","",""
"7 Strongly agree","2009","West Germany","Female","","","",""
"7 Strongly agree","2009","East Germany","Male","","","",""
"7 Strongly agree","2009","East Germany","Female","","","",""
"1 Strongly disagree","2010","West Germany","Male","128","0.0239065164808835","0.0200240923521751","0.027788940609592"
"1 Strongly disagree","2010","West Germany","Female","198","0.0305825539154617","0.0264184284190126","0.0347466794119109"
"1 Strongly disagree","2010","East Germany","Male","39","0.0267718809690439","0.0196691719346495","0.0338745900034384"
"1 Strongly disagree","2010","East Germany","Female","60","0.0274518029711808","0.0205370694836897","0.0343665364586719"
"2 on scale 1-7 ","2010","West Germany","Male","180","0.0264000152896155","0.0223253542180074","0.0304746763612236"
"2 on scale 1-7 ","2010","West Germany","Female","254","0.0361774745252862","0.0316615239709288","0.0406934250796437"
"2 on scale 1-7 ","2010","East Germany","Male","67","0.0327861246141271","0.0249503207129444","0.0406219285153099"
"2 on scale 1-7 ","2010","East Germany","Female","69","0.0321985264143794","0.0247280967613405","0.0396689560674183"
"3 on scale 1-7 ","2010","West Germany","Male","364","0.0618474759109381","0.0557254264005652","0.0679695254213109"
"3 on scale 1-7 ","2010","West Germany","Female","454","0.0716957590776002","0.0654566379123235","0.0779348802428769"
"3 on scale 1-7 ","2010","East Germany","Male","124","0.0628883553785294","0.0522062208500025","0.0735704899070563"
"3 on scale 1-7 ","2010","East Germany","Female","135","0.069003045377894","0.0582769241255803","0.0797291666302077"
"4 on scale 1-7","2010","West Germany","Male","878","0.150589552574343","0.141499731336024","0.159679373812663"
"4 on scale 1-7","2010","West Germany","Female","1109","0.180987024437081","0.171675932173265","0.190298116700897"
"4 on scale 1-7","2010","East Germany","Male","318","0.158029624160019","0.141978889459653","0.174080358860386"
"4 on scale 1-7","2010","East Germany","Female","364","0.161353225510158","0.145785942925042","0.176920508095275"
"5 on scale 1-7","2010","West Germany","Male","1436","0.244030224018699","0.233113982208337","0.254946465829061"
"5 on scale 1-7","2010","West Germany","Female","1466","0.205434922771821","0.195664049241053","0.215205796302588"
"5 on scale 1-7","2010","East Germany","Male","483","0.228390606299536","0.209918554876647","0.246862657722424"
"5 on scale 1-7","2010","East Germany","Female","478","0.205604045340313","0.188501183699225","0.222706906981401"
"6 on scale 1-7","2010","West Germany","Male","1723","0.275994489169769","0.264633392296733","0.287355586042805"
"6 on scale 1-7","2010","West Germany","Female","1740","0.255162240615292","0.244619086254448","0.265705394976135"
"6 on scale 1-7","2010","East Germany","Male","592","0.279097604047524","0.25936004029953","0.298835167795517"
"6 on scale 1-7","2010","East Germany","Female","593","0.276610019186797","0.257679843663306","0.295540194710287"
"7 Strongly agree","2010","West Germany","Male","1238","0.217231726555751","0.206751338676456","0.227712114435047"
"7 Strongly agree","2010","West Germany","Female","1347","0.219960024657459","0.209942467507267","0.22997758180765"
"7 Strongly agree","2010","East Germany","Male","361","0.212035804531221","0.194049783360233","0.230021825702209"
"7 Strongly agree","2010","East Germany","Female","446","0.227779335199278","0.210030808307191","0.245527862091365"
"1 Strongly disagree","2011","West Germany","Male","","","",""
"1 Strongly disagree","2011","West Germany","Female","","","",""
"1 Strongly disagree","2011","East Germany","Male","","","",""
"1 Strongly disagree","2011","East Germany","Female","","","",""
"2 on scale 1-7 ","2011","West Germany","Male","","","",""
"2 on scale 1-7 ","2011","West Germany","Female","","","",""
"2 on scale 1-7 ","2011","East Germany","Male","","","",""
"2 on scale 1-7 ","2011","East Germany","Female","","","",""
"3 on scale 1-7 ","2011","West Germany","Male","","","",""
"3 on scale 1-7 ","2011","West Germany","Female","","","",""
"3 on scale 1-7 ","2011","East Germany","Male","","","",""
"3 on scale 1-7 ","2011","East Germany","Female","","","",""
"4 on scale 1-7","2011","West Germany","Male","","","",""
"4 on scale 1-7","2011","West Germany","Female","","","",""
"4 on scale 1-7","2011","East Germany","Male","","","",""
"4 on scale 1-7","2011","East Germany","Female","","","",""
"5 on scale 1-7","2011","West Germany","Male","","","",""
"5 on scale 1-7","2011","West Germany","Female","","","",""
"5 on scale 1-7","2011","East Germany","Male","","","",""
"5 on scale 1-7","2011","East Germany","Female","","","",""
"6 on scale 1-7","2011","West Germany","Male","","","",""
"6 on scale 1-7","2011","West Germany","Female","","","",""
"6 on scale 1-7","2011","East Germany","Male","","","",""
"6 on scale 1-7","2011","East Germany","Female","","","",""
"7 Strongly agree","2011","West Germany","Male","","","",""
"7 Strongly agree","2011","West Germany","Female","","","",""
"7 Strongly agree","2011","East Germany","Male","","","",""
"7 Strongly agree","2011","East Germany","Female","","","",""
"1 Strongly disagree","2012","West Germany","Male","","","",""
"1 Strongly disagree","2012","West Germany","Female","","","",""
"1 Strongly disagree","2012","East Germany","Male","","","",""
"1 Strongly disagree","2012","East Germany","Female","","","",""
"2 on scale 1-7 ","2012","West Germany","Male","","","",""
"2 on scale 1-7 ","2012","West Germany","Female","","","",""
"2 on scale 1-7 ","2012","East Germany","Male","","","",""
"2 on scale 1-7 ","2012","East Germany","Female","","","",""
"3 on scale 1-7 ","2012","West Germany","Male","","","",""
"3 on scale 1-7 ","2012","West Germany","Female","","","",""
"3 on scale 1-7 ","2012","East Germany","Male","","","",""
"3 on scale 1-7 ","2012","East Germany","Female","","","",""
"4 on scale 1-7","2012","West Germany","Male","","","",""
"4 on scale 1-7","2012","West Germany","Female","","","",""
"4 on scale 1-7","2012","East Germany","Male","","","",""
"4 on scale 1-7","2012","East Germany","Female","","","",""
"5 on scale 1-7","2012","West Germany","Male","","","",""
"5 on scale 1-7","2012","West Germany","Female","","","",""
"5 on scale 1-7","2012","East Germany","Male","","","",""
"5 on scale 1-7","2012","East Germany","Female","","","",""
"6 on scale 1-7","2012","West Germany","Male","","","",""
"6 on scale 1-7","2012","West Germany","Female","","","",""
"6 on scale 1-7","2012","East Germany","Male","","","",""
"6 on scale 1-7","2012","East Germany","Female","","","",""
"7 Strongly agree","2012","West Germany","Male","","","",""
"7 Strongly agree","2012","West Germany","Female","","","",""
"7 Strongly agree","2012","East Germany","Male","","","",""
"7 Strongly agree","2012","East Germany","Female","","","",""
"1 Strongly disagree","2013","West Germany","Male","","","",""
"1 Strongly disagree","2013","West Germany","Female","","","",""
"1 Strongly disagree","2013","East Germany","Male","","","",""
"1 Strongly disagree","2013","East Germany","Female","","","",""
"2 on scale 1-7 ","2013","West Germany","Male","","","",""
"2 on scale 1-7 ","2013","West Germany","Female","","","",""
"2 on scale 1-7 ","2013","East Germany","Male","","","",""
"2 on scale 1-7 ","2013","East Germany","Female","","","",""
"3 on scale 1-7 ","2013","West Germany","Male","","","",""
"3 on scale 1-7 ","2013","West Germany","Female","","","",""
"3 on scale 1-7 ","2013","East Germany","Male","","","",""
"3 on scale 1-7 ","2013","East Germany","Female","","","",""
"4 on scale 1-7","2013","West Germany","Male","","","",""
"4 on scale 1-7","2013","West Germany","Female","","","",""
"4 on scale 1-7","2013","East Germany","Male","","","",""
"4 on scale 1-7","2013","East Germany","Female","","","",""
"5 on scale 1-7","2013","West Germany","Male","","","",""
"5 on scale 1-7","2013","West Germany","Female","","","",""
"5 on scale 1-7","2013","East Germany","Male","","","",""
"5 on scale 1-7","2013","East Germany","Female","","","",""
"6 on scale 1-7","2013","West Germany","Male","","","",""
"6 on scale 1-7","2013","West Germany","Female","","","",""
"6 on scale 1-7","2013","East Germany","Male","","","",""
"6 on scale 1-7","2013","East Germany","Female","","","",""
"7 Strongly agree","2013","West Germany","Male","","","",""
"7 Strongly agree","2013","West Germany","Female","","","",""
"7 Strongly agree","2013","East Germany","Male","","","",""
"7 Strongly agree","2013","East Germany","Female","","","",""
"1 Strongly disagree","2014","West Germany","Male","","","",""
"1 Strongly disagree","2014","West Germany","Female","","","",""
"1 Strongly disagree","2014","East Germany","Male","","","",""
"1 Strongly disagree","2014","East Germany","Female","","","",""
"2 on scale 1-7 ","2014","West Germany","Male","","","",""
"2 on scale 1-7 ","2014","West Germany","Female","","","",""
"2 on scale 1-7 ","2014","East Germany","Male","","","",""
"2 on scale 1-7 ","2014","East Germany","Female","","","",""
"3 on scale 1-7 ","2014","West Germany","Male","","","",""
"3 on scale 1-7 ","2014","West Germany","Female","","","",""
"3 on scale 1-7 ","2014","East Germany","Male","","","",""
"3 on scale 1-7 ","2014","East Germany","Female","","","",""
"4 on scale 1-7","2014","West Germany","Male","","","",""
"4 on scale 1-7","2014","West Germany","Female","","","",""
"4 on scale 1-7","2014","East Germany","Male","","","",""
"4 on scale 1-7","2014","East Germany","Female","","","",""
"5 on scale 1-7","2014","West Germany","Male","","","",""
"5 on scale 1-7","2014","West Germany","Female","","","",""
"5 on scale 1-7","2014","East Germany","Male","","","",""
"5 on scale 1-7","2014","East Germany","Female","","","",""
"6 on scale 1-7","2014","West Germany","Male","","","",""
"6 on scale 1-7","2014","West Germany","Female","","","",""
"6 on scale 1-7","2014","East Germany","Male","","","",""
"6 on scale 1-7","2014","East Germany","Female","","","",""
"7 Strongly agree","2014","West Germany","Male","","","",""
"7 Strongly agree","2014","West Germany","Female","","","",""
"7 Strongly agree","2014","East Germany","Male","","","",""
"7 Strongly agree","2014","East Germany","Female","","","",""
"1 Strongly disagree","2015","West Germany","Male","196","0.0220790204603455","0.0191668254984045","0.0249912154222865"
"1 Strongly disagree","2015","West Germany","Female","334","0.029517670746352","0.0264171323943698","0.0326182090983342"
"1 Strongly disagree","2015","East Germany","Male","67","0.0296047418314474","0.0229406669807353","0.0362688166821596"
"1 Strongly disagree","2015","East Germany","Female","94","0.0298727165881739","0.0237233425948575","0.0360220905814903"
"2 on scale 1-7 ","2015","West Germany","Male","264","0.0277256079104517","0.0244716373012628","0.0309795785196406"
"2 on scale 1-7 ","2015","West Germany","Female","408","0.0383671629250316","0.0348484265124526","0.0418858993376105"
"2 on scale 1-7 ","2015","East Germany","Male","82","0.0368222407756754","0.0294177836273931","0.0442266979239576"
"2 on scale 1-7 ","2015","East Germany","Female","101","0.0316928262685343","0.0253648295126832","0.0380208230243854"
"3 on scale 1-7 ","2015","West Germany","Male","484","0.0511628429117207","0.0467961581595064","0.055529527663935"
"3 on scale 1-7 ","2015","West Germany","Female","664","0.0582756083035687","0.0539841236183507","0.0625670929887867"
"3 on scale 1-7 ","2015","East Germany","Male","124","0.0423727254721977","0.0344527042085841","0.0502927467358113"
"3 on scale 1-7 ","2015","East Germany","Female","164","0.0553836095839822","0.0471213743574202","0.0636458448105443"
"4 on scale 1-7","2015","West Germany","Male","1318","0.130758318280892","0.124076670189877","0.137439966371906"
"4 on scale 1-7","2015","West Germany","Female","1784","0.153864839716685","0.147254986504418","0.160474692928953"
"4 on scale 1-7","2015","East Germany","Male","371","0.160304710729567","0.145879608645929","0.174729812813206"
"4 on scale 1-7","2015","East Germany","Female","472","0.17543282889326","0.161694065587964","0.189171592198556"
"5 on scale 1-7","2015","West Germany","Male","2158","0.235885333002616","0.227471218833321","0.24429944717191"
"5 on scale 1-7","2015","West Germany","Female","2426","0.21549335039681","0.207961225707366","0.223025475086253"
"5 on scale 1-7","2015","East Germany","Male","582","0.218880826117614","0.202623564174899","0.23513808806033"
"5 on scale 1-7","2015","East Germany","Female","651","0.207025584225059","0.192389638663787","0.221661529786331"
"6 on scale 1-7","2015","West Germany","Male","2907","0.301423172928236","0.292328772552983","0.310517573303488"
"6 on scale 1-7","2015","West Germany","Female","3001","0.260006637885345","0.251971221627652","0.268042054143039"
"6 on scale 1-7","2015","East Germany","Male","738","0.291138236054431","0.273276844412787","0.308999627696074"
"6 on scale 1-7","2015","East Germany","Female","842","0.289034832418547","0.272659940502232","0.305409724334861"
"7 Strongly agree","2015","West Germany","Male","2453","0.230965704505739","0.222613035606705","0.239318373404774"
"7 Strongly agree","2015","West Germany","Female","2830","0.244474730026207","0.236601666882846","0.252347793169569"
"7 Strongly agree","2015","East Germany","Male","521","0.220876519019067","0.20456618647715","0.237186851560984"
"7 Strongly agree","2015","East Germany","Female","620","0.211557602022444","0.196804664911203","0.226310539133685"
"1 Strongly disagree","2016","West Germany","Male","","","",""
"1 Strongly disagree","2016","West Germany","Female","","","",""
"1 Strongly disagree","2016","East Germany","Male","","","",""
"1 Strongly disagree","2016","East Germany","Female","","","",""
"2 on scale 1-7 ","2016","West Germany","Male","","","",""
"2 on scale 1-7 ","2016","West Germany","Female","","","",""
"2 on scale 1-7 ","2016","East Germany","Male","","","",""
"2 on scale 1-7 ","2016","East Germany","Female","","","",""
"3 on scale 1-7 ","2016","West Germany","Male","","","",""
"3 on scale 1-7 ","2016","West Germany","Female","","","",""
"3 on scale 1-7 ","2016","East Germany","Male","","","",""
"3 on scale 1-7 ","2016","East Germany","Female","","","",""
"4 on scale 1-7","2016","West Germany","Male","100","0.108899728961661","0.0959588969864773","0.121840560936844"
"4 on scale 1-7","2016","West Germany","Female","58","0.167199209915906","0.147582400824451","0.18681601900736"
"4 on scale 1-7","2016","East Germany","Male","","","",""
"4 on scale 1-7","2016","East Germany","Female","","","",""
"5 on scale 1-7","2016","West Germany","Male","181","0.109350216162714","0.0963859237710626","0.122314508554366"
"5 on scale 1-7","2016","West Germany","Female","115","0.103309153089366","0.0873087302476201","0.119309575931112"
"5 on scale 1-7","2016","East Germany","Male","30","0.0517671918692125","0.0315862055571711","0.0719481781812538"
"5 on scale 1-7","2016","East Germany","Female","","","",""
"6 on scale 1-7","2016","West Germany","Male","302","0.184686215976058","0.168566211985848","0.200806219966268"
"6 on scale 1-7","2016","West Germany","Female","179","0.102742610848919","0.0867810811073965","0.118704140590441"
"6 on scale 1-7","2016","East Germany","Male","43","0.181040814472543","0.145967486845952","0.216114142099134"
"6 on scale 1-7","2016","East Germany","Female","33","0.104745796771385","0.0679457170596105","0.141545876483159"
"7 Strongly agree","2016","West Germany","Male","1583","0.562282974768976","0.541673842931408","0.582892106606543"
"7 Strongly agree","2016","West Germany","Female","992","0.518489902420676","0.492222716875176","0.544757087966175"
"7 Strongly agree","2016","East Germany","Male","369","0.712975958325607","0.671770554367941","0.754181362283274"
"7 Strongly agree","2016","East Germany","Female","199","0.692330059250148","0.636866670537937","0.747793447962358"
"1 Strongly disagree","2017","West Germany","Male","","","",""
"1 Strongly disagree","2017","West Germany","Female","","","",""
"1 Strongly disagree","2017","East Germany","Male","","","",""
"1 Strongly disagree","2017","East Germany","Female","","","",""
"2 on scale 1-7 ","2017","West Germany","Male","","","",""
"2 on scale 1-7 ","2017","West Germany","Female","","","",""
"2 on scale 1-7 ","2017","East Germany","Male","","","",""
"2 on scale 1-7 ","2017","East Germany","Female","","","",""
"3 on scale 1-7 ","2017","West Germany","Male","","","",""
"3 on scale 1-7 ","2017","West Germany","Female","","","",""
"3 on scale 1-7 ","2017","East Germany","Male","","","",""
"3 on scale 1-7 ","2017","East Germany","Female","","","",""
"4 on scale 1-7","2017","West Germany","Male","64","0.049025730197228","0.038102422596196","0.0599490377982599"
"4 on scale 1-7","2017","West Germany","Female","47","0.0519531414164502","0.0387476663326743","0.0651586165002262"
"4 on scale 1-7","2017","East Germany","Male","","","",""
"4 on scale 1-7","2017","East Germany","Female","","","",""
"5 on scale 1-7","2017","West Germany","Male","126","0.0940006699469293","0.0792372437413302","0.108764096152528"
"5 on scale 1-7","2017","West Germany","Female","103","0.0956931923549359","0.0781894205208336","0.113196964189038"
"5 on scale 1-7","2017","East Germany","Male","","","",""
"5 on scale 1-7","2017","East Germany","Female","","","",""
"6 on scale 1-7","2017","West Germany","Male","185","0.139925942825687","0.122376037019902","0.157475848631472"
"6 on scale 1-7","2017","West Germany","Female","127","0.11348203011304","0.094609047414933","0.132355012811146"
"6 on scale 1-7","2017","East Germany","Male","","","",""
"6 on scale 1-7","2017","East Germany","Female","","","",""
"7 Strongly agree","2017","West Germany","Male","1080","0.681377520693382","0.657805877848939","0.704949163537825"
"7 Strongly agree","2017","West Germany","Female","773","0.696622625546805","0.66926845161629","0.72397679947732"
"7 Strongly agree","2017","East Germany","Male","108","0.708277333060065","0.632711156237283","0.783843509882848"
"7 Strongly agree","2017","East Germany","Female","95","0.821906258713447","0.75456631936068","0.889246198066213"
"1 Strongly disagree","2018","West Germany","Male","","","",""
"1 Strongly disagree","2018","West Germany","Female","","","",""
"1 Strongly disagree","2018","East Germany","Male","","","",""
"1 Strongly disagree","2018","East Germany","Female","","","",""
"2 on scale 1-7 ","2018","West Germany","Male","","","",""
"2 on scale 1-7 ","2018","West Germany","Female","","","",""
"2 on scale 1-7 ","2018","East Germany","Male","","","",""
"2 on scale 1-7 ","2018","East Germany","Female","","","",""
"3 on scale 1-7 ","2018","West Germany","Male","","","",""
"3 on scale 1-7 ","2018","West Germany","Female","","","",""
"3 on scale 1-7 ","2018","East Germany","Male","","","",""
"3 on scale 1-7 ","2018","East Germany","Female","","","",""
"4 on scale 1-7","2018","West Germany","Male","","","",""
"4 on scale 1-7","2018","West Germany","Female","","","",""
"4 on scale 1-7","2018","East Germany","Male","","","",""
"4 on scale 1-7","2018","East Germany","Female","","","",""
"5 on scale 1-7","2018","West Germany","Male","","","",""
"5 on scale 1-7","2018","West Germany","Female","","","",""
"5 on scale 1-7","2018","East Germany","Male","","","",""
"5 on scale 1-7","2018","East Germany","Female","","","",""
"6 on scale 1-7","2018","West Germany","Male","","","",""
"6 on scale 1-7","2018","West Germany","Female","","","",""
"6 on scale 1-7","2018","East Germany","Male","","","",""
"6 on scale 1-7","2018","East Germany","Female","","","",""
"7 Strongly agree","2018","West Germany","Male","125","0.76570163323429","0.703652460900062","0.827750805568518"
"7 Strongly agree","2018","West Germany","Female","133","0.740688992010372","0.678698383640973","0.802679600379771"
"7 Strongly agree","2018","East Germany","Male","","","",""
"7 Strongly agree","2018","East Germany","Female","","","",""
"1 Strongly disagree","2019","West Germany","Male","","","",""
"1 Strongly disagree","2019","West Germany","Female","","","",""
"1 Strongly disagree","2019","East Germany","Male","","","",""
"1 Strongly disagree","2019","East Germany","Female","","","",""
"2 on scale 1-7 ","2019","West Germany","Male","","","",""
"2 on scale 1-7 ","2019","West Germany","Female","","","",""
"2 on scale 1-7 ","2019","East Germany","Male","","","",""
"2 on scale 1-7 ","2019","East Germany","Female","","","",""
"3 on scale 1-7 ","2019","West Germany","Male","","","",""
"3 on scale 1-7 ","2019","West Germany","Female","","","",""
"3 on scale 1-7 ","2019","East Germany","Male","","","",""
"3 on scale 1-7 ","2019","East Germany","Female","","","",""
"4 on scale 1-7","2019","West Germany","Male","","","",""
"4 on scale 1-7","2019","West Germany","Female","","","",""
"4 on scale 1-7","2019","East Germany","Male","","","",""
"4 on scale 1-7","2019","East Germany","Female","","","",""
"5 on scale 1-7","2019","West Germany","Male","","","",""
"5 on scale 1-7","2019","West Germany","Female","","","",""
"5 on scale 1-7","2019","East Germany","Male","","","",""
"5 on scale 1-7","2019","East Germany","Female","","","",""
"6 on scale 1-7","2019","West Germany","Male","","","",""
"6 on scale 1-7","2019","West Germany","Female","","","",""
