"plh0206i06","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"7 Strongly agree","2014","Urban Area","Male","","","","","7"
"7 Strongly agree","2014","Urban Area","Female","","","","","7"
"7 Strongly agree","2014","Rural Area","Male","","","","","7"
"7 Strongly agree","2014","Rural Area","Female","","","","","7"
"1 Strongly disagree","2015","Urban Area","Male","157","0.0219486212757965","0.0187440142862305","0.0251532282653625","1"
"1 Strongly disagree","2015","Urban Area","Female","269","0.0309754174278327","0.0274939260515718","0.0344569088040936","1"
"1 Strongly disagree","2015","Rural Area","Male","106","0.026620173169938","0.0217721130979859","0.0314682332418902","1"
"1 Strongly disagree","2015","Rural Area","Female","159","0.0265041920747775","0.02199652823475","0.031011855914805","1"
"2 on scale 1-7 ","2015","Urban Area","Male","213","0.0275243223711719","0.023945929579616","0.0311027151627279","2"
"2 on scale 1-7 ","2015","Urban Area","Female","340","0.0392175141591957","0.0353168198879186","0.0431182084304728","2"
"2 on scale 1-7 ","2015","Rural Area","Female","169","0.0326878074851881","0.027697774461843","0.0376778405085332","2"
"2 on scale 1-7 ","2015","Rural Area","Male","133","0.0333092564626092","0.0279048546259295","0.038713658299289","2"
"3 on scale 1-7 ","2015","Urban Area","Male","387","0.0484400805397337","0.043744267287778","0.0531358937916895","3"
"3 on scale 1-7 ","2015","Rural Area","Male","221","0.0520859725904431","0.0453938136384996","0.0587781315423866","3"
"3 on scale 1-7 ","2015","Urban Area","Female","549","0.0560028346768627","0.0513824334256682","0.0606232359280573","3"
"3 on scale 1-7 ","2015","Rural Area","Female","279","0.0616413258462894","0.0548921986168044","0.0683904530757744","3"
"4 on scale 1-7","2015","Urban Area","Male","1098","0.135488628981592","0.128003020691483","0.142974237271701","4"
"4 on scale 1-7","2015","Rural Area","Female","805","0.170167955744193","0.159622601229432","0.180713310258954","4"
"4 on scale 1-7","2015","Urban Area","Female","1451","0.1520460484212","0.144830604666803","0.159261492175598","4"
"4 on scale 1-7","2015","Rural Area","Male","591","0.137232677544626","0.126869403182607","0.147595951906646","4"
"5 on scale 1-7","2015","Urban Area","Male","1777","0.233514256502729","0.224260905012558","0.242767607992899","5"
"5 on scale 1-7","2015","Urban Area","Female","1975","0.211101616602292","0.202901016103889","0.219302217100694","5"
"5 on scale 1-7","2015","Rural Area","Male","963","0.231398306345152","0.218696890350099","0.244099722340206","5"
"5 on scale 1-7","2015","Rural Area","Female","1102","0.220356085478397","0.20872452818879","0.231987642768003","5"
"6 on scale 1-7","2015","Rural Area","Female","1285","0.258131989694747","0.245851620324034","0.27041235906546","6"
"6 on scale 1-7","2015","Urban Area","Male","2402","0.303563261998671","0.29350655585604","0.313619968141301","6"
"6 on scale 1-7","2015","Urban Area","Female","2558","0.268355095161875","0.259450904687474","0.277259285636276","6"
"6 on scale 1-7","2015","Rural Area","Male","1243","0.290967737000521","0.27728802984346","0.304647444157582","6"
"7 Strongly agree","2015","Rural Area","Female","1079","0.230510643676408","0.218691827082653","0.242329460270163","7"
"7 Strongly agree","2015","Urban Area","Male","1996","0.229520828330307","0.220323073668487","0.238718582992127","7"
"7 Strongly agree","2015","Urban Area","Female","2371","0.242301473550742","0.233691226917732","0.250911720183751","7"
"7 Strongly agree","2015","Rural Area","Male","978","0.22838587688671","0.215742703617372","0.241029050156049","7"
"1 Strongly disagree","2016","Urban Area","Male","18","","","","1"
"1 Strongly disagree","2016","Urban Area","Female","13","","","","1"
"1 Strongly disagree","2016","Rural Area","Male","11","","","","1"
"1 Strongly disagree","2016","Rural Area","Female","7","","","","1"
"2 on scale 1-7 ","2016","Urban Area","Female","10","","","","2"
"2 on scale 1-7 ","2016","Rural Area","Female","4","","","","2"
"2 on scale 1-7 ","2016","Urban Area","Male","16","","","","2"
"2 on scale 1-7 ","2016","Rural Area","Male","5","","","","2"
"3 on scale 1-7 ","2016","Urban Area","Male","12","","","","3"
"3 on scale 1-7 ","2016","Rural Area","Male","7","","","","3"
"3 on scale 1-7 ","2016","Rural Area","Female","6","","","","3"
"3 on scale 1-7 ","2016","Urban Area","Female","15","","","","3"
"4 on scale 1-7","2016","Urban Area","Male","82","0.115888453297907","0.101194847941893","0.13058205865392","4"
"4 on scale 1-7","2016","Rural Area","Female","19","","","","4"
"4 on scale 1-7","2016","Urban Area","Female","51","0.170882461516502","0.149451299847363","0.192313623185642","4"
"4 on scale 1-7","2016","Rural Area","Male","30","0.0481881658546416","0.03392437726507","0.0624519544442132","4"
"5 on scale 1-7","2016","Urban Area","Male","158","0.113886929563827","0.0993042856817359","0.128469573445917","5"
"5 on scale 1-7","2016","Urban Area","Female","92","0.109135733381402","0.0913824710239427","0.126888995738862","5"
"5 on scale 1-7","2016","Rural Area","Male","53","0.0666095538377547","0.0500026342413348","0.0832164734341746","5"
"5 on scale 1-7","2016","Rural Area","Female","36","0.0457153079581763","0.0268524523230576","0.064578163593295","5"
"6 on scale 1-7","2016","Urban Area","Male","258","0.202047622671921","0.1836157222457","0.220479523098142","6"
"6 on scale 1-7","2016","Urban Area","Female","157","0.104058928284263","0.0866741837495846","0.121443672818942","6"
"6 on scale 1-7","2016","Rural Area","Female","55","0.100089393256542","0.072985520421348","0.127193266091736","6"
"6 on scale 1-7","2016","Rural Area","Male","87","0.137251236942642","0.114332564839006","0.160169909046278","6"
"7 Strongly agree","2016","Urban Area","Male","1279","0.535422668204486","0.512528116642855","0.558317219766117","7"
"7 Strongly agree","2016","Rural Area","Female","344","0.661924285398057","0.619202560172879","0.704646010623236","7"
"7 Strongly agree","2016","Urban Area","Female","847","0.499814289130937","0.47134616241781","0.528282415844064","7"
"7 Strongly agree","2016","Rural Area","Male","673","0.713397604048587","0.683281771299803","0.743513436797371","7"
"1 Strongly disagree","2017","Urban Area","Male","13","","","","1"
"1 Strongly disagree","2017","Urban Area","Female","5","","","","1"
"1 Strongly disagree","2017","Rural Area","Male","11","","","","1"
"1 Strongly disagree","2017","Rural Area","Female","9","","","","1"
"2 on scale 1-7 ","2017","Urban Area","Male","6","","","","2"
"2 on scale 1-7 ","2017","Rural Area","Male","2","","","","2"
"2 on scale 1-7 ","2017","Rural Area","Female","5","","","","2"
"2 on scale 1-7 ","2017","Urban Area","Female","7","","","","2"
"3 on scale 1-7 ","2017","Urban Area","Male","13","","","","3"
"3 on scale 1-7 ","2017","Urban Area","Female","10","","","","3"
"3 on scale 1-7 ","2017","Rural Area","Male","3","","","","3"
"3 on scale 1-7 ","2017","Rural Area","Female","4","","","","3"
"4 on scale 1-7","2017","Urban Area","Male","54","0.0483799518325707","0.0362093953870049","0.0605505082781366","4"
"4 on scale 1-7","2017","Urban Area","Female","40","0.0553395032911505","0.0403012597509533","0.0703777468313478","4"
"4 on scale 1-7","2017","Rural Area","Male","19","","","","4"
"4 on scale 1-7","2017","Rural Area","Female","14","","","","4"
"5 on scale 1-7","2017","Urban Area","Male","115","0.114854494631808","0.0967691304104744","0.132939858853141","5"
"5 on scale 1-7","2017","Urban Area","Female","86","0.0989009478467022","0.0792660746249585","0.118535821068446","5"
"5 on scale 1-7","2017","Rural Area","Male","22","","","","5"
"5 on scale 1-7","2017","Rural Area","Female","28","","","","5"
"6 on scale 1-7","2017","Urban Area","Male","152","0.146814755034729","0.126739898600437","0.166889611469022","6"
"6 on scale 1-7","2017","Urban Area","Female","105","0.115658424136789","0.0946235331786277","0.13669331509495","6"
"6 on scale 1-7","2017","Rural Area","Female","28","","","","6"
"6 on scale 1-7","2017","Rural Area","Male","42","0.0867823480297777","0.0606557111868238","0.112908984872732","6"
"7 Strongly agree","2017","Urban Area","Male","841","0.661232091481798","0.63438643549973","0.688077747463866","7"
"7 Strongly agree","2017","Urban Area","Female","635","0.703395387134066","0.673353285116354","0.733437489151778","7"
"7 Strongly agree","2017","Rural Area","Male","347","0.747919825382256","0.707622378652529","0.788217272111982","7"
"7 Strongly agree","2017","Rural Area","Female","233","0.734179362101313","0.685852231613206","0.782506492589421","7"
"1 Strongly disagree","2018","Rural Area","Female","2","","","","1"
"1 Strongly disagree","2018","Urban Area","Male","3","","","","1"
"1 Strongly disagree","2018","Urban Area","Female","3","","","","1"
"1 Strongly disagree","2018","Rural Area","Male","","","","","1"
"2 on scale 1-7 ","2018","Rural Area","Female","1","","","","2"
"2 on scale 1-7 ","2018","Urban Area","Male","2","","","","2"
"2 on scale 1-7 ","2018","Rural Area","Male","1","","","","2"
