"plh0206i06","year","regtyp","n","percent","lower_confidence","upper_confidence"
"2 on scale 1-7 ","2012","Rural Area","","","",""
"3 on scale 1-7 ","2012","Urban Area","","","",""
"3 on scale 1-7 ","2012","Rural Area","","","",""
"4 on scale 1-7","2012","Urban Area","","","",""
"4 on scale 1-7","2012","Rural Area","","","",""
"5 on scale 1-7","2012","Urban Area","","","",""
"5 on scale 1-7","2012","Rural Area","","","",""
"6 on scale 1-7","2012","Urban Area","","","",""
"6 on scale 1-7","2012","Rural Area","","","",""
"7 Strongly agree","2012","Urban Area","","","",""
"7 Strongly agree","2012","Rural Area","","","",""
"1 Strongly disagree","2013","Urban Area","","","",""
"1 Strongly disagree","2013","Rural Area","","","",""
"2 on scale 1-7 ","2013","Urban Area","","","",""
"2 on scale 1-7 ","2013","Rural Area","","","",""
"3 on scale 1-7 ","2013","Urban Area","","","",""
"3 on scale 1-7 ","2013","Rural Area","","","",""
"4 on scale 1-7","2013","Urban Area","","","",""
"4 on scale 1-7","2013","Rural Area","","","",""
"5 on scale 1-7","2013","Urban Area","","","",""
"5 on scale 1-7","2013","Rural Area","","","",""
"6 on scale 1-7","2013","Urban Area","","","",""
"6 on scale 1-7","2013","Rural Area","","","",""
"7 Strongly agree","2013","Urban Area","","","",""
"7 Strongly agree","2013","Rural Area","","","",""
"1 Strongly disagree","2014","Urban Area","","","",""
"1 Strongly disagree","2014","Rural Area","","","",""
"2 on scale 1-7 ","2014","Urban Area","","","",""
"2 on scale 1-7 ","2014","Rural Area","","","",""
"3 on scale 1-7 ","2014","Urban Area","","","",""
"3 on scale 1-7 ","2014","Rural Area","","","",""
"4 on scale 1-7","2014","Urban Area","","","",""
"4 on scale 1-7","2014","Rural Area","","","",""
"5 on scale 1-7","2014","Urban Area","","","",""
"5 on scale 1-7","2014","Rural Area","","","",""
"6 on scale 1-7","2014","Urban Area","","","",""
"6 on scale 1-7","2014","Rural Area","","","",""
"7 Strongly agree","2014","Urban Area","","","",""
"7 Strongly agree","2014","Rural Area","","","",""
"1 Strongly disagree","2015","Urban Area","426","0.0265684710708212","0.0241887166343459","0.0289482255072965"
"1 Strongly disagree","2015","Rural Area","265","0.0265613461613027","0.0232599568525953","0.0298627354700101"
"2 on scale 1-7 ","2015","Urban Area","553","0.0335088144074633","0.0308457931131919","0.0361718357017346"
"2 on scale 1-7 ","2015","Rural Area","302","0.0329940500549566","0.0293267217240735","0.0366613783858396"
"3 on scale 1-7 ","2015","Urban Area","936","0.0523106440887241","0.0490158809808539","0.0556054071965942"
"3 on scale 1-7 ","2015","Rural Area","500","0.0569325628706719","0.052175168571269","0.0616899571700748"
"4 on scale 1-7","2015","Urban Area","2549","0.143962597986304","0.138767815505733","0.149157380466876"
"4 on scale 1-7","2015","Rural Area","1396","0.153937847403311","0.146528307444217","0.161347387362406"
"5 on scale 1-7","2015","Urban Area","3752","0.222043627488176","0.215893375111485","0.228193879864867"
"5 on scale 1-7","2015","Rural Area","2065","0.225797558901073","0.217213270591901","0.234381847210244"
"6 on scale 1-7","2015","Urban Area","4960","0.285543973692545","0.278860220405362","0.292227726979728"
"6 on scale 1-7","2015","Rural Area","2528","0.27431305041017","0.265152632289296","0.283473468531043"
"7 Strongly agree","2015","Urban Area","4367","0.236061871265966","0.229777842342017","0.242345900189914"
"7 Strongly agree","2015","Rural Area","2057","0.229463584198515","0.220830402595963","0.238096765801067"
"1 Strongly disagree","2016","Urban Area","31","0.0143792182560073","0.0101248827244447","0.01863355378757"
"1 Strongly disagree","2016","Rural Area","18","","",""
"2 on scale 1-7 ","2016","Urban Area","26","","",""
"2 on scale 1-7 ","2016","Rural Area","9","","",""
"3 on scale 1-7 ","2016","Urban Area","27","","",""
"3 on scale 1-7 ","2016","Rural Area","13","","",""
"4 on scale 1-7","2016","Urban Area","133","0.13515566220756","0.122937798656483","0.147373525758637"
"4 on scale 1-7","2016","Rural Area","49","0.0688141216586302","0.055245386572843","0.0823828567444174"
"5 on scale 1-7","2016","Urban Area","250","0.112222342959162","0.100942554726396","0.123502131191927"
"5 on scale 1-7","2016","Rural Area","89","0.059621794419148","0.0469296154781886","0.0723139733601075"
"6 on scale 1-7","2016","Urban Area","415","0.167717180016302","0.154365576849642","0.181068783182962"
"6 on scale 1-7","2016","Rural Area","142","0.124823029448246","0.10710653929141","0.142539519605082"
"7 Strongly agree","2016","Urban Area","2126","0.522947234956974","0.505097929600681","0.540796540313268"
"7 Strongly agree","2016","Rural Area","1017","0.696183143700021","0.671531262163979","0.720835025236064"
"1 Strongly disagree","2017","Urban Area","18","","",""
"1 Strongly disagree","2017","Rural Area","20","","",""
"2 on scale 1-7 ","2017","Urban Area","13","","",""
"2 on scale 1-7 ","2017","Rural Area","7","","",""
"3 on scale 1-7 ","2017","Urban Area","23","","",""
"3 on scale 1-7 ","2017","Rural Area","7","","",""
"4 on scale 1-7","2017","Urban Area","94","0.0507432262049826","0.0413158981777343","0.0601705542322308"
"4 on scale 1-7","2017","Rural Area","33","0.0614095431456448","0.04441903337236","0.0784000529189295"
"5 on scale 1-7","2017","Urban Area","201","0.109437104087215","0.0960273033960882","0.122846904778343"
"5 on scale 1-7","2017","Rural Area","50","0.0628989969852601","0.0457173231502514","0.0800806708202689"
"6 on scale 1-7","2017","Urban Area","257","0.136234912527967","0.121499925420119","0.150969899635815"
"6 on scale 1-7","2017","Rural Area","70","0.078812235336668","0.0597435254112342","0.0978809452621018"
"7 Strongly agree","2017","Urban Area","1476","0.675549599824751","0.655439672271577","0.695659527377925"
"7 Strongly agree","2017","Rural Area","580","0.743401524042257","0.712492224102941","0.774310823981573"
"1 Strongly disagree","2018","Urban Area","6","","",""
"1 Strongly disagree","2018","Rural Area","2","","",""
"2 on scale 1-7 ","2018","Urban Area","5","","",""
"2 on scale 1-7 ","2018","Rural Area","2","","",""
"3 on scale 1-7 ","2018","Urban Area","1","","",""
"3 on scale 1-7 ","2018","Rural Area","","","",""
"4 on scale 1-7","2018","Urban Area","18","","",""
"4 on scale 1-7","2018","Rural Area","8","","",""
"5 on scale 1-7","2018","Urban Area","21","","",""
"5 on scale 1-7","2018","Rural Area","10","","",""
"6 on scale 1-7","2018","Urban Area","30","0.0898089326951756","0.0553206015610911","0.12429726382926"
"6 on scale 1-7","2018","Rural Area","20","","",""
"7 Strongly agree","2018","Urban Area","183","0.750184057667119","0.697963666833488","0.802404448500751"
"7 Strongly agree","2018","Rural Area","113","0.792940525145274","0.729150892211255","0.856730158079294"
"1 Strongly disagree","2019","Urban Area","2","","",""
"1 Strongly disagree","2019","Rural Area","2","","",""
"2 on scale 1-7 ","2019","Urban Area","3","","",""
"2 on scale 1-7 ","2019","Rural Area","1","","",""
"3 on scale 1-7 ","2019","Urban Area","3","","",""
"3 on scale 1-7 ","2019","Rural Area","5","","",""
"4 on scale 1-7","2019","Urban Area","14","","",""
"4 on scale 1-7","2019","Rural Area","7","","",""
"5 on scale 1-7","2019","Urban Area","21","","",""
"5 on scale 1-7","2019","Rural Area","14","","",""
"6 on scale 1-7","2019","Urban Area","19","","",""
"6 on scale 1-7","2019","Rural Area","11","","",""
"7 Strongly agree","2019","Urban Area","112","0.67897106787752","0.609601148738254","0.748340987016785"
"7 Strongly agree","2019","Rural Area","61","0.564221356925464","0.467517201623107","0.660925512227821"
