"plh0206i06","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher vocational","2","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher education","5","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","in school","","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","inadequately","1","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","general elemantary","29","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","middle vocational","77","0.0536935724074467","0.0424281632914564","0.064958981523437"
"3 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","8","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","higher vocational","7","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","higher education","23","","",""
"3 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","",""
"3 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","3","","",""
"3 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","44","0.0585085225585594","0.040970863043527","0.0760461820735917"
"3 on scale 1-7 ","2005","(Married) couple without C. ","middle vocational","213","0.0597360675175399","0.0520464566551677","0.0674256783799121"
"3 on scale 1-7 ","2005","(Married) couple without C. ","vocational + Abi","12","","",""
"3 on scale 1-7 ","2005","(Married) couple without C. ","higher vocational","29","","",""
"3 on scale 1-7 ","2005","(Married) couple without C. ","higher education","64","0.0355087603820474","0.026592843908236","0.0444246768558589"
"3 on scale 1-7 ","2005","Single parent ","in school","9","","",""
"3 on scale 1-7 ","2005","Single parent ","inadequately","1","","",""
"3 on scale 1-7 ","2005","Single parent ","general elemantary","10","","",""
"3 on scale 1-7 ","2005","Single parent ","middle vocational","43","0.0834904941722575","0.0599401553978853","0.10704083294663"
"3 on scale 1-7 ","2005","Single parent ","vocational + Abi","2","","",""
"3 on scale 1-7 ","2005","Single parent ","higher vocational","4","","",""
"3 on scale 1-7 ","2005","Single parent ","higher education","2","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","in school","","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","inadequately","1","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","general elemantary","22","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","middle vocational","107","0.0591411588982694","0.0483570941219501","0.0699252236745887"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","vocational + Abi","20","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","higher vocational","21","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","higher education","37","0.0491516547544421","0.0344354600558659","0.0638678494530183"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","in school","24","","",""
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","inadequately","1","","",""
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","general elemantary","29","","",""
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","middle vocational","94","0.0548335853043677","0.0442278955167388","0.0654392750919967"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","vocational + Abi","14","","",""
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","higher vocational","12","","",""
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","higher education","35","0.0672658460457139","0.0476909703630605","0.0868407217283673"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","in school","17","","",""
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","inadequately","2","","",""
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","general elemantary","20","","",""
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","middle vocational","53","0.0797662772848967","0.0590965447302016","0.100436009839592"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher vocational","6","","",""
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher education","11","","",""
"4 on scale 1-7","2005","1-pers.-HH","in school","1","","",""
"4 on scale 1-7","2005","1-pers.-HH","inadequately","5","","",""
"4 on scale 1-7","2005","1-pers.-HH","general elemantary","88","0.181783772703113","0.145160690490708","0.218406854915517"
"4 on scale 1-7","2005","1-pers.-HH","middle vocational","260","0.178802949805599","0.159652412948625","0.197953486662573"
"4 on scale 1-7","2005","1-pers.-HH","vocational + Abi","26","","",""
"4 on scale 1-7","2005","1-pers.-HH","higher vocational","30","0.14368503701696","0.0947029239522296","0.19266715008169"
"4 on scale 1-7","2005","1-pers.-HH","higher education","66","0.133760389430952","0.105592815552408","0.161927963309495"
"4 on scale 1-7","2005","(Married) couple without C. ","in school","2","","",""
"4 on scale 1-7","2005","(Married) couple without C. ","inadequately","14","","",""
"4 on scale 1-7","2005","(Married) couple without C. ","general elemantary","101","0.137949575738203","0.112181594746652","0.163717556729755"
"4 on scale 1-7","2005","(Married) couple without C. ","middle vocational","577","0.148854703183617","0.137305705566743","0.160403700800491"
"4 on scale 1-7","2005","(Married) couple without C. ","vocational + Abi","64","0.171124829527508","0.13172488483755","0.210524774217467"
"4 on scale 1-7","2005","(Married) couple without C. ","higher vocational","91","0.19764300649014","0.164660882157005","0.230625130823275"
"4 on scale 1-7","2005","(Married) couple without C. ","higher education","221","0.138161002391744","0.121536260913528","0.15478574386996"
"4 on scale 1-7","2005","Single parent ","in school","16","","",""
"4 on scale 1-7","2005","Single parent ","inadequately","5","","",""
"4 on scale 1-7","2005","Single parent ","general elemantary","46","0.232677012057593","0.174835850716094","0.290518173399093"
"4 on scale 1-7","2005","Single parent ","middle vocational","74","0.157096695701584","0.126116613941302","0.188076777461866"
"4 on scale 1-7","2005","Single parent ","vocational + Abi","8","","",""
"4 on scale 1-7","2005","Single parent ","higher vocational","11","","",""
"4 on scale 1-7","2005","Single parent ","higher education","20","","",""
"4 on scale 1-7","2005","Couple + C. LE 16 ","in school","","","",""
"4 on scale 1-7","2005","Couple + C. LE 16 ","inadequately","6","","",""
"4 on scale 1-7","2005","Couple + C. LE 16 ","general elemantary","44","0.178779799026677","0.132990817329182","0.224568780724172"
"4 on scale 1-7","2005","Couple + C. LE 16 ","middle vocational","291","0.169432954388409","0.152283053002462","0.186582855774356"
"4 on scale 1-7","2005","Couple + C. LE 16 ","vocational + Abi","46","0.126231282449845","0.0893800058452269","0.163082559054464"
"4 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","67","0.156348300248331","0.121193524036075","0.191503076460586"
"4 on scale 1-7","2005","Couple + C. LE 16 ","higher education","127","0.166637948620699","0.141270625481259","0.192005271760138"
"4 on scale 1-7","2005","Couple + C. GT 16 ","in school","54","0.256173951033368","0.203716105775396","0.308631796291341"
"4 on scale 1-7","2005","Couple + C. GT 16 ","inadequately","11","","",""
"4 on scale 1-7","2005","Couple + C. GT 16 ","general elemantary","84","0.199099777738803","0.161268518160605","0.236931037317002"
"4 on scale 1-7","2005","Couple + C. GT 16 ","middle vocational","309","0.18559583552814","0.167483870777582","0.203707800278697"
"4 on scale 1-7","2005","Couple + C. GT 16 ","vocational + Abi","33","0.288759627493343","0.221228892540594","0.356290362446092"
"4 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","30","0.149498650415322","0.101155929829357","0.197841371001286"
"4 on scale 1-7","2005","Couple + C. GT 16 ","higher education","84","0.146794494186518","0.119137531970742","0.174451456402294"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","in school","51","0.197175936398003","0.148052926725945","0.24629894607006"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","3","","",""
"4 on scale 1-7","2005","Couple + C. LE and GT 16","general elemantary","51","0.218256404472807","0.166533760993445","0.269979047952169"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","middle vocational","122","0.155907736658925","0.128231635041161","0.183583838276688"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","vocational + Abi","10","","",""
"4 on scale 1-7","2005","Couple + C. LE and GT 16","higher vocational","19","","",""
"4 on scale 1-7","2005","Couple + C. LE and GT 16","higher education","37","0.112630295122036","0.0761818438467542","0.149078746397319"
"5 on scale 1-7","2005","1-pers.-HH","in school","2","","",""
"5 on scale 1-7","2005","1-pers.-HH","inadequately","4","","",""
"5 on scale 1-7","2005","1-pers.-HH","general elemantary","89","0.211146326909388","0.172390832383192","0.249901821435585"
"5 on scale 1-7","2005","1-pers.-HH","middle vocational","317","0.204382398298878","0.184229205480018","0.224535591117737"
"5 on scale 1-7","2005","1-pers.-HH","vocational + Abi","40","0.198864719333466","0.1397275045654","0.258001934101533"
"5 on scale 1-7","2005","1-pers.-HH","higher vocational","49","0.258280237671263","0.197160639282878","0.319399836059648"
"5 on scale 1-7","2005","1-pers.-HH","higher education","123","0.199433813276209","0.166369106281941","0.232498520270477"
"5 on scale 1-7","2005","(Married) couple without C. ","in school","","","",""
"5 on scale 1-7","2005","(Married) couple without C. ","inadequately","8","","",""
"5 on scale 1-7","2005","(Married) couple without C. ","general elemantary","146","0.219204680673428","0.188291237198734","0.250118124148121"
"5 on scale 1-7","2005","(Married) couple without C. ","middle vocational","786","0.215719577953733","0.20237386968162","0.229065286225845"
"5 on scale 1-7","2005","(Married) couple without C. ","vocational + Abi","84","0.243130981327344","0.198253854064163","0.288008108590525"
"5 on scale 1-7","2005","(Married) couple without C. ","higher vocational","124","0.204057642246984","0.170678796210583","0.237436488283385"
"5 on scale 1-7","2005","(Married) couple without C. ","higher education","376","0.228232237270344","0.208012248845903","0.248452225694785"
"5 on scale 1-7","2005","Single parent ","in school","29","","",""
"5 on scale 1-7","2005","Single parent ","inadequately","4","","",""
"5 on scale 1-7","2005","Single parent ","general elemantary","48","0.240534187124948","0.182026398909164","0.299041975340731"
"5 on scale 1-7","2005","Single parent ","middle vocational","103","0.190326230115206","0.15690560922408","0.223746851006332"
"5 on scale 1-7","2005","Single parent ","vocational + Abi","7","","",""
"5 on scale 1-7","2005","Single parent ","higher vocational","8","","",""
"5 on scale 1-7","2005","Single parent ","higher education","33","0.259660488141574","0.180551562574957","0.338769413708191"
"5 on scale 1-7","2005","Couple + C. LE 16 ","in school","","","",""
"5 on scale 1-7","2005","Couple + C. LE 16 ","inadequately","7","","",""
"5 on scale 1-7","2005","Couple + C. LE 16 ","general elemantary","51","0.177068648169422","0.131451871847665","0.222685424491178"
"5 on scale 1-7","2005","Couple + C. LE 16 ","middle vocational","423","0.230132485497517","0.210889506816547","0.249375464178488"
"5 on scale 1-7","2005","Couple + C. LE 16 ","vocational + Abi","78","0.285555206626817","0.235436463251717","0.335673950001918"
"5 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","113","0.306942214702105","0.262297587884361","0.351586841519848"
"5 on scale 1-7","2005","Couple + C. LE 16 ","higher education","203","0.23744650440859","0.208480481214542","0.266412527602637"
"5 on scale 1-7","2005","Couple + C. GT 16 ","in school","64","0.216911835890024","0.167383443955609","0.26644022782444"
"5 on scale 1-7","2005","Couple + C. GT 16 ","inadequately","8","","",""
"5 on scale 1-7","2005","Couple + C. GT 16 ","general elemantary","95","0.213494878704673","0.174673521463067","0.252316235946279"
"5 on scale 1-7","2005","Couple + C. GT 16 ","middle vocational","407","0.220335416183933","0.201026516938443","0.239644315429422"
"5 on scale 1-7","2005","Couple + C. GT 16 ","vocational + Abi","43","0.234913720026057","0.171740292928739","0.298087147123375"
"5 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","44","0.193963411917205","0.14035755615672","0.24756926767769"
"5 on scale 1-7","2005","Couple + C. GT 16 ","higher education","137","0.220883177572858","0.188463747202136","0.25330260794358"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","in school","59","0.233802316488453","0.181545536810421","0.286059096166485"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","5","","",""
"5 on scale 1-7","2005","Couple + C. LE and GT 16","general elemantary","46","0.147983760541936","0.103521041801366","0.192446479282506"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","middle vocational","143","0.2222372292116","0.190519060444479","0.253955397978721"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","vocational + Abi","16","","",""
"5 on scale 1-7","2005","Couple + C. LE and GT 16","higher vocational","26","","",""
"5 on scale 1-7","2005","Couple + C. LE and GT 16","higher education","80","0.302114548147677","0.249175386230741","0.355053710064613"
"6 on scale 1-7","2005","1-pers.-HH","in school","1","","",""
"6 on scale 1-7","2005","1-pers.-HH","inadequately","4","","",""
"6 on scale 1-7","2005","1-pers.-HH","general elemantary","84","0.177822994513464","0.141513524122495","0.214132464904434"
"6 on scale 1-7","2005","1-pers.-HH","middle vocational","391","0.248043467373938","0.226459554043479","0.269627380704396"
"6 on scale 1-7","2005","1-pers.-HH","vocational + Abi","51","0.294535345757443","0.226999334652579","0.362071356862307"
"6 on scale 1-7","2005","1-pers.-HH","higher vocational","48","0.264224252619648","0.20265355827079","0.325794946968507"
"6 on scale 1-7","2005","1-pers.-HH","higher education","175","0.330576711940853","0.291649509240364","0.369503914641341"
"6 on scale 1-7","2005","(Married) couple without C. ","in school","2","","",""
"6 on scale 1-7","2005","(Married) couple without C. ","inadequately","11","","",""
"6 on scale 1-7","2005","(Married) couple without C. ","general elemantary","150","0.224872450853279","0.193675756008741","0.256069145697817"
"6 on scale 1-7","2005","(Married) couple without C. ","middle vocational","926","0.242109255544079","0.228210684313598","0.256007826774561"
"6 on scale 1-7","2005","(Married) couple without C. ","vocational + Abi","102","0.296745331166198","0.248954697144915","0.344535965187482"
"6 on scale 1-7","2005","(Married) couple without C. ","higher vocational","140","0.242578094504938","0.207076423236919","0.278079765772956"
"6 on scale 1-7","2005","(Married) couple without C. ","higher education","521","0.297336392631489","0.275314894720693","0.319357890542286"
"6 on scale 1-7","2005","Single parent ","in school","19","","",""
"6 on scale 1-7","2005","Single parent ","inadequately","1","","",""
"6 on scale 1-7","2005","Single parent ","general elemantary","35","0.162381276791802","0.11189628096378","0.212866272619823"
"6 on scale 1-7","2005","Single parent ","middle vocational","146","0.264374361569946","0.226829694914589","0.301919028225302"
"6 on scale 1-7","2005","Single parent ","vocational + Abi","13","","",""
"6 on scale 1-7","2005","Single parent ","higher vocational","16","","",""
"6 on scale 1-7","2005","Single parent ","higher education","27","","",""
"6 on scale 1-7","2005","Couple + C. LE 16 ","in school","1","","",""
"6 on scale 1-7","2005","Couple + C. LE 16 ","inadequately","1","","",""
"6 on scale 1-7","2005","Couple + C. LE 16 ","general elemantary","56","0.225109173259684","0.175199031045063","0.275019315474306"
"6 on scale 1-7","2005","Couple + C. LE 16 ","middle vocational","492","0.252689122050595","0.232822718062259","0.272555526038931"
"6 on scale 1-7","2005","Couple + C. LE 16 ","vocational + Abi","89","0.238458301859864","0.191173250892697","0.285743352827032"
"6 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","95","0.215993930275488","0.176161514301195","0.255826346249781"
"6 on scale 1-7","2005","Couple + C. LE 16 ","higher education","270","0.322875224613938","0.291046258001089","0.354704191226787"
"6 on scale 1-7","2005","Couple + C. GT 16 ","in school","66","0.235840501783402","0.184824258431677","0.286856745135126"
"6 on scale 1-7","2005","Couple + C. GT 16 ","inadequately","9","","",""
"6 on scale 1-7","2005","Couple + C. GT 16 ","general elemantary","94","0.220073657589747","0.180823895216387","0.259323419963106"
"6 on scale 1-7","2005","Couple + C. GT 16 ","middle vocational","448","0.254605498550933","0.234310527343289","0.274900469758578"
"6 on scale 1-7","2005","Couple + C. GT 16 ","vocational + Abi","44","0.215350606033431","0.154096400643884","0.276604811422978"
"6 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","71","0.326255990116666","0.262693390115384","0.389818590117947"
"6 on scale 1-7","2005","Couple + C. GT 16 ","higher education","220","0.321853169366912","0.285343026570848","0.358363312162975"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","in school","69","0.281379201668536","0.225859936620116","0.336898466716956"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","9","","",""
"6 on scale 1-7","2005","Couple + C. LE and GT 16","general elemantary","59","0.253384708799294","0.198921441646673","0.307847975951915"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","middle vocational","167","0.264233935141055","0.230595150520056","0.297872719762054"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","vocational + Abi","14","","",""
"6 on scale 1-7","2005","Couple + C. LE and GT 16","higher vocational","28","","",""
"6 on scale 1-7","2005","Couple + C. LE and GT 16","higher education","88","0.328063098516803","0.273932589993663","0.382193607039943"
"7 Strongly agree","2005","1-pers.-HH","in school","","","",""
"7 Strongly agree","2005","1-pers.-HH","inadequately","7","","",""
"7 Strongly agree","2005","1-pers.-HH","general elemantary","101","0.257613635559699","0.216085473751744","0.299141797367653"
"7 Strongly agree","2005","1-pers.-HH","middle vocational","406","0.261977214791881","0.24000182593647","0.283952603647292"
"7 Strongly agree","2005","1-pers.-HH","vocational + Abi","39","0.231680318833229","0.169171021526039","0.294189616140419"
"7 Strongly agree","2005","1-pers.-HH","higher vocational","50","0.22596860321575","0.167567867658545","0.284369338772956"
"7 Strongly agree","2005","1-pers.-HH","higher education","160","0.280815474878663","0.24362794382198","0.318003005935347"
"7 Strongly agree","2005","(Married) couple without C. ","in school","","","",""
"7 Strongly agree","2005","(Married) couple without C. ","inadequately","16","","",""
"7 Strongly agree","2005","(Married) couple without C. ","general elemantary","189","0.271102711334109","0.237886203640866","0.304319219027351"
"7 Strongly agree","2005","(Married) couple without C. ","middle vocational","953","0.274420483124195","0.259942371232719","0.28889859501567"
"7 Strongly agree","2005","(Married) couple without C. ","vocational + Abi","77","0.221187688497378","0.17776752924784","0.264607847746915"
"7 Strongly agree","2005","(Married) couple without C. ","higher vocational","152","0.265534972569386","0.228958610967771","0.302111334171001"
"7 Strongly agree","2005","(Married) couple without C. ","higher education","430","0.26422659107838","0.242983906675182","0.285469275481579"
"7 Strongly agree","2005","Single parent ","in school","18","","",""
"7 Strongly agree","2005","Single parent ","inadequately","5","","",""
"7 Strongly agree","2005","Single parent ","general elemantary","46","0.227673592799072","0.170271472676537","0.285075712921606"
"7 Strongly agree","2005","Single parent ","middle vocational","127","0.227212076095982","0.191537729726822","0.262886422465143"
"7 Strongly agree","2005","Single parent ","vocational + Abi","10","","",""
"7 Strongly agree","2005","Single parent ","higher vocational","9","","",""
"7 Strongly agree","2005","Single parent ","higher education","33","0.350521220160409","0.264432405564231","0.436610034756587"
"7 Strongly agree","2005","Couple + C. LE 16 ","in school","1","","",""
"7 Strongly agree","2005","Couple + C. LE 16 ","inadequately","11","","",""
"7 Strongly agree","2005","Couple + C. LE 16 ","general elemantary","67","0.258660267758542","0.206330904434003","0.310989631083081"
"7 Strongly agree","2005","Couple + C. LE 16 ","middle vocational","391","0.213725460865037","0.194984555183256","0.232466366546818"
"7 Strongly agree","2005","Couple + C. LE 16 ","vocational + Abi","65","0.229913996735514","0.183224078377049","0.27660391509398"
"7 Strongly agree","2005","Couple + C. LE 16 ","higher vocational","88","0.229034895406642","0.188360196074901","0.269709594738383"
"7 Strongly agree","2005","Couple + C. LE 16 ","higher education","167","0.197902484888058","0.170781214101879","0.225023755674237"
"7 Strongly agree","2005","Couple + C. GT 16 ","in school","41","0.148138915380261","0.105448906764485","0.190828923996037"
"7 Strongly agree","2005","Couple + C. GT 16 ","inadequately","8","","",""
"7 Strongly agree","2005","Couple + C. GT 16 ","general elemantary","90","0.186746401890084","0.149826093101558","0.223666710678611"
"7 Strongly agree","2005","Couple + C. GT 16 ","middle vocational","420","0.23204674595167","0.212380720738806","0.251712771164534"
"7 Strongly agree","2005","Couple + C. GT 16 ","vocational + Abi","34","0.169962797258495","0.113993384067699","0.225932210449291"
"7 Strongly agree","2005","Couple + C. GT 16 ","higher vocational","44","0.217116161533056","0.161221582708","0.273010740358111"
"7 Strongly agree","2005","Couple + C. GT 16 ","higher education","141","0.226245401780775","0.193547922711745","0.258942880849805"
"7 Strongly agree","2005","Couple + C. LE and GT 16","in school","40","0.174141512070727","0.127319314353824","0.22096370978763"
"7 Strongly agree","2005","Couple + C. LE and GT 16","inadequately","9","","",""
"7 Strongly agree","2005","Couple + C. LE and GT 16","general elemantary","56","0.231840880361171","0.178998100893868","0.284683659828474"
"7 Strongly agree","2005","Couple + C. LE and GT 16","middle vocational","135","0.195832332192204","0.165556811209575","0.226107853174832"
"7 Strongly agree","2005","Couple + C. LE and GT 16","vocational + Abi","12","","",""
"7 Strongly agree","2005","Couple + C. LE and GT 16","higher vocational","22","","",""
"7 Strongly agree","2005","Couple + C. LE and GT 16","higher education","68","0.183420260150417","0.138801024903375","0.228039495397459"
"1 Strongly disagree","2006","1-pers.-HH","in school","","","",""
"1 Strongly disagree","2006","1-pers.-HH","inadequately","","","",""
"1 Strongly disagree","2006","1-pers.-HH","general elemantary","","","",""
"1 Strongly disagree","2006","1-pers.-HH","middle vocational","","","",""
"1 Strongly disagree","2006","1-pers.-HH","vocational + Abi","","","",""
"1 Strongly disagree","2006","1-pers.-HH","higher vocational","","","",""
"1 Strongly disagree","2006","1-pers.-HH","higher education","","","",""
"1 Strongly disagree","2006","(Married) couple without C. ","in school","","","",""
"1 Strongly disagree","2006","(Married) couple without C. ","inadequately","","","",""
