"plh0206i06","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2010","16-34 y.","Female","48","0.0175691009474238","0.011592078583539","0.0235461233113085"
"1 Strongly disagree","2010","35-65 y.","Male","90","0.0252694993998567","0.0205791632736315","0.0299598355260819"
"1 Strongly disagree","2010","35-65 y.","Female","133","0.026530989596324","0.02196219141941","0.031099787773238"
"1 Strongly disagree","2010","66 and older","Male","43","0.0239080890768837","0.0170571643334142","0.0307590138203532"
"1 Strongly disagree","2010","66 and older","Female","77","0.0444358479153676","0.0356309994995534","0.0532406963311818"
"2 on scale 1-7 ","2010","16-34 y.","Male","62","0.0209206487942468","0.0141570102926733","0.0276842872958203"
"2 on scale 1-7 ","2010","16-34 y.","Female","66","0.02625220140052","0.0189783367900847","0.0335260660109553"
"2 on scale 1-7 ","2010","35-65 y.","Male","126","0.0296310719711466","0.0245634350427296","0.0346987088995637"
"2 on scale 1-7 ","2010","35-65 y.","Female","180","0.0375033897688717","0.0321020804369449","0.0429046991007985"
"2 on scale 1-7 ","2010","66 and older","Male","59","0.0298654687554601","0.022231822042123","0.0374991154687973"
"2 on scale 1-7 ","2010","66 and older","Female","77","0.0382502388759784","0.030054778729949","0.0464456990220077"
"3 on scale 1-7 ","2010","16-34 y.","Male","115","0.0624754066406188","0.0510379424362919","0.0739128708449457"
"3 on scale 1-7 ","2010","16-34 y.","Female","155","0.0901605903039595","0.0771304272446216","0.103190753363297"
"3 on scale 1-7 ","2010","35-65 y.","Male","265","0.0607513644676854","0.0536124582880642","0.0678902706473065"
"3 on scale 1-7 ","2010","35-65 y.","Female","314","0.0687718353501026","0.0615773862801565","0.0759662844200487"
"3 on scale 1-7 ","2010","66 and older","Male","108","0.0645385198057379","0.0535192234749835","0.0755578161364924"
"3 on scale 1-7 ","2010","66 and older","Female","120","0.0624319551784665","0.0520941084322826","0.0727698019246504"
"4 on scale 1-7","2010","16-34 y.","Male","267","0.162700854161425","0.14525793740796","0.180143770914891"
"4 on scale 1-7","2010","16-34 y.","Female","340","0.203428583530442","0.18511482633988","0.221742340721005"
"4 on scale 1-7","2010","35-65 y.","Male","618","0.139814609507425","0.129450412065622","0.150178806949228"
"4 on scale 1-7","2010","35-65 y.","Female","795","0.172761360757111","0.162013973506013","0.183508748008209"
"4 on scale 1-7","2010","66 and older","Male","311","0.168745452081794","0.151949119594199","0.18554178456939"
"4 on scale 1-7","2010","66 and older","Female","338","0.167656217788402","0.151694250172872","0.183618185403932"
"5 on scale 1-7","2010","16-34 y.","Male","462","0.262507461267011","0.241713678194591","0.283301244339432"
"5 on scale 1-7","2010","16-34 y.","Female","416","0.204363327426073","0.186018316112898","0.222708338739249"
"5 on scale 1-7","2010","35-65 y.","Male","1063","0.246691690661646","0.233808393939278","0.259574987384015"
"5 on scale 1-7","2010","35-65 y.","Female","1057","0.205554743858071","0.194066333921866","0.217043153794275"
"5 on scale 1-7","2010","66 and older","Male","394","0.206520417321614","0.188366064040508","0.22467477060272"
"5 on scale 1-7","2010","66 and older","Female","471","0.2060653138172","0.188782276852849","0.223348350781551"
"6 on scale 1-7","2010","16-34 y.","Male","482","0.284083969909085","0.262771279559791","0.305396660258379"
"6 on scale 1-7","2010","16-34 y.","Female","504","0.25702269076196","0.237141947667039","0.27690343385688"
"6 on scale 1-7","2010","35-65 y.","Male","1308","0.285277519706273","0.271782737934266","0.298772301478281"
"6 on scale 1-7","2010","35-65 y.","Female","1301","0.274240909385648","0.261557776397574","0.286924042373722"
"6 on scale 1-7","2010","66 and older","Male","525","0.249352934292575","0.229950485556991","0.268755383028159"
"6 on scale 1-7","2010","66 and older","Female","528","0.234555847855435","0.216450573485933","0.252661122224938"
"7 Strongly agree","2010","16-34 y.","Male","298","0.184137130737593","0.165819759912053","0.202454501563133"
"7 Strongly agree","2010","16-34 y.","Female","327","0.201203505629621","0.182964760611244","0.219442250647998"
"7 Strongly agree","2010","35-65 y.","Male","831","0.212564244285967","0.200337353248708","0.224791135323225"
"7 Strongly agree","2010","35-65 y.","Female","973","0.214636771283872","0.202964603307059","0.226308939260685"
"7 Strongly agree","2010","66 and older","Male","470","0.257069118665935","0.237470269651467","0.276667967680403"
"7 Strongly agree","2010","66 and older","Female","493","0.24660457856915","0.228186798639035","0.265022358499265"
"1 Strongly disagree","2011","16-34 y.","Male","","","",""
"1 Strongly disagree","2011","16-34 y.","Female","","","",""
"1 Strongly disagree","2011","35-65 y.","Male","","","",""
"1 Strongly disagree","2011","35-65 y.","Female","","","",""
"1 Strongly disagree","2011","66 and older","Male","","","",""
"1 Strongly disagree","2011","66 and older","Female","","","",""
"2 on scale 1-7 ","2011","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2011","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2011","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2011","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2011","66 and older","Male","","","",""
"2 on scale 1-7 ","2011","66 and older","Female","","","",""
"3 on scale 1-7 ","2011","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2011","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2011","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2011","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2011","66 and older","Male","","","",""
"3 on scale 1-7 ","2011","66 and older","Female","","","",""
"4 on scale 1-7","2011","16-34 y.","Male","","","",""
"4 on scale 1-7","2011","16-34 y.","Female","","","",""
"4 on scale 1-7","2011","35-65 y.","Male","","","",""
"4 on scale 1-7","2011","35-65 y.","Female","","","",""
"4 on scale 1-7","2011","66 and older","Male","","","",""
"4 on scale 1-7","2011","66 and older","Female","","","",""
"5 on scale 1-7","2011","16-34 y.","Male","","","",""
"5 on scale 1-7","2011","16-34 y.","Female","","","",""
"5 on scale 1-7","2011","35-65 y.","Male","","","",""
"5 on scale 1-7","2011","35-65 y.","Female","","","",""
"5 on scale 1-7","2011","66 and older","Male","","","",""
"5 on scale 1-7","2011","66 and older","Female","","","",""
"6 on scale 1-7","2011","16-34 y.","Male","","","",""
"6 on scale 1-7","2011","16-34 y.","Female","","","",""
"6 on scale 1-7","2011","35-65 y.","Male","","","",""
"6 on scale 1-7","2011","35-65 y.","Female","","","",""
"6 on scale 1-7","2011","66 and older","Male","","","",""
"6 on scale 1-7","2011","66 and older","Female","","","",""
"7 Strongly agree","2011","16-34 y.","Male","","","",""
"7 Strongly agree","2011","16-34 y.","Female","","","",""
"7 Strongly agree","2011","35-65 y.","Male","","","",""
"7 Strongly agree","2011","35-65 y.","Female","","","",""
"7 Strongly agree","2011","66 and older","Male","","","",""
"7 Strongly agree","2011","66 and older","Female","","","",""
"1 Strongly disagree","2012","16-34 y.","Male","","","",""
"1 Strongly disagree","2012","16-34 y.","Female","","","",""
"1 Strongly disagree","2012","35-65 y.","Male","","","",""
"1 Strongly disagree","2012","35-65 y.","Female","","","",""
"1 Strongly disagree","2012","66 and older","Male","","","",""
"1 Strongly disagree","2012","66 and older","Female","","","",""
"2 on scale 1-7 ","2012","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2012","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2012","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2012","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2012","66 and older","Male","","","",""
"2 on scale 1-7 ","2012","66 and older","Female","","","",""
"3 on scale 1-7 ","2012","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2012","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2012","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2012","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2012","66 and older","Male","","","",""
"3 on scale 1-7 ","2012","66 and older","Female","","","",""
"4 on scale 1-7","2012","16-34 y.","Male","","","",""
"4 on scale 1-7","2012","16-34 y.","Female","","","",""
"4 on scale 1-7","2012","35-65 y.","Male","","","",""
"4 on scale 1-7","2012","35-65 y.","Female","","","",""
"4 on scale 1-7","2012","66 and older","Male","","","",""
"4 on scale 1-7","2012","66 and older","Female","","","",""
"5 on scale 1-7","2012","16-34 y.","Male","","","",""
"5 on scale 1-7","2012","16-34 y.","Female","","","",""
"5 on scale 1-7","2012","35-65 y.","Male","","","",""
"5 on scale 1-7","2012","35-65 y.","Female","","","",""
"5 on scale 1-7","2012","66 and older","Male","","","",""
"5 on scale 1-7","2012","66 and older","Female","","","",""
"6 on scale 1-7","2012","16-34 y.","Male","","","",""
"6 on scale 1-7","2012","16-34 y.","Female","","","",""
"6 on scale 1-7","2012","35-65 y.","Male","","","",""
"6 on scale 1-7","2012","35-65 y.","Female","","","",""
"6 on scale 1-7","2012","66 and older","Male","","","",""
"6 on scale 1-7","2012","66 and older","Female","","","",""
"7 Strongly agree","2012","16-34 y.","Male","","","",""
"7 Strongly agree","2012","16-34 y.","Female","","","",""
"7 Strongly agree","2012","35-65 y.","Male","","","",""
"7 Strongly agree","2012","35-65 y.","Female","","","",""
"7 Strongly agree","2012","66 and older","Male","","","",""
"7 Strongly agree","2012","66 and older","Female","","","",""
"1 Strongly disagree","2013","16-34 y.","Male","","","",""
"1 Strongly disagree","2013","16-34 y.","Female","","","",""
"1 Strongly disagree","2013","35-65 y.","Male","","","",""
"1 Strongly disagree","2013","35-65 y.","Female","","","",""
"1 Strongly disagree","2013","66 and older","Male","","","",""
"1 Strongly disagree","2013","66 and older","Female","","","",""
"2 on scale 1-7 ","2013","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2013","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2013","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2013","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2013","66 and older","Male","","","",""
"2 on scale 1-7 ","2013","66 and older","Female","","","",""
"3 on scale 1-7 ","2013","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2013","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2013","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2013","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2013","66 and older","Male","","","",""
"3 on scale 1-7 ","2013","66 and older","Female","","","",""
"4 on scale 1-7","2013","16-34 y.","Male","","","",""
"4 on scale 1-7","2013","16-34 y.","Female","","","",""
"4 on scale 1-7","2013","35-65 y.","Male","","","",""
"4 on scale 1-7","2013","35-65 y.","Female","","","",""
"4 on scale 1-7","2013","66 and older","Male","","","",""
"4 on scale 1-7","2013","66 and older","Female","","","",""
"5 on scale 1-7","2013","16-34 y.","Male","","","",""
"5 on scale 1-7","2013","16-34 y.","Female","","","",""
"5 on scale 1-7","2013","35-65 y.","Male","","","",""
"5 on scale 1-7","2013","35-65 y.","Female","","","",""
"5 on scale 1-7","2013","66 and older","Male","","","",""
"5 on scale 1-7","2013","66 and older","Female","","","",""
"6 on scale 1-7","2013","16-34 y.","Male","","","",""
"6 on scale 1-7","2013","16-34 y.","Female","","","",""
"6 on scale 1-7","2013","35-65 y.","Male","","","",""
"6 on scale 1-7","2013","35-65 y.","Female","","","",""
"6 on scale 1-7","2013","66 and older","Male","","","",""
"6 on scale 1-7","2013","66 and older","Female","","","",""
"7 Strongly agree","2013","16-34 y.","Male","","","",""
"7 Strongly agree","2013","16-34 y.","Female","","","",""
"7 Strongly agree","2013","35-65 y.","Male","","","",""
"7 Strongly agree","2013","35-65 y.","Female","","","",""
"7 Strongly agree","2013","66 and older","Male","","","",""
"7 Strongly agree","2013","66 and older","Female","","","",""
"1 Strongly disagree","2014","16-34 y.","Male","","","",""
"1 Strongly disagree","2014","16-34 y.","Female","","","",""
"1 Strongly disagree","2014","35-65 y.","Male","","","",""
"1 Strongly disagree","2014","35-65 y.","Female","","","",""
"1 Strongly disagree","2014","66 and older","Male","","","",""
"1 Strongly disagree","2014","66 and older","Female","","","",""
"2 on scale 1-7 ","2014","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2014","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2014","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2014","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2014","66 and older","Male","","","",""
"2 on scale 1-7 ","2014","66 and older","Female","","","",""
"3 on scale 1-7 ","2014","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2014","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2014","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2014","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2014","66 and older","Male","","","",""
"3 on scale 1-7 ","2014","66 and older","Female","","","",""
"4 on scale 1-7","2014","16-34 y.","Male","","","",""
"4 on scale 1-7","2014","16-34 y.","Female","","","",""
"4 on scale 1-7","2014","35-65 y.","Male","","","",""
"4 on scale 1-7","2014","35-65 y.","Female","","","",""
"4 on scale 1-7","2014","66 and older","Male","","","",""
"4 on scale 1-7","2014","66 and older","Female","","","",""
"5 on scale 1-7","2014","16-34 y.","Male","","","",""
"5 on scale 1-7","2014","16-34 y.","Female","","","",""
"5 on scale 1-7","2014","35-65 y.","Male","","","",""
"5 on scale 1-7","2014","35-65 y.","Female","","","",""
"5 on scale 1-7","2014","66 and older","Male","","","",""
"5 on scale 1-7","2014","66 and older","Female","","","",""
"6 on scale 1-7","2014","16-34 y.","Male","","","",""
"6 on scale 1-7","2014","16-34 y.","Female","","","",""
"6 on scale 1-7","2014","35-65 y.","Male","","","",""
"6 on scale 1-7","2014","35-65 y.","Female","","","",""
"6 on scale 1-7","2014","66 and older","Male","","","",""
"6 on scale 1-7","2014","66 and older","Female","","","",""
"7 Strongly agree","2014","16-34 y.","Male","","","",""
