"plh0206i06","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"2 on scale 1-7 ","2005","16-34 y.","higher vocational","5","","",""
"2 on scale 1-7 ","2005","16-34 y.","higher education","5","","",""
"2 on scale 1-7 ","2005","35-65 y.","in school","","","",""
"2 on scale 1-7 ","2005","35-65 y.","inadequately","5","","",""
"2 on scale 1-7 ","2005","35-65 y.","general elemantary","29","","",""
"2 on scale 1-7 ","2005","35-65 y.","middle vocational","209","0.0330956285650729","0.0285533379137822","0.0376379192163636"
"2 on scale 1-7 ","2005","35-65 y.","vocational + Abi","15","","",""
"2 on scale 1-7 ","2005","35-65 y.","higher vocational","26","","",""
"2 on scale 1-7 ","2005","35-65 y.","higher education","64","0.0255101827212935","0.0198473832651053","0.0311729821774816"
"2 on scale 1-7 ","2005","66 and older","in school","","","",""
"2 on scale 1-7 ","2005","66 and older","inadequately","","","",""
"2 on scale 1-7 ","2005","66 and older","general elemantary","23","","",""
"2 on scale 1-7 ","2005","66 and older","middle vocational","51","0.0281553253406301","0.0208134080114162","0.0354972426698441"
"2 on scale 1-7 ","2005","66 and older","vocational + Abi","2","","",""
"2 on scale 1-7 ","2005","66 and older","higher vocational","8","","",""
"2 on scale 1-7 ","2005","66 and older","higher education","12","","",""
"3 on scale 1-7 ","2005","16-34 y.","in school","51","0.072656485797506","0.05262441957106","0.092688552023952"
"3 on scale 1-7 ","2005","16-34 y.","inadequately","2","","",""
"3 on scale 1-7 ","2005","16-34 y.","general elemantary","61","0.0679993047062225","0.0508933710990684","0.0851052383133766"
"3 on scale 1-7 ","2005","16-34 y.","middle vocational","152","0.0696895827234417","0.059359696472319","0.0800194689745643"
"3 on scale 1-7 ","2005","16-34 y.","vocational + Abi","23","","",""
"3 on scale 1-7 ","2005","16-34 y.","higher vocational","13","","",""
"3 on scale 1-7 ","2005","16-34 y.","higher education","23","","",""
"3 on scale 1-7 ","2005","35-65 y.","in school","","","",""
"3 on scale 1-7 ","2005","35-65 y.","inadequately","7","","",""
"3 on scale 1-7 ","2005","35-65 y.","general elemantary","54","0.0550041507936467","0.0393804425035304","0.0706278590837631"
"3 on scale 1-7 ","2005","35-65 y.","middle vocational","341","0.0563423671635398","0.0504874249262393","0.0621973094008404"
"3 on scale 1-7 ","2005","35-65 y.","vocational + Abi","29","","",""
"3 on scale 1-7 ","2005","35-65 y.","higher vocational","57","0.0423599730388382","0.0304305342242722","0.0542894118534042"
"3 on scale 1-7 ","2005","35-65 y.","higher education","123","0.0407936037591114","0.0336890334925906","0.0478981740256321"
"3 on scale 1-7 ","2005","66 and older","in school","","","",""
"3 on scale 1-7 ","2005","66 and older","inadequately","3","","",""
"3 on scale 1-7 ","2005","66 and older","general elemantary","43","0.0686587658059295","0.0503898995787097","0.0869276320331493"
"3 on scale 1-7 ","2005","66 and older","middle vocational","107","0.0586072765889062","0.0481818946573767","0.0690326585204358"
"3 on scale 1-7 ","2005","66 and older","vocational + Abi","6","","",""
"3 on scale 1-7 ","2005","66 and older","higher vocational","9","","",""
"3 on scale 1-7 ","2005","66 and older","higher education","28","","",""
"4 on scale 1-7","2005","16-34 y.","in school","127","0.19879757597007","0.167997988239973","0.229597163700167"
"4 on scale 1-7","2005","16-34 y.","inadequately","10","","",""
"4 on scale 1-7","2005","16-34 y.","general elemantary","158","0.189935921539844","0.163282702457114","0.216589140622574"
"4 on scale 1-7","2005","16-34 y.","middle vocational","401","0.18062823642339","0.165020821264072","0.196235651582708"
"4 on scale 1-7","2005","16-34 y.","vocational + Abi","81","0.211462979044197","0.173221097426661","0.249704860661733"
"4 on scale 1-7","2005","16-34 y.","higher vocational","37","0.201850048648754","0.147038615736466","0.256661481561043"
"4 on scale 1-7","2005","16-34 y.","higher education","71","0.117999950618024","0.0902983765830238","0.145701524653024"
"4 on scale 1-7","2005","35-65 y.","in school","","","",""
"4 on scale 1-7","2005","35-65 y.","inadequately","25","","",""
"4 on scale 1-7","2005","35-65 y.","general elemantary","138","0.174385910600402","0.148383375949644","0.20038844525116"
"4 on scale 1-7","2005","35-65 y.","middle vocational","960","0.159906357684174","0.150599682511444","0.169213032856904"
"4 on scale 1-7","2005","35-65 y.","vocational + Abi","94","0.153010519791626","0.12398673775006","0.182034301833191"
"4 on scale 1-7","2005","35-65 y.","higher vocational","166","0.158114424390328","0.136504496812168","0.179724351968489"
"4 on scale 1-7","2005","35-65 y.","higher education","401","0.140616303034008","0.128131056066812","0.153101550001204"
"4 on scale 1-7","2005","66 and older","in school","","","",""
"4 on scale 1-7","2005","66 and older","inadequately","14","","",""
"4 on scale 1-7","2005","66 and older","general elemantary","136","0.17643745801985","0.148898159568883","0.203976756470816"
"4 on scale 1-7","2005","66 and older","middle vocational","324","0.16217005721246","0.145809651888853","0.178530462536066"
"4 on scale 1-7","2005","66 and older","vocational + Abi","14","","",""
"4 on scale 1-7","2005","66 and older","higher vocational","47","0.203147515631616","0.153861599732147","0.252433431531085"
"4 on scale 1-7","2005","66 and older","higher education","95","0.167898583055662","0.139468659127616","0.196328506983709"
"5 on scale 1-7","2005","16-34 y.","in school","157","0.233263871820601","0.200626518169948","0.265901225471254"
"5 on scale 1-7","2005","16-34 y.","inadequately","11","","",""
"5 on scale 1-7","2005","16-34 y.","general elemantary","166","0.171963012489887","0.146322375006565","0.197603649973209"
"5 on scale 1-7","2005","16-34 y.","middle vocational","566","0.252061585557701","0.234446534077929","0.269676637037473"
"5 on scale 1-7","2005","16-34 y.","vocational + Abi","108","0.229214761268809","0.189850779549233","0.268578742988386"
"5 on scale 1-7","2005","16-34 y.","higher vocational","49","0.245241853607678","0.18649079715352","0.303992910061836"
"5 on scale 1-7","2005","16-34 y.","higher education","155","0.275304302055514","0.236950045412495","0.313658558698533"
"5 on scale 1-7","2005","35-65 y.","in school","","","",""
"5 on scale 1-7","2005","35-65 y.","inadequately","18","","",""
"5 on scale 1-7","2005","35-65 y.","general elemantary","179","0.22039969439115","0.191993507926941","0.248805880855359"
"5 on scale 1-7","2005","35-65 y.","middle vocational","1281","0.209189741331908","0.198862027865769","0.219517454798047"
"5 on scale 1-7","2005","35-65 y.","vocational + Abi","148","0.248960569114768","0.214098673028892","0.283822465200644"
"5 on scale 1-7","2005","35-65 y.","higher vocational","270","0.257114229639004","0.231228220052994","0.283000239225013"
"5 on scale 1-7","2005","35-65 y.","higher education","686","0.226108259256356","0.21108431154501","0.241132206967701"
"5 on scale 1-7","2005","66 and older","in school","","","",""
"5 on scale 1-7","2005","66 and older","inadequately","11","","",""
"5 on scale 1-7","2005","66 and older","general elemantary","161","0.231342997833235","0.200877824229417","0.261808171437054"
"5 on scale 1-7","2005","66 and older","middle vocational","389","0.193023783633429","0.175506507940605","0.210541059326253"
"5 on scale 1-7","2005","66 and older","vocational + Abi","19","","",""
"5 on scale 1-7","2005","66 and older","higher vocational","51","0.186496881763362","0.138783136594097","0.234210626932626"
"5 on scale 1-7","2005","66 and older","higher education","128","0.18815789766065","0.158430214582553","0.217885580738747"
"6 on scale 1-7","2005","16-34 y.","in school","161","0.255305266682557","0.221655096739639","0.288955436625474"
"6 on scale 1-7","2005","16-34 y.","inadequately","10","","",""
"6 on scale 1-7","2005","16-34 y.","general elemantary","183","0.248718065372773","0.219345521153544","0.278090609592002"
"6 on scale 1-7","2005","16-34 y.","middle vocational","614","0.247664631391646","0.230152645453461","0.26517661732983"
"6 on scale 1-7","2005","16-34 y.","vocational + Abi","116","0.249738123407212","0.209200349395428","0.290275897418996"
"6 on scale 1-7","2005","16-34 y.","higher vocational","41","0.178760832986619","0.126438693700784","0.231082972272455"
"6 on scale 1-7","2005","16-34 y.","higher education","171","0.356888364930706","0.315750797462538","0.398025932398875"
"6 on scale 1-7","2005","35-65 y.","in school","","","",""
"6 on scale 1-7","2005","35-65 y.","inadequately","25","","",""
"6 on scale 1-7","2005","35-65 y.","general elemantary","179","0.200904209823801","0.1734464324701","0.228361987177502"
"6 on scale 1-7","2005","35-65 y.","middle vocational","1494","0.246696303161595","0.235750082172919","0.257642524150272"
"6 on scale 1-7","2005","35-65 y.","vocational + Abi","169","0.276085148214223","0.240042257394924","0.312128039033521"
"6 on scale 1-7","2005","35-65 y.","higher vocational","300","0.26947631873955","0.243196734878342","0.295755902600759"
"6 on scale 1-7","2005","35-65 y.","higher education","972","0.32107448882556","0.304305776735488","0.337843200915632"
"6 on scale 1-7","2005","66 and older","in school","","","",""
"6 on scale 1-7","2005","66 and older","inadequately","4","","",""
"6 on scale 1-7","2005","66 and older","general elemantary","151","0.182498520576408","0.154593449593121","0.210403591559696"
"6 on scale 1-7","2005","66 and older","middle vocational","512","0.253631676330763","0.234320482139419","0.272942870522107"
"6 on scale 1-7","2005","66 and older","vocational + Abi","33","0.291128218035991","0.202090486551335","0.380165949520646"
"6 on scale 1-7","2005","66 and older","higher vocational","65","0.244585297920892","0.191930736611816","0.297239859229968"
"6 on scale 1-7","2005","66 and older","higher education","181","0.238812108181566","0.206382764579731","0.271241451783401"
"7 Strongly agree","2005","16-34 y.","in school","103","0.167406693102751","0.13859484608387","0.196218540121633"
"7 Strongly agree","2005","16-34 y.","inadequately","17","","",""
"7 Strongly agree","2005","16-34 y.","general elemantary","193","0.241305394790315","0.212231484800829","0.270379304779801"
"7 Strongly agree","2005","16-34 y.","middle vocational","470","0.195051322142429","0.178976128613011","0.211126515671847"
"7 Strongly agree","2005","16-34 y.","vocational + Abi","92","0.205145675456801","0.167328769840248","0.242962581073354"
"7 Strongly agree","2005","16-34 y.","higher vocational","57","0.266076099076104","0.205730871593377","0.326421326558832"
"7 Strongly agree","2005","16-34 y.","higher education","93","0.193078459477803","0.159185320191911","0.226971598763694"
"7 Strongly agree","2005","35-65 y.","in school","","","",""
"7 Strongly agree","2005","35-65 y.","inadequately","32","0.293018068391428","0.213228807448372","0.372807329334485"
"7 Strongly agree","2005","35-65 y.","general elemantary","200","0.245147716170833","0.215668471497889","0.274626960843776"
"7 Strongly agree","2005","35-65 y.","middle vocational","1523","0.265156022714408","0.253947557220224","0.276364488208591"
"7 Strongly agree","2005","35-65 y.","vocational + Abi","124","0.230089747614371","0.196156686766007","0.264022808462734"
"7 Strongly agree","2005","35-65 y.","higher vocational","252","0.224454714901387","0.199742653253625","0.249166776549149"
"7 Strongly agree","2005","35-65 y.","higher education","719","0.241799763664722","0.226421558945409","0.257177968384036"
"7 Strongly agree","2005","66 and older","in school","","","",""
"7 Strongly agree","2005","66 and older","inadequately","13","","",""
"7 Strongly agree","2005","66 and older","general elemantary","183","0.24296848388537","0.211984223355442","0.273952744415299"
"7 Strongly agree","2005","66 and older","middle vocational","505","0.267012652739641","0.24737701798843","0.286648287490852"
"7 Strongly agree","2005","66 and older","vocational + Abi","25","","",""
"7 Strongly agree","2005","66 and older","higher vocational","65","0.242148579616918","0.189672533412303","0.294624625821534"
"7 Strongly agree","2005","66 and older","higher education","213","0.33783684051496","0.301861901865428","0.373811779164492"
"1 Strongly disagree","2006","16-34 y.","in school","","","",""
"1 Strongly disagree","2006","16-34 y.","inadequately","","","",""
"1 Strongly disagree","2006","16-34 y.","general elemantary","","","",""
"1 Strongly disagree","2006","16-34 y.","middle vocational","","","",""
"1 Strongly disagree","2006","16-34 y.","vocational + Abi","","","",""
"1 Strongly disagree","2006","16-34 y.","higher vocational","","","",""
"1 Strongly disagree","2006","16-34 y.","higher education","","","",""
"1 Strongly disagree","2006","35-65 y.","in school","","","",""
"1 Strongly disagree","2006","35-65 y.","inadequately","","","",""
"1 Strongly disagree","2006","35-65 y.","general elemantary","","","",""
"1 Strongly disagree","2006","35-65 y.","middle vocational","","","",""
"1 Strongly disagree","2006","35-65 y.","vocational + Abi","","","",""
"1 Strongly disagree","2006","35-65 y.","higher vocational","","","",""
"1 Strongly disagree","2006","35-65 y.","higher education","","","",""
"1 Strongly disagree","2006","66 and older","in school","","","",""
"1 Strongly disagree","2006","66 and older","inadequately","","","",""
"1 Strongly disagree","2006","66 and older","general elemantary","","","",""
"1 Strongly disagree","2006","66 and older","middle vocational","","","",""
"1 Strongly disagree","2006","66 and older","vocational + Abi","","","",""
"1 Strongly disagree","2006","66 and older","higher vocational","","","",""
"1 Strongly disagree","2006","66 and older","higher education","","","",""
"2 on scale 1-7 ","2006","16-34 y.","in school","","","",""
"2 on scale 1-7 ","2006","16-34 y.","inadequately","","","",""
"2 on scale 1-7 ","2006","16-34 y.","general elemantary","","","",""
"2 on scale 1-7 ","2006","16-34 y.","middle vocational","","","",""
"2 on scale 1-7 ","2006","16-34 y.","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","16-34 y.","higher vocational","","","",""
"2 on scale 1-7 ","2006","16-34 y.","higher education","","","",""
"2 on scale 1-7 ","2006","35-65 y.","in school","","","",""
"2 on scale 1-7 ","2006","35-65 y.","inadequately","","","",""
"2 on scale 1-7 ","2006","35-65 y.","general elemantary","","","",""
"2 on scale 1-7 ","2006","35-65 y.","middle vocational","","","",""
"2 on scale 1-7 ","2006","35-65 y.","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","35-65 y.","higher vocational","","","",""
"2 on scale 1-7 ","2006","35-65 y.","higher education","","","",""
"2 on scale 1-7 ","2006","66 and older","in school","","","",""
"2 on scale 1-7 ","2006","66 and older","inadequately","","","",""
"2 on scale 1-7 ","2006","66 and older","general elemantary","","","",""
"2 on scale 1-7 ","2006","66 and older","middle vocational","","","",""
"2 on scale 1-7 ","2006","66 and older","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","66 and older","higher vocational","","","",""
"2 on scale 1-7 ","2006","66 and older","higher education","","","",""
"3 on scale 1-7 ","2006","16-34 y.","in school","","","",""
"3 on scale 1-7 ","2006","16-34 y.","inadequately","","","",""
"3 on scale 1-7 ","2006","16-34 y.","general elemantary","","","",""
"3 on scale 1-7 ","2006","16-34 y.","middle vocational","","","",""
"3 on scale 1-7 ","2006","16-34 y.","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","16-34 y.","higher vocational","","","",""
"3 on scale 1-7 ","2006","16-34 y.","higher education","","","",""
"3 on scale 1-7 ","2006","35-65 y.","in school","","","",""
"3 on scale 1-7 ","2006","35-65 y.","inadequately","","","",""
"3 on scale 1-7 ","2006","35-65 y.","general elemantary","","","",""
"3 on scale 1-7 ","2006","35-65 y.","middle vocational","","","",""
"3 on scale 1-7 ","2006","35-65 y.","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","35-65 y.","higher vocational","","","",""
"3 on scale 1-7 ","2006","35-65 y.","higher education","","","",""
"3 on scale 1-7 ","2006","66 and older","in school","","","",""
"3 on scale 1-7 ","2006","66 and older","inadequately","","","",""
"3 on scale 1-7 ","2006","66 and older","general elemantary","","","",""
"3 on scale 1-7 ","2006","66 and older","middle vocational","","","",""
"3 on scale 1-7 ","2006","66 and older","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","66 and older","higher vocational","","","",""
"3 on scale 1-7 ","2006","66 and older","higher education","","","",""
"4 on scale 1-7","2006","16-34 y.","in school","","","",""
"4 on scale 1-7","2006","16-34 y.","inadequately","","","",""
"4 on scale 1-7","2006","16-34 y.","general elemantary","","","",""
"4 on scale 1-7","2006","16-34 y.","middle vocational","","","",""
"4 on scale 1-7","2006","16-34 y.","vocational + Abi","","","",""
"4 on scale 1-7","2006","16-34 y.","higher vocational","","","",""
"4 on scale 1-7","2006","16-34 y.","higher education","","","",""
"4 on scale 1-7","2006","35-65 y.","in school","","","",""
"4 on scale 1-7","2006","35-65 y.","inadequately","","","",""
"4 on scale 1-7","2006","35-65 y.","general elemantary","","","",""
"4 on scale 1-7","2006","35-65 y.","middle vocational","","","",""
"4 on scale 1-7","2006","35-65 y.","vocational + Abi","","","",""
"4 on scale 1-7","2006","35-65 y.","higher vocational","","","",""
"4 on scale 1-7","2006","35-65 y.","higher education","","","",""
"4 on scale 1-7","2006","66 and older","in school","","","",""
"4 on scale 1-7","2006","66 and older","inadequately","","","",""
"4 on scale 1-7","2006","66 and older","general elemantary","","","",""
"4 on scale 1-7","2006","66 and older","middle vocational","","","",""
"4 on scale 1-7","2006","66 and older","vocational + Abi","","","",""
"4 on scale 1-7","2006","66 and older","higher vocational","","","",""
"4 on scale 1-7","2006","66 and older","higher education","","","",""
"5 on scale 1-7","2006","16-34 y.","in school","","","",""
"5 on scale 1-7","2006","16-34 y.","inadequately","","","",""
"5 on scale 1-7","2006","16-34 y.","general elemantary","","","",""
"5 on scale 1-7","2006","16-34 y.","middle vocational","","","",""
"5 on scale 1-7","2006","16-34 y.","vocational + Abi","","","",""
"5 on scale 1-7","2006","16-34 y.","higher vocational","","","",""
"5 on scale 1-7","2006","16-34 y.","higher education","","","",""
"5 on scale 1-7","2006","35-65 y.","in school","","","",""
"5 on scale 1-7","2006","35-65 y.","inadequately","","","",""
"5 on scale 1-7","2006","35-65 y.","general elemantary","","","",""
"5 on scale 1-7","2006","35-65 y.","middle vocational","","","",""
"5 on scale 1-7","2006","35-65 y.","vocational + Abi","","","",""
"5 on scale 1-7","2006","35-65 y.","higher vocational","","","",""
"5 on scale 1-7","2006","35-65 y.","higher education","","","",""
"5 on scale 1-7","2006","66 and older","in school","","","",""
"5 on scale 1-7","2006","66 and older","inadequately","","","",""
"5 on scale 1-7","2006","66 and older","general elemantary","","","",""
"5 on scale 1-7","2006","66 and older","middle vocational","","","",""
"5 on scale 1-7","2006","66 and older","vocational + Abi","","","",""
"5 on scale 1-7","2006","66 and older","higher vocational","","","",""
"5 on scale 1-7","2006","66 and older","higher education","","","",""
"6 on scale 1-7","2006","16-34 y.","in school","","","",""
"6 on scale 1-7","2006","16-34 y.","inadequately","","","",""
"6 on scale 1-7","2006","16-34 y.","general elemantary","","","",""
"6 on scale 1-7","2006","16-34 y.","middle vocational","","","",""
"6 on scale 1-7","2006","16-34 y.","vocational + Abi","","","",""
"6 on scale 1-7","2006","16-34 y.","higher vocational","","","",""
"6 on scale 1-7","2006","16-34 y.","higher education","","","",""
"6 on scale 1-7","2006","35-65 y.","in school","","","",""
"6 on scale 1-7","2006","35-65 y.","inadequately","","","",""
"6 on scale 1-7","2006","35-65 y.","general elemantary","","","",""
"6 on scale 1-7","2006","35-65 y.","middle vocational","","","",""
"6 on scale 1-7","2006","35-65 y.","vocational + Abi","","","",""
"6 on scale 1-7","2006","35-65 y.","higher vocational","","","",""
"6 on scale 1-7","2006","35-65 y.","higher education","","","",""
"6 on scale 1-7","2006","66 and older","in school","","","",""
"6 on scale 1-7","2006","66 and older","inadequately","","","",""
"6 on scale 1-7","2006","66 and older","general elemantary","","","",""
"6 on scale 1-7","2006","66 and older","middle vocational","","","",""
"6 on scale 1-7","2006","66 and older","vocational + Abi","","","",""
"6 on scale 1-7","2006","66 and older","higher vocational","","","",""
"6 on scale 1-7","2006","66 and older","higher education","","","",""
"7 Strongly agree","2006","16-34 y.","in school","","","",""
"7 Strongly agree","2006","16-34 y.","inadequately","","","",""
"7 Strongly agree","2006","16-34 y.","general elemantary","","","",""
"7 Strongly agree","2006","16-34 y.","middle vocational","","","",""
"7 Strongly agree","2006","16-34 y.","vocational + Abi","","","",""
"7 Strongly agree","2006","16-34 y.","higher vocational","","","",""
"7 Strongly agree","2006","16-34 y.","higher education","","","",""
"7 Strongly agree","2006","35-65 y.","in school","","","",""
"7 Strongly agree","2006","35-65 y.","inadequately","","","",""
"7 Strongly agree","2006","35-65 y.","general elemantary","","","",""
"7 Strongly agree","2006","35-65 y.","middle vocational","","","",""
"7 Strongly agree","2006","35-65 y.","vocational + Abi","","","",""
"7 Strongly agree","2006","35-65 y.","higher vocational","","","",""
"7 Strongly agree","2006","35-65 y.","higher education","","","",""
"7 Strongly agree","2006","66 and older","in school","","","",""
"7 Strongly agree","2006","66 and older","inadequately","","","",""
"7 Strongly agree","2006","66 and older","general elemantary","","","",""
"7 Strongly agree","2006","66 and older","middle vocational","","","",""
"7 Strongly agree","2006","66 and older","vocational + Abi","","","",""
"7 Strongly agree","2006","66 and older","higher vocational","","","",""
"7 Strongly agree","2006","66 and older","higher education","","","",""
"1 Strongly disagree","2007","16-34 y.","in school","","","",""
"1 Strongly disagree","2007","16-34 y.","inadequately","","","",""
"1 Strongly disagree","2007","16-34 y.","general elemantary","","","",""
"1 Strongly disagree","2007","16-34 y.","middle vocational","","","",""
"1 Strongly disagree","2007","16-34 y.","vocational + Abi","","","",""
"1 Strongly disagree","2007","16-34 y.","higher vocational","","","",""
"1 Strongly disagree","2007","16-34 y.","higher education","","","",""
"1 Strongly disagree","2007","35-65 y.","in school","","","",""
"1 Strongly disagree","2007","35-65 y.","inadequately","","","",""
"1 Strongly disagree","2007","35-65 y.","general elemantary","","","",""
"1 Strongly disagree","2007","35-65 y.","middle vocational","","","",""
"1 Strongly disagree","2007","35-65 y.","vocational + Abi","","","",""
"1 Strongly disagree","2007","35-65 y.","higher vocational","","","",""
"1 Strongly disagree","2007","35-65 y.","higher education","","","",""
"1 Strongly disagree","2007","66 and older","in school","","","",""
"1 Strongly disagree","2007","66 and older","inadequately","","","",""
"1 Strongly disagree","2007","66 and older","general elemantary","","","",""
"1 Strongly disagree","2007","66 and older","middle vocational","","","",""
"1 Strongly disagree","2007","66 and older","vocational + Abi","","","",""
"1 Strongly disagree","2007","66 and older","higher vocational","","","",""
"1 Strongly disagree","2007","66 and older","higher education","","","",""
"2 on scale 1-7 ","2007","16-34 y.","in school","","","",""
"2 on scale 1-7 ","2007","16-34 y.","inadequately","","","",""
"2 on scale 1-7 ","2007","16-34 y.","general elemantary","","","",""
"2 on scale 1-7 ","2007","16-34 y.","middle vocational","","","",""
"2 on scale 1-7 ","2007","16-34 y.","vocational + Abi","","","",""
"2 on scale 1-7 ","2007","16-34 y.","higher vocational","","","",""
"2 on scale 1-7 ","2007","16-34 y.","higher education","","","",""
"2 on scale 1-7 ","2007","35-65 y.","in school","","","",""
"2 on scale 1-7 ","2007","35-65 y.","inadequately","","","",""
"2 on scale 1-7 ","2007","35-65 y.","general elemantary","","","",""
"2 on scale 1-7 ","2007","35-65 y.","middle vocational","","","",""
"2 on scale 1-7 ","2007","35-65 y.","vocational + Abi","","","",""
"2 on scale 1-7 ","2007","35-65 y.","higher vocational","","","",""
"2 on scale 1-7 ","2007","35-65 y.","higher education","","","",""
"2 on scale 1-7 ","2007","66 and older","in school","","","",""
"2 on scale 1-7 ","2007","66 and older","inadequately","","","",""
"2 on scale 1-7 ","2007","66 and older","general elemantary","","","",""
"2 on scale 1-7 ","2007","66 and older","middle vocational","","","",""
"2 on scale 1-7 ","2007","66 and older","vocational + Abi","","","",""
"2 on scale 1-7 ","2007","66 and older","higher vocational","","","",""
"2 on scale 1-7 ","2007","66 and older","higher education","","","",""
"3 on scale 1-7 ","2007","16-34 y.","in school","","","",""
"3 on scale 1-7 ","2007","16-34 y.","inadequately","","","",""
"3 on scale 1-7 ","2007","16-34 y.","general elemantary","","","",""
"3 on scale 1-7 ","2007","16-34 y.","middle vocational","","","",""
"3 on scale 1-7 ","2007","16-34 y.","vocational + Abi","","","",""
"3 on scale 1-7 ","2007","16-34 y.","higher vocational","","","",""
"3 on scale 1-7 ","2007","16-34 y.","higher education","","","",""
"3 on scale 1-7 ","2007","35-65 y.","in school","","","",""
"3 on scale 1-7 ","2007","35-65 y.","inadequately","","","",""
"3 on scale 1-7 ","2007","35-65 y.","general elemantary","","","",""
"3 on scale 1-7 ","2007","35-65 y.","middle vocational","","","",""
"3 on scale 1-7 ","2007","35-65 y.","vocational + Abi","","","",""
"3 on scale 1-7 ","2007","35-65 y.","higher vocational","","","",""
"3 on scale 1-7 ","2007","35-65 y.","higher education","","","",""
"3 on scale 1-7 ","2007","66 and older","in school","","","",""
"3 on scale 1-7 ","2007","66 and older","inadequately","","","",""
"3 on scale 1-7 ","2007","66 and older","general elemantary","","","",""
"3 on scale 1-7 ","2007","66 and older","middle vocational","","","",""
"3 on scale 1-7 ","2007","66 and older","vocational + Abi","","","",""
"3 on scale 1-7 ","2007","66 and older","higher vocational","","","",""
"3 on scale 1-7 ","2007","66 and older","higher education","","","",""
"4 on scale 1-7","2007","16-34 y.","in school","","","",""
"4 on scale 1-7","2007","16-34 y.","inadequately","","","",""
"4 on scale 1-7","2007","16-34 y.","general elemantary","","","",""
"4 on scale 1-7","2007","16-34 y.","middle vocational","","","",""
"4 on scale 1-7","2007","16-34 y.","vocational + Abi","","","",""
"4 on scale 1-7","2007","16-34 y.","higher vocational","","","",""
"4 on scale 1-7","2007","16-34 y.","higher education","","","",""
"4 on scale 1-7","2007","35-65 y.","in school","","","",""
"4 on scale 1-7","2007","35-65 y.","inadequately","","","",""
"4 on scale 1-7","2007","35-65 y.","general elemantary","","","",""
"4 on scale 1-7","2007","35-65 y.","middle vocational","","","",""
"4 on scale 1-7","2007","35-65 y.","vocational + Abi","","","",""
"4 on scale 1-7","2007","35-65 y.","higher vocational","","","",""
"4 on scale 1-7","2007","35-65 y.","higher education","","","",""
"4 on scale 1-7","2007","66 and older","in school","","","",""
"4 on scale 1-7","2007","66 and older","inadequately","","","",""
"4 on scale 1-7","2007","66 and older","general elemantary","","","",""
"4 on scale 1-7","2007","66 and older","middle vocational","","","",""
"4 on scale 1-7","2007","66 and older","vocational + Abi","","","",""
"4 on scale 1-7","2007","66 and older","higher vocational","","","",""
"4 on scale 1-7","2007","66 and older","higher education","","","",""
"5 on scale 1-7","2007","16-34 y.","in school","","","",""
"5 on scale 1-7","2007","16-34 y.","inadequately","","","",""
"5 on scale 1-7","2007","16-34 y.","general elemantary","","","",""
"5 on scale 1-7","2007","16-34 y.","middle vocational","","","",""
"5 on scale 1-7","2007","16-34 y.","vocational + Abi","","","",""
"5 on scale 1-7","2007","16-34 y.","higher vocational","","","",""
