"plh0206i06","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"5 on scale 1-7","2005","Employed","general elemantary","222","0.20199027435951","0.177671366242035","0.226309182476984","5"
"6 on scale 1-7","2005","Employed","higher vocational","286","0.253803268103986","0.228097551940589","0.279508984267383","6"
"6 on scale 1-7","2005","Employed","higher education","1058","0.334510019474166","0.318064693584529","0.350955345363803","6"
"6 on scale 1-7","2005","Not Employed","in school","130","0.258132108949966","0.221426192492151","0.29483802540778","6"
"6 on scale 1-7","2005","Not Employed","inadequately","16","","","","6"
"6 on scale 1-7","2005","Not Employed","general elemantary","274","0.19489706662463","0.17367996002753","0.216114173221729","6"
"6 on scale 1-7","2005","Not Employed","middle vocational","996","0.25233595724563","0.238745739679165","0.265926174812096","6"
"6 on scale 1-7","2005","Not Employed","vocational + Abi","82","0.268042775372614","0.216253499940749","0.31983205080448","6"
"6 on scale 1-7","2005","Not Employed","higher vocational","120","0.253541202188891","0.213611794970101","0.293470609407682","6"
"6 on scale 1-7","2005","Not Employed","higher education","266","0.249731510682584","0.222916617094946","0.276546404270222","6"
"6 on scale 1-7","2005","Employed","in school","31","0.240086347338527","0.155947540421015","0.324225154256039","6"
"6 on scale 1-7","2005","Employed","inadequately","23","","","","6"
"6 on scale 1-7","2005","Employed","general elemantary","239","0.230134462174521","0.204638405315496","0.255630519033546","6"
"6 on scale 1-7","2005","Employed","middle vocational","1624","0.245844964705656","0.235227538367696","0.256462391043617","6"
"6 on scale 1-7","2005","Employed","vocational + Abi","236","0.267567552890138","0.237772053009653","0.297363052770624","6"
"7 Strongly agree","2005","Employed","middle vocational","1538","0.246639395416472","0.236010430910757","0.257268359922188","7"
"7 Strongly agree","2005","Employed","higher education","737","0.234694134593513","0.219922253704311","0.249466015482714","7"
"7 Strongly agree","2005","Employed","higher vocational","259","0.229039906317607","0.204218524249071","0.253861288386142","7"
"7 Strongly agree","2005","Employed","vocational + Abi","170","0.209804975685354","0.182400266230073","0.237209685140636","7"
"7 Strongly agree","2005","Not Employed","higher vocational","115","0.241374919572635","0.202099092518891","0.280650746626379","7"
"7 Strongly agree","2005","Not Employed","higher education","288","0.298717252919504","0.270363680686674","0.327070825152333","7"
"7 Strongly agree","2005","Employed","in school","12","","","","7"
"7 Strongly agree","2005","Employed","inadequately","19","","","","7"
"7 Strongly agree","2005","Employed","general elemantary","264","0.260954035336668","0.234353370957458","0.287554699715878","7"
"7 Strongly agree","2005","Not Employed","in school","91","0.165098878591925","0.133957247652567","0.196240509531283","7"
"7 Strongly agree","2005","Not Employed","inadequately","43","0.350901199890492","0.273487202602804","0.428315197178181","7"
"7 Strongly agree","2005","Not Employed","general elemantary","312","0.229102366380865","0.206592602144729","0.251612130617002","7"
"7 Strongly agree","2005","Not Employed","middle vocational","960","0.256368200451174","0.242706818125054","0.270029582777294","7"
"7 Strongly agree","2005","Not Employed","vocational + Abi","71","0.283841384212143","0.231125997151207","0.336556771273079","7"
"1 Strongly disagree","2006","Not Employed","higher education","","","","","1"
"1 Strongly disagree","2006","Employed","in school","","","","","1"
"1 Strongly disagree","2006","Employed","inadequately","","","","","1"
"1 Strongly disagree","2006","Employed","general elemantary","","","","","1"
"1 Strongly disagree","2006","Not Employed","in school","","","","","1"
"1 Strongly disagree","2006","Not Employed","inadequately","","","","","1"
"1 Strongly disagree","2006","Not Employed","general elemantary","","","","","1"
"1 Strongly disagree","2006","Not Employed","middle vocational","","","","","1"
"1 Strongly disagree","2006","Not Employed","vocational + Abi","","","","","1"
"1 Strongly disagree","2006","Not Employed","higher vocational","","","","","1"
"1 Strongly disagree","2006","Employed","middle vocational","","","","","1"
"1 Strongly disagree","2006","Employed","vocational + Abi","","","","","1"
"1 Strongly disagree","2006","Employed","higher vocational","","","","","1"
"1 Strongly disagree","2006","Employed","higher education","","","","","1"
"2 on scale 1-7 ","2006","Employed","higher education","","","","","2"
"2 on scale 1-7 ","2006","Employed","higher vocational","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","higher vocational","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","higher education","","","","","2"
"2 on scale 1-7 ","2006","Employed","middle vocational","","","","","2"
"2 on scale 1-7 ","2006","Employed","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2006","Employed","in school","","","","","2"
"2 on scale 1-7 ","2006","Employed","inadequately","","","","","2"
"2 on scale 1-7 ","2006","Employed","general elemantary","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","in school","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","inadequately","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","general elemantary","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","middle vocational","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","vocational + Abi","","","","","2"
"3 on scale 1-7 ","2006","Not Employed","in school","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","inadequately","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","general elemantary","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","middle vocational","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","higher vocational","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","higher education","","","","","3"
"3 on scale 1-7 ","2006","Employed","in school","","","","","3"
"3 on scale 1-7 ","2006","Employed","inadequately","","","","","3"
"3 on scale 1-7 ","2006","Employed","general elemantary","","","","","3"
"3 on scale 1-7 ","2006","Employed","middle vocational","","","","","3"
"3 on scale 1-7 ","2006","Employed","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2006","Employed","higher vocational","","","","","3"
"3 on scale 1-7 ","2006","Employed","higher education","","","","","3"
"4 on scale 1-7","2006","Not Employed","higher education","","","","","4"
"4 on scale 1-7","2006","Employed","higher vocational","","","","","4"
"4 on scale 1-7","2006","Employed","higher education","","","","","4"
"4 on scale 1-7","2006","Not Employed","in school","","","","","4"
"4 on scale 1-7","2006","Not Employed","inadequately","","","","","4"
"4 on scale 1-7","2006","Not Employed","higher vocational","","","","","4"
"4 on scale 1-7","2006","Employed","in school","","","","","4"
"4 on scale 1-7","2006","Employed","inadequately","","","","","4"
"4 on scale 1-7","2006","Employed","general elemantary","","","","","4"
"4 on scale 1-7","2006","Not Employed","general elemantary","","","","","4"
"4 on scale 1-7","2006","Not Employed","middle vocational","","","","","4"
"4 on scale 1-7","2006","Not Employed","vocational + Abi","","","","","4"
"4 on scale 1-7","2006","Employed","middle vocational","","","","","4"
"4 on scale 1-7","2006","Employed","vocational + Abi","","","","","4"
"5 on scale 1-7","2006","Not Employed","in school","","","","","5"
"5 on scale 1-7","2006","Not Employed","inadequately","","","","","5"
"5 on scale 1-7","2006","Not Employed","general elemantary","","","","","5"
"5 on scale 1-7","2006","Not Employed","middle vocational","","","","","5"
"5 on scale 1-7","2006","Not Employed","vocational + Abi","","","","","5"
"5 on scale 1-7","2006","Not Employed","higher vocational","","","","","5"
"5 on scale 1-7","2006","Not Employed","higher education","","","","","5"
"5 on scale 1-7","2006","Employed","in school","","","","","5"
"5 on scale 1-7","2006","Employed","inadequately","","","","","5"
"5 on scale 1-7","2006","Employed","general elemantary","","","","","5"
"5 on scale 1-7","2006","Employed","middle vocational","","","","","5"
"5 on scale 1-7","2006","Employed","vocational + Abi","","","","","5"
"5 on scale 1-7","2006","Employed","higher vocational","","","","","5"
"5 on scale 1-7","2006","Employed","higher education","","","","","5"
"6 on scale 1-7","2006","Not Employed","in school","","","","","6"
"6 on scale 1-7","2006","Not Employed","vocational + Abi","","","","","6"
"6 on scale 1-7","2006","Not Employed","higher vocational","","","","","6"
"6 on scale 1-7","2006","Not Employed","higher education","","","","","6"
"6 on scale 1-7","2006","Employed","in school","","","","","6"
"6 on scale 1-7","2006","Employed","inadequately","","","","","6"
"6 on scale 1-7","2006","Employed","general elemantary","","","","","6"
"6 on scale 1-7","2006","Employed","middle vocational","","","","","6"
"6 on scale 1-7","2006","Employed","vocational + Abi","","","","","6"
"6 on scale 1-7","2006","Employed","higher vocational","","","","","6"
"6 on scale 1-7","2006","Employed","higher education","","","","","6"
"6 on scale 1-7","2006","Not Employed","inadequately","","","","","6"
"6 on scale 1-7","2006","Not Employed","general elemantary","","","","","6"
"6 on scale 1-7","2006","Not Employed","middle vocational","","","","","6"
"7 Strongly agree","2006","Not Employed","higher vocational","","","","","7"
"7 Strongly agree","2006","Not Employed","higher education","","","","","7"
"7 Strongly agree","2006","Employed","in school","","","","","7"
"7 Strongly agree","2006","Employed","higher vocational","","","","","7"
"7 Strongly agree","2006","Employed","higher education","","","","","7"
"7 Strongly agree","2006","Employed","inadequately","","","","","7"
"7 Strongly agree","2006","Employed","general elemantary","","","","","7"
"7 Strongly agree","2006","Employed","middle vocational","","","","","7"
"7 Strongly agree","2006","Employed","vocational + Abi","","","","","7"
"7 Strongly agree","2006","Not Employed","in school","","","","","7"
"7 Strongly agree","2006","Not Employed","inadequately","","","","","7"
"7 Strongly agree","2006","Not Employed","general elemantary","","","","","7"
"7 Strongly agree","2006","Not Employed","middle vocational","","","","","7"
"7 Strongly agree","2006","Not Employed","vocational + Abi","","","","","7"
"1 Strongly disagree","2007","Not Employed","in school","","","","","1"
"1 Strongly disagree","2007","Not Employed","inadequately","","","","","1"
"1 Strongly disagree","2007","Not Employed","general elemantary","","","","","1"
"1 Strongly disagree","2007","Not Employed","middle vocational","","","","","1"
"1 Strongly disagree","2007","Not Employed","vocational + Abi","","","","","1"
"1 Strongly disagree","2007","Not Employed","higher vocational","","","","","1"
"1 Strongly disagree","2007","Not Employed","higher education","","","","","1"
"1 Strongly disagree","2007","Employed","in school","","","","","1"
"1 Strongly disagree","2007","Employed","inadequately","","","","","1"
"1 Strongly disagree","2007","Employed","general elemantary","","","","","1"
"1 Strongly disagree","2007","Employed","higher vocational","","","","","1"
"1 Strongly disagree","2007","Employed","higher education","","","","","1"
"1 Strongly disagree","2007","Employed","middle vocational","","","","","1"
"1 Strongly disagree","2007","Employed","vocational + Abi","","","","","1"
"2 on scale 1-7 ","2007","Not Employed","higher education","","","","","2"
"2 on scale 1-7 ","2007","Employed","inadequately","","","","","2"
"2 on scale 1-7 ","2007","Employed","general elemantary","","","","","2"
"2 on scale 1-7 ","2007","Employed","higher vocational","","","","","2"
"2 on scale 1-7 ","2007","Employed","in school","","","","","2"
"2 on scale 1-7 ","2007","Employed","middle vocational","","","","","2"
"2 on scale 1-7 ","2007","Employed","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","higher vocational","","","","","2"
"2 on scale 1-7 ","2007","Employed","higher education","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","in school","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","inadequately","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","general elemantary","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","middle vocational","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","vocational + Abi","","","","","2"
"3 on scale 1-7 ","2007","Not Employed","inadequately","","","","","3"
"3 on scale 1-7 ","2007","Not Employed","general elemantary","","","","","3"
"3 on scale 1-7 ","2007","Not Employed","middle vocational","","","","","3"
"3 on scale 1-7 ","2007","Not Employed","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2007","Not Employed","higher vocational","","","","","3"
"3 on scale 1-7 ","2007","Not Employed","higher education","","","","","3"
"3 on scale 1-7 ","2007","Employed","in school","","","","","3"
"3 on scale 1-7 ","2007","Employed","inadequately","","","","","3"
"3 on scale 1-7 ","2007","Employed","general elemantary","","","","","3"
"3 on scale 1-7 ","2007","Not Employed","in school","","","","","3"
"3 on scale 1-7 ","2007","Employed","middle vocational","","","","","3"
"3 on scale 1-7 ","2007","Employed","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2007","Employed","higher vocational","","","","","3"
"3 on scale 1-7 ","2007","Employed","higher education","","","","","3"
"4 on scale 1-7","2007","Not Employed","higher education","","","","","4"
"4 on scale 1-7","2007","Employed","in school","","","","","4"
"4 on scale 1-7","2007","Not Employed","higher vocational","","","","","4"
"4 on scale 1-7","2007","Employed","inadequately","","","","","4"
"4 on scale 1-7","2007","Employed","general elemantary","","","","","4"
"4 on scale 1-7","2007","Employed","middle vocational","","","","","4"
"4 on scale 1-7","2007","Employed","vocational + Abi","","","","","4"
"4 on scale 1-7","2007","Employed","higher vocational","","","","","4"
"4 on scale 1-7","2007","Employed","higher education","","","","","4"
"4 on scale 1-7","2007","Not Employed","in school","","","","","4"
"4 on scale 1-7","2007","Not Employed","inadequately","","","","","4"
"4 on scale 1-7","2007","Not Employed","general elemantary","","","","","4"
"4 on scale 1-7","2007","Not Employed","middle vocational","","","","","4"
"4 on scale 1-7","2007","Not Employed","vocational + Abi","","","","","4"
"5 on scale 1-7","2007","Not Employed","in school","","","","","5"
"5 on scale 1-7","2007","Not Employed","inadequately","","","","","5"
"5 on scale 1-7","2007","Not Employed","general elemantary","","","","","5"
"5 on scale 1-7","2007","Not Employed","middle vocational","","","","","5"
"5 on scale 1-7","2007","Not Employed","vocational + Abi","","","","","5"
"5 on scale 1-7","2007","Not Employed","higher vocational","","","","","5"
"5 on scale 1-7","2007","Not Employed","higher education","","","","","5"
"5 on scale 1-7","2007","Employed","in school","","","","","5"
"5 on scale 1-7","2007","Employed","inadequately","","","","","5"
"5 on scale 1-7","2007","Employed","general elemantary","","","","","5"
"5 on scale 1-7","2007","Employed","middle vocational","","","","","5"
"5 on scale 1-7","2007","Employed","vocational + Abi","","","","","5"
"5 on scale 1-7","2007","Employed","higher vocational","","","","","5"
"5 on scale 1-7","2007","Employed","higher education","","","","","5"
"6 on scale 1-7","2007","Not Employed","higher education","","","","","6"
"6 on scale 1-7","2007","Employed","middle vocational","","","","","6"
"6 on scale 1-7","2007","Employed","in school","","","","","6"
"6 on scale 1-7","2007","Employed","inadequately","","","","","6"
"6 on scale 1-7","2007","Employed","general elemantary","","","","","6"
"6 on scale 1-7","2007","Employed","vocational + Abi","","","","","6"
"6 on scale 1-7","2007","Employed","higher vocational","","","","","6"
"6 on scale 1-7","2007","Employed","higher education","","","","","6"
"6 on scale 1-7","2007","Not Employed","in school","","","","","6"
"6 on scale 1-7","2007","Not Employed","inadequately","","","","","6"
"6 on scale 1-7","2007","Not Employed","general elemantary","","","","","6"
"6 on scale 1-7","2007","Not Employed","middle vocational","","","","","6"
"6 on scale 1-7","2007","Not Employed","vocational + Abi","","","","","6"
"6 on scale 1-7","2007","Not Employed","higher vocational","","","","","6"
"7 Strongly agree","2007","Not Employed","in school","","","","","7"
"7 Strongly agree","2007","Not Employed","inadequately","","","","","7"
"7 Strongly agree","2007","Not Employed","general elemantary","","","","","7"
"7 Strongly agree","2007","Not Employed","middle vocational","","","","","7"
"7 Strongly agree","2007","Not Employed","vocational + Abi","","","","","7"
"7 Strongly agree","2007","Not Employed","higher vocational","","","","","7"
"7 Strongly agree","2007","Not Employed","higher education","","","","","7"
"7 Strongly agree","2007","Employed","in school","","","","","7"
"7 Strongly agree","2007","Employed","inadequately","","","","","7"
"7 Strongly agree","2007","Employed","general elemantary","","","","","7"
"7 Strongly agree","2007","Employed","middle vocational","","","","","7"
"7 Strongly agree","2007","Employed","vocational + Abi","","","","","7"
"7 Strongly agree","2007","Employed","higher vocational","","","","","7"
"7 Strongly agree","2007","Employed","higher education","","","","","7"
"1 Strongly disagree","2008","Not Employed","in school","","","","","1"
"1 Strongly disagree","2008","Not Employed","inadequately","","","","","1"
"1 Strongly disagree","2008","Not Employed","general elemantary","","","","","1"
"1 Strongly disagree","2008","Not Employed","middle vocational","","","","","1"
"1 Strongly disagree","2008","Employed","in school","","","","","1"
"1 Strongly disagree","2008","Employed","inadequately","","","","","1"
"1 Strongly disagree","2008","Not Employed","vocational + Abi","","","","","1"
"1 Strongly disagree","2008","Not Employed","higher vocational","","","","","1"
"1 Strongly disagree","2008","Not Employed","higher education","","","","","1"
"1 Strongly disagree","2008","Employed","general elemantary","","","","","1"
"1 Strongly disagree","2008","Employed","middle vocational","","","","","1"
"1 Strongly disagree","2008","Employed","vocational + Abi","","","","","1"
"1 Strongly disagree","2008","Employed","higher vocational","","","","","1"
"1 Strongly disagree","2008","Employed","higher education","","","","","1"
"2 on scale 1-7 ","2008","Not Employed","in school","","","","","2"
"2 on scale 1-7 ","2008","Not Employed","inadequately","","","","","2"
"2 on scale 1-7 ","2008","Not Employed","higher education","","","","","2"
"2 on scale 1-7 ","2008","Employed","in school","","","","","2"
"2 on scale 1-7 ","2008","Employed","inadequately","","","","","2"
"2 on scale 1-7 ","2008","Employed","general elemantary","","","","","2"
"2 on scale 1-7 ","2008","Employed","middle vocational","","","","","2"
"2 on scale 1-7 ","2008","Employed","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2008","Employed","higher vocational","","","","","2"
"2 on scale 1-7 ","2008","Employed","higher education","","","","","2"
"2 on scale 1-7 ","2008","Not Employed","general elemantary","","","","","2"
"2 on scale 1-7 ","2008","Not Employed","middle vocational","","","","","2"
"2 on scale 1-7 ","2008","Not Employed","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2008","Not Employed","higher vocational","","","","","2"
"3 on scale 1-7 ","2008","Not Employed","in school","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","inadequately","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","general elemantary","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","middle vocational","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","higher education","","","","","3"
"3 on scale 1-7 ","2008","Employed","in school","","","","","3"
"3 on scale 1-7 ","2008","Employed","inadequately","","","","","3"
"3 on scale 1-7 ","2008","Employed","general elemantary","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","higher vocational","","","","","3"
"3 on scale 1-7 ","2008","Employed","middle vocational","","","","","3"
"3 on scale 1-7 ","2008","Employed","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2008","Employed","higher vocational","","","","","3"
"3 on scale 1-7 ","2008","Employed","higher education","","","","","3"
"4 on scale 1-7","2008","Not Employed","in school","","","","","4"
"4 on scale 1-7","2008","Not Employed","inadequately","","","","","4"
"4 on scale 1-7","2008","Not Employed","general elemantary","","","","","4"
"4 on scale 1-7","2008","Not Employed","middle vocational","","","","","4"
"4 on scale 1-7","2008","Not Employed","vocational + Abi","","","","","4"
"4 on scale 1-7","2008","Not Employed","higher vocational","","","","","4"
"4 on scale 1-7","2008","Not Employed","higher education","","","","","4"
"4 on scale 1-7","2008","Employed","in school","","","","","4"
"4 on scale 1-7","2008","Employed","inadequately","","","","","4"
"4 on scale 1-7","2008","Employed","general elemantary","","","","","4"
"4 on scale 1-7","2008","Employed","middle vocational","","","","","4"
"4 on scale 1-7","2008","Employed","vocational + Abi","","","","","4"
"4 on scale 1-7","2008","Employed","higher vocational","","","","","4"
"4 on scale 1-7","2008","Employed","higher education","","","","","4"
"5 on scale 1-7","2008","Not Employed","general elemantary","","","","","5"
"5 on scale 1-7","2008","Not Employed","middle vocational","","","","","5"
"5 on scale 1-7","2008","Not Employed","vocational + Abi","","","","","5"
"5 on scale 1-7","2008","Not Employed","higher vocational","","","","","5"
"5 on scale 1-7","2008","Not Employed","higher education","","","","","5"
"5 on scale 1-7","2008","Employed","in school","","","","","5"
"5 on scale 1-7","2008","Employed","inadequately","","","","","5"
"5 on scale 1-7","2008","Employed","general elemantary","","","","","5"
"5 on scale 1-7","2008","Not Employed","in school","","","","","5"
"5 on scale 1-7","2008","Not Employed","inadequately","","","","","5"
"5 on scale 1-7","2008","Employed","middle vocational","","","","","5"
"5 on scale 1-7","2008","Employed","vocational + Abi","","","","","5"
"5 on scale 1-7","2008","Employed","higher vocational","","","","","5"
"5 on scale 1-7","2008","Employed","higher education","","","","","5"
"6 on scale 1-7","2008","Not Employed","in school","","","","","6"
"6 on scale 1-7","2008","Not Employed","inadequately","","","","","6"
"6 on scale 1-7","2008","Not Employed","general elemantary","","","","","6"
"6 on scale 1-7","2008","Not Employed","middle vocational","","","","","6"
"6 on scale 1-7","2008","Not Employed","vocational + Abi","","","","","6"
"6 on scale 1-7","2008","Not Employed","higher vocational","","","","","6"
"6 on scale 1-7","2008","Not Employed","higher education","","","","","6"
"6 on scale 1-7","2008","Employed","in school","","","","","6"
"6 on scale 1-7","2008","Employed","inadequately","","","","","6"
"6 on scale 1-7","2008","Employed","general elemantary","","","","","6"
"6 on scale 1-7","2008","Employed","middle vocational","","","","","6"
"6 on scale 1-7","2008","Employed","vocational + Abi","","","","","6"
"6 on scale 1-7","2008","Employed","higher vocational","","","","","6"
"6 on scale 1-7","2008","Employed","higher education","","","","","6"
"7 Strongly agree","2008","Employed","higher education","","","","","7"
"7 Strongly agree","2008","Not Employed","higher vocational","","","","","7"
"7 Strongly agree","2008","Not Employed","higher education","","","","","7"
"7 Strongly agree","2008","Employed","vocational + Abi","","","","","7"
"7 Strongly agree","2008","Employed","higher vocational","","","","","7"
"7 Strongly agree","2008","Employed","in school","","","","","7"
"7 Strongly agree","2008","Employed","inadequately","","","","","7"
"7 Strongly agree","2008","Employed","middle vocational","","","","","7"
"7 Strongly agree","2008","Employed","general elemantary","","","","","7"
"7 Strongly agree","2008","Not Employed","in school","","","","","7"
"7 Strongly agree","2008","Not Employed","inadequately","","","","","7"
