"plh0206i06","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"2 on scale 1-7 ","2005","lower secondary degree","general elemantary","55","0.0341639325529233","0.0249250275464165","0.0434028375594301"
"2 on scale 1-7 ","2005","lower secondary degree","middle vocational","156","0.0277989684701515","0.0232067181576794","0.0323912187826235"
"2 on scale 1-7 ","2005","lower secondary degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","higher vocational","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","higher education","","","",""
"2 on scale 1-7 ","2005","secondary school degree","in school","","","",""
"2 on scale 1-7 ","2005","secondary school degree","inadequately","","","",""
"2 on scale 1-7 ","2005","secondary school degree","general elemantary","33","0.0565309136736523","0.0376708267935139","0.0753910005537908"
"2 on scale 1-7 ","2005","secondary school degree","middle vocational","149","0.0355073809813883","0.029835223109399","0.0411795388533775"
"2 on scale 1-7 ","2005","secondary school degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","secondary school degree","higher vocational","","","",""
"2 on scale 1-7 ","2005","secondary school degree","higher education","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","in school","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","inadequately","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","general elemantary","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","middle vocational","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","higher vocational","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","higher education","58","0.0200653617018399","0.0151739653976604","0.0249567580060193"
"2 on scale 1-7 ","2005","Other degree","in school","","","",""
"2 on scale 1-7 ","2005","Other degree","inadequately","","","",""
"2 on scale 1-7 ","2005","Other degree","general elemantary","","","",""
"2 on scale 1-7 ","2005","Other degree","middle vocational","","","",""
"2 on scale 1-7 ","2005","Other degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Other degree","higher vocational","","","",""
"2 on scale 1-7 ","2005","Other degree","higher education","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","in school","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","inadequately","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","general elemantary","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","middle vocational","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","higher vocational","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","higher education","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","in school","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","inadequately","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","general elemantary","96","0.0643236970250674","0.0518460361387096","0.0768013579114252"
"3 on scale 1-7 ","2005","lower secondary degree","middle vocational","288","0.0613605768878481","0.0546566806221174","0.0680644731535787"
"3 on scale 1-7 ","2005","lower secondary degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","higher vocational","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","higher education","","","",""
"3 on scale 1-7 ","2005","secondary school degree","in school","","","",""
"3 on scale 1-7 ","2005","secondary school degree","inadequately","","","",""
"3 on scale 1-7 ","2005","secondary school degree","general elemantary","46","0.0808744167933371","0.0586090498179261","0.103139783768748"
"3 on scale 1-7 ","2005","secondary school degree","middle vocational","244","0.0609786200658235","0.0536441950635748","0.0683130450680722"
"3 on scale 1-7 ","2005","secondary school degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","secondary school degree","higher vocational","34","0.0436391704156173","0.0284619373171824","0.0588164035140523"
"3 on scale 1-7 ","2005","secondary school degree","higher education","30","0.0486050732600425","0.0316919619310864","0.0655181845889986"
"3 on scale 1-7 ","2005","college entrance qualification","in school","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","inadequately","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","general elemantary","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","middle vocational","40","0.0497035952287513","0.0339595620785971","0.0654476283789056"
"3 on scale 1-7 ","2005","college entrance qualification","vocational + Abi","52","0.0569145679058567","0.0421744069959626","0.0716547288157508"
"3 on scale 1-7 ","2005","college entrance qualification","higher vocational","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","higher education","125","0.0370951056011011","0.0305024437128531","0.0436877674893491"
"3 on scale 1-7 ","2005","Other degree","in school","","","",""
"3 on scale 1-7 ","2005","Other degree","inadequately","","","",""
"3 on scale 1-7 ","2005","Other degree","general elemantary","","","",""
"3 on scale 1-7 ","2005","Other degree","middle vocational","","","",""
"3 on scale 1-7 ","2005","Other degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Other degree","higher vocational","","","",""
"3 on scale 1-7 ","2005","Other degree","higher education","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","in school","51","0.072656485797506","0.05262441957106","0.092688552023952"
"3 on scale 1-7 ","2005","no degree/no degree yet","inadequately","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","general elemantary","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","middle vocational","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","higher vocational","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","higher education","","","",""
"4 on scale 1-7","2005","lower secondary degree","in school","","","",""
"4 on scale 1-7","2005","lower secondary degree","inadequately","","","",""
"4 on scale 1-7","2005","lower secondary degree","general elemantary","276","0.181442458953695","0.161841427184532","0.201043490722858"
"4 on scale 1-7","2005","lower secondary degree","middle vocational","797","0.161936667184935","0.151645984392501","0.172227349977369"
"4 on scale 1-7","2005","lower secondary degree","vocational + Abi","","","",""
"4 on scale 1-7","2005","lower secondary degree","higher vocational","70","0.15411822647989","0.120795413551726","0.187441039408055"
"4 on scale 1-7","2005","lower secondary degree","higher education","","","",""
"4 on scale 1-7","2005","secondary school degree","in school","","","",""
"4 on scale 1-7","2005","secondary school degree","inadequately","","","",""
"4 on scale 1-7","2005","secondary school degree","general elemantary","106","0.185228590430416","0.153503070312288","0.216954110548544"
"4 on scale 1-7","2005","secondary school degree","middle vocational","681","0.164256244400912","0.152899939340278","0.175612549461545"
"4 on scale 1-7","2005","secondary school degree","vocational + Abi","","","",""
"4 on scale 1-7","2005","secondary school degree","higher vocational","119","0.193027105244687","0.163705881371927","0.222348329117446"
"4 on scale 1-7","2005","secondary school degree","higher education","102","0.168815355884559","0.139353708938527","0.198277002830591"
"4 on scale 1-7","2005","college entrance qualification","in school","","","",""
"4 on scale 1-7","2005","college entrance qualification","inadequately","","","",""
"4 on scale 1-7","2005","college entrance qualification","general elemantary","","","",""
"4 on scale 1-7","2005","college entrance qualification","middle vocational","127","0.173633395966791","0.146192672386229","0.201074119547354"
"4 on scale 1-7","2005","college entrance qualification","vocational + Abi","153","0.158772566437436","0.135520613737098","0.182024519137774"
"4 on scale 1-7","2005","college entrance qualification","higher vocational","52","0.155742392101293","0.117534686963775","0.19395009723881"
"4 on scale 1-7","2005","college entrance qualification","higher education","405","0.131397466017935","0.119612866152363","0.143182065883506"
"4 on scale 1-7","2005","Other degree","in school","","","",""
"4 on scale 1-7","2005","Other degree","inadequately","","","",""
"4 on scale 1-7","2005","Other degree","general elemantary","50","0.165513506304415","0.125108722619697","0.205918289989133"
"4 on scale 1-7","2005","Other degree","middle vocational","62","0.178898961502101","0.140664352868025","0.217133570136177"
"4 on scale 1-7","2005","Other degree","vocational + Abi","","","",""
"4 on scale 1-7","2005","Other degree","higher vocational","","","",""
"4 on scale 1-7","2005","Other degree","higher education","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","in school","127","0.19879757597007","0.167997988239973","0.229597163700167"
"4 on scale 1-7","2005","no degree/no degree yet","inadequately","44","0.163047097684671","0.111198402500577","0.214895792868765"
"4 on scale 1-7","2005","no degree/no degree yet","general elemantary","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","middle vocational","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","vocational + Abi","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","higher vocational","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","higher education","","","",""
"5 on scale 1-7","2005","lower secondary degree","in school","","","",""
"5 on scale 1-7","2005","lower secondary degree","inadequately","","","",""
"5 on scale 1-7","2005","lower secondary degree","general elemantary","306","0.211065814305555","0.190311222293557","0.231820406317553"
"5 on scale 1-7","2005","lower secondary degree","middle vocational","1065","0.2170063763393","0.205491784889895","0.228520967788705"
"5 on scale 1-7","2005","lower secondary degree","vocational + Abi","","","",""
"5 on scale 1-7","2005","lower secondary degree","higher vocational","96","0.205709801997667","0.16840395414049","0.243015649854845"
"5 on scale 1-7","2005","lower secondary degree","higher education","32","0.207786853450039","0.148679861302815","0.266893845597263"
"5 on scale 1-7","2005","secondary school degree","in school","","","",""
"5 on scale 1-7","2005","secondary school degree","inadequately","","","",""
"5 on scale 1-7","2005","secondary school degree","general elemantary","123","0.165037715830435","0.134722415109046","0.195353016551824"
"5 on scale 1-7","2005","secondary school degree","middle vocational","870","0.206915277640379","0.194498880167668","0.21933167511309"
"5 on scale 1-7","2005","secondary school degree","vocational + Abi","","","",""
"5 on scale 1-7","2005","secondary school degree","higher vocational","170","0.237909680440633","0.206275779482935","0.269543581398331"
"5 on scale 1-7","2005","secondary school degree","higher education","117","0.18368798578214","0.153232133240359","0.214143838323921"
"5 on scale 1-7","2005","college entrance qualification","in school","","","",""
"5 on scale 1-7","2005","college entrance qualification","inadequately","","","",""
"5 on scale 1-7","2005","college entrance qualification","general elemantary","","","",""
"5 on scale 1-7","2005","college entrance qualification","middle vocational","205","0.294586794767319","0.261563455924713","0.327610133609924"
"5 on scale 1-7","2005","college entrance qualification","vocational + Abi","238","0.237845325861503","0.210756894659497","0.26493375706351"
"5 on scale 1-7","2005","college entrance qualification","higher vocational","93","0.306542375836404","0.257961508430613","0.355123243242195"
"5 on scale 1-7","2005","college entrance qualification","higher education","774","0.23408597541679","0.219315702891418","0.248856247942162"
"5 on scale 1-7","2005","Other degree","in school","","","",""
"5 on scale 1-7","2005","Other degree","inadequately","","","",""
"5 on scale 1-7","2005","Other degree","general elemantary","77","0.263997526504227","0.21607430811327","0.311920744895183"
"5 on scale 1-7","2005","Other degree","middle vocational","74","0.174175415918684","0.136340587352532","0.212010244484836"
"5 on scale 1-7","2005","Other degree","vocational + Abi","","","",""
"5 on scale 1-7","2005","Other degree","higher vocational","","","",""
"5 on scale 1-7","2005","Other degree","higher education","41","0.238976904254969","0.178016750969548","0.29993705754039"
"5 on scale 1-7","2005","no degree/no degree yet","in school","157","0.233263871820601","0.200626518169948","0.265901225471254"
"5 on scale 1-7","2005","no degree/no degree yet","inadequately","34","0.161943674009104","0.110236668945421","0.213650679072788"
"5 on scale 1-7","2005","no degree/no degree yet","general elemantary","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","middle vocational","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","vocational + Abi","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","higher vocational","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","higher education","","","",""
"6 on scale 1-7","2005","lower secondary degree","in school","","","",""
"6 on scale 1-7","2005","lower secondary degree","inadequately","","","",""
"6 on scale 1-7","2005","lower secondary degree","general elemantary","322","0.204237025455861","0.18373277175821","0.224741279153512"
"6 on scale 1-7","2005","lower secondary degree","middle vocational","1224","0.238135793476053","0.226237510399515","0.250034076552591"
"6 on scale 1-7","2005","lower secondary degree","vocational + Abi","","","",""
"6 on scale 1-7","2005","lower secondary degree","higher vocational","122","0.259348456890041","0.218899379493207","0.299797534286875"
"6 on scale 1-7","2005","lower secondary degree","higher education","47","0.279162055245275","0.213810516623269","0.344513593867281"
"6 on scale 1-7","2005","secondary school degree","in school","","","",""
"6 on scale 1-7","2005","secondary school degree","inadequately","","","",""
"6 on scale 1-7","2005","secondary school degree","general elemantary","121","0.244444928706656","0.209348701929126","0.279541155484185"
"6 on scale 1-7","2005","secondary school degree","middle vocational","1086","0.26638501533948","0.252835351267225","0.279934679411734"
"6 on scale 1-7","2005","secondary school degree","vocational + Abi","","","",""
"6 on scale 1-7","2005","secondary school degree","higher vocational","181","0.26040268410596","0.227799211256842","0.293006156955078"
"6 on scale 1-7","2005","secondary school degree","higher education","193","0.295131065155021","0.259258375620276","0.331003754689766"
"6 on scale 1-7","2005","college entrance qualification","in school","","","",""
"6 on scale 1-7","2005","college entrance qualification","inadequately","","","",""
"6 on scale 1-7","2005","college entrance qualification","general elemantary","","","",""
"6 on scale 1-7","2005","college entrance qualification","middle vocational","203","0.271746756289357","0.239520047939386","0.303973464639328"
"6 on scale 1-7","2005","college entrance qualification","vocational + Abi","270","0.272487232932971","0.244159724745883","0.30081474112006"
"6 on scale 1-7","2005","college entrance qualification","higher vocational","87","0.241988945254526","0.196860998466621","0.287116892042432"
"6 on scale 1-7","2005","college entrance qualification","higher education","1031","0.319568726993277","0.303302565890596","0.335834888095958"
"6 on scale 1-7","2005","Other degree","in school","","","",""
"6 on scale 1-7","2005","Other degree","inadequately","","","",""
"6 on scale 1-7","2005","Other degree","general elemantary","70","0.187052568070917","0.144657095577108","0.229448040564727"
"6 on scale 1-7","2005","Other degree","middle vocational","77","0.193862193866664","0.154425032739579","0.233299354993748"
"6 on scale 1-7","2005","Other degree","vocational + Abi","35","0.260864164237051","0.182946214484909","0.338782113989194"
"6 on scale 1-7","2005","Other degree","higher vocational","","","",""
"6 on scale 1-7","2005","Other degree","higher education","49","0.280179287007437","0.215984561086443","0.34437401292843"
"6 on scale 1-7","2005","no degree/no degree yet","in school","161","0.255305266682557","0.221655096739639","0.288955436625474"
"6 on scale 1-7","2005","no degree/no degree yet","inadequately","34","0.200557337125452","0.144356378532059","0.256758295718846"
"6 on scale 1-7","2005","no degree/no degree yet","general elemantary","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","middle vocational","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","vocational + Abi","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","higher vocational","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","higher education","","","",""
"7 Strongly agree","2005","lower secondary degree","in school","","","",""
"7 Strongly agree","2005","lower secondary degree","inadequately","","","",""
"7 Strongly agree","2005","lower secondary degree","general elemantary","356","0.24149472317683","0.219726750171123","0.263262696182536"
"7 Strongly agree","2005","lower secondary degree","middle vocational","1236","0.253542614566935","0.241390239498397","0.265694989635473"
"7 Strongly agree","2005","lower secondary degree","vocational + Abi","","","",""
"7 Strongly agree","2005","lower secondary degree","higher vocational","105","0.23779966362819","0.198508037213833","0.277091290042547"
"7 Strongly agree","2005","lower secondary degree","higher education","53","0.256504170662135","0.192883932960638","0.320124408363631"
"7 Strongly agree","2005","secondary school degree","in school","","","",""
"7 Strongly agree","2005","secondary school degree","inadequately","","","",""
"7 Strongly agree","2005","secondary school degree","general elemantary","131","0.248799945194972","0.213494654236731","0.284105236153213"
"7 Strongly agree","2005","secondary school degree","middle vocational","977","0.245942971273035","0.232743429957433","0.259142512588637"
"7 Strongly agree","2005","secondary school degree","vocational + Abi","","","",""
"7 Strongly agree","2005","secondary school degree","higher vocational","158","0.22035854093524","0.189565266107369","0.251151815763111"
"7 Strongly agree","2005","secondary school degree","higher education","157","0.262599004437842","0.227989077031637","0.297208931844047"
"7 Strongly agree","2005","college entrance qualification","in school","","","",""
"7 Strongly agree","2005","college entrance qualification","inadequately","","","",""
"7 Strongly agree","2005","college entrance qualification","general elemantary","","","",""
"7 Strongly agree","2005","college entrance qualification","middle vocational","134","0.179689734129317","0.151877027371819","0.207502440886816"
"7 Strongly agree","2005","college entrance qualification","vocational + Abi","197","0.228224684834529","0.201522811297942","0.254926558371117"
"7 Strongly agree","2005","college entrance qualification","higher vocational","85","0.227545113164669","0.183369726395087","0.271720499934252"
"7 Strongly agree","2005","college entrance qualification","higher education","752","0.252841034114802","0.237679571994847","0.268002496234757"
"7 Strongly agree","2005","Other degree","in school","","","",""
"7 Strongly agree","2005","Other degree","inadequately","","","",""
"7 Strongly agree","2005","Other degree","general elemantary","89","0.242450005840708","0.195856739221433","0.289043272459983"
"7 Strongly agree","2005","Other degree","middle vocational","126","0.342878715957668","0.295525719127618","0.390231712787717"
"7 Strongly agree","2005","Other degree","vocational + Abi","32","0.269113442871043","0.190415956878328","0.347810928863758"
"7 Strongly agree","2005","Other degree","higher vocational","","","",""
"7 Strongly agree","2005","Other degree","higher education","58","0.226419131589012","0.166594699183777","0.286243563994246"
"7 Strongly agree","2005","no degree/no degree yet","in school","103","0.167406693102751","0.13859484608387","0.196218540121633"
"7 Strongly agree","2005","no degree/no degree yet","inadequately","53","0.283874860945529","0.220591620050686","0.347158101840373"
"7 Strongly agree","2005","no degree/no degree yet","general elemantary","","","",""
"7 Strongly agree","2005","no degree/no degree yet","middle vocational","","","",""
"7 Strongly agree","2005","no degree/no degree yet","vocational + Abi","","","",""
"7 Strongly agree","2005","no degree/no degree yet","higher vocational","","","",""
"7 Strongly agree","2005","no degree/no degree yet","higher education","","","",""
"1 Strongly disagree","2006","lower secondary degree","in school","","","",""
"1 Strongly disagree","2006","lower secondary degree","inadequately","","","",""
"1 Strongly disagree","2006","lower secondary degree","general elemantary","","","",""
"1 Strongly disagree","2006","lower secondary degree","middle vocational","","","",""
"1 Strongly disagree","2006","lower secondary degree","vocational + Abi","","","",""
"1 Strongly disagree","2006","lower secondary degree","higher vocational","","","",""
"1 Strongly disagree","2006","lower secondary degree","higher education","","","",""
"1 Strongly disagree","2006","secondary school degree","in school","","","",""
"1 Strongly disagree","2006","secondary school degree","inadequately","","","",""
"1 Strongly disagree","2006","secondary school degree","general elemantary","","","",""
"1 Strongly disagree","2006","secondary school degree","middle vocational","","","",""
"1 Strongly disagree","2006","secondary school degree","vocational + Abi","","","",""
"1 Strongly disagree","2006","secondary school degree","higher vocational","","","",""
"1 Strongly disagree","2006","secondary school degree","higher education","","","",""
"1 Strongly disagree","2006","college entrance qualification","in school","","","",""
"1 Strongly disagree","2006","college entrance qualification","inadequately","","","",""
"1 Strongly disagree","2006","college entrance qualification","general elemantary","","","",""
"1 Strongly disagree","2006","college entrance qualification","middle vocational","","","",""
"1 Strongly disagree","2006","college entrance qualification","vocational + Abi","","","",""
"1 Strongly disagree","2006","college entrance qualification","higher vocational","","","",""
"1 Strongly disagree","2006","college entrance qualification","higher education","","","",""
"1 Strongly disagree","2006","Other degree","in school","","","",""
"1 Strongly disagree","2006","Other degree","inadequately","","","",""
"1 Strongly disagree","2006","Other degree","general elemantary","","","",""
"1 Strongly disagree","2006","Other degree","middle vocational","","","",""
"1 Strongly disagree","2006","Other degree","vocational + Abi","","","",""
"1 Strongly disagree","2006","Other degree","higher vocational","","","",""
"1 Strongly disagree","2006","Other degree","higher education","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","in school","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","inadequately","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","general elemantary","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","middle vocational","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","vocational + Abi","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","higher vocational","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","higher education","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","in school","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","inadequately","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","general elemantary","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","middle vocational","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","higher vocational","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","higher education","","","",""
"2 on scale 1-7 ","2006","secondary school degree","in school","","","",""
"2 on scale 1-7 ","2006","secondary school degree","inadequately","","","",""
"2 on scale 1-7 ","2006","secondary school degree","general elemantary","","","",""
"2 on scale 1-7 ","2006","secondary school degree","middle vocational","","","",""
"2 on scale 1-7 ","2006","secondary school degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","secondary school degree","higher vocational","","","",""
"2 on scale 1-7 ","2006","secondary school degree","higher education","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","in school","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","inadequately","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","general elemantary","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","middle vocational","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","higher vocational","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","higher education","","","",""
"2 on scale 1-7 ","2006","Other degree","in school","","","",""
"2 on scale 1-7 ","2006","Other degree","inadequately","","","",""
"2 on scale 1-7 ","2006","Other degree","general elemantary","","","",""
"2 on scale 1-7 ","2006","Other degree","middle vocational","","","",""
"2 on scale 1-7 ","2006","Other degree","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","Other degree","higher vocational","","","",""
"2 on scale 1-7 ","2006","Other degree","higher education","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","in school","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","inadequately","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","general elemantary","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","middle vocational","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","higher vocational","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","higher education","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","in school","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","inadequately","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","general elemantary","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","middle vocational","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","higher vocational","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","higher education","","","",""
"3 on scale 1-7 ","2006","secondary school degree","in school","","","",""
"3 on scale 1-7 ","2006","secondary school degree","inadequately","","","",""
"3 on scale 1-7 ","2006","secondary school degree","general elemantary","","","",""
"3 on scale 1-7 ","2006","secondary school degree","middle vocational","","","",""
"3 on scale 1-7 ","2006","secondary school degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","secondary school degree","higher vocational","","","",""
"3 on scale 1-7 ","2006","secondary school degree","higher education","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","in school","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","inadequately","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","general elemantary","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","middle vocational","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","higher vocational","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","higher education","","","",""
"3 on scale 1-7 ","2006","Other degree","in school","","","",""
"3 on scale 1-7 ","2006","Other degree","inadequately","","","",""
"3 on scale 1-7 ","2006","Other degree","general elemantary","","","",""
"3 on scale 1-7 ","2006","Other degree","middle vocational","","","",""
"3 on scale 1-7 ","2006","Other degree","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","Other degree","higher vocational","","","",""
"3 on scale 1-7 ","2006","Other degree","higher education","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","in school","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","inadequately","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","general elemantary","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","middle vocational","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","higher vocational","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","higher education","","","",""
"4 on scale 1-7","2006","lower secondary degree","in school","","","",""
"4 on scale 1-7","2006","lower secondary degree","inadequately","","","",""
"4 on scale 1-7","2006","lower secondary degree","general elemantary","","","",""
"4 on scale 1-7","2006","lower secondary degree","middle vocational","","","",""
"4 on scale 1-7","2006","lower secondary degree","vocational + Abi","","","",""
"4 on scale 1-7","2006","lower secondary degree","higher vocational","","","",""
"4 on scale 1-7","2006","lower secondary degree","higher education","","","",""
"4 on scale 1-7","2006","secondary school degree","in school","","","",""
"4 on scale 1-7","2006","secondary school degree","inadequately","","","",""
"4 on scale 1-7","2006","secondary school degree","general elemantary","","","",""
"4 on scale 1-7","2006","secondary school degree","middle vocational","","","",""
"4 on scale 1-7","2006","secondary school degree","vocational + Abi","","","",""
"4 on scale 1-7","2006","secondary school degree","higher vocational","","","",""
"4 on scale 1-7","2006","secondary school degree","higher education","","","",""
"4 on scale 1-7","2006","college entrance qualification","in school","","","",""
"4 on scale 1-7","2006","college entrance qualification","inadequately","","","",""
