"plh0206i06","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"5 on scale 1-7","2006","Not Employed","Full Time","","","","","5"
"5 on scale 1-7","2006","Not Employed","Part Time","","","","","5"
"6 on scale 1-7","2006","Employed","Not Working","","","","","6"
"6 on scale 1-7","2006","Not Employed","Not Working","","","","","6"
"6 on scale 1-7","2006","Employed","Part Time","","","","","6"
"6 on scale 1-7","2006","Employed","Full Time","","","","","6"
"6 on scale 1-7","2006","Not Employed","Part Time","","","","","6"
"6 on scale 1-7","2006","Not Employed","Full Time","","","","","6"
"7 Strongly agree","2006","Employed","Not Working","","","","","7"
"7 Strongly agree","2006","Not Employed","Not Working","","","","","7"
"7 Strongly agree","2006","Employed","Full Time","","","","","7"
"7 Strongly agree","2006","Employed","Part Time","","","","","7"
"7 Strongly agree","2006","Not Employed","Full Time","","","","","7"
"7 Strongly agree","2006","Not Employed","Part Time","","","","","7"
"1 Strongly disagree","2007","Not Employed","Full Time","","","","","1"
"1 Strongly disagree","2007","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2007","Not Employed","Not Working","","","","","1"
"1 Strongly disagree","2007","Employed","Full Time","","","","","1"
"1 Strongly disagree","2007","Employed","Part Time","","","","","1"
"1 Strongly disagree","2007","Employed","Not Working","","","","","1"
"2 on scale 1-7 ","2007","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2007","Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2007","Employed","Full Time","","","","","2"
"3 on scale 1-7 ","2007","Not Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2007","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2007","Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2007","Not Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2007","Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2007","Employed","Part Time","","","","","3"
"4 on scale 1-7","2007","Not Employed","Full Time","","","","","4"
"4 on scale 1-7","2007","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2007","Employed","Not Working","","","","","4"
"4 on scale 1-7","2007","Employed","Part Time","","","","","4"
"4 on scale 1-7","2007","Not Employed","Not Working","","","","","4"
"4 on scale 1-7","2007","Employed","Full Time","","","","","4"
"5 on scale 1-7","2007","Employed","Not Working","","","","","5"
"5 on scale 1-7","2007","Employed","Part Time","","","","","5"
"5 on scale 1-7","2007","Not Employed","Not Working","","","","","5"
"5 on scale 1-7","2007","Employed","Full Time","","","","","5"
"5 on scale 1-7","2007","Not Employed","Full Time","","","","","5"
"5 on scale 1-7","2007","Not Employed","Part Time","","","","","5"
"6 on scale 1-7","2007","Employed","Not Working","","","","","6"
"6 on scale 1-7","2007","Employed","Part Time","","","","","6"
"6 on scale 1-7","2007","Employed","Full Time","","","","","6"
"6 on scale 1-7","2007","Not Employed","Full Time","","","","","6"
"6 on scale 1-7","2007","Not Employed","Not Working","","","","","6"
"6 on scale 1-7","2007","Not Employed","Part Time","","","","","6"
"7 Strongly agree","2007","Employed","Not Working","","","","","7"
"7 Strongly agree","2007","Not Employed","Full Time","","","","","7"
"7 Strongly agree","2007","Not Employed","Part Time","","","","","7"
"7 Strongly agree","2007","Not Employed","Not Working","","","","","7"
"7 Strongly agree","2007","Employed","Full Time","","","","","7"
"7 Strongly agree","2007","Employed","Part Time","","","","","7"
"1 Strongly disagree","2008","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2008","Not Employed","Not Working","","","","","1"
"1 Strongly disagree","2008","Employed","Full Time","","","","","1"
"1 Strongly disagree","2008","Employed","Part Time","","","","","1"
"1 Strongly disagree","2008","Employed","Not Working","","","","","1"
"1 Strongly disagree","2008","Not Employed","Full Time","","","","","1"
"2 on scale 1-7 ","2008","Not Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2008","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2008","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2008","Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2008","Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2008","Not Employed","Full Time","","","","","2"
"3 on scale 1-7 ","2008","Not Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2008","Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2008","Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2008","Employed","Part Time","","","","","3"
"4 on scale 1-7","2008","Employed","Not Working","","","","","4"
"4 on scale 1-7","2008","Not Employed","Not Working","","","","","4"
"4 on scale 1-7","2008","Employed","Part Time","","","","","4"
"4 on scale 1-7","2008","Employed","Full Time","","","","","4"
"4 on scale 1-7","2008","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2008","Not Employed","Full Time","","","","","4"
"5 on scale 1-7","2008","Employed","Not Working","","","","","5"
"5 on scale 1-7","2008","Employed","Part Time","","","","","5"
"5 on scale 1-7","2008","Not Employed","Not Working","","","","","5"
"5 on scale 1-7","2008","Employed","Full Time","","","","","5"
"5 on scale 1-7","2008","Not Employed","Part Time","","","","","5"
"5 on scale 1-7","2008","Not Employed","Full Time","","","","","5"
"6 on scale 1-7","2008","Employed","Not Working","","","","","6"
"6 on scale 1-7","2008","Employed","Part Time","","","","","6"
"6 on scale 1-7","2008","Not Employed","Not Working","","","","","6"
"6 on scale 1-7","2008","Employed","Full Time","","","","","6"
"6 on scale 1-7","2008","Not Employed","Part Time","","","","","6"
"6 on scale 1-7","2008","Not Employed","Full Time","","","","","6"
"7 Strongly agree","2008","Employed","Not Working","","","","","7"
"7 Strongly agree","2008","Not Employed","Full Time","","","","","7"
"7 Strongly agree","2008","Not Employed","Not Working","","","","","7"
"7 Strongly agree","2008","Employed","Full Time","","","","","7"
"7 Strongly agree","2008","Employed","Part Time","","","","","7"
"7 Strongly agree","2008","Not Employed","Part Time","","","","","7"
"1 Strongly disagree","2009","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2009","Not Employed","Not Working","","","","","1"
"1 Strongly disagree","2009","Employed","Full Time","","","","","1"
"1 Strongly disagree","2009","Employed","Part Time","","","","","1"
"1 Strongly disagree","2009","Employed","Not Working","","","","","1"
"1 Strongly disagree","2009","Not Employed","Full Time","","","","","1"
"2 on scale 1-7 ","2009","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2009","Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2009","Not Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2009","Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2009","Not Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2009","Not Employed","Part Time","","","","","2"
"3 on scale 1-7 ","2009","Not Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2009","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2009","Not Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2009","Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2009","Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2009","Employed","Full Time","","","","","3"
"4 on scale 1-7","2009","Employed","Not Working","","","","","4"
"4 on scale 1-7","2009","Not Employed","Not Working","","","","","4"
"4 on scale 1-7","2009","Employed","Part Time","","","","","4"
"4 on scale 1-7","2009","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2009","Employed","Full Time","","","","","4"
"4 on scale 1-7","2009","Not Employed","Full Time","","","","","4"
"5 on scale 1-7","2009","Employed","Not Working","","","","","5"
"5 on scale 1-7","2009","Not Employed","Not Working","","","","","5"
"5 on scale 1-7","2009","Employed","Part Time","","","","","5"
"5 on scale 1-7","2009","Not Employed","Part Time","","","","","5"
"5 on scale 1-7","2009","Employed","Full Time","","","","","5"
"5 on scale 1-7","2009","Not Employed","Full Time","","","","","5"
"6 on scale 1-7","2009","Employed","Not Working","","","","","6"
"6 on scale 1-7","2009","Employed","Part Time","","","","","6"
"6 on scale 1-7","2009","Not Employed","Not Working","","","","","6"
"6 on scale 1-7","2009","Employed","Full Time","","","","","6"
"6 on scale 1-7","2009","Not Employed","Part Time","","","","","6"
"6 on scale 1-7","2009","Not Employed","Full Time","","","","","6"
"7 Strongly agree","2009","Employed","Not Working","","","","","7"
"7 Strongly agree","2009","Not Employed","Full Time","","","","","7"
"7 Strongly agree","2009","Not Employed","Part Time","","","","","7"
"7 Strongly agree","2009","Not Employed","Not Working","","","","","7"
"7 Strongly agree","2009","Employed","Full Time","","","","","7"
"7 Strongly agree","2009","Employed","Part Time","","","","","7"
"1 Strongly disagree","2010","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2010","Not Employed","Not Working","218","0.0404973748746213","0.0356313255309579","0.0453634242182846","1"
"1 Strongly disagree","2010","Employed","Full Time","111","0.0167843544394186","0.013646867918382","0.0199218409604551","1"
"1 Strongly disagree","2010","Employed","Part Time","96","0.0224045902831436","0.0177598239830189","0.0270493565832682","1"
"1 Strongly disagree","2010","Employed","Not Working","","","","","1"
"1 Strongly disagree","2010","Not Employed","Full Time","","","","","1"
"2 on scale 1-7 ","2010","Not Employed","Not Working","238","0.037594136570733","0.0328986654227724","0.0422896077186937","2"
"2 on scale 1-7 ","2010","Employed","Full Time","200","0.0243008124664177","0.0205400705907196","0.0280615543421157","2"
"2 on scale 1-7 ","2010","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2010","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2010","Employed","Part Time","132","0.0338346657974522","0.0281602329796095","0.0395090986152949","2"
"2 on scale 1-7 ","2010","Not Employed","Full Time","","","","","2"
"3 on scale 1-7 ","2010","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2010","Not Employed","Not Working","380","0.0652054682185123","0.059110940181478","0.0712999962555467","3"
"3 on scale 1-7 ","2010","Not Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2010","Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2010","Employed","Part Time","279","0.0675082838467957","0.059633895804473","0.0753826718891184","3"
"3 on scale 1-7 ","2010","Employed","Full Time","418","0.0676840263118617","0.0615488109419838","0.0738192416817396","3"
"4 on scale 1-7","2010","Employed","Not Working","","","","","4"
"4 on scale 1-7","2010","Employed","Part Time","664","0.183808208632129","0.171652106224456","0.195964311039801","4"
"4 on scale 1-7","2010","Not Employed","Not Working","1040","0.16590481262946","0.156721966892206","0.175087658366714","4"
"4 on scale 1-7","2010","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2010","Employed","Full Time","965","0.153123481137338","0.144328475948707","0.16191848632597","4"
"4 on scale 1-7","2010","Not Employed","Full Time","","","","","4"
"5 on scale 1-7","2010","Employed","Not Working","","","","","5"
"5 on scale 1-7","2010","Not Employed","Not Working","1394","0.211045434727562","0.200972547620283","0.22111832183484","5"
"5 on scale 1-7","2010","Employed","Part Time","935","0.208080571074541","0.195340494096753","0.220820648052329","5"
"5 on scale 1-7","2010","Employed","Full Time","1534","0.243516376337665","0.233033776459103","0.253998976216226","5"
"5 on scale 1-7","2010","Not Employed","Part Time","","","","","5"
"5 on scale 1-7","2010","Not Employed","Full Time","","","","","5"
"6 on scale 1-7","2010","Employed","Not Working","","","","","6"
"6 on scale 1-7","2010","Not Employed","Not Working","1633","0.244855949250573","0.234241188212983","0.255470710288164","6"
"6 on scale 1-7","2010","Employed","Part Time","1056","0.27012877510435","0.256193218068428","0.284064332140272","6"
"6 on scale 1-7","2010","Not Employed","Part Time","","","","","6"
"6 on scale 1-7","2010","Employed","Full Time","1959","0.289212963553451","0.278139492253672","0.30028643485323","6"
"6 on scale 1-7","2010","Not Employed","Full Time","","","","","6"
"7 Strongly agree","2010","Employed","Not Working","","","","","7"
"7 Strongly agree","2010","Not Employed","Full Time","","","","","7"
"7 Strongly agree","2010","Not Employed","Part Time","","","","","7"
"7 Strongly agree","2010","Not Employed","Not Working","1401","0.234896823728538","0.224431839856188","0.245361807600888","7"
"7 Strongly agree","2010","Employed","Full Time","1253","0.205377985753848","0.195511502144817","0.215244469362879","7"
"7 Strongly agree","2010","Employed","Part Time","738","0.214234905261589","0.201358125442093","0.227111685081084","7"
"1 Strongly disagree","2011","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2011","Not Employed","Not Working","","","","","1"
"1 Strongly disagree","2011","Employed","Full Time","","","","","1"
"1 Strongly disagree","2011","Employed","Part Time","","","","","1"
"1 Strongly disagree","2011","Employed","Not Working","","","","","1"
"1 Strongly disagree","2011","Not Employed","Full Time","","","","","1"
"2 on scale 1-7 ","2011","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2011","Not Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2011","Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2011","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2011","Not Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2011","Employed","Part Time","","","","","2"
"3 on scale 1-7 ","2011","Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2011","Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2011","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2011","Not Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2011","Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2011","Not Employed","Full Time","","","","","3"
"4 on scale 1-7","2011","Employed","Part Time","","","","","4"
"4 on scale 1-7","2011","Employed","Not Working","","","","","4"
"4 on scale 1-7","2011","Not Employed","Not Working","","","","","4"
"4 on scale 1-7","2011","Employed","Full Time","","","","","4"
"4 on scale 1-7","2011","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2011","Not Employed","Full Time","","","","","4"
"5 on scale 1-7","2011","Employed","Not Working","","","","","5"
"5 on scale 1-7","2011","Employed","Part Time","","","","","5"
"5 on scale 1-7","2011","Not Employed","Not Working","","","","","5"
"5 on scale 1-7","2011","Employed","Full Time","","","","","5"
"5 on scale 1-7","2011","Not Employed","Part Time","","","","","5"
"5 on scale 1-7","2011","Not Employed","Full Time","","","","","5"
"6 on scale 1-7","2011","Not Employed","Part Time","","","","","6"
"6 on scale 1-7","2011","Employed","Not Working","","","","","6"
"6 on scale 1-7","2011","Not Employed","Not Working","","","","","6"
"6 on scale 1-7","2011","Not Employed","Full Time","","","","","6"
"6 on scale 1-7","2011","Employed","Full Time","","","","","6"
"6 on scale 1-7","2011","Employed","Part Time","","","","","6"
"7 Strongly agree","2011","Not Employed","Part Time","","","","","7"
"7 Strongly agree","2011","Not Employed","Not Working","","","","","7"
"7 Strongly agree","2011","Employed","Not Working","","","","","7"
"7 Strongly agree","2011","Not Employed","Full Time","","","","","7"
"7 Strongly agree","2011","Employed","Full Time","","","","","7"
"7 Strongly agree","2011","Employed","Part Time","","","","","7"
"1 Strongly disagree","2012","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2012","Not Employed","Not Working","","","","","1"
"1 Strongly disagree","2012","Employed","Part Time","","","","","1"
"1 Strongly disagree","2012","Employed","Not Working","","","","","1"
"1 Strongly disagree","2012","Employed","Full Time","","","","","1"
"1 Strongly disagree","2012","Not Employed","Full Time","","","","","1"
"2 on scale 1-7 ","2012","Not Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2012","Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2012","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2012","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2012","Not Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2012","Employed","Part Time","","","","","2"
"3 on scale 1-7 ","2012","Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2012","Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2012","Not Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2012","Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2012","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2012","Not Employed","Full Time","","","","","3"
"4 on scale 1-7","2012","Employed","Not Working","","","","","4"
"4 on scale 1-7","2012","Employed","Part Time","","","","","4"
"4 on scale 1-7","2012","Not Employed","Not Working","","","","","4"
"4 on scale 1-7","2012","Employed","Full Time","","","","","4"
"4 on scale 1-7","2012","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2012","Not Employed","Full Time","","","","","4"
"5 on scale 1-7","2012","Employed","Not Working","","","","","5"
"5 on scale 1-7","2012","Employed","Part Time","","","","","5"
"5 on scale 1-7","2012","Not Employed","Not Working","","","","","5"
"5 on scale 1-7","2012","Employed","Full Time","","","","","5"
"5 on scale 1-7","2012","Not Employed","Part Time","","","","","5"
"5 on scale 1-7","2012","Not Employed","Full Time","","","","","5"
"6 on scale 1-7","2012","Not Employed","Part Time","","","","","6"
"6 on scale 1-7","2012","Employed","Not Working","","","","","6"
"6 on scale 1-7","2012","Employed","Part Time","","","","","6"
"6 on scale 1-7","2012","Not Employed","Full Time","","","","","6"
"6 on scale 1-7","2012","Not Employed","Not Working","","","","","6"
"6 on scale 1-7","2012","Employed","Full Time","","","","","6"
"7 Strongly agree","2012","Employed","Not Working","","","","","7"
"7 Strongly agree","2012","Not Employed","Not Working","","","","","7"
"7 Strongly agree","2012","Not Employed","Full Time","","","","","7"
"7 Strongly agree","2012","Not Employed","Part Time","","","","","7"
"7 Strongly agree","2012","Employed","Full Time","","","","","7"
"7 Strongly agree","2012","Employed","Part Time","","","","","7"
"1 Strongly disagree","2013","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2013","Not Employed","Not Working","","","","","1"
"1 Strongly disagree","2013","Employed","Not Working","","","","","1"
"1 Strongly disagree","2013","Not Employed","Full Time","","","","","1"
"1 Strongly disagree","2013","Employed","Full Time","","","","","1"
"1 Strongly disagree","2013","Employed","Part Time","","","","","1"
"2 on scale 1-7 ","2013","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2013","Not Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2013","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2013","Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2013","Not Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2013","Employed","Part Time","","","","","2"
"3 on scale 1-7 ","2013","Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2013","Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2013","Not Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2013","Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2013","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2013","Not Employed","Full Time","","","","","3"
"4 on scale 1-7","2013","Employed","Not Working","","","","","4"
"4 on scale 1-7","2013","Employed","Part Time","","","","","4"
"4 on scale 1-7","2013","Not Employed","Not Working","","","","","4"
"4 on scale 1-7","2013","Employed","Full Time","","","","","4"
"4 on scale 1-7","2013","Not Employed","Full Time","","","","","4"
"4 on scale 1-7","2013","Not Employed","Part Time","","","","","4"
"5 on scale 1-7","2013","Employed","Not Working","","","","","5"
"5 on scale 1-7","2013","Not Employed","Not Working","","","","","5"
"5 on scale 1-7","2013","Employed","Full Time","","","","","5"
"5 on scale 1-7","2013","Employed","Part Time","","","","","5"
"5 on scale 1-7","2013","Not Employed","Part Time","","","","","5"
"5 on scale 1-7","2013","Not Employed","Full Time","","","","","5"
"6 on scale 1-7","2013","Not Employed","Part Time","","","","","6"
"6 on scale 1-7","2013","Employed","Not Working","","","","","6"
"6 on scale 1-7","2013","Employed","Part Time","","","","","6"
"6 on scale 1-7","2013","Not Employed","Not Working","","","","","6"
"6 on scale 1-7","2013","Employed","Full Time","","","","","6"
"6 on scale 1-7","2013","Not Employed","Full Time","","","","","6"
"7 Strongly agree","2013","Employed","Not Working","","","","","7"
"7 Strongly agree","2013","Not Employed","Full Time","","","","","7"
"7 Strongly agree","2013","Not Employed","Part Time","","","","","7"
"7 Strongly agree","2013","Not Employed","Not Working","","","","","7"
"7 Strongly agree","2013","Employed","Full Time","","","","","7"
"7 Strongly agree","2013","Employed","Part Time","","","","","7"
"1 Strongly disagree","2014","Not Employed","Part Time","","","","","1"
"1 Strongly disagree","2014","Not Employed","Not Working","","","","","1"
"1 Strongly disagree","2014","Employed","Full Time","","","","","1"
"1 Strongly disagree","2014","Employed","Part Time","","","","","1"
"1 Strongly disagree","2014","Employed","Not Working","","","","","1"
"1 Strongly disagree","2014","Not Employed","Full Time","","","","","1"
"2 on scale 1-7 ","2014","Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2014","Not Employed","Not Working","","","","","2"
"2 on scale 1-7 ","2014","Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2014","Not Employed","Part Time","","","","","2"
"2 on scale 1-7 ","2014","Employed","Full Time","","","","","2"
"2 on scale 1-7 ","2014","Not Employed","Full Time","","","","","2"
"3 on scale 1-7 ","2014","Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2014","Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2014","Not Employed","Not Working","","","","","3"
"3 on scale 1-7 ","2014","Not Employed","Part Time","","","","","3"
"3 on scale 1-7 ","2014","Employed","Full Time","","","","","3"
"3 on scale 1-7 ","2014","Not Employed","Full Time","","","","","3"
"4 on scale 1-7","2014","Employed","Not Working","","","","","4"
"4 on scale 1-7","2014","Not Employed","Not Working","","","","","4"
"4 on scale 1-7","2014","Employed","Part Time","","","","","4"
"4 on scale 1-7","2014","Employed","Full Time","","","","","4"
"4 on scale 1-7","2014","Not Employed","Part Time","","","","","4"
"4 on scale 1-7","2014","Not Employed","Full Time","","","","","4"
"5 on scale 1-7","2014","Not Employed","Not Working","","","","","5"
"5 on scale 1-7","2014","Not Employed","Part Time","","","","","5"
"5 on scale 1-7","2014","Not Employed","Full Time","","","","","5"
"5 on scale 1-7","2014","Employed","Not Working","","","","","5"
"5 on scale 1-7","2014","Employed","Full Time","","","","","5"
"5 on scale 1-7","2014","Employed","Part Time","","","","","5"
"6 on scale 1-7","2014","Employed","Not Working","","","","","6"
"6 on scale 1-7","2014","Not Employed","Part Time","","","","","6"
"6 on scale 1-7","2014","Not Employed","Full Time","","","","","6"
