"plh0206i06","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"7 Strongly agree","2007","Employed","","","","","7"
"1 Strongly disagree","2008","Not Employed","","","","","1"
"1 Strongly disagree","2008","Employed","","","","","1"
"2 on scale 1-7 ","2008","Not Employed","","","","","2"
"2 on scale 1-7 ","2008","Employed","","","","","2"
"3 on scale 1-7 ","2008","Employed","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","","","","","3"
"4 on scale 1-7","2008","Not Employed","","","","","4"
"4 on scale 1-7","2008","Employed","","","","","4"
"5 on scale 1-7","2008","Employed","","","","","5"
"5 on scale 1-7","2008","Not Employed","","","","","5"
"6 on scale 1-7","2008","Employed","","","","","6"
"6 on scale 1-7","2008","Not Employed","","","","","6"
"7 Strongly agree","2008","Not Employed","","","","","7"
"7 Strongly agree","2008","Employed","","","","","7"
"1 Strongly disagree","2009","Not Employed","","","","","1"
"1 Strongly disagree","2009","Employed","","","","","1"
"2 on scale 1-7 ","2009","Employed","","","","","2"
"2 on scale 1-7 ","2009","Not Employed","","","","","2"
"3 on scale 1-7 ","2009","Not Employed","","","","","3"
"3 on scale 1-7 ","2009","Employed","","","","","3"
"4 on scale 1-7","2009","Employed","","","","","4"
"4 on scale 1-7","2009","Not Employed","","","","","4"
"5 on scale 1-7","2009","Employed","","","","","5"
"5 on scale 1-7","2009","Not Employed","","","","","5"
"6 on scale 1-7","2009","Employed","","","","","6"
"6 on scale 1-7","2009","Not Employed","","","","","6"
"7 Strongly agree","2009","Not Employed","","","","","7"
"7 Strongly agree","2009","Employed","","","","","7"
"1 Strongly disagree","2010","Not Employed","218","0.0404973748746213","0.0356313255309579","0.0453634242182846","1"
"1 Strongly disagree","2010","Employed","207","0.0188134240203641","0.0161946529027228","0.0214321951380055","1"
"2 on scale 1-7 ","2010","Not Employed","238","0.037594136570733","0.0328986654227724","0.0422896077186937","2"
"2 on scale 1-7 ","2010","Employed","332","0.0277428124680364","0.0245772298984036","0.0309083950376692","2"
"3 on scale 1-7 ","2010","Employed","697","0.0676205781399591","0.0627808206418922","0.072460335638026","3"
"3 on scale 1-7 ","2010","Not Employed","380","0.0652054682185123","0.059110940181478","0.0712999962555467","3"
"4 on scale 1-7","2010","Employed","1629","0.164201565561286","0.157061088224742","0.171342042897831","4"
"4 on scale 1-7","2010","Not Employed","1040","0.16590481262946","0.156721966892206","0.175087658366714","4"
"5 on scale 1-7","2010","Employed","2469","0.23072301382851","0.222602665673113","0.238843361983908","5"
"5 on scale 1-7","2010","Not Employed","1394","0.211045434727562","0.200972547620283","0.22111832183484","5"
"6 on scale 1-7","2010","Not Employed","1633","0.244855949250573","0.234241188212983","0.255470710288164","6"
"6 on scale 1-7","2010","Employed","3015","0.282323013142858","0.273646894703447","0.290999131582268","6"
"7 Strongly agree","2010","Not Employed","1401","0.234896823728538","0.224431839856188","0.245361807600888","7"
"7 Strongly agree","2010","Employed","1991","0.208575592838986","0.200744465520949","0.216406720157023","7"
"1 Strongly disagree","2011","Not Employed","","","","","1"
"1 Strongly disagree","2011","Employed","","","","","1"
"2 on scale 1-7 ","2011","Employed","","","","","2"
"2 on scale 1-7 ","2011","Not Employed","","","","","2"
"3 on scale 1-7 ","2011","Not Employed","","","","","3"
"3 on scale 1-7 ","2011","Employed","","","","","3"
"4 on scale 1-7","2011","Employed","","","","","4"
"4 on scale 1-7","2011","Not Employed","","","","","4"
"5 on scale 1-7","2011","Employed","","","","","5"
"5 on scale 1-7","2011","Not Employed","","","","","5"
"6 on scale 1-7","2011","Employed","","","","","6"
"6 on scale 1-7","2011","Not Employed","","","","","6"
"7 Strongly agree","2011","Not Employed","","","","","7"
"7 Strongly agree","2011","Employed","","","","","7"
"1 Strongly disagree","2012","Not Employed","","","","","1"
"1 Strongly disagree","2012","Employed","","","","","1"
"2 on scale 1-7 ","2012","Not Employed","","","","","2"
"2 on scale 1-7 ","2012","Employed","","","","","2"
"3 on scale 1-7 ","2012","Employed","","","","","3"
"3 on scale 1-7 ","2012","Not Employed","","","","","3"
"4 on scale 1-7","2012","Employed","","","","","4"
"4 on scale 1-7","2012","Not Employed","","","","","4"
"5 on scale 1-7","2012","Employed","","","","","5"
"5 on scale 1-7","2012","Not Employed","","","","","5"
"6 on scale 1-7","2012","Not Employed","","","","","6"
"6 on scale 1-7","2012","Employed","","","","","6"
"7 Strongly agree","2012","Not Employed","","","","","7"
"7 Strongly agree","2012","Employed","","","","","7"
"1 Strongly disagree","2013","Not Employed","","","","","1"
"1 Strongly disagree","2013","Employed","","","","","1"
"2 on scale 1-7 ","2013","Employed","","","","","2"
"2 on scale 1-7 ","2013","Not Employed","","","","","2"
"3 on scale 1-7 ","2013","Employed","","","","","3"
"3 on scale 1-7 ","2013","Not Employed","","","","","3"
"4 on scale 1-7","2013","Employed","","","","","4"
"4 on scale 1-7","2013","Not Employed","","","","","4"
"5 on scale 1-7","2013","Not Employed","","","","","5"
"5 on scale 1-7","2013","Employed","","","","","5"
"6 on scale 1-7","2013","Employed","","","","","6"
"6 on scale 1-7","2013","Not Employed","","","","","6"
"7 Strongly agree","2013","Not Employed","","","","","7"
"7 Strongly agree","2013","Employed","","","","","7"
"1 Strongly disagree","2014","Not Employed","","","","","1"
"1 Strongly disagree","2014","Employed","","","","","1"
"2 on scale 1-7 ","2014","Not Employed","","","","","2"
"2 on scale 1-7 ","2014","Employed","","","","","2"
"3 on scale 1-7 ","2014","Employed","","","","","3"
"3 on scale 1-7 ","2014","Not Employed","","","","","3"
"4 on scale 1-7","2014","Employed","","","","","4"
"4 on scale 1-7","2014","Not Employed","","","","","4"
"5 on scale 1-7","2014","Employed","","","","","5"
"5 on scale 1-7","2014","Not Employed","","","","","5"
"6 on scale 1-7","2014","Not Employed","","","","","6"
"6 on scale 1-7","2014","Employed","","","","","6"
"7 Strongly agree","2014","Not Employed","","","","","7"
"7 Strongly agree","2014","Employed","","","","","7"
"1 Strongly disagree","2015","Not Employed","346","0.0357766457422619","0.0321474018889508","0.039405889595573","1"
"1 Strongly disagree","2015","Employed","345","0.0208692296169363","0.0186943610280879","0.0230440982057847","1"
"2 on scale 1-7 ","2015","Employed","523","0.0309639003075422","0.0283284351981797","0.0335993654169046","2"
"2 on scale 1-7 ","2015","Not Employed","332","0.0372004564097522","0.0335024335752643","0.04089847924424","2"
"3 on scale 1-7 ","2015","Employed","914","0.053526772907101","0.0501022572209009","0.056951288593301","3"
"3 on scale 1-7 ","2015","Not Employed","522","0.0541402502085758","0.0497184306308356","0.058562069786316","3"
"4 on scale 1-7","2015","Employed","2403","0.141433993588456","0.136132195191161","0.146735791985751","4"
"4 on scale 1-7","2015","Not Employed","1542","0.156242759588523","0.149148023856567","0.16333749532048","4"
"5 on scale 1-7","2015","Not Employed","2051","0.206017298635702","0.198114427854707","0.213920169416698","5"
"5 on scale 1-7","2015","Employed","3766","0.233863447396835","0.227423330834555","0.240303563959116","5"
"6 on scale 1-7","2015","Employed","4864","0.295592300845852","0.288649765992128","0.302534835699575","6"
"6 on scale 1-7","2015","Not Employed","2624","0.260075376247988","0.251503599044124","0.268647153451853","6"
"7 Strongly agree","2015","Not Employed","2644","0.250547213167196","0.242079922976025","0.259014503358367","7"
"7 Strongly agree","2015","Employed","3780","0.223750355337277","0.217409584804951","0.230091125869604","7"
"1 Strongly disagree","2016","Not Employed","48","0.0164794513885805","0.0126843920823676","0.0202745106947934","1"
"1 Strongly disagree","2016","Employed","","","","","1"
"2 on scale 1-7 ","2016","Employed","","","","","2"
"2 on scale 1-7 ","2016","Not Employed","35","0.0227881806403749","0.0183397722059638","0.027236589074786","2"
"3 on scale 1-7 ","2016","Employed","","","","","3"
"3 on scale 1-7 ","2016","Not Employed","40","0.0195053084655428","0.0153828669031868","0.0236277500278988","3"
"4 on scale 1-7","2016","Not Employed","179","0.117101448224676","0.107516450623024","0.126686445826329","4"
"4 on scale 1-7","2016","Employed","","","","","4"
"5 on scale 1-7","2016","Employed","","","","","5"
"5 on scale 1-7","2016","Not Employed","339","0.0982287876604721","0.089356756698417","0.107100818622527","5"
"6 on scale 1-7","2016","Not Employed","556","0.156476255464863","0.145646258081466","0.167306252848261","6"
"6 on scale 1-7","2016","Employed","","","","","6"
"7 Strongly agree","2016","Not Employed","3126","0.56942056815549","0.554660149062333","0.584180987248646","7"
"7 Strongly agree","2016","Employed","","","","","7"
"1 Strongly disagree","2017","Not Employed","38","0.0137635609081875","0.00948539331871975","0.0180417284976552","1"
"1 Strongly disagree","2017","Employed","","","","","1"
"2 on scale 1-7 ","2017","Employed","","","","","2"
"2 on scale 1-7 ","2017","Not Employed","20","","","","2"
"3 on scale 1-7 ","2017","Employed","","","","","3"
"3 on scale 1-7 ","2017","Not Employed","30","0.0134594633475818","0.0092281693104393","0.0176907573847242","3"
"4 on scale 1-7","2017","Employed","","","","","4"
"4 on scale 1-7","2017","Not Employed","127","0.053588203773906","0.0453187554264511","0.0618576521213609","4"
"5 on scale 1-7","2017","Not Employed","251","0.0970242092199642","0.0861554498012096","0.107892968638719","5"
"5 on scale 1-7","2017","Employed","","","","","5"
"6 on scale 1-7","2017","Employed","","","","","6"
"6 on scale 1-7","2017","Not Employed","327","0.120918826435119","0.108946919895295","0.132890732974943","6"
"7 Strongly agree","2017","Not Employed","2056","0.693647430920619","0.676720351932253","0.710574509908985","7"
"7 Strongly agree","2017","Employed","","","","","7"
"1 Strongly disagree","2018","Employed","","","","","1"
"1 Strongly disagree","2018","Not Employed","8","","","","1"
"2 on scale 1-7 ","2018","Employed","","","","","2"
"2 on scale 1-7 ","2018","Not Employed","7","","","","2"
"3 on scale 1-7 ","2018","Employed","","","","","3"
"3 on scale 1-7 ","2018","Not Employed","1","","","","3"
"4 on scale 1-7","2018","Not Employed","26","","","","4"
"4 on scale 1-7","2018","Employed","","","","","4"
"5 on scale 1-7","2018","Employed","","","","","5"
"5 on scale 1-7","2018","Not Employed","31","0.0617763271410191","0.0387245020877365","0.0848281521943018","5"
"6 on scale 1-7","2018","Not Employed","50","0.0874000250808786","0.0603581324303606","0.114441917731397","6"
"6 on scale 1-7","2018","Employed","","","","","6"
"7 Strongly agree","2018","Not Employed","296","0.764801811580709","0.724191855510792","0.805411767650626","7"
"7 Strongly agree","2018","Employed","","","","","7"
"1 Strongly disagree","2019","Employed","","","","","1"
"1 Strongly disagree","2019","Not Employed","4","","","","1"
"2 on scale 1-7 ","2019","Employed","","","","","2"
"2 on scale 1-7 ","2019","Not Employed","4","","","","2"
"3 on scale 1-7 ","2019","Not Employed","8","","","","3"
"3 on scale 1-7 ","2019","Employed","","","","","3"
"4 on scale 1-7","2019","Employed","","","","","4"
"4 on scale 1-7","2019","Not Employed","21","","","","4"
"5 on scale 1-7","2019","Not Employed","35","0.104204518113827","0.0682897223003045","0.14011931392735","5"
"5 on scale 1-7","2019","Employed","","","","","5"
"6 on scale 1-7","2019","Employed","","","","","6"
"6 on scale 1-7","2019","Not Employed","30","0.12331424980467","0.0846638225235564","0.161964677085784","6"
"7 Strongly agree","2019","Not Employed","176","0.652872514470546","0.596911653574715","0.708833375366378","7"
"7 Strongly agree","2019","Employed","","","","","7"
