"m11124","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Disabled","1987","35-65 y.","Full Time","206","0.0878943538610977","0.0775625002714002","0.0982262074507952","1"
"Disabled","1987","66 and older","Full Time","4","","","","1"
"Disabled","1987","16-34 y.","Part Time","10","","","","1"
"Not disabled","1987","16-34 y.","Full Time","1945","0.977512146152222","0.970988170322646","0.984036121981798","0"
"Not disabled","1987","16-34 y.","Part Time","903","0.988937946096916","0.982153488880458","0.995722403313375","0"
"Not disabled","1987","16-34 y.","Not Working","1107","0.977029605300178","0.968310344771857","0.985748865828499","0"
"Not disabled","1987","35-65 y.","Full Time","2679","0.912105646138902","0.901773792549205","0.9224374997286","0"
"Not disabled","1987","35-65 y.","Part Time","798","0.907058278264793","0.887731409634453","0.926385146895133","0"
"Not disabled","1987","35-65 y.","Not Working","1300","0.772812060804234","0.752306318716056","0.793317802892411","0"
"Not disabled","1987","66 and older","Full Time","14","","","","0"
"Not disabled","1987","66 and older","Part Time","20","","","","0"
"Not disabled","1987","66 and older","Not Working","803","0.78576944142317","0.76078575668967","0.810753126156671","0"
"Disabled","1988","16-34 y.","Full Time","38","0.0188865142480843","0.0128087652326204","0.0249642632635483","1"
"Disabled","1988","35-65 y.","Full Time","207","0.0895785568862406","0.0786973657024472","0.100459748070034","1"
"Disabled","1988","35-65 y.","Not Working","314","0.251190619719722","0.229191488310894","0.27318975112855","1"
"Disabled","1988","35-65 y.","Part Time","72","0.0870988144739152","0.0691299542576447","0.105067674690186","1"
"Disabled","1988","66 and older","Full Time","4","","","","1"
"Disabled","1988","16-34 y.","Not Working","34","0.031772395022492","0.021198760270376","0.0423460297746079","1"
"Disabled","1988","66 and older","Part Time","7","","","","1"
"Disabled","1988","66 and older","Not Working","268","0.257676915740218","0.23055629741854","0.284797534061897","1"
"Disabled","1988","16-34 y.","Part Time","11","","","","1"
"Not disabled","1988","16-34 y.","Full Time","1889","0.981113485751916","0.975035736736452","0.98719123476738","0"
"Not disabled","1988","16-34 y.","Part Time","852","0.984176989629954","0.975851230295535","0.992502748964373","0"
"Not disabled","1988","16-34 y.","Not Working","1023","0.968227604977508","0.957653970225392","0.978801239729624","0"
"Not disabled","1988","35-65 y.","Full Time","2439","0.910421443113759","0.899540251929966","0.921302634297553","0"
"Not disabled","1988","35-65 y.","Part Time","874","0.912901185526085","0.894932325309814","0.930870045742355","0"
"Not disabled","1988","35-65 y.","Not Working","1179","0.748809380280278","0.726810248871449","0.770808511689106","0"
"Not disabled","1988","66 and older","Full Time","12","","","","0"
"Not disabled","1988","66 and older","Part Time","25","","","","0"
"Not disabled","1988","66 and older","Not Working","731","0.742323084259782","0.715202465938103","0.76944370258146","0"
"Disabled","1989","35-65 y.","Not Working","318","0.266900166761655","0.243981768763208","0.289818564760103","1"
"Disabled","1989","16-34 y.","Full Time","32","0.0173093391791565","0.0115087496190887","0.0231099287392244","1"
"Disabled","1989","35-65 y.","Full Time","183","0.0811382496418549","0.0706185374278669","0.0916579618558428","1"
"Disabled","1989","35-65 y.","Part Time","74","0.0945849634566599","0.0750831526527202","0.1140867742606","1"
"Disabled","1989","66 and older","Full Time","3","","","","1"
"Disabled","1989","16-34 y.","Not Working","31","0.0328977668205383","0.021886501505498","0.0439090321355785","1"
"Disabled","1989","66 and older","Part Time","9","","","","1"
"Disabled","1989","66 and older","Not Working","286","0.284286346845034","0.255958323936629","0.31261436975344","1"
"Disabled","1989","16-34 y.","Part Time","11","","","","1"
"Not disabled","1989","16-34 y.","Full Time","1910","0.982690660820843","0.976890071260776","0.988491250380911","0"
"Not disabled","1989","16-34 y.","Part Time","801","0.985120099274959","0.97679259847152","0.993447600078399","0"
"Not disabled","1989","16-34 y.","Not Working","977","0.967102233179462","0.956090967864421","0.978113498494502","0"
"Not disabled","1989","35-65 y.","Full Time","2405","0.918861750358145","0.908342038144157","0.929381462572133","0"
"Not disabled","1989","35-65 y.","Part Time","791","0.90541503654334","0.8859132257394","0.92491684734728","0"
"Not disabled","1989","35-65 y.","Not Working","1113","0.733099833238345","0.710181435239897","0.756018231236792","0"
"Not disabled","1989","66 and older","Full Time","14","","","","0"
"Not disabled","1989","66 and older","Part Time","21","","","","0"
"Not disabled","1989","66 and older","Not Working","688","0.715713653154966","0.687385630246561","0.744041676063371","0"
"Disabled","1990","35-65 y.","Not Working","","","","","1"
"Disabled","1990","16-34 y.","Full Time","","","","","1"
"Disabled","1990","35-65 y.","Full Time","","","","","1"
"Disabled","1990","35-65 y.","Part Time","","","","","1"
"Disabled","1990","66 and older","Full Time","","","","","1"
"Disabled","1990","66 and older","Part Time","","","","","1"
"Disabled","1990","66 and older","Not Working","","","","","1"
"Disabled","1990","16-34 y.","Not Working","","","","","1"
"Disabled","1990","16-34 y.","Part Time","","","","","1"
"Not disabled","1990","16-34 y.","Full Time","","","","","0"
"Not disabled","1990","16-34 y.","Part Time","","","","","0"
"Not disabled","1990","16-34 y.","Not Working","","","","","0"
"Not disabled","1990","35-65 y.","Full Time","","","","","0"
"Not disabled","1990","35-65 y.","Part Time","","","","","0"
"Not disabled","1990","35-65 y.","Not Working","","","","","0"
"Not disabled","1990","66 and older","Full Time","","","","","0"
"Not disabled","1990","66 and older","Part Time","","","","","0"
"Not disabled","1990","66 and older","Not Working","","","","","0"
"Disabled","1991","35-65 y.","Not Working","309","0.271655896337937","0.247696163520632","0.295615629155242","1"
"Disabled","1991","16-34 y.","Full Time","30","0.0154491694831375","0.00987866444659849","0.0210196745196766","1"
"Disabled","1991","16-34 y.","Not Working","36","0.0429398534156516","0.0296660928062858","0.0562136140250175","1"
"Disabled","1991","35-65 y.","Full Time","184","0.0808679403069309","0.0702487014694526","0.0914871791444092","1"
"Disabled","1991","35-65 y.","Part Time","68","0.0902528028854055","0.0714485373150699","0.109057068455741","1"
"Disabled","1991","66 and older","Full Time","3","","","","1"
"Disabled","1991","66 and older","Part Time","8","","","","1"
"Disabled","1991","66 and older","Not Working","308","0.296250350812158","0.268297591137603","0.324203110486713","1"
"Disabled","1991","16-34 y.","Part Time","16","","","","1"
"Not disabled","1991","35-65 y.","Part Time","824","0.909747197114594","0.890942931544259","0.92855146268493","0"
"Not disabled","1991","35-65 y.","Not Working","1015","0.728344103662063","0.704384370844758","0.752303836479368","0"
"Not disabled","1991","66 and older","Full Time","5","","","","0"
"Not disabled","1991","66 and older","Part Time","24","","","","0"
"Not disabled","1991","66 and older","Not Working","717","0.703749649187842","0.675796889513287","0.731702408862396","0"
"Not disabled","1991","16-34 y.","Full Time","1853","0.984550830516862","0.978980325480323","0.990121335553401","0"
"Not disabled","1991","16-34 y.","Part Time","816","0.979203604286585","0.969507060434884","0.988900148138286","0"
"Not disabled","1991","16-34 y.","Not Working","860","0.957060146584348","0.943786385974983","0.970333907193714","0"
"Not disabled","1991","35-65 y.","Full Time","2348","0.919132059693069","0.908512820855591","0.929751298530547","0"
"Disabled","1992","35-65 y.","Not Working","369","0.255076278539294","0.233992305469129","0.276160251609459","1"
"Disabled","1992","16-34 y.","Full Time","39","0.0142238242773574","0.00973570141030178","0.0187119471444131","1"
"Disabled","1992","16-34 y.","Not Working","33","0.0304421213588614","0.0204997333349681","0.0403845093827546","1"
"Disabled","1992","35-65 y.","Full Time","247","0.0746697661931782","0.0664158626595211","0.0829236697268353","1"
"Disabled","1992","35-65 y.","Part Time","95","0.0839107249006606","0.0688912100854583","0.098930239715863","1"
"Disabled","1992","66 and older","Full Time","2","","","","1"
"Disabled","1992","66 and older","Part Time","10","","","","1"
"Disabled","1992","66 and older","Not Working","388","0.284467268237028","0.26100975577312","0.307924780700936","1"
"Disabled","1992","16-34 y.","Part Time","16","","","","1"
"Not disabled","1992","35-65 y.","Part Time","1214","0.916089275099339","0.901069760284137","0.931108789914542","0"
"Not disabled","1992","35-65 y.","Not Working","1273","0.744923721460706","0.723839748390541","0.766007694530871","0"
"Not disabled","1992","66 and older","Full Time","10","","","","0"
"Not disabled","1992","66 and older","Part Time","15","","","","0"
"Not disabled","1992","66 and older","Not Working","1033","0.715532731762972","0.692075219299064","0.73899024422688","0"
"Not disabled","1992","16-34 y.","Full Time","2635","0.985776175722643","0.981288052855587","0.990264298589698","0"
"Not disabled","1992","16-34 y.","Part Time","1149","0.982410420406542","0.974861943368276","0.989958897444808","0"
"Not disabled","1992","16-34 y.","Not Working","1114","0.969557878641139","0.959615490617245","0.979500266665032","0"
"Not disabled","1992","35-65 y.","Full Time","3649","0.925330233806822","0.917076330273165","0.933584137340479","0"
"Disabled","1993","35-65 y.","Not Working","","","","","1"
"Disabled","1993","16-34 y.","Full Time","","","","","1"
"Disabled","1993","16-34 y.","Part Time","","","","","1"
"Disabled","1993","16-34 y.","Not Working","","","","","1"
"Disabled","1993","35-65 y.","Full Time","","","","","1"
"Disabled","1993","35-65 y.","Part Time","","","","","1"
"Disabled","1993","66 and older","Full Time","","","","","1"
"Disabled","1993","66 and older","Part Time","","","","","1"
"Disabled","1993","66 and older","Not Working","","","","","1"
"Not disabled","1993","35-65 y.","Part Time","","","","","0"
"Not disabled","1993","35-65 y.","Not Working","","","","","0"
"Not disabled","1993","66 and older","Full Time","","","","","0"
"Not disabled","1993","66 and older","Part Time","","","","","0"
"Not disabled","1993","66 and older","Not Working","","","","","0"
"Not disabled","1993","16-34 y.","Full Time","","","","","0"
"Not disabled","1993","16-34 y.","Part Time","","","","","0"
"Not disabled","1993","16-34 y.","Not Working","","","","","0"
"Not disabled","1993","35-65 y.","Full Time","","","","","0"
"Disabled","1994","16-34 y.","Full Time","35","0.014740113769736","0.0100227785103917","0.0194574490290803","1"
"Disabled","1994","35-65 y.","Not Working","366","0.223136156011265","0.204194561583662","0.242077750438867","1"
"Disabled","1994","16-34 y.","Part Time","14","","","","1"
"Disabled","1994","16-34 y.","Not Working","30","0.0242394777911885","0.0156096639590891","0.0328692916232879","1"
"Disabled","1994","35-65 y.","Full Time","209","0.0708027169665254","0.0622586727614205","0.0793467611716303","1"
"Disabled","1994","35-65 y.","Part Time","103","0.0937224018438637","0.0775465488388381","0.109898254848889","1"
"Disabled","1994","66 and older","Full Time","2","","","","1"
"Disabled","1994","66 and older","Part Time","6","","","","1"
"Disabled","1994","66 and older","Not Working","396","0.280220828462655","0.257254739802529","0.303186917122782","1"
"Not disabled","1994","35-65 y.","Part Time","1144","0.906277598156136","0.890101745151111","0.922453451161162","0"
"Not disabled","1994","35-65 y.","Not Working","1490","0.776863843988735","0.757922249561133","0.795805438416338","0"
"Not disabled","1994","66 and older","Full Time","8","","","","0"
"Not disabled","1994","66 and older","Part Time","24","","","","0"
"Not disabled","1994","66 and older","Not Working","1073","0.719779171537345","0.696813082877218","0.742745260197471","0"
"Not disabled","1994","16-34 y.","Full Time","2472","0.985259886230264","0.98054255097092","0.989977221489608","0"
"Not disabled","1994","16-34 y.","Part Time","1068","0.989134567396155","0.98295745275459","0.995311682037719","0"
"Not disabled","1994","16-34 y.","Not Working","1190","0.975760522208811","0.967130708376712","0.984390336040911","0"
"Not disabled","1994","35-65 y.","Full Time","3253","0.929197283033475","0.92065323882837","0.93774132723858","0"
"Disabled","1995","16-34 y.","Full Time","36","0.0139107140320581","0.00924151273750919","0.0185799153266069","1"
"Disabled","1995","35-65 y.","Not Working","382","0.218350471367845","0.199895395871291","0.236805546864398","1"
"Disabled","1995","16-34 y.","Part Time","15","","","","1"
"Disabled","1995","16-34 y.","Not Working","38","0.0265598666908025","0.0180267344702307","0.0350929989113742","1"
"Disabled","1995","35-65 y.","Full Time","216","0.0704785091713083","0.0619290695067709","0.0790279488358456","1"
"Disabled","1995","35-65 y.","Part Time","113","0.0973530491563408","0.0818305100620062","0.112875588250675","1"
"Disabled","1995","66 and older","Full Time","1","","","","1"
"Disabled","1995","66 and older","Part Time","7","","","","1"
"Disabled","1995","66 and older","Not Working","429","0.307503428407962","0.284135189758846","0.330871667057078","1"
"Not disabled","1995","35-65 y.","Part Time","1288","0.902646950843659","0.887124411749325","0.918169489937994","0"
"Not disabled","1995","35-65 y.","Not Working","1543","0.781649528632156","0.763194453135602","0.800104604128709","0"
"Not disabled","1995","66 and older","Full Time","9","","","","0"
"Not disabled","1995","66 and older","Part Time","25","","","","0"
"Not disabled","1995","66 and older","Not Working","1069","0.692496571592038","0.669128332942922","0.715864810241154","0"
"Not disabled","1995","16-34 y.","Full Time","2381","0.986089285967942","0.981420084673393","0.990758487262491","0"
"Not disabled","1995","16-34 y.","Part Time","1146","0.987153438005308","0.98067578364501","0.993631092365606","0"
"Not disabled","1995","16-34 y.","Not Working","1326","0.973440133309198","0.964907001088626","0.981973265529769","0"
"Not disabled","1995","35-65 y.","Full Time","3227","0.929521490828692","0.920972051164154","0.938070930493229","0"
"Disabled","1996","16-34 y.","Full Time","29","","","","1"
"Disabled","1996","35-65 y.","Not Working","401","0.246984361771434","0.227295430218842","0.266673293324025","1"
"Disabled","1996","16-34 y.","Part Time","21","","","","1"
"Disabled","1996","16-34 y.","Not Working","38","0.0319320531682063","0.0222926752744802","0.0415714310619325","1"
"Disabled","1996","35-65 y.","Full Time","203","0.069997097495961","0.061373929932378","0.078620265059544","1"
"Disabled","1996","35-65 y.","Part Time","117","0.0869942529091881","0.0728633975532548","0.101125108265121","1"
"Disabled","1996","66 and older","Full Time","1","","","","1"
"Disabled","1996","66 and older","Part Time","5","","","","1"
"Disabled","1996","66 and older","Not Working","433","0.303616456362198","0.28050042896894","0.326732483755455","1"
"Not disabled","1996","35-65 y.","Part Time","1411","0.913005747090812","0.898874891734879","0.927136602446745","0"
"Not disabled","1996","35-65 y.","Not Working","1442","0.753015638228566","0.733326706675975","0.772704569781158","0"
"Not disabled","1996","66 and older","Full Time","11","","","","0"
"Not disabled","1996","66 and older","Part Time","34","0.86805342612082","0.761837882993423","0.974268969248218","0"
"Not disabled","1996","66 and older","Not Working","1087","0.696383543637802","0.673267516244545","0.71949957103106","0"
"Not disabled","1996","16-34 y.","Full Time","2337","0.988407445988381","0.984094258973232","0.992720633003531","0"
"Not disabled","1996","16-34 y.","Part Time","1106","0.985252443339422","0.97821491867424","0.992289968004603","0"
"Not disabled","1996","16-34 y.","Not Working","1240","0.968067946831794","0.958428568938067","0.97770732472552","0"
"Not disabled","1996","35-65 y.","Full Time","3160","0.930002902504039","0.921379734940456","0.938626070067622","0"
"Disabled","1997","35-65 y.","Not Working","401","0.243707916167185","0.22412344548804","0.26329238684633","1"
"Disabled","1997","16-34 y.","Full Time","30","0.0125889288230409","0.00800548662962047","0.0171723710164613","1"
"Disabled","1997","16-34 y.","Part Time","17","","","","1"
"Disabled","1997","16-34 y.","Not Working","39","0.0297957648726597","0.0206097107759532","0.0389818189693662","1"
"Disabled","1997","35-65 y.","Full Time","194","0.0723086375379543","0.0634800035567687","0.0811372715191398","1"
"Disabled","1997","35-65 y.","Part Time","124","0.0892655517649295","0.0746998298293316","0.103831273700527","1"
"Disabled","1997","66 and older","Full Time","2","","","","1"
"Disabled","1997","66 and older","Part Time","9","","","","1"
"Disabled","1997","66 and older","Not Working","411","0.280444448836257","0.258073831442583","0.30281506622993","1"
"Not disabled","1997","35-65 y.","Part Time","1348","0.910734448235071","0.896168726299473","0.925300170170668","0"
"Not disabled","1997","35-65 y.","Not Working","1445","0.756292083832815","0.73670761315367","0.77587655451196","0"
"Not disabled","1997","66 and older","Full Time","13","","","","0"
"Not disabled","1997","66 and older","Part Time","30","0.626233511286903","0.474394236830977","0.778072785742829","0"
"Not disabled","1997","66 and older","Not Working","1138","0.719555551163743","0.69718493377007","0.741926168557417","0"
"Not disabled","1997","16-34 y.","Full Time","2243","0.987411071176959","0.982827628983539","0.99199451337038","0"
"Not disabled","1997","16-34 y.","Part Time","1019","0.986375273864402","0.979316111150007","0.993434436578796","0"
"Not disabled","1997","16-34 y.","Not Working","1277","0.97020423512734","0.961018181030634","0.979390289224047","0"
"Not disabled","1997","35-65 y.","Full Time","3112","0.927691362462046","0.91886272848086","0.936519996443231","0"
"Disabled","1998","35-65 y.","Not Working","478","0.219742527671997","0.20234071510767","0.237144340236325","1"
"Disabled","1998","16-34 y.","Full Time","41","0.0169287860133249","0.0116996343867277","0.022157937639922","1"
"Disabled","1998","16-34 y.","Part Time","19","","","","1"
"Disabled","1998","16-34 y.","Not Working","30","0.0228646020570138","0.0150321376395592","0.0306970664744685","1"
"Disabled","1998","35-65 y.","Full Time","216","0.0684077129954618","0.0602157844788349","0.0765996415120887","1"
"Disabled","1998","35-65 y.","Part Time","133","0.0915621412759457","0.0778118999161771","0.105312382635714","1"
"Disabled","1998","66 and older","Full Time","2","","","","1"
"Disabled","1998","66 and older","Part Time","9","","","","1"
"Disabled","1998","66 and older","Not Working","504","0.301863466409524","0.28080759767327","0.322919335145779","1"
"Not disabled","1998","35-65 y.","Part Time","1557","0.908437858724054","0.894687617364286","0.922188100083823","0"
"Not disabled","1998","35-65 y.","Not Working","1697","0.780257472328003","0.762855659763675","0.79765928489233","0"
"Not disabled","1998","66 and older","Full Time","13","","","","0"
"Not disabled","1998","66 and older","Part Time","34","0.732908383089442","0.600666557364174","0.865150208814709","0"
"Not disabled","1998","16-34 y.","Full Time","2297","0.983071213986675","0.977842062360078","0.988300365613272","0"
"Not disabled","1998","16-34 y.","Part Time","1125","0.983658559117432","0.976311687683727","0.991005430551138","0"
"Not disabled","1998","16-34 y.","Not Working","1369","0.977135397942986","0.969302933525532","0.984967862360441","0"
"Not disabled","1998","35-65 y.","Full Time","3432","0.931592287004538","0.923400358487911","0.939784215521165","0"
"Not disabled","1998","66 and older","Not Working","1322","0.698136533590476","0.677080664854221","0.71919240232673","0"
"Disabled","1999","35-65 y.","Not Working","452","0.229354176711725","0.210887310527757","0.247821042895693","1"
"Disabled","1999","66 and older","Full Time","","","","","1"
"Disabled","1999","66 and older","Part Time","14","","","","1"
"Disabled","1999","66 and older","Not Working","492","0.314558811669916","0.292822134287356","0.336295489052476","1"
"Disabled","1999","16-34 y.","Full Time","37","0.0164313964123523","0.0111419648161219","0.0217208280085828","1"
"Disabled","1999","16-34 y.","Part Time","20","","","","1"
"Disabled","1999","16-34 y.","Not Working","28","","","","1"
"Disabled","1999","35-65 y.","Full Time","245","0.0838786634799034","0.0748497377936676","0.0929075891661391","1"
"Disabled","1999","35-65 y.","Part Time","120","0.0750069681287495","0.0624525576755102","0.0875613785819889","1"
"Not disabled","1999","35-65 y.","Part Time","1571","0.92499303187125","0.912438621418011","0.93754744232449","0"
"Not disabled","1999","35-65 y.","Not Working","1539","0.770645823288275","0.752178957104307","0.789112689472243","0"
"Not disabled","1999","66 and older","Full Time","10","","","","0"
"Not disabled","1999","66 and older","Part Time","50","0.687275559980973","0.57369487958356","0.800856240378386","0"
"Not disabled","1999","16-34 y.","Full Time","2182","0.983568603587648","0.978279171991417","0.988858035183878","0"
"Not disabled","1999","16-34 y.","Part Time","1168","0.983061354598449","0.975723492921048","0.990399216275849","0"
"Not disabled","1999","16-34 y.","Not Working","1177","0.979320309243713","0.971285252129976","0.98735536635745","0"
"Not disabled","1999","35-65 y.","Full Time","3376","0.916121336520097","0.907092410833861","0.925150262206332","0"
"Not disabled","1999","66 and older","Not Working","1261","0.685441188330084","0.663704510947524","0.707177865712644","0"
"Disabled","2000","35-65 y.","Not Working","817","0.220048184468468","0.206737173615343","0.233359195321593","1"
"Disabled","2000","66 and older","Full Time","4","","","","1"
"Disabled","2000","66 and older","Part Time","19","","","","1"
"Disabled","2000","66 and older","Not Working","835","0.252825837221823","0.238391627747917","0.267260046695728","1"
"Disabled","2000","16-34 y.","Full Time","51","0.0157771483808008","0.0115755457895558","0.0199787509720458","1"
"Disabled","2000","16-34 y.","Part Time","35","0.0209985907386721","0.0145919216870798","0.0274052597902643","1"
"Disabled","2000","16-34 y.","Not Working","38","0.0203026659018944","0.0138445199829653","0.0267608118208235","1"
"Disabled","2000","35-65 y.","Full Time","404","0.0701087866318785","0.0639816873419714","0.0762358859217856","1"
"Disabled","2000","35-65 y.","Part Time","242","0.083643853392988","0.0738249556001642","0.0934627511858118","1"
"Not disabled","2000","35-65 y.","Part Time","2812","0.916356146607012","0.906537248814188","0.926175044399836","0"
"Not disabled","2000","35-65 y.","Not Working","2904","0.779951815531532","0.766640804678407","0.793262826384657","0"
"Not disabled","2000","66 and older","Full Time","35","0.8874129774385","0.788210425960881","0.986615528916118","0"
"Not disabled","2000","66 and older","Part Time","85","0.756811003211206","0.674359780432135","0.839262225990277","0"
"Not disabled","2000","16-34 y.","Full Time","3328","0.984222851619199","0.980021249027954","0.988424454210444","0"
"Not disabled","2000","16-34 y.","Part Time","1889","0.979001409261328","0.972594740209736","0.98540807831292","0"
"Not disabled","2000","16-34 y.","Not Working","1794","0.979697334098106","0.973239188179177","0.986155480017035","0"
"Not disabled","2000","35-65 y.","Full Time","6267","0.929891213368122","0.923764114078214","0.936018312658029","0"
"Not disabled","2000","66 and older","Not Working","2648","0.747174162778177","0.732739953304272","0.761608372252083","0"
"Disabled","2001","35-65 y.","Not Working","757","0.247945239919392","0.233027939968345","0.262862539870439","1"
"Disabled","2001","66 and older","Full Time","3","","","","1"
"Disabled","2001","66 and older","Part Time","21","","","","1"
"Disabled","2001","66 and older","Not Working","762","0.246520907227204","0.231744476271555","0.261297338182854","1"
"Disabled","2001","16-34 y.","Full Time","48","0.0161149494501997","0.0115486018566072","0.0206812970437923","1"
"Disabled","2001","16-34 y.","Part Time","26","","","","1"
"Disabled","2001","16-34 y.","Not Working","35","0.0242951898567616","0.0167581519159397","0.0318322277975836","1"
"Disabled","2001","35-65 y.","Full Time","339","0.0632072503106894","0.0571162637361664","0.0692982368852123","1"
"Disabled","2001","35-65 y.","Part Time","229","0.0847478721650017","0.0746703720613572","0.0948253722686462","1"
"Not disabled","2001","35-65 y.","Part Time","2705","0.915252127834998","0.905174627731354","0.925329627938643","0"
"Not disabled","2001","35-65 y.","Not Working","2462","0.752054760080608","0.737137460129561","0.766972060031655","0"
"Not disabled","2001","66 and older","Full Time","25","","","","0"
"Not disabled","2001","66 and older","Part Time","103","0.797991243444725","0.727323469844146","0.868659017045304","0"
"Not disabled","2001","16-34 y.","Full Time","2873","0.9838850505498","0.979318702956208","0.988451398143393","0"
"Not disabled","2001","16-34 y.","Part Time","1747","0.984911205319951","0.979236810676026","0.990585599963876","0"
"Not disabled","2001","16-34 y.","Not Working","1568","0.975704810143238","0.968167772202416","0.98324184808406","0"
"Not disabled","2001","35-65 y.","Full Time","5792","0.936792749689311","0.930701763114788","0.942883736263833","0"
"Not disabled","2001","66 and older","Not Working","2506","0.753479092772796","0.738702661817146","0.768255523728445","0"
"Disabled","2002","16-34 y.","Full Time","45","0.0174620901414248","0.0125602633844838","0.0223639168983657","1"
