"pli0091_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Rarely","1987","indirect migration background","East Germany","","","",""
"Never","1987","no migration background","West Germany","","","",""
"Never","1987","no migration background","East Germany","","","",""
"Never","1987","direct migration background","West Germany","","","",""
"Never","1987","direct migration background","East Germany","","","",""
"Never","1987","indirect migration background","West Germany","","","",""
"Never","1987","indirect migration background","East Germany","","","",""
"Daily","1988","no migration background","West Germany","","","",""
"Daily","1988","no migration background","East Germany","","","",""
"Daily","1988","direct migration background","West Germany","","","",""
"Daily","1988","direct migration background","East Germany","","","",""
"Daily","1988","indirect migration background","West Germany","","","",""
"Daily","1988","indirect migration background","East Germany","","","",""
"Min 1x per week","1988","no migration background","West Germany","638","0.0825120584693159","0.0760848756289504","0.0889392413096814"
"Min 1x per week","1988","no migration background","East Germany","","","",""
"Min 1x per week","1988","direct migration background","West Germany","171","0.0540224716411731","0.045447748720344","0.0625971945620021"
"Min 1x per week","1988","direct migration background","East Germany","","","",""
"Min 1x per week","1988","indirect migration background","West Germany","56","0.159104906738403","0.111097488015188","0.207112325461619"
"Min 1x per week","1988","indirect migration background","East Germany","","","",""
"Min 1x per month","1988","no migration background","West Germany","1140","0.150374797975221","0.142025249643442","0.158724346307"
"Min 1x per month","1988","no migration background","East Germany","","","",""
"Min 1x per month","1988","direct migration background","West Germany","324","0.121779662818734","0.109375096396548","0.13418422924092"
"Min 1x per month","1988","direct migration background","East Germany","","","",""
"Min 1x per month","1988","indirect migration background","West Germany","62","0.20567181813573","0.152622105140259","0.258721531131202"
"Min 1x per month","1988","indirect migration background","East Germany","","","",""
"Rarely","1988","no migration background","West Germany","2419","0.32032818840245","0.309428628324584","0.331227748480315"
"Rarely","1988","no migration background","East Germany","","","",""
"Rarely","1988","direct migration background","West Germany","613","0.273674774701549","0.256763536425973","0.290586012977126"
"Rarely","1988","direct migration background","East Germany","","","",""
"Rarely","1988","indirect migration background","West Germany","61","0.353975407919138","0.291211969162219","0.416738846676057"
"Rarely","1988","indirect migration background","East Germany","","","",""
"Never","1988","no migration background","West Germany","2843","0.446784955153013","0.4351715915696","0.458398318736427"
"Never","1988","no migration background","East Germany","","","",""
"Never","1988","direct migration background","West Germany","1562","0.550523090838543","0.53165474086717","0.569391440809917"
"Never","1988","direct migration background","East Germany","","","",""
"Never","1988","indirect migration background","West Germany","44","0.281247867206728","0.222237291508963","0.340258442904494"
"Never","1988","indirect migration background","East Germany","","","",""
"Daily","1989","no migration background","West Germany","","","",""
"Daily","1989","no migration background","East Germany","","","",""
"Daily","1989","direct migration background","West Germany","","","",""
"Daily","1989","direct migration background","East Germany","","","",""
"Daily","1989","indirect migration background","West Germany","","","",""
"Daily","1989","indirect migration background","East Germany","","","",""
"Min 1x per week","1989","no migration background","West Germany","","","",""
"Min 1x per week","1989","no migration background","East Germany","","","",""
"Min 1x per week","1989","direct migration background","West Germany","","","",""
"Min 1x per week","1989","direct migration background","East Germany","","","",""
"Min 1x per week","1989","indirect migration background","West Germany","","","",""
"Min 1x per week","1989","indirect migration background","East Germany","","","",""
"Min 1x per month","1989","no migration background","West Germany","","","",""
"Min 1x per month","1989","no migration background","East Germany","","","",""
"Min 1x per month","1989","direct migration background","West Germany","","","",""
"Min 1x per month","1989","direct migration background","East Germany","","","",""
"Min 1x per month","1989","indirect migration background","West Germany","","","",""
"Min 1x per month","1989","indirect migration background","East Germany","","","",""
"Rarely","1989","no migration background","West Germany","","","",""
"Rarely","1989","no migration background","East Germany","","","",""
"Rarely","1989","direct migration background","West Germany","","","",""
"Rarely","1989","direct migration background","East Germany","","","",""
"Rarely","1989","indirect migration background","West Germany","","","",""
"Rarely","1989","indirect migration background","East Germany","","","",""
"Never","1989","no migration background","West Germany","","","",""
"Never","1989","no migration background","East Germany","","","",""
"Never","1989","direct migration background","West Germany","","","",""
"Never","1989","direct migration background","East Germany","","","",""
"Never","1989","indirect migration background","West Germany","","","",""
"Never","1989","indirect migration background","East Germany","","","",""
"Daily","1990","no migration background","West Germany","6","","",""
"Daily","1990","no migration background","East Germany","","","",""
"Daily","1990","direct migration background","West Germany","5","","",""
"Daily","1990","direct migration background","East Germany","","","",""
"Daily","1990","indirect migration background","West Germany","1","","",""
"Daily","1990","indirect migration background","East Germany","","","",""
"Min 1x per week","1990","no migration background","West Germany","389","0.0515590746141315","0.046245773943977","0.0568723752842861"
"Min 1x per week","1990","no migration background","East Germany","363","0.0834815622230624","0.0751635084446781","0.0917996160014467"
"Min 1x per week","1990","direct migration background","West Germany","100","0.0377094451713834","0.0302925358639661","0.0451263544788006"
"Min 1x per week","1990","direct migration background","East Germany","6","","",""
"Min 1x per week","1990","indirect migration background","West Germany","59","0.159699696426016","0.11789679860752","0.201502594244513"
"Min 1x per week","1990","indirect migration background","East Germany","","","",""
"Min 1x per month","1990","no migration background","West Germany","964","0.137623272936735","0.129345735614728","0.145900810258741"
"Min 1x per month","1990","no migration background","East Germany","574","0.131587846551339","0.12142239503786","0.141753298064818"
"Min 1x per month","1990","direct migration background","West Germany","277","0.108431352770349","0.0963253820939423","0.120537323446756"
"Min 1x per month","1990","direct migration background","East Germany","16","","",""
"Min 1x per month","1990","indirect migration background","West Germany","109","0.29242260914871","0.240515178705029","0.344330039592391"
"Min 1x per month","1990","indirect migration background","East Germany","","","",""
"Rarely","1990","no migration background","West Germany","2265","0.323763269817072","0.31252058955834","0.335005950075803"
"Rarely","1990","no migration background","East Germany","2081","0.444451922689676","0.429509223421537","0.459394621957816"
"Rarely","1990","direct migration background","West Germany","509","0.251248356351014","0.234360858965981","0.268135853736048"
"Rarely","1990","direct migration background","East Germany","58","0.367242602151161","0.287105093904745","0.447380110397577"
"Rarely","1990","indirect migration background","West Germany","71","0.271931411796431","0.221156062597433","0.322706760995429"
"Rarely","1990","indirect migration background","East Germany","1","","",""
"Never","1990","no migration background","West Germany","3030","0.486072985153207","0.474063948822975","0.498082021483438"
"Never","1990","no migration background","East Germany","1230","0.340478668535922","0.326228657050272","0.354728680021572"
"Never","1990","direct migration background","West Germany","1643","0.601335637459536","0.582271947579762","0.62039932733931"
"Never","1990","direct migration background","East Germany","59","0.475376737381127","0.392356604205164","0.558396870557089"
"Never","1990","indirect migration background","West Germany","55","0.273337978327654","0.222480677915534","0.324195278739774"
"Never","1990","indirect migration background","East Germany","1","","",""
"Daily","1991","no migration background","West Germany","","","",""
"Daily","1991","no migration background","East Germany","","","",""
"Daily","1991","direct migration background","West Germany","","","",""
"Daily","1991","direct migration background","East Germany","","","",""
"Daily","1991","indirect migration background","West Germany","","","",""
"Daily","1991","indirect migration background","East Germany","","","",""
"Min 1x per week","1991","no migration background","West Germany","","","",""
"Min 1x per week","1991","no migration background","East Germany","","","",""
"Min 1x per week","1991","direct migration background","West Germany","","","",""
"Min 1x per week","1991","direct migration background","East Germany","","","",""
"Min 1x per week","1991","indirect migration background","West Germany","","","",""
"Min 1x per week","1991","indirect migration background","East Germany","","","",""
"Min 1x per month","1991","no migration background","West Germany","","","",""
"Min 1x per month","1991","no migration background","East Germany","","","",""
"Min 1x per month","1991","direct migration background","West Germany","","","",""
"Min 1x per month","1991","direct migration background","East Germany","","","",""
"Min 1x per month","1991","indirect migration background","West Germany","","","",""
"Min 1x per month","1991","indirect migration background","East Germany","","","",""
"Rarely","1991","no migration background","West Germany","","","",""
"Rarely","1991","no migration background","East Germany","","","",""
"Rarely","1991","direct migration background","West Germany","","","",""
"Rarely","1991","direct migration background","East Germany","","","",""
"Rarely","1991","indirect migration background","West Germany","","","",""
"Rarely","1991","indirect migration background","East Germany","","","",""
"Never","1991","no migration background","West Germany","","","",""
"Never","1991","no migration background","East Germany","","","",""
"Never","1991","direct migration background","West Germany","","","",""
"Never","1991","direct migration background","East Germany","","","",""
"Never","1991","indirect migration background","West Germany","","","",""
"Never","1991","indirect migration background","East Germany","","","",""
"Daily","1992","no migration background","West Germany","","","",""
"Daily","1992","no migration background","East Germany","","","",""
"Daily","1992","direct migration background","West Germany","","","",""
"Daily","1992","direct migration background","East Germany","","","",""
"Daily","1992","indirect migration background","West Germany","","","",""
"Daily","1992","indirect migration background","East Germany","","","",""
"Min 1x per week","1992","no migration background","West Germany","553","0.0777606001838949","0.0712428945978641","0.0842783057699256"
"Min 1x per week","1992","no migration background","East Germany","264","0.0672208945920843","0.0592624815219616","0.075179307662207"
"Min 1x per week","1992","direct migration background","West Germany","142","0.0575355338295256","0.0482017257034352","0.066869341955616"
"Min 1x per week","1992","direct migration background","East Germany","5","","",""
"Min 1x per week","1992","indirect migration background","West Germany","104","0.252363913370372","0.20968972111735","0.295038105623394"
"Min 1x per week","1992","indirect migration background","East Germany","2","","",""
"Min 1x per month","1992","no migration background","West Germany","1066","0.153326812006812","0.14455761035028","0.162096013663344"
"Min 1x per month","1992","no migration background","East Germany","398","0.0994064605017005","0.0898969831785183","0.108915937824883"
"Min 1x per month","1992","direct migration background","West Germany","248","0.102510006422324","0.0903521715384194","0.114667841306229"
"Min 1x per month","1992","direct migration background","East Germany","11","","",""
"Min 1x per month","1992","indirect migration background","West Germany","132","0.272552443302543","0.228807038511048","0.316297848094039"
"Min 1x per month","1992","indirect migration background","East Germany","2","","",""
"Rarely","1992","no migration background","West Germany","2457","0.357020030105762","0.345358967850269","0.368681092361256"
"Rarely","1992","no migration background","East Germany","1683","0.391760820643164","0.376246504949647","0.407275136336681"
"Rarely","1992","direct migration background","West Germany","682","0.33009638903809","0.311247539436991","0.348945238639189"
"Rarely","1992","direct migration background","East Germany","50","0.328889970508239","0.252420819330627","0.405359121685851"
"Rarely","1992","indirect migration background","West Germany","108","0.288989925854241","0.244456533000335","0.333523318708146"
"Rarely","1992","indirect migration background","East Germany","5","","",""
"Never","1992","no migration background","West Germany","2409","0.411892557703531","0.399913755027802","0.42387136037926"
"Never","1992","no migration background","East Germany","1458","0.441611824263051","0.425829412078527","0.457394236447576"
"Never","1992","direct migration background","West Germany","1319","0.509858070710061","0.489820554806426","0.529895586613695"
"Never","1992","direct migration background","East Germany","79","0.567056335107612","0.486408467678272","0.647704202536951"
"Never","1992","indirect migration background","West Germany","54","0.186093717472843","0.147858848065306","0.224328586880381"
"Never","1992","indirect migration background","East Germany","1","","",""
"Daily","1993","no migration background","West Germany","","","",""
"Daily","1993","no migration background","East Germany","","","",""
"Daily","1993","direct migration background","West Germany","","","",""
"Daily","1993","direct migration background","East Germany","","","",""
"Daily","1993","indirect migration background","West Germany","","","",""
"Daily","1993","indirect migration background","East Germany","","","",""
"Min 1x per week","1993","no migration background","West Germany","","","",""
"Min 1x per week","1993","no migration background","East Germany","","","",""
"Min 1x per week","1993","direct migration background","West Germany","","","",""
"Min 1x per week","1993","direct migration background","East Germany","","","",""
"Min 1x per week","1993","indirect migration background","West Germany","","","",""
"Min 1x per week","1993","indirect migration background","East Germany","","","",""
"Min 1x per month","1993","no migration background","West Germany","","","",""
"Min 1x per month","1993","no migration background","East Germany","","","",""
"Min 1x per month","1993","direct migration background","West Germany","","","",""
"Min 1x per month","1993","direct migration background","East Germany","","","",""
"Min 1x per month","1993","indirect migration background","West Germany","","","",""
"Min 1x per month","1993","indirect migration background","East Germany","","","",""
"Rarely","1993","no migration background","West Germany","","","",""
"Rarely","1993","no migration background","East Germany","","","",""
"Rarely","1993","direct migration background","West Germany","","","",""
"Rarely","1993","direct migration background","East Germany","","","",""
"Rarely","1993","indirect migration background","West Germany","","","",""
"Rarely","1993","indirect migration background","East Germany","","","",""
"Never","1993","no migration background","West Germany","","","",""
"Never","1993","no migration background","East Germany","","","",""
"Never","1993","direct migration background","West Germany","","","",""
"Never","1993","direct migration background","East Germany","","","",""
"Never","1993","indirect migration background","West Germany","","","",""
"Never","1993","indirect migration background","East Germany","","","",""
"Daily","1994","no migration background","West Germany","","","",""
"Daily","1994","no migration background","East Germany","","","",""
"Daily","1994","direct migration background","West Germany","","","",""
"Daily","1994","direct migration background","East Germany","","","",""
"Daily","1994","indirect migration background","West Germany","","","",""
"Daily","1994","indirect migration background","East Germany","","","",""
"Min 1x per week","1994","no migration background","West Germany","553","0.0817016823851542","0.0749741784921095","0.0884291862781989"
"Min 1x per week","1994","no migration background","East Germany","277","0.071056561895478","0.0626686776095603","0.0794444461813956"
"Min 1x per week","1994","direct migration background","West Germany","134","0.0596444536586591","0.0497706830841236","0.0695182242331947"
"Min 1x per week","1994","direct migration background","East Germany","4","","",""
"Min 1x per week","1994","indirect migration background","West Germany","150","0.271572451875426","0.231616576282128","0.311528327468724"
"Min 1x per week","1994","indirect migration background","East Germany","7","","",""
"Min 1x per month","1994","no migration background","West Germany","1071","0.153076639217759","0.144233161637385","0.161920116798133"
"Min 1x per month","1994","no migration background","East Germany","402","0.0981734600350159","0.0884590986720133","0.107887821398018"
"Min 1x per month","1994","direct migration background","West Germany","220","0.10180613507519","0.0891987803775996","0.11441348977278"
"Min 1x per month","1994","direct migration background","East Germany","9","","",""
"Min 1x per month","1994","indirect migration background","West Germany","149","0.317341443869708","0.275528592922724","0.359154294816692"
"Min 1x per month","1994","indirect migration background","East Germany","6","","",""
"Rarely","1994","no migration background","West Germany","2554","0.381163292019082","0.369234673997348","0.393091910040815"
"Rarely","1994","no migration background","East Germany","1540","0.386348425561227","0.37045175406507","0.402245097057384"
"Rarely","1994","direct migration background","West Germany","653","0.335144230954052","0.315463938450717","0.354824523457388"
"Rarely","1994","direct migration background","East Germany","47","0.271123671344669","0.198007311722673","0.344240030966666"
"Rarely","1994","indirect migration background","West Germany","127","0.279470007371198","0.239157644975412","0.319782369766983"
"Rarely","1994","indirect migration background","East Germany","3","","",""
"Never","1994","no migration background","West Germany","2190","0.384058386378005","0.372112593971505","0.396004178784506"
"Never","1994","no migration background","East Germany","1385","0.444421552508279","0.428198747398937","0.46064435761762"
"Never","1994","direct migration background","West Germany","1203","0.503405180312099","0.482559700941861","0.524250659682337"
"Never","1994","direct migration background","East Germany","82","0.63356497789738","0.554315212107552","0.712814743687208"
"Never","1994","indirect migration background","West Germany","50","0.131616096883669","0.101245382981886","0.161986810785451"
"Never","1994","indirect migration background","East Germany","","","",""
"Daily","1995","no migration background","West Germany","4","","",""
"Daily","1995","no migration background","East Germany","2","","",""
"Daily","1995","direct migration background","West Germany","","","",""
"Daily","1995","direct migration background","East Germany","","","",""
"Daily","1995","indirect migration background","West Germany","2","","",""
"Daily","1995","indirect migration background","East Germany","","","",""
"Min 1x per week","1995","no migration background","West Germany","446","0.0604405775751246","0.0546312770188951","0.0662498781313541"
"Min 1x per week","1995","no migration background","East Germany","214","0.0505213901070172","0.0432953145159077","0.0577474656981267"
"Min 1x per week","1995","direct migration background","West Germany","111","0.0467549476865559","0.0387246453614976","0.0547852500116143"
"Min 1x per week","1995","direct migration background","East Germany","6","","",""
"Min 1x per week","1995","indirect migration background","West Germany","150","0.255478827255351","0.217058463275016","0.293899191235687"
"Min 1x per week","1995","indirect migration background","East Germany","6","","",""
"Min 1x per month","1995","no migration background","West Germany","1029","0.142076010705473","0.133564979161394","0.150587042249552"
"Min 1x per month","1995","no migration background","East Germany","459","0.113729957263888","0.103255229738024","0.124204684789752"
"Min 1x per month","1995","direct migration background","West Germany","271","0.114815309970664","0.102688888000688","0.126941731940641"
"Min 1x per month","1995","direct migration background","East Germany","6","","",""
"Min 1x per month","1995","indirect migration background","West Germany","160","0.33925884950867","0.297550139144369","0.380967559872971"
"Min 1x per month","1995","indirect migration background","East Germany","3","","",""
"Rarely","1995","no migration background","West Germany","2417","0.34753075825949","0.335922312867258","0.359139203651722"
"Rarely","1995","no migration background","East Germany","1448","0.354648723295804","0.338864633280211","0.370432813311397"
"Rarely","1995","direct migration background","West Germany","661","0.271649537342567","0.254729920909445","0.288569153775689"
"Rarely","1995","direct migration background","East Germany","43","0.266367855665803","0.193914224576893","0.338821486754713"
"Rarely","1995","indirect migration background","West Germany","107","0.224990857123242","0.188204961043416","0.261776753203069"
"Rarely","1995","indirect migration background","East Germany","7","","",""
"Never","1995","no migration background","West Germany","2568","0.44897313342302","0.436847791863389","0.461098474982652"
"Never","1995","no migration background","East Germany","1406","0.48064621349463","0.464162059021128","0.497130367968132"
"Never","1995","direct migration background","West Germany","1612","0.566780205000213","0.547931682535397","0.585628727465029"
"Never","1995","direct migration background","East Germany","88","0.640809130545609","0.562175729145755","0.719442531945463"
"Never","1995","indirect migration background","West Germany","76","0.176682729034115","0.143083744347063","0.210281713721167"
"Never","1995","indirect migration background","East Germany","","","",""
"Daily","1996","no migration background","West Germany","","","",""
"Daily","1996","no migration background","East Germany","","","",""
"Daily","1996","direct migration background","West Germany","","","",""
"Daily","1996","direct migration background","East Germany","","","",""
"Daily","1996","indirect migration background","West Germany","","","",""
"Daily","1996","indirect migration background","East Germany","","","",""
"Min 1x per week","1996","no migration background","West Germany","593","0.0883322936589068","0.0813711645098481","0.0952934228079654"
"Min 1x per week","1996","no migration background","East Germany","281","0.0674001620742378","0.0591224888205933","0.0756778353278822"
"Min 1x per week","1996","direct migration background","West Germany","124","0.0549056968999472","0.0459185510430945","0.0638928427567999"
"Min 1x per week","1996","direct migration background","East Germany","3","","",""
"Min 1x per week","1996","indirect migration background","West Germany","138","0.264386885610087","0.226555040266656","0.302218730953518"
"Min 1x per week","1996","indirect migration background","East Germany","6","","",""
"Min 1x per month","1996","no migration background","West Germany","1265","0.175609270579885","0.166275826688901","0.184942714470869"
"Min 1x per month","1996","no migration background","East Germany","583","0.156422471073122","0.144429073966427","0.168415868179816"
"Min 1x per month","1996","direct migration background","West Germany","297","0.133905071584286","0.120469480605472","0.1473406625631"
"Min 1x per month","1996","direct migration background","East Germany","15","","",""
"Min 1x per month","1996","indirect migration background","West Germany","173","0.318563611392192","0.27859458373598","0.358532639048404"
"Min 1x per month","1996","indirect migration background","East Germany","8","","",""
"Rarely","1996","no migration background","West Germany","2588","0.385861246642504","0.373919977555516","0.397802515729491"
"Rarely","1996","no migration background","East Germany","1619","0.416901795388467","0.400623164494734","0.433180426282199"
"Rarely","1996","direct migration background","West Germany","791","0.341419900275831","0.32271203512963","0.360127765422032"
"Rarely","1996","direct migration background","East Germany","56","0.360525899518116","0.280989891867024","0.440061907169208"
"Rarely","1996","indirect migration background","West Germany","152","0.31515830899865","0.275304272354274","0.355012345643026"
"Rarely","1996","indirect migration background","East Germany","4","","",""
"Never","1996","no migration background","West Germany","1938","0.350197189118704","0.338495494161749","0.36189888407566"
"Never","1996","no migration background","East Germany","1041","0.359275571464174","0.343434679692889","0.375116463235459"
"Never","1996","direct migration background","West Germany","1256","0.469769331239936","0.450079124977011","0.489459537502861"
"Never","1996","direct migration background","East Germany","66","0.530626157094736","0.447958078754645","0.613294235434826"
"Never","1996","indirect migration background","West Germany","59","0.101891193999071","0.0759406992216129","0.127841688776529"
"Never","1996","indirect migration background","East Germany","2","","",""
"Daily","1997","no migration background","West Germany","","","",""
"Daily","1997","no migration background","East Germany","","","",""
"Daily","1997","direct migration background","West Germany","","","",""
"Daily","1997","direct migration background","East Germany","","","",""
"Daily","1997","indirect migration background","West Germany","","","",""
"Daily","1997","indirect migration background","East Germany","","","",""
"Min 1x per week","1997","no migration background","West Germany","543","0.0792213814290555","0.0725494888952388","0.0858932739628723"
"Min 1x per week","1997","no migration background","East Germany","288","0.0794750843801374","0.0704820975093615","0.0884680712509133"
"Min 1x per week","1997","direct migration background","West Germany","106","0.0361112352920577","0.0285552817812178","0.0436671888028976"
"Min 1x per week","1997","direct migration background","East Germany","5","","",""
"Min 1x per week","1997","indirect migration background","West Germany","135","0.234257988523609","0.198861906845381","0.269654070201837"
"Min 1x per week","1997","indirect migration background","East Germany","8","","",""
"Min 1x per month","1997","no migration background","West Germany","1165","0.170412957896475","0.161124737520977","0.179701178271974"
"Min 1x per month","1997","no migration background","East Germany","577","0.146294243270549","0.134544228570034","0.158044257971065"
"Min 1x per month","1997","direct migration background","West Germany","263","0.127191842196831","0.113697750009115","0.140685934384548"
"Min 1x per month","1997","direct migration background","East Germany","10","","",""
"Min 1x per month","1997","indirect migration background","West Germany","199","0.360771010420143","0.320637163130586","0.400904857709699"
"Min 1x per month","1997","indirect migration background","East Germany","9","","",""
"Rarely","1997","no migration background","West Germany","2578","0.388881043535576","0.376838409513968","0.400923677557183"
"Rarely","1997","no migration background","East Germany","1552","0.408947123548419","0.392600900033618","0.42529334706322"
"Rarely","1997","direct migration background","West Germany","730","0.327868292397413","0.308856128618164","0.346880456176663"
"Rarely","1997","direct migration background","East Germany","43","0.315815254591981","0.236214774251982","0.395415734931981"
"Rarely","1997","indirect migration background","West Germany","159","0.276213917655356","0.23884636638848","0.313581468922231"
"Rarely","1997","indirect migration background","East Germany","2","","",""
"Never","1997","no migration background","West Germany","2009","0.361484617138894","0.349616527537894","0.373352706739893"
"Never","1997","no migration background","East Germany","1058","0.365283548800894","0.349274127973721","0.381292969628067"
"Never","1997","direct migration background","West Germany","1243","0.508828630113698","0.488581804722526","0.529075455504869"
"Never","1997","direct migration background","East Germany","73","0.58693905735818","0.50262188878611","0.67125622593025"
"Never","1997","indirect migration background","West Germany","57","0.128757083400893","0.100765856054247","0.156748310747539"
"Never","1997","indirect migration background","East Germany","3","","",""
"Daily","1998","no migration background","West Germany","3","","",""
"Daily","1998","no migration background","East Germany","3","","",""
"Daily","1998","direct migration background","West Germany","","","",""
"Daily","1998","direct migration background","East Germany","","","",""
"Daily","1998","indirect migration background","West Germany","1","","",""
"Daily","1998","indirect migration background","East Germany","1","","",""
"Min 1x per week","1998","no migration background","West Germany","391","0.0454802444642621","0.04077108901644","0.0501893999120842"
"Min 1x per week","1998","no migration background","East Germany","235","0.0507992543086955","0.0437485196726079","0.057849988944783"
"Min 1x per week","1998","direct migration background","West Germany","73","0.031184458052822","0.0240669954237378","0.0383019206819061"
"Min 1x per week","1998","direct migration background","East Germany","","","",""
"Min 1x per week","1998","indirect migration background","West Germany","109","0.215385853567179","0.181814140377181","0.248957566757178"
"Min 1x per week","1998","indirect migration background","East Germany","10","","",""
"Min 1x per month","1998","no migration background","West Germany","1385","0.17095319479923","0.162444414572017","0.179461975026444"
"Min 1x per month","1998","no migration background","East Germany","587","0.147893492875955","0.136494981430318","0.159292004321591"
"Min 1x per month","1998","direct migration background","West Germany","247","0.123196597235717","0.109738427047153","0.136654767424281"
"Min 1x per month","1998","direct migration background","East Germany","8","","",""
