"pli0091_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Rarely","1985","no migration background","inadequately","30","0.333245765130471","0.230592966862549","0.435898563398392"
"Rarely","1985","no migration background","general elemantary","509","0.222194609157772","0.204303142295424","0.240086076020121"
"Rarely","1985","no migration background","middle vocational","1566","0.34537937104306","0.330980251028464","0.359778491057656"
"Rarely","1985","no migration background","vocational + Abi","62","0.33654041348523","0.26550915992391","0.407571667046549"
"Rarely","1985","no migration background","higher vocational","225","0.380204412366823","0.339998780306485","0.420410044427161"
"Rarely","1985","no migration background","higher education","263","0.395007889075259","0.357015441431118","0.4330003367194"
"Rarely","1985","direct migration background","in school","7","","",""
"Rarely","1985","direct migration background","inadequately","123","0.168207063974837","0.141508239071197","0.194905888878477"
"Rarely","1985","direct migration background","general elemantary","215","0.209902442661323","0.183486761858619","0.236318123464026"
"Rarely","1985","direct migration background","middle vocational","270","0.330415697145803","0.299702950082042","0.361128444209564"
"Rarely","1985","direct migration background","vocational + Abi","30","0.280540479785738","0.193354037816003","0.367726921755473"
"Rarely","1985","direct migration background","higher vocational","18","","",""
"Rarely","1985","direct migration background","higher education","55","0.477139507262479","0.383799602972327","0.570479411552632"
"Rarely","1985","indirect migration background","in school","1","","",""
"Rarely","1985","indirect migration background","inadequately","1","","",""
"Rarely","1985","indirect migration background","general elemantary","18","","",""
"Rarely","1985","indirect migration background","middle vocational","13","","",""
"Rarely","1985","indirect migration background","vocational + Abi","","","",""
"Rarely","1985","indirect migration background","higher vocational","1","","",""
"Rarely","1985","indirect migration background","higher education","1","","",""
"Never","1985","no migration background","in school","7","","",""
"Never","1985","no migration background","inadequately","32","0.418563418273317","0.311130495202795","0.52599634134384"
"Never","1985","no migration background","general elemantary","1115","0.58201821296384","0.56079111218577","0.60324531374191"
"Never","1985","no migration background","middle vocational","1687","0.443084220746473","0.428041346865636","0.45812709462731"
"Never","1985","no migration background","vocational + Abi","57","0.362820606375966","0.29054354881518","0.435097663936753"
"Never","1985","no migration background","higher vocational","225","0.43298799430547","0.391949810518541","0.474026178092399"
"Never","1985","no migration background","higher education","197","0.346128763924144","0.309155780552589","0.3831017472957"
"Never","1985","direct migration background","in school","4","","",""
"Never","1985","direct migration background","inadequately","570","0.744337340517805","0.713200038982253","0.775474642053357"
"Never","1985","direct migration background","general elemantary","508","0.595166304933155","0.563326514805471","0.627006095060839"
"Never","1985","direct migration background","middle vocational","396","0.442500582610989","0.410069247492217","0.474931917729761"
"Never","1985","direct migration background","vocational + Abi","41","0.313353492017196","0.223334969107539","0.403372014926852"
"Never","1985","direct migration background","higher vocational","19","","",""
"Never","1985","direct migration background","higher education","34","0.367848029801696","0.277733107309905","0.457962952293488"
"Never","1985","indirect migration background","in school","2","","",""
"Never","1985","indirect migration background","inadequately","3","","",""
"Never","1985","indirect migration background","general elemantary","9","","",""
"Never","1985","indirect migration background","middle vocational","15","","",""
"Never","1985","indirect migration background","vocational + Abi","","","",""
"Never","1985","indirect migration background","higher vocational","2","","",""
"Never","1985","indirect migration background","higher education","1","","",""
"Daily","1986","no migration background","in school","","","",""
"Daily","1986","no migration background","inadequately","","","",""
"Daily","1986","no migration background","general elemantary","","","",""
"Daily","1986","no migration background","middle vocational","","","",""
"Daily","1986","no migration background","vocational + Abi","","","",""
"Daily","1986","no migration background","higher vocational","","","",""
"Daily","1986","no migration background","higher education","","","",""
"Daily","1986","direct migration background","in school","","","",""
"Daily","1986","direct migration background","inadequately","","","",""
"Daily","1986","direct migration background","general elemantary","","","",""
"Daily","1986","direct migration background","middle vocational","","","",""
"Daily","1986","direct migration background","vocational + Abi","","","",""
"Daily","1986","direct migration background","higher vocational","","","",""
"Daily","1986","direct migration background","higher education","","","",""
"Daily","1986","indirect migration background","in school","","","",""
"Daily","1986","indirect migration background","inadequately","","","",""
"Daily","1986","indirect migration background","general elemantary","","","",""
"Daily","1986","indirect migration background","middle vocational","","","",""
"Daily","1986","indirect migration background","vocational + Abi","","","",""
"Daily","1986","indirect migration background","higher vocational","","","",""
"Daily","1986","indirect migration background","higher education","","","",""
"Min 1x per week","1986","no migration background","in school","49","0.318985696263145","0.243123080824601","0.394848311701689"
"Min 1x per week","1986","no migration background","inadequately","11","","",""
"Min 1x per week","1986","no migration background","general elemantary","198","0.0907505931686549","0.0778883537876645","0.103612832549645"
"Min 1x per week","1986","no migration background","middle vocational","362","0.0858706392120856","0.0772387140618692","0.094502564362302"
"Min 1x per week","1986","no migration background","vocational + Abi","15","","",""
"Min 1x per week","1986","no migration background","higher vocational","28","","",""
"Min 1x per week","1986","no migration background","higher education","50","0.0762770559944159","0.0555824396873116","0.0969716723015201"
"Min 1x per week","1986","direct migration background","in school","9","","",""
"Min 1x per week","1986","direct migration background","inadequately","22","","",""
"Min 1x per week","1986","direct migration background","general elemantary","77","0.0615937409606779","0.0460585027703042","0.0771289791510515"
"Min 1x per week","1986","direct migration background","middle vocational","78","0.0673063126190798","0.0506955415581408","0.0839170836800188"
"Min 1x per week","1986","direct migration background","vocational + Abi","7","","",""
"Min 1x per week","1986","direct migration background","higher vocational","1","","",""
"Min 1x per week","1986","direct migration background","higher education","9","","",""
"Min 1x per week","1986","indirect migration background","in school","4","","",""
"Min 1x per week","1986","indirect migration background","inadequately","","","",""
"Min 1x per week","1986","indirect migration background","general elemantary","18","","",""
"Min 1x per week","1986","indirect migration background","middle vocational","12","","",""
"Min 1x per week","1986","indirect migration background","vocational + Abi","1","","",""
"Min 1x per week","1986","indirect migration background","higher vocational","2","","",""
"Min 1x per week","1986","indirect migration background","higher education","2","","",""
"Min 1x per month","1986","no migration background","in school","55","0.389821045610206","0.310438441230751","0.469203649989662"
"Min 1x per month","1986","no migration background","inadequately","9","","",""
"Min 1x per month","1986","no migration background","general elemantary","235","0.109828446906371","0.0958279124240084","0.123828981388734"
"Min 1x per month","1986","no migration background","middle vocational","595","0.138947655215921","0.128290976395661","0.149604334036182"
"Min 1x per month","1986","no migration background","vocational + Abi","38","0.194673209764028","0.135327516990144","0.254018902537912"
"Min 1x per month","1986","no migration background","higher vocational","75","0.150787113819791","0.120001004003727","0.181573223635854"
"Min 1x per month","1986","no migration background","higher education","119","0.175033735516764","0.145408041893928","0.2046594291396"
"Min 1x per month","1986","direct migration background","in school","12","","",""
"Min 1x per month","1986","direct migration background","inadequately","41","0.0579499874669155","0.0405415938914979","0.0753583810423332"
"Min 1x per month","1986","direct migration background","general elemantary","103","0.0926363737304991","0.0739021529844726","0.111370594476526"
"Min 1x per month","1986","direct migration background","middle vocational","139","0.137787247348811","0.114936305360638","0.160638189336984"
"Min 1x per month","1986","direct migration background","vocational + Abi","16","","",""
"Min 1x per month","1986","direct migration background","higher vocational","10","","",""
"Min 1x per month","1986","direct migration background","higher education","21","","",""
"Min 1x per month","1986","indirect migration background","in school","3","","",""
"Min 1x per month","1986","indirect migration background","inadequately","2","","",""
"Min 1x per month","1986","indirect migration background","general elemantary","15","","",""
"Min 1x per month","1986","indirect migration background","middle vocational","20","","",""
"Min 1x per month","1986","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1986","indirect migration background","higher vocational","","","",""
"Min 1x per month","1986","indirect migration background","higher education","","","",""
"Rarely","1986","no migration background","in school","34","0.237953514876748","0.168642719253223","0.307264310500272"
"Rarely","1986","no migration background","inadequately","26","","",""
"Rarely","1986","no migration background","general elemantary","471","0.215206270229405","0.196804671281223","0.233607869177586"
"Rarely","1986","no migration background","middle vocational","1468","0.338387820481131","0.323810067188307","0.352965573773955"
"Rarely","1986","no migration background","vocational + Abi","64","0.366906482381443","0.294669156348722","0.439143808414164"
"Rarely","1986","no migration background","higher vocational","212","0.364386952208622","0.322982959563245","0.405790944854"
"Rarely","1986","no migration background","higher education","264","0.395501449842197","0.357380718528853","0.433622181155542"
"Rarely","1986","direct migration background","in school","9","","",""
"Rarely","1986","direct migration background","inadequately","116","0.172302405534363","0.144165485217953","0.200439325850772"
"Rarely","1986","direct migration background","general elemantary","223","0.231154050398531","0.203912953149379","0.258395147647682"
"Rarely","1986","direct migration background","middle vocational","252","0.309609833706669","0.278958664459453","0.340261002953885"
"Rarely","1986","direct migration background","vocational + Abi","37","0.411220532410454","0.317103729669641","0.505337335151267"
"Rarely","1986","direct migration background","higher vocational","25","","",""
"Rarely","1986","direct migration background","higher education","46","0.44392794654515","0.350223976618301","0.537631916472"
"Rarely","1986","indirect migration background","in school","2","","",""
"Rarely","1986","indirect migration background","inadequately","2","","",""
"Rarely","1986","indirect migration background","general elemantary","17","","",""
"Rarely","1986","indirect migration background","middle vocational","17","","",""
"Rarely","1986","indirect migration background","vocational + Abi","","","",""
"Rarely","1986","indirect migration background","higher vocational","1","","",""
"Rarely","1986","indirect migration background","higher education","1","","",""
"Never","1986","no migration background","in school","7","","",""
"Never","1986","no migration background","inadequately","39","0.475654277294967","0.369486384844439","0.581822169745496"
"Never","1986","no migration background","general elemantary","1012","0.584214689695569","0.56214627451548","0.606283104875659"
"Never","1986","no migration background","middle vocational","1622","0.436793885090862","0.421512826375208","0.452074943806516"
"Never","1986","no migration background","vocational + Abi","54","0.349161866605041","0.277712244769698","0.420611488440384"
"Never","1986","no migration background","higher vocational","204","0.435668475832792","0.393009577478413","0.478327374187172"
"Never","1986","no migration background","higher education","199","0.353187758646623","0.31592444358046","0.390451073712786"
"Never","1986","direct migration background","in school","1","","",""
"Never","1986","direct migration background","inadequately","513","0.737197492896814","0.704402939528143","0.769992046265484"
"Never","1986","direct migration background","general elemantary","517","0.614615834910292","0.58316711424712","0.646064555573464"
"Never","1986","direct migration background","middle vocational","405","0.485296606325441","0.452162556747464","0.518430655903417"
"Never","1986","direct migration background","vocational + Abi","45","0.372822800117612","0.280331729974828","0.465313870260395"
"Never","1986","direct migration background","higher vocational","14","","",""
"Never","1986","direct migration background","higher education","32","0.348778018416682","0.258895487675049","0.438660549158316"
"Never","1986","indirect migration background","in school","2","","",""
"Never","1986","indirect migration background","inadequately","3","","",""
"Never","1986","indirect migration background","general elemantary","9","","",""
"Never","1986","indirect migration background","middle vocational","13","","",""
"Never","1986","indirect migration background","vocational + Abi","","","",""
"Never","1986","indirect migration background","higher vocational","3","","",""
"Never","1986","indirect migration background","higher education","1","","",""
"Daily","1987","no migration background","in school","","","",""
"Daily","1987","no migration background","inadequately","","","",""
"Daily","1987","no migration background","general elemantary","","","",""
"Daily","1987","no migration background","middle vocational","","","",""
"Daily","1987","no migration background","vocational + Abi","","","",""
"Daily","1987","no migration background","higher vocational","","","",""
"Daily","1987","no migration background","higher education","","","",""
"Daily","1987","direct migration background","in school","","","",""
"Daily","1987","direct migration background","inadequately","","","",""
"Daily","1987","direct migration background","general elemantary","","","",""
"Daily","1987","direct migration background","middle vocational","","","",""
"Daily","1987","direct migration background","vocational + Abi","","","",""
"Daily","1987","direct migration background","higher vocational","","","",""
"Daily","1987","direct migration background","higher education","","","",""
"Daily","1987","indirect migration background","in school","","","",""
"Daily","1987","indirect migration background","inadequately","","","",""
"Daily","1987","indirect migration background","general elemantary","","","",""
"Daily","1987","indirect migration background","middle vocational","","","",""
"Daily","1987","indirect migration background","vocational + Abi","","","",""
"Daily","1987","indirect migration background","higher vocational","","","",""
"Daily","1987","indirect migration background","higher education","","","",""
"Min 1x per week","1987","no migration background","in school","","","",""
"Min 1x per week","1987","no migration background","inadequately","","","",""
"Min 1x per week","1987","no migration background","general elemantary","","","",""
"Min 1x per week","1987","no migration background","middle vocational","","","",""
"Min 1x per week","1987","no migration background","vocational + Abi","","","",""
"Min 1x per week","1987","no migration background","higher vocational","","","",""
"Min 1x per week","1987","no migration background","higher education","","","",""
"Min 1x per week","1987","direct migration background","in school","","","",""
"Min 1x per week","1987","direct migration background","inadequately","","","",""
"Min 1x per week","1987","direct migration background","general elemantary","","","",""
"Min 1x per week","1987","direct migration background","middle vocational","","","",""
"Min 1x per week","1987","direct migration background","vocational + Abi","","","",""
"Min 1x per week","1987","direct migration background","higher vocational","","","",""
"Min 1x per week","1987","direct migration background","higher education","","","",""
"Min 1x per week","1987","indirect migration background","in school","","","",""
"Min 1x per week","1987","indirect migration background","inadequately","","","",""
"Min 1x per week","1987","indirect migration background","general elemantary","","","",""
"Min 1x per week","1987","indirect migration background","middle vocational","","","",""
"Min 1x per week","1987","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","1987","indirect migration background","higher vocational","","","",""
"Min 1x per week","1987","indirect migration background","higher education","","","",""
"Min 1x per month","1987","no migration background","in school","","","",""
"Min 1x per month","1987","no migration background","inadequately","","","",""
"Min 1x per month","1987","no migration background","general elemantary","","","",""
"Min 1x per month","1987","no migration background","middle vocational","","","",""
"Min 1x per month","1987","no migration background","vocational + Abi","","","",""
"Min 1x per month","1987","no migration background","higher vocational","","","",""
"Min 1x per month","1987","no migration background","higher education","","","",""
"Min 1x per month","1987","direct migration background","in school","","","",""
"Min 1x per month","1987","direct migration background","inadequately","","","",""
"Min 1x per month","1987","direct migration background","general elemantary","","","",""
"Min 1x per month","1987","direct migration background","middle vocational","","","",""
"Min 1x per month","1987","direct migration background","vocational + Abi","","","",""
"Min 1x per month","1987","direct migration background","higher vocational","","","",""
"Min 1x per month","1987","direct migration background","higher education","","","",""
"Min 1x per month","1987","indirect migration background","in school","","","",""
"Min 1x per month","1987","indirect migration background","inadequately","","","",""
"Min 1x per month","1987","indirect migration background","general elemantary","","","",""
"Min 1x per month","1987","indirect migration background","middle vocational","","","",""
"Min 1x per month","1987","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","1987","indirect migration background","higher vocational","","","",""
"Min 1x per month","1987","indirect migration background","higher education","","","",""
"Rarely","1987","no migration background","in school","","","",""
"Rarely","1987","no migration background","inadequately","","","",""
"Rarely","1987","no migration background","general elemantary","","","",""
"Rarely","1987","no migration background","middle vocational","","","",""
"Rarely","1987","no migration background","vocational + Abi","","","",""
"Rarely","1987","no migration background","higher vocational","","","",""
"Rarely","1987","no migration background","higher education","","","",""
"Rarely","1987","direct migration background","in school","","","",""
"Rarely","1987","direct migration background","inadequately","","","",""
"Rarely","1987","direct migration background","general elemantary","","","",""
"Rarely","1987","direct migration background","middle vocational","","","",""
"Rarely","1987","direct migration background","vocational + Abi","","","",""
"Rarely","1987","direct migration background","higher vocational","","","",""
"Rarely","1987","direct migration background","higher education","","","",""
"Rarely","1987","indirect migration background","in school","","","",""
"Rarely","1987","indirect migration background","inadequately","","","",""
"Rarely","1987","indirect migration background","general elemantary","","","",""
"Rarely","1987","indirect migration background","middle vocational","","","",""
"Rarely","1987","indirect migration background","vocational + Abi","","","",""
"Rarely","1987","indirect migration background","higher vocational","","","",""
"Rarely","1987","indirect migration background","higher education","","","",""
"Never","1987","no migration background","in school","","","",""
"Never","1987","no migration background","inadequately","","","",""
"Never","1987","no migration background","general elemantary","","","",""
"Never","1987","no migration background","middle vocational","","","",""
"Never","1987","no migration background","vocational + Abi","","","",""
"Never","1987","no migration background","higher vocational","","","",""
"Never","1987","no migration background","higher education","","","",""
"Never","1987","direct migration background","in school","","","",""
"Never","1987","direct migration background","inadequately","","","",""
"Never","1987","direct migration background","general elemantary","","","",""
"Never","1987","direct migration background","middle vocational","","","",""
"Never","1987","direct migration background","vocational + Abi","","","",""
"Never","1987","direct migration background","higher vocational","","","",""
"Never","1987","direct migration background","higher education","","","",""
"Never","1987","indirect migration background","in school","","","",""
"Never","1987","indirect migration background","inadequately","","","",""
"Never","1987","indirect migration background","general elemantary","","","",""
"Never","1987","indirect migration background","middle vocational","","","",""
"Never","1987","indirect migration background","vocational + Abi","","","",""
"Never","1987","indirect migration background","higher vocational","","","",""
"Never","1987","indirect migration background","higher education","","","",""
"Daily","1988","no migration background","in school","","","",""
"Daily","1988","no migration background","inadequately","","","",""
"Daily","1988","no migration background","general elemantary","","","",""
"Daily","1988","no migration background","middle vocational","","","",""
"Daily","1988","no migration background","vocational + Abi","","","",""
"Daily","1988","no migration background","higher vocational","","","",""
"Daily","1988","no migration background","higher education","","","",""
"Daily","1988","direct migration background","in school","","","",""
"Daily","1988","direct migration background","inadequately","","","",""
"Daily","1988","direct migration background","general elemantary","","","",""
"Daily","1988","direct migration background","middle vocational","","","",""
"Daily","1988","direct migration background","vocational + Abi","","","",""
"Daily","1988","direct migration background","higher vocational","","","",""
"Daily","1988","direct migration background","higher education","","","",""
"Daily","1988","indirect migration background","in school","","","",""
"Daily","1988","indirect migration background","inadequately","","","",""
"Daily","1988","indirect migration background","general elemantary","","","",""
"Daily","1988","indirect migration background","middle vocational","","","",""
"Daily","1988","indirect migration background","vocational + Abi","","","",""
"Daily","1988","indirect migration background","higher vocational","","","",""
"Daily","1988","indirect migration background","higher education","","","",""
"Min 1x per week","1988","no migration background","in school","50","0.393106517385442","0.307136184705778","0.479076850065106"
"Min 1x per week","1988","no migration background","inadequately","9","","",""
"Min 1x per week","1988","no migration background","general elemantary","179","0.0800432076387268","0.0672339070385151","0.0928525082389385"
"Min 1x per week","1988","no migration background","middle vocational","298","0.0777081887998061","0.0691929788150787","0.0862233987845334"
"Min 1x per week","1988","no migration background","vocational + Abi","20","","",""
"Min 1x per week","1988","no migration background","higher vocational","24","","",""
"Min 1x per week","1988","no migration background","higher education","46","0.0719140990777183","0.0514126630152189","0.0924155351402177"
"Min 1x per week","1988","direct migration background","in school","5","","",""
"Min 1x per week","1988","direct migration background","inadequately","15","","",""
"Min 1x per week","1988","direct migration background","general elemantary","77","0.0659401813553244","0.049815549480136","0.0820648132305127"
"Min 1x per week","1988","direct migration background","middle vocational","64","0.0627345145948009","0.046137661569012","0.0793313676205897"
"Min 1x per week","1988","direct migration background","vocational + Abi","3","","",""
"Min 1x per week","1988","direct migration background","higher vocational","1","","",""
"Min 1x per week","1988","direct migration background","higher education","3","","",""
"Min 1x per week","1988","indirect migration background","in school","4","","",""
"Min 1x per week","1988","indirect migration background","inadequately","1","","",""
"Min 1x per week","1988","indirect migration background","general elemantary","24","","",""
"Min 1x per week","1988","indirect migration background","middle vocational","22","","",""
"Min 1x per week","1988","indirect migration background","vocational + Abi","1","","",""
"Min 1x per week","1988","indirect migration background","higher vocational","","","",""
"Min 1x per week","1988","indirect migration background","higher education","1","","",""
"Min 1x per month","1988","no migration background","in school","50","0.398688008973156","0.312508549147499","0.484867468798812"
"Min 1x per month","1988","no migration background","inadequately","10","","",""
"Min 1x per month","1988","no migration background","general elemantary","223","0.10726897467378","0.0926614429183567","0.121876506429202"
"Min 1x per month","1988","no migration background","middle vocational","600","0.148757836850645","0.137439195911761","0.160076477789529"
"Min 1x per month","1988","no migration background","vocational + Abi","43","0.260656735983749","0.195051061602014","0.326262410365485"
"Min 1x per month","1988","no migration background","higher vocational","65","0.136958740884525","0.106008104953826","0.167909376815223"
"Min 1x per month","1988","no migration background","higher education","125","0.206165345537736","0.174061575666833","0.238269115408638"
"Min 1x per month","1988","direct migration background","in school","3","","",""
"Min 1x per month","1988","direct migration background","inadequately","34","0.064255549712264","0.0450007937173042","0.0835103057072239"
"Min 1x per month","1988","direct migration background","general elemantary","109","0.0957445329894826","0.0766270831658809","0.114861982813084"
"Min 1x per month","1988","direct migration background","middle vocational","133","0.147004921521449","0.122767837699366","0.171242005343533"
"Min 1x per month","1988","direct migration background","vocational + Abi","16","","",""
"Min 1x per month","1988","direct migration background","higher vocational","9","","",""
"Min 1x per month","1988","direct migration background","higher education","15","","",""
"Min 1x per month","1988","indirect migration background","in school","6","","",""
"Min 1x per month","1988","indirect migration background","inadequately","4","","",""
"Min 1x per month","1988","indirect migration background","general elemantary","19","","",""
"Min 1x per month","1988","indirect migration background","middle vocational","27","","",""
"Min 1x per month","1988","indirect migration background","vocational + Abi","1","","",""
"Min 1x per month","1988","indirect migration background","higher vocational","2","","",""
"Min 1x per month","1988","indirect migration background","higher education","1","","",""
"Rarely","1988","no migration background","in school","23","","",""
"Rarely","1988","no migration background","inadequately","20","","",""
"Rarely","1988","no migration background","general elemantary","401","0.20923539763813","0.190034539018727","0.228436256257533"
"Rarely","1988","no migration background","middle vocational","1420","0.351541971529374","0.336355484615735","0.366728458443013"
"Rarely","1988","no migration background","vocational + Abi","61","0.331271826395508","0.260932058834196","0.401611593956821"
"Rarely","1988","no migration background","higher vocational","215","0.411906933473974","0.367598999389634","0.456214867558314"
"Rarely","1988","no migration background","higher education","258","0.402061182177214","0.363151505646173","0.440970858708254"
"Rarely","1988","direct migration background","in school","6","","",""
"Rarely","1988","direct migration background","inadequately","92","0.168014282324925","0.13865569841981","0.19737286623004"
"Rarely","1988","direct migration background","general elemantary","213","0.224979342652414","0.19784899519599","0.252109690108838"
"Rarely","1988","direct migration background","middle vocational","214","0.29862536179049","0.267301194252857","0.329949529328123"
"Rarely","1988","direct migration background","vocational + Abi","20","","",""
"Rarely","1988","direct migration background","higher vocational","21","","",""
"Rarely","1988","direct migration background","higher education","35","0.500698974739484","0.394405107484121","0.606992841994847"
"Rarely","1988","indirect migration background","in school","5","","",""
"Rarely","1988","indirect migration background","inadequately","3","","",""
"Rarely","1988","indirect migration background","general elemantary","25","","",""
"Rarely","1988","indirect migration background","middle vocational","19","","",""
"Rarely","1988","indirect migration background","vocational + Abi","1","","",""
"Rarely","1988","indirect migration background","higher vocational","3","","",""
"Rarely","1988","indirect migration background","higher education","2","","",""
"Never","1988","no migration background","in school","1","","",""
"Never","1988","no migration background","inadequately","28","","",""
"Never","1988","no migration background","general elemantary","921","0.603452420049363","0.580361107012061","0.626543733086665"
"Never","1988","no migration background","middle vocational","1479","0.421992002820175","0.406283064791023","0.437700940849327"
"Never","1988","no migration background","vocational + Abi","48","0.293055102440865","0.225032805419386","0.361077399462344"
"Never","1988","no migration background","higher vocational","170","0.404981744020015","0.360789934122099","0.44917355391793"
"Never","1988","no migration background","higher education","181","0.319859373207332","0.282845709645078","0.356873036769586"
"Never","1988","direct migration background","in school","6","","",""
"Never","1988","direct migration background","inadequately","482","0.745615346207492","0.711416855406914","0.77981383700807"
"Never","1988","direct migration background","general elemantary","511","0.613335943002779","0.581695430850589","0.644976455154969"
"Never","1988","direct migration background","middle vocational","409","0.49163520209326","0.457417535872662","0.525852868313857"
"Never","1988","direct migration background","vocational + Abi","56","0.548400568534755","0.448328718242561","0.648472418826949"
"Never","1988","direct migration background","higher vocational","23","","",""
"Never","1988","direct migration background","higher education","32","0.352886474749536","0.251297547733001","0.45447540176607"
"Never","1988","indirect migration background","in school","2","","",""
"Never","1988","indirect migration background","inadequately","4","","",""
"Never","1988","indirect migration background","general elemantary","14","","",""
"Never","1988","indirect migration background","middle vocational","21","","",""
"Never","1988","indirect migration background","vocational + Abi","","","",""
"Never","1988","indirect migration background","higher vocational","2","","",""
"Never","1988","indirect migration background","higher education","","","",""
"Daily","1989","no migration background","in school","","","",""
"Daily","1989","no migration background","inadequately","","","",""
"Daily","1989","no migration background","general elemantary","","","",""
"Daily","1989","no migration background","middle vocational","","","",""
"Daily","1989","no migration background","vocational + Abi","","","",""
"Daily","1989","no migration background","higher vocational","","","",""
"Daily","1989","no migration background","higher education","","","",""
"Daily","1989","direct migration background","in school","","","",""
"Daily","1989","direct migration background","inadequately","","","",""
"Daily","1989","direct migration background","general elemantary","","","",""
"Daily","1989","direct migration background","middle vocational","","","",""
"Daily","1989","direct migration background","vocational + Abi","","","",""
"Daily","1989","direct migration background","higher vocational","","","",""
"Daily","1989","direct migration background","higher education","","","",""
"Daily","1989","indirect migration background","in school","","","",""
