"pli0091_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","secondary school degree","middle vocational","132","0.112257935697272","0.0939005492459661","0.130615322148579"
"Min 1x per week","1985","secondary school degree","vocational + Abi","","","",""
"Min 1x per week","1985","secondary school degree","higher vocational","17","","",""
"Min 1x per week","1985","secondary school degree","higher education","4","","",""
"Min 1x per week","1985","college entrance qualification","in school","","","",""
"Min 1x per week","1985","college entrance qualification","inadequately","","","",""
"Min 1x per week","1985","college entrance qualification","general elemantary","","","",""
"Min 1x per week","1985","college entrance qualification","middle vocational","87","0.275876912190413","0.22487329721979","0.326880527161036"
"Min 1x per week","1985","college entrance qualification","vocational + Abi","20","","",""
"Min 1x per week","1985","college entrance qualification","higher vocational","13","","",""
"Min 1x per week","1985","college entrance qualification","higher education","57","0.0875161745667132","0.0650539351559118","0.109978413977515"
"Min 1x per week","1985","Other degree","in school","","","",""
"Min 1x per week","1985","Other degree","inadequately","5","","",""
"Min 1x per week","1985","Other degree","general elemantary","31","0.0572050420741179","0.0385761637640382","0.0758339203841977"
"Min 1x per week","1985","Other degree","middle vocational","34","0.103658928077824","0.0755269788221265","0.131790877333522"
"Min 1x per week","1985","Other degree","vocational + Abi","5","","",""
"Min 1x per week","1985","Other degree","higher vocational","2","","",""
"Min 1x per week","1985","Other degree","higher education","5","","",""
"Min 1x per week","1985","no degree/no degree yet","in school","65","0.338779649548804","0.270761724091671","0.406797575005936"
"Min 1x per week","1985","no degree/no degree yet","inadequately","24","","",""
"Min 1x per week","1985","no degree/no degree yet","general elemantary","","","",""
"Min 1x per week","1985","no degree/no degree yet","middle vocational","7","","",""
"Min 1x per week","1985","no degree/no degree yet","vocational + Abi","","","",""
"Min 1x per week","1985","no degree/no degree yet","higher vocational","","","",""
"Min 1x per week","1985","no degree/no degree yet","higher education","","","",""
"Min 1x per month","1985","lower secondary degree","in school","","","",""
"Min 1x per month","1985","lower secondary degree","inadequately","","","",""
"Min 1x per month","1985","lower secondary degree","general elemantary","193","0.0736671398751264","0.0621579267218129","0.08517635302844"
"Min 1x per month","1985","lower secondary degree","middle vocational","341","0.100148423018857","0.089661737899462","0.110635108138253"
"Min 1x per month","1985","lower secondary degree","vocational + Abi","1","","",""
"Min 1x per month","1985","lower secondary degree","higher vocational","28","","",""
"Min 1x per month","1985","lower secondary degree","higher education","4","","",""
"Min 1x per month","1985","secondary school degree","in school","","","",""
"Min 1x per month","1985","secondary school degree","inadequately","","","",""
"Min 1x per month","1985","secondary school degree","general elemantary","132","0.273694968281858","0.233386889833982","0.314003046729733"
"Min 1x per month","1985","secondary school degree","middle vocational","192","0.157807910616331","0.136608250940081","0.17900757029258"
"Min 1x per month","1985","secondary school degree","vocational + Abi","","","",""
"Min 1x per month","1985","secondary school degree","higher vocational","25","","",""
"Min 1x per month","1985","secondary school degree","higher education","11","","",""
"Min 1x per month","1985","college entrance qualification","in school","","","",""
"Min 1x per month","1985","college entrance qualification","inadequately","","","",""
"Min 1x per month","1985","college entrance qualification","general elemantary","","","",""
"Min 1x per month","1985","college entrance qualification","middle vocational","102","0.337937481906382","0.283960976257532","0.391913987555233"
"Min 1x per month","1985","college entrance qualification","vocational + Abi","38","0.195775653623837","0.138442328629802","0.253108978617871"
"Min 1x per month","1985","college entrance qualification","higher vocational","25","","",""
"Min 1x per month","1985","college entrance qualification","higher education","108","0.169936586720719","0.140083077921341","0.199790095520097"
"Min 1x per month","1985","Other degree","in school","","","",""
"Min 1x per month","1985","Other degree","inadequately","4","","",""
"Min 1x per month","1985","Other degree","general elemantary","42","0.0736460966734837","0.0526941557820809","0.0945980375648865"
"Min 1x per month","1985","Other degree","middle vocational","54","0.121280469759594","0.09115176963513","0.151409169884058"
"Min 1x per month","1985","Other degree","vocational + Abi","17","","",""
"Min 1x per month","1985","Other degree","higher vocational","","","",""
"Min 1x per month","1985","Other degree","higher education","7","","",""
"Min 1x per month","1985","no degree/no degree yet","in school","65","0.388907490452435","0.318847793723506","0.458967187181364"
"Min 1x per month","1985","no degree/no degree yet","inadequately","47","0.0602552815599888","0.0438476869380433","0.0766628761819344"
"Min 1x per month","1985","no degree/no degree yet","general elemantary","","","",""
"Min 1x per month","1985","no degree/no degree yet","middle vocational","12","","",""
"Min 1x per month","1985","no degree/no degree yet","vocational + Abi","","","",""
"Min 1x per month","1985","no degree/no degree yet","higher vocational","","","",""
"Min 1x per month","1985","no degree/no degree yet","higher education","","","",""
"Rarely","1985","lower secondary degree","in school","","","",""
"Rarely","1985","lower secondary degree","inadequately","","","",""
"Rarely","1985","lower secondary degree","general elemantary","480","0.214130436225958","0.196057045844516","0.232203826607399"
"Rarely","1985","lower secondary degree","middle vocational","1148","0.33848836827846","0.321958425646146","0.355018310910773"
"Rarely","1985","lower secondary degree","vocational + Abi","","","",""
"Rarely","1985","lower secondary degree","higher vocational","111","0.377677250348107","0.320377860742141","0.434976639954073"
"Rarely","1985","lower secondary degree","higher education","6","","",""
"Rarely","1985","secondary school degree","in school","","","",""
"Rarely","1985","secondary school degree","inadequately","","","",""
"Rarely","1985","secondary school degree","general elemantary","122","0.260732101269637","0.221040617111743","0.300423585427532"
"Rarely","1985","secondary school degree","middle vocational","463","0.38517622866911","0.356877691323588","0.413474766014633"
"Rarely","1985","secondary school degree","vocational + Abi","1","","",""
"Rarely","1985","secondary school degree","higher vocational","87","0.416305514027714","0.347469794738482","0.485141233316945"
"Rarely","1985","secondary school degree","higher education","28","","",""
"Rarely","1985","college entrance qualification","in school","","","",""
"Rarely","1985","college entrance qualification","inadequately","","","",""
"Rarely","1985","college entrance qualification","general elemantary","","","",""
"Rarely","1985","college entrance qualification","middle vocational","77","0.264950996577925","0.214591890973364","0.315310102182485"
"Rarely","1985","college entrance qualification","vocational + Abi","65","0.330218346280849","0.262265695593621","0.398170996968077"
"Rarely","1985","college entrance qualification","higher vocational","38","0.278234938446972","0.200601849624804","0.355868027269139"
"Rarely","1985","college entrance qualification","higher education","255","0.398986544596102","0.360062539225748","0.437910549966456"
"Rarely","1985","Other degree","in school","","","",""
"Rarely","1985","Other degree","inadequately","10","","",""
"Rarely","1985","Other degree","general elemantary","140","0.197618516653903","0.165676289636559","0.229560743671247"
"Rarely","1985","Other degree","middle vocational","131","0.266509916932553","0.225704893623195","0.307314940241912"
"Rarely","1985","Other degree","vocational + Abi","26","","",""
"Rarely","1985","Other degree","higher vocational","4","","",""
"Rarely","1985","Other degree","higher education","28","","",""
"Rarely","1985","no degree/no degree yet","in school","43","0.21445038269966","0.155465347570505","0.273435417828814"
"Rarely","1985","no degree/no degree yet","inadequately","144","0.220176567300712","0.191605523998207","0.248747610603216"
"Rarely","1985","no degree/no degree yet","general elemantary","","","",""
"Rarely","1985","no degree/no degree yet","middle vocational","19","","",""
"Rarely","1985","no degree/no degree yet","vocational + Abi","","","",""
"Rarely","1985","no degree/no degree yet","higher vocational","2","","",""
"Rarely","1985","no degree/no degree yet","higher education","1","","",""
"Never","1985","lower secondary degree","in school","","","",""
"Never","1985","lower secondary degree","inadequately","","","",""
"Never","1985","lower secondary degree","general elemantary","1162","0.658651172645781","0.637760513832364","0.679541831459198"
"Never","1985","lower secondary degree","middle vocational","1427","0.501066975020295","0.483600722099879","0.518533227940711"
"Never","1985","lower secondary degree","vocational + Abi","2","","",""
"Never","1985","lower secondary degree","higher vocational","124","0.47694244294976","0.417910174732466","0.535974711167053"
"Never","1985","lower secondary degree","higher education","11","","",""
"Never","1985","secondary school degree","in school","","","",""
"Never","1985","secondary school degree","inadequately","","","",""
"Never","1985","secondary school degree","general elemantary","86","0.217011821992344","0.179745334471726","0.254278309512961"
"Never","1985","secondary school degree","middle vocational","349","0.344757925017287","0.317119267594735","0.372396582439839"
"Never","1985","secondary school degree","vocational + Abi","","","",""
"Never","1985","secondary school degree","higher vocational","68","0.396933501995045","0.328612149155922","0.465254854834169"
"Never","1985","secondary school degree","higher education","18","","",""
"Never","1985","college entrance qualification","in school","","","",""
"Never","1985","college entrance qualification","inadequately","","","",""
"Never","1985","college entrance qualification","general elemantary","","","",""
"Never","1985","college entrance qualification","middle vocational","29","","",""
"Never","1985","college entrance qualification","vocational + Abi","61","0.35559786299802","0.286431134161489","0.42476459183455"
"Never","1985","college entrance qualification","higher vocational","52","0.43250189458046","0.346675805847033","0.518327983313886"
"Never","1985","college entrance qualification","higher education","188","0.343560694116466","0.305812574208435","0.381308814024497"
"Never","1985","Other degree","in school","","","",""
"Never","1985","Other degree","inadequately","9","","",""
"Never","1985","Other degree","general elemantary","384","0.671530344598496","0.633856375788147","0.709204313408844"
"Never","1985","Other degree","middle vocational","232","0.508550685230028","0.462411883749804","0.554689486710253"
"Never","1985","Other degree","vocational + Abi","35","0.361624482446336","0.258258873173154","0.464990091719517"
"Never","1985","Other degree","higher vocational","1","","",""
"Never","1985","Other degree","higher education","14","","",""
"Never","1985","no degree/no degree yet","in school","13","","",""
"Never","1985","no degree/no degree yet","inadequately","593","0.657768131811535","0.625053725076796","0.690482538546275"
"Never","1985","no degree/no degree yet","general elemantary","","","",""
"Never","1985","no degree/no degree yet","middle vocational","52","0.555855614960748","0.453203022259971","0.658508207661525"
"Never","1985","no degree/no degree yet","vocational + Abi","","","",""
"Never","1985","no degree/no degree yet","higher vocational","1","","",""
"Never","1985","no degree/no degree yet","higher education","1","","",""
"Daily","1986","lower secondary degree","in school","","","",""
"Daily","1986","lower secondary degree","inadequately","","","",""
"Daily","1986","lower secondary degree","general elemantary","","","",""
"Daily","1986","lower secondary degree","middle vocational","","","",""
"Daily","1986","lower secondary degree","vocational + Abi","","","",""
"Daily","1986","lower secondary degree","higher vocational","","","",""
"Daily","1986","lower secondary degree","higher education","","","",""
"Daily","1986","secondary school degree","in school","","","",""
"Daily","1986","secondary school degree","inadequately","","","",""
"Daily","1986","secondary school degree","general elemantary","","","",""
"Daily","1986","secondary school degree","middle vocational","","","",""
"Daily","1986","secondary school degree","vocational + Abi","","","",""
"Daily","1986","secondary school degree","higher vocational","","","",""
"Daily","1986","secondary school degree","higher education","","","",""
"Daily","1986","college entrance qualification","in school","","","",""
"Daily","1986","college entrance qualification","inadequately","","","",""
"Daily","1986","college entrance qualification","general elemantary","","","",""
"Daily","1986","college entrance qualification","middle vocational","","","",""
"Daily","1986","college entrance qualification","vocational + Abi","","","",""
"Daily","1986","college entrance qualification","higher vocational","","","",""
"Daily","1986","college entrance qualification","higher education","","","",""
"Daily","1986","Other degree","in school","","","",""
"Daily","1986","Other degree","inadequately","","","",""
"Daily","1986","Other degree","general elemantary","","","",""
"Daily","1986","Other degree","middle vocational","","","",""
"Daily","1986","Other degree","vocational + Abi","","","",""
"Daily","1986","Other degree","higher vocational","","","",""
"Daily","1986","Other degree","higher education","","","",""
"Daily","1986","no degree/no degree yet","in school","","","",""
"Daily","1986","no degree/no degree yet","inadequately","","","",""
"Daily","1986","no degree/no degree yet","general elemantary","","","",""
"Daily","1986","no degree/no degree yet","middle vocational","","","",""
"Daily","1986","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1986","no degree/no degree yet","higher vocational","","","",""
"Daily","1986","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1986","lower secondary degree","in school","","","",""
"Min 1x per week","1986","lower secondary degree","inadequately","","","",""
"Min 1x per week","1986","lower secondary degree","general elemantary","149","0.0553052584320494","0.0449175301521977","0.0656929867119012"
"Min 1x per week","1986","lower secondary degree","middle vocational","210","0.0624282183360932","0.0537651862945118","0.0710912503776747"
"Min 1x per week","1986","lower secondary degree","vocational + Abi","","","",""
"Min 1x per week","1986","lower secondary degree","higher vocational","15","","",""
"Min 1x per week","1986","lower secondary degree","higher education","2","","",""
"Min 1x per week","1986","secondary school degree","in school","","","",""
"Min 1x per week","1986","secondary school degree","inadequately","","","",""
"Min 1x per week","1986","secondary school degree","general elemantary","121","0.244772687237521","0.205567148589603","0.28397822588544"
"Min 1x per week","1986","secondary school degree","middle vocational","119","0.100119744428409","0.0826188156688966","0.117620673187921"
"Min 1x per week","1986","secondary school degree","vocational + Abi","","","",""
"Min 1x per week","1986","secondary school degree","higher vocational","9","","",""
"Min 1x per week","1986","secondary school degree","higher education","6","","",""
"Min 1x per week","1986","college entrance qualification","in school","","","",""
"Min 1x per week","1986","college entrance qualification","inadequately","","","",""
"Min 1x per week","1986","college entrance qualification","general elemantary","","","",""
"Min 1x per week","1986","college entrance qualification","middle vocational","90","0.261175419328928","0.213417738491121","0.308933100166736"
"Min 1x per week","1986","college entrance qualification","vocational + Abi","18","","",""
"Min 1x per week","1986","college entrance qualification","higher vocational","7","","",""
"Min 1x per week","1986","college entrance qualification","higher education","46","0.0728831425997279","0.0522039046960286","0.0935623805034271"
"Min 1x per week","1986","Other degree","in school","","","",""
"Min 1x per week","1986","Other degree","inadequately","4","","",""
"Min 1x per week","1986","Other degree","general elemantary","23","","",""
"Min 1x per week","1986","Other degree","middle vocational","28","","",""
"Min 1x per week","1986","Other degree","vocational + Abi","5","","",""
"Min 1x per week","1986","Other degree","higher vocational","","","",""
"Min 1x per week","1986","Other degree","higher education","4","","",""
"Min 1x per week","1986","no degree/no degree yet","in school","62","0.326300095950302","0.259100117892325","0.393500074008279"
"Min 1x per week","1986","no degree/no degree yet","inadequately","27","","",""
"Min 1x per week","1986","no degree/no degree yet","general elemantary","","","",""
"Min 1x per week","1986","no degree/no degree yet","middle vocational","4","","",""
"Min 1x per week","1986","no degree/no degree yet","vocational + Abi","","","",""
"Min 1x per week","1986","no degree/no degree yet","higher vocational","","","",""
"Min 1x per week","1986","no degree/no degree yet","higher education","","","",""
"Min 1x per month","1986","lower secondary degree","in school","","","",""
"Min 1x per month","1986","lower secondary degree","inadequately","","","",""
"Min 1x per month","1986","lower secondary degree","general elemantary","176","0.0673497965570746","0.0559599163174704","0.0787396767966789"
"Min 1x per month","1986","lower secondary degree","middle vocational","352","0.105124431104698","0.0941417002313537","0.116107161978042"
"Min 1x per month","1986","lower secondary degree","vocational + Abi","3","","",""
"Min 1x per month","1986","lower secondary degree","higher vocational","31","0.122979540535406","0.0828279434280728","0.163131137642739"
"Min 1x per month","1986","lower secondary degree","higher education","2","","",""
"Min 1x per month","1986","secondary school degree","in school","","","",""
"Min 1x per month","1986","secondary school degree","inadequately","","","",""
"Min 1x per month","1986","secondary school degree","general elemantary","142","0.2948037918661","0.253227225484426","0.336380358247774"
"Min 1x per month","1986","secondary school degree","middle vocational","203","0.16569774568743","0.144019263209054","0.187376228165805"
"Min 1x per month","1986","secondary school degree","vocational + Abi","1","","",""
"Min 1x per month","1986","secondary school degree","higher vocational","26","","",""
"Min 1x per month","1986","secondary school degree","higher education","7","","",""
"Min 1x per month","1986","college entrance qualification","in school","","","",""
"Min 1x per month","1986","college entrance qualification","inadequately","","","",""
"Min 1x per month","1986","college entrance qualification","general elemantary","","","",""
"Min 1x per month","1986","college entrance qualification","middle vocational","134","0.402279307002114","0.3489679910591","0.455590622945128"
"Min 1x per month","1986","college entrance qualification","vocational + Abi","40","0.190749677200573","0.134736457715785","0.246762896685361"
"Min 1x per month","1986","college entrance qualification","higher vocational","28","","",""
"Min 1x per month","1986","college entrance qualification","higher education","115","0.178612136642756","0.14814137084678","0.209082902438732"
"Min 1x per month","1986","Other degree","in school","","","",""
"Min 1x per month","1986","Other degree","inadequately","3","","",""
"Min 1x per month","1986","Other degree","general elemantary","35","0.0571424746797183","0.0381372355610301","0.0761477137984065"
"Min 1x per month","1986","Other degree","middle vocational","53","0.121578789908211","0.0904359493469212","0.152721630469501"
"Min 1x per month","1986","Other degree","vocational + Abi","10","","",""
"Min 1x per month","1986","Other degree","higher vocational","","","",""
"Min 1x per month","1986","Other degree","higher education","16","","",""
"Min 1x per month","1986","no degree/no degree yet","in school","70","0.38787893840804","0.318040575847231","0.457717300968849"
"Min 1x per month","1986","no degree/no degree yet","inadequately","47","0.0677395287232265","0.0497426619098496","0.0857363955366034"
"Min 1x per month","1986","no degree/no degree yet","general elemantary","","","",""
"Min 1x per month","1986","no degree/no degree yet","middle vocational","10","","",""
"Min 1x per month","1986","no degree/no degree yet","vocational + Abi","","","",""
"Min 1x per month","1986","no degree/no degree yet","higher vocational","","","",""
"Min 1x per month","1986","no degree/no degree yet","higher education","","","",""
"Rarely","1986","lower secondary degree","in school","","","",""
"Rarely","1986","lower secondary degree","inadequately","","","",""
"Rarely","1986","lower secondary degree","general elemantary","473","0.217998369250725","0.199234514143913","0.236762224357537"
"Rarely","1986","lower secondary degree","middle vocational","1063","0.330535199878345","0.313691018161178","0.347379381595513"
"Rarely","1986","lower secondary degree","vocational + Abi","1","","",""
"Rarely","1986","lower secondary degree","higher vocational","98","0.350850545929822","0.292504026262046","0.409197065597598"
"Rarely","1986","lower secondary degree","higher education","8","","",""
"Rarely","1986","secondary school degree","in school","","","",""
"Rarely","1986","secondary school degree","inadequately","","","",""
"Rarely","1986","secondary school degree","general elemantary","109","0.216754621818448","0.179182977097097","0.254326266539799"
"Rarely","1986","secondary school degree","middle vocational","455","0.377470877494831","0.349207085315763","0.405734669673898"
"Rarely","1986","secondary school degree","vocational + Abi","","","",""
"Rarely","1986","secondary school degree","higher vocational","83","0.388947363464429","0.317529590620489","0.46036513630837"
"Rarely","1986","secondary school degree","higher education","27","","",""
"Rarely","1986","college entrance qualification","in school","","","",""
"Rarely","1986","college entrance qualification","inadequately","","","",""
"Rarely","1986","college entrance qualification","general elemantary","","","",""
"Rarely","1986","college entrance qualification","middle vocational","77","0.245635039344712","0.198835419697515","0.292434658991909"
"Rarely","1986","college entrance qualification","vocational + Abi","76","0.381865710841307","0.312600694940661","0.451130726741953"
"Rarely","1986","college entrance qualification","higher vocational","48","0.335834898155792","0.254017805277437","0.417651991034146"
"Rarely","1986","college entrance qualification","higher education","257","0.402236998516251","0.363228496903718","0.441245500128784"
"Rarely","1986","Other degree","in school","","","",""
"Rarely","1986","Other degree","inadequately","8","","",""
"Rarely","1986","Other degree","general elemantary","129","0.217368148905408","0.183596871143167","0.251139426667649"
"Rarely","1986","Other degree","middle vocational","113","0.286788810529392","0.243689722290373","0.32988789876841"
"Rarely","1986","Other degree","vocational + Abi","24","","",""
"Rarely","1986","Other degree","higher vocational","7","","",""
"Rarely","1986","Other degree","higher education","18","","",""
"Rarely","1986","no degree/no degree yet","in school","45","0.233970680906841","0.173292758351597","0.294648603462086"
"Rarely","1986","no degree/no degree yet","inadequately","134","0.203451600819225","0.174621655250651","0.232281546387798"
"Rarely","1986","no degree/no degree yet","general elemantary","","","",""
"Rarely","1986","no degree/no degree yet","middle vocational","17","","",""
"Rarely","1986","no degree/no degree yet","vocational + Abi","","","",""
"Rarely","1986","no degree/no degree yet","higher vocational","1","","",""
"Rarely","1986","no degree/no degree yet","higher education","1","","",""
"Never","1986","lower secondary degree","in school","","","",""
"Never","1986","lower secondary degree","inadequately","","","",""
"Never","1986","lower secondary degree","general elemantary","1062","0.659346575760151","0.637808600396526","0.680884551123775"
"Never","1986","lower secondary degree","middle vocational","1371","0.501912150680864","0.48400840026663","0.519815901095098"
"Never","1986","lower secondary degree","vocational + Abi","2","","",""
"Never","1986","lower secondary degree","higher vocational","113","0.473540477541621","0.4124965348458","0.534584420237442"
"Never","1986","lower secondary degree","higher education","7","","",""
"Never","1986","secondary school degree","in school","","","",""
"Never","1986","secondary school degree","inadequately","","","",""
"Never","1986","secondary school degree","general elemantary","90","0.243668899077931","0.204523282908421","0.282814515247441"
"Never","1986","secondary school degree","middle vocational","353","0.356711632389331","0.328781669774997","0.384641595003664"
"Never","1986","secondary school degree","vocational + Abi","1","","",""
"Never","1986","secondary school degree","higher vocational","61","0.414543098814815","0.342373567458768","0.486712630170863"
"Never","1986","secondary school degree","higher education","21","","",""
"Never","1986","college entrance qualification","in school","","","",""
"Never","1986","college entrance qualification","inadequately","","","",""
"Never","1986","college entrance qualification","general elemantary","","","",""
"Never","1986","college entrance qualification","middle vocational","24","","",""
"Never","1986","college entrance qualification","vocational + Abi","55","0.339497765943417","0.271987037392343","0.407008494494491"
"Never","1986","college entrance qualification","higher vocational","45","0.376277388022466","0.292352086354574","0.460202689690358"
"Never","1986","college entrance qualification","higher education","189","0.346267722241265","0.308418259880946","0.384117184601585"
"Never","1986","Other degree","in school","","","",""
"Never","1986","Other degree","inadequately","13","","",""
"Never","1986","Other degree","general elemantary","386","0.693490372508326","0.655740711299613","0.731240033717038"
"Never","1986","Other degree","middle vocational","229","0.527511203568742","0.47993503012211","0.575087377015375"
"Never","1986","Other degree","vocational + Abi","41","0.4870510444322","0.377522475850986","0.596579613013414"
"Never","1986","Other degree","higher vocational","1","","",""
"Never","1986","Other degree","higher education","14","","",""
"Never","1986","no degree/no degree yet","in school","10","","",""
"Never","1986","no degree/no degree yet","inadequately","541","0.658586382822689","0.624627454601939","0.692545311043438"
"Never","1986","no degree/no degree yet","general elemantary","","","",""
"Never","1986","no degree/no degree yet","middle vocational","56","0.574715852818401","0.470830420780514","0.678601284856288"
"Never","1986","no degree/no degree yet","vocational + Abi","","","",""
"Never","1986","no degree/no degree yet","higher vocational","1","","",""
"Never","1986","no degree/no degree yet","higher education","1","","",""
"Daily","1987","lower secondary degree","in school","","","",""
"Daily","1987","lower secondary degree","inadequately","","","",""
"Daily","1987","lower secondary degree","general elemantary","","","",""
"Daily","1987","lower secondary degree","middle vocational","","","",""
"Daily","1987","lower secondary degree","vocational + Abi","","","",""
"Daily","1987","lower secondary degree","higher vocational","","","",""
"Daily","1987","lower secondary degree","higher education","","","",""
"Daily","1987","secondary school degree","in school","","","",""
"Daily","1987","secondary school degree","inadequately","","","",""
"Daily","1987","secondary school degree","general elemantary","","","",""
"Daily","1987","secondary school degree","middle vocational","","","",""
"Daily","1987","secondary school degree","vocational + Abi","","","",""
"Daily","1987","secondary school degree","higher vocational","","","",""
"Daily","1987","secondary school degree","higher education","","","",""
"Daily","1987","college entrance qualification","in school","","","",""
"Daily","1987","college entrance qualification","inadequately","","","",""
"Daily","1987","college entrance qualification","general elemantary","","","",""
"Daily","1987","college entrance qualification","middle vocational","","","",""
"Daily","1987","college entrance qualification","vocational + Abi","","","",""
"Daily","1987","college entrance qualification","higher vocational","","","",""
"Daily","1987","college entrance qualification","higher education","","","",""
"Daily","1987","Other degree","in school","","","",""
"Daily","1987","Other degree","inadequately","","","",""
"Daily","1987","Other degree","general elemantary","","","",""
"Daily","1987","Other degree","middle vocational","","","",""
"Daily","1987","Other degree","vocational + Abi","","","",""
"Daily","1987","Other degree","higher vocational","","","",""
"Daily","1987","Other degree","higher education","","","",""
"Daily","1987","no degree/no degree yet","in school","","","",""
"Daily","1987","no degree/no degree yet","inadequately","","","",""
"Daily","1987","no degree/no degree yet","general elemantary","","","",""
"Daily","1987","no degree/no degree yet","middle vocational","","","",""
"Daily","1987","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1987","no degree/no degree yet","higher vocational","","","",""
"Daily","1987","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1987","lower secondary degree","in school","","","",""
"Min 1x per week","1987","lower secondary degree","inadequately","","","",""
"Min 1x per week","1987","lower secondary degree","general elemantary","","","",""
"Min 1x per week","1987","lower secondary degree","middle vocational","","","",""
"Min 1x per week","1987","lower secondary degree","vocational + Abi","","","",""
"Min 1x per week","1987","lower secondary degree","higher vocational","","","",""
"Min 1x per week","1987","lower secondary degree","higher education","","","",""
"Min 1x per week","1987","secondary school degree","in school","","","",""
"Min 1x per week","1987","secondary school degree","inadequately","","","",""
"Min 1x per week","1987","secondary school degree","general elemantary","","","",""
"Min 1x per week","1987","secondary school degree","middle vocational","","","",""
"Min 1x per week","1987","secondary school degree","vocational + Abi","","","",""
"Min 1x per week","1987","secondary school degree","higher vocational","","","",""
"Min 1x per week","1987","secondary school degree","higher education","","","",""
"Min 1x per week","1987","college entrance qualification","in school","","","",""
"Min 1x per week","1987","college entrance qualification","inadequately","","","",""
"Min 1x per week","1987","college entrance qualification","general elemantary","","","",""
"Min 1x per week","1987","college entrance qualification","middle vocational","","","",""
"Min 1x per week","1987","college entrance qualification","vocational + Abi","","","",""
"Min 1x per week","1987","college entrance qualification","higher vocational","","","",""
"Min 1x per week","1987","college entrance qualification","higher education","","","",""
"Min 1x per week","1987","Other degree","in school","","","",""
"Min 1x per week","1987","Other degree","inadequately","","","",""
"Min 1x per week","1987","Other degree","general elemantary","","","",""
"Min 1x per week","1987","Other degree","middle vocational","","","",""
"Min 1x per week","1987","Other degree","vocational + Abi","","","",""
"Min 1x per week","1987","Other degree","higher vocational","","","",""
"Min 1x per week","1987","Other degree","higher education","","","",""
"Min 1x per week","1987","no degree/no degree yet","in school","","","",""
"Min 1x per week","1987","no degree/no degree yet","inadequately","","","",""
"Min 1x per week","1987","no degree/no degree yet","general elemantary","","","",""
"Min 1x per week","1987","no degree/no degree yet","middle vocational","","","",""
"Min 1x per week","1987","no degree/no degree yet","vocational + Abi","","","",""
"Min 1x per week","1987","no degree/no degree yet","higher vocational","","","",""
"Min 1x per week","1987","no degree/no degree yet","higher education","","","",""
"Min 1x per month","1987","lower secondary degree","in school","","","",""
"Min 1x per month","1987","lower secondary degree","inadequately","","","",""
