"pgnation","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"3","1984","Employed","middle vocational","188","0.0117500515037447","0.00833954649100534","0.0151605565164841"
"3","1984","Employed","vocational + Abi","26","","",""
"3","1984","Employed","higher vocational","5","","",""
"3","1984","Employed","higher education","10","","",""
"4","1984","Not Employed","in school","8","","",""
"4","1984","Not Employed","inadequately","31","0.0290684179524149","0.0121771868217615","0.0459596490830683"
"4","1984","Not Employed","general elemantary","43","0.00244973132347886","0.000139572738051741","0.00475988990890598"
"4","1984","Not Employed","middle vocational","23","","",""
"4","1984","Not Employed","vocational + Abi","","","",""
"4","1984","Not Employed","higher vocational","1","","",""
"4","1984","Not Employed","higher education","4","","",""
"4","1984","Employed","in school","","","",""
"4","1984","Employed","inadequately","108","0.0913512218004993","0.06901278053544","0.113689663065559"
"4","1984","Employed","general elemantary","123","0.0121490775552641","0.00695516759310381","0.0173429875174244"
"4","1984","Employed","middle vocational","85","0.00271989070559403","0.00107153964479357","0.00436824176639449"
"4","1984","Employed","vocational + Abi","5","","",""
"4","1984","Employed","higher vocational","1","","",""
"4","1984","Employed","higher education","17","","",""
"5","1984","Not Employed","in school","5","","",""
"5","1984","Not Employed","inadequately","62","0.0945450685239029","0.0651273388787758","0.12396279816903"
"5","1984","Not Employed","general elemantary","49","0.00457246494346267","0.00141967389752673","0.00772525598939862"
"5","1984","Not Employed","middle vocational","31","0.00288586492726316","0.000467467760317742","0.00530426209420858"
"5","1984","Not Employed","vocational + Abi","5","","",""
"5","1984","Not Employed","higher vocational","","","",""
"5","1984","Not Employed","higher education","3","","",""
"5","1984","Employed","in school","","","",""
"5","1984","Employed","inadequately","155","0.177256655707297","0.147647152117533","0.206866159297061"
"5","1984","Employed","general elemantary","145","0.0214351458236359","0.0145686511469112","0.0283016405003606"
"5","1984","Employed","middle vocational","134","0.00845098740836777","0.00555380241247825","0.0113481724042573"
"5","1984","Employed","vocational + Abi","8","","",""
"5","1984","Employed","higher vocational","1","","",""
"5","1984","Employed","higher education","9","","",""
"6","1984","Not Employed","in school","2","","",""
"6","1984","Not Employed","inadequately","35","0.0239830204314388","0.00860016643762922","0.0393658744252483"
"6","1984","Not Employed","general elemantary","47","0.00195554724231948","-0.00010899736067878","0.00402009184531775"
"6","1984","Not Employed","middle vocational","22","","",""
"6","1984","Not Employed","vocational + Abi","5","","",""
"6","1984","Not Employed","higher vocational","1","","",""
"6","1984","Not Employed","higher education","3","","",""
"6","1984","Employed","in school","","","",""
"6","1984","Employed","inadequately","79","0.0438958955173239","0.0280118102413874","0.0597799807932604"
"6","1984","Employed","general elemantary","88","0.00568067715037626","0.0021174783526324","0.00924387594812012"
"6","1984","Employed","middle vocational","101","0.0022442499006962","0.000746590234540234","0.00374190956685216"
"6","1984","Employed","vocational + Abi","7","","",""
"6","1984","Employed","higher vocational","5","","",""
"6","1984","Employed","higher education","6","","",""
"10","1984","Not Employed","in school","","","",""
"10","1984","Not Employed","inadequately","","","",""
"10","1984","Not Employed","general elemantary","3","","",""
"10","1984","Not Employed","middle vocational","2","","",""
"10","1984","Not Employed","vocational + Abi","","","",""
"10","1984","Not Employed","higher vocational","1","","",""
"10","1984","Not Employed","higher education","","","",""
"10","1984","Employed","in school","1","","",""
"10","1984","Employed","inadequately","","","",""
"10","1984","Employed","general elemantary","2","","",""
"10","1984","Employed","middle vocational","18","","",""
"10","1984","Employed","vocational + Abi","","","",""
"10","1984","Employed","higher vocational","2","","",""
"10","1984","Employed","higher education","3","","",""
"11","1984","Not Employed","in school","","","",""
"11","1984","Not Employed","inadequately","","","",""
"11","1984","Not Employed","general elemantary","1","","",""
"11","1984","Not Employed","middle vocational","1","","",""
"11","1984","Not Employed","vocational + Abi","","","",""
"11","1984","Not Employed","higher vocational","","","",""
"11","1984","Not Employed","higher education","","","",""
"11","1984","Employed","in school","","","",""
"11","1984","Employed","inadequately","","","",""
"11","1984","Employed","general elemantary","2","","",""
"11","1984","Employed","middle vocational","5","","",""
"11","1984","Employed","vocational + Abi","1","","",""
"11","1984","Employed","higher vocational","","","",""
"11","1984","Employed","higher education","3","","",""
"12","1984","Not Employed","in school","","","",""
"12","1984","Not Employed","inadequately","","","",""
"12","1984","Not Employed","general elemantary","2","","",""
"12","1984","Not Employed","middle vocational","3","","",""
"12","1984","Not Employed","vocational + Abi","","","",""
"12","1984","Not Employed","higher vocational","","","",""
"12","1984","Not Employed","higher education","","","",""
"12","1984","Employed","in school","","","",""
"12","1984","Employed","inadequately","","","",""
"12","1984","Employed","general elemantary","2","","",""
"12","1984","Employed","middle vocational","2","","",""
"12","1984","Employed","vocational + Abi","1","","",""
"12","1984","Employed","higher vocational","","","",""
"12","1984","Employed","higher education","","","",""
"13","1984","Not Employed","in school","","","",""
"13","1984","Not Employed","inadequately","","","",""
"13","1984","Not Employed","general elemantary","","","",""
"13","1984","Not Employed","middle vocational","","","",""
"13","1984","Not Employed","vocational + Abi","","","",""
"13","1984","Not Employed","higher vocational","","","",""
"13","1984","Not Employed","higher education","","","",""
"13","1984","Employed","in school","","","",""
"13","1984","Employed","inadequately","","","",""
"13","1984","Employed","general elemantary","","","",""
"13","1984","Employed","middle vocational","","","",""
"13","1984","Employed","vocational + Abi","","","",""
"13","1984","Employed","higher vocational","","","",""
"13","1984","Employed","higher education","","","",""
"14","1984","Not Employed","in school","","","",""
"14","1984","Not Employed","inadequately","","","",""
"14","1984","Not Employed","general elemantary","","","",""
"14","1984","Not Employed","middle vocational","","","",""
"14","1984","Not Employed","vocational + Abi","","","",""
"14","1984","Not Employed","higher vocational","","","",""
"14","1984","Not Employed","higher education","","","",""
"14","1984","Employed","in school","","","",""
"14","1984","Employed","inadequately","1","","",""
"14","1984","Employed","general elemantary","","","",""
"14","1984","Employed","middle vocational","2","","",""
"14","1984","Employed","vocational + Abi","","","",""
"14","1984","Employed","higher vocational","","","",""
"14","1984","Employed","higher education","2","","",""
"15","1984","Not Employed","in school","","","",""
"15","1984","Not Employed","inadequately","","","",""
"15","1984","Not Employed","general elemantary","","","",""
"15","1984","Not Employed","middle vocational","","","",""
"15","1984","Not Employed","vocational + Abi","","","",""
"15","1984","Not Employed","higher vocational","","","",""
"15","1984","Not Employed","higher education","","","",""
"15","1984","Employed","in school","","","",""
"15","1984","Employed","inadequately","","","",""
"15","1984","Employed","general elemantary","","","",""
"15","1984","Employed","middle vocational","","","",""
"15","1984","Employed","vocational + Abi","","","",""
"15","1984","Employed","higher vocational","","","",""
"15","1984","Employed","higher education","","","",""
"16","1984","Not Employed","in school","","","",""
"16","1984","Not Employed","inadequately","","","",""
"16","1984","Not Employed","general elemantary","","","",""
"16","1984","Not Employed","middle vocational","","","",""
"16","1984","Not Employed","vocational + Abi","","","",""
"16","1984","Not Employed","higher vocational","","","",""
"16","1984","Not Employed","higher education","","","",""
"16","1984","Employed","in school","","","",""
"16","1984","Employed","inadequately","","","",""
"16","1984","Employed","general elemantary","","","",""
"16","1984","Employed","middle vocational","","","",""
"16","1984","Employed","vocational + Abi","","","",""
"16","1984","Employed","higher vocational","","","",""
"16","1984","Employed","higher education","","","",""
"17","1984","Not Employed","in school","","","",""
"17","1984","Not Employed","inadequately","","","",""
"17","1984","Not Employed","general elemantary","","","",""
"17","1984","Not Employed","middle vocational","","","",""
"17","1984","Not Employed","vocational + Abi","","","",""
"17","1984","Not Employed","higher vocational","","","",""
"17","1984","Not Employed","higher education","","","",""
"17","1984","Employed","in school","","","",""
"17","1984","Employed","inadequately","","","",""
"17","1984","Employed","general elemantary","","","",""
"17","1984","Employed","middle vocational","1","","",""
"17","1984","Employed","vocational + Abi","","","",""
"17","1984","Employed","higher vocational","","","",""
"17","1984","Employed","higher education","","","",""
"18","1984","Not Employed","in school","1","","",""
"18","1984","Not Employed","inadequately","","","",""
"18","1984","Not Employed","general elemantary","4","","",""
"18","1984","Not Employed","middle vocational","5","","",""
"18","1984","Not Employed","vocational + Abi","","","",""
"18","1984","Not Employed","higher vocational","","","",""
"18","1984","Not Employed","higher education","","","",""
"18","1984","Employed","in school","","","",""
"18","1984","Employed","inadequately","1","","",""
"18","1984","Employed","general elemantary","","","",""
"18","1984","Employed","middle vocational","3","","",""
"18","1984","Employed","vocational + Abi","","","",""
"18","1984","Employed","higher vocational","","","",""
"18","1984","Employed","higher education","2","","",""
"19","1984","Not Employed","in school","","","",""
"19","1984","Not Employed","inadequately","","","",""
"19","1984","Not Employed","general elemantary","1","","",""
"19","1984","Not Employed","middle vocational","","","",""
"19","1984","Not Employed","vocational + Abi","1","","",""
"19","1984","Not Employed","higher vocational","","","",""
"19","1984","Not Employed","higher education","","","",""
"19","1984","Employed","in school","","","",""
"19","1984","Employed","inadequately","","","",""
"19","1984","Employed","general elemantary","2","","",""
"19","1984","Employed","middle vocational","2","","",""
"19","1984","Employed","vocational + Abi","","","",""
"19","1984","Employed","higher vocational","","","",""
"19","1984","Employed","higher education","2","","",""
"20","1984","Not Employed","in school","","","",""
"20","1984","Not Employed","inadequately","","","",""
"20","1984","Not Employed","general elemantary","1","","",""
"20","1984","Not Employed","middle vocational","","","",""
"20","1984","Not Employed","vocational + Abi","","","",""
"20","1984","Not Employed","higher vocational","","","",""
"20","1984","Not Employed","higher education","","","",""
"20","1984","Employed","in school","","","",""
"20","1984","Employed","inadequately","","","",""
"20","1984","Employed","general elemantary","","","",""
"20","1984","Employed","middle vocational","1","","",""
"20","1984","Employed","vocational + Abi","","","",""
"20","1984","Employed","higher vocational","","","",""
"20","1984","Employed","higher education","","","",""
"21","1984","Not Employed","in school","","","",""
"21","1984","Not Employed","inadequately","","","",""
"21","1984","Not Employed","general elemantary","1","","",""
"21","1984","Not Employed","middle vocational","","","",""
"21","1984","Not Employed","vocational + Abi","","","",""
"21","1984","Not Employed","higher vocational","","","",""
"21","1984","Not Employed","higher education","","","",""
"21","1984","Employed","in school","","","",""
"21","1984","Employed","inadequately","","","",""
"21","1984","Employed","general elemantary","","","",""
"21","1984","Employed","middle vocational","","","",""
"21","1984","Employed","vocational + Abi","","","",""
"21","1984","Employed","higher vocational","","","",""
"21","1984","Employed","higher education","","","",""
"22","1984","Not Employed","in school","","","",""
"22","1984","Not Employed","inadequately","","","",""
"22","1984","Not Employed","general elemantary","","","",""
"22","1984","Not Employed","middle vocational","3","","",""
"22","1984","Not Employed","vocational + Abi","","","",""
"22","1984","Not Employed","higher vocational","4","","",""
"22","1984","Not Employed","higher education","","","",""
"22","1984","Employed","in school","","","",""
"22","1984","Employed","inadequately","","","",""
"22","1984","Employed","general elemantary","","","",""
"22","1984","Employed","middle vocational","1","","",""
"22","1984","Employed","vocational + Abi","","","",""
"22","1984","Employed","higher vocational","1","","",""
"22","1984","Employed","higher education","","","",""
"23","1984","Not Employed","in school","","","",""
"23","1984","Not Employed","inadequately","","","",""
"23","1984","Not Employed","general elemantary","","","",""
"23","1984","Not Employed","middle vocational","","","",""
"23","1984","Not Employed","vocational + Abi","","","",""
"23","1984","Not Employed","higher vocational","","","",""
"23","1984","Not Employed","higher education","2","","",""
"23","1984","Employed","in school","","","",""
"23","1984","Employed","inadequately","","","",""
"23","1984","Employed","general elemantary","","","",""
"23","1984","Employed","middle vocational","","","",""
"23","1984","Employed","vocational + Abi","","","",""
"23","1984","Employed","higher vocational","","","",""
"23","1984","Employed","higher education","3","","",""
"24","1984","Not Employed","in school","","","",""
"24","1984","Not Employed","inadequately","","","",""
"24","1984","Not Employed","general elemantary","","","",""
"24","1984","Not Employed","middle vocational","1","","",""
"24","1984","Not Employed","vocational + Abi","","","",""
"24","1984","Not Employed","higher vocational","","","",""
"24","1984","Not Employed","higher education","1","","",""
"24","1984","Employed","in school","","","",""
"24","1984","Employed","inadequately","","","",""
"24","1984","Employed","general elemantary","","","",""
"24","1984","Employed","middle vocational","","","",""
"24","1984","Employed","vocational + Abi","","","",""
"24","1984","Employed","higher vocational","","","",""
"24","1984","Employed","higher education","","","",""
"25","1984","Not Employed","in school","","","",""
"25","1984","Not Employed","inadequately","","","",""
"25","1984","Not Employed","general elemantary","1","","",""
"25","1984","Not Employed","middle vocational","","","",""
"25","1984","Not Employed","vocational + Abi","","","",""
"25","1984","Not Employed","higher vocational","","","",""
"25","1984","Not Employed","higher education","","","",""
"25","1984","Employed","in school","","","",""
"25","1984","Employed","inadequately","","","",""
"25","1984","Employed","general elemantary","","","",""
"25","1984","Employed","middle vocational","","","",""
"25","1984","Employed","vocational + Abi","","","",""
"25","1984","Employed","higher vocational","","","",""
"25","1984","Employed","higher education","1","","",""
"26","1984","Not Employed","in school","","","",""
"26","1984","Not Employed","inadequately","","","",""
"26","1984","Not Employed","general elemantary","","","",""
"26","1984","Not Employed","middle vocational","","","",""
"26","1984","Not Employed","vocational + Abi","","","",""
"26","1984","Not Employed","higher vocational","","","",""
"26","1984","Not Employed","higher education","","","",""
"26","1984","Employed","in school","","","",""
"26","1984","Employed","inadequately","","","",""
"26","1984","Employed","general elemantary","","","",""
"26","1984","Employed","middle vocational","","","",""
"26","1984","Employed","vocational + Abi","1","","",""
"26","1984","Employed","higher vocational","","","",""
"26","1984","Employed","higher education","1","","",""
"27","1984","Not Employed","in school","","","",""
"27","1984","Not Employed","inadequately","","","",""
"27","1984","Not Employed","general elemantary","","","",""
"27","1984","Not Employed","middle vocational","","","",""
"27","1984","Not Employed","vocational + Abi","","","",""
"27","1984","Not Employed","higher vocational","","","",""
"27","1984","Not Employed","higher education","","","",""
"27","1984","Employed","in school","","","",""
"27","1984","Employed","inadequately","","","",""
"27","1984","Employed","general elemantary","","","",""
"27","1984","Employed","middle vocational","","","",""
"27","1984","Employed","vocational + Abi","","","",""
"27","1984","Employed","higher vocational","","","",""
"27","1984","Employed","higher education","","","",""
"28","1984","Not Employed","in school","","","",""
"28","1984","Not Employed","inadequately","","","",""
"28","1984","Not Employed","general elemantary","2","","",""
"28","1984","Not Employed","middle vocational","","","",""
"28","1984","Not Employed","vocational + Abi","","","",""
"28","1984","Not Employed","higher vocational","","","",""
"28","1984","Not Employed","higher education","","","",""
"28","1984","Employed","in school","","","",""
"28","1984","Employed","inadequately","","","",""
"28","1984","Employed","general elemantary","","","",""
"28","1984","Employed","middle vocational","2","","",""
"28","1984","Employed","vocational + Abi","","","",""
"28","1984","Employed","higher vocational","","","",""
"28","1984","Employed","higher education","","","",""
"29","1984","Not Employed","in school","","","",""
"29","1984","Not Employed","inadequately","","","",""
"29","1984","Not Employed","general elemantary","","","",""
"29","1984","Not Employed","middle vocational","","","",""
"29","1984","Not Employed","vocational + Abi","","","",""
"29","1984","Not Employed","higher vocational","","","",""
"29","1984","Not Employed","higher education","","","",""
"29","1984","Employed","in school","","","",""
"29","1984","Employed","inadequately","","","",""
"29","1984","Employed","general elemantary","","","",""
"29","1984","Employed","middle vocational","1","","",""
"29","1984","Employed","vocational + Abi","","","",""
"29","1984","Employed","higher vocational","","","",""
"29","1984","Employed","higher education","","","",""
"30","1984","Not Employed","in school","","","",""
"30","1984","Not Employed","inadequately","","","",""
"30","1984","Not Employed","general elemantary","","","",""
"30","1984","Not Employed","middle vocational","","","",""
"30","1984","Not Employed","vocational + Abi","","","",""
"30","1984","Not Employed","higher vocational","","","",""
"30","1984","Not Employed","higher education","","","",""
"30","1984","Employed","in school","","","",""
"30","1984","Employed","inadequately","","","",""
"30","1984","Employed","general elemantary","","","",""
"30","1984","Employed","middle vocational","","","",""
"30","1984","Employed","vocational + Abi","","","",""
"30","1984","Employed","higher vocational","","","",""
"30","1984","Employed","higher education","","","",""
"31","1984","Not Employed","in school","","","",""
"31","1984","Not Employed","inadequately","","","",""
"31","1984","Not Employed","general elemantary","","","",""
"31","1984","Not Employed","middle vocational","","","",""
"31","1984","Not Employed","vocational + Abi","","","",""
"31","1984","Not Employed","higher vocational","1","","",""
"31","1984","Not Employed","higher education","","","",""
"31","1984","Employed","in school","","","",""
"31","1984","Employed","inadequately","","","",""
"31","1984","Employed","general elemantary","","","",""
"31","1984","Employed","middle vocational","1","","",""
"31","1984","Employed","vocational + Abi","1","","",""
"31","1984","Employed","higher vocational","","","",""
"31","1984","Employed","higher education","","","",""
"32","1984","Not Employed","in school","","","",""
"32","1984","Not Employed","inadequately","","","",""
"32","1984","Not Employed","general elemantary","","","",""
"32","1984","Not Employed","middle vocational","","","",""
"32","1984","Not Employed","vocational + Abi","","","",""
"32","1984","Not Employed","higher vocational","","","",""
"32","1984","Not Employed","higher education","","","",""
"32","1984","Employed","in school","","","",""
"32","1984","Employed","inadequately","","","",""
"32","1984","Employed","general elemantary","","","",""
"32","1984","Employed","middle vocational","","","",""
"32","1984","Employed","vocational + Abi","","","",""
"32","1984","Employed","higher vocational","","","",""
"32","1984","Employed","higher education","","","",""
"34","1984","Not Employed","in school","","","",""
"34","1984","Not Employed","inadequately","1","","",""
"34","1984","Not Employed","general elemantary","","","",""
"34","1984","Not Employed","middle vocational","","","",""
"34","1984","Not Employed","vocational + Abi","1","","",""
"34","1984","Not Employed","higher vocational","","","",""
"34","1984","Not Employed","higher education","","","",""
"34","1984","Employed","in school","","","",""
"34","1984","Employed","inadequately","","","",""
"34","1984","Employed","general elemantary","1","","",""
"34","1984","Employed","middle vocational","","","",""
"34","1984","Employed","vocational + Abi","","","",""
"34","1984","Employed","higher vocational","1","","",""
"34","1984","Employed","higher education","","","",""
"35","1984","Not Employed","in school","","","",""
"35","1984","Not Employed","inadequately","","","",""
"35","1984","Not Employed","general elemantary","","","",""
"35","1984","Not Employed","middle vocational","","","",""
"35","1984","Not Employed","vocational + Abi","","","",""
"35","1984","Not Employed","higher vocational","","","",""
"35","1984","Not Employed","higher education","","","",""
"35","1984","Employed","in school","","","",""
"35","1984","Employed","inadequately","","","",""
"35","1984","Employed","general elemantary","","","",""
"35","1984","Employed","middle vocational","","","",""
"35","1984","Employed","vocational + Abi","","","",""
"35","1984","Employed","higher vocational","","","",""
"35","1984","Employed","higher education","","","",""
"36","1984","Not Employed","in school","","","",""
"36","1984","Not Employed","inadequately","","","",""
"36","1984","Not Employed","general elemantary","1","","",""
"36","1984","Not Employed","middle vocational","","","",""
"36","1984","Not Employed","vocational + Abi","","","",""
"36","1984","Not Employed","higher vocational","","","",""
"36","1984","Not Employed","higher education","","","",""
"36","1984","Employed","in school","","","",""
"36","1984","Employed","inadequately","","","",""
"36","1984","Employed","general elemantary","","","",""
"36","1984","Employed","middle vocational","","","",""
"36","1984","Employed","vocational + Abi","","","",""
"36","1984","Employed","higher vocational","","","",""
"36","1984","Employed","higher education","","","",""
"37","1984","Not Employed","in school","","","",""
"37","1984","Not Employed","inadequately","","","",""
"37","1984","Not Employed","general elemantary","","","",""
"37","1984","Not Employed","middle vocational","","","",""
"37","1984","Not Employed","vocational + Abi","","","",""
"37","1984","Not Employed","higher vocational","","","",""
"37","1984","Not Employed","higher education","","","",""
"37","1984","Employed","in school","","","",""
"37","1984","Employed","inadequately","","","",""
"37","1984","Employed","general elemantary","","","",""
"37","1984","Employed","middle vocational","","","",""
"37","1984","Employed","vocational + Abi","","","",""
"37","1984","Employed","higher vocational","","","",""
"37","1984","Employed","higher education","","","",""
"38","1984","Not Employed","in school","","","",""
"38","1984","Not Employed","inadequately","","","",""
"38","1984","Not Employed","general elemantary","","","",""
"38","1984","Not Employed","middle vocational","1","","",""
"38","1984","Not Employed","vocational + Abi","","","",""
"38","1984","Not Employed","higher vocational","","","",""
"38","1984","Not Employed","higher education","","","",""
"38","1984","Employed","in school","","","",""
"38","1984","Employed","inadequately","","","",""
"38","1984","Employed","general elemantary","","","",""
"38","1984","Employed","middle vocational","","","",""
"38","1984","Employed","vocational + Abi","","","",""
"38","1984","Employed","higher vocational","1","","",""
"38","1984","Employed","higher education","","","",""
"39","1984","Not Employed","in school","","","",""
"39","1984","Not Employed","inadequately","","","",""
"39","1984","Not Employed","general elemantary","","","",""
"39","1984","Not Employed","middle vocational","","","",""
"39","1984","Not Employed","vocational + Abi","","","",""
"39","1984","Not Employed","higher vocational","","","",""
"39","1984","Not Employed","higher education","","","",""
"39","1984","Employed","in school","","","",""
"39","1984","Employed","inadequately","","","",""
"39","1984","Employed","general elemantary","1","","",""
"39","1984","Employed","middle vocational","","","",""
"39","1984","Employed","vocational + Abi","","","",""
"39","1984","Employed","higher vocational","","","",""
"39","1984","Employed","higher education","","","",""
"40","1984","Not Employed","in school","","","",""
"40","1984","Not Employed","inadequately","","","",""
"40","1984","Not Employed","general elemantary","","","",""
"40","1984","Not Employed","middle vocational","","","",""
"40","1984","Not Employed","vocational + Abi","","","",""
"40","1984","Not Employed","higher vocational","","","",""
"40","1984","Not Employed","higher education","1","","",""
"40","1984","Employed","in school","","","",""
"40","1984","Employed","inadequately","","","",""
"40","1984","Employed","general elemantary","","","",""
"40","1984","Employed","middle vocational","","","",""
"40","1984","Employed","vocational + Abi","","","",""
"40","1984","Employed","higher vocational","","","",""
"40","1984","Employed","higher education","","","",""
"41","1984","Not Employed","in school","","","",""
"41","1984","Not Employed","inadequately","","","",""
"41","1984","Not Employed","general elemantary","","","",""
"41","1984","Not Employed","middle vocational","1","","",""
"41","1984","Not Employed","vocational + Abi","","","",""
"41","1984","Not Employed","higher vocational","","","",""
"41","1984","Not Employed","higher education","","","",""
"41","1984","Employed","in school","","","",""
"41","1984","Employed","inadequately","","","",""
"41","1984","Employed","general elemantary","","","",""
"41","1984","Employed","middle vocational","","","",""
"41","1984","Employed","vocational + Abi","","","",""
"41","1984","Employed","higher vocational","","","",""
"41","1984","Employed","higher education","","","",""
"42","1984","Not Employed","in school","","","",""
"42","1984","Not Employed","inadequately","","","",""
"42","1984","Not Employed","general elemantary","","","",""
"42","1984","Not Employed","middle vocational","","","",""
"42","1984","Not Employed","vocational + Abi","","","",""
"42","1984","Not Employed","higher vocational","","","",""
"42","1984","Not Employed","higher education","","","",""
"42","1984","Employed","in school","","","",""
"42","1984","Employed","inadequately","","","",""
"42","1984","Employed","general elemantary","","","",""
"42","1984","Employed","middle vocational","","","",""
"42","1984","Employed","vocational + Abi","1","","",""
"42","1984","Employed","higher vocational","","","",""
"42","1984","Employed","higher education","","","",""
"43","1984","Not Employed","in school","","","",""
"43","1984","Not Employed","inadequately","1","","",""
"43","1984","Not Employed","general elemantary","","","",""
"43","1984","Not Employed","middle vocational","","","",""
"43","1984","Not Employed","vocational + Abi","","","",""
"43","1984","Not Employed","higher vocational","","","",""
"43","1984","Not Employed","higher education","","","",""
"43","1984","Employed","in school","","","",""
"43","1984","Employed","inadequately","","","",""
"43","1984","Employed","general elemantary","","","",""
"43","1984","Employed","middle vocational","","","",""
"43","1984","Employed","vocational + Abi","","","",""
"43","1984","Employed","higher vocational","","","",""
"43","1984","Employed","higher education","1","","",""
"44","1984","Not Employed","in school","","","",""
"44","1984","Not Employed","inadequately","","","",""
"44","1984","Not Employed","general elemantary","","","",""
"44","1984","Not Employed","middle vocational","","","",""
"44","1984","Not Employed","vocational + Abi","","","",""
"44","1984","Not Employed","higher vocational","","","",""
"44","1984","Not Employed","higher education","","","",""
"44","1984","Employed","in school","","","",""
"44","1984","Employed","inadequately","","","",""
"44","1984","Employed","general elemantary","","","",""
"44","1984","Employed","middle vocational","","","",""
"44","1984","Employed","vocational + Abi","","","",""
"44","1984","Employed","higher vocational","","","",""
"44","1984","Employed","higher education","","","",""
"45","1984","Not Employed","in school","","","",""
"45","1984","Not Employed","inadequately","","","",""
"45","1984","Not Employed","general elemantary","","","",""
"45","1984","Not Employed","middle vocational","","","",""
"45","1984","Not Employed","vocational + Abi","","","",""
"45","1984","Not Employed","higher vocational","","","",""
"45","1984","Not Employed","higher education","","","",""
"45","1984","Employed","in school","","","",""
"45","1984","Employed","inadequately","","","",""
"45","1984","Employed","general elemantary","","","",""
"45","1984","Employed","middle vocational","","","",""
"45","1984","Employed","vocational + Abi","","","",""
"45","1984","Employed","higher vocational","","","",""
"45","1984","Employed","higher education","","","",""
"46","1984","Not Employed","in school","","","",""
"46","1984","Not Employed","inadequately","","","",""
"46","1984","Not Employed","general elemantary","","","",""
"46","1984","Not Employed","middle vocational","","","",""
"46","1984","Not Employed","vocational + Abi","","","",""
"46","1984","Not Employed","higher vocational","","","",""
"46","1984","Not Employed","higher education","","","",""
"46","1984","Employed","in school","","","",""
"46","1984","Employed","inadequately","","","",""
"46","1984","Employed","general elemantary","","","",""
"46","1984","Employed","middle vocational","","","",""
"46","1984","Employed","vocational + Abi","","","",""
"46","1984","Employed","higher vocational","","","",""
"46","1984","Employed","higher education","","","",""
"47","1984","Not Employed","in school","","","",""
"47","1984","Not Employed","inadequately","","","",""
"47","1984","Not Employed","general elemantary","","","",""
"47","1984","Not Employed","middle vocational","","","",""
"47","1984","Not Employed","vocational + Abi","","","",""
"47","1984","Not Employed","higher vocational","","","",""
"47","1984","Not Employed","higher education","","","",""
"47","1984","Employed","in school","","","",""
"47","1984","Employed","inadequately","","","",""
"47","1984","Employed","general elemantary","","","",""
"47","1984","Employed","middle vocational","","","",""
