"pgnation","year","migback","n","percent","lower_confidence","upper_confidence"
"36","1984","no migration background","","","",""
"36","1984","direct migration background","1","","",""
"36","1984","indirect migration background","","","",""
"37","1984","no migration background","","","",""
"37","1984","direct migration background","","","",""
"37","1984","indirect migration background","","","",""
"38","1984","no migration background","","","",""
"38","1984","direct migration background","2","","",""
"38","1984","indirect migration background","","","",""
"39","1984","no migration background","","","",""
"39","1984","direct migration background","1","","",""
"39","1984","indirect migration background","","","",""
"40","1984","no migration background","","","",""
"40","1984","direct migration background","1","","",""
"40","1984","indirect migration background","","","",""
"41","1984","no migration background","","","",""
"41","1984","direct migration background","1","","",""
"41","1984","indirect migration background","","","",""
"42","1984","no migration background","","","",""
"42","1984","direct migration background","1","","",""
"42","1984","indirect migration background","","","",""
"43","1984","no migration background","","","",""
"43","1984","direct migration background","2","","",""
"43","1984","indirect migration background","","","",""
"44","1984","no migration background","","","",""
"44","1984","direct migration background","","","",""
"44","1984","indirect migration background","","","",""
"45","1984","no migration background","","","",""
"45","1984","direct migration background","","","",""
"45","1984","indirect migration background","","","",""
"46","1984","no migration background","","","",""
"46","1984","direct migration background","","","",""
"46","1984","indirect migration background","","","",""
"47","1984","no migration background","","","",""
"47","1984","direct migration background","","","",""
"47","1984","indirect migration background","","","",""
"48","1984","no migration background","","","",""
"48","1984","direct migration background","","","",""
"48","1984","indirect migration background","","","",""
"49","1984","no migration background","","","",""
"49","1984","direct migration background","","","",""
"49","1984","indirect migration background","","","",""
"50","1984","no migration background","","","",""
"50","1984","direct migration background","","","",""
"50","1984","indirect migration background","","","",""
"51","1984","no migration background","","","",""
"51","1984","direct migration background","","","",""
"51","1984","indirect migration background","","","",""
"52","1984","no migration background","","","",""
"52","1984","direct migration background","","","",""
"52","1984","indirect migration background","","","",""
"53","1984","no migration background","","","",""
"53","1984","direct migration background","","","",""
"53","1984","indirect migration background","","","",""
"54","1984","no migration background","","","",""
"54","1984","direct migration background","","","",""
"54","1984","indirect migration background","","","",""
"55","1984","no migration background","","","",""
"55","1984","direct migration background","","","",""
"55","1984","indirect migration background","","","",""
"56","1984","no migration background","","","",""
"56","1984","direct migration background","","","",""
"56","1984","indirect migration background","","","",""
"59","1984","no migration background","","","",""
"59","1984","direct migration background","","","",""
"59","1984","indirect migration background","","","",""
"60","1984","no migration background","","","",""
"60","1984","direct migration background","","","",""
"60","1984","indirect migration background","","","",""
"61","1984","no migration background","","","",""
"61","1984","direct migration background","","","",""
"61","1984","indirect migration background","","","",""
"64","1984","no migration background","","","",""
"64","1984","direct migration background","","","",""
"64","1984","indirect migration background","","","",""
"65","1984","no migration background","","","",""
"65","1984","direct migration background","","","",""
"65","1984","indirect migration background","","","",""
"66","1984","no migration background","","","",""
"66","1984","direct migration background","","","",""
"66","1984","indirect migration background","","","",""
"67","1984","no migration background","","","",""
"67","1984","direct migration background","","","",""
"67","1984","indirect migration background","","","",""
"68","1984","no migration background","","","",""
"68","1984","direct migration background","","","",""
"68","1984","indirect migration background","","","",""
"71","1984","no migration background","","","",""
"71","1984","direct migration background","","","",""
"71","1984","indirect migration background","","","",""
"72","1984","no migration background","","","",""
"72","1984","direct migration background","","","",""
"72","1984","indirect migration background","","","",""
"73","1984","no migration background","","","",""
"73","1984","direct migration background","","","",""
"73","1984","indirect migration background","","","",""
"74","1984","no migration background","","","",""
"74","1984","direct migration background","","","",""
"74","1984","indirect migration background","","","",""
"75","1984","no migration background","","","",""
"75","1984","direct migration background","","","",""
"75","1984","indirect migration background","","","",""
"76","1984","no migration background","","","",""
"76","1984","direct migration background","","","",""
"76","1984","indirect migration background","","","",""
"77","1984","no migration background","","","",""
"77","1984","direct migration background","","","",""
"77","1984","indirect migration background","","","",""
"78","1984","no migration background","","","",""
"78","1984","direct migration background","","","",""
"78","1984","indirect migration background","","","",""
"79","1984","no migration background","","","",""
"79","1984","direct migration background","","","",""
"79","1984","indirect migration background","","","",""
"80","1984","no migration background","","","",""
"80","1984","direct migration background","","","",""
"80","1984","indirect migration background","","","",""
"81","1984","no migration background","","","",""
"81","1984","direct migration background","","","",""
"81","1984","indirect migration background","","","",""
"82","1984","no migration background","","","",""
"82","1984","direct migration background","","","",""
"82","1984","indirect migration background","","","",""
"83","1984","no migration background","","","",""
"83","1984","direct migration background","","","",""
"83","1984","indirect migration background","","","",""
"84","1984","no migration background","","","",""
"84","1984","direct migration background","","","",""
"84","1984","indirect migration background","","","",""
"85","1984","no migration background","","","",""
"85","1984","direct migration background","","","",""
"85","1984","indirect migration background","","","",""
"86","1984","no migration background","","","",""
"86","1984","direct migration background","","","",""
"86","1984","indirect migration background","","","",""
"89","1984","no migration background","","","",""
"89","1984","direct migration background","","","",""
"89","1984","indirect migration background","","","",""
"90","1984","no migration background","","","",""
"90","1984","direct migration background","","","",""
"90","1984","indirect migration background","","","",""
"92","1984","no migration background","","","",""
"92","1984","direct migration background","","","",""
"92","1984","indirect migration background","","","",""
"94","1984","no migration background","","","",""
"94","1984","direct migration background","","","",""
"94","1984","indirect migration background","","","",""
"95","1984","no migration background","","","",""
"95","1984","direct migration background","","","",""
"95","1984","indirect migration background","","","",""
"96","1984","no migration background","","","",""
"96","1984","direct migration background","","","",""
"96","1984","indirect migration background","","","",""
"97","1984","no migration background","","","",""
"97","1984","direct migration background","","","",""
"97","1984","indirect migration background","","","",""
"98","1984","no migration background","1","","",""
"98","1984","direct migration background","7","","",""
"98","1984","indirect migration background","2","","",""
"101","1984","no migration background","","","",""
"101","1984","direct migration background","","","",""
"101","1984","indirect migration background","","","",""
"102","1984","no migration background","","","",""
"102","1984","direct migration background","","","",""
"102","1984","indirect migration background","","","",""
"103","1984","no migration background","","","",""
"103","1984","direct migration background","","","",""
"103","1984","indirect migration background","","","",""
"105","1984","no migration background","","","",""
"105","1984","direct migration background","","","",""
"105","1984","indirect migration background","","","",""
"108","1984","no migration background","","","",""
"108","1984","direct migration background","","","",""
"108","1984","indirect migration background","","","",""
"110","1984","no migration background","","","",""
"110","1984","direct migration background","","","",""
"110","1984","indirect migration background","","","",""
"111","1984","no migration background","","","",""
"111","1984","direct migration background","","","",""
"111","1984","indirect migration background","","","",""
"113","1984","no migration background","","","",""
"113","1984","direct migration background","","","",""
"113","1984","indirect migration background","","","",""
"116","1984","no migration background","","","",""
"116","1984","direct migration background","","","",""
"116","1984","indirect migration background","","","",""
"117","1984","no migration background","","","",""
"117","1984","direct migration background","","","",""
"117","1984","indirect migration background","","","",""
"118","1984","no migration background","","","",""
"118","1984","direct migration background","","","",""
"118","1984","indirect migration background","","","",""
"119","1984","no migration background","","","",""
"119","1984","direct migration background","","","",""
"119","1984","indirect migration background","","","",""
"120","1984","no migration background","","","",""
"120","1984","direct migration background","","","",""
"120","1984","indirect migration background","","","",""
"121","1984","no migration background","","","",""
"121","1984","direct migration background","","","",""
"121","1984","indirect migration background","","","",""
"122","1984","no migration background","","","",""
"122","1984","direct migration background","","","",""
"122","1984","indirect migration background","","","",""
"123","1984","no migration background","","","",""
"123","1984","direct migration background","","","",""
"123","1984","indirect migration background","","","",""
"124","1984","no migration background","","","",""
"124","1984","direct migration background","","","",""
"124","1984","indirect migration background","","","",""
"125","1984","no migration background","","","",""
"125","1984","direct migration background","","","",""
"125","1984","indirect migration background","","","",""
"127","1984","no migration background","","","",""
"127","1984","direct migration background","","","",""
"127","1984","indirect migration background","","","",""
"128","1984","no migration background","","","",""
"128","1984","direct migration background","","","",""
"128","1984","indirect migration background","","","",""
"129","1984","no migration background","","","",""
"129","1984","direct migration background","","","",""
"129","1984","indirect migration background","","","",""
"130","1984","no migration background","","","",""
"130","1984","direct migration background","","","",""
"130","1984","indirect migration background","","","",""
"131","1984","no migration background","","","",""
"131","1984","direct migration background","","","",""
"131","1984","indirect migration background","","","",""
"132","1984","no migration background","","","",""
"132","1984","direct migration background","","","",""
"132","1984","indirect migration background","","","",""
"133","1984","no migration background","","","",""
"133","1984","direct migration background","","","",""
"133","1984","indirect migration background","","","",""
"135","1984","no migration background","","","",""
"135","1984","direct migration background","","","",""
"135","1984","indirect migration background","","","",""
"138","1984","no migration background","","","",""
"138","1984","direct migration background","","","",""
"138","1984","indirect migration background","","","",""
"139","1984","no migration background","","","",""
"139","1984","direct migration background","","","",""
"139","1984","indirect migration background","","","",""
"140","1984","no migration background","","","",""
"140","1984","direct migration background","","","",""
"140","1984","indirect migration background","","","",""
"141","1984","no migration background","","","",""
"141","1984","direct migration background","","","",""
"141","1984","indirect migration background","","","",""
"142","1984","no migration background","","","",""
"142","1984","direct migration background","","","",""
"142","1984","indirect migration background","","","",""
"143","1984","no migration background","","","",""
"143","1984","direct migration background","","","",""
"143","1984","indirect migration background","","","",""
"144","1984","no migration background","","","",""
"144","1984","direct migration background","","","",""
"144","1984","indirect migration background","","","",""
"145","1984","no migration background","","","",""
"145","1984","direct migration background","","","",""
"145","1984","indirect migration background","","","",""
"146","1984","no migration background","","","",""
"146","1984","direct migration background","","","",""
"146","1984","indirect migration background","","","",""
"147","1984","no migration background","","","",""
"147","1984","direct migration background","","","",""
"147","1984","indirect migration background","","","",""
"148","1984","no migration background","","","",""
"148","1984","direct migration background","","","",""
"148","1984","indirect migration background","","","",""
"149","1984","no migration background","","","",""
"149","1984","direct migration background","","","",""
"149","1984","indirect migration background","","","",""
"151","1984","no migration background","","","",""
"151","1984","direct migration background","","","",""
"151","1984","indirect migration background","","","",""
"152","1984","no migration background","","","",""
"152","1984","direct migration background","","","",""
"152","1984","indirect migration background","","","",""
"154","1984","no migration background","","","",""
"154","1984","direct migration background","","","",""
"154","1984","indirect migration background","","","",""
"155","1984","no migration background","","","",""
"155","1984","direct migration background","","","",""
"155","1984","indirect migration background","","","",""
"156","1984","no migration background","","","",""
"156","1984","direct migration background","","","",""
"156","1984","indirect migration background","","","",""
"158","1984","no migration background","","","",""
"158","1984","direct migration background","","","",""
"158","1984","indirect migration background","","","",""
"162","1984","no migration background","","","",""
"162","1984","direct migration background","","","",""
"162","1984","indirect migration background","","","",""
"164","1984","no migration background","","","",""
"164","1984","direct migration background","","","",""
"164","1984","indirect migration background","","","",""
"165","1984","no migration background","","","",""
"165","1984","direct migration background","","","",""
"165","1984","indirect migration background","","","",""
"166","1984","no migration background","","","",""
"166","1984","direct migration background","","","",""
"166","1984","indirect migration background","","","",""
"167","1984","no migration background","","","",""
"167","1984","direct migration background","","","",""
"167","1984","indirect migration background","","","",""
"168","1984","no migration background","","","",""
"168","1984","direct migration background","","","",""
"168","1984","indirect migration background","","","",""
"169","1984","no migration background","","","",""
"169","1984","direct migration background","","","",""
"169","1984","indirect migration background","","","",""
"172","1984","no migration background","","","",""
"172","1984","direct migration background","","","",""
"172","1984","indirect migration background","","","",""
"173","1984","no migration background","","","",""
"173","1984","direct migration background","","","",""
"173","1984","indirect migration background","","","",""
"178","1984","no migration background","","","",""
"178","1984","direct migration background","","","",""
"178","1984","indirect migration background","","","",""
"181","1984","no migration background","","","",""
"181","1984","direct migration background","","","",""
"181","1984","indirect migration background","","","",""
"183","1984","no migration background","","","",""
"183","1984","direct migration background","","","",""
"183","1984","indirect migration background","","","",""
"188","1984","no migration background","","","",""
"188","1984","direct migration background","","","",""
"188","1984","indirect migration background","","","",""
"195","1984","no migration background","","","",""
"195","1984","direct migration background","","","",""
"195","1984","indirect migration background","","","",""
"196","1984","no migration background","","","",""
"196","1984","direct migration background","","","",""
"196","1984","indirect migration background","","","",""
"999","1984","no migration background","","","",""
"999","1984","direct migration background","","","",""
"999","1984","indirect migration background","","","",""
"1","1985","no migration background","7989","0.99933579657714","0.998771166943112","0.999900426211169"
"1","1985","direct migration background","339","0.375511937344391","0.358022357124706","0.393001517564077"
"1","1985","indirect migration background","31","0.438809145659354","0.357757847964018","0.51986044335469"
"2","1985","no migration background","","","",""
"2","1985","direct migration background","847","0.209212581509586","0.194522330514235","0.223902832504937"
"2","1985","indirect migration background","15","","",""
"3","1985","no migration background","","","",""
"3","1985","direct migration background","477","0.117151825950156","0.105536725126232","0.128766926774081"
"3","1985","indirect migration background","12","","",""
"4","1985","no migration background","","","",""
"4","1985","direct migration background","379","0.0493755474349634","0.0415508798951903","0.0572002149747364"
"4","1985","indirect migration background","33","0.0634832763416922","0.0236584143277974","0.103308138355587"
"5","1985","no migration background","5","","",""
"5","1985","direct migration background","498","0.101988627624678","0.0910585754843822","0.112918679764974"
"5","1985","indirect migration background","26","","",""
"6","1985","no migration background","","","",""
"6","1985","direct migration background","303","0.0261003915762131","0.0203422008126862","0.0318585823397399"
"6","1985","indirect migration background","18","","",""
"10","1985","no migration background","2","","",""
"10","1985","direct migration background","27","","",""
"10","1985","indirect migration background","2","","",""
"11","1985","no migration background","","","",""
"11","1985","direct migration background","10","","",""
"11","1985","indirect migration background","2","","",""
"12","1985","no migration background","1","","",""
"12","1985","direct migration background","8","","",""
"12","1985","indirect migration background","2","","",""
"13","1985","no migration background","","","",""
"13","1985","direct migration background","","","",""
"13","1985","indirect migration background","","","",""
"14","1985","no migration background","","","",""
"14","1985","direct migration background","5","","",""
"14","1985","indirect migration background","","","",""
"15","1985","no migration background","","","",""
"15","1985","direct migration background","","","",""
"15","1985","indirect migration background","","","",""
"16","1985","no migration background","","","",""
"16","1985","direct migration background","","","",""
"16","1985","indirect migration background","","","",""
"17","1985","no migration background","","","",""
"17","1985","direct migration background","1","","",""
"17","1985","indirect migration background","","","",""
"18","1985","no migration background","","","",""
"18","1985","direct migration background","7","","",""
"18","1985","indirect migration background","1","","",""
"19","1985","no migration background","","","",""
"19","1985","direct migration background","7","","",""
"19","1985","indirect migration background","","","",""
"20","1985","no migration background","","","",""
"20","1985","direct migration background","2","","",""
"20","1985","indirect migration background","","","",""
"21","1985","no migration background","","","",""
"21","1985","direct migration background","2","","",""
"21","1985","indirect migration background","","","",""
"22","1985","no migration background","","","",""
"22","1985","direct migration background","7","","",""
"22","1985","indirect migration background","","","",""
"23","1985","no migration background","","","",""
"23","1985","direct migration background","3","","",""
"23","1985","indirect migration background","","","",""
"24","1985","no migration background","","","",""
"24","1985","direct migration background","2","","",""
"24","1985","indirect migration background","","","",""
"25","1985","no migration background","","","",""
"25","1985","direct migration background","","","",""
"25","1985","indirect migration background","","","",""
"26","1985","no migration background","","","",""
"26","1985","direct migration background","2","","",""
"26","1985","indirect migration background","","","",""
"27","1985","no migration background","","","",""
"27","1985","direct migration background","","","",""
"27","1985","indirect migration background","","","",""
"28","1985","no migration background","","","",""
"28","1985","direct migration background","","","",""
"28","1985","indirect migration background","","","",""
"29","1985","no migration background","","","",""
"29","1985","direct migration background","","","",""
"29","1985","indirect migration background","","","",""
"30","1985","no migration background","","","",""
"30","1985","direct migration background","","","",""
"30","1985","indirect migration background","","","",""
"31","1985","no migration background","","","",""
"31","1985","direct migration background","2","","",""
"31","1985","indirect migration background","","","",""
"32","1985","no migration background","","","",""
"32","1985","direct migration background","","","",""
"32","1985","indirect migration background","","","",""
"34","1985","no migration background","","","",""
"34","1985","direct migration background","1","","",""
"34","1985","indirect migration background","","","",""
"35","1985","no migration background","","","",""
"35","1985","direct migration background","","","",""
"35","1985","indirect migration background","","","",""
"36","1985","no migration background","","","",""
"36","1985","direct migration background","","","",""
"36","1985","indirect migration background","","","",""
"37","1985","no migration background","","","",""
"37","1985","direct migration background","","","",""
"37","1985","indirect migration background","","","",""
"38","1985","no migration background","","","",""
"38","1985","direct migration background","2","","",""
"38","1985","indirect migration background","","","",""
"39","1985","no migration background","","","",""
"39","1985","direct migration background","2","","",""
"39","1985","indirect migration background","","","",""
"40","1985","no migration background","","","",""
"40","1985","direct migration background","","","",""
"40","1985","indirect migration background","","","",""
"41","1985","no migration background","","","",""
"41","1985","direct migration background","1","","",""
"41","1985","indirect migration background","","","",""
"42","1985","no migration background","","","",""
"42","1985","direct migration background","1","","",""
"42","1985","indirect migration background","","","",""
"43","1985","no migration background","","","",""
"43","1985","direct migration background","2","","",""
"43","1985","indirect migration background","","","",""
"44","1985","no migration background","","","",""
"44","1985","direct migration background","1","","",""
"44","1985","indirect migration background","","","",""
"45","1985","no migration background","","","",""
"45","1985","direct migration background","","","",""
"45","1985","indirect migration background","","","",""
"46","1985","no migration background","","","",""
"46","1985","direct migration background","","","",""
"46","1985","indirect migration background","","","",""
"47","1985","no migration background","","","",""
"47","1985","direct migration background","","","",""
"47","1985","indirect migration background","","","",""
"48","1985","no migration background","","","",""
"48","1985","direct migration background","","","",""
"48","1985","indirect migration background","","","",""
"49","1985","no migration background","","","",""
"49","1985","direct migration background","","","",""
"49","1985","indirect migration background","","","",""
"50","1985","no migration background","","","",""
"50","1985","direct migration background","","","",""
"50","1985","indirect migration background","","","",""
"51","1985","no migration background","","","",""
"51","1985","direct migration background","","","",""
"51","1985","indirect migration background","","","",""
"52","1985","no migration background","","","",""
"52","1985","direct migration background","","","",""
"52","1985","indirect migration background","","","",""
"53","1985","no migration background","","","",""
"53","1985","direct migration background","","","",""
"53","1985","indirect migration background","","","",""
"54","1985","no migration background","","","",""
"54","1985","direct migration background","","","",""
"54","1985","indirect migration background","","","",""
"55","1985","no migration background","","","",""
"55","1985","direct migration background","","","",""
"55","1985","indirect migration background","","","",""
"56","1985","no migration background","","","",""
"56","1985","direct migration background","","","",""
"56","1985","indirect migration background","","","",""
"59","1985","no migration background","","","",""
"59","1985","direct migration background","","","",""
"59","1985","indirect migration background","","","",""
"60","1985","no migration background","","","",""
"60","1985","direct migration background","","","",""
"60","1985","indirect migration background","","","",""
"61","1985","no migration background","","","",""
"61","1985","direct migration background","","","",""
"61","1985","indirect migration background","","","",""
"64","1985","no migration background","","","",""
"64","1985","direct migration background","","","",""
"64","1985","indirect migration background","","","",""
"65","1985","no migration background","","","",""
"65","1985","direct migration background","","","",""
"65","1985","indirect migration background","","","",""
"66","1985","no migration background","","","",""
"66","1985","direct migration background","","","",""
"66","1985","indirect migration background","","","",""
"67","1985","no migration background","","","",""
"67","1985","direct migration background","","","",""
"67","1985","indirect migration background","","","",""
"68","1985","no migration background","","","",""
"68","1985","direct migration background","","","",""
"68","1985","indirect migration background","","","",""
"71","1985","no migration background","","","",""
"71","1985","direct migration background","","","",""
"71","1985","indirect migration background","","","",""
"72","1985","no migration background","","","",""
"72","1985","direct migration background","","","",""
"72","1985","indirect migration background","","","",""
"73","1985","no migration background","","","",""
"73","1985","direct migration background","","","",""
"73","1985","indirect migration background","","","",""
"74","1985","no migration background","","","",""
"74","1985","direct migration background","","","",""
"74","1985","indirect migration background","","","",""
"75","1985","no migration background","","","",""
"75","1985","direct migration background","","","",""
"75","1985","indirect migration background","","","",""
"76","1985","no migration background","","","",""
"76","1985","direct migration background","","","",""
"76","1985","indirect migration background","","","",""
"77","1985","no migration background","","","",""
"77","1985","direct migration background","","","",""
"77","1985","indirect migration background","","","",""
"78","1985","no migration background","","","",""
"78","1985","direct migration background","","","",""
"78","1985","indirect migration background","","","",""
"79","1985","no migration background","","","",""
"79","1985","direct migration background","","","",""
"79","1985","indirect migration background","","","",""
"80","1985","no migration background","","","",""
"80","1985","direct migration background","","","",""
"80","1985","indirect migration background","","","",""
"81","1985","no migration background","","","",""
"81","1985","direct migration background","","","",""
"81","1985","indirect migration background","","","",""
"82","1985","no migration background","","","",""
"82","1985","direct migration background","","","",""
"82","1985","indirect migration background","","","",""
"83","1985","no migration background","","","",""
"83","1985","direct migration background","","","",""
"83","1985","indirect migration background","","","",""
"84","1985","no migration background","","","",""
"84","1985","direct migration background","","","",""
"84","1985","indirect migration background","","","",""
"85","1985","no migration background","","","",""
"85","1985","direct migration background","","","",""
"85","1985","indirect migration background","","","",""
"86","1985","no migration background","","","",""
"86","1985","direct migration background","","","",""
"86","1985","indirect migration background","","","",""
"89","1985","no migration background","","","",""
"89","1985","direct migration background","","","",""
"89","1985","indirect migration background","","","",""
"90","1985","no migration background","","","",""
"90","1985","direct migration background","","","",""
"90","1985","indirect migration background","","","",""
"92","1985","no migration background","","","",""
"92","1985","direct migration background","","","",""
"92","1985","indirect migration background","","","",""
"94","1985","no migration background","","","",""
"94","1985","direct migration background","","","",""
"94","1985","indirect migration background","","","",""
"95","1985","no migration background","","","",""
"95","1985","direct migration background","","","",""
"95","1985","indirect migration background","","","",""
"96","1985","no migration background","","","",""
"96","1985","direct migration background","","","",""
"96","1985","indirect migration background","","","",""
"97","1985","no migration background","","","",""
"97","1985","direct migration background","","","",""
"97","1985","indirect migration background","","","",""
"98","1985","no migration background","1","","",""
"98","1985","direct migration background","7","","",""
"98","1985","indirect migration background","2","","",""
"101","1985","no migration background","","","",""
"101","1985","direct migration background","","","",""
"101","1985","indirect migration background","","","",""
"102","1985","no migration background","","","",""
"102","1985","direct migration background","","","",""
"102","1985","indirect migration background","","","",""
"103","1985","no migration background","","","",""
"103","1985","direct migration background","","","",""
"103","1985","indirect migration background","","","",""
"105","1985","no migration background","","","",""
"105","1985","direct migration background","","","",""
"105","1985","indirect migration background","","","",""
"108","1985","no migration background","","","",""
"108","1985","direct migration background","","","",""
"108","1985","indirect migration background","","","",""
"110","1985","no migration background","","","",""
"110","1985","direct migration background","","","",""
"110","1985","indirect migration background","","","",""
"111","1985","no migration background","","","",""
"111","1985","direct migration background","","","",""
"111","1985","indirect migration background","","","",""
"113","1985","no migration background","","","",""
"113","1985","direct migration background","","","",""
"113","1985","indirect migration background","","","",""
"116","1985","no migration background","","","",""
"116","1985","direct migration background","","","",""
"116","1985","indirect migration background","","","",""
"117","1985","no migration background","","","",""
"117","1985","direct migration background","","","",""
"117","1985","indirect migration background","","","",""
"118","1985","no migration background","","","",""
"118","1985","direct migration background","","","",""
"118","1985","indirect migration background","","","",""
"119","1985","no migration background","","","",""
"119","1985","direct migration background","","","",""
"119","1985","indirect migration background","","","",""
"120","1985","no migration background","","","",""
"120","1985","direct migration background","","","",""
"120","1985","indirect migration background","","","",""
"121","1985","no migration background","","","",""
"121","1985","direct migration background","","","",""
"121","1985","indirect migration background","","","",""
"122","1985","no migration background","","","",""
"122","1985","direct migration background","","","",""
"122","1985","indirect migration background","","","",""
"123","1985","no migration background","","","",""
"123","1985","direct migration background","","","",""
"123","1985","indirect migration background","","","",""
"124","1985","no migration background","","","",""
"124","1985","direct migration background","","","",""
"124","1985","indirect migration background","","","",""
"125","1985","no migration background","","","",""
"125","1985","direct migration background","","","",""
"125","1985","indirect migration background","","","",""
"127","1985","no migration background","","","",""
"127","1985","direct migration background","","","",""
"127","1985","indirect migration background","","","",""
"128","1985","no migration background","","","",""
"128","1985","direct migration background","","","",""
"128","1985","indirect migration background","","","",""
"129","1985","no migration background","","","",""
"129","1985","direct migration background","","","",""
"129","1985","indirect migration background","","","",""
"130","1985","no migration background","","","",""
"130","1985","direct migration background","","","",""
"130","1985","indirect migration background","","","",""
"131","1985","no migration background","","","",""
"131","1985","direct migration background","","","",""
"131","1985","indirect migration background","","","",""
"132","1985","no migration background","","","",""
"132","1985","direct migration background","","","",""
"132","1985","indirect migration background","","","",""
"133","1985","no migration background","","","",""
"133","1985","direct migration background","","","",""
"133","1985","indirect migration background","","","",""
"135","1985","no migration background","","","",""
"135","1985","direct migration background","","","",""
"135","1985","indirect migration background","","","",""
"138","1985","no migration background","","","",""
"138","1985","direct migration background","","","",""
"138","1985","indirect migration background","","","",""
"139","1985","no migration background","","","",""
"139","1985","direct migration background","","","",""
"139","1985","indirect migration background","","","",""
"140","1985","no migration background","","","",""
"140","1985","direct migration background","","","",""
"140","1985","indirect migration background","","","",""
"141","1985","no migration background","","","",""
"141","1985","direct migration background","","","",""
"141","1985","indirect migration background","","","",""
"142","1985","no migration background","","","",""
"142","1985","direct migration background","","","",""
"142","1985","indirect migration background","","","",""
"143","1985","no migration background","","","",""
"143","1985","direct migration background","","","",""
"143","1985","indirect migration background","","","",""
"144","1985","no migration background","","","",""
"144","1985","direct migration background","","","",""
"144","1985","indirect migration background","","","",""
"145","1985","no migration background","","","",""
"145","1985","direct migration background","","","",""
"145","1985","indirect migration background","","","",""
"146","1985","no migration background","","","",""
"146","1985","direct migration background","","","",""
"146","1985","indirect migration background","","","",""
"147","1985","no migration background","","","",""
"147","1985","direct migration background","","","",""
"147","1985","indirect migration background","","","",""
