"pgnation","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"18","1985","direct migration background","Urban Area","6","","",""
"18","1985","direct migration background","Rural Area","1","","",""
"18","1985","indirect migration background","Urban Area","1","","",""
"18","1985","indirect migration background","Rural Area","","","",""
"19","1985","no migration background","Urban Area","","","",""
"19","1985","no migration background","Rural Area","","","",""
"19","1985","direct migration background","Urban Area","5","","",""
"19","1985","direct migration background","Rural Area","2","","",""
"19","1985","indirect migration background","Urban Area","","","",""
"19","1985","indirect migration background","Rural Area","","","",""
"20","1985","no migration background","Urban Area","","","",""
"20","1985","no migration background","Rural Area","","","",""
"20","1985","direct migration background","Urban Area","2","","",""
"20","1985","direct migration background","Rural Area","","","",""
"20","1985","indirect migration background","Urban Area","","","",""
"20","1985","indirect migration background","Rural Area","","","",""
"21","1985","no migration background","Urban Area","","","",""
"21","1985","no migration background","Rural Area","","","",""
"21","1985","direct migration background","Urban Area","2","","",""
"21","1985","direct migration background","Rural Area","","","",""
"21","1985","indirect migration background","Urban Area","","","",""
"21","1985","indirect migration background","Rural Area","","","",""
"22","1985","no migration background","Urban Area","","","",""
"22","1985","no migration background","Rural Area","","","",""
"22","1985","direct migration background","Urban Area","5","","",""
"22","1985","direct migration background","Rural Area","2","","",""
"22","1985","indirect migration background","Urban Area","","","",""
"22","1985","indirect migration background","Rural Area","","","",""
"23","1985","no migration background","Urban Area","","","",""
"23","1985","no migration background","Rural Area","","","",""
"23","1985","direct migration background","Urban Area","3","","",""
"23","1985","direct migration background","Rural Area","","","",""
"23","1985","indirect migration background","Urban Area","","","",""
"23","1985","indirect migration background","Rural Area","","","",""
"24","1985","no migration background","Urban Area","","","",""
"24","1985","no migration background","Rural Area","","","",""
"24","1985","direct migration background","Urban Area","2","","",""
"24","1985","direct migration background","Rural Area","","","",""
"24","1985","indirect migration background","Urban Area","","","",""
"24","1985","indirect migration background","Rural Area","","","",""
"25","1985","no migration background","Urban Area","","","",""
"25","1985","no migration background","Rural Area","","","",""
"25","1985","direct migration background","Urban Area","","","",""
"25","1985","direct migration background","Rural Area","","","",""
"25","1985","indirect migration background","Urban Area","","","",""
"25","1985","indirect migration background","Rural Area","","","",""
"26","1985","no migration background","Urban Area","","","",""
"26","1985","no migration background","Rural Area","","","",""
"26","1985","direct migration background","Urban Area","2","","",""
"26","1985","direct migration background","Rural Area","","","",""
"26","1985","indirect migration background","Urban Area","","","",""
"26","1985","indirect migration background","Rural Area","","","",""
"27","1985","no migration background","Urban Area","","","",""
"27","1985","no migration background","Rural Area","","","",""
"27","1985","direct migration background","Urban Area","","","",""
"27","1985","direct migration background","Rural Area","","","",""
"27","1985","indirect migration background","Urban Area","","","",""
"27","1985","indirect migration background","Rural Area","","","",""
"28","1985","no migration background","Urban Area","","","",""
"28","1985","no migration background","Rural Area","","","",""
"28","1985","direct migration background","Urban Area","","","",""
"28","1985","direct migration background","Rural Area","","","",""
"28","1985","indirect migration background","Urban Area","","","",""
"28","1985","indirect migration background","Rural Area","","","",""
"29","1985","no migration background","Urban Area","","","",""
"29","1985","no migration background","Rural Area","","","",""
"29","1985","direct migration background","Urban Area","","","",""
"29","1985","direct migration background","Rural Area","","","",""
"29","1985","indirect migration background","Urban Area","","","",""
"29","1985","indirect migration background","Rural Area","","","",""
"30","1985","no migration background","Urban Area","","","",""
"30","1985","no migration background","Rural Area","","","",""
"30","1985","direct migration background","Urban Area","","","",""
"30","1985","direct migration background","Rural Area","","","",""
"30","1985","indirect migration background","Urban Area","","","",""
"30","1985","indirect migration background","Rural Area","","","",""
"31","1985","no migration background","Urban Area","","","",""
"31","1985","no migration background","Rural Area","","","",""
"31","1985","direct migration background","Urban Area","2","","",""
"31","1985","direct migration background","Rural Area","","","",""
"31","1985","indirect migration background","Urban Area","","","",""
"31","1985","indirect migration background","Rural Area","","","",""
"32","1985","no migration background","Urban Area","","","",""
"32","1985","no migration background","Rural Area","","","",""
"32","1985","direct migration background","Urban Area","","","",""
"32","1985","direct migration background","Rural Area","","","",""
"32","1985","indirect migration background","Urban Area","","","",""
"32","1985","indirect migration background","Rural Area","","","",""
"34","1985","no migration background","Urban Area","","","",""
"34","1985","no migration background","Rural Area","","","",""
"34","1985","direct migration background","Urban Area","1","","",""
"34","1985","direct migration background","Rural Area","","","",""
"34","1985","indirect migration background","Urban Area","","","",""
"34","1985","indirect migration background","Rural Area","","","",""
"35","1985","no migration background","Urban Area","","","",""
"35","1985","no migration background","Rural Area","","","",""
"35","1985","direct migration background","Urban Area","","","",""
"35","1985","direct migration background","Rural Area","","","",""
"35","1985","indirect migration background","Urban Area","","","",""
"35","1985","indirect migration background","Rural Area","","","",""
"37","1985","no migration background","Urban Area","","","",""
"37","1985","no migration background","Rural Area","","","",""
"37","1985","direct migration background","Urban Area","","","",""
"37","1985","direct migration background","Rural Area","","","",""
"37","1985","indirect migration background","Urban Area","","","",""
"37","1985","indirect migration background","Rural Area","","","",""
"38","1985","no migration background","Urban Area","","","",""
"38","1985","no migration background","Rural Area","","","",""
"38","1985","direct migration background","Urban Area","2","","",""
"38","1985","direct migration background","Rural Area","","","",""
"38","1985","indirect migration background","Urban Area","","","",""
"38","1985","indirect migration background","Rural Area","","","",""
"39","1985","no migration background","Urban Area","","","",""
"39","1985","no migration background","Rural Area","","","",""
"39","1985","direct migration background","Urban Area","2","","",""
"39","1985","direct migration background","Rural Area","","","",""
"39","1985","indirect migration background","Urban Area","","","",""
"39","1985","indirect migration background","Rural Area","","","",""
"40","1985","no migration background","Urban Area","","","",""
"40","1985","no migration background","Rural Area","","","",""
"40","1985","direct migration background","Urban Area","","","",""
"40","1985","direct migration background","Rural Area","","","",""
"40","1985","indirect migration background","Urban Area","","","",""
"40","1985","indirect migration background","Rural Area","","","",""
"41","1985","no migration background","Urban Area","","","",""
"41","1985","no migration background","Rural Area","","","",""
"41","1985","direct migration background","Urban Area","","","",""
"41","1985","direct migration background","Rural Area","1","","",""
"41","1985","indirect migration background","Urban Area","","","",""
"41","1985","indirect migration background","Rural Area","","","",""
"42","1985","no migration background","Urban Area","","","",""
"42","1985","no migration background","Rural Area","","","",""
"42","1985","direct migration background","Urban Area","1","","",""
"42","1985","direct migration background","Rural Area","","","",""
"42","1985","indirect migration background","Urban Area","","","",""
"42","1985","indirect migration background","Rural Area","","","",""
"43","1985","no migration background","Urban Area","","","",""
"43","1985","no migration background","Rural Area","","","",""
"43","1985","direct migration background","Urban Area","2","","",""
"43","1985","direct migration background","Rural Area","","","",""
"43","1985","indirect migration background","Urban Area","","","",""
"43","1985","indirect migration background","Rural Area","","","",""
"44","1985","no migration background","Urban Area","","","",""
"44","1985","no migration background","Rural Area","","","",""
"44","1985","direct migration background","Urban Area","","","",""
"44","1985","direct migration background","Rural Area","1","","",""
"44","1985","indirect migration background","Urban Area","","","",""
"44","1985","indirect migration background","Rural Area","","","",""
"45","1985","no migration background","Urban Area","","","",""
"45","1985","no migration background","Rural Area","","","",""
"45","1985","direct migration background","Urban Area","","","",""
"45","1985","direct migration background","Rural Area","","","",""
"45","1985","indirect migration background","Urban Area","","","",""
"45","1985","indirect migration background","Rural Area","","","",""
"46","1985","no migration background","Urban Area","","","",""
"46","1985","no migration background","Rural Area","","","",""
"46","1985","direct migration background","Urban Area","","","",""
"46","1985","direct migration background","Rural Area","","","",""
"46","1985","indirect migration background","Urban Area","","","",""
"46","1985","indirect migration background","Rural Area","","","",""
"47","1985","no migration background","Urban Area","","","",""
"47","1985","no migration background","Rural Area","","","",""
"47","1985","direct migration background","Urban Area","","","",""
"47","1985","direct migration background","Rural Area","","","",""
"47","1985","indirect migration background","Urban Area","","","",""
"47","1985","indirect migration background","Rural Area","","","",""
"48","1985","no migration background","Urban Area","","","",""
"48","1985","no migration background","Rural Area","","","",""
"48","1985","direct migration background","Urban Area","","","",""
"48","1985","direct migration background","Rural Area","","","",""
"48","1985","indirect migration background","Urban Area","","","",""
"48","1985","indirect migration background","Rural Area","","","",""
"49","1985","no migration background","Urban Area","","","",""
"49","1985","no migration background","Rural Area","","","",""
"49","1985","direct migration background","Urban Area","","","",""
"49","1985","direct migration background","Rural Area","","","",""
"49","1985","indirect migration background","Urban Area","","","",""
"49","1985","indirect migration background","Rural Area","","","",""
"50","1985","no migration background","Urban Area","","","",""
"50","1985","no migration background","Rural Area","","","",""
"50","1985","direct migration background","Urban Area","","","",""
"50","1985","direct migration background","Rural Area","","","",""
"50","1985","indirect migration background","Urban Area","","","",""
"50","1985","indirect migration background","Rural Area","","","",""
"51","1985","no migration background","Urban Area","","","",""
"51","1985","no migration background","Rural Area","","","",""
"51","1985","direct migration background","Urban Area","","","",""
"51","1985","direct migration background","Rural Area","","","",""
"51","1985","indirect migration background","Urban Area","","","",""
"51","1985","indirect migration background","Rural Area","","","",""
"52","1985","no migration background","Urban Area","","","",""
"52","1985","no migration background","Rural Area","","","",""
"52","1985","direct migration background","Urban Area","","","",""
"52","1985","direct migration background","Rural Area","","","",""
"52","1985","indirect migration background","Urban Area","","","",""
"52","1985","indirect migration background","Rural Area","","","",""
"53","1985","no migration background","Urban Area","","","",""
"53","1985","no migration background","Rural Area","","","",""
"53","1985","direct migration background","Urban Area","","","",""
"53","1985","direct migration background","Rural Area","","","",""
"53","1985","indirect migration background","Urban Area","","","",""
"53","1985","indirect migration background","Rural Area","","","",""
"54","1985","no migration background","Urban Area","","","",""
"54","1985","no migration background","Rural Area","","","",""
"54","1985","direct migration background","Urban Area","","","",""
"54","1985","direct migration background","Rural Area","","","",""
"54","1985","indirect migration background","Urban Area","","","",""
"54","1985","indirect migration background","Rural Area","","","",""
"55","1985","no migration background","Urban Area","","","",""
"55","1985","no migration background","Rural Area","","","",""
"55","1985","direct migration background","Urban Area","","","",""
"55","1985","direct migration background","Rural Area","","","",""
"55","1985","indirect migration background","Urban Area","","","",""
"55","1985","indirect migration background","Rural Area","","","",""
"56","1985","no migration background","Urban Area","","","",""
"56","1985","no migration background","Rural Area","","","",""
"56","1985","direct migration background","Urban Area","","","",""
"56","1985","direct migration background","Rural Area","","","",""
"56","1985","indirect migration background","Urban Area","","","",""
"56","1985","indirect migration background","Rural Area","","","",""
"59","1985","no migration background","Urban Area","","","",""
"59","1985","no migration background","Rural Area","","","",""
"59","1985","direct migration background","Urban Area","","","",""
"59","1985","direct migration background","Rural Area","","","",""
"59","1985","indirect migration background","Urban Area","","","",""
"59","1985","indirect migration background","Rural Area","","","",""
"60","1985","no migration background","Urban Area","","","",""
"60","1985","no migration background","Rural Area","","","",""
"60","1985","direct migration background","Urban Area","","","",""
"60","1985","direct migration background","Rural Area","","","",""
"60","1985","indirect migration background","Urban Area","","","",""
"60","1985","indirect migration background","Rural Area","","","",""
"61","1985","no migration background","Urban Area","","","",""
"61","1985","no migration background","Rural Area","","","",""
"61","1985","direct migration background","Urban Area","","","",""
"61","1985","direct migration background","Rural Area","","","",""
"61","1985","indirect migration background","Urban Area","","","",""
"61","1985","indirect migration background","Rural Area","","","",""
"64","1985","no migration background","Urban Area","","","",""
"64","1985","no migration background","Rural Area","","","",""
"64","1985","direct migration background","Urban Area","","","",""
"64","1985","direct migration background","Rural Area","","","",""
"64","1985","indirect migration background","Urban Area","","","",""
"64","1985","indirect migration background","Rural Area","","","",""
"65","1985","no migration background","Urban Area","","","",""
"65","1985","no migration background","Rural Area","","","",""
"65","1985","direct migration background","Urban Area","","","",""
"65","1985","direct migration background","Rural Area","","","",""
"65","1985","indirect migration background","Urban Area","","","",""
"65","1985","indirect migration background","Rural Area","","","",""
"66","1985","no migration background","Urban Area","","","",""
"66","1985","no migration background","Rural Area","","","",""
"66","1985","direct migration background","Urban Area","","","",""
"66","1985","direct migration background","Rural Area","","","",""
"66","1985","indirect migration background","Urban Area","","","",""
"66","1985","indirect migration background","Rural Area","","","",""
"67","1985","no migration background","Urban Area","","","",""
"67","1985","no migration background","Rural Area","","","",""
"67","1985","direct migration background","Urban Area","","","",""
"67","1985","direct migration background","Rural Area","","","",""
"67","1985","indirect migration background","Urban Area","","","",""
"67","1985","indirect migration background","Rural Area","","","",""
"68","1985","no migration background","Urban Area","","","",""
"68","1985","no migration background","Rural Area","","","",""
"68","1985","direct migration background","Urban Area","","","",""
"68","1985","direct migration background","Rural Area","","","",""
"68","1985","indirect migration background","Urban Area","","","",""
"68","1985","indirect migration background","Rural Area","","","",""
"71","1985","no migration background","Urban Area","","","",""
"71","1985","no migration background","Rural Area","","","",""
"71","1985","direct migration background","Urban Area","","","",""
"71","1985","direct migration background","Rural Area","","","",""
"71","1985","indirect migration background","Urban Area","","","",""
"71","1985","indirect migration background","Rural Area","","","",""
"72","1985","no migration background","Urban Area","","","",""
"72","1985","no migration background","Rural Area","","","",""
"72","1985","direct migration background","Urban Area","","","",""
"72","1985","direct migration background","Rural Area","","","",""
"72","1985","indirect migration background","Urban Area","","","",""
"72","1985","indirect migration background","Rural Area","","","",""
"73","1985","no migration background","Urban Area","","","",""
"73","1985","no migration background","Rural Area","","","",""
"73","1985","direct migration background","Urban Area","","","",""
"73","1985","direct migration background","Rural Area","","","",""
"73","1985","indirect migration background","Urban Area","","","",""
"73","1985","indirect migration background","Rural Area","","","",""
"74","1985","no migration background","Urban Area","","","",""
"74","1985","no migration background","Rural Area","","","",""
"74","1985","direct migration background","Urban Area","","","",""
"74","1985","direct migration background","Rural Area","","","",""
"74","1985","indirect migration background","Urban Area","","","",""
"74","1985","indirect migration background","Rural Area","","","",""
"75","1985","no migration background","Urban Area","","","",""
"75","1985","no migration background","Rural Area","","","",""
"75","1985","direct migration background","Urban Area","","","",""
"75","1985","direct migration background","Rural Area","","","",""
"75","1985","indirect migration background","Urban Area","","","",""
"75","1985","indirect migration background","Rural Area","","","",""
"76","1985","no migration background","Urban Area","","","",""
"76","1985","no migration background","Rural Area","","","",""
"76","1985","direct migration background","Urban Area","","","",""
"76","1985","direct migration background","Rural Area","","","",""
"76","1985","indirect migration background","Urban Area","","","",""
"76","1985","indirect migration background","Rural Area","","","",""
"77","1985","no migration background","Urban Area","","","",""
"77","1985","no migration background","Rural Area","","","",""
"77","1985","direct migration background","Urban Area","","","",""
"77","1985","direct migration background","Rural Area","","","",""
"77","1985","indirect migration background","Urban Area","","","",""
"77","1985","indirect migration background","Rural Area","","","",""
"78","1985","no migration background","Urban Area","","","",""
"78","1985","no migration background","Rural Area","","","",""
"78","1985","direct migration background","Urban Area","","","",""
"78","1985","direct migration background","Rural Area","","","",""
"78","1985","indirect migration background","Urban Area","","","",""
"78","1985","indirect migration background","Rural Area","","","",""
"79","1985","no migration background","Urban Area","","","",""
"79","1985","no migration background","Rural Area","","","",""
"79","1985","direct migration background","Urban Area","","","",""
"79","1985","direct migration background","Rural Area","","","",""
"79","1985","indirect migration background","Urban Area","","","",""
"79","1985","indirect migration background","Rural Area","","","",""
"80","1985","no migration background","Urban Area","","","",""
"80","1985","no migration background","Rural Area","","","",""
"80","1985","direct migration background","Urban Area","","","",""
"80","1985","direct migration background","Rural Area","","","",""
"80","1985","indirect migration background","Urban Area","","","",""
"80","1985","indirect migration background","Rural Area","","","",""
"81","1985","no migration background","Urban Area","","","",""
"81","1985","no migration background","Rural Area","","","",""
"81","1985","direct migration background","Urban Area","","","",""
"81","1985","direct migration background","Rural Area","","","",""
"81","1985","indirect migration background","Urban Area","","","",""
"81","1985","indirect migration background","Rural Area","","","",""
"82","1985","no migration background","Urban Area","","","",""
"82","1985","no migration background","Rural Area","","","",""
"82","1985","direct migration background","Urban Area","","","",""
"82","1985","direct migration background","Rural Area","","","",""
"82","1985","indirect migration background","Urban Area","","","",""
"82","1985","indirect migration background","Rural Area","","","",""
"83","1985","no migration background","Urban Area","","","",""
"83","1985","no migration background","Rural Area","","","",""
"83","1985","direct migration background","Urban Area","","","",""
"83","1985","direct migration background","Rural Area","","","",""
"83","1985","indirect migration background","Urban Area","","","",""
"83","1985","indirect migration background","Rural Area","","","",""
"84","1985","no migration background","Urban Area","","","",""
"84","1985","no migration background","Rural Area","","","",""
"84","1985","direct migration background","Urban Area","","","",""
"84","1985","direct migration background","Rural Area","","","",""
"84","1985","indirect migration background","Urban Area","","","",""
"84","1985","indirect migration background","Rural Area","","","",""
"85","1985","no migration background","Urban Area","","","",""
"85","1985","no migration background","Rural Area","","","",""
"85","1985","direct migration background","Urban Area","","","",""
"85","1985","direct migration background","Rural Area","","","",""
"85","1985","indirect migration background","Urban Area","","","",""
"85","1985","indirect migration background","Rural Area","","","",""
"86","1985","no migration background","Urban Area","","","",""
"86","1985","no migration background","Rural Area","","","",""
"86","1985","direct migration background","Urban Area","","","",""
"86","1985","direct migration background","Rural Area","","","",""
"86","1985","indirect migration background","Urban Area","","","",""
"86","1985","indirect migration background","Rural Area","","","",""
"89","1985","no migration background","Urban Area","","","",""
"89","1985","no migration background","Rural Area","","","",""
"89","1985","direct migration background","Urban Area","","","",""
"89","1985","direct migration background","Rural Area","","","",""
"89","1985","indirect migration background","Urban Area","","","",""
"89","1985","indirect migration background","Rural Area","","","",""
"90","1985","no migration background","Urban Area","","","",""
"90","1985","no migration background","Rural Area","","","",""
"90","1985","direct migration background","Urban Area","","","",""
"90","1985","direct migration background","Rural Area","","","",""
"90","1985","indirect migration background","Urban Area","","","",""
"90","1985","indirect migration background","Rural Area","","","",""
"92","1985","no migration background","Urban Area","","","",""
"92","1985","no migration background","Rural Area","","","",""
"92","1985","direct migration background","Urban Area","","","",""
"92","1985","direct migration background","Rural Area","","","",""
"92","1985","indirect migration background","Urban Area","","","",""
"92","1985","indirect migration background","Rural Area","","","",""
"94","1985","no migration background","Urban Area","","","",""
"94","1985","no migration background","Rural Area","","","",""
"94","1985","direct migration background","Urban Area","","","",""
"94","1985","direct migration background","Rural Area","","","",""
"94","1985","indirect migration background","Urban Area","","","",""
"94","1985","indirect migration background","Rural Area","","","",""
"95","1985","no migration background","Urban Area","","","",""
"95","1985","no migration background","Rural Area","","","",""
"95","1985","direct migration background","Urban Area","","","",""
"95","1985","direct migration background","Rural Area","","","",""
"95","1985","indirect migration background","Urban Area","","","",""
"95","1985","indirect migration background","Rural Area","","","",""
"96","1985","no migration background","Urban Area","","","",""
"96","1985","no migration background","Rural Area","","","",""
"96","1985","direct migration background","Urban Area","","","",""
"96","1985","direct migration background","Rural Area","","","",""
"96","1985","indirect migration background","Urban Area","","","",""
"96","1985","indirect migration background","Rural Area","","","",""
"97","1985","no migration background","Urban Area","","","",""
"97","1985","no migration background","Rural Area","","","",""
"97","1985","direct migration background","Urban Area","","","",""
"97","1985","direct migration background","Rural Area","","","",""
"97","1985","indirect migration background","Urban Area","","","",""
"97","1985","indirect migration background","Rural Area","","","",""
"98","1985","no migration background","Urban Area","1","","",""
"98","1985","no migration background","Rural Area","","","",""
"98","1985","direct migration background","Urban Area","6","","",""
"98","1985","direct migration background","Rural Area","1","","",""
"98","1985","indirect migration background","Urban Area","1","","",""
"98","1985","indirect migration background","Rural Area","1","","",""
"101","1985","no migration background","Urban Area","","","",""
"101","1985","no migration background","Rural Area","","","",""
"101","1985","direct migration background","Urban Area","","","",""
"101","1985","direct migration background","Rural Area","","","",""
"101","1985","indirect migration background","Urban Area","","","",""
"101","1985","indirect migration background","Rural Area","","","",""
"102","1985","no migration background","Urban Area","","","",""
"102","1985","no migration background","Rural Area","","","",""
"102","1985","direct migration background","Urban Area","","","",""
"102","1985","direct migration background","Rural Area","","","",""
"102","1985","indirect migration background","Urban Area","","","",""
"102","1985","indirect migration background","Rural Area","","","",""
"103","1985","no migration background","Urban Area","","","",""
"103","1985","no migration background","Rural Area","","","",""
"103","1985","direct migration background","Urban Area","","","",""
"103","1985","direct migration background","Rural Area","","","",""
"103","1985","indirect migration background","Urban Area","","","",""
"103","1985","indirect migration background","Rural Area","","","",""
"105","1985","no migration background","Urban Area","","","",""
"105","1985","no migration background","Rural Area","","","",""
"105","1985","direct migration background","Urban Area","","","",""
"105","1985","direct migration background","Rural Area","","","",""
"105","1985","indirect migration background","Urban Area","","","",""
"105","1985","indirect migration background","Rural Area","","","",""
"108","1985","no migration background","Urban Area","","","",""
"108","1985","no migration background","Rural Area","","","",""
"108","1985","direct migration background","Urban Area","","","",""
"108","1985","direct migration background","Rural Area","","","",""
"108","1985","indirect migration background","Urban Area","","","",""
"108","1985","indirect migration background","Rural Area","","","",""
"110","1985","no migration background","Urban Area","","","",""
"110","1985","no migration background","Rural Area","","","",""
"110","1985","direct migration background","Urban Area","","","",""
"110","1985","direct migration background","Rural Area","","","",""
"110","1985","indirect migration background","Urban Area","","","",""
"110","1985","indirect migration background","Rural Area","","","",""
"111","1985","no migration background","Urban Area","","","",""
"111","1985","no migration background","Rural Area","","","",""
"111","1985","direct migration background","Urban Area","","","",""
"111","1985","direct migration background","Rural Area","","","",""
"111","1985","indirect migration background","Urban Area","","","",""
"111","1985","indirect migration background","Rural Area","","","",""
"113","1985","no migration background","Urban Area","","","",""
"113","1985","no migration background","Rural Area","","","",""
"113","1985","direct migration background","Urban Area","","","",""
"113","1985","direct migration background","Rural Area","","","",""
"113","1985","indirect migration background","Urban Area","","","",""
"113","1985","indirect migration background","Rural Area","","","",""
"116","1985","no migration background","Urban Area","","","",""
"116","1985","no migration background","Rural Area","","","",""
"116","1985","direct migration background","Urban Area","","","",""
"116","1985","direct migration background","Rural Area","","","",""
"116","1985","indirect migration background","Urban Area","","","",""
"116","1985","indirect migration background","Rural Area","","","",""
"117","1985","no migration background","Urban Area","","","",""
"117","1985","no migration background","Rural Area","","","",""
"117","1985","direct migration background","Urban Area","","","",""
"117","1985","direct migration background","Rural Area","","","",""
"117","1985","indirect migration background","Urban Area","","","",""
"117","1985","indirect migration background","Rural Area","","","",""
"118","1985","no migration background","Urban Area","","","",""
"118","1985","no migration background","Rural Area","","","",""
"118","1985","direct migration background","Urban Area","","","",""
"118","1985","direct migration background","Rural Area","","","",""
"118","1985","indirect migration background","Urban Area","","","",""
"118","1985","indirect migration background","Rural Area","","","",""
"119","1985","no migration background","Urban Area","","","",""
"119","1985","no migration background","Rural Area","","","",""
"119","1985","direct migration background","Urban Area","","","",""
"119","1985","direct migration background","Rural Area","","","",""
"119","1985","indirect migration background","Urban Area","","","",""
"119","1985","indirect migration background","Rural Area","","","",""
"120","1985","no migration background","Urban Area","","","",""
"120","1985","no migration background","Rural Area","","","",""
"120","1985","direct migration background","Urban Area","","","",""
"120","1985","direct migration background","Rural Area","","","",""
"120","1985","indirect migration background","Urban Area","","","",""
"120","1985","indirect migration background","Rural Area","","","",""
"121","1985","no migration background","Urban Area","","","",""
"121","1985","no migration background","Rural Area","","","",""
"121","1985","direct migration background","Urban Area","","","",""
"121","1985","direct migration background","Rural Area","","","",""
"121","1985","indirect migration background","Urban Area","","","",""
"121","1985","indirect migration background","Rural Area","","","",""
"122","1985","no migration background","Urban Area","","","",""
"122","1985","no migration background","Rural Area","","","",""
"122","1985","direct migration background","Urban Area","","","",""
"122","1985","direct migration background","Rural Area","","","",""
"122","1985","indirect migration background","Urban Area","","","",""
"122","1985","indirect migration background","Rural Area","","","",""
"123","1985","no migration background","Urban Area","","","",""
"123","1985","no migration background","Rural Area","","","",""
