"pgnation","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"12","1984","direct migration background","East Germany","","","",""
"12","1984","indirect migration background","West Germany","2","","",""
"12","1984","indirect migration background","East Germany","","","",""
"13","1984","no migration background","West Germany","","","",""
"13","1984","no migration background","East Germany","","","",""
"13","1984","direct migration background","West Germany","","","",""
"13","1984","direct migration background","East Germany","","","",""
"13","1984","indirect migration background","West Germany","","","",""
"13","1984","indirect migration background","East Germany","","","",""
"14","1984","no migration background","West Germany","","","",""
"14","1984","no migration background","East Germany","","","",""
"14","1984","direct migration background","West Germany","5","","",""
"14","1984","direct migration background","East Germany","","","",""
"14","1984","indirect migration background","West Germany","","","",""
"14","1984","indirect migration background","East Germany","","","",""
"15","1984","no migration background","West Germany","","","",""
"15","1984","no migration background","East Germany","","","",""
"15","1984","direct migration background","West Germany","","","",""
"15","1984","direct migration background","East Germany","","","",""
"15","1984","indirect migration background","West Germany","","","",""
"15","1984","indirect migration background","East Germany","","","",""
"16","1984","no migration background","West Germany","","","",""
"16","1984","no migration background","East Germany","","","",""
"16","1984","direct migration background","West Germany","","","",""
"16","1984","direct migration background","East Germany","","","",""
"16","1984","indirect migration background","West Germany","","","",""
"16","1984","indirect migration background","East Germany","","","",""
"17","1984","no migration background","West Germany","","","",""
"17","1984","no migration background","East Germany","","","",""
"17","1984","direct migration background","West Germany","1","","",""
"17","1984","direct migration background","East Germany","","","",""
"17","1984","indirect migration background","West Germany","","","",""
"17","1984","indirect migration background","East Germany","","","",""
"18","1984","no migration background","West Germany","","","",""
"18","1984","no migration background","East Germany","","","",""
"18","1984","direct migration background","West Germany","15","","",""
"18","1984","direct migration background","East Germany","","","",""
"18","1984","indirect migration background","West Germany","1","","",""
"18","1984","indirect migration background","East Germany","","","",""
"19","1984","no migration background","West Germany","","","",""
"19","1984","no migration background","East Germany","","","",""
"19","1984","direct migration background","West Germany","8","","",""
"19","1984","direct migration background","East Germany","","","",""
"19","1984","indirect migration background","West Germany","","","",""
"19","1984","indirect migration background","East Germany","","","",""
"20","1984","no migration background","West Germany","","","",""
"20","1984","no migration background","East Germany","","","",""
"20","1984","direct migration background","West Germany","2","","",""
"20","1984","direct migration background","East Germany","","","",""
"20","1984","indirect migration background","West Germany","","","",""
"20","1984","indirect migration background","East Germany","","","",""
"21","1984","no migration background","West Germany","","","",""
"21","1984","no migration background","East Germany","","","",""
"21","1984","direct migration background","West Germany","1","","",""
"21","1984","direct migration background","East Germany","","","",""
"21","1984","indirect migration background","West Germany","","","",""
"21","1984","indirect migration background","East Germany","","","",""
"22","1984","no migration background","West Germany","","","",""
"22","1984","no migration background","East Germany","","","",""
"22","1984","direct migration background","West Germany","9","","",""
"22","1984","direct migration background","East Germany","","","",""
"22","1984","indirect migration background","West Germany","","","",""
"22","1984","indirect migration background","East Germany","","","",""
"23","1984","no migration background","West Germany","","","",""
"23","1984","no migration background","East Germany","","","",""
"23","1984","direct migration background","West Germany","5","","",""
"23","1984","direct migration background","East Germany","","","",""
"23","1984","indirect migration background","West Germany","","","",""
"23","1984","indirect migration background","East Germany","","","",""
"24","1984","no migration background","West Germany","","","",""
"24","1984","no migration background","East Germany","","","",""
"24","1984","direct migration background","West Germany","2","","",""
"24","1984","direct migration background","East Germany","","","",""
"24","1984","indirect migration background","West Germany","","","",""
"24","1984","indirect migration background","East Germany","","","",""
"25","1984","no migration background","West Germany","","","",""
"25","1984","no migration background","East Germany","","","",""
"25","1984","direct migration background","West Germany","2","","",""
"25","1984","direct migration background","East Germany","","","",""
"25","1984","indirect migration background","West Germany","","","",""
"25","1984","indirect migration background","East Germany","","","",""
"26","1984","no migration background","West Germany","","","",""
"26","1984","no migration background","East Germany","","","",""
"26","1984","direct migration background","West Germany","2","","",""
"26","1984","direct migration background","East Germany","","","",""
"26","1984","indirect migration background","West Germany","","","",""
"26","1984","indirect migration background","East Germany","","","",""
"27","1984","no migration background","West Germany","","","",""
"27","1984","no migration background","East Germany","","","",""
"27","1984","direct migration background","West Germany","","","",""
"27","1984","direct migration background","East Germany","","","",""
"27","1984","indirect migration background","West Germany","","","",""
"27","1984","indirect migration background","East Germany","","","",""
"28","1984","no migration background","West Germany","","","",""
"28","1984","no migration background","East Germany","","","",""
"28","1984","direct migration background","West Germany","4","","",""
"28","1984","direct migration background","East Germany","","","",""
"28","1984","indirect migration background","West Germany","","","",""
"28","1984","indirect migration background","East Germany","","","",""
"29","1984","no migration background","West Germany","","","",""
"29","1984","no migration background","East Germany","","","",""
"29","1984","direct migration background","West Germany","1","","",""
"29","1984","direct migration background","East Germany","","","",""
"29","1984","indirect migration background","West Germany","","","",""
"29","1984","indirect migration background","East Germany","","","",""
"30","1984","no migration background","West Germany","","","",""
"30","1984","no migration background","East Germany","","","",""
"30","1984","direct migration background","West Germany","","","",""
"30","1984","direct migration background","East Germany","","","",""
"30","1984","indirect migration background","West Germany","","","",""
"30","1984","indirect migration background","East Germany","","","",""
"31","1984","no migration background","West Germany","","","",""
"31","1984","no migration background","East Germany","","","",""
"31","1984","direct migration background","West Germany","3","","",""
"31","1984","direct migration background","East Germany","","","",""
"31","1984","indirect migration background","West Germany","","","",""
"31","1984","indirect migration background","East Germany","","","",""
"32","1984","no migration background","West Germany","","","",""
"32","1984","no migration background","East Germany","","","",""
"32","1984","direct migration background","West Germany","","","",""
"32","1984","direct migration background","East Germany","","","",""
"32","1984","indirect migration background","West Germany","","","",""
"32","1984","indirect migration background","East Germany","","","",""
"34","1984","no migration background","West Germany","","","",""
"34","1984","no migration background","East Germany","","","",""
"34","1984","direct migration background","West Germany","4","","",""
"34","1984","direct migration background","East Germany","","","",""
"34","1984","indirect migration background","West Germany","","","",""
"34","1984","indirect migration background","East Germany","","","",""
"35","1984","no migration background","West Germany","","","",""
"35","1984","no migration background","East Germany","","","",""
"35","1984","direct migration background","West Germany","","","",""
"35","1984","direct migration background","East Germany","","","",""
"35","1984","indirect migration background","West Germany","","","",""
"35","1984","indirect migration background","East Germany","","","",""
"36","1984","no migration background","West Germany","","","",""
"36","1984","no migration background","East Germany","","","",""
"36","1984","direct migration background","West Germany","1","","",""
"36","1984","direct migration background","East Germany","","","",""
"36","1984","indirect migration background","West Germany","","","",""
"36","1984","indirect migration background","East Germany","","","",""
"37","1984","no migration background","West Germany","","","",""
"37","1984","no migration background","East Germany","","","",""
"37","1984","direct migration background","West Germany","","","",""
"37","1984","direct migration background","East Germany","","","",""
"37","1984","indirect migration background","West Germany","","","",""
"37","1984","indirect migration background","East Germany","","","",""
"38","1984","no migration background","West Germany","","","",""
"38","1984","no migration background","East Germany","","","",""
"38","1984","direct migration background","West Germany","2","","",""
"38","1984","direct migration background","East Germany","","","",""
"38","1984","indirect migration background","West Germany","","","",""
"38","1984","indirect migration background","East Germany","","","",""
"39","1984","no migration background","West Germany","","","",""
"39","1984","no migration background","East Germany","","","",""
"39","1984","direct migration background","West Germany","1","","",""
"39","1984","direct migration background","East Germany","","","",""
"39","1984","indirect migration background","West Germany","","","",""
"39","1984","indirect migration background","East Germany","","","",""
"40","1984","no migration background","West Germany","","","",""
"40","1984","no migration background","East Germany","","","",""
"40","1984","direct migration background","West Germany","1","","",""
"40","1984","direct migration background","East Germany","","","",""
"40","1984","indirect migration background","West Germany","","","",""
"40","1984","indirect migration background","East Germany","","","",""
"41","1984","no migration background","West Germany","","","",""
"41","1984","no migration background","East Germany","","","",""
"41","1984","direct migration background","West Germany","1","","",""
"41","1984","direct migration background","East Germany","","","",""
"41","1984","indirect migration background","West Germany","","","",""
"41","1984","indirect migration background","East Germany","","","",""
"42","1984","no migration background","West Germany","","","",""
"42","1984","no migration background","East Germany","","","",""
"42","1984","direct migration background","West Germany","1","","",""
"42","1984","direct migration background","East Germany","","","",""
"42","1984","indirect migration background","West Germany","","","",""
"42","1984","indirect migration background","East Germany","","","",""
"43","1984","no migration background","West Germany","","","",""
"43","1984","no migration background","East Germany","","","",""
"43","1984","direct migration background","West Germany","2","","",""
"43","1984","direct migration background","East Germany","","","",""
"43","1984","indirect migration background","West Germany","","","",""
"43","1984","indirect migration background","East Germany","","","",""
"44","1984","no migration background","West Germany","","","",""
"44","1984","no migration background","East Germany","","","",""
"44","1984","direct migration background","West Germany","","","",""
"44","1984","direct migration background","East Germany","","","",""
"44","1984","indirect migration background","West Germany","","","",""
"44","1984","indirect migration background","East Germany","","","",""
"45","1984","no migration background","West Germany","","","",""
"45","1984","no migration background","East Germany","","","",""
"45","1984","direct migration background","West Germany","","","",""
"45","1984","direct migration background","East Germany","","","",""
"45","1984","indirect migration background","West Germany","","","",""
"45","1984","indirect migration background","East Germany","","","",""
"46","1984","no migration background","West Germany","","","",""
"46","1984","no migration background","East Germany","","","",""
"46","1984","direct migration background","West Germany","","","",""
"46","1984","direct migration background","East Germany","","","",""
"46","1984","indirect migration background","West Germany","","","",""
"46","1984","indirect migration background","East Germany","","","",""
"47","1984","no migration background","West Germany","","","",""
"47","1984","no migration background","East Germany","","","",""
"47","1984","direct migration background","West Germany","","","",""
"47","1984","direct migration background","East Germany","","","",""
"47","1984","indirect migration background","West Germany","","","",""
"47","1984","indirect migration background","East Germany","","","",""
"48","1984","no migration background","West Germany","","","",""
"48","1984","no migration background","East Germany","","","",""
"48","1984","direct migration background","West Germany","","","",""
"48","1984","direct migration background","East Germany","","","",""
"48","1984","indirect migration background","West Germany","","","",""
"48","1984","indirect migration background","East Germany","","","",""
"49","1984","no migration background","West Germany","","","",""
"49","1984","no migration background","East Germany","","","",""
"49","1984","direct migration background","West Germany","","","",""
"49","1984","direct migration background","East Germany","","","",""
"49","1984","indirect migration background","West Germany","","","",""
"49","1984","indirect migration background","East Germany","","","",""
"50","1984","no migration background","West Germany","","","",""
"50","1984","no migration background","East Germany","","","",""
"50","1984","direct migration background","West Germany","","","",""
"50","1984","direct migration background","East Germany","","","",""
"50","1984","indirect migration background","West Germany","","","",""
"50","1984","indirect migration background","East Germany","","","",""
"51","1984","no migration background","West Germany","","","",""
"51","1984","no migration background","East Germany","","","",""
"51","1984","direct migration background","West Germany","","","",""
"51","1984","direct migration background","East Germany","","","",""
"51","1984","indirect migration background","West Germany","","","",""
"51","1984","indirect migration background","East Germany","","","",""
"52","1984","no migration background","West Germany","","","",""
"52","1984","no migration background","East Germany","","","",""
"52","1984","direct migration background","West Germany","","","",""
"52","1984","direct migration background","East Germany","","","",""
"52","1984","indirect migration background","West Germany","","","",""
"52","1984","indirect migration background","East Germany","","","",""
"53","1984","no migration background","West Germany","","","",""
"53","1984","no migration background","East Germany","","","",""
"53","1984","direct migration background","West Germany","","","",""
"53","1984","direct migration background","East Germany","","","",""
"53","1984","indirect migration background","West Germany","","","",""
"53","1984","indirect migration background","East Germany","","","",""
"54","1984","no migration background","West Germany","","","",""
"54","1984","no migration background","East Germany","","","",""
"54","1984","direct migration background","West Germany","","","",""
"54","1984","direct migration background","East Germany","","","",""
"54","1984","indirect migration background","West Germany","","","",""
"54","1984","indirect migration background","East Germany","","","",""
"55","1984","no migration background","West Germany","","","",""
"55","1984","no migration background","East Germany","","","",""
"55","1984","direct migration background","West Germany","","","",""
"55","1984","direct migration background","East Germany","","","",""
"55","1984","indirect migration background","West Germany","","","",""
"55","1984","indirect migration background","East Germany","","","",""
"56","1984","no migration background","West Germany","","","",""
"56","1984","no migration background","East Germany","","","",""
"56","1984","direct migration background","West Germany","","","",""
"56","1984","direct migration background","East Germany","","","",""
"56","1984","indirect migration background","West Germany","","","",""
"56","1984","indirect migration background","East Germany","","","",""
"59","1984","no migration background","West Germany","","","",""
"59","1984","no migration background","East Germany","","","",""
"59","1984","direct migration background","West Germany","","","",""
"59","1984","direct migration background","East Germany","","","",""
"59","1984","indirect migration background","West Germany","","","",""
"59","1984","indirect migration background","East Germany","","","",""
"60","1984","no migration background","West Germany","","","",""
"60","1984","no migration background","East Germany","","","",""
"60","1984","direct migration background","West Germany","","","",""
"60","1984","direct migration background","East Germany","","","",""
"60","1984","indirect migration background","West Germany","","","",""
"60","1984","indirect migration background","East Germany","","","",""
"61","1984","no migration background","West Germany","","","",""
"61","1984","no migration background","East Germany","","","",""
"61","1984","direct migration background","West Germany","","","",""
"61","1984","direct migration background","East Germany","","","",""
"61","1984","indirect migration background","West Germany","","","",""
"61","1984","indirect migration background","East Germany","","","",""
"64","1984","no migration background","West Germany","","","",""
"64","1984","no migration background","East Germany","","","",""
"64","1984","direct migration background","West Germany","","","",""
"64","1984","direct migration background","East Germany","","","",""
"64","1984","indirect migration background","West Germany","","","",""
"64","1984","indirect migration background","East Germany","","","",""
"65","1984","no migration background","West Germany","","","",""
"65","1984","no migration background","East Germany","","","",""
"65","1984","direct migration background","West Germany","","","",""
"65","1984","direct migration background","East Germany","","","",""
"65","1984","indirect migration background","West Germany","","","",""
"65","1984","indirect migration background","East Germany","","","",""
"66","1984","no migration background","West Germany","","","",""
"66","1984","no migration background","East Germany","","","",""
"66","1984","direct migration background","West Germany","","","",""
"66","1984","direct migration background","East Germany","","","",""
"66","1984","indirect migration background","West Germany","","","",""
"66","1984","indirect migration background","East Germany","","","",""
"67","1984","no migration background","West Germany","","","",""
"67","1984","no migration background","East Germany","","","",""
"67","1984","direct migration background","West Germany","","","",""
"67","1984","direct migration background","East Germany","","","",""
"67","1984","indirect migration background","West Germany","","","",""
"67","1984","indirect migration background","East Germany","","","",""
"68","1984","no migration background","West Germany","","","",""
"68","1984","no migration background","East Germany","","","",""
"68","1984","direct migration background","West Germany","","","",""
"68","1984","direct migration background","East Germany","","","",""
"68","1984","indirect migration background","West Germany","","","",""
"68","1984","indirect migration background","East Germany","","","",""
"71","1984","no migration background","West Germany","","","",""
"71","1984","no migration background","East Germany","","","",""
"71","1984","direct migration background","West Germany","","","",""
"71","1984","direct migration background","East Germany","","","",""
"71","1984","indirect migration background","West Germany","","","",""
"71","1984","indirect migration background","East Germany","","","",""
"72","1984","no migration background","West Germany","","","",""
"72","1984","no migration background","East Germany","","","",""
"72","1984","direct migration background","West Germany","","","",""
"72","1984","direct migration background","East Germany","","","",""
"72","1984","indirect migration background","West Germany","","","",""
"72","1984","indirect migration background","East Germany","","","",""
"73","1984","no migration background","West Germany","","","",""
"73","1984","no migration background","East Germany","","","",""
"73","1984","direct migration background","West Germany","","","",""
"73","1984","direct migration background","East Germany","","","",""
"73","1984","indirect migration background","West Germany","","","",""
"73","1984","indirect migration background","East Germany","","","",""
"74","1984","no migration background","West Germany","","","",""
"74","1984","no migration background","East Germany","","","",""
"74","1984","direct migration background","West Germany","","","",""
"74","1984","direct migration background","East Germany","","","",""
"74","1984","indirect migration background","West Germany","","","",""
"74","1984","indirect migration background","East Germany","","","",""
"75","1984","no migration background","West Germany","","","",""
"75","1984","no migration background","East Germany","","","",""
"75","1984","direct migration background","West Germany","","","",""
"75","1984","direct migration background","East Germany","","","",""
"75","1984","indirect migration background","West Germany","","","",""
"75","1984","indirect migration background","East Germany","","","",""
"76","1984","no migration background","West Germany","","","",""
"76","1984","no migration background","East Germany","","","",""
"76","1984","direct migration background","West Germany","","","",""
"76","1984","direct migration background","East Germany","","","",""
"76","1984","indirect migration background","West Germany","","","",""
"76","1984","indirect migration background","East Germany","","","",""
"77","1984","no migration background","West Germany","","","",""
"77","1984","no migration background","East Germany","","","",""
"77","1984","direct migration background","West Germany","","","",""
"77","1984","direct migration background","East Germany","","","",""
"77","1984","indirect migration background","West Germany","","","",""
"77","1984","indirect migration background","East Germany","","","",""
"78","1984","no migration background","West Germany","","","",""
"78","1984","no migration background","East Germany","","","",""
"78","1984","direct migration background","West Germany","","","",""
"78","1984","direct migration background","East Germany","","","",""
"78","1984","indirect migration background","West Germany","","","",""
"78","1984","indirect migration background","East Germany","","","",""
"79","1984","no migration background","West Germany","","","",""
"79","1984","no migration background","East Germany","","","",""
"79","1984","direct migration background","West Germany","","","",""
"79","1984","direct migration background","East Germany","","","",""
"79","1984","indirect migration background","West Germany","","","",""
"79","1984","indirect migration background","East Germany","","","",""
"80","1984","no migration background","West Germany","","","",""
"80","1984","no migration background","East Germany","","","",""
"80","1984","direct migration background","West Germany","","","",""
"80","1984","direct migration background","East Germany","","","",""
"80","1984","indirect migration background","West Germany","","","",""
"80","1984","indirect migration background","East Germany","","","",""
"81","1984","no migration background","West Germany","","","",""
"81","1984","no migration background","East Germany","","","",""
"81","1984","direct migration background","West Germany","","","",""
"81","1984","direct migration background","East Germany","","","",""
"81","1984","indirect migration background","West Germany","","","",""
"81","1984","indirect migration background","East Germany","","","",""
"82","1984","no migration background","West Germany","","","",""
"82","1984","no migration background","East Germany","","","",""
"82","1984","direct migration background","West Germany","","","",""
"82","1984","direct migration background","East Germany","","","",""
"82","1984","indirect migration background","West Germany","","","",""
"82","1984","indirect migration background","East Germany","","","",""
"83","1984","no migration background","West Germany","","","",""
"83","1984","no migration background","East Germany","","","",""
"83","1984","direct migration background","West Germany","","","",""
"83","1984","direct migration background","East Germany","","","",""
"83","1984","indirect migration background","West Germany","","","",""
"83","1984","indirect migration background","East Germany","","","",""
"84","1984","no migration background","West Germany","","","",""
"84","1984","no migration background","East Germany","","","",""
"84","1984","direct migration background","West Germany","","","",""
"84","1984","direct migration background","East Germany","","","",""
"84","1984","indirect migration background","West Germany","","","",""
"84","1984","indirect migration background","East Germany","","","",""
"85","1984","no migration background","West Germany","","","",""
"85","1984","no migration background","East Germany","","","",""
"85","1984","direct migration background","West Germany","","","",""
"85","1984","direct migration background","East Germany","","","",""
"85","1984","indirect migration background","West Germany","","","",""
"85","1984","indirect migration background","East Germany","","","",""
"86","1984","no migration background","West Germany","","","",""
"86","1984","no migration background","East Germany","","","",""
"86","1984","direct migration background","West Germany","","","",""
"86","1984","direct migration background","East Germany","","","",""
"86","1984","indirect migration background","West Germany","","","",""
"86","1984","indirect migration background","East Germany","","","",""
"89","1984","no migration background","West Germany","","","",""
"89","1984","no migration background","East Germany","","","",""
"89","1984","direct migration background","West Germany","","","",""
"89","1984","direct migration background","East Germany","","","",""
"89","1984","indirect migration background","West Germany","","","",""
"89","1984","indirect migration background","East Germany","","","",""
"90","1984","no migration background","West Germany","","","",""
"90","1984","no migration background","East Germany","","","",""
"90","1984","direct migration background","West Germany","","","",""
"90","1984","direct migration background","East Germany","","","",""
"90","1984","indirect migration background","West Germany","","","",""
"90","1984","indirect migration background","East Germany","","","",""
"92","1984","no migration background","West Germany","","","",""
"92","1984","no migration background","East Germany","","","",""
"92","1984","direct migration background","West Germany","","","",""
"92","1984","direct migration background","East Germany","","","",""
"92","1984","indirect migration background","West Germany","","","",""
"92","1984","indirect migration background","East Germany","","","",""
"94","1984","no migration background","West Germany","","","",""
"94","1984","no migration background","East Germany","","","",""
"94","1984","direct migration background","West Germany","","","",""
"94","1984","direct migration background","East Germany","","","",""
"94","1984","indirect migration background","West Germany","","","",""
"94","1984","indirect migration background","East Germany","","","",""
"95","1984","no migration background","West Germany","","","",""
"95","1984","no migration background","East Germany","","","",""
"95","1984","direct migration background","West Germany","","","",""
"95","1984","direct migration background","East Germany","","","",""
"95","1984","indirect migration background","West Germany","","","",""
"95","1984","indirect migration background","East Germany","","","",""
"96","1984","no migration background","West Germany","","","",""
"96","1984","no migration background","East Germany","","","",""
"96","1984","direct migration background","West Germany","","","",""
"96","1984","direct migration background","East Germany","","","",""
"96","1984","indirect migration background","West Germany","","","",""
"96","1984","indirect migration background","East Germany","","","",""
"97","1984","no migration background","West Germany","","","",""
"97","1984","no migration background","East Germany","","","",""
"97","1984","direct migration background","West Germany","","","",""
"97","1984","direct migration background","East Germany","","","",""
"97","1984","indirect migration background","West Germany","","","",""
"97","1984","indirect migration background","East Germany","","","",""
"98","1984","no migration background","West Germany","1","","",""
"98","1984","no migration background","East Germany","","","",""
"98","1984","direct migration background","West Germany","7","","",""
"98","1984","direct migration background","East Germany","","","",""
"98","1984","indirect migration background","West Germany","2","","",""
"98","1984","indirect migration background","East Germany","","","",""
"101","1984","no migration background","West Germany","","","",""
"101","1984","no migration background","East Germany","","","",""
"101","1984","direct migration background","West Germany","","","",""
"101","1984","direct migration background","East Germany","","","",""
"101","1984","indirect migration background","West Germany","","","",""
"101","1984","indirect migration background","East Germany","","","",""
"102","1984","no migration background","West Germany","","","",""
"102","1984","no migration background","East Germany","","","",""
"102","1984","direct migration background","West Germany","","","",""
"102","1984","direct migration background","East Germany","","","",""
"102","1984","indirect migration background","West Germany","","","",""
"102","1984","indirect migration background","East Germany","","","",""
"103","1984","no migration background","West Germany","","","",""
"103","1984","no migration background","East Germany","","","",""
"103","1984","direct migration background","West Germany","","","",""
"103","1984","direct migration background","East Germany","","","",""
"103","1984","indirect migration background","West Germany","","","",""
"103","1984","indirect migration background","East Germany","","","",""
"105","1984","no migration background","West Germany","","","",""
"105","1984","no migration background","East Germany","","","",""
"105","1984","direct migration background","West Germany","","","",""
"105","1984","direct migration background","East Germany","","","",""
"105","1984","indirect migration background","West Germany","","","",""
"105","1984","indirect migration background","East Germany","","","",""
"108","1984","no migration background","West Germany","","","",""
"108","1984","no migration background","East Germany","","","",""
"108","1984","direct migration background","West Germany","","","",""
"108","1984","direct migration background","East Germany","","","",""
"108","1984","indirect migration background","West Germany","","","",""
"108","1984","indirect migration background","East Germany","","","",""
"110","1984","no migration background","West Germany","","","",""
"110","1984","no migration background","East Germany","","","",""
"110","1984","direct migration background","West Germany","","","",""
"110","1984","direct migration background","East Germany","","","",""
"110","1984","indirect migration background","West Germany","","","",""
"110","1984","indirect migration background","East Germany","","","",""
"111","1984","no migration background","West Germany","","","",""
"111","1984","no migration background","East Germany","","","",""
"111","1984","direct migration background","West Germany","","","",""
"111","1984","direct migration background","East Germany","","","",""
"111","1984","indirect migration background","West Germany","","","",""
"111","1984","indirect migration background","East Germany","","","",""
"113","1984","no migration background","West Germany","","","",""
"113","1984","no migration background","East Germany","","","",""
"113","1984","direct migration background","West Germany","","","",""
"113","1984","direct migration background","East Germany","","","",""
"113","1984","indirect migration background","West Germany","","","",""
"113","1984","indirect migration background","East Germany","","","",""
"116","1984","no migration background","West Germany","","","",""
"116","1984","no migration background","East Germany","","","",""
"116","1984","direct migration background","West Germany","","","",""
"116","1984","direct migration background","East Germany","","","",""
"116","1984","indirect migration background","West Germany","","","",""
"116","1984","indirect migration background","East Germany","","","",""
"117","1984","no migration background","West Germany","","","",""
"117","1984","no migration background","East Germany","","","",""
"117","1984","direct migration background","West Germany","","","",""
"117","1984","direct migration background","East Germany","","","",""
"117","1984","indirect migration background","West Germany","","","",""
"117","1984","indirect migration background","East Germany","","","",""
"118","1984","no migration background","West Germany","","","",""
"118","1984","no migration background","East Germany","","","",""
"118","1984","direct migration background","West Germany","","","",""
"118","1984","direct migration background","East Germany","","","",""
"118","1984","indirect migration background","West Germany","","","",""
"118","1984","indirect migration background","East Germany","","","",""
"119","1984","no migration background","West Germany","","","",""
"119","1984","no migration background","East Germany","","","",""
"119","1984","direct migration background","West Germany","","","",""
"119","1984","direct migration background","East Germany","","","",""
"119","1984","indirect migration background","West Germany","","","",""
"119","1984","indirect migration background","East Germany","","","",""
"120","1984","no migration background","West Germany","","","",""
"120","1984","no migration background","East Germany","","","",""
"120","1984","direct migration background","West Germany","","","",""
"120","1984","direct migration background","East Germany","","","",""
"120","1984","indirect migration background","West Germany","","","",""
"120","1984","indirect migration background","East Germany","","","",""
"121","1984","no migration background","West Germany","","","",""
"121","1984","no migration background","East Germany","","","",""
"121","1984","direct migration background","West Germany","","","",""
"121","1984","direct migration background","East Germany","","","",""
"121","1984","indirect migration background","West Germany","","","",""
"121","1984","indirect migration background","East Germany","","","",""
"122","1984","no migration background","West Germany","","","",""
"122","1984","no migration background","East Germany","","","",""
"122","1984","direct migration background","West Germany","","","",""
"122","1984","direct migration background","East Germany","","","",""
"122","1984","indirect migration background","West Germany","","","",""
"122","1984","indirect migration background","East Germany","","","",""
"123","1984","no migration background","West Germany","","","",""
"123","1984","no migration background","East Germany","","","",""
"123","1984","direct migration background","West Germany","","","",""
"123","1984","direct migration background","East Germany","","","",""
"123","1984","indirect migration background","West Germany","","","",""
"123","1984","indirect migration background","East Germany","","","",""
"124","1984","no migration background","West Germany","","","",""
"124","1984","no migration background","East Germany","","","",""
"124","1984","direct migration background","West Germany","","","",""
"124","1984","direct migration background","East Germany","","","",""
"124","1984","indirect migration background","West Germany","","","",""
"124","1984","indirect migration background","East Germany","","","",""
"125","1984","no migration background","West Germany","","","",""
"125","1984","no migration background","East Germany","","","",""
"125","1984","direct migration background","West Germany","","","",""
"125","1984","direct migration background","East Germany","","","",""
"125","1984","indirect migration background","West Germany","","","",""
"125","1984","indirect migration background","East Germany","","","",""
"127","1984","no migration background","West Germany","","","",""
"127","1984","no migration background","East Germany","","","",""
"127","1984","direct migration background","West Germany","","","",""
"127","1984","direct migration background","East Germany","","","",""
"127","1984","indirect migration background","West Germany","","","",""
"127","1984","indirect migration background","East Germany","","","",""
"128","1984","no migration background","West Germany","","","",""
"128","1984","no migration background","East Germany","","","",""
"128","1984","direct migration background","West Germany","","","",""
"128","1984","direct migration background","East Germany","","","",""
