"pgnation","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"4","1985","middle vocational","Urban Area","97","0.00296378827094992","0.00129639726513754","0.0046311792767623"
"4","1985","middle vocational","Rural Area","5","","",""
"4","1985","vocational + Abi","Urban Area","2","","",""
"4","1985","vocational + Abi","Rural Area","2","","",""
"4","1985","higher vocational","Urban Area","2","","",""
"4","1985","higher vocational","Rural Area","","","",""
"4","1985","higher education","Urban Area","19","","",""
"4","1985","higher education","Rural Area","","","",""
"5","1985","in school","Urban Area","3","","",""
"5","1985","in school","Rural Area","1","","",""
"5","1985","inadequately","Urban Area","164","0.152928952532912","0.127031865619807","0.178826039446017"
"5","1985","inadequately","Rural Area","12","","",""
"5","1985","general elemantary","Urban Area","144","0.0136434528283511","0.00896218775718799","0.0183247178995141"
"5","1985","general elemantary","Rural Area","30","0.00891846560068799","0.00205123540075944","0.0157856958006165"
"5","1985","middle vocational","Urban Area","122","0.00729738867865355","0.0046867202181182","0.0099080571391889"
"5","1985","middle vocational","Rural Area","15","","",""
"5","1985","vocational + Abi","Urban Area","8","","",""
"5","1985","vocational + Abi","Rural Area","2","","",""
"5","1985","higher vocational","Urban Area","1","","",""
"5","1985","higher vocational","Rural Area","","","",""
"5","1985","higher education","Urban Area","10","","",""
"5","1985","higher education","Rural Area","2","","",""
"6","1985","in school","Urban Area","","","",""
"6","1985","in school","Rural Area","","","",""
"6","1985","inadequately","Urban Area","72","0.0309659653903115","0.0185019503107912","0.0434299804698317"
"6","1985","inadequately","Rural Area","7","","",""
"6","1985","general elemantary","Urban Area","107","0.00433170143768092","0.00168154983826725","0.00698185303709459"
"6","1985","general elemantary","Rural Area","7","","",""
"6","1985","middle vocational","Urban Area","82","0.00174869005025506","0.000467142381522564","0.00303023771898755"
"6","1985","middle vocational","Rural Area","19","","",""
"6","1985","vocational + Abi","Urban Area","8","","",""
"6","1985","vocational + Abi","Rural Area","2","","",""
"6","1985","higher vocational","Urban Area","3","","",""
"6","1985","higher vocational","Rural Area","2","","",""
"6","1985","higher education","Urban Area","6","","",""
"6","1985","higher education","Rural Area","","","",""
"10","1985","in school","Urban Area","","","",""
"10","1985","in school","Rural Area","","","",""
"10","1985","inadequately","Urban Area","","","",""
"10","1985","inadequately","Rural Area","","","",""
"10","1985","general elemantary","Urban Area","4","","",""
"10","1985","general elemantary","Rural Area","1","","",""
"10","1985","middle vocational","Urban Area","18","","",""
"10","1985","middle vocational","Rural Area","2","","",""
"10","1985","vocational + Abi","Urban Area","","","",""
"10","1985","vocational + Abi","Rural Area","","","",""
"10","1985","higher vocational","Urban Area","2","","",""
"10","1985","higher vocational","Rural Area","","","",""
"10","1985","higher education","Urban Area","3","","",""
"10","1985","higher education","Rural Area","","","",""
"11","1985","in school","Urban Area","","","",""
"11","1985","in school","Rural Area","","","",""
"11","1985","inadequately","Urban Area","","","",""
"11","1985","inadequately","Rural Area","","","",""
"11","1985","general elemantary","Urban Area","2","","",""
"11","1985","general elemantary","Rural Area","","","",""
"11","1985","middle vocational","Urban Area","5","","",""
"11","1985","middle vocational","Rural Area","1","","",""
"11","1985","vocational + Abi","Urban Area","1","","",""
"11","1985","vocational + Abi","Rural Area","","","",""
"11","1985","higher vocational","Urban Area","","","",""
"11","1985","higher vocational","Rural Area","","","",""
"11","1985","higher education","Urban Area","3","","",""
"11","1985","higher education","Rural Area","","","",""
"12","1985","in school","Urban Area","","","",""
"12","1985","in school","Rural Area","","","",""
"12","1985","inadequately","Urban Area","","","",""
"12","1985","inadequately","Rural Area","","","",""
"12","1985","general elemantary","Urban Area","5","","",""
"12","1985","general elemantary","Rural Area","","","",""
"12","1985","middle vocational","Urban Area","5","","",""
"12","1985","middle vocational","Rural Area","","","",""
"12","1985","vocational + Abi","Urban Area","1","","",""
"12","1985","vocational + Abi","Rural Area","","","",""
"12","1985","higher vocational","Urban Area","","","",""
"12","1985","higher vocational","Rural Area","","","",""
"12","1985","higher education","Urban Area","","","",""
"12","1985","higher education","Rural Area","","","",""
"13","1985","in school","Urban Area","","","",""
"13","1985","in school","Rural Area","","","",""
"13","1985","inadequately","Urban Area","","","",""
"13","1985","inadequately","Rural Area","","","",""
"13","1985","general elemantary","Urban Area","","","",""
"13","1985","general elemantary","Rural Area","","","",""
"13","1985","middle vocational","Urban Area","","","",""
"13","1985","middle vocational","Rural Area","","","",""
"13","1985","vocational + Abi","Urban Area","","","",""
"13","1985","vocational + Abi","Rural Area","","","",""
"13","1985","higher vocational","Urban Area","","","",""
"13","1985","higher vocational","Rural Area","","","",""
"13","1985","higher education","Urban Area","","","",""
"13","1985","higher education","Rural Area","","","",""
"14","1985","in school","Urban Area","","","",""
"14","1985","in school","Rural Area","","","",""
"14","1985","inadequately","Urban Area","1","","",""
"14","1985","inadequately","Rural Area","","","",""
"14","1985","general elemantary","Urban Area","","","",""
"14","1985","general elemantary","Rural Area","","","",""
"14","1985","middle vocational","Urban Area","2","","",""
"14","1985","middle vocational","Rural Area","","","",""
"14","1985","vocational + Abi","Urban Area","","","",""
"14","1985","vocational + Abi","Rural Area","","","",""
"14","1985","higher vocational","Urban Area","","","",""
"14","1985","higher vocational","Rural Area","","","",""
"14","1985","higher education","Urban Area","2","","",""
"14","1985","higher education","Rural Area","","","",""
"15","1985","in school","Urban Area","","","",""
"15","1985","in school","Rural Area","","","",""
"15","1985","inadequately","Urban Area","","","",""
"15","1985","inadequately","Rural Area","","","",""
"15","1985","general elemantary","Urban Area","","","",""
"15","1985","general elemantary","Rural Area","","","",""
"15","1985","middle vocational","Urban Area","","","",""
"15","1985","middle vocational","Rural Area","","","",""
"15","1985","vocational + Abi","Urban Area","","","",""
"15","1985","vocational + Abi","Rural Area","","","",""
"15","1985","higher vocational","Urban Area","","","",""
"15","1985","higher vocational","Rural Area","","","",""
"15","1985","higher education","Urban Area","","","",""
"15","1985","higher education","Rural Area","","","",""
"16","1985","in school","Urban Area","","","",""
"16","1985","in school","Rural Area","","","",""
"16","1985","inadequately","Urban Area","","","",""
"16","1985","inadequately","Rural Area","","","",""
"16","1985","general elemantary","Urban Area","","","",""
"16","1985","general elemantary","Rural Area","","","",""
"16","1985","middle vocational","Urban Area","","","",""
"16","1985","middle vocational","Rural Area","","","",""
"16","1985","vocational + Abi","Urban Area","","","",""
"16","1985","vocational + Abi","Rural Area","","","",""
"16","1985","higher vocational","Urban Area","","","",""
"16","1985","higher vocational","Rural Area","","","",""
"16","1985","higher education","Urban Area","","","",""
"16","1985","higher education","Rural Area","","","",""
"17","1985","in school","Urban Area","","","",""
"17","1985","in school","Rural Area","","","",""
"17","1985","inadequately","Urban Area","","","",""
"17","1985","inadequately","Rural Area","","","",""
"17","1985","general elemantary","Urban Area","","","",""
"17","1985","general elemantary","Rural Area","","","",""
"17","1985","middle vocational","Urban Area","","","",""
"17","1985","middle vocational","Rural Area","1","","",""
"17","1985","vocational + Abi","Urban Area","","","",""
"17","1985","vocational + Abi","Rural Area","","","",""
"17","1985","higher vocational","Urban Area","","","",""
"17","1985","higher vocational","Rural Area","","","",""
"17","1985","higher education","Urban Area","","","",""
"17","1985","higher education","Rural Area","","","",""
"18","1985","in school","Urban Area","","","",""
"18","1985","in school","Rural Area","","","",""
"18","1985","inadequately","Urban Area","","","",""
"18","1985","inadequately","Rural Area","","","",""
"18","1985","general elemantary","Urban Area","3","","",""
"18","1985","general elemantary","Rural Area","","","",""
"18","1985","middle vocational","Urban Area","2","","",""
"18","1985","middle vocational","Rural Area","1","","",""
"18","1985","vocational + Abi","Urban Area","","","",""
"18","1985","vocational + Abi","Rural Area","","","",""
"18","1985","higher vocational","Urban Area","","","",""
"18","1985","higher vocational","Rural Area","","","",""
"18","1985","higher education","Urban Area","2","","",""
"18","1985","higher education","Rural Area","","","",""
"19","1985","in school","Urban Area","","","",""
"19","1985","in school","Rural Area","","","",""
"19","1985","inadequately","Urban Area","","","",""
"19","1985","inadequately","Rural Area","","","",""
"19","1985","general elemantary","Urban Area","1","","",""
"19","1985","general elemantary","Rural Area","2","","",""
"19","1985","middle vocational","Urban Area","1","","",""
"19","1985","middle vocational","Rural Area","","","",""
"19","1985","vocational + Abi","Urban Area","1","","",""
"19","1985","vocational + Abi","Rural Area","","","",""
"19","1985","higher vocational","Urban Area","","","",""
"19","1985","higher vocational","Rural Area","","","",""
"19","1985","higher education","Urban Area","2","","",""
"19","1985","higher education","Rural Area","","","",""
"20","1985","in school","Urban Area","","","",""
"20","1985","in school","Rural Area","","","",""
"20","1985","inadequately","Urban Area","","","",""
"20","1985","inadequately","Rural Area","","","",""
"20","1985","general elemantary","Urban Area","1","","",""
"20","1985","general elemantary","Rural Area","","","",""
"20","1985","middle vocational","Urban Area","1","","",""
"20","1985","middle vocational","Rural Area","","","",""
"20","1985","vocational + Abi","Urban Area","","","",""
"20","1985","vocational + Abi","Rural Area","","","",""
"20","1985","higher vocational","Urban Area","","","",""
"20","1985","higher vocational","Rural Area","","","",""
"20","1985","higher education","Urban Area","","","",""
"20","1985","higher education","Rural Area","","","",""
"21","1985","in school","Urban Area","","","",""
"21","1985","in school","Rural Area","","","",""
"21","1985","inadequately","Urban Area","","","",""
"21","1985","inadequately","Rural Area","","","",""
"21","1985","general elemantary","Urban Area","1","","",""
"21","1985","general elemantary","Rural Area","","","",""
"21","1985","middle vocational","Urban Area","","","",""
"21","1985","middle vocational","Rural Area","","","",""
"21","1985","vocational + Abi","Urban Area","","","",""
"21","1985","vocational + Abi","Rural Area","","","",""
"21","1985","higher vocational","Urban Area","1","","",""
"21","1985","higher vocational","Rural Area","","","",""
"21","1985","higher education","Urban Area","","","",""
"21","1985","higher education","Rural Area","","","",""
"22","1985","in school","Urban Area","","","",""
"22","1985","in school","Rural Area","","","",""
"22","1985","inadequately","Urban Area","","","",""
"22","1985","inadequately","Rural Area","","","",""
"22","1985","general elemantary","Urban Area","","","",""
"22","1985","general elemantary","Rural Area","","","",""
"22","1985","middle vocational","Urban Area","2","","",""
"22","1985","middle vocational","Rural Area","1","","",""
"22","1985","vocational + Abi","Urban Area","","","",""
"22","1985","vocational + Abi","Rural Area","","","",""
"22","1985","higher vocational","Urban Area","3","","",""
"22","1985","higher vocational","Rural Area","1","","",""
"22","1985","higher education","Urban Area","","","",""
"22","1985","higher education","Rural Area","","","",""
"23","1985","in school","Urban Area","","","",""
"23","1985","in school","Rural Area","","","",""
"23","1985","inadequately","Urban Area","","","",""
"23","1985","inadequately","Rural Area","","","",""
"23","1985","general elemantary","Urban Area","","","",""
"23","1985","general elemantary","Rural Area","","","",""
"23","1985","middle vocational","Urban Area","","","",""
"23","1985","middle vocational","Rural Area","","","",""
"23","1985","vocational + Abi","Urban Area","","","",""
"23","1985","vocational + Abi","Rural Area","","","",""
"23","1985","higher vocational","Urban Area","","","",""
"23","1985","higher vocational","Rural Area","","","",""
"23","1985","higher education","Urban Area","3","","",""
"23","1985","higher education","Rural Area","","","",""
"24","1985","in school","Urban Area","","","",""
"24","1985","in school","Rural Area","","","",""
"24","1985","inadequately","Urban Area","","","",""
"24","1985","inadequately","Rural Area","","","",""
"24","1985","general elemantary","Urban Area","","","",""
"24","1985","general elemantary","Rural Area","","","",""
"24","1985","middle vocational","Urban Area","1","","",""
"24","1985","middle vocational","Rural Area","","","",""
"24","1985","vocational + Abi","Urban Area","","","",""
"24","1985","vocational + Abi","Rural Area","","","",""
"24","1985","higher vocational","Urban Area","","","",""
"24","1985","higher vocational","Rural Area","","","",""
"24","1985","higher education","Urban Area","1","","",""
"24","1985","higher education","Rural Area","","","",""
"25","1985","in school","Urban Area","","","",""
"25","1985","in school","Rural Area","","","",""
"25","1985","inadequately","Urban Area","","","",""
"25","1985","inadequately","Rural Area","","","",""
"25","1985","general elemantary","Urban Area","","","",""
"25","1985","general elemantary","Rural Area","","","",""
"25","1985","middle vocational","Urban Area","","","",""
"25","1985","middle vocational","Rural Area","","","",""
"25","1985","vocational + Abi","Urban Area","","","",""
"25","1985","vocational + Abi","Rural Area","","","",""
"25","1985","higher vocational","Urban Area","","","",""
"25","1985","higher vocational","Rural Area","","","",""
"25","1985","higher education","Urban Area","","","",""
"25","1985","higher education","Rural Area","","","",""
"26","1985","in school","Urban Area","","","",""
"26","1985","in school","Rural Area","","","",""
"26","1985","inadequately","Urban Area","","","",""
"26","1985","inadequately","Rural Area","","","",""
"26","1985","general elemantary","Urban Area","","","",""
"26","1985","general elemantary","Rural Area","","","",""
"26","1985","middle vocational","Urban Area","","","",""
"26","1985","middle vocational","Rural Area","","","",""
"26","1985","vocational + Abi","Urban Area","1","","",""
"26","1985","vocational + Abi","Rural Area","","","",""
"26","1985","higher vocational","Urban Area","","","",""
"26","1985","higher vocational","Rural Area","","","",""
"26","1985","higher education","Urban Area","1","","",""
"26","1985","higher education","Rural Area","","","",""
"27","1985","in school","Urban Area","","","",""
"27","1985","in school","Rural Area","","","",""
"27","1985","inadequately","Urban Area","","","",""
"27","1985","inadequately","Rural Area","","","",""
"27","1985","general elemantary","Urban Area","","","",""
"27","1985","general elemantary","Rural Area","","","",""
"27","1985","middle vocational","Urban Area","","","",""
"27","1985","middle vocational","Rural Area","","","",""
"27","1985","vocational + Abi","Urban Area","","","",""
"27","1985","vocational + Abi","Rural Area","","","",""
"27","1985","higher vocational","Urban Area","","","",""
"27","1985","higher vocational","Rural Area","","","",""
"27","1985","higher education","Urban Area","","","",""
"27","1985","higher education","Rural Area","","","",""
"28","1985","in school","Urban Area","","","",""
"28","1985","in school","Rural Area","","","",""
"28","1985","inadequately","Urban Area","","","",""
"28","1985","inadequately","Rural Area","","","",""
"28","1985","general elemantary","Urban Area","","","",""
"28","1985","general elemantary","Rural Area","","","",""
"28","1985","middle vocational","Urban Area","","","",""
"28","1985","middle vocational","Rural Area","","","",""
"28","1985","vocational + Abi","Urban Area","","","",""
"28","1985","vocational + Abi","Rural Area","","","",""
"28","1985","higher vocational","Urban Area","","","",""
"28","1985","higher vocational","Rural Area","","","",""
"28","1985","higher education","Urban Area","","","",""
"28","1985","higher education","Rural Area","","","",""
"29","1985","in school","Urban Area","","","",""
"29","1985","in school","Rural Area","","","",""
"29","1985","inadequately","Urban Area","","","",""
"29","1985","inadequately","Rural Area","","","",""
"29","1985","general elemantary","Urban Area","","","",""
"29","1985","general elemantary","Rural Area","","","",""
"29","1985","middle vocational","Urban Area","","","",""
"29","1985","middle vocational","Rural Area","","","",""
"29","1985","vocational + Abi","Urban Area","","","",""
"29","1985","vocational + Abi","Rural Area","","","",""
"29","1985","higher vocational","Urban Area","","","",""
"29","1985","higher vocational","Rural Area","","","",""
"29","1985","higher education","Urban Area","","","",""
"29","1985","higher education","Rural Area","","","",""
"30","1985","in school","Urban Area","","","",""
"30","1985","in school","Rural Area","","","",""
"30","1985","inadequately","Urban Area","","","",""
"30","1985","inadequately","Rural Area","","","",""
"30","1985","general elemantary","Urban Area","","","",""
"30","1985","general elemantary","Rural Area","","","",""
"30","1985","middle vocational","Urban Area","","","",""
"30","1985","middle vocational","Rural Area","","","",""
"30","1985","vocational + Abi","Urban Area","","","",""
"30","1985","vocational + Abi","Rural Area","","","",""
"30","1985","higher vocational","Urban Area","","","",""
"30","1985","higher vocational","Rural Area","","","",""
"30","1985","higher education","Urban Area","","","",""
"30","1985","higher education","Rural Area","","","",""
"31","1985","in school","Urban Area","","","",""
"31","1985","in school","Rural Area","","","",""
"31","1985","inadequately","Urban Area","","","",""
"31","1985","inadequately","Rural Area","","","",""
"31","1985","general elemantary","Urban Area","","","",""
"31","1985","general elemantary","Rural Area","","","",""
"31","1985","middle vocational","Urban Area","1","","",""
"31","1985","middle vocational","Rural Area","","","",""
"31","1985","vocational + Abi","Urban Area","1","","",""
"31","1985","vocational + Abi","Rural Area","","","",""
"31","1985","higher vocational","Urban Area","","","",""
"31","1985","higher vocational","Rural Area","","","",""
"31","1985","higher education","Urban Area","","","",""
"31","1985","higher education","Rural Area","","","",""
"32","1985","in school","Urban Area","","","",""
"32","1985","in school","Rural Area","","","",""
"32","1985","inadequately","Urban Area","","","",""
"32","1985","inadequately","Rural Area","","","",""
"32","1985","general elemantary","Urban Area","","","",""
"32","1985","general elemantary","Rural Area","","","",""
"32","1985","middle vocational","Urban Area","","","",""
"32","1985","middle vocational","Rural Area","","","",""
"32","1985","vocational + Abi","Urban Area","","","",""
"32","1985","vocational + Abi","Rural Area","","","",""
"32","1985","higher vocational","Urban Area","","","",""
"32","1985","higher vocational","Rural Area","","","",""
"32","1985","higher education","Urban Area","","","",""
"32","1985","higher education","Rural Area","","","",""
"34","1985","in school","Urban Area","","","",""
"34","1985","in school","Rural Area","","","",""
"34","1985","inadequately","Urban Area","","","",""
"34","1985","inadequately","Rural Area","","","",""
"34","1985","general elemantary","Urban Area","","","",""
"34","1985","general elemantary","Rural Area","","","",""
"34","1985","middle vocational","Urban Area","","","",""
"34","1985","middle vocational","Rural Area","","","",""
"34","1985","vocational + Abi","Urban Area","1","","",""
"34","1985","vocational + Abi","Rural Area","","","",""
"34","1985","higher vocational","Urban Area","","","",""
"34","1985","higher vocational","Rural Area","","","",""
"34","1985","higher education","Urban Area","","","",""
"34","1985","higher education","Rural Area","","","",""
"35","1985","in school","Urban Area","","","",""
"35","1985","in school","Rural Area","","","",""
"35","1985","inadequately","Urban Area","","","",""
"35","1985","inadequately","Rural Area","","","",""
"35","1985","general elemantary","Urban Area","","","",""
"35","1985","general elemantary","Rural Area","","","",""
"35","1985","middle vocational","Urban Area","","","",""
"35","1985","middle vocational","Rural Area","","","",""
"35","1985","vocational + Abi","Urban Area","","","",""
"35","1985","vocational + Abi","Rural Area","","","",""
"35","1985","higher vocational","Urban Area","","","",""
"35","1985","higher vocational","Rural Area","","","",""
"35","1985","higher education","Urban Area","","","",""
"35","1985","higher education","Rural Area","","","",""
"37","1985","in school","Urban Area","","","",""
"37","1985","in school","Rural Area","","","",""
"37","1985","inadequately","Urban Area","","","",""
"37","1985","inadequately","Rural Area","","","",""
"37","1985","general elemantary","Urban Area","","","",""
"37","1985","general elemantary","Rural Area","","","",""
"37","1985","middle vocational","Urban Area","","","",""
"37","1985","middle vocational","Rural Area","","","",""
"37","1985","vocational + Abi","Urban Area","","","",""
"37","1985","vocational + Abi","Rural Area","","","",""
"37","1985","higher vocational","Urban Area","","","",""
"37","1985","higher vocational","Rural Area","","","",""
"37","1985","higher education","Urban Area","","","",""
"37","1985","higher education","Rural Area","","","",""
"38","1985","in school","Urban Area","","","",""
"38","1985","in school","Rural Area","","","",""
"38","1985","inadequately","Urban Area","","","",""
"38","1985","inadequately","Rural Area","","","",""
"38","1985","general elemantary","Urban Area","","","",""
"38","1985","general elemantary","Rural Area","","","",""
"38","1985","middle vocational","Urban Area","1","","",""
"38","1985","middle vocational","Rural Area","","","",""
"38","1985","vocational + Abi","Urban Area","","","",""
"38","1985","vocational + Abi","Rural Area","","","",""
"38","1985","higher vocational","Urban Area","1","","",""
"38","1985","higher vocational","Rural Area","","","",""
"38","1985","higher education","Urban Area","","","",""
"38","1985","higher education","Rural Area","","","",""
"39","1985","in school","Urban Area","","","",""
"39","1985","in school","Rural Area","","","",""
"39","1985","inadequately","Urban Area","","","",""
"39","1985","inadequately","Rural Area","","","",""
"39","1985","general elemantary","Urban Area","1","","",""
"39","1985","general elemantary","Rural Area","","","",""
"39","1985","middle vocational","Urban Area","1","","",""
"39","1985","middle vocational","Rural Area","","","",""
"39","1985","vocational + Abi","Urban Area","","","",""
"39","1985","vocational + Abi","Rural Area","","","",""
"39","1985","higher vocational","Urban Area","","","",""
"39","1985","higher vocational","Rural Area","","","",""
"39","1985","higher education","Urban Area","","","",""
"39","1985","higher education","Rural Area","","","",""
"40","1985","in school","Urban Area","","","",""
"40","1985","in school","Rural Area","","","",""
"40","1985","inadequately","Urban Area","","","",""
"40","1985","inadequately","Rural Area","","","",""
"40","1985","general elemantary","Urban Area","","","",""
"40","1985","general elemantary","Rural Area","","","",""
"40","1985","middle vocational","Urban Area","","","",""
"40","1985","middle vocational","Rural Area","","","",""
"40","1985","vocational + Abi","Urban Area","","","",""
"40","1985","vocational + Abi","Rural Area","","","",""
"40","1985","higher vocational","Urban Area","","","",""
"40","1985","higher vocational","Rural Area","","","",""
"40","1985","higher education","Urban Area","","","",""
"40","1985","higher education","Rural Area","","","",""
"41","1985","in school","Urban Area","","","",""
"41","1985","in school","Rural Area","","","",""
"41","1985","inadequately","Urban Area","","","",""
"41","1985","inadequately","Rural Area","","","",""
"41","1985","general elemantary","Urban Area","","","",""
"41","1985","general elemantary","Rural Area","","","",""
"41","1985","middle vocational","Urban Area","","","",""
"41","1985","middle vocational","Rural Area","1","","",""
"41","1985","vocational + Abi","Urban Area","","","",""
"41","1985","vocational + Abi","Rural Area","","","",""
"41","1985","higher vocational","Urban Area","","","",""
"41","1985","higher vocational","Rural Area","","","",""
"41","1985","higher education","Urban Area","","","",""
"41","1985","higher education","Rural Area","","","",""
"42","1985","in school","Urban Area","","","",""
"42","1985","in school","Rural Area","","","",""
"42","1985","inadequately","Urban Area","","","",""
"42","1985","inadequately","Rural Area","","","",""
"42","1985","general elemantary","Urban Area","","","",""
"42","1985","general elemantary","Rural Area","","","",""
"42","1985","middle vocational","Urban Area","","","",""
"42","1985","middle vocational","Rural Area","","","",""
"42","1985","vocational + Abi","Urban Area","1","","",""
"42","1985","vocational + Abi","Rural Area","","","",""
"42","1985","higher vocational","Urban Area","","","",""
"42","1985","higher vocational","Rural Area","","","",""
"42","1985","higher education","Urban Area","","","",""
"42","1985","higher education","Rural Area","","","",""
"43","1985","in school","Urban Area","","","",""
"43","1985","in school","Rural Area","","","",""
"43","1985","inadequately","Urban Area","1","","",""
"43","1985","inadequately","Rural Area","","","",""
"43","1985","general elemantary","Urban Area","","","",""
"43","1985","general elemantary","Rural Area","","","",""
"43","1985","middle vocational","Urban Area","","","",""
"43","1985","middle vocational","Rural Area","","","",""
"43","1985","vocational + Abi","Urban Area","","","",""
"43","1985","vocational + Abi","Rural Area","","","",""
"43","1985","higher vocational","Urban Area","","","",""
"43","1985","higher vocational","Rural Area","","","",""
"43","1985","higher education","Urban Area","1","","",""
"43","1985","higher education","Rural Area","","","",""
"44","1985","in school","Urban Area","","","",""
"44","1985","in school","Rural Area","","","",""
"44","1985","inadequately","Urban Area","","","",""
"44","1985","inadequately","Rural Area","1","","",""
"44","1985","general elemantary","Urban Area","","","",""
"44","1985","general elemantary","Rural Area","","","",""
"44","1985","middle vocational","Urban Area","","","",""
"44","1985","middle vocational","Rural Area","","","",""
"44","1985","vocational + Abi","Urban Area","","","",""
"44","1985","vocational + Abi","Rural Area","","","",""
"44","1985","higher vocational","Urban Area","","","",""
"44","1985","higher vocational","Rural Area","","","",""
"44","1985","higher education","Urban Area","","","",""
"44","1985","higher education","Rural Area","","","",""
"45","1985","in school","Urban Area","","","",""
"45","1985","in school","Rural Area","","","",""
"45","1985","inadequately","Urban Area","","","",""
"45","1985","inadequately","Rural Area","","","",""
"45","1985","general elemantary","Urban Area","","","",""
"45","1985","general elemantary","Rural Area","","","",""
"45","1985","middle vocational","Urban Area","","","",""
"45","1985","middle vocational","Rural Area","","","",""
"45","1985","vocational + Abi","Urban Area","","","",""
"45","1985","vocational + Abi","Rural Area","","","",""
"45","1985","higher vocational","Urban Area","","","",""
"45","1985","higher vocational","Rural Area","","","",""
"45","1985","higher education","Urban Area","","","",""
"45","1985","higher education","Rural Area","","","",""
"46","1985","in school","Urban Area","","","",""
"46","1985","in school","Rural Area","","","",""
"46","1985","inadequately","Urban Area","","","",""
"46","1985","inadequately","Rural Area","","","",""
"46","1985","general elemantary","Urban Area","","","",""
"46","1985","general elemantary","Rural Area","","","",""
"46","1985","middle vocational","Urban Area","","","",""
"46","1985","middle vocational","Rural Area","","","",""
"46","1985","vocational + Abi","Urban Area","","","",""
"46","1985","vocational + Abi","Rural Area","","","",""
"46","1985","higher vocational","Urban Area","","","",""
"46","1985","higher vocational","Rural Area","","","",""
"46","1985","higher education","Urban Area","","","",""
"46","1985","higher education","Rural Area","","","",""
"47","1985","in school","Urban Area","","","",""
"47","1985","in school","Rural Area","","","",""
"47","1985","inadequately","Urban Area","","","",""
"47","1985","inadequately","Rural Area","","","",""
"47","1985","general elemantary","Urban Area","","","",""
"47","1985","general elemantary","Rural Area","","","",""
"47","1985","middle vocational","Urban Area","","","",""
"47","1985","middle vocational","Rural Area","","","",""
"47","1985","vocational + Abi","Urban Area","","","",""
"47","1985","vocational + Abi","Rural Area","","","",""
