"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1999","no migration background","6.99","7","10916","5","6","8","9","6.96","7.02","7","7"
"2000","direct migration background","7","7","3338","5","6","8","9","6.94","7.06","7","7"
"2000","indirect migration background","7.25","7","823","5","6","8","9","7.14","7.36","7","8"
"2000","no migration background","7.1","7","20042","5","6","8","9","7.08","7.12","7","7"
"2001","direct migration background","7","7","2937","5","6","8","9","6.94","7.06","7","7"
"2001","indirect migration background","7.37","8","776","5","7","8","9","7.25","7.49","8","8"
"2001","no migration background","7.11","7","18298","5","6","8","9","7.08","7.14","7","7"
"2002","direct migration background","6.76","7","2816","5","6","8","9","6.7","6.82","7","7"
"2002","indirect migration background","7.05","7","777","4","6","8","9","6.94","7.16","7","8"
"2002","no migration background","6.93","7","19519","5","6","8","9","6.91","6.95","7","7"
"2003","direct migration background","6.72","7","2639","4","5","8","9","6.65","6.79","7","7"
"2003","indirect migration background","7.1","7","789","5","6","8","9","6.98","7.22","8","8"
"2003","no migration background","6.88","7","18826","5","6","8","9","6.85","6.91","7","7"
"2004","direct migration background","6.57","7","2548","4","5","8","9","6.5","6.64","7","7"
"2004","indirect migration background","6.79","7","809","4","6","8","9","6.66","6.92","7","7"
"2004","no migration background","6.67","7","18321","4","5","8","9","6.64","6.7","7","7"
"2005","direct migration background","6.64","7","2374","4","5","8","9","6.56","6.72","7","7"
"2005","indirect migration background","6.96","7","831","5","6","8","9","6.84","7.08","7","8"
"2005","no migration background","6.86","7","17543","4","6","8","9","6.83","6.89","7","7"
"2006","direct migration background","6.63","7","2384","4","5","8","9","6.56","6.7","7","7"
"2006","indirect migration background","6.94","7","821","4","6","8","9","6.82","7.06","7","8"
"2006","no migration background","6.79","7","18800","4","6","8","9","6.76","6.82","7","7"
"2007","direct migration background","6.62","7","2132","4","5","8","9","6.54","6.7","7","7"
"2007","indirect migration background","7.08","7","786","5","6","8","9","6.96","7.2","7","8"
"2007","no migration background","6.87","7","17656","5","6","8","9","6.84","6.9","7","7"
"2008","direct migration background","6.69","7","1911","4","5","8","9","6.61","6.77","7","7"
"2008","indirect migration background","7.05","7","773","5","6","8","9","6.93","7.17","7","7"
"2008","no migration background","6.9","7","16706","5","6","8","9","6.87","6.93","7","7"
"2009","direct migration background","6.57","7","1665","4","5","8","9","6.48","6.66","7","7"
"2009","indirect migration background","6.99","7","711","5","6","8","9","6.87","7.11","7","8"
"2009","no migration background","6.84","7","15694","4","6","8","9","6.81","6.87","7","7"
"2010","direct migration background","6.97","7","2906","5","6","8","9","6.9","7.04","7","8"
"2010","indirect migration background","7.11","7","1149","5","6","8","9","7.01","7.21","8","8"
"2010","no migration background","7.04","7","19976","5","6","8","9","7.02","7.06","8","8"
"2011","direct migration background","6.95","7","2907","5","6","8","9","6.88","7.02","7","8"
"2011","indirect migration background","7.13","7","1218","5","6","8","9","7.04","7.22","8","8"
"2011","no migration background","6.98","7","21764","5","6","8","9","6.96","7","8","8"
"2012","direct migration background","7.14","8","2909","5","6","8","9","7.07","7.21","8","8"
"2012","indirect migration background","7.37","8","1227","5","7","8","9","7.27","7.47","8","8"
"2012","no migration background","7.07","7","22358","5","6","8","9","7.05","7.09","8","8"
"2013","direct migration background","7.26","8","6403","5","6","8","9","7.21","7.31","8","8"
"2013","indirect migration background","7.3","8","2133","5","6","8","9","7.22","7.38","8","8"
"2013","no migration background","7.15","8","22152","5","6","8","9","7.13","7.17","8","8"
"2014","direct migration background","7.3","8","5123","5","6","8","9","7.25","7.35","8","8"
"2014","indirect migration background","7.38","8","1787","5","7","8","9","7.3","7.46","8","8"
"2014","no migration background","7.13","8","20209","5","6","8","9","7.11","7.15","8","8"
"2015","direct migration background","7.39","8","5932","5","7","9","9","7.34","7.44","8","8"
"2015","indirect migration background","7.53","8","1690","5","7","9","9","7.45","7.61","8","8"
"2015","no migration background","7.24","8","19276","5","6","8","9","7.22","7.26","8","8"
"2016","direct migration background","7.33","8","9313","5","6","8","9","7.29","7.37","8","8"
"2016","indirect migration background","7.55","8","1561","5","7","9","9","7.47","7.63","8","8"
"2016","no migration background","7.24","8","17850","5","6","8","9","7.22","7.26","8","8"
"2017","direct migration background","7.38","8","10200","5","7","9","9","7.34","7.42","8","8"
"2017","indirect migration background","7.41","8","1714","5","7","9","9","7.33","7.49","8","8"
"2017","no migration background","7.23","8","20300","5","6","8","9","7.21","7.25","8","8"
"2018","direct migration background","7.35","8","8753","5","7","8","9","7.31","7.39","8","8"
"2018","indirect migration background","7.39","8","1711","5","7","9","9","7.31","7.47","8","8"
"2018","no migration background","7.35","8","19589","5","7","8","9","7.33","7.37","8","8"
"2019","direct migration background","7.45","8","7698","5","7","9","9","7.41","7.49","8","8"
"2019","indirect migration background","7.55","8","1703","5","7","9","9","7.47","7.63","8","8"
"2019","no migration background","7.43","8","20249","5","7","8","9","7.41","7.45","8","8"
