"transab_cat","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1984","Baden-Württemberg","higher vocational","","","","","5"
"Complete transfer dependency","1984","Baden-Württemberg","higher education","","","","","5"
"Complete transfer dependency","1984","Bavaria","in school","","","","","5"
"Complete transfer dependency","1984","Bavaria","inadequately","1","","","","5"
"Complete transfer dependency","1984","Bavaria","general elemantary","7","","","","5"
"Complete transfer dependency","1984","Bavaria","middle vocational","9","","","","5"
"Complete transfer dependency","1984","Bavaria","vocational + Abi","","","","","5"
"Complete transfer dependency","1984","Bavaria","higher vocational","2","","","","5"
"Complete transfer dependency","1984","Bavaria","higher education","","","","","5"
"Complete transfer dependency","1984","Berlin","inadequately","2","","","","5"
"Complete transfer dependency","1984","Berlin","general elemantary","2","","","","5"
"Complete transfer dependency","1984","Berlin","middle vocational","1","","","","5"
"Complete transfer dependency","1984","Berlin","vocational + Abi","","","","","5"
"Complete transfer dependency","1984","Berlin","higher vocational","","","","","5"
"Complete transfer dependency","1984","Berlin","higher education","","","","","5"
"Complete transfer dependency","1984","Brandenburg","in school","","","","","5"
"Complete transfer dependency","1984","Brandenburg","inadequately","","","","","5"
"Complete transfer dependency","1984","Brandenburg","general elemantary","","","","","5"
"Complete transfer dependency","1984","Brandenburg","middle vocational","","","","","5"
"Complete transfer dependency","1984","Brandenburg","vocational + Abi","","","","","5"
"Complete transfer dependency","1984","Schleswig-Holstein","inadequately","","","","","5"
"Complete transfer dependency","1984","Schleswig-Holstein","general elemantary","2","","","","5"
"Complete transfer dependency","1984","Schleswig-Holstein","middle vocational","2","","","","5"
"Complete transfer dependency","1984","Schleswig-Holstein","vocational + Abi","","","","","5"
"Complete transfer dependency","1984","Schleswig-Holstein","higher vocational","1","","","","5"
"Complete transfer dependency","1984","Schleswig-Holstein","higher education","1","","","","5"
"Complete transfer dependency","1984","Hamburg","in school","","","","","5"
"Complete transfer dependency","1984","Hamburg","inadequately","","","","","5"
"Complete transfer dependency","1984","Hamburg","general elemantary","","","","","5"
"Complete transfer dependency","1984","Hamburg","middle vocational","4","","","","5"
"Complete transfer dependency","1984","Hamburg","vocational + Abi","","","","","5"
"Complete transfer dependency","1984","Hamburg","higher vocational","1","","","","5"
"Complete transfer dependency","1984","Bremen","higher education","","","","","5"
"Complete transfer dependency","1984","North Rhine-Westphalia","vocational + Abi","2","","","","5"
"Complete transfer dependency","1984","North Rhine-Westphalia","higher vocational","5","","","","5"
"Complete transfer dependency","1984","North Rhine-Westphalia","higher education","2","","","","5"
"Complete transfer dependency","1984","Hesse","in school","","","","","5"
"Complete transfer dependency","1984","Hesse","inadequately","2","","","","5"
"Complete transfer dependency","1984","Berlin","in school","","","","","5"
"Complete transfer dependency","1984","Hamburg","higher education","","","","","5"
"Complete transfer dependency","1984","Lower Saxony","in school","","","","","5"
"Complete transfer dependency","1984","Lower Saxony","inadequately","3","","","","5"
"Complete transfer dependency","1984","Lower Saxony","general elemantary","11","","","","5"
"Complete transfer dependency","1984","Lower Saxony","middle vocational","7","","","","5"
"Complete transfer dependency","1984","Saxony","inadequately","","","","","5"
"Complete transfer dependency","1984","Saxony","general elemantary","","","","","5"
"Complete transfer dependency","1984","Saxony","middle vocational","","","","","5"
"Complete transfer dependency","1984","Saxony","vocational + Abi","","","","","5"
"Complete transfer dependency","1984","Saxony","higher vocational","","","","","5"
"Complete transfer dependency","1984","Saxony","higher education","","","","","5"
"Complete transfer dependency","1984","Saxony-Anhalt","in school","","","","","5"
"Complete transfer dependency","1984","Saxony-Anhalt","inadequately","","","","","5"
"Complete transfer dependency","1984","Saxony-Anhalt","general elemantary","","","","","5"
"Complete transfer dependency","1984","Saxony-Anhalt","middle vocational","","","","","5"
"Complete transfer dependency","1984","Saxony-Anhalt","vocational + Abi","","","","","5"
"Complete transfer dependency","1984","Saxony-Anhalt","higher vocational","","","","","5"
"Complete transfer dependency","1984","Saxony-Anhalt","higher education","","","","","5"
"Complete transfer dependency","1984","Thuringia","in school","","","","","5"
"Complete transfer dependency","1984","Thuringia","inadequately","","","","","5"
"Complete transfer dependency","1984","Thuringia","general elemantary","","","","","5"
"Complete transfer dependency","1984","Thuringia","middle vocational","","","","","5"
"Complete transfer dependency","1984","Thuringia","vocational + Abi","","","","","5"
"Complete transfer dependency","1984","Thuringia","higher vocational","","","","","5"
"Complete transfer dependency","1984","Thuringia","higher education","","","","","5"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","3"
"High transfer dependency","1984","Saxony","inadequately","","","","","3"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","higher education","","","","","3"
"High transfer dependency","1984","Saxony","in school","","","","","3"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","higher vocational","","","","","3"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","higher education","","","","","3"
"High transfer dependency","1984","Baden-Württemberg","in school","","","","","3"
"High transfer dependency","1984","Baden-Württemberg","inadequately","4","","","","3"
"High transfer dependency","1984","Baden-Württemberg","general elemantary","7","","","","3"
"High transfer dependency","1984","Baden-Württemberg","middle vocational","3","","","","3"
"High transfer dependency","1984","Baden-Württemberg","higher vocational","","","","","3"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","3"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","3"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","3"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","general elemantary","1","","","","3"
"High transfer dependency","1984","Saxony","general elemantary","","","","","3"
"High transfer dependency","1984","Saxony","middle vocational","","","","","3"
"High transfer dependency","1984","Saxony","vocational + Abi","","","","","3"
"High transfer dependency","1984","Saxony","higher vocational","","","","","3"
"High transfer dependency","1984","Lower Saxony","higher vocational","","","","","3"
"High transfer dependency","1984","Lower Saxony","higher education","","","","","3"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","middle vocational","3","","","","3"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","vocational + Abi","1","","","","3"
"High transfer dependency","1984","Baden-Württemberg","vocational + Abi","","","","","3"
"High transfer dependency","1984","Saxony","higher education","","","","","3"
"High transfer dependency","1984","Saxony-Anhalt","in school","","","","","3"
"High transfer dependency","1984","Hesse","middle vocational","4","","","","3"
"High transfer dependency","1984","Hesse","vocational + Abi","4","","","","3"
"High transfer dependency","1984","Hesse","higher vocational","1","","","","3"
"High transfer dependency","1984","Hesse","higher education","2","","","","3"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","in school","","","","","3"
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","inadequately","","","","","3"
"High transfer dependency","1984","Brandenburg","higher vocational","","","","","3"
"High transfer dependency","1984","Brandenburg","higher education","","","","","3"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","in school","","","","","3"
"High transfer dependency","1984","Mecklenburg-Western Pomerania","inadequately","","","","","3"
"High transfer dependency","1984","Schleswig-Holstein","in school","","","","","3"
"High transfer dependency","1984","Schleswig-Holstein","inadequately","","","","","3"
"High transfer dependency","1984","Schleswig-Holstein","general elemantary","","","","","3"
"High transfer dependency","1984","Schleswig-Holstein","middle vocational","","","","","3"
"High transfer dependency","1984","Schleswig-Holstein","vocational + Abi","","","","","3"
"High transfer dependency","1984","Schleswig-Holstein","higher vocational","","","","","3"
"High transfer dependency","1984","Schleswig-Holstein","higher education","","","","","3"
"High transfer dependency","1984","Hamburg","in school","","","","","3"
"High transfer dependency","1984","Hamburg","inadequately","","","","","3"
"High transfer dependency","1984","Hamburg","general elemantary","1","","","","3"
"High transfer dependency","1984","Hamburg","middle vocational","1","","","","3"
"High transfer dependency","1984","Hamburg","vocational + Abi","","","","","3"
"High transfer dependency","1984","Hamburg","higher vocational","1","","","","3"
"High transfer dependency","1984","Hamburg","higher education","","","","","3"
"High transfer dependency","1984","Lower Saxony","in school","","","","","3"
"High transfer dependency","1984","Lower Saxony","inadequately","1","","","","3"
"High transfer dependency","1984","Lower Saxony","general elemantary","7","","","","3"
"High transfer dependency","1984","Lower Saxony","middle vocational","6","","","","3"
"High transfer dependency","1984","Lower Saxony","vocational + Abi","","","","","3"
"High transfer dependency","1984","Bremen","in school","","","","","3"
"High transfer dependency","1984","Bremen","inadequately","1","","","","3"
"High transfer dependency","1984","Bremen","general elemantary","1","","","","3"
"High transfer dependency","1984","Bremen","middle vocational","1","","","","3"
"High transfer dependency","1984","Bremen","vocational + Abi","","","","","3"
"High transfer dependency","1984","Bremen","higher vocational","","","","","3"
"High transfer dependency","1984","Bremen","higher education","","","","","3"
"High transfer dependency","1984","North Rhine-Westphalia","in school","","","","","3"
"High transfer dependency","1984","North Rhine-Westphalia","inadequately","9","","","","3"
"High transfer dependency","1984","North Rhine-Westphalia","general elemantary","15","","","","3"
"High transfer dependency","1984","North Rhine-Westphalia","middle vocational","25","","","","3"
"High transfer dependency","1984","North Rhine-Westphalia","vocational + Abi","3","","","","3"
"High transfer dependency","1984","North Rhine-Westphalia","higher vocational","1","","","","3"
"High transfer dependency","1984","North Rhine-Westphalia","higher education","2","","","","3"
"High transfer dependency","1984","Hesse","in school","","","","","3"
"High transfer dependency","1984","Hesse","inadequately","1","","","","3"
"High transfer dependency","1984","Hesse","general elemantary","9","","","","3"
"High transfer dependency","1984","Baden-Württemberg","higher education","","","","","3"
"High transfer dependency","1984","Bavaria","in school","1","","","","3"
"High transfer dependency","1984","Bavaria","inadequately","","","","","3"
"High transfer dependency","1984","Bavaria","general elemantary","4","","","","3"
"High transfer dependency","1984","Bavaria","middle vocational","5","","","","3"
"High transfer dependency","1984","Bavaria","vocational + Abi","1","","","","3"
"High transfer dependency","1984","Bavaria","higher vocational","2","","","","3"
"High transfer dependency","1984","Bavaria","higher education","","","","","3"
"High transfer dependency","1984","Berlin","in school","","","","","3"
"High transfer dependency","1984","Berlin","inadequately","","","","","3"
"High transfer dependency","1984","Berlin","general elemantary","1","","","","3"
"High transfer dependency","1984","Berlin","middle vocational","2","","","","3"
"High transfer dependency","1984","Berlin","vocational + Abi","","","","","3"
"High transfer dependency","1984","Berlin","higher vocational","","","","","3"
"High transfer dependency","1984","Berlin","higher education","","","","","3"
"High transfer dependency","1984","Brandenburg","in school","","","","","3"
"High transfer dependency","1984","Brandenburg","inadequately","","","","","3"
"High transfer dependency","1984","Brandenburg","general elemantary","","","","","3"
"High transfer dependency","1984","Brandenburg","middle vocational","","","","","3"
"High transfer dependency","1984","Brandenburg","vocational + Abi","","","","","3"
"High transfer dependency","1984","Saxony-Anhalt","inadequately","","","","","3"
"High transfer dependency","1984","Saxony-Anhalt","general elemantary","","","","","3"
"High transfer dependency","1984","Saxony-Anhalt","middle vocational","","","","","3"
"High transfer dependency","1984","Saxony-Anhalt","vocational + Abi","","","","","3"
"High transfer dependency","1984","Saxony-Anhalt","higher vocational","","","","","3"
"High transfer dependency","1984","Saxony-Anhalt","higher education","","","","","3"
"High transfer dependency","1984","Thuringia","in school","","","","","3"
"High transfer dependency","1984","Thuringia","inadequately","","","","","3"
"High transfer dependency","1984","Thuringia","general elemantary","","","","","3"
"High transfer dependency","1984","Thuringia","middle vocational","","","","","3"
"High transfer dependency","1984","Thuringia","vocational + Abi","","","","","3"
"High transfer dependency","1984","Thuringia","higher vocational","","","","","3"
"High transfer dependency","1984","Thuringia","higher education","","","","","3"
"Low transfer dependency","1984","Lower Saxony","higher education","1","","","","2"
"Low transfer dependency","1984","Bremen","in school","","","","","2"
"Low transfer dependency","1984","Bremen","inadequately","1","","","","2"
"Low transfer dependency","1984","Bremen","general elemantary","5","","","","2"
"Low transfer dependency","1984","Bremen","middle vocational","10","","","","2"
"Low transfer dependency","1984","Bremen","vocational + Abi","1","","","","2"
"Low transfer dependency","1984","Bremen","higher vocational","1","","","","2"
"Low transfer dependency","1984","Bremen","higher education","","","","","2"
"Low transfer dependency","1984","North Rhine-Westphalia","in school","5","","","","2"
"Low transfer dependency","1984","North Rhine-Westphalia","inadequately","27","","","","2"
"Low transfer dependency","1984","Hesse","general elemantary","8","","","","2"
"Low transfer dependency","1984","Hesse","middle vocational","20","","","","2"
"Low transfer dependency","1984","Hesse","vocational + Abi","1","","","","2"
"Low transfer dependency","1984","Hesse","higher vocational","","","","","2"
"Low transfer dependency","1984","Hesse","higher education","6","","","","2"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","in school","","","","","2"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","inadequately","4","","","","2"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","general elemantary","5","","","","2"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","middle vocational","10","","","","2"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","vocational + Abi","1","","","","2"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","higher vocational","","","","","2"
"Low transfer dependency","1984","Rhineland-Palatinate,Saarland","higher education","1","","","","2"
"Low transfer dependency","1984","Baden-Württemberg","middle vocational","36","0.023461398569641","0.0135889274449028","0.0333338696943792","2"
"Low transfer dependency","1984","Baden-Württemberg","vocational + Abi","3","","","","2"
"Low transfer dependency","1984","Baden-Württemberg","higher vocational","","","","","2"
"Low transfer dependency","1984","Baden-Württemberg","higher education","2","","","","2"
"Low transfer dependency","1984","Bavaria","in school","1","","","","2"
"Low transfer dependency","1984","Bavaria","inadequately","8","","","","2"
"Low transfer dependency","1984","Bavaria","general elemantary","22","","","","2"
"Low transfer dependency","1984","Bavaria","middle vocational","31","0.0235146243557682","0.0141086799771326","0.0329205687344038","2"
"Low transfer dependency","1984","Bavaria","vocational + Abi","1","","","","2"
"Low transfer dependency","1984","Bavaria","higher vocational","2","","","","2"
"Low transfer dependency","1984","Bavaria","higher education","3","","","","2"
"Low transfer dependency","1984","Berlin","in school","","","","","2"
"Low transfer dependency","1984","Berlin","inadequately","","","","","2"
"Low transfer dependency","1984","Berlin","general elemantary","1","","","","2"
"Low transfer dependency","1984","Berlin","middle vocational","3","","","","2"
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","2"
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","2"
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","2"
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","2"
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","higher education","","","","","2"
"Low transfer dependency","1984","Saxony","in school","","","","","2"
"Low transfer dependency","1984","Saxony","inadequately","","","","","2"
"Low transfer dependency","1984","Saxony","general elemantary","","","","","2"
"Low transfer dependency","1984","Saxony","middle vocational","","","","","2"
"Low transfer dependency","1984","Saxony","vocational + Abi","","","","","2"
"Low transfer dependency","1984","Saxony","higher vocational","","","","","2"
"Low transfer dependency","1984","Saxony","higher education","","","","","2"
"Low transfer dependency","1984","Saxony-Anhalt","in school","","","","","2"
"Low transfer dependency","1984","Saxony-Anhalt","inadequately","","","","","2"
"Low transfer dependency","1984","Lower Saxony","higher vocational","2","","","","2"
"Low transfer dependency","1984","Baden-Württemberg","in school","","","","","2"
"Low transfer dependency","1984","Baden-Württemberg","inadequately","19","","","","2"
"Low transfer dependency","1984","Baden-Württemberg","general elemantary","24","","","","2"
"Low transfer dependency","1984","Brandenburg","vocational + Abi","","","","","2"
"Low transfer dependency","1984","Brandenburg","higher vocational","","","","","2"
"Low transfer dependency","1984","Brandenburg","higher education","","","","","2"
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","in school","","","","","2"
"Low transfer dependency","1984","Mecklenburg-Western Pomerania","inadequately","","","","","2"
"Low transfer dependency","1984","Saxony-Anhalt","general elemantary","","","","","2"
"Low transfer dependency","1984","Saxony-Anhalt","middle vocational","","","","","2"
"Low transfer dependency","1984","Saxony-Anhalt","vocational + Abi","","","","","2"
"Low transfer dependency","1984","Saxony-Anhalt","higher vocational","","","","","2"
"Low transfer dependency","1984","Saxony-Anhalt","higher education","","","","","2"
"Low transfer dependency","1984","Thuringia","in school","","","","","2"
"Low transfer dependency","1984","Thuringia","inadequately","","","","","2"
"Low transfer dependency","1984","Thuringia","general elemantary","","","","","2"
"Low transfer dependency","1984","Thuringia","middle vocational","","","","","2"
"Low transfer dependency","1984","Thuringia","vocational + Abi","","","","","2"
"Low transfer dependency","1984","Thuringia","higher vocational","","","","","2"
"Low transfer dependency","1984","Schleswig-Holstein","in school","","","","","2"
"Low transfer dependency","1984","Schleswig-Holstein","inadequately","1","","","","2"
"Low transfer dependency","1984","Schleswig-Holstein","general elemantary","5","","","","2"
"Low transfer dependency","1984","Schleswig-Holstein","middle vocational","8","","","","2"
"Low transfer dependency","1984","Schleswig-Holstein","vocational + Abi","1","","","","2"
"Low transfer dependency","1984","Schleswig-Holstein","higher vocational","1","","","","2"
"Low transfer dependency","1984","Schleswig-Holstein","higher education","","","","","2"
"Low transfer dependency","1984","Hamburg","in school","","","","","2"
"Low transfer dependency","1984","Hamburg","inadequately","","","","","2"
"Low transfer dependency","1984","Hamburg","general elemantary","2","","","","2"
"Low transfer dependency","1984","Hamburg","middle vocational","4","","","","2"
"Low transfer dependency","1984","Hamburg","vocational + Abi","","","","","2"
"Low transfer dependency","1984","Hamburg","higher vocational","1","","","","2"
"Low transfer dependency","1984","Hamburg","higher education","","","","","2"
"Low transfer dependency","1984","Lower Saxony","in school","7","","","","2"
"Low transfer dependency","1984","Lower Saxony","inadequately","12","","","","2"
"Low transfer dependency","1984","Lower Saxony","general elemantary","25","","","","2"
"Low transfer dependency","1984","Lower Saxony","middle vocational","32","0.0531033942879205","0.0347908254644425","0.0714159631113985","2"
"Low transfer dependency","1984","Lower Saxony","vocational + Abi","2","","","","2"
"Low transfer dependency","1984","North Rhine-Westphalia","general elemantary","50","0.0384839199432812","0.0255139890036914","0.0514538508828711","2"
"Low transfer dependency","1984","North Rhine-Westphalia","middle vocational","52","0.031901822793761","0.0229454645941097","0.0408581809934123","2"
"Low transfer dependency","1984","North Rhine-Westphalia","vocational + Abi","7","","","","2"
"Low transfer dependency","1984","North Rhine-Westphalia","higher vocational","4","","","","2"
"Low transfer dependency","1984","North Rhine-Westphalia","higher education","4","","","","2"
"Low transfer dependency","1984","Hesse","in school","2","","","","2"
"Low transfer dependency","1984","Hesse","inadequately","13","","","","2"
"Low transfer dependency","1984","Berlin","vocational + Abi","","","","","2"
"Low transfer dependency","1984","Berlin","higher vocational","2","","","","2"
"Low transfer dependency","1984","Berlin","higher education","1","","","","2"
"Low transfer dependency","1984","Brandenburg","in school","","","","","2"
"Low transfer dependency","1984","Brandenburg","inadequately","","","","","2"
"Low transfer dependency","1984","Brandenburg","general elemantary","","","","","2"
"Low transfer dependency","1984","Brandenburg","middle vocational","","","","","2"
"Low transfer dependency","1984","Thuringia","higher education","","","","","2"
"No transfer dependency","1984","Schleswig-Holstein","in school","","","","","0"
"No transfer dependency","1984","Schleswig-Holstein","inadequately","","","","","0"
"No transfer dependency","1984","Schleswig-Holstein","general elemantary","39","0.576461546738468","0.470159741635698","0.682763351841238","0"
"No transfer dependency","1984","Schleswig-Holstein","middle vocational","85","0.453283155871211","0.386586014266847","0.519980297475576","0"
"No transfer dependency","1984","Schleswig-Holstein","vocational + Abi","3","","","","0"
"No transfer dependency","1984","Schleswig-Holstein","higher vocational","13","","","","0"
"No transfer dependency","1984","Schleswig-Holstein","higher education","8","","","","0"
"No transfer dependency","1984","Hamburg","in school","","","","","0"
"No transfer dependency","1984","Hamburg","inadequately","6","","","","0"
"No transfer dependency","1984","Hamburg","general elemantary","35","0.691880439780034","0.577867806256361","0.805893073303708","0"
"No transfer dependency","1984","Hamburg","middle vocational","86","0.627492815321981","0.551133955285678","0.703851675358284","0"
"No transfer dependency","1984","Hamburg","vocational + Abi","12","","","","0"
"No transfer dependency","1984","Hamburg","higher vocational","8","","","","0"
"No transfer dependency","1984","Hamburg","higher education","9","","","","0"
"No transfer dependency","1984","Lower Saxony","in school","1","","","","0"
"No transfer dependency","1984","Lower Saxony","inadequately","10","","","","0"
"No transfer dependency","1984","Lower Saxony","general elemantary","130","0.414840623288367","0.363874853275334","0.4658063933014","0"
"No transfer dependency","1984","Lower Saxony","middle vocational","223","0.43200071586781","0.391547507009768","0.472453924725851","0"
"No transfer dependency","1984","Lower Saxony","vocational + Abi","10","","","","0"
"No transfer dependency","1984","Lower Saxony","higher vocational","26","","","","0"
"No transfer dependency","1984","Lower Saxony","higher education","21","","","","0"
"No transfer dependency","1984","Bremen","in school","","","","","0"
"No transfer dependency","1984","Bremen","inadequately","1","","","","0"
"No transfer dependency","1984","Bremen","general elemantary","23","","","","0"
"No transfer dependency","1984","Bremen","middle vocational","34","0.578421420745606","0.465142758178156","0.691700083313057","0"
"No transfer dependency","1984","Bremen","vocational + Abi","1","","","","0"
"No transfer dependency","1984","Bremen","higher vocational","2","","","","0"
"No transfer dependency","1984","Bremen","higher education","1","","","","0"
"No transfer dependency","1984","North Rhine-Westphalia","in school","5","","","","0"
"No transfer dependency","1984","North Rhine-Westphalia","inadequately","83","0.306688200863783","0.2540683136852","0.359308088042366","0"
"No transfer dependency","1984","North Rhine-Westphalia","general elemantary","315","0.482873461842939","0.449180839171998","0.516566084513879","0"
"No transfer dependency","1984","North Rhine-Westphalia","middle vocational","609","0.468602631624165","0.443170892188893","0.494034371059437","0"
"No transfer dependency","1984","North Rhine-Westphalia","vocational + Abi","37","0.518622939179612","0.414228993757077","0.623016884602147","0"
"No transfer dependency","1984","North Rhine-Westphalia","higher vocational","63","0.446181153885136","0.36741459874723","0.524947709023041","0"
"No transfer dependency","1984","North Rhine-Westphalia","higher education","94","0.457400487029917","0.390339773241634","0.524461200818199","0"
"No transfer dependency","1984","Hesse","in school","1","","","","0"
"No transfer dependency","1984","Hesse","inadequately","24","","","","0"
"No transfer dependency","1984","Hesse","general elemantary","144","0.541309526393067","0.488499335984406","0.594119716801728","0"
"No transfer dependency","1984","Hesse","middle vocational","256","0.543986562378059","0.502772106882023","0.585201017874095","0"
"No transfer dependency","1984","Hesse","vocational + Abi","12","","","","0"
"No transfer dependency","1984","Hesse","higher vocational","25","","","","0"
"No transfer dependency","1984","Hesse","higher education","43","0.539150509432997","0.435591555828652","0.642709463037343","0"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","in school","2","","","","0"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","inadequately","19","","","","0"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","general elemantary","128","0.526295013670853","0.468326219465342","0.584263807876364","0"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","middle vocational","200","0.566364661947367","0.516339578328079","0.616389745566655","0"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","vocational + Abi","5","","","","0"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","higher vocational","18","","","","0"
"No transfer dependency","1984","Rhineland-Palatinate,Saarland","higher education","14","","","","0"
"No transfer dependency","1984","Baden-Württemberg","in school","4","","","","0"
"No transfer dependency","1984","Baden-Württemberg","inadequately","80","0.296773945030377","0.243359921597437","0.350187968463316","0"
"No transfer dependency","1984","Baden-Württemberg","general elemantary","268","0.524261686759614","0.486502591564633","0.562020781954595","0"
"No transfer dependency","1984","Baden-Württemberg","middle vocational","368","0.485592589297309","0.452994372084818","0.518190806509799","0"
"No transfer dependency","1984","Baden-Württemberg","vocational + Abi","24","","","","0"
"No transfer dependency","1984","Baden-Württemberg","higher vocational","44","0.467128279323213","0.372149939351197","0.56210661929523","0"
"No transfer dependency","1984","Baden-Württemberg","higher education","59","0.486359936706564","0.398030822065917","0.574689051347211","0"
"No transfer dependency","1984","Bavaria","in school","1","","","","0"
"No transfer dependency","1984","Bavaria","inadequately","22","","","","0"
"No transfer dependency","1984","Bavaria","general elemantary","217","0.479990860226085","0.438759229523084","0.521222490929086","0"
"No transfer dependency","1984","Bavaria","middle vocational","382","0.439678444962251","0.408868794997316","0.470488094927186","0"
"No transfer dependency","1984","Bavaria","vocational + Abi","22","","","","0"
"No transfer dependency","1984","Bavaria","higher vocational","56","0.495727935412654","0.407007773192572","0.584448097632737","0"
"No transfer dependency","1984","Bavaria","higher education","79","0.566524561797358","0.488002084160408","0.645047039434307","0"
"No transfer dependency","1984","Berlin","in school","1","","","","0"
"No transfer dependency","1984","Berlin","inadequately","17","","","","0"
"No transfer dependency","1984","Berlin","general elemantary","48","0.551527581266259","0.453061525786683","0.649993636745836","0"
"No transfer dependency","1984","Berlin","middle vocational","90","0.56730745702789","0.495719802935146","0.638895111120634","0"
"No transfer dependency","1984","Berlin","vocational + Abi","5","","","","0"
