"transab_cat","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Very high transfer dependency","1984","Brandenburg","Male","","","",""
"Very high transfer dependency","1984","Brandenburg","Female","","","",""
"Very high transfer dependency","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Very high transfer dependency","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Very high transfer dependency","1984","Saxony","Male","","","",""
"Very high transfer dependency","1984","Saxony","Female","","","",""
"Very high transfer dependency","1984","Saxony-Anhalt","Male","","","",""
"Very high transfer dependency","1984","Saxony-Anhalt","Female","","","",""
"Very high transfer dependency","1984","Thuringia","Male","","","",""
"Very high transfer dependency","1984","Thuringia","Female","","","",""
"Complete transfer dependency","1984","Schleswig-Holstein","Male","3","","",""
"Complete transfer dependency","1984","Schleswig-Holstein","Female","3","","",""
"Complete transfer dependency","1984","Hamburg","Male","1","","",""
"Complete transfer dependency","1984","Hamburg","Female","4","","",""
"Complete transfer dependency","1984","Lower Saxony","Male","9","","",""
"Complete transfer dependency","1984","Lower Saxony","Female","13","","",""
"Complete transfer dependency","1984","Bremen","Male","1","","",""
"Complete transfer dependency","1984","Bremen","Female","3","","",""
"Complete transfer dependency","1984","North Rhine-Westphalia","Male","22","","",""
"Complete transfer dependency","1984","North Rhine-Westphalia","Female","36","0.0250730061099779","0.0174121492002248","0.0327338630197311"
"Complete transfer dependency","1984","Hesse","Male","11","","",""
"Complete transfer dependency","1984","Hesse","Female","8","","",""
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","Male","5","","",""
"Complete transfer dependency","1984","Rhineland-Palatinate,Saarland","Female","4","","",""
"Complete transfer dependency","1984","Baden-Württemberg","Male","4","","",""
"Complete transfer dependency","1984","Baden-Württemberg","Female","7","","",""
"Complete transfer dependency","1984","Bavaria","Male","6","","",""
"Complete transfer dependency","1984","Bavaria","Female","13","","",""
"Complete transfer dependency","1984","Berlin","Male","2","","",""
"Complete transfer dependency","1984","Berlin","Female","3","","",""
"Complete transfer dependency","1984","Brandenburg","Male","","","",""
"Complete transfer dependency","1984","Brandenburg","Female","","","",""
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Complete transfer dependency","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Complete transfer dependency","1984","Saxony","Male","","","",""
"Complete transfer dependency","1984","Saxony","Female","","","",""
"Complete transfer dependency","1984","Saxony-Anhalt","Male","","","",""
"Complete transfer dependency","1984","Saxony-Anhalt","Female","","","",""
"Complete transfer dependency","1984","Thuringia","Male","","","",""
"Complete transfer dependency","1984","Thuringia","Female","","","",""
"No transfer dependency","1985","Schleswig-Holstein","Male","63","0.426188881947276","0.35050355272357","0.501874211170983"
"No transfer dependency","1985","Schleswig-Holstein","Female","78","0.52423870057608","0.450665346887839","0.597812054264321"
"No transfer dependency","1985","Hamburg","Male","63","0.604870395893471","0.52300718839678","0.686733603390163"
"No transfer dependency","1985","Hamburg","Female","64","0.639167308433915","0.558455170214158","0.719879446653671"
"No transfer dependency","1985","Lower Saxony","Male","175","0.397240915207593","0.355061389809981","0.439420440605205"
"No transfer dependency","1985","Lower Saxony","Female","200","0.44173095898928","0.399768817428966","0.483693100549593"
"No transfer dependency","1985","Bremen","Male","21","","",""
"No transfer dependency","1985","Bremen","Female","29","","",""
"No transfer dependency","1985","North Rhine-Westphalia","Male","516","0.445675916862611","0.419805618792032","0.471546214933191"
"No transfer dependency","1985","North Rhine-Westphalia","Female","544","0.47497756480674","0.449238697921765","0.500716431691716"
"No transfer dependency","1985","Hesse","Male","215","0.493032246851788","0.451019945520675","0.5350445481829"
"No transfer dependency","1985","Hesse","Female","228","0.574859361538483","0.533124322628362","0.616594400448604"
"No transfer dependency","1985","Rhineland-Palatinate,Saarland","Male","158","0.503863566041116","0.452986955006932","0.554740177075301"
"No transfer dependency","1985","Rhineland-Palatinate,Saarland","Female","170","0.549683878595854","0.499125647743614","0.600242109448094"
"No transfer dependency","1985","Baden-Württemberg","Male","335","0.442091724858493","0.411029687222472","0.473153762494513"
"No transfer dependency","1985","Baden-Württemberg","Female","389","0.519519923521054","0.488553796800844","0.550486050241263"
"No transfer dependency","1985","Bavaria","Male","321","0.452925927478267","0.419962474729685","0.485889380226849"
"No transfer dependency","1985","Bavaria","Female","388","0.505982165341329","0.474272962528857","0.537691368153802"
"No transfer dependency","1985","Berlin","Male","76","0.57935094800118","0.505788553444274","0.652913342558087"
"No transfer dependency","1985","Berlin","Female","85","0.61556710705501","0.546029916730565","0.685104297379454"
"No transfer dependency","1985","Brandenburg","Male","","","",""
"No transfer dependency","1985","Brandenburg","Female","","","",""
"No transfer dependency","1985","Mecklenburg-Western Pomerania","Male","","","",""
"No transfer dependency","1985","Mecklenburg-Western Pomerania","Female","","","",""
"No transfer dependency","1985","Saxony","Male","","","",""
"No transfer dependency","1985","Saxony","Female","","","",""
"No transfer dependency","1985","Saxony-Anhalt","Male","","","",""
"No transfer dependency","1985","Saxony-Anhalt","Female","","","",""
"No transfer dependency","1985","Thuringia","Male","","","",""
"No transfer dependency","1985","Thuringia","Female","","","",""
"Very low transfer dependency","1985","Schleswig-Holstein","Male","90","0.514934569195335","0.438444975570868","0.591424162819801"
"Very low transfer dependency","1985","Schleswig-Holstein","Female","90","0.437237894318783","0.36416054638564","0.510315242251927"
"Very low transfer dependency","1985","Hamburg","Male","60","0.317164193406736","0.239237181007913","0.39509120580556"
"Very low transfer dependency","1985","Hamburg","Female","58","0.284431588985219","0.208609956517085","0.360253221453353"
"Very low transfer dependency","1985","Lower Saxony","Male","289","0.516940159941179","0.473865344779998","0.560014975102361"
"Very low transfer dependency","1985","Lower Saxony","Female","290","0.477355330066036","0.435148658572557","0.519562001559515"
"Very low transfer dependency","1985","Bremen","Male","17","","",""
"Very low transfer dependency","1985","Bremen","Female","17","","",""
"Very low transfer dependency","1985","North Rhine-Westphalia","Male","808","0.5040984323469","0.47807495130921","0.530121913384589"
"Very low transfer dependency","1985","North Rhine-Westphalia","Female","778","0.451304231950807","0.425655585400074","0.47695287850154"
"Very low transfer dependency","1985","Hesse","Male","296","0.462107019139606","0.420211472403188","0.504002565876024"
"Very low transfer dependency","1985","Hesse","Female","277","0.37855100710605","0.337604330764667","0.419497683447432"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","Male","203","0.465947829036662","0.415187827691508","0.516707830381817"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","Female","186","0.403223510745589","0.353374631673552","0.453072389817626"
"Very low transfer dependency","1985","Baden-Württemberg","Male","616","0.541858125946708","0.510695421810261","0.573020830083155"
"Very low transfer dependency","1985","Baden-Württemberg","Female","574","0.450393776072661","0.419556919392326","0.481230632752996"
"Very low transfer dependency","1985","Bavaria","Male","525","0.511289741406059","0.478187659784767","0.54439182302735"
"Very low transfer dependency","1985","Bavaria","Female","522","0.442744593030477","0.41124171847626","0.474247467584695"
"Very low transfer dependency","1985","Berlin","Male","84","0.363080426805539","0.291421754743419","0.434739098867659"
"Very low transfer dependency","1985","Berlin","Female","88","0.333564362566126","0.266167745896703","0.40096097923555"
"Very low transfer dependency","1985","Brandenburg","Male","","","",""
"Very low transfer dependency","1985","Brandenburg","Female","","","",""
"Very low transfer dependency","1985","Mecklenburg-Western Pomerania","Male","","","",""
"Very low transfer dependency","1985","Mecklenburg-Western Pomerania","Female","","","",""
"Very low transfer dependency","1985","Saxony","Male","","","",""
"Very low transfer dependency","1985","Saxony","Female","","","",""
"Very low transfer dependency","1985","Saxony-Anhalt","Male","","","",""
"Very low transfer dependency","1985","Saxony-Anhalt","Female","","","",""
"Very low transfer dependency","1985","Thuringia","Male","","","",""
"Very low transfer dependency","1985","Thuringia","Female","","","",""
"Low transfer dependency","1985","Schleswig-Holstein","Male","6","","",""
"Low transfer dependency","1985","Schleswig-Holstein","Female","5","","",""
"Low transfer dependency","1985","Hamburg","Male","7","","",""
"Low transfer dependency","1985","Hamburg","Female","7","","",""
"Low transfer dependency","1985","Lower Saxony","Male","33","0.0452666746032279","0.0273468746885428","0.0631864745179131"
"Low transfer dependency","1985","Lower Saxony","Female","28","","",""
"Low transfer dependency","1985","Bremen","Male","11","","",""
"Low transfer dependency","1985","Bremen","Female","12","","",""
"Low transfer dependency","1985","North Rhine-Westphalia","Male","46","0.0198565471433375","0.0125953761707067","0.0271177181159683"
"Low transfer dependency","1985","North Rhine-Westphalia","Female","52","0.0278343329085834","0.0193557261509298","0.036312939666237"
"Low transfer dependency","1985","Hesse","Male","19","","",""
"Low transfer dependency","1985","Hesse","Female","17","","",""
"Low transfer dependency","1985","Rhineland-Palatinate,Saarland","Male","6","","",""
"Low transfer dependency","1985","Rhineland-Palatinate,Saarland","Female","8","","",""
"Low transfer dependency","1985","Baden-Württemberg","Male","20","","",""
"Low transfer dependency","1985","Baden-Württemberg","Female","20","","",""
"Low transfer dependency","1985","Bavaria","Male","18","","",""
"Low transfer dependency","1985","Bavaria","Female","20","","",""
"Low transfer dependency","1985","Berlin","Male","9","","",""
"Low transfer dependency","1985","Berlin","Female","12","","",""
"Low transfer dependency","1985","Brandenburg","Male","","","",""
"Low transfer dependency","1985","Brandenburg","Female","","","",""
"Low transfer dependency","1985","Mecklenburg-Western Pomerania","Male","","","",""
"Low transfer dependency","1985","Mecklenburg-Western Pomerania","Female","","","",""
"Low transfer dependency","1985","Saxony","Male","","","",""
"Low transfer dependency","1985","Saxony","Female","","","",""
"Low transfer dependency","1985","Saxony-Anhalt","Male","","","",""
"Low transfer dependency","1985","Saxony-Anhalt","Female","","","",""
"Low transfer dependency","1985","Thuringia","Male","","","",""
"Low transfer dependency","1985","Thuringia","Female","","","",""
"High transfer dependency","1985","Schleswig-Holstein","Male","1","","",""
"High transfer dependency","1985","Schleswig-Holstein","Female","1","","",""
"High transfer dependency","1985","Hamburg","Male","6","","",""
"High transfer dependency","1985","Hamburg","Female","4","","",""
"High transfer dependency","1985","Lower Saxony","Male","4","","",""
"High transfer dependency","1985","Lower Saxony","Female","5","","",""
"High transfer dependency","1985","Bremen","Male","2","","",""
"High transfer dependency","1985","Bremen","Female","2","","",""
"High transfer dependency","1985","North Rhine-Westphalia","Male","22","","",""
"High transfer dependency","1985","North Rhine-Westphalia","Female","26","","",""
"High transfer dependency","1985","Hesse","Male","6","","",""
"High transfer dependency","1985","Hesse","Female","9","","",""
"High transfer dependency","1985","Rhineland-Palatinate,Saarland","Male","3","","",""
"High transfer dependency","1985","Rhineland-Palatinate,Saarland","Female","5","","",""
"High transfer dependency","1985","Baden-Württemberg","Male","7","","",""
"High transfer dependency","1985","Baden-Württemberg","Female","11","","",""
"High transfer dependency","1985","Bavaria","Male","6","","",""
"High transfer dependency","1985","Bavaria","Female","10","","",""
"High transfer dependency","1985","Berlin","Male","2","","",""
"High transfer dependency","1985","Berlin","Female","2","","",""
"High transfer dependency","1985","Brandenburg","Male","","","",""
"High transfer dependency","1985","Brandenburg","Female","","","",""
"High transfer dependency","1985","Mecklenburg-Western Pomerania","Male","","","",""
"High transfer dependency","1985","Mecklenburg-Western Pomerania","Female","","","",""
"High transfer dependency","1985","Saxony","Male","","","",""
"High transfer dependency","1985","Saxony","Female","","","",""
"High transfer dependency","1985","Saxony-Anhalt","Male","","","",""
"High transfer dependency","1985","Saxony-Anhalt","Female","","","",""
"High transfer dependency","1985","Thuringia","Male","","","",""
"High transfer dependency","1985","Thuringia","Female","","","",""
"Very high transfer dependency","1985","Schleswig-Holstein","Male","1","","",""
"Very high transfer dependency","1985","Schleswig-Holstein","Female","1","","",""
"Very high transfer dependency","1985","Hamburg","Male","","","",""
"Very high transfer dependency","1985","Hamburg","Female","1","","",""
"Very high transfer dependency","1985","Lower Saxony","Male","8","","",""
"Very high transfer dependency","1985","Lower Saxony","Female","7","","",""
"Very high transfer dependency","1985","Bremen","Male","1","","",""
"Very high transfer dependency","1985","Bremen","Female","","","",""
"Very high transfer dependency","1985","North Rhine-Westphalia","Male","9","","",""
"Very high transfer dependency","1985","North Rhine-Westphalia","Female","16","","",""
"Very high transfer dependency","1985","Hesse","Male","4","","",""
"Very high transfer dependency","1985","Hesse","Female","2","","",""
"Very high transfer dependency","1985","Rhineland-Palatinate,Saarland","Male","","","",""
"Very high transfer dependency","1985","Rhineland-Palatinate,Saarland","Female","1","","",""
"Very high transfer dependency","1985","Baden-Württemberg","Male","3","","",""
"Very high transfer dependency","1985","Baden-Württemberg","Female","3","","",""
"Very high transfer dependency","1985","Bavaria","Male","5","","",""
"Very high transfer dependency","1985","Bavaria","Female","8","","",""
"Very high transfer dependency","1985","Berlin","Male","1","","",""
"Very high transfer dependency","1985","Berlin","Female","","","",""
"Very high transfer dependency","1985","Brandenburg","Male","","","",""
"Very high transfer dependency","1985","Brandenburg","Female","","","",""
"Very high transfer dependency","1985","Mecklenburg-Western Pomerania","Male","","","",""
"Very high transfer dependency","1985","Mecklenburg-Western Pomerania","Female","","","",""
"Very high transfer dependency","1985","Saxony","Male","","","",""
"Very high transfer dependency","1985","Saxony","Female","","","",""
"Very high transfer dependency","1985","Saxony-Anhalt","Male","","","",""
"Very high transfer dependency","1985","Saxony-Anhalt","Female","","","",""
"Very high transfer dependency","1985","Thuringia","Male","","","",""
"Very high transfer dependency","1985","Thuringia","Female","","","",""
"Complete transfer dependency","1985","Schleswig-Holstein","Male","3","","",""
"Complete transfer dependency","1985","Schleswig-Holstein","Female","2","","",""
"Complete transfer dependency","1985","Hamburg","Male","1","","",""
"Complete transfer dependency","1985","Hamburg","Female","2","","",""
"Complete transfer dependency","1985","Lower Saxony","Male","8","","",""
"Complete transfer dependency","1985","Lower Saxony","Female","8","","",""
"Complete transfer dependency","1985","Bremen","Male","1","","",""
"Complete transfer dependency","1985","Bremen","Female","1","","",""
"Complete transfer dependency","1985","North Rhine-Westphalia","Male","17","","",""
"Complete transfer dependency","1985","North Rhine-Westphalia","Female","30","0.0214294677209488","0.0139655695915596","0.028893365850338"
"Complete transfer dependency","1985","Hesse","Male","4","","",""
"Complete transfer dependency","1985","Hesse","Female","6","","",""
"Complete transfer dependency","1985","Rhineland-Palatinate,Saarland","Male","1","","",""
"Complete transfer dependency","1985","Rhineland-Palatinate,Saarland","Female","2","","",""
"Complete transfer dependency","1985","Baden-Württemberg","Male","1","","",""
"Complete transfer dependency","1985","Baden-Württemberg","Female","3","","",""
"Complete transfer dependency","1985","Bavaria","Male","1","","",""
"Complete transfer dependency","1985","Bavaria","Female","7","","",""
"Complete transfer dependency","1985","Berlin","Male","1","","",""
"Complete transfer dependency","1985","Berlin","Female","1","","",""
"Complete transfer dependency","1985","Brandenburg","Male","","","",""
"Complete transfer dependency","1985","Brandenburg","Female","","","",""
"Complete transfer dependency","1985","Mecklenburg-Western Pomerania","Male","","","",""
"Complete transfer dependency","1985","Mecklenburg-Western Pomerania","Female","","","",""
"Complete transfer dependency","1985","Saxony","Male","","","",""
"Complete transfer dependency","1985","Saxony","Female","","","",""
"Complete transfer dependency","1985","Saxony-Anhalt","Male","","","",""
"Complete transfer dependency","1985","Saxony-Anhalt","Female","","","",""
"Complete transfer dependency","1985","Thuringia","Male","","","",""
"Complete transfer dependency","1985","Thuringia","Female","","","",""
"No transfer dependency","1986","Schleswig-Holstein","Male","57","0.425723542902051","0.347118458725053","0.504328627079048"
"No transfer dependency","1986","Schleswig-Holstein","Female","67","0.50814355334756","0.430436234808212","0.585850871886908"
"No transfer dependency","1986","Hamburg","Male","51","0.561471884729063","0.473780230327268","0.649163539130858"
"No transfer dependency","1986","Hamburg","Female","60","0.654447330554134","0.570406562703089","0.738488098405179"
"No transfer dependency","1986","Lower Saxony","Male","186","0.420956724736956","0.37876478851675","0.463148660957162"
"No transfer dependency","1986","Lower Saxony","Female","201","0.450392716470957","0.408812316234936","0.491973116706978"
"No transfer dependency","1986","Bremen","Male","18","","",""
"No transfer dependency","1986","Bremen","Female","29","","",""
"No transfer dependency","1986","North Rhine-Westphalia","Male","468","0.426210689785957","0.399860266969632","0.452561112602281"
"No transfer dependency","1986","North Rhine-Westphalia","Female","525","0.488416200681761","0.462052603111833","0.514779798251689"
"No transfer dependency","1986","Hesse","Male","199","0.504891711477162","0.461023792040032","0.548759630914292"
"No transfer dependency","1986","Hesse","Female","208","0.567709916206703","0.524374087171375","0.611045745242031"
"No transfer dependency","1986","Rhineland-Palatinate,Saarland","Male","176","0.551507729393314","0.500204137388271","0.602811321398357"
"No transfer dependency","1986","Rhineland-Palatinate,Saarland","Female","187","0.580708176255532","0.531029998935715","0.630386353575349"
"No transfer dependency","1986","Baden-Württemberg","Male","378","0.487880502196299","0.456244530814944","0.519516473577653"
"No transfer dependency","1986","Baden-Württemberg","Female","382","0.54298226993298","0.51120464442289","0.574759895443071"
"No transfer dependency","1986","Bavaria","Male","309","0.450404843757793","0.416351156811976","0.484458530703609"
"No transfer dependency","1986","Bavaria","Female","365","0.501325330993025","0.468439404116406","0.534211257869644"
"No transfer dependency","1986","Berlin","Male","73","0.573094254623539","0.498958269485292","0.647230239761787"
"No transfer dependency","1986","Berlin","Female","78","0.61238668981191","0.540202634198194","0.684570745425626"
"No transfer dependency","1986","Brandenburg","Male","","","",""
"No transfer dependency","1986","Brandenburg","Female","","","",""
"No transfer dependency","1986","Mecklenburg-Western Pomerania","Male","","","",""
"No transfer dependency","1986","Mecklenburg-Western Pomerania","Female","","","",""
