"transab_cat","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1985","higher education","East Germany","","","","","5"
"Complete transfer dependency","1985","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","1985","general elemantary","East Germany","","","","","5"
"Complete transfer dependency","1985","inadequately","West Germany","18","","","","5"
"Complete transfer dependency","1985","inadequately","East Germany","","","","","5"
"Complete transfer dependency","1985","general elemantary","West Germany","41","0.014212990642625","0.00995813414978993","0.01846784713546","5"
"Complete transfer dependency","1985","higher vocational","West Germany","2","","","","5"
"Complete transfer dependency","1985","in school","East Germany","","","","","5"
"Complete transfer dependency","1985","middle vocational","West Germany","36","0.00747740913144091","0.00508931030646999","0.00986550795641183","5"
"Complete transfer dependency","1985","in school","West Germany","1","","","","5"
"Complete transfer dependency","1985","middle vocational","East Germany","","","","","5"
"Complete transfer dependency","1985","vocational + Abi","West Germany","1","","","","5"
"Complete transfer dependency","1985","vocational + Abi","East Germany","","","","","5"
"High transfer dependency","1985","higher education","West Germany","4","","","","3"
"High transfer dependency","1985","inadequately","East Germany","","","","","3"
"High transfer dependency","1985","inadequately","West Germany","11","","","","3"
"High transfer dependency","1985","higher education","East Germany","","","","","3"
"High transfer dependency","1985","in school","East Germany","","","","","3"
"High transfer dependency","1985","general elemantary","West Germany","43","0.0138440037662055","0.00964395531220758","0.0180440522202035","3"
"High transfer dependency","1985","higher vocational","East Germany","","","","","3"
"High transfer dependency","1985","middle vocational","West Germany","57","0.00988625288620618","0.00714363738979623","0.0126288683826161","3"
"High transfer dependency","1985","general elemantary","East Germany","","","","","3"
"High transfer dependency","1985","in school","West Germany","2","","","","3"
"High transfer dependency","1985","middle vocational","East Germany","","","","","3"
"High transfer dependency","1985","higher vocational","West Germany","10","","","","3"
"High transfer dependency","1985","vocational + Abi","West Germany","6","","","","3"
"High transfer dependency","1985","vocational + Abi","East Germany","","","","","3"
"Low transfer dependency","1985","higher vocational","West Germany","15","","","","2"
"Low transfer dependency","1985","higher education","East Germany","","","","","2"
"Low transfer dependency","1985","higher vocational","East Germany","","","","","2"
"Low transfer dependency","1985","higher education","West Germany","10","","","","2"
"Low transfer dependency","1985","in school","West Germany","8","","","","2"
"Low transfer dependency","1985","in school","East Germany","","","","","2"
"Low transfer dependency","1985","inadequately","West Germany","52","0.0879776664918706","0.0684584317845985","0.107496901199143","2"
"Low transfer dependency","1985","inadequately","East Germany","","","","","2"
"Low transfer dependency","1985","general elemantary","West Germany","113","0.0298606286623831","0.0237425201594786","0.0359787371652876","2"
"Low transfer dependency","1985","general elemantary","East Germany","","","","","2"
"Low transfer dependency","1985","middle vocational","West Germany","134","0.0213411829529367","0.0173349940495272","0.0253473718563461","2"
"Low transfer dependency","1985","middle vocational","East Germany","","","","","2"
"Low transfer dependency","1985","vocational + Abi","West Germany","15","","","","2"
"Low transfer dependency","1985","vocational + Abi","East Germany","","","","","2"
"No transfer dependency","1985","in school","West Germany","9","","","","0"
"No transfer dependency","1985","in school","East Germany","","","","","0"
"No transfer dependency","1985","inadequately","West Germany","185","0.286373220184319","0.255221961352273","0.317524479016365","0"
"No transfer dependency","1985","inadequately","East Germany","","","","","0"
"No transfer dependency","1985","general elemantary","West Germany","1129","0.495208661787852","0.477236484266708","0.513180839308996","0"
"No transfer dependency","1985","general elemantary","East Germany","","","","","0"
"No transfer dependency","1985","middle vocational","West Germany","2066","0.496392630160439","0.482532566544544","0.510252693776334","0"
"No transfer dependency","1985","middle vocational","East Germany","","","","","0"
"No transfer dependency","1985","vocational + Abi","West Germany","117","0.557414493968282","0.497837281056046","0.616991706880518","0"
"No transfer dependency","1985","vocational + Abi","East Germany","","","","","0"
"No transfer dependency","1985","higher vocational","West Germany","268","0.511406413192228","0.471139883362389","0.551672943022067","0"
"No transfer dependency","1985","higher vocational","East Germany","","","","","0"
"No transfer dependency","1985","higher education","West Germany","325","0.525114748309047","0.488562847859449","0.561666648758645","0"
"No transfer dependency","1985","higher education","East Germany","","","","","0"
"Very high transfer dependency","1985","in school","West Germany","3","","","","4"
"Very high transfer dependency","1985","in school","East Germany","","","","","4"
"Very high transfer dependency","1985","inadequately","West Germany","6","","","","4"
"Very high transfer dependency","1985","inadequately","East Germany","","","","","4"
"Very high transfer dependency","1985","general elemantary","West Germany","19","","","","4"
"Very high transfer dependency","1985","general elemantary","East Germany","","","","","4"
"Very high transfer dependency","1985","middle vocational","West Germany","36","0.00744948171396455","0.00506581318786269","0.0098331502400664","4"
"Very high transfer dependency","1985","middle vocational","East Germany","","","","","4"
"Very high transfer dependency","1985","vocational + Abi","West Germany","2","","","","4"
"Very high transfer dependency","1985","vocational + Abi","East Germany","","","","","4"
"Very high transfer dependency","1985","higher vocational","West Germany","2","","","","4"
"Very high transfer dependency","1985","higher vocational","East Germany","","","","","4"
"Very high transfer dependency","1985","higher education","West Germany","1","","","","4"
"Very high transfer dependency","1985","higher education","East Germany","","","","","4"
"Very low transfer dependency","1985","inadequately","West Germany","537","0.559655925044478","0.525447706213139","0.593864143875818","1"
"Very low transfer dependency","1985","inadequately","East Germany","","","","","1"
"Very low transfer dependency","1985","general elemantary","West Germany","1628","0.439721800664248","0.421879884375822","0.457563716952673","1"
"Very low transfer dependency","1985","higher education","West Germany","377","0.457841390627117","0.42137361966471","0.494309161589524","1"
"Very low transfer dependency","1985","higher education","East Germany","","","","","1"
"Very low transfer dependency","1985","in school","East Germany","","","","","1"
"Very low transfer dependency","1985","general elemantary","East Germany","","","","","1"
"Very low transfer dependency","1985","higher vocational","East Germany","","","","","1"
"Very low transfer dependency","1985","in school","West Germany","158","0.867402989519562","0.817996257667482","0.916809721371643","1"
"Very low transfer dependency","1985","middle vocational","West Germany","2670","0.457453043155013","0.44364289145808","0.471263194851946","1"
"Very low transfer dependency","1985","higher vocational","West Germany","295","0.438515409623086","0.398544080631634","0.478486738614538","1"
"Very low transfer dependency","1985","middle vocational","East Germany","","","","","1"
"Very low transfer dependency","1985","vocational + Abi","West Germany","126","0.374495422543684","0.316441580987408","0.432549264099961","1"
"Very low transfer dependency","1985","vocational + Abi","East Germany","","","","","1"
"Complete transfer dependency","1986","inadequately","West Germany","11","","","","5"
"Complete transfer dependency","1986","general elemantary","East Germany","","","","","5"
"Complete transfer dependency","1986","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","1986","inadequately","East Germany","","","","","5"
"Complete transfer dependency","1986","general elemantary","West Germany","38","0.0139227837924017","0.00956643826096909","0.0182791293238343","5"
"Complete transfer dependency","1986","higher education","West Germany","5","","","","5"
"Complete transfer dependency","1986","higher education","East Germany","","","","","5"
"Complete transfer dependency","1986","higher vocational","West Germany","5","","","","5"
"Complete transfer dependency","1986","in school","East Germany","","","","","5"
"Complete transfer dependency","1986","middle vocational","West Germany","25","","","","5"
"Complete transfer dependency","1986","in school","West Germany","","","","","5"
"Complete transfer dependency","1986","middle vocational","East Germany","","","","","5"
"Complete transfer dependency","1986","vocational + Abi","West Germany","1","","","","5"
"Complete transfer dependency","1986","vocational + Abi","East Germany","","","","","5"
"High transfer dependency","1986","inadequately","West Germany","16","","","","3"
"High transfer dependency","1986","general elemantary","East Germany","","","","","3"
"High transfer dependency","1986","inadequately","East Germany","","","","","3"
"High transfer dependency","1986","higher education","West Germany","3","","","","3"
"High transfer dependency","1986","higher education","East Germany","","","","","3"
"High transfer dependency","1986","in school","East Germany","","","","","3"
"High transfer dependency","1986","general elemantary","West Germany","42","0.0149907522567702","0.0104728619201616","0.0195086425933788","3"
"High transfer dependency","1986","middle vocational","West Germany","47","0.00971032482410421","0.00694052776509384","0.0124801218831146","3"
"High transfer dependency","1986","higher vocational","East Germany","","","","","3"
"High transfer dependency","1986","in school","West Germany","2","","","","3"
"High transfer dependency","1986","middle vocational","East Germany","","","","","3"
"High transfer dependency","1986","higher vocational","West Germany","4","","","","3"
"High transfer dependency","1986","vocational + Abi","West Germany","7","","","","3"
"High transfer dependency","1986","vocational + Abi","East Germany","","","","","3"
"Low transfer dependency","1986","in school","West Germany","3","","","","2"
"Low transfer dependency","1986","in school","East Germany","","","","","2"
"Low transfer dependency","1986","inadequately","West Germany","56","0.0732346363860671","0.0546392340185813","0.0918300387535529","2"
"Low transfer dependency","1986","inadequately","East Germany","","","","","2"
"Low transfer dependency","1986","general elemantary","West Germany","88","0.0276008761331537","0.0215098911174778","0.0336918611488297","2"
"Low transfer dependency","1986","higher vocational","East Germany","","","","","2"
"Low transfer dependency","1986","higher education","West Germany","10","","","","2"
"Low transfer dependency","1986","higher education","East Germany","","","","","2"
"Low transfer dependency","1986","general elemantary","East Germany","","","","","2"
"Low transfer dependency","1986","middle vocational","West Germany","135","0.0261035146636727","0.0215999558615978","0.0306070734657476","2"
"Low transfer dependency","1986","middle vocational","East Germany","","","","","2"
"Low transfer dependency","1986","vocational + Abi","West Germany","15","","","","2"
"Low transfer dependency","1986","vocational + Abi","East Germany","","","","","2"
"Low transfer dependency","1986","higher vocational","West Germany","12","","","","2"
"No transfer dependency","1986","in school","West Germany","10","","","","0"
"No transfer dependency","1986","in school","East Germany","","","","","0"
"No transfer dependency","1986","inadequately","West Germany","170","0.286473513742939","0.254202715735078","0.3187443117508","0"
"No transfer dependency","1986","inadequately","East Germany","","","","","0"
"No transfer dependency","1986","general elemantary","West Germany","1089","0.516136184541841","0.49755610606479","0.534716263018892","0"
"No transfer dependency","1986","general elemantary","East Germany","","","","","0"
"No transfer dependency","1986","middle vocational","West Germany","2038","0.498800442301979","0.484677710888203","0.512923173715754","0"
"No transfer dependency","1986","middle vocational","East Germany","","","","","0"
"No transfer dependency","1986","vocational + Abi","West Germany","124","0.603900999783649","0.544679119400851","0.663122880166447","0"
"No transfer dependency","1986","vocational + Abi","East Germany","","","","","0"
"No transfer dependency","1986","higher vocational","West Germany","250","0.515313303717544","0.473734898599165","0.556891708835924","0"
"No transfer dependency","1986","higher vocational","East Germany","","","","","0"
"No transfer dependency","1986","higher education","West Germany","312","0.499023436508483","0.462322892476961","0.535723980540004","0"
"No transfer dependency","1986","higher education","East Germany","","","","","0"
"Very high transfer dependency","1986","in school","West Germany","2","","","","4"
"Very high transfer dependency","1986","in school","East Germany","","","","","4"
"Very high transfer dependency","1986","inadequately","West Germany","11","","","","4"
"Very high transfer dependency","1986","inadequately","East Germany","","","","","4"
"Very high transfer dependency","1986","general elemantary","West Germany","13","","","","4"
"Very high transfer dependency","1986","general elemantary","East Germany","","","","","4"
"Very high transfer dependency","1986","middle vocational","West Germany","33","0.00733730677724587","0.00492674018059755","0.00974787337389418","4"
"Very high transfer dependency","1986","middle vocational","East Germany","","","","","4"
"Very high transfer dependency","1986","vocational + Abi","West Germany","3","","","","4"
"Very high transfer dependency","1986","vocational + Abi","East Germany","","","","","4"
"Very high transfer dependency","1986","higher vocational","West Germany","3","","","","4"
"Very high transfer dependency","1986","higher vocational","East Germany","","","","","4"
"Very high transfer dependency","1986","higher education","West Germany","2","","","","4"
"Very high transfer dependency","1986","higher education","East Germany","","","","","4"
"Very low transfer dependency","1986","inadequately","West Germany","490","0.568089993604534","0.532733627616741","0.603446359592327","1"
"Very low transfer dependency","1986","inadequately","East Germany","","","","","1"
"Very low transfer dependency","1986","in school","East Germany","","","","","1"
"Very low transfer dependency","1986","general elemantary","West Germany","1509","0.423098858549458","0.404730284490794","0.441467432608122","1"
"Very low transfer dependency","1986","higher vocational","East Germany","","","","","1"
"Very low transfer dependency","1986","higher education","East Germany","","","","","1"
"Very low transfer dependency","1986","general elemantary","East Germany","","","","","1"
"Very low transfer dependency","1986","higher education","West Germany","381","0.469262031162259","0.432630833926874","0.505893228397643","1"
"Very low transfer dependency","1986","in school","West Germany","164","0.886888445372386","0.840746405755952","0.933030484988819","1"
"Very low transfer dependency","1986","higher vocational","West Germany","281","0.430929233264559","0.389730134491607","0.472128332037511","1"
"Very low transfer dependency","1986","middle vocational","West Germany","2537","0.452328433782597","0.43826999847778","0.466386869087414","1"
"Very low transfer dependency","1986","middle vocational","East Germany","","","","","1"
"Very low transfer dependency","1986","vocational + Abi","West Germany","112","0.313865164800108","0.257673262032047","0.370057067568169","1"
"Very low transfer dependency","1986","vocational + Abi","East Germany","","","","","1"
"Complete transfer dependency","1987","inadequately","West Germany","13","","","","5"
"Complete transfer dependency","1987","inadequately","East Germany","","","","","5"
"Complete transfer dependency","1987","general elemantary","West Germany","28","","","","5"
"Complete transfer dependency","1987","in school","East Germany","","","","","5"
"Complete transfer dependency","1987","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","1987","higher education","West Germany","4","","","","5"
"Complete transfer dependency","1987","higher education","East Germany","","","","","5"
"Complete transfer dependency","1987","general elemantary","East Germany","","","","","5"
"Complete transfer dependency","1987","in school","West Germany","","","","","5"
"Complete transfer dependency","1987","middle vocational","West Germany","25","","","","5"
"Complete transfer dependency","1987","higher vocational","West Germany","1","","","","5"
"Complete transfer dependency","1987","middle vocational","East Germany","","","","","5"
"Complete transfer dependency","1987","vocational + Abi","West Germany","1","","","","5"
"Complete transfer dependency","1987","vocational + Abi","East Germany","","","","","5"
"High transfer dependency","1987","inadequately","West Germany","22","","","","3"
"High transfer dependency","1987","in school","East Germany","","","","","3"
"High transfer dependency","1987","inadequately","East Germany","","","","","3"
"High transfer dependency","1987","general elemantary","West Germany","29","","","","3"
"High transfer dependency","1987","higher education","West Germany","2","","","","3"
"High transfer dependency","1987","higher education","East Germany","","","","","3"
"High transfer dependency","1987","general elemantary","East Germany","","","","","3"
"High transfer dependency","1987","higher vocational","East Germany","","","","","3"
"High transfer dependency","1987","in school","West Germany","3","","","","3"
"High transfer dependency","1987","higher vocational","West Germany","4","","","","3"
"High transfer dependency","1987","middle vocational","West Germany","44","0.00829185295708038","0.00570896340311755","0.0108747425110432","3"
"High transfer dependency","1987","middle vocational","East Germany","","","","","3"
"High transfer dependency","1987","vocational + Abi","West Germany","6","","","","3"
"High transfer dependency","1987","vocational + Abi","East Germany","","","","","3"
"Low transfer dependency","1987","higher vocational","East Germany","","","","","2"
"Low transfer dependency","1987","in school","West Germany","8","","","","2"
"Low transfer dependency","1987","in school","East Germany","","","","","2"
"Low transfer dependency","1987","inadequately","West Germany","33","0.0431978462571951","0.028419596400183","0.0579760961142072","2"
"Low transfer dependency","1987","vocational + Abi","East Germany","","","","","2"
"Low transfer dependency","1987","higher vocational","West Germany","13","","","","2"
"Low transfer dependency","1987","higher education","West Germany","16","","","","2"
"Low transfer dependency","1987","higher education","East Germany","","","","","2"
"Low transfer dependency","1987","inadequately","East Germany","","","","","2"
"Low transfer dependency","1987","general elemantary","West Germany","118","0.0381804730188489","0.0309801618157904","0.0453807842219075","2"
"Low transfer dependency","1987","general elemantary","East Germany","","","","","2"
"Low transfer dependency","1987","middle vocational","West Germany","134","0.0264344372493537","0.0218650734596141","0.0310038010390934","2"
"Low transfer dependency","1987","middle vocational","East Germany","","","","","2"
"Low transfer dependency","1987","vocational + Abi","West Germany","9","","","","2"
"No transfer dependency","1987","general elemantary","West Germany","1087","0.545840611766213","0.527132890491945","0.564548333040481","0"
"No transfer dependency","1987","general elemantary","East Germany","","","","","0"
"No transfer dependency","1987","middle vocational","West Germany","2065","0.519458882962582","0.505228094441927","0.533689671483238","0"
"No transfer dependency","1987","middle vocational","East Germany","","","","","0"
"No transfer dependency","1987","vocational + Abi","West Germany","128","0.58156027547152","0.522278514864765","0.640842036078275","0"
"No transfer dependency","1987","in school","West Germany","12","","","","0"
"No transfer dependency","1987","in school","East Germany","","","","","0"
"No transfer dependency","1987","inadequately","West Germany","166","0.249809170958398","0.21834103992033","0.281277301996466","0"
"No transfer dependency","1987","inadequately","East Germany","","","","","0"
"No transfer dependency","1987","vocational + Abi","East Germany","","","","","0"
"No transfer dependency","1987","higher vocational","West Germany","231","0.488379096944736","0.446412619849621","0.530345574039852","0"
"No transfer dependency","1987","higher vocational","East Germany","","","","","0"
"No transfer dependency","1987","higher education","West Germany","310","0.497482266847319","0.460704664312241","0.534259869382397","0"
"No transfer dependency","1987","higher education","East Germany","","","","","0"
"Very high transfer dependency","1987","in school","West Germany","1","","","","4"
"Very high transfer dependency","1987","in school","East Germany","","","","","4"
"Very high transfer dependency","1987","inadequately","West Germany","6","","","","4"
"Very high transfer dependency","1987","inadequately","East Germany","","","","","4"
"Very high transfer dependency","1987","general elemantary","West Germany","16","","","","4"
"Very high transfer dependency","1987","general elemantary","East Germany","","","","","4"
"Very high transfer dependency","1987","middle vocational","West Germany","30","0.00698287934300484","0.00461104836799342","0.00935471031801626","4"
"Very high transfer dependency","1987","middle vocational","East Germany","","","","","4"
"Very high transfer dependency","1987","vocational + Abi","West Germany","3","","","","4"
"Very high transfer dependency","1987","vocational + Abi","East Germany","","","","","4"
"Very high transfer dependency","1987","higher vocational","West Germany","4","","","","4"
"Very high transfer dependency","1987","higher vocational","East Germany","","","","","4"
"Very high transfer dependency","1987","higher education","West Germany","3","","","","4"
"Very high transfer dependency","1987","higher education","East Germany","","","","","4"
"Very low transfer dependency","1987","higher vocational","East Germany","","","","","1"
"Very low transfer dependency","1987","higher education","East Germany","","","","","1"
"Very low transfer dependency","1987","inadequately","West Germany","487","0.614135689708577","0.578749780448298","0.649521598968856","1"
"Very low transfer dependency","1987","higher education","West Germany","375","0.459987859217886","0.423327740820832","0.496647977614939","1"
"Very low transfer dependency","1987","inadequately","East Germany","","","","","1"
"Very low transfer dependency","1987","general elemantary","West Germany","1443","0.390184791152819","0.371856662930392","0.408512919375246","1"
"Very low transfer dependency","1987","higher vocational","West Germany","292","0.470044176662989","0.428141765641995","0.511946587683983","1"
"Very low transfer dependency","1987","in school","East Germany","","","","","1"
"Very low transfer dependency","1987","general elemantary","East Germany","","","","","1"
"Very low transfer dependency","1987","in school","West Germany","156","0.848860765112908","0.796534627565591","0.901186902660225","1"
"Very low transfer dependency","1987","middle vocational","West Germany","2437","0.433086666457884","0.418973195246586","0.447200137669183","1"
"Very low transfer dependency","1987","middle vocational","East Germany","","","","","1"
"Very low transfer dependency","1987","vocational + Abi","West Germany","119","0.348417698084185","0.291158927877942","0.405676468290428","1"
"Very low transfer dependency","1987","vocational + Abi","East Germany","","","","","1"
"Complete transfer dependency","1988","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","1988","higher education","East Germany","","","","","5"
"Complete transfer dependency","1988","inadequately","East Germany","","","","","5"
"Complete transfer dependency","1988","general elemantary","West Germany","30","0.0125726867885623","0.00829891555631406","0.0168464580208105","5"
"Complete transfer dependency","1988","inadequately","West Germany","16","","","","5"
"Complete transfer dependency","1988","higher education","West Germany","","","","","5"
"Complete transfer dependency","1988","higher vocational","West Germany","1","","","","5"
"Complete transfer dependency","1988","in school","East Germany","","","","","5"
"Complete transfer dependency","1988","general elemantary","East Germany","","","","","5"
"Complete transfer dependency","1988","in school","West Germany","","","","","5"
"Complete transfer dependency","1988","middle vocational","West Germany","16","","","","5"
"Complete transfer dependency","1988","middle vocational","East Germany","","","","","5"
"Complete transfer dependency","1988","vocational + Abi","West Germany","1","","","","5"
"Complete transfer dependency","1988","vocational + Abi","East Germany","","","","","5"
"High transfer dependency","1988","higher education","West Germany","2","","","","3"
"High transfer dependency","1988","inadequately","West Germany","7","","","","3"
"High transfer dependency","1988","higher vocational","East Germany","","","","","3"
"High transfer dependency","1988","higher education","East Germany","","","","","3"
"High transfer dependency","1988","in school","East Germany","","","","","3"
"High transfer dependency","1988","inadequately","East Germany","","","","","3"
"High transfer dependency","1988","general elemantary","West Germany","34","0.0111242080621951","0.00710120762905927","0.0151472084953308","3"
"High transfer dependency","1988","general elemantary","East Germany","","","","","3"
"High transfer dependency","1988","higher vocational","West Germany","7","","","","3"
"High transfer dependency","1988","in school","West Germany","1","","","","3"
"High transfer dependency","1988","middle vocational","West Germany","32","0.0071953368517475","0.00472589216115101","0.009664781542344","3"
"High transfer dependency","1988","middle vocational","East Germany","","","","","3"
"High transfer dependency","1988","vocational + Abi","West Germany","2","","","","3"
"High transfer dependency","1988","vocational + Abi","East Germany","","","","","3"
"Low transfer dependency","1988","vocational + Abi","East Germany","","","","","2"
"Low transfer dependency","1988","higher education","West Germany","10","","","","2"
"Low transfer dependency","1988","higher education","East Germany","","","","","2"
"Low transfer dependency","1988","higher vocational","East Germany","","","","","2"
"Low transfer dependency","1988","general elemantary","West Germany","96","0.0309540063664141","0.0243108376234651","0.037597175109363","2"
"Low transfer dependency","1988","middle vocational","East Germany","","","","","2"
"Low transfer dependency","1988","vocational + Abi","West Germany","8","","","","2"
"Low transfer dependency","1988","higher vocational","West Germany","11","","","","2"
"Low transfer dependency","1988","general elemantary","East Germany","","","","","2"
"Low transfer dependency","1988","middle vocational","West Germany","114","0.0228334474382248","0.0184691747913722","0.0271977200850773","2"
"Low transfer dependency","1988","in school","West Germany","8","","","","2"
"Low transfer dependency","1988","in school","East Germany","","","","","2"
"Low transfer dependency","1988","inadequately","West Germany","51","0.0819872405034493","0.061275545784015","0.102698935222884","2"
"Low transfer dependency","1988","inadequately","East Germany","","","","","2"
"No transfer dependency","1988","general elemantary","West Germany","1036","0.549103300455777","0.530017507407844","0.56818909350371","0"
"No transfer dependency","1988","general elemantary","East Germany","","","","","0"
"No transfer dependency","1988","middle vocational","West Germany","2022","0.539367338559159","0.524803980728204","0.553930696390114","0"
"No transfer dependency","1988","middle vocational","East Germany","","","","","0"
"No transfer dependency","1988","vocational + Abi","West Germany","119","0.569652992869591","0.509353620164607","0.629952365574575","0"
"No transfer dependency","1988","in school","West Germany","8","","","","0"
"No transfer dependency","1988","in school","East Germany","","","","","0"
