"transab_cat","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","Couple + C. LE 16 ","(0) in school","","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","(1a) inadequately completed","12","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","(1b) general elementary school","36","0.0555147411841168","0.0373880053595476","0.073641477008686"
"No transfer dependency","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","49","0.0439540168982329","0.0320699892975369","0.055838044498929"
"No transfer dependency","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","5","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","(2a) intermediate vocational","24","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","7","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","(3a) lower tertiary education","1","","",""
"No transfer dependency","1984","Couple + C. LE 16 ","(3b) higher tertiary education","19","","",""
"No transfer dependency","1984","Couple + C. GT 16 ","(0) in school","10","","",""
"No transfer dependency","1984","Couple + C. GT 16 ","(1a) inadequately completed","69","0.347423386298424","0.271727622673703","0.423119149923145"
"No transfer dependency","1984","Couple + C. GT 16 ","(1b) general elementary school","184","0.44082247735003","0.393895716096869","0.48774923860319"
"No transfer dependency","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","265","0.417405020206502","0.379049892648142","0.455760147764862"
"No transfer dependency","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","26","","",""
"No transfer dependency","1984","Couple + C. GT 16 ","(2a) intermediate vocational","82","0.430695192506965","0.360653777010275","0.500736608003654"
"No transfer dependency","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","20","","",""
"No transfer dependency","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","16","","",""
"No transfer dependency","1984","Couple + C. GT 16 ","(3a) lower tertiary education","13","","",""
"No transfer dependency","1984","Couple + C. GT 16 ","(3b) higher tertiary education","18","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","(0) in school","1","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","(1a) inadequately completed","17","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","(1b) general elementary school","25","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","23","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","1","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","4","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","4","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","4","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"No transfer dependency","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Very low transfer dependency","1984","1-pers.-HH","(0) in school","","","",""
"Very low transfer dependency","1984","1-pers.-HH","(1a) inadequately completed","16","","",""
"Very low transfer dependency","1984","1-pers.-HH","(1b) general elementary school","51","0.136599719328024","0.100875322017902","0.172324116638147"
"Very low transfer dependency","1984","1-pers.-HH","(1c) basic vocational qualification","42","0.101166678654886","0.0717255878957429","0.13060776941403"
"Very low transfer dependency","1984","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"Very low transfer dependency","1984","1-pers.-HH","(2a) intermediate vocational","11","","",""
"Very low transfer dependency","1984","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"Very low transfer dependency","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","2","","",""
"Very low transfer dependency","1984","1-pers.-HH","(3a) lower tertiary education","","","",""
"Very low transfer dependency","1984","1-pers.-HH","(3b) higher tertiary education","8","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","(0) in school","","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","(1a) inadequately completed","29","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","(1b) general elementary school","69","0.0836747312095296","0.0623877828236394","0.10496167959542"
"Very low transfer dependency","1984","(Married) couple without C. ","(1c) basic vocational qualification","115","0.0879954289258122","0.071262075058953","0.104728782792671"
"Very low transfer dependency","1984","(Married) couple without C. ","(2b) intermediate general qualification","4","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","(2a) intermediate vocational","36","0.0983471993624441","0.0672388171845671","0.129455581540321"
"Very low transfer dependency","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","13","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","22","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","(3a) lower tertiary education","7","","",""
"Very low transfer dependency","1984","(Married) couple without C. ","(3b) higher tertiary education","10","","",""
"Very low transfer dependency","1984","Single parent ","(0) in school","10","","",""
"Very low transfer dependency","1984","Single parent ","(1a) inadequately completed","18","","",""
"Very low transfer dependency","1984","Single parent ","(1b) general elementary school","79","0.426545363404636","0.350386100744118","0.502704626065155"
"Very low transfer dependency","1984","Single parent ","(1c) basic vocational qualification","89","0.48646937117687","0.414053547841207","0.558885194512533"
"Very low transfer dependency","1984","Single parent ","(2b) intermediate general qualification","30","0.794938891124517","0.666568514374636","0.923309267874398"
"Very low transfer dependency","1984","Single parent ","(2a) intermediate vocational","28","","",""
"Very low transfer dependency","1984","Single parent ","(2c_gen) general maturity certificate","21","","",""
"Very low transfer dependency","1984","Single parent ","(2c_voc) vocational maturity certificate","7","","",""
"Very low transfer dependency","1984","Single parent ","(3a) lower tertiary education","1","","",""
"Very low transfer dependency","1984","Single parent ","(3b) higher tertiary education","7","","",""
"Very low transfer dependency","1984","Couple + C. LE 16 ","(0) in school","1","","",""
"Very low transfer dependency","1984","Couple + C. LE 16 ","(1a) inadequately completed","296","0.798617398001014","0.756482802732758","0.840751993269271"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(1b) general elementary school","522","0.837502195759698","0.808298717598924","0.866705673920472"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","1026","0.8990967841096","0.881635318139955","0.916558250079244"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","38","0.814881624641329","0.701403052770566","0.928360196512091"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(2a) intermediate vocational","325","0.887723930297768","0.855424294656419","0.920023565939117"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","50","0.918277180260091","0.846528710160484","0.990025650359697"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","102","0.874813111665013","0.815848360517531","0.933777862812495"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(3a) lower tertiary education","66","0.919901717542132","0.856762203739549","0.983041231344715"
"Very low transfer dependency","1984","Couple + C. LE 16 ","(3b) higher tertiary education","153","0.902822926178505","0.859309699603549","0.946336152753462"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(0) in school","63","0.839827547734694","0.756822131872465","0.922832963596923"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(1a) inadequately completed","73","0.575174457720945","0.496590951325394","0.653757964116495"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(1b) general elementary school","223","0.520217260456305","0.472996981100817","0.567437539811794"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","346","0.542824266235064","0.504077769608133","0.581570762861995"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","106","0.797918581691087","0.730431427217067","0.865405736165108"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(2a) intermediate vocational","104","0.533774668742092","0.463212098821076","0.604337238663107"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","74","0.76752673835245","0.687113339338173","0.847940137366726"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","31","0.714187058373414","0.587685177155437","0.840688939591392"
"Very low transfer dependency","1984","Couple + C. GT 16 ","(3a) lower tertiary education","18","","",""
"Very low transfer dependency","1984","Couple + C. GT 16 ","(3b) higher tertiary education","37","0.729698487179513","0.612326972987075","0.847070001371951"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(0) in school","70","0.917847649026407","0.856514109758174","0.979181188294641"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(1a) inadequately completed","161","0.74832264989527","0.69123553231437","0.80540976747617"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(1b) general elementary school","370","0.902285501740338","0.874666492289333","0.929904511191342"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","421","0.924914652905976","0.90124057671922","0.948588729092733"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","113","0.94166977716707","0.900082133953648","0.983257420380491"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","112","0.953842174922429","0.915821826781525","0.991862523063333"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","54","0.984491703983757","0.952692066747014","1.0162913412205"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","20","","",""
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","17","","",""
"Very low transfer dependency","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","40","1","1","1"
"Low transfer dependency","1984","1-pers.-HH","(0) in school","","","",""
"Low transfer dependency","1984","1-pers.-HH","(1a) inadequately completed","6","","",""
"Low transfer dependency","1984","1-pers.-HH","(1b) general elementary school","11","","",""
"Low transfer dependency","1984","1-pers.-HH","(1c) basic vocational qualification","11","","",""
"Low transfer dependency","1984","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Low transfer dependency","1984","1-pers.-HH","(2a) intermediate vocational","3","","",""
"Low transfer dependency","1984","1-pers.-HH","(2c_gen) general maturity certificate","2","","",""
"Low transfer dependency","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","4","","",""
"Low transfer dependency","1984","1-pers.-HH","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1984","1-pers.-HH","(3b) higher tertiary education","3","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(0) in school","1","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(1a) inadequately completed","10","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(1b) general elementary school","18","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(1c) basic vocational qualification","25","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(2a) intermediate vocational","7","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","2","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1984","(Married) couple without C. ","(3b) higher tertiary education","3","","",""
"Low transfer dependency","1984","Single parent ","(0) in school","4","","",""
"Low transfer dependency","1984","Single parent ","(1a) inadequately completed","6","","",""
"Low transfer dependency","1984","Single parent ","(1b) general elementary school","12","","",""
"Low transfer dependency","1984","Single parent ","(1c) basic vocational qualification","17","","",""
"Low transfer dependency","1984","Single parent ","(2b) intermediate general qualification","1","","",""
"Low transfer dependency","1984","Single parent ","(2a) intermediate vocational","4","","",""
"Low transfer dependency","1984","Single parent ","(2c_gen) general maturity certificate","3","","",""
"Low transfer dependency","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Low transfer dependency","1984","Single parent ","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1984","Single parent ","(3b) higher tertiary education","1","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","(1a) inadequately completed","25","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","(1b) general elementary school","24","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","46","0.035982937692207","0.025185625851951","0.0467802495324629"
"Low transfer dependency","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","1","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","(2a) intermediate vocational","12","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","2","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","7","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","(3a) lower tertiary education","2","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","(3b) higher tertiary education","4","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","(0) in school","","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","(1a) inadequately completed","6","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","(1b) general elementary school","13","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","21","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","1","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","(2a) intermediate vocational","5","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","5","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","1","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","(0) in school","5","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","(1a) inadequately completed","32","0.138386750523649","0.0929638310747011","0.183809669972596"
"Low transfer dependency","1984","Couple + C. LE and GT 16","(1b) general elementary school","42","0.0450888654418323","0.0257881797508977","0.064389551132767"
"Low transfer dependency","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","21","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","8","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","1","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"High transfer dependency","1984","1-pers.-HH","(0) in school","","","",""
"High transfer dependency","1984","1-pers.-HH","(1a) inadequately completed","2","","",""
"High transfer dependency","1984","1-pers.-HH","(1b) general elementary school","6","","",""
"High transfer dependency","1984","1-pers.-HH","(1c) basic vocational qualification","5","","",""
"High transfer dependency","1984","1-pers.-HH","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","1-pers.-HH","(2a) intermediate vocational","1","","",""
"High transfer dependency","1984","1-pers.-HH","(2c_gen) general maturity certificate","2","","",""
"High transfer dependency","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","2","","",""
"High transfer dependency","1984","1-pers.-HH","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","1-pers.-HH","(3b) higher tertiary education","2","","",""
"High transfer dependency","1984","(Married) couple without C. ","(0) in school","","","",""
"High transfer dependency","1984","(Married) couple without C. ","(1a) inadequately completed","1","","",""
"High transfer dependency","1984","(Married) couple without C. ","(1b) general elementary school","5","","",""
"High transfer dependency","1984","(Married) couple without C. ","(1c) basic vocational qualification","3","","",""
"High transfer dependency","1984","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"High transfer dependency","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"High transfer dependency","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","3","","",""
"High transfer dependency","1984","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"High transfer dependency","1984","Single parent ","(0) in school","","","",""
"High transfer dependency","1984","Single parent ","(1a) inadequately completed","1","","",""
"High transfer dependency","1984","Single parent ","(1b) general elementary school","6","","",""
"High transfer dependency","1984","Single parent ","(1c) basic vocational qualification","5","","",""
"High transfer dependency","1984","Single parent ","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","Single parent ","(2a) intermediate vocational","3","","",""
"High transfer dependency","1984","Single parent ","(2c_gen) general maturity certificate","","","",""
"High transfer dependency","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"High transfer dependency","1984","Single parent ","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","Single parent ","(3b) higher tertiary education","","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","(0) in school","","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","(1a) inadequately completed","9","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","(1b) general elementary school","13","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","8","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","(2a) intermediate vocational","2","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","2","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","4","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","(3b) higher tertiary education","2","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","(0) in school","","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","(1b) general elementary school","5","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","1","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","2","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","(0) in school","1","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","(1a) inadequately completed","2","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","(1b) general elementary school","6","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","7","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1984","1-pers.-HH","(0) in school","","","",""
"Very high transfer dependency","1984","1-pers.-HH","(1a) inadequately completed","","","",""
"Very high transfer dependency","1984","1-pers.-HH","(1b) general elementary school","3","","",""
"Very high transfer dependency","1984","1-pers.-HH","(1c) basic vocational qualification","4","","",""
"Very high transfer dependency","1984","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Very high transfer dependency","1984","1-pers.-HH","(2a) intermediate vocational","1","","",""
"Very high transfer dependency","1984","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Very high transfer dependency","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","2","","",""
"Very high transfer dependency","1984","1-pers.-HH","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","1-pers.-HH","(3b) higher tertiary education","1","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","(0) in school","","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","(1a) inadequately completed","1","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","(1b) general elementary school","3","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","1","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","(3b) higher tertiary education","1","","",""
"Very high transfer dependency","1984","Single parent ","(0) in school","","","",""
"Very high transfer dependency","1984","Single parent ","(1a) inadequately completed","","","",""
"Very high transfer dependency","1984","Single parent ","(1b) general elementary school","3","","",""
"Very high transfer dependency","1984","Single parent ","(1c) basic vocational qualification","2","","",""
"Very high transfer dependency","1984","Single parent ","(2b) intermediate general qualification","","","",""
"Very high transfer dependency","1984","Single parent ","(2a) intermediate vocational","1","","",""
"Very high transfer dependency","1984","Single parent ","(2c_gen) general maturity certificate","","","",""
"Very high transfer dependency","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1984","Single parent ","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","Single parent ","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","(0) in school","2","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","(1a) inadequately completed","4","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","(1b) general elementary school","5","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","3","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","2","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","4","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","(1a) inadequately completed","7","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","4","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Complete transfer dependency","1984","1-pers.-HH","(0) in school","","","",""
