"transab_cat","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1984","Employed","secondary school degree","7","","",""
"High transfer dependency","1984","Employed","college entrance qualification","9","","",""
"High transfer dependency","1984","Employed","Other degree","12","","",""
"High transfer dependency","1984","Employed","no degree/no degree yet","8","","",""
"Very high transfer dependency","1984","Not Employed","lower secondary degree","16","","",""
"Very high transfer dependency","1984","Not Employed","secondary school degree","4","","",""
"Very high transfer dependency","1984","Not Employed","college entrance qualification","1","","",""
"Very high transfer dependency","1984","Not Employed","Other degree","5","","",""
"Very high transfer dependency","1984","Not Employed","no degree/no degree yet","13","","",""
"Very high transfer dependency","1984","Employed","lower secondary degree","8","","",""
"Very high transfer dependency","1984","Employed","secondary school degree","","","",""
"Very high transfer dependency","1984","Employed","college entrance qualification","7","","",""
"Very high transfer dependency","1984","Employed","Other degree","1","","",""
"Very high transfer dependency","1984","Employed","no degree/no degree yet","1","","",""
"Complete transfer dependency","1984","Not Employed","lower secondary degree","80","0.0287076908501278","0.0222341518078017","0.0351812298924539"
"Complete transfer dependency","1984","Not Employed","secondary school degree","15","","",""
"Complete transfer dependency","1984","Not Employed","college entrance qualification","23","","",""
"Complete transfer dependency","1984","Not Employed","Other degree","14","","",""
"Complete transfer dependency","1984","Not Employed","no degree/no degree yet","23","","",""
"Complete transfer dependency","1984","Employed","lower secondary degree","","","",""
"Complete transfer dependency","1984","Employed","secondary school degree","","","",""
"Complete transfer dependency","1984","Employed","college entrance qualification","","","",""
"Complete transfer dependency","1984","Employed","Other degree","","","",""
"Complete transfer dependency","1984","Employed","no degree/no degree yet","","","",""
"No transfer dependency","1985","Not Employed","lower secondary degree","1268","0.646682080781653","0.62705732892748","0.666306832635825"
"No transfer dependency","1985","Not Employed","secondary school degree","263","0.526322297817317","0.486956305004647","0.565688290629986"
"No transfer dependency","1985","Not Employed","college entrance qualification","160","0.510204767796102","0.459676582432225","0.560732953159979"
"No transfer dependency","1985","Not Employed","Other degree","48","0.258058993456572","0.204871980077749","0.311246006835395"
"No transfer dependency","1985","Not Employed","no degree/no degree yet","64","0.1486945296927","0.117846470270697","0.179542589114703"
"No transfer dependency","1985","Employed","lower secondary degree","1104","0.408556736029474","0.391119910524714","0.425993561534233"
"No transfer dependency","1985","Employed","secondary school degree","465","0.435051001417459","0.406631559626273","0.463470443208646"
"No transfer dependency","1985","Employed","college entrance qualification","346","0.484999498178157","0.45001589562154","0.519983100734775"
"No transfer dependency","1985","Employed","Other degree","231","0.288577144992236","0.259154360192786","0.317999929791686"
"No transfer dependency","1985","Employed","no degree/no degree yet","143","0.305965887688998","0.267242302939933","0.344689472438064"
"Very low transfer dependency","1985","Not Employed","lower secondary degree","823","0.279102281270893","0.260686317701574","0.297518244840213"
"Very low transfer dependency","1985","Not Employed","secondary school degree","310","0.419565844510359","0.380658606929169","0.458473082091549"
"Very low transfer dependency","1985","Not Employed","college entrance qualification","175","0.399112601794206","0.349613372507853","0.44861183108056"
"Very low transfer dependency","1985","Not Employed","Other degree","158","0.535125329906145","0.47449958149519","0.595751078317101"
"Very low transfer dependency","1985","Not Employed","no degree/no degree yet","365","0.710224823990419","0.670891001456067","0.749558646524771"
"Very low transfer dependency","1985","Employed","lower secondary degree","1837","0.556112216408163","0.538488296802223","0.573736136014103"
"Very low transfer dependency","1985","Employed","secondary school degree","679","0.545794072403839","0.517252253803376","0.574335891004301"
"Very low transfer dependency","1985","Employed","college entrance qualification","409","0.479797648430467","0.444826872158842","0.514768424702092"
"Very low transfer dependency","1985","Employed","Other degree","632","0.65262529053192","0.621706681288691","0.683543899775149"
"Very low transfer dependency","1985","Employed","no degree/no degree yet","379","0.650498018572189","0.610430130557233","0.690565906587145"
"Low transfer dependency","1985","Not Employed","lower secondary degree","75","0.0275494911874967","0.020829534505776","0.0342694478692175"
"Low transfer dependency","1985","Not Employed","secondary school degree","17","","",""
"Low transfer dependency","1985","Not Employed","college entrance qualification","15","","",""
"Low transfer dependency","1985","Not Employed","Other degree","24","","",""
"Low transfer dependency","1985","Not Employed","no degree/no degree yet","42","0.0677296315232767","0.045942606222354","0.0895166568241995"
"Low transfer dependency","1985","Employed","lower secondary degree","84","0.0257088677367551","0.0200948919040949","0.0313228435694154"
"Low transfer dependency","1985","Employed","secondary school degree","17","","",""
"Low transfer dependency","1985","Employed","college entrance qualification","15","","",""
"Low transfer dependency","1985","Employed","Other degree","37","0.0439217600591857","0.0306149031449597","0.0572286169734117"
"Low transfer dependency","1985","Employed","no degree/no degree yet","20","","",""
"High transfer dependency","1985","Not Employed","lower secondary degree","33","0.0136620571362058","0.00889613604948527","0.0184279782229264"
"High transfer dependency","1985","Not Employed","secondary school degree","7","","",""
"High transfer dependency","1985","Not Employed","college entrance qualification","14","","",""
"High transfer dependency","1985","Not Employed","Other degree","14","","",""
"High transfer dependency","1985","Not Employed","no degree/no degree yet","10","","",""
"High transfer dependency","1985","Employed","lower secondary degree","24","","",""
"High transfer dependency","1985","Employed","secondary school degree","7","","",""
"High transfer dependency","1985","Employed","college entrance qualification","12","","",""
"High transfer dependency","1985","Employed","Other degree","9","","",""
"High transfer dependency","1985","Employed","no degree/no degree yet","2","","",""
"Very high transfer dependency","1985","Not Employed","lower secondary degree","27","","",""
"Very high transfer dependency","1985","Not Employed","secondary school degree","9","","",""
"Very high transfer dependency","1985","Not Employed","college entrance qualification","10","","",""
"Very high transfer dependency","1985","Not Employed","Other degree","4","","",""
"Very high transfer dependency","1985","Not Employed","no degree/no degree yet","10","","",""
"Very high transfer dependency","1985","Employed","lower secondary degree","4","","",""
"Very high transfer dependency","1985","Employed","secondary school degree","1","","",""
"Very high transfer dependency","1985","Employed","college entrance qualification","2","","",""
"Very high transfer dependency","1985","Employed","Other degree","2","","",""
"Very high transfer dependency","1985","Employed","no degree/no degree yet","","","",""
"Complete transfer dependency","1985","Not Employed","lower secondary degree","53","0.0216612791009411","0.0156845633882843","0.0276379948135979"
"Complete transfer dependency","1985","Not Employed","secondary school degree","12","","",""
"Complete transfer dependency","1985","Not Employed","college entrance qualification","2","","",""
"Complete transfer dependency","1985","Not Employed","Other degree","12","","",""
"Complete transfer dependency","1985","Not Employed","no degree/no degree yet","20","","",""
"Complete transfer dependency","1985","Employed","lower secondary degree","","","",""
"Complete transfer dependency","1985","Employed","secondary school degree","","","",""
"Complete transfer dependency","1985","Employed","college entrance qualification","","","",""
"Complete transfer dependency","1985","Employed","Other degree","","","",""
"Complete transfer dependency","1985","Employed","no degree/no degree yet","","","",""
"No transfer dependency","1986","Not Employed","lower secondary degree","1158","0.646347659061421","0.625820890182832","0.66687442794001"
"No transfer dependency","1986","Not Employed","secondary school degree","246","0.543208535218895","0.502493346557904","0.583923723879887"
"No transfer dependency","1986","Not Employed","college entrance qualification","160","0.503845777963498","0.453037581552978","0.554653974374019"
"No transfer dependency","1986","Not Employed","Other degree","36","0.198211958827982","0.147242634808006","0.249181282847959"
"No transfer dependency","1986","Not Employed","no degree/no degree yet","62","0.168734032411976","0.135674555742754","0.201793509081198"
"No transfer dependency","1986","Employed","lower secondary degree","1121","0.42612487724126","0.408167000240757","0.444082754241764"
"No transfer dependency","1986","Employed","secondary school degree","482","0.447068880781633","0.418555454525082","0.475582307038183"
"No transfer dependency","1986","Employed","college entrance qualification","356","0.476896077281568","0.442647469163846","0.511144685399291"
"No transfer dependency","1986","Employed","Other degree","225","0.288631740925028","0.258521949244583","0.318741532605473"
"No transfer dependency","1986","Employed","no degree/no degree yet","140","0.3292192889277","0.288028889069461","0.37040968878594"
"Very low transfer dependency","1986","Not Employed","lower secondary degree","775","0.285944907575472","0.266544704439952","0.305345110710992"
"Very low transfer dependency","1986","Not Employed","secondary school degree","288","0.394519723308355","0.35457140248987","0.43446804412684"
"Very low transfer dependency","1986","Not Employed","college entrance qualification","172","0.38831805096673","0.338792052152231","0.43784404978123"
"Very low transfer dependency","1986","Not Employed","Other degree","155","0.587964506216798","0.525034608020028","0.650894404413568"
"Very low transfer dependency","1986","Not Employed","no degree/no degree yet","357","0.713439470330627","0.67352674500999","0.753352195651264"
"Very low transfer dependency","1986","Employed","lower secondary degree","1680","0.534233591040771","0.516119042009315","0.552348140072226"
"Very low transfer dependency","1986","Employed","secondary school degree","654","0.527673918816076","0.499043318925105","0.556304518707047"
"Very low transfer dependency","1986","Employed","college entrance qualification","435","0.484153477626032","0.449885470848228","0.518421484403836"
"Very low transfer dependency","1986","Employed","Other degree","606","0.655321698984962","0.62374092927435","0.686902468695574"
"Very low transfer dependency","1986","Employed","no degree/no degree yet","328","0.615896624615509","0.573264098903789","0.658529150327228"
"Low transfer dependency","1986","Not Employed","lower secondary degree","57","0.0240647660910576","0.0174851499884181","0.0306443821936971"
"Low transfer dependency","1986","Not Employed","secondary school degree","23","","",""
"Low transfer dependency","1986","Not Employed","college entrance qualification","15","","",""
"Low transfer dependency","1986","Not Employed","Other degree","12","","",""
"Low transfer dependency","1986","Not Employed","no degree/no degree yet","35","0.0463078709728343","0.0277573488474908","0.0648583930981779"
"Low transfer dependency","1986","Employed","lower secondary degree","80","0.0275946345619201","0.0216460471810903","0.0335432219427499"
"Low transfer dependency","1986","Employed","secondary school degree","24","","",""
"Low transfer dependency","1986","Employed","college entrance qualification","17","","",""
"Low transfer dependency","1986","Employed","Other degree","30","0.046134475261383","0.0321950510936852","0.0600738994290808"
"Low transfer dependency","1986","Employed","no degree/no degree yet","26","","",""
"High transfer dependency","1986","Not Employed","lower secondary degree","28","","",""
"High transfer dependency","1986","Not Employed","secondary school degree","6","","",""
"High transfer dependency","1986","Not Employed","college entrance qualification","7","","",""
"High transfer dependency","1986","Not Employed","Other degree","12","","",""
"High transfer dependency","1986","Not Employed","no degree/no degree yet","16","","",""
"High transfer dependency","1986","Employed","lower secondary degree","28","","",""
"High transfer dependency","1986","Employed","secondary school degree","7","","",""
"High transfer dependency","1986","Employed","college entrance qualification","3","","",""
"High transfer dependency","1986","Employed","Other degree","9","","",""
"High transfer dependency","1986","Employed","no degree/no degree yet","4","","",""
"Very high transfer dependency","1986","Not Employed","lower secondary degree","18","","",""
"Very high transfer dependency","1986","Not Employed","secondary school degree","7","","",""
"Very high transfer dependency","1986","Not Employed","college entrance qualification","10","","",""
"Very high transfer dependency","1986","Not Employed","Other degree","7","","",""
"Very high transfer dependency","1986","Not Employed","no degree/no degree yet","12","","",""
"Very high transfer dependency","1986","Employed","lower secondary degree","4","","",""
"Very high transfer dependency","1986","Employed","secondary school degree","1","","",""
"Very high transfer dependency","1986","Employed","college entrance qualification","6","","",""
"Very high transfer dependency","1986","Employed","Other degree","","","",""
"Very high transfer dependency","1986","Employed","no degree/no degree yet","2","","",""
"Complete transfer dependency","1986","Not Employed","lower secondary degree","48","0.0210052915192881","0.0148485097147946","0.0271620733237816"
"Complete transfer dependency","1986","Not Employed","secondary school degree","5","","",""
"Complete transfer dependency","1986","Not Employed","college entrance qualification","8","","",""
"Complete transfer dependency","1986","Not Employed","Other degree","13","","",""
"Complete transfer dependency","1986","Not Employed","no degree/no degree yet","11","","",""
"Complete transfer dependency","1986","Employed","lower secondary degree","","","",""
"Complete transfer dependency","1986","Employed","secondary school degree","","","",""
"Complete transfer dependency","1986","Employed","college entrance qualification","","","",""
"Complete transfer dependency","1986","Employed","Other degree","","","",""
"Complete transfer dependency","1986","Employed","no degree/no degree yet","","","",""
"No transfer dependency","1987","Not Employed","lower secondary degree","1156","0.66439512527936","0.643787758981671","0.68500249157705"
"No transfer dependency","1987","Not Employed","secondary school degree","236","0.567486600459201","0.526006920122602","0.6089662807958"
"No transfer dependency","1987","Not Employed","college entrance qualification","154","0.517790926707695","0.465216050286039","0.570365803129351"
"No transfer dependency","1987","Not Employed","Other degree","35","0.178967571701853","0.131066209313742","0.226868934089964"
"No transfer dependency","1987","Not Employed","no degree/no degree yet","59","0.160081141940255","0.12660877827789","0.193553505602619"
"No transfer dependency","1987","Employed","lower secondary degree","1168","0.456509219033805","0.438355324261973","0.474663113805636"
"No transfer dependency","1987","Employed","secondary school degree","489","0.46333608581534","0.434640284539991","0.492031887090688"
"No transfer dependency","1987","Employed","college entrance qualification","356","0.475316444578093","0.441156539218148","0.509476349938039"
"No transfer dependency","1987","Employed","Other degree","199","0.261981839654498","0.232542585827843","0.291421093481153"
"No transfer dependency","1987","Employed","no degree/no degree yet","140","0.312238310898866","0.271456234171337","0.353020387626394"
"Very low transfer dependency","1987","Not Employed","lower secondary degree","695","0.260148889989175","0.241002879374075","0.279294900604274"
"Very low transfer dependency","1987","Not Employed","secondary school degree","277","0.382166908312348","0.341483255997507","0.422850560627188"
"Very low transfer dependency","1987","Not Employed","college entrance qualification","158","0.375603442504525","0.324649430432517","0.426557454576534"
"Very low transfer dependency","1987","Not Employed","Other degree","170","0.652718679052471","0.593223158261557","0.712214199843385"
"Very low transfer dependency","1987","Not Employed","no degree/no degree yet","336","0.712727622761824","0.671422267875478","0.754032977648169"
"Very low transfer dependency","1987","Employed","lower secondary degree","1612","0.505687976349236","0.487466194301402","0.52390975839707"
"Very low transfer dependency","1987","Employed","secondary school degree","638","0.511452156811755","0.482686443106517","0.540217870516993"
"Very low transfer dependency","1987","Employed","college entrance qualification","436","0.487846637095466","0.453655134681258","0.522038139509674"
"Very low transfer dependency","1987","Employed","Other degree","625","0.68723859738035","0.656198860759937","0.718278334000762"
"Very low transfer dependency","1987","Employed","no degree/no degree yet","331","0.634373083749129","0.591989399414905","0.676756768083353"
"Low transfer dependency","1987","Not Employed","lower secondary degree","83","0.0357708039923041","0.0276658672165953","0.0438757407680129"
"Low transfer dependency","1987","Not Employed","secondary school degree","20","","",""
"Low transfer dependency","1987","Not Employed","college entrance qualification","15","","",""
"Low transfer dependency","1987","Not Employed","Other degree","15","","",""
"Low transfer dependency","1987","Not Employed","no degree/no degree yet","28","","",""
"Low transfer dependency","1987","Employed","lower secondary degree","88","0.0286754497568161","0.022592891898841","0.0347580076147913"
"Low transfer dependency","1987","Employed","secondary school degree","19","","",""
"Low transfer dependency","1987","Employed","college entrance qualification","21","","",""
"Low transfer dependency","1987","Employed","Other degree","24","","",""
"Low transfer dependency","1987","Employed","no degree/no degree yet","18","","",""
"High transfer dependency","1987","Not Employed","lower secondary degree","24","","",""
"High transfer dependency","1987","Not Employed","secondary school degree","5","","",""
"High transfer dependency","1987","Not Employed","college entrance qualification","4","","",""
"High transfer dependency","1987","Not Employed","Other degree","10","","",""
"High transfer dependency","1987","Not Employed","no degree/no degree yet","17","","",""
"High transfer dependency","1987","Employed","lower secondary degree","19","","",""
"High transfer dependency","1987","Employed","secondary school degree","9","","",""
"High transfer dependency","1987","Employed","college entrance qualification","6","","",""
"High transfer dependency","1987","Employed","Other degree","9","","",""
"High transfer dependency","1987","Employed","no degree/no degree yet","6","","",""
"Very high transfer dependency","1987","Not Employed","lower secondary degree","23","","",""
"Very high transfer dependency","1987","Not Employed","secondary school degree","4","","",""
"Very high transfer dependency","1987","Not Employed","college entrance qualification","10","","",""
"Very high transfer dependency","1987","Not Employed","Other degree","6","","",""
"Very high transfer dependency","1987","Not Employed","no degree/no degree yet","7","","",""
"Very high transfer dependency","1987","Employed","lower secondary degree","5","","",""
"Very high transfer dependency","1987","Employed","secondary school degree","5","","",""
"Very high transfer dependency","1987","Employed","college entrance qualification","2","","",""
"Very high transfer dependency","1987","Employed","Other degree","","","",""
"Very high transfer dependency","1987","Employed","no degree/no degree yet","1","","",""
"Complete transfer dependency","1987","Not Employed","lower secondary degree","36","0.0173228397349805","0.0116289360482567","0.0230167434217043"
"Complete transfer dependency","1987","Not Employed","secondary school degree","6","","",""
"Complete transfer dependency","1987","Not Employed","college entrance qualification","6","","",""
"Complete transfer dependency","1987","Not Employed","Other degree","10","","",""
"Complete transfer dependency","1987","Not Employed","no degree/no degree yet","14","","",""
"Complete transfer dependency","1987","Employed","lower secondary degree","","","",""
"Complete transfer dependency","1987","Employed","secondary school degree","","","",""
"Complete transfer dependency","1987","Employed","college entrance qualification","","","",""
"Complete transfer dependency","1987","Employed","Other degree","","","",""
"Complete transfer dependency","1987","Employed","no degree/no degree yet","","","",""
"No transfer dependency","1988","Not Employed","lower secondary degree","1113","0.680148703730418","0.65912093538874","0.701176472072097"
"No transfer dependency","1988","Not Employed","secondary school degree","222","0.57731510779058","0.534102442227548","0.620527773353611"
"No transfer dependency","1988","Not Employed","college entrance qualification","149","0.547633972177497","0.493100483236541","0.602167461118453"
"No transfer dependency","1988","Not Employed","Other degree","32","0.189781545378554","0.140274429714423","0.239288661042684"
"No transfer dependency","1988","Not Employed","no degree/no degree yet","60","0.156825429412047","0.122731711361856","0.190919147462238"
"No transfer dependency","1988","Employed","lower secondary degree","1136","0.470532383063993","0.452021502286435","0.489043263841552"
"No transfer dependency","1988","Employed","secondary school degree","481","0.487518699703467","0.458362174079067","0.516675225327867"
"No transfer dependency","1988","Employed","college entrance qualification","357","0.511458014848488","0.476105246970598","0.546810782726377"
"No transfer dependency","1988","Employed","Other degree","186","0.263385003737771","0.23263106234766","0.294138945127882"
"No transfer dependency","1988","Employed","no degree/no degree yet","126","0.328432144554935","0.284042502651642","0.372821786458228"
"Very low transfer dependency","1988","Not Employed","lower secondary degree","635","0.249005430911888","0.229509678682437","0.268501183141338"
"Very low transfer dependency","1988","Not Employed","secondary school degree","251","0.376490315209081","0.334107018087566","0.418873612330596"
"Very low transfer dependency","1988","Not Employed","college entrance qualification","145","0.386533573778906","0.333180172274755","0.439886975283056"
"Very low transfer dependency","1988","Not Employed","Other degree","160","0.610340623394023","0.548770748108742","0.671910498679303"
"Very low transfer dependency","1988","Not Employed","no degree/no degree yet","309","0.695894767573583","0.652763610963395","0.739025924183772"
"Very low transfer dependency","1988","Employed","lower secondary degree","1555","0.494580094517428","0.47603807171259","0.513122117322265"
"Very low transfer dependency","1988","Employed","secondary school degree","619","0.486480564588449","0.457325613990029","0.515635515186868"
"Very low transfer dependency","1988","Employed","college entrance qualification","395","0.465267252907548","0.429990620891015","0.50054388492408"
"Very low transfer dependency","1988","Employed","Other degree","570","0.66782622421123","0.634941107442299","0.700711340980161"
"Very low transfer dependency","1988","Employed","no degree/no degree yet","279","0.596117532847185","0.549740035294469","0.642495030399901"
"Low transfer dependency","1988","Not Employed","lower secondary degree","51","0.0228395694726772","0.0161044689565667","0.0295746699887878"
"Low transfer dependency","1988","Not Employed","secondary school degree","15","","",""
"Low transfer dependency","1988","Not Employed","college entrance qualification","15","","",""
"Low transfer dependency","1988","Not Employed","Other degree","20","","",""
"Low transfer dependency","1988","Not Employed","no degree/no degree yet","39","0.0777417592065454","0.0526367244598696","0.102846793953221"
"Low transfer dependency","1988","Employed","lower secondary degree","74","0.0247332458582933","0.0189733465633559","0.0304931451532307"
"Low transfer dependency","1988","Employed","secondary school degree","21","","",""
"Low transfer dependency","1988","Employed","college entrance qualification","12","","",""
"Low transfer dependency","1988","Employed","Other degree","25","","",""
"Low transfer dependency","1988","Employed","no degree/no degree yet","23","","",""
"High transfer dependency","1988","Not Employed","lower secondary degree","26","","",""
"High transfer dependency","1988","Not Employed","secondary school degree","5","","",""
"High transfer dependency","1988","Not Employed","college entrance qualification","5","","",""
"High transfer dependency","1988","Not Employed","Other degree","9","","",""
"High transfer dependency","1988","Not Employed","no degree/no degree yet","6","","",""
"High transfer dependency","1988","Employed","lower secondary degree","18","","",""
"High transfer dependency","1988","Employed","secondary school degree","5","","",""
"High transfer dependency","1988","Employed","college entrance qualification","4","","",""
"High transfer dependency","1988","Employed","Other degree","5","","",""
"High transfer dependency","1988","Employed","no degree/no degree yet","2","","",""
"Very high transfer dependency","1988","Not Employed","lower secondary degree","33","0.0162004882531943","0.0105088860073352","0.0218920904990534"
"Very high transfer dependency","1988","Not Employed","secondary school degree","8","","",""
"Very high transfer dependency","1988","Not Employed","college entrance qualification","5","","",""
"Very high transfer dependency","1988","Not Employed","Other degree","6","","",""
"Very high transfer dependency","1988","Not Employed","no degree/no degree yet","7","","",""
"Very high transfer dependency","1988","Employed","lower secondary degree","10","","",""
"Very high transfer dependency","1988","Employed","secondary school degree","3","","",""
"Very high transfer dependency","1988","Employed","college entrance qualification","","","",""
"Very high transfer dependency","1988","Employed","Other degree","2","","",""
"Very high transfer dependency","1988","Employed","no degree/no degree yet","","","",""
"Complete transfer dependency","1988","Not Employed","lower secondary degree","32","0.0193487321216546","0.0131386014009081","0.0255588628424012"
"Complete transfer dependency","1988","Not Employed","secondary school degree","1","","",""
"Complete transfer dependency","1988","Not Employed","college entrance qualification","1","","",""
"Complete transfer dependency","1988","Not Employed","Other degree","14","","",""
"Complete transfer dependency","1988","Not Employed","no degree/no degree yet","16","","",""
"Complete transfer dependency","1988","Employed","lower secondary degree","","","",""
"Complete transfer dependency","1988","Employed","secondary school degree","","","",""
"Complete transfer dependency","1988","Employed","college entrance qualification","","","",""
"Complete transfer dependency","1988","Employed","Other degree","","","",""
"Complete transfer dependency","1988","Employed","no degree/no degree yet","","","",""
"No transfer dependency","1989","Not Employed","lower secondary degree","1041","0.6725928911578","0.65087802982003","0.694307752495569"
"No transfer dependency","1989","Not Employed","secondary school degree","227","0.624669448211876","0.581124941237355","0.668213955186397"
"No transfer dependency","1989","Not Employed","college entrance qualification","147","0.539628564783337","0.484760441001569","0.594496688565106"
"No transfer dependency","1989","Not Employed","Other degree","43","0.225789154599222","0.173220590034919","0.278357719163524"
"No transfer dependency","1989","Not Employed","no degree/no degree yet","52","0.115439553296013","0.0849873315154213","0.145891775076605"
"No transfer dependency","1989","Employed","lower secondary degree","1085","0.473696156193756","0.454703573343916","0.492688739043595"
"No transfer dependency","1989","Employed","secondary school degree","507","0.500457823063202","0.471240417292041","0.529675228834363"
"No transfer dependency","1989","Employed","college entrance qualification","393","0.53596721590561","0.501300877530235","0.570633554280985"
"No transfer dependency","1989","Employed","Other degree","201","0.316752987796022","0.283613226039548","0.349892749552495"
"No transfer dependency","1989","Employed","no degree/no degree yet","119","0.284393011939365","0.240884942597466","0.327901081281263"
"Very low transfer dependency","1989","Not Employed","lower secondary degree","608","0.252402242257797","0.232301251166622","0.272503233348971"
"Very low transfer dependency","1989","Not Employed","secondary school degree","228","0.343992839854002","0.301272934930258","0.386712744777745"
"Very low transfer dependency","1989","Not Employed","college entrance qualification","144","0.379552691064337","0.326132313892378","0.432973068236295"
"Very low transfer dependency","1989","Not Employed","Other degree","144","0.493838640294822","0.430977539433752","0.556699741155892"
"Very low transfer dependency","1989","Not Employed","no degree/no degree yet","303","0.735076432953745","0.693022709552478","0.777130156355013"
"Very low transfer dependency","1989","Employed","lower secondary degree","1471","0.494541640775558","0.475523854928746","0.51355942662237"
"Very low transfer dependency","1989","Employed","secondary school degree","595","0.473704859846349","0.444527873657989","0.50288184603471"
"Very low transfer dependency","1989","Employed","college entrance qualification","381","0.437444052989699","0.402960766912281","0.471927339067116"
"Very low transfer dependency","1989","Employed","Other degree","524","0.642438657850381","0.60829647658628","0.676580839114482"
"Very low transfer dependency","1989","Employed","no degree/no degree yet","269","0.601534890104239","0.554317864419466","0.648751915789012"
"Low transfer dependency","1989","Not Employed","lower secondary degree","64","0.0284159728665297","0.0207271771984526","0.0361047685346069"
"Low transfer dependency","1989","Not Employed","secondary school degree","5","","",""
"Low transfer dependency","1989","Not Employed","college entrance qualification","13","","",""
"Low transfer dependency","1989","Not Employed","Other degree","20","","",""
"Low transfer dependency","1989","Not Employed","no degree/no degree yet","32","0.0486946291381768","0.0281840268753136","0.06920523140104"
"Low transfer dependency","1989","Employed","lower secondary degree","67","0.0193368694537797","0.0140988291618296","0.0245749097457298"
"Low transfer dependency","1989","Employed","secondary school degree","15","","",""
"Low transfer dependency","1989","Employed","college entrance qualification","20","","",""
"Low transfer dependency","1989","Employed","Other degree","26","","",""
"Low transfer dependency","1989","Employed","no degree/no degree yet","22","","",""
"High transfer dependency","1989","Not Employed","lower secondary degree","18","","",""
"High transfer dependency","1989","Not Employed","secondary school degree","5","","",""
"High transfer dependency","1989","Not Employed","college entrance qualification","11","","",""
"High transfer dependency","1989","Not Employed","Other degree","10","","",""
"High transfer dependency","1989","Not Employed","no degree/no degree yet","13","","",""
"High transfer dependency","1989","Employed","lower secondary degree","24","","",""
"High transfer dependency","1989","Employed","secondary school degree","8","","",""
