"transab_cat","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","1985","in school","Urban Area","130","0.879049572966","0.82651712730149","0.931582018630509","1"
"Very low transfer dependency","1985","higher vocational","Urban Area","226","0.432478620862536","0.387497676649486","0.477459565075586","1"
"Very low transfer dependency","1985","middle vocational","Urban Area","2032","0.438078937377828","0.422551201384882","0.453606673370774","1"
"Very low transfer dependency","1985","middle vocational","Rural Area","638","0.521320263963668","0.491486018125694","0.551154509801643","1"
"Very low transfer dependency","1985","vocational + Abi","Urban Area","105","0.353817259233977","0.291615546038171","0.416018972429783","1"
"Very low transfer dependency","1985","vocational + Abi","Rural Area","21","","","","1"
"Complete transfer dependency","1986","higher vocational","Rural Area","1","","","","5"
"Complete transfer dependency","1986","inadequately","Urban Area","9","","","","5"
"Complete transfer dependency","1986","higher vocational","Urban Area","4","","","","5"
"Complete transfer dependency","1986","higher education","Urban Area","5","","","","5"
"Complete transfer dependency","1986","in school","Rural Area","","","","","5"
"Complete transfer dependency","1986","inadequately","Rural Area","2","","","","5"
"Complete transfer dependency","1986","general elemantary","Urban Area","26","","","","5"
"Complete transfer dependency","1986","higher education","Rural Area","","","","","5"
"Complete transfer dependency","1986","middle vocational","Urban Area","20","","","","5"
"Complete transfer dependency","1986","general elemantary","Rural Area","12","","","","5"
"Complete transfer dependency","1986","in school","Urban Area","","","","","5"
"Complete transfer dependency","1986","middle vocational","Rural Area","5","","","","5"
"Complete transfer dependency","1986","vocational + Abi","Urban Area","","","","","5"
"Complete transfer dependency","1986","vocational + Abi","Rural Area","1","","","","5"
"High transfer dependency","1986","inadequately","Rural Area","2","","","","3"
"High transfer dependency","1986","inadequately","Urban Area","14","","","","3"
"High transfer dependency","1986","higher education","Urban Area","2","","","","3"
"High transfer dependency","1986","general elemantary","Urban Area","29","","","","3"
"High transfer dependency","1986","general elemantary","Rural Area","13","","","","3"
"High transfer dependency","1986","higher education","Rural Area","1","","","","3"
"High transfer dependency","1986","middle vocational","Urban Area","38","0.00938846923673442","0.00631454021277629","0.0124623982606926","3"
"High transfer dependency","1986","in school","Rural Area","","","","","3"
"High transfer dependency","1986","higher vocational","Rural Area","","","","","3"
"High transfer dependency","1986","in school","Urban Area","2","","","","3"
"High transfer dependency","1986","middle vocational","Rural Area","9","","","","3"
"High transfer dependency","1986","higher vocational","Urban Area","4","","","","3"
"High transfer dependency","1986","vocational + Abi","Urban Area","4","","","","3"
"High transfer dependency","1986","vocational + Abi","Rural Area","3","","","","3"
"Low transfer dependency","1986","higher vocational","Urban Area","10","","","","2"
"Low transfer dependency","1986","higher education","Rural Area","1","","","","2"
"Low transfer dependency","1986","higher vocational","Rural Area","2","","","","2"
"Low transfer dependency","1986","higher education","Urban Area","9","","","","2"
"Low transfer dependency","1986","in school","Urban Area","2","","","","2"
"Low transfer dependency","1986","in school","Rural Area","1","","","","2"
"Low transfer dependency","1986","inadequately","Urban Area","41","0.0546825283941998","0.0372575458068681","0.0721075109815316","2"
"Low transfer dependency","1986","inadequately","Rural Area","15","","","","2"
"Low transfer dependency","1986","general elemantary","Urban Area","65","0.0262455596678249","0.0194532899398433","0.0330378293958064","2"
"Low transfer dependency","1986","general elemantary","Rural Area","23","","","","2"
"Low transfer dependency","1986","middle vocational","Urban Area","97","0.0233502944749042","0.0185368014700431","0.0281637874797654","2"
"Low transfer dependency","1986","middle vocational","Rural Area","38","0.0352981412960395","0.0240505300347431","0.0465457525573359","2"
"Low transfer dependency","1986","vocational + Abi","Urban Area","11","","","","2"
"Low transfer dependency","1986","vocational + Abi","Rural Area","4","","","","2"
"No transfer dependency","1986","in school","Urban Area","9","","","","0"
"No transfer dependency","1986","in school","Rural Area","1","","","","0"
"No transfer dependency","1986","inadequately","Urban Area","147","0.284149234541481","0.249583665658806","0.318714803424155","0"
"No transfer dependency","1986","inadequately","Rural Area","23","","","","0"
"No transfer dependency","1986","general elemantary","Urban Area","824","0.524018908733355","0.50279963044409","0.54523818702262","0"
"No transfer dependency","1986","general elemantary","Rural Area","265","0.494881926462471","0.456475416209616","0.533288436715326","0"
"No transfer dependency","1986","middle vocational","Urban Area","1665","0.520266873167365","0.504342670592224","0.536191075742506","0"
"No transfer dependency","1986","middle vocational","Rural Area","373","0.427111364275484","0.396960935772078","0.45726179277889","0"
"No transfer dependency","1986","vocational + Abi","Urban Area","103","0.590738040434508","0.525764742810147","0.65571133805887","0"
"No transfer dependency","1986","vocational + Abi","Rural Area","21","","","","0"
"No transfer dependency","1986","higher vocational","Urban Area","203","0.524224349897116","0.477453987358374","0.570994712435858","0"
"No transfer dependency","1986","higher vocational","Rural Area","47","0.484072470545333","0.393519082595109","0.574625858495557","0"
"No transfer dependency","1986","higher education","Urban Area","273","0.515731386627325","0.4756432501789","0.555819523075751","0"
"No transfer dependency","1986","higher education","Rural Area","39","0.421110565566578","0.331261207849209","0.510959923283946","0"
"Very high transfer dependency","1986","in school","Urban Area","2","","","","4"
"Very high transfer dependency","1986","in school","Rural Area","","","","","4"
"Very high transfer dependency","1986","inadequately","Urban Area","10","","","","4"
"Very high transfer dependency","1986","inadequately","Rural Area","1","","","","4"
"Very high transfer dependency","1986","general elemantary","Urban Area","10","","","","4"
"Very high transfer dependency","1986","general elemantary","Rural Area","3","","","","4"
"Very high transfer dependency","1986","middle vocational","Urban Area","31","0.00909633944831255","0.00607016612851943","0.0121225127681057","4"
"Very high transfer dependency","1986","middle vocational","Rural Area","2","","","","4"
"Very high transfer dependency","1986","vocational + Abi","Urban Area","3","","","","4"
"Very high transfer dependency","1986","vocational + Abi","Rural Area","","","","","4"
"Very high transfer dependency","1986","higher vocational","Urban Area","3","","","","4"
"Very high transfer dependency","1986","higher vocational","Rural Area","","","","","4"
"Very high transfer dependency","1986","higher education","Urban Area","2","","","","4"
"Very high transfer dependency","1986","higher education","Rural Area","","","","","4"
"Very low transfer dependency","1986","inadequately","Urban Area","433","0.603075645463796","0.565578432820341","0.64057285810725","1"
"Very low transfer dependency","1986","inadequately","Rural Area","57","0.443893107977373","0.346513856756503","0.541272359198243","1"
"Very low transfer dependency","1986","general elemantary","Urban Area","1174","0.42063963589706","0.399665128694989","0.441614143099131","1"
"Very low transfer dependency","1986","higher education","Urban Area","306","0.44828809403358","0.408395185073332","0.488181002993827","1"
"Very low transfer dependency","1986","higher education","Rural Area","75","0.56706814412207","0.476901378075006","0.657234910169133","1"
"Very low transfer dependency","1986","in school","Rural Area","19","","","","1"
"Very low transfer dependency","1986","general elemantary","Rural Area","335","0.429729682064121","0.391702367559721","0.467756996568522","1"
"Very low transfer dependency","1986","higher vocational","Rural Area","67","0.478573022536857","0.388056884654184","0.56908916041953","1"
"Very low transfer dependency","1986","in school","Urban Area","145","0.892366028770708","0.844344686375221","0.940387371166195","1"
"Very low transfer dependency","1986","middle vocational","Urban Area","1930","0.432010085664667","0.416220817263306","0.447799354066027","1"
"Very low transfer dependency","1986","higher vocational","Urban Area","214","0.417339454655426","0.371158430144723","0.463520479166128","1"
"Very low transfer dependency","1986","middle vocational","Rural Area","607","0.520183386137275","0.489732235961232","0.550634536313317","1"
"Very low transfer dependency","1986","vocational + Abi","Urban Area","99","0.336793204316556","0.274341701385617","0.399244707247496","1"
"Very low transfer dependency","1986","vocational + Abi","Rural Area","13","","","","1"
"Complete transfer dependency","1987","higher education","Urban Area","3","","","","5"
"Complete transfer dependency","1987","higher education","Rural Area","1","","","","5"
"Complete transfer dependency","1987","inadequately","Rural Area","","","","","5"
"Complete transfer dependency","1987","general elemantary","Rural Area","8","","","","5"
"Complete transfer dependency","1987","higher vocational","Rural Area","","","","","5"
"Complete transfer dependency","1987","inadequately","Urban Area","13","","","","5"
"Complete transfer dependency","1987","general elemantary","Urban Area","20","","","","5"
"Complete transfer dependency","1987","in school","Rural Area","","","","","5"
"Complete transfer dependency","1987","higher vocational","Urban Area","1","","","","5"
"Complete transfer dependency","1987","middle vocational","Urban Area","23","","","","5"
"Complete transfer dependency","1987","in school","Urban Area","","","","","5"
"Complete transfer dependency","1987","middle vocational","Rural Area","2","","","","5"
"Complete transfer dependency","1987","vocational + Abi","Urban Area","","","","","5"
"Complete transfer dependency","1987","vocational + Abi","Rural Area","1","","","","5"
"High transfer dependency","1987","inadequately","Urban Area","18","","","","3"
"High transfer dependency","1987","inadequately","Rural Area","4","","","","3"
"High transfer dependency","1987","general elemantary","Urban Area","21","","","","3"
"High transfer dependency","1987","general elemantary","Rural Area","8","","","","3"
"High transfer dependency","1987","higher education","Rural Area","","","","","3"
"High transfer dependency","1987","higher education","Urban Area","2","","","","3"
"High transfer dependency","1987","in school","Rural Area","1","","","","3"
"High transfer dependency","1987","higher vocational","Rural Area","","","","","3"
"High transfer dependency","1987","middle vocational","Urban Area","34","0.00754299073469573","0.00475510565395243","0.010330875815439","3"
"High transfer dependency","1987","in school","Urban Area","2","","","","3"
"High transfer dependency","1987","middle vocational","Rural Area","10","","","","3"
"High transfer dependency","1987","higher vocational","Urban Area","4","","","","3"
"High transfer dependency","1987","vocational + Abi","Urban Area","5","","","","3"
"High transfer dependency","1987","vocational + Abi","Rural Area","1","","","","3"
"Low transfer dependency","1987","in school","Urban Area","4","","","","2"
"Low transfer dependency","1987","in school","Rural Area","4","","","","2"
"Low transfer dependency","1987","inadequately","Urban Area","28","","","","2"
"Low transfer dependency","1987","inadequately","Rural Area","5","","","","2"
"Low transfer dependency","1987","general elemantary","Urban Area","89","0.0371878042419956","0.0290812827898028","0.0452943256941885","2"
"Low transfer dependency","1987","middle vocational","Rural Area","33","0.0325014642082382","0.0216982114383076","0.0433047169781689","2"
"Low transfer dependency","1987","vocational + Abi","Urban Area","7","","","","2"
"Low transfer dependency","1987","vocational + Abi","Rural Area","2","","","","2"
"Low transfer dependency","1987","higher vocational","Urban Area","12","","","","2"
"Low transfer dependency","1987","higher vocational","Rural Area","1","","","","2"
"Low transfer dependency","1987","higher education","Urban Area","14","","","","2"
"Low transfer dependency","1987","higher education","Rural Area","2","","","","2"
"Low transfer dependency","1987","general elemantary","Rural Area","29","","","","2"
"Low transfer dependency","1987","middle vocational","Urban Area","101","0.0245988517895909","0.0196077517111924","0.0295899518679895","2"
"No transfer dependency","1987","in school","Urban Area","12","","","","0"
"No transfer dependency","1987","in school","Rural Area","","","","","0"
"No transfer dependency","1987","inadequately","Urban Area","143","0.255061342341806","0.221050609659779","0.289072075023833","0"
"No transfer dependency","1987","inadequately","Rural Area","23","","","","0"
"No transfer dependency","1987","general elemantary","Urban Area","836","0.556361223290863","0.535077056523926","0.5776453900578","0"
"No transfer dependency","1987","general elemantary","Rural Area","251","0.516164698860326","0.477079601809013","0.555249795911639","0"
"No transfer dependency","1987","middle vocational","Urban Area","1688","0.545482648247686","0.529438637918045","0.561526658577327","0"
"No transfer dependency","1987","middle vocational","Rural Area","377","0.433444426530349","0.403254233785906","0.463634619274792","0"
"No transfer dependency","1987","vocational + Abi","Urban Area","111","0.594153921891992","0.530132689154567","0.658175154629417","0"
"No transfer dependency","1987","vocational + Abi","Rural Area","17","","","","0"
"No transfer dependency","1987","higher vocational","Urban Area","187","0.49681932917626","0.449779640021322","0.543859018331199","0"
"No transfer dependency","1987","higher vocational","Rural Area","44","0.45677981056427","0.364112191868181","0.549447429260359","0"
"No transfer dependency","1987","higher education","Urban Area","269","0.508844100823075","0.468641243295924","0.549046958350226","0"
"No transfer dependency","1987","higher education","Rural Area","41","0.443658667890326","0.35324913095111","0.534068204829543","0"
"Very high transfer dependency","1987","in school","Urban Area","1","","","","4"
"Very high transfer dependency","1987","in school","Rural Area","","","","","4"
"Very high transfer dependency","1987","inadequately","Urban Area","3","","","","4"
"Very high transfer dependency","1987","inadequately","Rural Area","3","","","","4"
"Very high transfer dependency","1987","general elemantary","Urban Area","10","","","","4"
"Very high transfer dependency","1987","general elemantary","Rural Area","6","","","","4"
"Very high transfer dependency","1987","middle vocational","Urban Area","22","","","","4"
"Very high transfer dependency","1987","middle vocational","Rural Area","8","","","","4"
"Very high transfer dependency","1987","vocational + Abi","Urban Area","2","","","","4"
"Very high transfer dependency","1987","vocational + Abi","Rural Area","1","","","","4"
"Very high transfer dependency","1987","higher vocational","Urban Area","3","","","","4"
"Very high transfer dependency","1987","higher vocational","Rural Area","1","","","","4"
"Very high transfer dependency","1987","higher education","Urban Area","3","","","","4"
"Very high transfer dependency","1987","higher education","Rural Area","","","","","4"
"Very low transfer dependency","1987","inadequately","Urban Area","426","0.638580466230943","0.601096370628412","0.676064561833474","1"
"Very low transfer dependency","1987","inadequately","Rural Area","61","0.518163507636363","0.418210531300168","0.618116483972557","1"
"Very low transfer dependency","1987","higher vocational","Rural Area","65","0.512894161154392","0.419909321424927","0.605879000883857","1"
"Very low transfer dependency","1987","in school","Rural Area","16","","","","1"
"Very low transfer dependency","1987","general elemantary","Urban Area","1117","0.383275844923485","0.362447024244379","0.404104665602592","1"
"Very low transfer dependency","1987","higher education","Urban Area","303","0.445922884898701","0.405949598467797","0.485896171329605","1"
"Very low transfer dependency","1987","higher education","Rural Area","72","0.526616850515557","0.435756821852018","0.617476879179096","1"
"Very low transfer dependency","1987","general elemantary","Rural Area","326","0.4096731342109","0.371211008269874","0.448135260151926","1"
"Very low transfer dependency","1987","in school","Urban Area","140","0.847301580099524","0.791392054329459","0.903211105869589","1"
"Very low transfer dependency","1987","higher vocational","Urban Area","227","0.458598860592553","0.411719757429741","0.505477963755365","1"
"Very low transfer dependency","1987","middle vocational","Urban Area","1832","0.408915399551615","0.393074173749657","0.424756625353573","1"
"Very low transfer dependency","1987","middle vocational","Rural Area","605","0.512978194891367","0.482527194024838","0.543429195757897","1"
"Very low transfer dependency","1987","vocational + Abi","Urban Area","101","0.342701657946308","0.280824089019369","0.404579226873247","1"
"Very low transfer dependency","1987","vocational + Abi","Rural Area","18","","","","1"
"Complete transfer dependency","1988","higher vocational","Rural Area","","","","","5"
"Complete transfer dependency","1988","general elemantary","Urban Area","25","","","","5"
"Complete transfer dependency","1988","inadequately","Rural Area","2","","","","5"
"Complete transfer dependency","1988","higher education","Rural Area","","","","","5"
"Complete transfer dependency","1988","inadequately","Urban Area","14","","","","5"
"Complete transfer dependency","1988","higher education","Urban Area","","","","","5"
"Complete transfer dependency","1988","higher vocational","Urban Area","1","","","","5"
"Complete transfer dependency","1988","in school","Rural Area","","","","","5"
"Complete transfer dependency","1988","general elemantary","Rural Area","5","","","","5"
"Complete transfer dependency","1988","in school","Urban Area","","","","","5"
"Complete transfer dependency","1988","middle vocational","Urban Area","14","","","","5"
"Complete transfer dependency","1988","middle vocational","Rural Area","2","","","","5"
"Complete transfer dependency","1988","vocational + Abi","Urban Area","","","","","5"
"Complete transfer dependency","1988","vocational + Abi","Rural Area","1","","","","5"
"High transfer dependency","1988","higher education","Rural Area","","","","","3"
"High transfer dependency","1988","inadequately","Urban Area","5","","","","3"
"High transfer dependency","1988","higher education","Urban Area","2","","","","3"
"High transfer dependency","1988","in school","Rural Area","1","","","","3"
"High transfer dependency","1988","inadequately","Rural Area","2","","","","3"
"High transfer dependency","1988","higher vocational","Rural Area","1","","","","3"
"High transfer dependency","1988","general elemantary","Urban Area","25","","","","3"
"High transfer dependency","1988","general elemantary","Rural Area","9","","","","3"
"High transfer dependency","1988","higher vocational","Urban Area","6","","","","3"
"High transfer dependency","1988","in school","Urban Area","","","","","3"
"High transfer dependency","1988","middle vocational","Rural Area","8","","","","3"
"High transfer dependency","1988","vocational + Abi","Urban Area","2","","","","3"
"High transfer dependency","1988","vocational + Abi","Rural Area","","","","","3"
"High transfer dependency","1988","middle vocational","Urban Area","24","","","","3"
"Low transfer dependency","1988","higher education","Rural Area","3","","","","2"
"Low transfer dependency","1988","general elemantary","Urban Area","74","0.0318938285408159","0.0242574501742549","0.039530206907377","2"
"Low transfer dependency","1988","general elemantary","Rural Area","22","","","","2"
"Low transfer dependency","1988","vocational + Abi","Urban Area","6","","","","2"
"Low transfer dependency","1988","vocational + Abi","Rural Area","2","","","","2"
"Low transfer dependency","1988","higher vocational","Rural Area","3","","","","2"
"Low transfer dependency","1988","higher education","Urban Area","7","","","","2"
"Low transfer dependency","1988","middle vocational","Urban Area","88","0.0213215753380112","0.0165488316786434","0.026094318997379","2"
"Low transfer dependency","1988","middle vocational","Rural Area","26","","","","2"
"Low transfer dependency","1988","higher vocational","Urban Area","8","","","","2"
"Low transfer dependency","1988","in school","Urban Area","5","","","","2"
"Low transfer dependency","1988","in school","Rural Area","3","","","","2"
"Low transfer dependency","1988","inadequately","Urban Area","43","0.0820525454262744","0.0597557967422812","0.104349294110268","2"
"Low transfer dependency","1988","inadequately","Rural Area","8","","","","2"
"No transfer dependency","1988","general elemantary","Urban Area","802","0.559029551738989","0.537452368835022","0.580606734642956","0"
"No transfer dependency","1988","general elemantary","Rural Area","234","0.52077204077365","0.480010077979671","0.561534003567628","0"
"No transfer dependency","1988","middle vocational","Urban Area","1638","0.563373402722132","0.54698669448681","0.579760110957453","0"
"No transfer dependency","1988","middle vocational","Rural Area","384","0.460321281095701","0.429131540669787","0.491511021521615","0"
"No transfer dependency","1988","vocational + Abi","Urban Area","102","0.559444173945642","0.494430765693387","0.624457582197897","0"
"No transfer dependency","1988","in school","Urban Area","8","","","","0"
"No transfer dependency","1988","in school","Rural Area","","","","","0"
"No transfer dependency","1988","inadequately","Urban Area","139","0.258729356665697","0.223150019458977","0.294308693872417","0"
"No transfer dependency","1988","inadequately","Rural Area","19","","","","0"
"No transfer dependency","1988","vocational + Abi","Rural Area","17","","","","0"
"No transfer dependency","1988","higher vocational","Urban Area","183","0.534914031065318","0.486337198530145","0.583490863600491","0"
"No transfer dependency","1988","higher vocational","Rural Area","43","0.510348673256183","0.414274117671904","0.606423228840461","0"
"No transfer dependency","1988","higher education","Urban Area","262","0.572249445260297","0.530325786158738","0.614173104361855","0"
"No transfer dependency","1988","higher education","Rural Area","42","0.457336710520023","0.360657908890659","0.554015512149387","0"
"Very high transfer dependency","1988","middle vocational","Urban Area","23","","","","4"
"Very high transfer dependency","1988","middle vocational","Rural Area","7","","","","4"
"Very high transfer dependency","1988","vocational + Abi","Urban Area","","","","","4"
"Very high transfer dependency","1988","vocational + Abi","Rural Area","2","","","","4"
"Very high transfer dependency","1988","higher vocational","Urban Area","","","","","4"
"Very high transfer dependency","1988","higher vocational","Rural Area","","","","","4"
"Very high transfer dependency","1988","higher education","Urban Area","1","","","","4"
"Very high transfer dependency","1988","higher education","Rural Area","","","","","4"
"Very high transfer dependency","1988","general elemantary","Urban Area","23","","","","4"
"Very high transfer dependency","1988","general elemantary","Rural Area","8","","","","4"
"Very high transfer dependency","1988","in school","Urban Area","3","","","","4"
"Very high transfer dependency","1988","in school","Rural Area","","","","","4"
"Very high transfer dependency","1988","inadequately","Urban Area","4","","","","4"
"Very high transfer dependency","1988","inadequately","Rural Area","3","","","","4"
"Very low transfer dependency","1988","higher vocational","Rural Area","57","0.441140939820232","0.345713944082014","0.53656793555845","1"
"Very low transfer dependency","1988","higher education","Urban Area","263","0.409659663054219","0.367988652634987","0.45133067347345","1"
"Very low transfer dependency","1988","higher vocational","Urban Area","207","0.429617699639519","0.381406861434961","0.477828537844077","1"
"Very low transfer dependency","1988","higher education","Rural Area","57","0.513378553286954","0.416380618246098","0.61037648832781","1"
"Very low transfer dependency","1988","inadequately","Urban Area","377","0.611166128479312","0.571561286755088","0.650770970203536","1"
"Very low transfer dependency","1988","inadequately","Rural Area","58","0.526598096744461","0.424572576092474","0.628623617396447","1"
"Very low transfer dependency","1988","general elemantary","Urban Area","1085","0.372425761259207","0.351415810827644","0.39343571169077","1"
"Very low transfer dependency","1988","middle vocational","Urban Area","1732","0.3960394558945","0.379880549355972","0.412198362433028","1"
"Very low transfer dependency","1988","middle vocational","Rural Area","554","0.492588506099863","0.461303526608007","0.523873485591718","1"
"Very low transfer dependency","1988","vocational + Abi","Urban Area","114","0.416149141217073","0.351598650983565","0.480699631450581","1"
"Very low transfer dependency","1988","vocational + Abi","Rural Area","13","","","","1"
"Very low transfer dependency","1988","in school","Rural Area","21","","","","1"
"Very low transfer dependency","1988","general elemantary","Rural Area","299","0.414280028572095","0.374086864171427","0.454473192972764","1"
"Very low transfer dependency","1988","in school","Urban Area","110","0.848025588497438","0.785342190350189","0.910708986644688","1"
"Complete transfer dependency","1989","higher education","Urban Area","","","","","5"
"Complete transfer dependency","1989","inadequately","Urban Area","15","","","","5"
"Complete transfer dependency","1989","inadequately","Rural Area","4","","","","5"
"Complete transfer dependency","1989","higher vocational","Rural Area","","","","","5"
"Complete transfer dependency","1989","higher education","Rural Area","","","","","5"
"Complete transfer dependency","1989","general elemantary","Urban Area","19","","","","5"
"Complete transfer dependency","1989","in school","Rural Area","","","","","5"
"Complete transfer dependency","1989","general elemantary","Rural Area","10","","","","5"
"Complete transfer dependency","1989","higher vocational","Urban Area","1","","","","5"
"Complete transfer dependency","1989","in school","Urban Area","2","","","","5"
"Complete transfer dependency","1989","middle vocational","Urban Area","21","","","","5"
"Complete transfer dependency","1989","middle vocational","Rural Area","6","","","","5"
"Complete transfer dependency","1989","vocational + Abi","Urban Area","","","","","5"
"Complete transfer dependency","1989","vocational + Abi","Rural Area","1","","","","5"
"High transfer dependency","1989","higher education","Urban Area","","","","","3"
"High transfer dependency","1989","higher education","Rural Area","","","","","3"
"High transfer dependency","1989","inadequately","Urban Area","10","","","","3"
"High transfer dependency","1989","higher vocational","Rural Area","","","","","3"
"High transfer dependency","1989","in school","Rural Area","","","","","3"
"High transfer dependency","1989","inadequately","Rural Area","1","","","","3"
