"transab_cat","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"No transfer dependency","1985","Bavaria","Employed","389","0.383334556250149","0.355675553129138","0.41099355937116","0"
"No transfer dependency","1985","Berlin","Not Employed","62","0.699706830911732","0.618032386413693","0.781381275409772","0"
"No transfer dependency","1985","Berlin","Employed","99","0.530705054691323","0.467566880279832","0.593843229102814","0"
"No transfer dependency","1985","Brandenburg","Not Employed","","","","","0"
"No transfer dependency","1985","Brandenburg","Employed","","","","","0"
"No transfer dependency","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","0"
"No transfer dependency","1985","Mecklenburg-Western Pomerania","Employed","","","","","0"
"No transfer dependency","1985","Saxony","Not Employed","","","","","0"
"No transfer dependency","1985","Saxony","Employed","","","","","0"
"No transfer dependency","1985","Saxony-Anhalt","Not Employed","","","","","0"
"No transfer dependency","1985","Saxony-Anhalt","Employed","","","","","0"
"No transfer dependency","1985","Thuringia","Not Employed","","","","","0"
"No transfer dependency","1985","Thuringia","Employed","","","","","0"
"Very high transfer dependency","1985","Saxony","Not Employed","","","","","4"
"Very high transfer dependency","1985","Schleswig-Holstein","Not Employed","2","","","","4"
"Very high transfer dependency","1985","Schleswig-Holstein","Employed","","","","","4"
"Very high transfer dependency","1985","Hamburg","Not Employed","1","","","","4"
"Very high transfer dependency","1985","Hamburg","Employed","","","","","4"
"Very high transfer dependency","1985","Bremen","Not Employed","","","","","4"
"Very high transfer dependency","1985","Bremen","Employed","1","","","","4"
"Very high transfer dependency","1985","Brandenburg","Not Employed","","","","","4"
"Very high transfer dependency","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","4"
"Very high transfer dependency","1985","Mecklenburg-Western Pomerania","Employed","","","","","4"
"Very high transfer dependency","1985","Brandenburg","Employed","","","","","4"
"Very high transfer dependency","1985","Lower Saxony","Not Employed","13","","","","4"
"Very high transfer dependency","1985","Lower Saxony","Employed","2","","","","4"
"Very high transfer dependency","1985","North Rhine-Westphalia","Employed","2","","","","4"
"Very high transfer dependency","1985","Rhineland-Palatinate,Saarland","Not Employed","1","","","","4"
"Very high transfer dependency","1985","Rhineland-Palatinate,Saarland","Employed","","","","","4"
"Very high transfer dependency","1985","Baden-Württemberg","Not Employed","5","","","","4"
"Very high transfer dependency","1985","Baden-Württemberg","Employed","1","","","","4"
"Very high transfer dependency","1985","Bavaria","Not Employed","11","","","","4"
"Very high transfer dependency","1985","Bavaria","Employed","2","","","","4"
"Very high transfer dependency","1985","Berlin","Not Employed","","","","","4"
"Very high transfer dependency","1985","Berlin","Employed","1","","","","4"
"Very high transfer dependency","1985","Saxony","Employed","","","","","4"
"Very high transfer dependency","1985","Saxony-Anhalt","Not Employed","","","","","4"
"Very high transfer dependency","1985","Saxony-Anhalt","Employed","","","","","4"
"Very high transfer dependency","1985","Thuringia","Not Employed","","","","","4"
"Very high transfer dependency","1985","Thuringia","Employed","","","","","4"
"Very high transfer dependency","1985","North Rhine-Westphalia","Not Employed","23","","","","4"
"Very high transfer dependency","1985","Hesse","Not Employed","5","","","","4"
"Very high transfer dependency","1985","Hesse","Employed","1","","","","4"
"Very low transfer dependency","1985","Bavaria","Employed","760","0.578698790860505","0.550609202698908","0.606788379022103","1"
"Very low transfer dependency","1985","Hesse","Not Employed","179","0.313471891181844","0.268458008656704","0.358485773706984","1"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","Not Employed","131","0.310336677890738","0.259884264197757","0.360789091583719","1"
"Very low transfer dependency","1985","Hamburg","Not Employed","31","0.176199138546824","0.104010439794226","0.248387837299422","1"
"Very low transfer dependency","1985","Schleswig-Holstein","Employed","130","0.588992740560296","0.522605199849277","0.655380281271314","1"
"Very low transfer dependency","1985","Hamburg","Employed","87","0.409282777600353","0.334483810877236","0.48408174432347","1"
"Very low transfer dependency","1985","Schleswig-Holstein","Not Employed","50","0.319119839787625","0.238991036373376","0.399248643201874","1"
"Very low transfer dependency","1985","Lower Saxony","Employed","364","0.582418859944261","0.542489951689374","0.622347768199147","1"
"Very low transfer dependency","1985","Bremen","Employed","21","","","","1"
"Very low transfer dependency","1985","Hesse","Employed","394","0.505329925990339","0.467612544662898","0.54304730731778","1"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","Employed","258","0.549759521079656","0.502178682225265","0.597340359934048","1"
"Very low transfer dependency","1985","Baden-Württemberg","Employed","844","0.56537771466574","0.538605731571066","0.592149697760415","1"
"Very low transfer dependency","1985","Bavaria","Not Employed","287","0.324654583133482","0.288490379592776","0.360818786674189","1"
"Very low transfer dependency","1985","Berlin","Not Employed","44","0.225155932938371","0.150733432123515","0.299578433753227","1"
"Very low transfer dependency","1985","Lower Saxony","Not Employed","215","0.402965140290429","0.358574107092584","0.447356173488274","1"
"Very low transfer dependency","1985","Bremen","Not Employed","13","","","","1"
"Very low transfer dependency","1985","North Rhine-Westphalia","Not Employed","584","0.395011736882836","0.367071961859209","0.422951511906462","1"
"Very low transfer dependency","1985","North Rhine-Westphalia","Employed","1002","0.544965078132182","0.521209337743852","0.568720818520512","1"
"Very low transfer dependency","1985","Baden-Württemberg","Not Employed","346","0.381407588056776","0.344489922846776","0.418325253266777","1"
