"transab_cat","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1985","general elemantary","Female","30","0.0142928000851887","0.0090580353862525","0.0195275647841249","3"
"High transfer dependency","1985","in school","Male","1","","","","3"
"High transfer dependency","1985","middle vocational","Female","27","","","","3"
"High transfer dependency","1985","higher vocational","Male","4","","","","3"
"High transfer dependency","1985","vocational + Abi","Male","4","","","","3"
"High transfer dependency","1985","vocational + Abi","Female","2","","","","3"
"Low transfer dependency","1985","higher vocational","Male","2","","","","2"
"Low transfer dependency","1985","higher education","Female","3","","","","2"
"Low transfer dependency","1985","higher vocational","Female","13","","","","2"
"Low transfer dependency","1985","higher education","Male","7","","","","2"
"Low transfer dependency","1985","in school","Male","4","","","","2"
"Low transfer dependency","1985","in school","Female","4","","","","2"
"Low transfer dependency","1985","inadequately","Male","21","","","","2"
"Low transfer dependency","1985","inadequately","Female","31","0.0788017173332026","0.0543916169486375","0.103211817717768","2"
"Low transfer dependency","1985","general elemantary","Male","48","0.035508792226693","0.0240272584638444","0.0469903259895415","2"
"Low transfer dependency","1985","general elemantary","Female","65","0.0278887010118645","0.0206270281556279","0.0351503738681011","2"
"Low transfer dependency","1985","middle vocational","Male","79","0.0224386692302517","0.0168971787334645","0.0279801597270388","2"
"Low transfer dependency","1985","middle vocational","Female","55","0.0200909053722652","0.0142997200061628","0.0258820907383676","2"
"Low transfer dependency","1985","vocational + Abi","Male","9","","","","2"
"Low transfer dependency","1985","vocational + Abi","Female","6","","","","2"
"No transfer dependency","1985","in school","Male","6","","","","0"
"No transfer dependency","1985","in school","Female","3","","","","0"
"No transfer dependency","1985","inadequately","Male","89","0.317270938051678","0.26787283829325","0.366669037810106","0"
"No transfer dependency","1985","inadequately","Female","96","0.259295515628798","0.219590519826544","0.299000511431052","0"
"No transfer dependency","1985","general elemantary","Male","273","0.368442152882109","0.33851440450176","0.398369901262458","0"
"No transfer dependency","1985","general elemantary","Female","856","0.539466300792945","0.517483784246792","0.561448817339098","0"
"No transfer dependency","1985","middle vocational","Male","1125","0.487874001773425","0.469171561043591","0.506576442503259","0"
"No transfer dependency","1985","middle vocational","Female","941","0.506097216277372","0.485461833505576","0.526732599049168","0"
"No transfer dependency","1985","vocational + Abi","Male","67","0.531808665647061","0.455901384264489","0.607715947029632","0"
"No transfer dependency","1985","vocational + Abi","Female","50","0.597115704976056","0.501460893470693","0.692770516481419","0"
"No transfer dependency","1985","higher vocational","Male","164","0.516205955924397","0.463625406730089","0.568786505118706","0"
"No transfer dependency","1985","higher vocational","Female","104","0.504756955652129","0.442151036318165","0.567362874986093","0"
"No transfer dependency","1985","higher education","Male","210","0.495649642944179","0.451060606160283","0.540238679728075","0"
"No transfer dependency","1985","higher education","Female","115","0.584349855643616","0.521204618194439","0.647495093092792","0"
"Very high transfer dependency","1985","in school","Male","1","","","","4"
"Very high transfer dependency","1985","in school","Female","2","","","","4"
"Very high transfer dependency","1985","inadequately","Male","","","","","4"
"Very high transfer dependency","1985","inadequately","Female","6","","","","4"
"Very high transfer dependency","1985","general elemantary","Male","5","","","","4"
"Very high transfer dependency","1985","general elemantary","Female","14","","","","4"
"Very high transfer dependency","1985","middle vocational","Male","23","","","","4"
"Very high transfer dependency","1985","middle vocational","Female","13","","","","4"
"Very high transfer dependency","1985","vocational + Abi","Male","","","","","4"
"Very high transfer dependency","1985","vocational + Abi","Female","2","","","","4"
"Very high transfer dependency","1985","higher vocational","Male","1","","","","4"
"Very high transfer dependency","1985","higher vocational","Female","1","","","","4"
"Very high transfer dependency","1985","higher education","Male","1","","","","4"
"Very high transfer dependency","1985","higher education","Female","","","","","4"
"Very low transfer dependency","1985","inadequately","Male","217","0.535321707174662","0.482385292796966","0.588258121552358","1"
"Very low transfer dependency","1985","inadequately","Female","320","0.580981602393764","0.536280019655348","0.62568318513218","1"
"Very low transfer dependency","1985","general elemantary","Male","644","0.557573108380098","0.526758653561921","0.588387563198276","1"
"Very low transfer dependency","1985","higher education","Male","263","0.489435570154747","0.444854799926875","0.53401634038262","1"
"Very low transfer dependency","1985","higher education","Female","114","0.394326103907723","0.331709810703252","0.456942397112195","1"
"Very low transfer dependency","1985","in school","Female","61","0.86254420370613","0.783009978924095","0.942078428488166","1"
"Very low transfer dependency","1985","general elemantary","Female","984","0.398576701077696","0.376983818680569","0.420169583474823","1"
"Very low transfer dependency","1985","higher vocational","Female","119","0.403579243619595","0.342145662179698","0.465012825059493","1"
"Very low transfer dependency","1985","in school","Male","97","0.870497394549586","0.807465866910863","0.933528922188309","1"
"Very low transfer dependency","1985","middle vocational","Male","1474","0.467347420928836","0.448679412866334","0.486015428991338","1"
"Very low transfer dependency","1985","higher vocational","Male","176","0.463732146570535","0.411262536464479","0.516201756676591","1"
"Very low transfer dependency","1985","middle vocational","Female","1196","0.446181176744463","0.425664156052901","0.466698197436026","1"
"Very low transfer dependency","1985","vocational + Abi","Male","85","0.405933595015482","0.331230423327685","0.48063676670328","1"
"Very low transfer dependency","1985","vocational + Abi","Female","41","0.325751304472441","0.234352494047123","0.417150114897758","1"
"Complete transfer dependency","1986","inadequately","Male","5","","","","5"
"Complete transfer dependency","1986","general elemantary","Female","26","","","","5"
"Complete transfer dependency","1986","higher vocational","Female","3","","","","5"
"Complete transfer dependency","1986","inadequately","Female","6","","","","5"
"Complete transfer dependency","1986","general elemantary","Male","12","","","","5"
"Complete transfer dependency","1986","higher education","Male","3","","","","5"
"Complete transfer dependency","1986","higher education","Female","2","","","","5"
"Complete transfer dependency","1986","higher vocational","Male","2","","","","5"
"Complete transfer dependency","1986","in school","Female","","","","","5"
"Complete transfer dependency","1986","middle vocational","Male","13","","","","5"
"Complete transfer dependency","1986","in school","Male","","","","","5"
"Complete transfer dependency","1986","middle vocational","Female","12","","","","5"
"Complete transfer dependency","1986","vocational + Abi","Male","1","","","","5"
"Complete transfer dependency","1986","vocational + Abi","Female","","","","","5"
"High transfer dependency","1986","inadequately","Male","6","","","","3"
"High transfer dependency","1986","general elemantary","Female","31","0.0169536345074001","0.011032347480407","0.0228749215343933","3"
"High transfer dependency","1986","inadequately","Female","10","","","","3"
"High transfer dependency","1986","higher education","Male","1","","","","3"
"High transfer dependency","1986","higher education","Female","2","","","","3"
"High transfer dependency","1986","in school","Female","1","","","","3"
"High transfer dependency","1986","general elemantary","Male","11","","","","3"
"High transfer dependency","1986","middle vocational","Male","29","","","","3"
"High transfer dependency","1986","higher vocational","Female","3","","","","3"
"High transfer dependency","1986","in school","Male","1","","","","3"
"High transfer dependency","1986","middle vocational","Female","18","","","","3"
"High transfer dependency","1986","higher vocational","Male","1","","","","3"
"High transfer dependency","1986","vocational + Abi","Male","3","","","","3"
"High transfer dependency","1986","vocational + Abi","Female","4","","","","3"
"Low transfer dependency","1986","in school","Male","1","","","","2"
"Low transfer dependency","1986","in school","Female","2","","","","2"
"Low transfer dependency","1986","inadequately","Male","25","","","","2"
"Low transfer dependency","1986","inadequately","Female","31","0.0670442782686552","0.043649054301045","0.0904395022362655","2"
"Low transfer dependency","1986","general elemantary","Male","33","0.0296753204269306","0.0189017938340666","0.0404488470197945","2"
"Low transfer dependency","1986","higher vocational","Female","5","","","","2"
"Low transfer dependency","1986","higher education","Male","8","","","","2"
"Low transfer dependency","1986","higher education","Female","2","","","","2"
"Low transfer dependency","1986","general elemantary","Female","55","0.0268539710912632","0.0194393157157657","0.0342686264667607","2"
"Low transfer dependency","1986","middle vocational","Male","79","0.0293165789459898","0.0228731341464996","0.03576002374548","2"
"Low transfer dependency","1986","middle vocational","Female","56","0.0224973922701812","0.016275166421996","0.0287196181183663","2"
"Low transfer dependency","1986","vocational + Abi","Male","8","","","","2"
"Low transfer dependency","1986","vocational + Abi","Female","7","","","","2"
"Low transfer dependency","1986","higher vocational","Male","7","","","","2"
"No transfer dependency","1986","in school","Male","5","","","","0"
"No transfer dependency","1986","in school","Female","5","","","","0"
"No transfer dependency","1986","inadequately","Male","78","0.305812780219418","0.254931393786404","0.356694166652431","0"
"No transfer dependency","1986","inadequately","Female","92","0.270322877984952","0.22877751124498","0.311868244724924","0"
"No transfer dependency","1986","general elemantary","Male","276","0.362999464596829","0.332469624360922","0.393529304832737","0"
"No transfer dependency","1986","general elemantary","Female","813","0.57127316198136","0.548573993376565","0.593972330586155","0"
"No transfer dependency","1986","middle vocational","Male","1125","0.497616522942837","0.478518529876745","0.516714516008929","0"
"No transfer dependency","1986","middle vocational","Female","913","0.500129191974553","0.479149905770923","0.521108478178184","0"
"No transfer dependency","1986","vocational + Abi","Male","71","0.59849796639483","0.521326375003051","0.675669557786608","0"
"No transfer dependency","1986","vocational + Abi","Female","53","0.611394368921921","0.519037018736729","0.703751719107112","0"
"No transfer dependency","1986","higher vocational","Male","146","0.513036251592482","0.45801369032222","0.568058812862744","0"
"No transfer dependency","1986","higher vocational","Female","104","0.5181942833756","0.454713555817238","0.581675010933962","0"
"No transfer dependency","1986","higher education","Male","202","0.478155896567092","0.433468750390563","0.522843042743621","0"
"No transfer dependency","1986","higher education","Female","110","0.541860347162966","0.477884984401533","0.6058357099244","0"
"Very high transfer dependency","1986","in school","Male","","","","","4"
"Very high transfer dependency","1986","in school","Female","2","","","","4"
"Very high transfer dependency","1986","inadequately","Male","5","","","","4"
"Very high transfer dependency","1986","inadequately","Female","6","","","","4"
"Very high transfer dependency","1986","general elemantary","Male","5","","","","4"
"Very high transfer dependency","1986","general elemantary","Female","8","","","","4"
"Very high transfer dependency","1986","middle vocational","Male","14","","","","4"
"Very high transfer dependency","1986","middle vocational","Female","19","","","","4"
"Very high transfer dependency","1986","vocational + Abi","Male","1","","","","4"
"Very high transfer dependency","1986","vocational + Abi","Female","2","","","","4"
"Very high transfer dependency","1986","higher vocational","Male","1","","","","4"
"Very high transfer dependency","1986","higher vocational","Female","2","","","","4"
"Very high transfer dependency","1986","higher education","Male","1","","","","4"
"Very high transfer dependency","1986","higher education","Female","1","","","","4"
"Very low transfer dependency","1986","inadequately","Male","196","0.553938609828823","0.499045106406031","0.608832113251615","1"
"Very low transfer dependency","1986","inadequately","Female","294","0.579908117374171","0.533737299286618","0.626078935461724","1"
"Very low transfer dependency","1986","in school","Female","63","0.825294024840003","0.73818866269623","0.912399386983775","1"
"Very low transfer dependency","1986","general elemantary","Male","616","0.575781874519702","0.544403875461922","0.607159873577482","1"
"Very low transfer dependency","1986","higher vocational","Female","121","0.408013616927497","0.345575068252434","0.47045216560256","1"
"Very low transfer dependency","1986","higher education","Female","116","0.415764291250382","0.352481187303781","0.479047395196983","1"
"Very low transfer dependency","1986","general elemantary","Female","893","0.368125237526545","0.346003919193647","0.390246555859442","1"
"Very low transfer dependency","1986","higher education","Male","265","0.495322879326349","0.450594982748281","0.540050775904418","1"
"Very low transfer dependency","1986","in school","Male","101","0.926566563518404","0.877371508397578","0.975761618639231","1"
"Very low transfer dependency","1986","higher vocational","Male","160","0.449041146249267","0.394286483034788","0.503795809463746","1"
"Very low transfer dependency","1986","middle vocational","Male","1373","0.450787950727094","0.431782470865716","0.469793430588472","1"
"Very low transfer dependency","1986","middle vocational","Female","1164","0.454057366027686","0.433166829885888","0.474947902169485","1"
"Very low transfer dependency","1986","vocational + Abi","Male","71","0.3277098570769","0.253816505364185","0.401603208789614","1"
"Very low transfer dependency","1986","vocational + Abi","Female","41","0.294664211859403","0.208283285258488","0.381045138460317","1"
"Complete transfer dependency","1987","inadequately","Male","5","","","","5"
"Complete transfer dependency","1987","inadequately","Female","8","","","","5"
"Complete transfer dependency","1987","general elemantary","Male","4","","","","5"
"Complete transfer dependency","1987","in school","Female","","","","","5"
"Complete transfer dependency","1987","higher vocational","Female","1","","","","5"
"Complete transfer dependency","1987","higher education","Male","1","","","","5"
"Complete transfer dependency","1987","higher education","Female","3","","","","5"
"Complete transfer dependency","1987","general elemantary","Female","24","","","","5"
"Complete transfer dependency","1987","in school","Male","","","","","5"
"Complete transfer dependency","1987","middle vocational","Male","20","","","","5"
"Complete transfer dependency","1987","higher vocational","Male","","","","","5"
"Complete transfer dependency","1987","middle vocational","Female","5","","","","5"
"Complete transfer dependency","1987","vocational + Abi","Male","1","","","","5"
"Complete transfer dependency","1987","vocational + Abi","Female","","","","","5"
"High transfer dependency","1987","inadequately","Male","8","","","","3"
"High transfer dependency","1987","in school","Female","1","","","","3"
"High transfer dependency","1987","inadequately","Female","14","","","","3"
"High transfer dependency","1987","general elemantary","Male","13","","","","3"
"High transfer dependency","1987","higher education","Male","1","","","","3"
"High transfer dependency","1987","higher education","Female","1","","","","3"
"High transfer dependency","1987","general elemantary","Female","16","","","","3"
"High transfer dependency","1987","higher vocational","Female","2","","","","3"
"High transfer dependency","1987","in school","Male","2","","","","3"
"High transfer dependency","1987","higher vocational","Male","2","","","","3"
"High transfer dependency","1987","middle vocational","Male","27","","","","3"
"High transfer dependency","1987","middle vocational","Female","17","","","","3"
"High transfer dependency","1987","vocational + Abi","Male","2","","","","3"
"High transfer dependency","1987","vocational + Abi","Female","4","","","","3"
"Low transfer dependency","1987","higher vocational","Female","9","","","","2"
"Low transfer dependency","1987","in school","Male","1","","","","2"
"Low transfer dependency","1987","in school","Female","7","","","","2"
"Low transfer dependency","1987","inadequately","Male","13","","","","2"
"Low transfer dependency","1987","vocational + Abi","Female","3","","","","2"
"Low transfer dependency","1987","higher vocational","Male","4","","","","2"
"Low transfer dependency","1987","higher education","Male","11","","","","2"
"Low transfer dependency","1987","higher education","Female","5","","","","2"
"Low transfer dependency","1987","inadequately","Female","20","","","","2"
"Low transfer dependency","1987","general elemantary","Male","47","0.0449733212621416","0.031759834946222","0.0581868075780612","2"
"Low transfer dependency","1987","general elemantary","Female","71","0.0358080998337657","0.0271664037735088","0.0444497958940226","2"
"Low transfer dependency","1987","middle vocational","Male","72","0.0256985963840404","0.0196175364918954","0.0317796562761854","2"
"Low transfer dependency","1987","middle vocational","Female","62","0.0272712221895576","0.0203608877473412","0.0341815566317741","2"
"Low transfer dependency","1987","vocational + Abi","Male","6","","","","2"
"No transfer dependency","1987","general elemantary","Male","270","0.394682511194687","0.363518902750833","0.425846119638542","0"
"No transfer dependency","1987","general elemantary","Female","817","0.598631931645631","0.575834918015303","0.621428945275959","0"
"No transfer dependency","1987","middle vocational","Male","1156","0.523191265406013","0.503996612702334","0.542385918109692","0"
"No transfer dependency","1987","middle vocational","Female","909","0.515214485067646","0.494010390463084","0.536418579672208","0"
"No transfer dependency","1987","vocational + Abi","Male","70","0.578221753469117","0.499970432565555","0.65647307437268","0"
"No transfer dependency","1987","in school","Male","6","","","","0"
"No transfer dependency","1987","in school","Female","6","","","","0"
"No transfer dependency","1987","inadequately","Male","69","0.247255170797189","0.198273167773698","0.296237173820681","0"
"No transfer dependency","1987","inadequately","Female","97","0.25184453380887","0.21076914943574","0.292919918182001","0"
"No transfer dependency","1987","vocational + Abi","Female","58","0.585727509140959","0.494903696737775","0.676551321544142","0"
"No transfer dependency","1987","higher vocational","Male","142","0.522954829226875","0.466808270900524","0.579101387553225","0"
"No transfer dependency","1987","higher vocational","Female","89","0.444861842587835","0.382120661823376","0.507603023352293","0"
"No transfer dependency","1987","higher education","Male","197","0.472168567970547","0.426987360796251","0.517349775144843","0"
"No transfer dependency","1987","higher education","Female","113","0.54521896036108","0.482351456091318","0.608086464630843","0"
"Very high transfer dependency","1987","in school","Male","","","","","4"
"Very high transfer dependency","1987","in school","Female","1","","","","4"
"Very high transfer dependency","1987","inadequately","Male","3","","","","4"
"Very high transfer dependency","1987","inadequately","Female","3","","","","4"
"Very high transfer dependency","1987","general elemantary","Male","4","","","","4"
"Very high transfer dependency","1987","general elemantary","Female","12","","","","4"
"Very high transfer dependency","1987","middle vocational","Male","13","","","","4"
"Very high transfer dependency","1987","middle vocational","Female","17","","","","4"
"Very high transfer dependency","1987","vocational + Abi","Male","3","","","","4"
"Very high transfer dependency","1987","vocational + Abi","Female","","","","","4"
"Very high transfer dependency","1987","higher vocational","Male","3","","","","4"
"Very high transfer dependency","1987","higher vocational","Female","1","","","","4"
"Very high transfer dependency","1987","higher education","Male","2","","","","4"
"Very high transfer dependency","1987","higher education","Female","1","","","","4"
"Very low transfer dependency","1987","higher vocational","Female","139","0.497707882784887","0.434582356685864","0.560833408883909","1"
"Very low transfer dependency","1987","higher education","Female","118","0.401690513708244","0.339796549152731","0.463584478263757","1"
"Very low transfer dependency","1987","inadequately","Male","200","0.623813197079288","0.568812395863709","0.678813998294867","1"
"Very low transfer dependency","1987","higher education","Male","257","0.490901635202826","0.445657763719648","0.536145506686004","1"
"Very low transfer dependency","1987","inadequately","Female","287","0.606423380490008","0.560193575757862","0.652653185222154","1"
"Very low transfer dependency","1987","general elemantary","Male","607","0.534973652782862","0.503172917370348","0.566774388195376","1"
"Very low transfer dependency","1987","higher vocational","Male","153","0.44806455246708","0.392162759644935","0.503966345289224","1"
"Very low transfer dependency","1987","in school","Female","69","0.798215175959569","0.712390398013036","0.884039953906102","1"
"Very low transfer dependency","1987","general elemantary","Female","836","0.339617900722282","0.317592716829002","0.361643084615563","1"
"Very low transfer dependency","1987","in school","Male","87","0.897409285198391","0.836713046115273","0.958105524281509","1"
"Very low transfer dependency","1987","middle vocational","Male","1313","0.429123505898317","0.410102207979241","0.448144803817392","1"
"Very low transfer dependency","1987","middle vocational","Female","1124","0.437593501057841","0.416545469778739","0.458641532336942","1"
"Very low transfer dependency","1987","vocational + Abi","Male","71","0.334123361799587","0.259383431938658","0.408863291660516","1"
"Very low transfer dependency","1987","vocational + Abi","Female","48","0.366260276148545","0.277430361734995","0.455090190562094","1"
"Complete transfer dependency","1988","higher vocational","Female","1","","","","5"
"Complete transfer dependency","1988","higher education","Female","","","","","5"
"Complete transfer dependency","1988","inadequately","Female","11","","","","5"
"Complete transfer dependency","1988","general elemantary","Male","9","","","","5"
"Complete transfer dependency","1988","inadequately","Male","5","","","","5"
"Complete transfer dependency","1988","higher education","Male","","","","","5"
"Complete transfer dependency","1988","higher vocational","Male","","","","","5"
"Complete transfer dependency","1988","in school","Female","","","","","5"
"Complete transfer dependency","1988","general elemantary","Female","21","","","","5"
"Complete transfer dependency","1988","in school","Male","","","","","5"
"Complete transfer dependency","1988","middle vocational","Male","9","","","","5"
"Complete transfer dependency","1988","middle vocational","Female","7","","","","5"
"Complete transfer dependency","1988","vocational + Abi","Male","1","","","","5"
"Complete transfer dependency","1988","vocational + Abi","Female","","","","","5"
"High transfer dependency","1988","higher education","Male","1","","","","3"
"High transfer dependency","1988","inadequately","Male","2","","","","3"
"High transfer dependency","1988","higher vocational","Female","4","","","","3"
"High transfer dependency","1988","higher education","Female","1","","","","3"
"High transfer dependency","1988","in school","Female","","","","","3"
"High transfer dependency","1988","inadequately","Female","5","","","","3"
"High transfer dependency","1988","general elemantary","Male","16","","","","3"
"High transfer dependency","1988","general elemantary","Female","18","","","","3"
"High transfer dependency","1988","higher vocational","Male","3","","","","3"
"High transfer dependency","1988","in school","Male","1","","","","3"
"High transfer dependency","1988","middle vocational","Male","15","","","","3"
"High transfer dependency","1988","middle vocational","Female","17","","","","3"
"High transfer dependency","1988","vocational + Abi","Male","1","","","","3"
"High transfer dependency","1988","vocational + Abi","Female","1","","","","3"
"Low transfer dependency","1988","vocational + Abi","Female","3","","","","2"
"Low transfer dependency","1988","higher education","Male","6","","","","2"
"Low transfer dependency","1988","higher education","Female","4","","","","2"
"Low transfer dependency","1988","higher vocational","Female","7","","","","2"
"Low transfer dependency","1988","general elemantary","Male","39","0.0320481220579459","0.0207040030466387","0.0433922410692532","2"
"Low transfer dependency","1988","middle vocational","Female","51","0.0236794579691239","0.0170910972623707","0.0302678186758772","2"
"Low transfer dependency","1988","vocational + Abi","Male","5","","","","2"
"Low transfer dependency","1988","higher vocational","Male","4","","","","2"
"Low transfer dependency","1988","general elemantary","Female","57","0.0305750259997472","0.0223547072544582","0.0387953447450361","2"
