"transab_cat","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","1984","35-65 y.","in school","","","","","1"
"Very low transfer dependency","1984","35-65 y.","higher education","269","0.570961164950401","0.52533326706727","0.616589062833532","1"
"Very low transfer dependency","1984","16-34 y.","higher vocational","107","0.503920123672276","0.434453177262508","0.573387070082043","1"
"Very low transfer dependency","1984","66 and older","higher vocational","6","","","","1"
"Very low transfer dependency","1984","66 and older","middle vocational","41","0.074565870644901","0.0530571993484444","0.0960745419413576","1"
"Very low transfer dependency","1984","66 and older","vocational + Abi","","","","","1"
"Very low transfer dependency","1984","35-65 y.","middle vocational","1590","0.518628187743459","0.500306673807078","0.536949701679839","1"
"Very low transfer dependency","1984","35-65 y.","inadequately","375","0.502722422216133","0.464862976069722","0.540581868362544","1"
"Very low transfer dependency","1984","35-65 y.","general elemantary","789","0.427506211004631","0.403355930672166","0.451656491337096","1"
"Very low transfer dependency","1984","35-65 y.","vocational + Abi","58","0.405260358781753","0.319538155695395","0.49098256186811","1"
"Very low transfer dependency","1984","66 and older","higher education","4","","","","1"
"Complete transfer dependency","1985","16-34 y.","higher vocational","1","","","","5"
"Complete transfer dependency","1985","66 and older","in school","","","","","5"
"Complete transfer dependency","1985","16-34 y.","inadequately","8","","","","5"
"Complete transfer dependency","1985","35-65 y.","higher vocational","1","","","","5"
"Complete transfer dependency","1985","66 and older","inadequately","1","","","","5"
"Complete transfer dependency","1985","66 and older","middle vocational","","","","","5"
"Complete transfer dependency","1985","16-34 y.","in school","1","","","","5"
"Complete transfer dependency","1985","66 and older","general elemantary","4","","","","5"
"Complete transfer dependency","1985","16-34 y.","vocational + Abi","","","","","5"
"Complete transfer dependency","1985","35-65 y.","higher education","","","","","5"
"Complete transfer dependency","1985","16-34 y.","general elemantary","19","","","","5"
"Complete transfer dependency","1985","35-65 y.","inadequately","9","","","","5"
"Complete transfer dependency","1985","35-65 y.","general elemantary","18","","","","5"
"Complete transfer dependency","1985","16-34 y.","middle vocational","19","","","","5"
"Complete transfer dependency","1985","16-34 y.","higher education","","","","","5"
"Complete transfer dependency","1985","35-65 y.","in school","","","","","5"
"Complete transfer dependency","1985","35-65 y.","middle vocational","17","","","","5"
"Complete transfer dependency","1985","35-65 y.","vocational + Abi","1","","","","5"
"Complete transfer dependency","1985","66 and older","higher education","","","","","5"
"Complete transfer dependency","1985","66 and older","vocational + Abi","","","","","5"
"Complete transfer dependency","1985","66 and older","higher vocational","","","","","5"
"High transfer dependency","1985","66 and older","in school","","","","","3"
"High transfer dependency","1985","66 and older","inadequately","","","","","3"
"High transfer dependency","1985","66 and older","vocational + Abi","","","","","3"
"High transfer dependency","1985","16-34 y.","higher vocational","5","","","","3"
"High transfer dependency","1985","16-34 y.","higher education","2","","","","3"
"High transfer dependency","1985","35-65 y.","higher education","2","","","","3"
"High transfer dependency","1985","66 and older","general elemantary","6","","","","3"
"High transfer dependency","1985","66 and older","middle vocational","3","","","","3"
"High transfer dependency","1985","35-65 y.","higher vocational","4","","","","3"
"High transfer dependency","1985","16-34 y.","in school","2","","","","3"
"High transfer dependency","1985","16-34 y.","inadequately","3","","","","3"
"High transfer dependency","1985","16-34 y.","general elemantary","27","","","","3"
"High transfer dependency","1985","16-34 y.","vocational + Abi","1","","","","3"
"High transfer dependency","1985","35-65 y.","inadequately","8","","","","3"
"High transfer dependency","1985","35-65 y.","middle vocational","24","","","","3"
"High transfer dependency","1985","35-65 y.","vocational + Abi","5","","","","3"
"High transfer dependency","1985","35-65 y.","in school","","","","","3"
"High transfer dependency","1985","35-65 y.","general elemantary","10","","","","3"
"High transfer dependency","1985","66 and older","higher vocational","1","","","","3"
"High transfer dependency","1985","66 and older","higher education","","","","","3"
"High transfer dependency","1985","16-34 y.","middle vocational","30","0.0138155536726141","0.0085350034647345","0.0190961038804936","3"
"Low transfer dependency","1985","66 and older","general elemantary","7","","","","2"
"Low transfer dependency","1985","66 and older","middle vocational","3","","","","2"
"Low transfer dependency","1985","66 and older","higher vocational","","","","","2"
"Low transfer dependency","1985","66 and older","higher education","","","","","2"
"Low transfer dependency","1985","35-65 y.","vocational + Abi","4","","","","2"
"Low transfer dependency","1985","35-65 y.","higher vocational","4","","","","2"
"Low transfer dependency","1985","66 and older","in school","","","","","2"
"Low transfer dependency","1985","66 and older","inadequately","1","","","","2"
"Low transfer dependency","1985","66 and older","vocational + Abi","","","","","2"
"Low transfer dependency","1985","35-65 y.","higher education","5","","","","2"
"Low transfer dependency","1985","16-34 y.","general elemantary","55","0.0424171278261632","0.0305071607163408","0.0543270949359856","2"
"Low transfer dependency","1985","16-34 y.","middle vocational","60","0.0262555018695643","0.0190219995475921","0.0334890041915364","2"
"Low transfer dependency","1985","35-65 y.","in school","","","","","2"
"Low transfer dependency","1985","16-34 y.","higher vocational","11","","","","2"
"Low transfer dependency","1985","16-34 y.","higher education","5","","","","2"
"Low transfer dependency","1985","35-65 y.","inadequately","34","0.079758382017583","0.0575176147276912","0.101999149307475","2"
"Low transfer dependency","1985","35-65 y.","general elemantary","51","0.0299595870131441","0.0212000849453176","0.0387190890809706","2"
"Low transfer dependency","1985","35-65 y.","middle vocational","71","0.0235824013755175","0.0177586059614202","0.0294061967896148","2"
"Low transfer dependency","1985","16-34 y.","in school","8","","","","2"
"Low transfer dependency","1985","16-34 y.","inadequately","17","","","","2"
"Low transfer dependency","1985","16-34 y.","vocational + Abi","11","","","","2"
"No transfer dependency","1985","16-34 y.","in school","9","","","","0"
"No transfer dependency","1985","16-34 y.","inadequately","38","0.231068435655354","0.175991345368352","0.286145525942356","0"
"No transfer dependency","1985","16-34 y.","general elemantary","162","0.159253161675994","0.137629541640851","0.180876781711136","0"
"No transfer dependency","1985","16-34 y.","middle vocational","621","0.371368973123038","0.349510658676747","0.39322728756933","0"
"No transfer dependency","1985","16-34 y.","vocational + Abi","57","0.468506480053843","0.387285003967962","0.549727956139725","0"
"No transfer dependency","1985","16-34 y.","higher vocational","73","0.409037067105572","0.339673584503694","0.478400549707449","0"
"No transfer dependency","1985","16-34 y.","higher education","121","0.56868553851973","0.504956524306674","0.632414552732787","0"
"No transfer dependency","1985","35-65 y.","in school","","","","","0"
"No transfer dependency","1985","35-65 y.","inadequately","140","0.284470764228569","0.247433135445692","0.321508393011446","0"
"No transfer dependency","1985","35-65 y.","general elemantary","627","0.52038084160605","0.494710863085597","0.546050820126503","0"
"No transfer dependency","1985","35-65 y.","middle vocational","966","0.434353015666408","0.41532960181168","0.453376429521136","0"
"No transfer dependency","1985","35-65 y.","vocational + Abi","42","0.54358745424869","0.447858146004197","0.639316762493182","0"
"No transfer dependency","1985","35-65 y.","higher vocational","123","0.432828866686504","0.378627436896163","0.487030296476846","0"
"No transfer dependency","1985","35-65 y.","higher education","151","0.414698186765794","0.368132086791223","0.461264286740366","0"
"No transfer dependency","1985","66 and older","in school","","","","","0"
"No transfer dependency","1985","66 and older","inadequately","7","","","","0"
"No transfer dependency","1985","66 and older","general elemantary","340","0.829249571365896","0.793176470240489","0.865322672491302","0"
"No transfer dependency","1985","66 and older","middle vocational","479","0.933114400946557","0.91151705981219","0.954711742080925","0"
"No transfer dependency","1985","66 and older","vocational + Abi","18","","","","0"
"No transfer dependency","1985","66 and older","higher vocational","72","0.916166786255226","0.854663811954305","0.977669760556148","0"
"No transfer dependency","1985","66 and older","higher education","53","0.960164218218221","0.908477830947829","1.01185060548861","0"
"Very high transfer dependency","1985","66 and older","general elemantary","","","","","4"
"Very high transfer dependency","1985","35-65 y.","vocational + Abi","","","","","4"
"Very high transfer dependency","1985","66 and older","inadequately","1","","","","4"
"Very high transfer dependency","1985","66 and older","higher vocational","","","","","4"
"Very high transfer dependency","1985","66 and older","higher education","","","","","4"
"Very high transfer dependency","1985","66 and older","in school","","","","","4"
"Very high transfer dependency","1985","66 and older","middle vocational","","","","","4"
"Very high transfer dependency","1985","66 and older","vocational + Abi","","","","","4"
"Very high transfer dependency","1985","35-65 y.","inadequately","1","","","","4"
"Very high transfer dependency","1985","35-65 y.","higher vocational","1","","","","4"
"Very high transfer dependency","1985","16-34 y.","general elemantary","7","","","","4"
"Very high transfer dependency","1985","16-34 y.","higher vocational","1","","","","4"
"Very high transfer dependency","1985","16-34 y.","higher education","","","","","4"
"Very high transfer dependency","1985","35-65 y.","in school","","","","","4"
"Very high transfer dependency","1985","35-65 y.","general elemantary","12","","","","4"
"Very high transfer dependency","1985","35-65 y.","middle vocational","17","","","","4"
"Very high transfer dependency","1985","35-65 y.","higher education","1","","","","4"
"Very high transfer dependency","1985","16-34 y.","in school","3","","","","4"
"Very high transfer dependency","1985","16-34 y.","inadequately","4","","","","4"
"Very high transfer dependency","1985","16-34 y.","middle vocational","19","","","","4"
"Very high transfer dependency","1985","16-34 y.","vocational + Abi","2","","","","4"
"Very low transfer dependency","1985","66 and older","higher vocational","5","","","","1"
"Very low transfer dependency","1985","16-34 y.","in school","158","0.867402989519562","0.817996257667482","0.916809721371643","1"
"Very low transfer dependency","1985","16-34 y.","inadequately","155","0.572418686700907","0.507775450248199","0.637061923153615","1"
"Very low transfer dependency","1985","16-34 y.","general elemantary","830","0.751143378275025","0.725593562644882","0.776693193905168","1"
"Very low transfer dependency","1985","16-34 y.","middle vocational","1128","0.564671528454067","0.542241881592706","0.587101175315428","1"
"Very low transfer dependency","1985","66 and older","in school","","","","","1"
"Very low transfer dependency","1985","66 and older","inadequately","4","","","","1"
"Very low transfer dependency","1985","66 and older","general elemantary","61","0.128517308531362","0.0964346651378516","0.160599951924872","1"
"Very low transfer dependency","1985","66 and older","vocational + Abi","","","","","1"
"Very low transfer dependency","1985","16-34 y.","higher vocational","102","0.489598132030633","0.419072751168889","0.560123512892377","1"
"Very low transfer dependency","1985","16-34 y.","higher education","104","0.40829883456808","0.345051186409837","0.471546482726322","1"
"Very low transfer dependency","1985","35-65 y.","in school","","","","","1"
"Very low transfer dependency","1985","35-65 y.","higher vocational","188","0.535540698573747","0.480981793310896","0.590099603836597","1"
"Very low transfer dependency","1985","66 and older","middle vocational","29","","","","1"
"Very low transfer dependency","1985","16-34 y.","vocational + Abi","74","0.442538717012146","0.361694849604905","0.523382584419387","1"
"Very low transfer dependency","1985","35-65 y.","higher education","271","0.567803898336315","0.520981519893718","0.614626276778912","1"
"Very low transfer dependency","1985","35-65 y.","vocational + Abi","52","0.398790447918386","0.304684574238619","0.492896321598153","1"
"Very low transfer dependency","1985","35-65 y.","inadequately","378","0.607620791353999","0.567535968409065","0.647705614298934","1"
"Very low transfer dependency","1985","35-65 y.","general elemantary","737","0.41723328929214","0.391896391586055","0.442570186998225","1"
"Very low transfer dependency","1985","66 and older","higher education","2","","","","1"
"Very low transfer dependency","1985","35-65 y.","middle vocational","1513","0.519724224887836","0.500549633477103","0.53889881629857","1"
"Complete transfer dependency","1986","16-34 y.","middle vocational","14","","","","5"
"Complete transfer dependency","1986","66 and older","in school","","","","","5"
"Complete transfer dependency","1986","66 and older","middle vocational","","","","","5"
"Complete transfer dependency","1986","35-65 y.","higher vocational","2","","","","5"
"Complete transfer dependency","1986","66 and older","inadequately","","","","","5"
"Complete transfer dependency","1986","16-34 y.","in school","","","","","5"
"Complete transfer dependency","1986","16-34 y.","general elemantary","17","","","","5"
"Complete transfer dependency","1986","66 and older","general elemantary","1","","","","5"
"Complete transfer dependency","1986","16-34 y.","vocational + Abi","","","","","5"
"Complete transfer dependency","1986","16-34 y.","higher vocational","3","","","","5"
"Complete transfer dependency","1986","16-34 y.","inadequately","5","","","","5"
"Complete transfer dependency","1986","35-65 y.","higher education","1","","","","5"
"Complete transfer dependency","1986","16-34 y.","higher education","4","","","","5"
"Complete transfer dependency","1986","35-65 y.","in school","","","","","5"
"Complete transfer dependency","1986","35-65 y.","inadequately","6","","","","5"
"Complete transfer dependency","1986","35-65 y.","general elemantary","20","","","","5"
"Complete transfer dependency","1986","35-65 y.","middle vocational","11","","","","5"
"Complete transfer dependency","1986","35-65 y.","vocational + Abi","1","","","","5"
"Complete transfer dependency","1986","66 and older","vocational + Abi","","","","","5"
"Complete transfer dependency","1986","66 and older","higher vocational","","","","","5"
"Complete transfer dependency","1986","66 and older","higher education","","","","","5"
"High transfer dependency","1986","66 and older","middle vocational","2","","","","3"
"High transfer dependency","1986","66 and older","vocational + Abi","","","","","3"
"High transfer dependency","1986","66 and older","in school","","","","","3"
"High transfer dependency","1986","66 and older","inadequately","1","","","","3"
"High transfer dependency","1986","66 and older","general elemantary","4","","","","3"
"High transfer dependency","1986","16-34 y.","higher education","1","","","","3"
"High transfer dependency","1986","16-34 y.","middle vocational","20","","","","3"
"High transfer dependency","1986","16-34 y.","vocational + Abi","4","","","","3"
"High transfer dependency","1986","16-34 y.","higher vocational","3","","","","3"
"High transfer dependency","1986","35-65 y.","higher vocational","","","","","3"
"High transfer dependency","1986","35-65 y.","higher education","2","","","","3"
"High transfer dependency","1986","16-34 y.","inadequately","5","","","","3"
"High transfer dependency","1986","16-34 y.","in school","2","","","","3"
"High transfer dependency","1986","16-34 y.","general elemantary","21","","","","3"
"High transfer dependency","1986","35-65 y.","in school","","","","","3"
"High transfer dependency","1986","35-65 y.","inadequately","10","","","","3"
"High transfer dependency","1986","35-65 y.","general elemantary","17","","","","3"
"High transfer dependency","1986","35-65 y.","middle vocational","25","","","","3"
"High transfer dependency","1986","35-65 y.","vocational + Abi","3","","","","3"
"High transfer dependency","1986","66 and older","higher vocational","1","","","","3"
"High transfer dependency","1986","66 and older","higher education","","","","","3"
"Low transfer dependency","1986","35-65 y.","vocational + Abi","4","","","","2"
"Low transfer dependency","1986","35-65 y.","higher vocational","4","","","","2"
"Low transfer dependency","1986","66 and older","general elemantary","5","","","","2"
"Low transfer dependency","1986","66 and older","in school","","","","","2"
"Low transfer dependency","1986","66 and older","middle vocational","1","","","","2"
"Low transfer dependency","1986","66 and older","inadequately","2","","","","2"
"Low transfer dependency","1986","66 and older","vocational + Abi","","","","","2"
"Low transfer dependency","1986","66 and older","higher vocational","","","","","2"
"Low transfer dependency","1986","66 and older","higher education","","","","","2"
"Low transfer dependency","1986","35-65 y.","in school","","","","","2"
"Low transfer dependency","1986","35-65 y.","inadequately","37","0.0625533943551826","0.0415779185331057","0.0835288701772595","2"
"Low transfer dependency","1986","16-34 y.","inadequately","17","","","","2"
"Low transfer dependency","1986","35-65 y.","general elemantary","36","0.0282603433332538","0.0193609652300791","0.0371597214364286","2"
"Low transfer dependency","1986","35-65 y.","middle vocational","66","0.0271479518783485","0.0207965289798528","0.0334993747768441","2"
"Low transfer dependency","1986","35-65 y.","higher education","7","","","","2"
"Low transfer dependency","1986","16-34 y.","general elemantary","47","0.0396653310299228","0.0278993689957674","0.0514312930640781","2"
"Low transfer dependency","1986","16-34 y.","middle vocational","68","0.0364424235138021","0.0278333808943701","0.0450514661332341","2"
"Low transfer dependency","1986","16-34 y.","higher vocational","8","","","","2"
"Low transfer dependency","1986","16-34 y.","higher education","3","","","","2"
"Low transfer dependency","1986","16-34 y.","in school","3","","","","2"
"Low transfer dependency","1986","16-34 y.","vocational + Abi","11","","","","2"
"No transfer dependency","1986","16-34 y.","in school","10","","","","0"
"No transfer dependency","1986","16-34 y.","inadequately","33","0.231567048871032","0.176201828899403","0.286932268842662","0"
"No transfer dependency","1986","16-34 y.","general elemantary","198","0.205509090319022","0.181149466232784","0.229868714405261","0"
"No transfer dependency","1986","16-34 y.","middle vocational","660","0.390955907397999","0.368537711778047","0.41337410301795","0"
"No transfer dependency","1986","16-34 y.","vocational + Abi","66","0.529783842316048","0.449372861050522","0.610194823581573","0"
"No transfer dependency","1986","16-34 y.","higher vocational","68","0.402130462708096","0.331664673783453","0.472596251632738","0"
"No transfer dependency","1986","16-34 y.","higher education","113","0.542406484564375","0.476574171014284","0.608238798114466","0"
"No transfer dependency","1986","35-65 y.","in school","","","","","0"
"No transfer dependency","1986","35-65 y.","inadequately","126","0.258875164371032","0.220934582432881","0.296815746309183","0"
"No transfer dependency","1986","35-65 y.","general elemantary","566","0.521325434918938","0.494498527444412","0.548152342393465","0"
"No transfer dependency","1986","35-65 y.","middle vocational","937","0.43150058893895","0.412143733695458","0.450857444182442","0"
"No transfer dependency","1986","35-65 y.","vocational + Abi","39","0.554374451758047","0.454426722208697","0.654322181307398","0"
"No transfer dependency","1986","35-65 y.","higher vocational","116","0.439661741540852","0.383117717638311","0.496205765443394","0"
"No transfer dependency","1986","35-65 y.","higher education","149","0.392229933211394","0.346661004717256","0.437798861705533","0"
"No transfer dependency","1986","66 and older","in school","","","","","0"
"No transfer dependency","1986","66 and older","inadequately","11","","","","0"
"No transfer dependency","1986","66 and older","general elemantary","325","0.851011976194993","0.815672565486392","0.886351386903594","0"
"No transfer dependency","1986","66 and older","middle vocational","441","0.915769386504876","0.890923441767496","0.940615331242257","0"
"No transfer dependency","1986","66 and older","vocational + Abi","19","","","","0"
"No transfer dependency","1986","66 and older","higher vocational","66","0.906123107153078","0.839217946612626","0.97302826769353","0"
"No transfer dependency","1986","66 and older","higher education","50","0.952507094806142","0.894698169309443","1.01031602030284","0"
"Very high transfer dependency","1986","66 and older","inadequately","","","","","4"
"Very high transfer dependency","1986","35-65 y.","vocational + Abi","1","","","","4"
"Very high transfer dependency","1986","66 and older","in school","","","","","4"
"Very high transfer dependency","1986","66 and older","general elemantary","1","","","","4"
"Very high transfer dependency","1986","66 and older","middle vocational","","","","","4"
"Very high transfer dependency","1986","66 and older","vocational + Abi","","","","","4"
"Very high transfer dependency","1986","66 and older","higher education","","","","","4"
"Very high transfer dependency","1986","66 and older","higher vocational","","","","","4"
"Very high transfer dependency","1986","16-34 y.","general elemantary","7","","","","4"
"Very high transfer dependency","1986","16-34 y.","higher education","1","","","","4"
"Very high transfer dependency","1986","16-34 y.","in school","2","","","","4"
"Very high transfer dependency","1986","16-34 y.","inadequately","3","","","","4"
"Very high transfer dependency","1986","16-34 y.","middle vocational","17","","","","4"
"Very high transfer dependency","1986","16-34 y.","vocational + Abi","2","","","","4"
"Very high transfer dependency","1986","16-34 y.","higher vocational","1","","","","4"
"Very high transfer dependency","1986","35-65 y.","in school","","","","","4"
"Very high transfer dependency","1986","35-65 y.","inadequately","8","","","","4"
"Very high transfer dependency","1986","35-65 y.","general elemantary","5","","","","4"
"Very high transfer dependency","1986","35-65 y.","middle vocational","16","","","","4"
"Very high transfer dependency","1986","35-65 y.","higher vocational","2","","","","4"
"Very high transfer dependency","1986","35-65 y.","higher education","1","","","","4"
"Very low transfer dependency","1986","16-34 y.","middle vocational","1041","0.542079404934304","0.519189766160601","0.564969043708007","1"
"Very low transfer dependency","1986","66 and older","middle vocational","36","0.0763271514630767","0.0525737347068663","0.100080568219287","1"
"Very low transfer dependency","1986","66 and older","vocational + Abi","","","","","1"
"Very low transfer dependency","1986","66 and older","higher vocational","6","","","","1"
