"transab_cat","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Very high transfer dependency","1984","Employed","Not Working","","","","","4"
"Very low transfer dependency","1984","Employed","Part Time","1132","0.604015544966285","0.581509842334201","0.626521247598368","1"
"Very low transfer dependency","1984","Not Employed","Full Time","","","","","1"
"Very low transfer dependency","1984","Employed","Full Time","3099","0.521363301495689","0.508105736944201","0.534620866047178","1"
"Very low transfer dependency","1984","Not Employed","Part Time","","","","","1"
"Very low transfer dependency","1984","Not Employed","Not Working","1960","0.356609821072739","0.342622499589663","0.370597142555814","1"
"Very low transfer dependency","1984","Employed","Not Working","","","","","1"
"Complete transfer dependency","1985","Not Employed","Full Time","","","","","5"
"Complete transfer dependency","1985","Not Employed","Part Time","","","","","5"
"Complete transfer dependency","1985","Not Employed","Not Working","100","0.0201376536107219","0.0158420930997265","0.0244332141217172","5"
"Complete transfer dependency","1985","Employed","Full Time","","","","","5"
"Complete transfer dependency","1985","Employed","Part Time","","","","","5"
"Complete transfer dependency","1985","Employed","Not Working","","","","","5"
"High transfer dependency","1985","Not Employed","Part Time","","","","","3"
"High transfer dependency","1985","Not Employed","Not Working","79","0.0153632278584223","0.0116021516367651","0.0191243040800795","3"
"High transfer dependency","1985","Employed","Not Working","","","","","3"
"High transfer dependency","1985","Employed","Part Time","45","0.0264680918805123","0.0190276154420442","0.0339085683189803","3"
"High transfer dependency","1985","Not Employed","Full Time","","","","","3"
"High transfer dependency","1985","Employed","Full Time","10","","","","3"
"Low transfer dependency","1985","Not Employed","Full Time","","","","","2"
"Low transfer dependency","1985","Not Employed","Part Time","","","","","2"
"Low transfer dependency","1985","Not Employed","Not Working","177","0.028605170879702","0.0235077201061594","0.0337026216532446","2"
"Low transfer dependency","1985","Employed","Full Time","82","0.0125892857123011","0.00941895156494901","0.0157596198596533","2"
"Low transfer dependency","1985","Employed","Part Time","97","0.0480059813455806","0.0380969975163257","0.0579149651748355","2"
"Low transfer dependency","1985","Employed","Not Working","","","","","2"
"No transfer dependency","1985","Not Employed","Full Time","","","","","0"
"No transfer dependency","1985","Not Employed","Part Time","","","","","0"
"No transfer dependency","1985","Not Employed","Not Working","1811","0.572115992461114","0.556986026713108","0.587245958209121","0"
"No transfer dependency","1985","Employed","Full Time","1864","0.466852920842463","0.452666621058488","0.481039220626439","0"
"No transfer dependency","1985","Employed","Part Time","443","0.296749015960577","0.275574467799128","0.317923564122026","0"
"No transfer dependency","1985","Employed","Not Working","","","","","0"
"Very high transfer dependency","1985","Not Employed","Full Time","","","","","4"
"Very high transfer dependency","1985","Employed","Full Time","","","","","4"
"Very high transfer dependency","1985","Not Employed","Part Time","","","","","4"
"Very high transfer dependency","1985","Not Employed","Not Working","61","0.014549360800796","0.0108877492600998","0.0182109723414921","4"
"Very high transfer dependency","1985","Employed","Part Time","10","","","","4"
"Very high transfer dependency","1985","Employed","Not Working","","","","","4"
"Very low transfer dependency","1985","Employed","Part Time","1193","0.622544407334496","0.600075475118642","0.64501333955035","1"
"Very low transfer dependency","1985","Not Employed","Full Time","","","","","1"
"Very low transfer dependency","1985","Employed","Full Time","2795","0.519369790092415","0.505162885938042","0.533576694246787","1"
"Very low transfer dependency","1985","Not Employed","Part Time","","","","","1"
"Very low transfer dependency","1985","Not Employed","Not Working","1880","0.349228594389243","0.334650458216732","0.363806730561755","1"
"Very low transfer dependency","1985","Employed","Not Working","","","","","1"
"Complete transfer dependency","1986","Not Employed","Part Time","","","","","5"
"Complete transfer dependency","1986","Not Employed","Full Time","","","","","5"
"Complete transfer dependency","1986","Not Employed","Not Working","87","0.0205879309607199","0.0160807627588281","0.0250950991626118","5"
"Complete transfer dependency","1986","Employed","Full Time","","","","","5"
"Complete transfer dependency","1986","Employed","Part Time","","","","","5"
"Complete transfer dependency","1986","Employed","Not Working","","","","","5"
"High transfer dependency","1986","Not Employed","Full Time","","","","","3"
"High transfer dependency","1986","Not Employed","Part Time","","","","","3"
"High transfer dependency","1986","Employed","Not Working","","","","","3"
"High transfer dependency","1986","Employed","Part Time","45","0.0276069232009848","0.0199239101461436","0.0352899362558259","3"
"High transfer dependency","1986","Not Employed","Not Working","71","0.0143621707156055","0.0105857235550032","0.0181386178762079","3"
"High transfer dependency","1986","Employed","Full Time","6","","","","3"
"Low transfer dependency","1986","Not Employed","Part Time","","","","","2"
"Low transfer dependency","1986","Not Employed","Not Working","149","0.0281346181934569","0.0228860812599146","0.0333831551269993","2"
"Low transfer dependency","1986","Employed","Not Working","","","","","2"
"Low transfer dependency","1986","Employed","Part Time","108","0.0623762965942693","0.0510359658621905","0.0737166273263481","2"
"Low transfer dependency","1986","Not Employed","Full Time","","","","","2"
"Low transfer dependency","1986","Employed","Full Time","72","0.01263518399209","0.00941059515738446","0.0158597728267955","2"
"No transfer dependency","1986","Not Employed","Full Time","","","","","0"
"No transfer dependency","1986","Not Employed","Part Time","","","","","0"
"No transfer dependency","1986","Not Employed","Not Working","1669","0.576786617247237","0.561104598374024","0.592468636120449","0"
"No transfer dependency","1986","Employed","Full Time","1889","0.483396123907361","0.468969153233182","0.49782309458154","0"
"No transfer dependency","1986","Employed","Part Time","459","0.296096703283478","0.274688761052806","0.31750464551415","0"
"No transfer dependency","1986","Employed","Not Working","","","","","0"
"Very high transfer dependency","1986","Employed","Full Time","2","","","","4"
"Very high transfer dependency","1986","Not Employed","Full Time","","","","","4"
"Very high transfer dependency","1986","Not Employed","Part Time","","","","","4"
"Very high transfer dependency","1986","Not Employed","Not Working","55","0.013233062133613","0.00960602368711036","0.0168601005801156","4"
"Very high transfer dependency","1986","Employed","Part Time","11","","","","4"
"Very high transfer dependency","1986","Employed","Not Working","","","","","4"
"Very low transfer dependency","1986","Not Employed","Full Time","","","","","1"
"Very low transfer dependency","1986","Employed","Part Time","1124","0.608280151447185","0.585390390862805","0.631169912031566","1"
"Very low transfer dependency","1986","Employed","Full Time","2640","0.502546806793878","0.488112062086605","0.516981551501151","1"
"Very low transfer dependency","1986","Not Employed","Part Time","","","","","1"
"Very low transfer dependency","1986","Not Employed","Not Working","1782","0.346895600749368","0.331787655959615","0.362003545539121","1"
"Very low transfer dependency","1986","Employed","Not Working","","","","","1"
"Complete transfer dependency","1987","Not Employed","Full Time","","","","","5"
"Complete transfer dependency","1987","Not Employed","Part Time","","","","","5"
"Complete transfer dependency","1987","Not Employed","Not Working","74","0.0179013086867438","0.013612113048338","0.0221905043251496","5"
"Complete transfer dependency","1987","Employed","Full Time","","","","","5"
"Complete transfer dependency","1987","Employed","Part Time","","","","","5"
"Complete transfer dependency","1987","Employed","Not Working","","","","","5"
"High transfer dependency","1987","Not Employed","Part Time","","","","","3"
"High transfer dependency","1987","Not Employed","Full Time","","","","","3"
"High transfer dependency","1987","Employed","Part Time","39","0.0212299357763825","0.0144529295582778","0.0280069419944873","3"
"High transfer dependency","1987","Employed","Not Working","","","","","3"
"High transfer dependency","1987","Not Employed","Not Working","64","0.0114023134406362","0.00796782403297683","0.0148368028482956","3"
"High transfer dependency","1987","Employed","Full Time","10","","","","3"
"Low transfer dependency","1987","Not Employed","Full Time","","","","","2"
"Low transfer dependency","1987","Not Employed","Part Time","","","","","2"
"Low transfer dependency","1987","Not Employed","Not Working","167","0.0362019099232406","0.0301594375818586","0.0422443822646226","2"
"Low transfer dependency","1987","Employed","Part Time","104","0.0555687865925657","0.0447985851129332","0.0663389880721982","2"
"Low transfer dependency","1987","Employed","Not Working","","","","","2"
"Low transfer dependency","1987","Employed","Full Time","71","0.013680600622397","0.0103212043326266","0.0170399969121674","2"
"No transfer dependency","1987","Not Employed","Full Time","","","","","0"
"No transfer dependency","1987","Not Employed","Part Time","","","","","0"
"No transfer dependency","1987","Not Employed","Not Working","1646","0.59543450168394","0.579557542872839","0.61131146049504","0"
"No transfer dependency","1987","Employed","Full Time","1929","0.500918430564487","0.48645840236261","0.515378458766364","0"
"No transfer dependency","1987","Employed","Part Time","449","0.313705413799653","0.291891203366912","0.335519624232393","0"
"No transfer dependency","1987","Employed","Not Working","","","","","0"
"Very high transfer dependency","1987","Employed","Full Time","2","","","","4"
"Very high transfer dependency","1987","Not Employed","Full Time","","","","","4"
"Very high transfer dependency","1987","Not Employed","Part Time","","","","","4"
"Very high transfer dependency","1987","Not Employed","Not Working","51","0.0140117731013743","0.010209543738133","0.0178140024646156","4"
"Very high transfer dependency","1987","Employed","Part Time","11","","","","4"
"Very high transfer dependency","1987","Employed","Not Working","","","","","4"
"Very low transfer dependency","1987","Not Employed","Full Time","","","","","1"
"Very low transfer dependency","1987","Employed","Full Time","2581","0.482443222582219","0.467992087081","0.496894358083438","1"
"Very low transfer dependency","1987","Employed","Part Time","1135","0.602381524687687","0.579372812877402","0.625390236497971","1"
"Very low transfer dependency","1987","Not Employed","Part Time","","","","","1"
"Very low transfer dependency","1987","Not Employed","Not Working","1669","0.325048193164066","0.30989632583188","0.340200060496251","1"
"Very low transfer dependency","1987","Employed","Not Working","","","","","1"
"Complete transfer dependency","1988","Not Employed","Full Time","","","","","5"
"Complete transfer dependency","1988","Not Employed","Part Time","","","","","5"
"Complete transfer dependency","1988","Not Employed","Not Working","67","0.0162664906371922","0.0120392736991449","0.0204937075752395","5"
"Complete transfer dependency","1988","Employed","Full Time","","","","","5"
"Complete transfer dependency","1988","Employed","Part Time","","","","","5"
"Complete transfer dependency","1988","Employed","Not Working","","","","","5"
"High transfer dependency","1988","Not Employed","Part Time","","","","","3"
"High transfer dependency","1988","Employed","Not Working","","","","","3"
"High transfer dependency","1988","Employed","Part Time","29","","","","3"
"High transfer dependency","1988","Not Employed","Full Time","","","","","3"
"High transfer dependency","1988","Not Employed","Not Working","51","0.0121912473706518","0.00852409144363904","0.0158584032976645","3"
"High transfer dependency","1988","Employed","Full Time","5","","","","3"
"Low transfer dependency","1988","Not Employed","Not Working","144","0.0283531421059849","0.022806582399993","0.0338997018119768","2"
"Low transfer dependency","1988","Not Employed","Full Time","","","","","2"
"Low transfer dependency","1988","Not Employed","Part Time","","","","","2"
"Low transfer dependency","1988","Employed","Full Time","65","0.0135372858887458","0.0100768604372082","0.0169977113402835","2"
"Low transfer dependency","1988","Employed","Part Time","94","0.0506636839030129","0.0403914843396286","0.0609358834663973","2"
"Low transfer dependency","1988","Employed","Not Working","","","","","2"
"No transfer dependency","1988","Not Employed","Full Time","","","","","0"
"No transfer dependency","1988","Not Employed","Part Time","","","","","0"
"No transfer dependency","1988","Not Employed","Not Working","1586","0.609516183640605","0.59321335326163","0.625819014019581","0"
"No transfer dependency","1988","Employed","Full Time","1853","0.525403142018854","0.510450011568238","0.540356272469469","0"
"No transfer dependency","1988","Employed","Part Time","468","0.336639623277145","0.314505496273035","0.358773750281255","0"
"No transfer dependency","1988","Employed","Not Working","","","","","0"
"Very high transfer dependency","1988","Employed","Full Time","2","","","","4"
"Very high transfer dependency","1988","Not Employed","Full Time","","","","","4"
"Very high transfer dependency","1988","Not Employed","Part Time","","","","","4"
"Very high transfer dependency","1988","Not Employed","Not Working","60","0.0166782854917197","0.0123987918406649","0.0209577791427745","4"
"Very high transfer dependency","1988","Employed","Part Time","14","","","","4"
"Very high transfer dependency","1988","Employed","Not Working","","","","","4"
"Very low transfer dependency","1988","Employed","Full Time","2359","0.459306532114403","0.444383735074776","0.47422932915403","1"
"Very low transfer dependency","1988","Not Employed","Not Working","1532","0.316994650753846","0.301445492306971","0.332543809200722","1"
"Very low transfer dependency","1988","Not Employed","Full Time","","","","","1"
"Very low transfer dependency","1988","Employed","Part Time","1146","0.588521970009274","0.56547256686563","0.611571373152917","1"
"Very low transfer dependency","1988","Not Employed","Part Time","","","","","1"
"Very low transfer dependency","1988","Employed","Not Working","","","","","1"
"Complete transfer dependency","1989","Not Employed","Not Working","81","0.0228123986646953","0.0177267898527645","0.0278980074766262","5"
"Complete transfer dependency","1989","Employed","Not Working","","","","","5"
"Complete transfer dependency","1989","Not Employed","Part Time","","","","","5"
"Complete transfer dependency","1989","Not Employed","Full Time","","","","","5"
"Complete transfer dependency","1989","Employed","Part Time","","","","","5"
"Complete transfer dependency","1989","Employed","Full Time","","","","","5"
"High transfer dependency","1989","Not Employed","Full Time","","","","","3"
"High transfer dependency","1989","Not Employed","Part Time","","","","","3"
"High transfer dependency","1989","Employed","Part Time","34","0.0288155019995127","0.0206516546961497","0.0369793493028758","3"
"High transfer dependency","1989","Employed","Not Working","","","","","3"
"High transfer dependency","1989","Not Employed","Not Working","58","0.0136938341046052","0.00973527707701261","0.0176523911321978","3"
"High transfer dependency","1989","Employed","Full Time","10","","","","3"
"Low transfer dependency","1989","Not Employed","Full Time","","","","","2"
"Low transfer dependency","1989","Not Employed","Part Time","","","","","2"
"Low transfer dependency","1989","Not Employed","Not Working","137","0.0267958132027614","0.0212952905729307","0.0322963358325922","2"
"Low transfer dependency","1989","Employed","Full Time","62","0.0116926990137579","0.00846384321678557","0.0149215548107303","2"
"Low transfer dependency","1989","Employed","Part Time","91","0.0474128456268918","0.0370415914379344","0.0577840998158491","2"
"Low transfer dependency","1989","Employed","Not Working","","","","","2"
"No transfer dependency","1989","Not Employed","Full Time","","","","","0"
"No transfer dependency","1989","Employed","Full Time","1904","0.535691332624129","0.520711534255514","0.550671130992743","0"
"No transfer dependency","1989","Employed","Part Time","441","0.329099558415663","0.306168526648695","0.352030590182632","0"
"No transfer dependency","1989","Not Employed","Part Time","","","","","0"
"No transfer dependency","1989","Not Employed","Not Working","1524","0.606502975599222","0.589862884679273","0.62314306651917","0"
"No transfer dependency","1989","Employed","Not Working","","","","","0"
"Very high transfer dependency","1989","Not Employed","Full Time","","","","","4"
"Very high transfer dependency","1989","Not Employed","Part Time","","","","","4"
"Very high transfer dependency","1989","Not Employed","Not Working","46","0.013599971475873","0.00965481677818612","0.0175451261735599","4"
"Very high transfer dependency","1989","Employed","Full Time","1","","","","4"
"Very high transfer dependency","1989","Employed","Part Time","9","","","","4"
"Very high transfer dependency","1989","Employed","Not Working","","","","","4"
"Very low transfer dependency","1989","Employed","Full Time","2281","0.450080392864274","0.435137320084048","0.465023465644499","1"
"Very low transfer dependency","1989","Not Employed","Not Working","1465","0.316595006952844","0.300751197706038","0.332438816199649","1"
"Very low transfer dependency","1989","Not Employed","Full Time","","","","","1"
"Very low transfer dependency","1989","Not Employed","Part Time","","","","","1"
"Very low transfer dependency","1989","Employed","Part Time","1038","0.591200780682119","0.567209499783651","0.615192061580586","1"
"Very low transfer dependency","1989","Employed","Not Working","","","","","1"
"Complete transfer dependency","1990","Not Employed","Not Working","53","0.0157028912690823","0.0113893137672113","0.0200164687709532","5"
"Complete transfer dependency","1990","Not Employed","Part Time","","","","","5"
"Complete transfer dependency","1990","Employed","Not Working","","","","","5"
"Complete transfer dependency","1990","Not Employed","Full Time","","","","","5"
"Complete transfer dependency","1990","Employed","Full Time","","","","","5"
"Complete transfer dependency","1990","Employed","Part Time","","","","","5"
"High transfer dependency","1990","Not Employed","Full Time","","","","","3"
"High transfer dependency","1990","Not Employed","Part Time","","","","","3"
"High transfer dependency","1990","Employed","Part Time","36","0.0266089311755686","0.0187083084042314","0.0345095539469059","3"
"High transfer dependency","1990","Employed","Not Working","","","","","3"
"High transfer dependency","1990","Not Employed","Not Working","54","0.0135112237919431","0.00950552668426905","0.0175169208996172","3"
"High transfer dependency","1990","Employed","Full Time","9","","","","3"
"Low transfer dependency","1990","Not Employed","Full Time","","","","","2"
"Low transfer dependency","1990","Not Employed","Part Time","","","","","2"
"Low transfer dependency","1990","Not Employed","Not Working","124","0.0278497373354145","0.0221407124038947","0.0335587622669343","2"
"Low transfer dependency","1990","Employed","Full Time","46","0.00914504963926761","0.00623412508903909","0.0120559741894961","2"
"Low transfer dependency","1990","Employed","Part Time","77","0.0443691982668723","0.0342606266380187","0.0544777698957258","2"
"Low transfer dependency","1990","Employed","Not Working","","","","","2"
"No transfer dependency","1990","Not Employed","Full Time","","","","","0"
"No transfer dependency","1990","Employed","Part Time","456","0.342188500752108","0.318897541876961","0.365479459627254","0"
"No transfer dependency","1990","Employed","Full Time","1953","0.563574907132183","0.548409168950957","0.578740645313409","0"
"No transfer dependency","1990","Not Employed","Not Working","1568","0.620120691166931","0.60328055419001","0.636960828143851","0"
"No transfer dependency","1990","Not Employed","Part Time","","","","","0"
"No transfer dependency","1990","Employed","Not Working","","","","","0"
"Very high transfer dependency","1990","Not Employed","Full Time","","","","","4"
"Very high transfer dependency","1990","Not Employed","Part Time","","","","","4"
"Very high transfer dependency","1990","Not Employed","Not Working","36","0.00943039171960959","0.00607694002414369","0.0127838434150755","4"
"Very high transfer dependency","1990","Employed","Full Time","1","","","","4"
"Very high transfer dependency","1990","Employed","Part Time","10","","","","4"
"Very high transfer dependency","1990","Employed","Not Working","","","","","4"
"Very low transfer dependency","1990","Employed","Full Time","2099","0.425540825532072","0.410421477146344","0.440660173917799","1"
"Very low transfer dependency","1990","Not Employed","Not Working","1356","0.31338506471702","0.29729045464314","0.3294796747909","1"
"Very low transfer dependency","1990","Not Employed","Full Time","","","","","1"
"Very low transfer dependency","1990","Not Employed","Part Time","","","","","1"
"Very low transfer dependency","1990","Employed","Part Time","1015","0.580148487124522","0.555920274533267","0.604376699715777","1"
"Very low transfer dependency","1990","Employed","Not Working","","","","","1"
"Complete transfer dependency","1991","Not Employed","Full Time","","","","","5"
"Complete transfer dependency","1991","Not Employed","Part Time","","","","","5"
"Complete transfer dependency","1991","Not Employed","Not Working","58","0.015776246821422","0.0114017464571605","0.0201507471856835","5"
"Complete transfer dependency","1991","Employed","Full Time","","","","","5"
"Complete transfer dependency","1991","Employed","Part Time","","","","","5"
"Complete transfer dependency","1991","Employed","Not Working","","","","","5"
"High transfer dependency","1991","Employed","Not Working","","","","","3"
"High transfer dependency","1991","Not Employed","Full Time","","","","","3"
"High transfer dependency","1991","Employed","Part Time","29","","","","3"
"High transfer dependency","1991","Not Employed","Part Time","","","","","3"
"High transfer dependency","1991","Not Employed","Not Working","56","0.0156339142333204","0.011278876986107","0.0199889514805339","3"
"High transfer dependency","1991","Employed","Full Time","6","","","","3"
"Low transfer dependency","1991","Not Employed","Full Time","","","","","2"
"Low transfer dependency","1991","Not Employed","Part Time","","","","","2"
"Low transfer dependency","1991","Not Employed","Not Working","141","0.0332776918939708","0.0269810766224399","0.0395743071655016","2"
"Low transfer dependency","1991","Employed","Full Time","66","0.0126415247922762","0.0092066698508542","0.0160763797336981","2"
"Low transfer dependency","1991","Employed","Part Time","73","0.0423840757155117","0.0325523909467661","0.0522157604842572","2"
"Low transfer dependency","1991","Employed","Not Working","","","","","2"
"No transfer dependency","1991","Not Employed","Full Time","","","","","0"
"No transfer dependency","1991","Not Employed","Part Time","","","","","0"
"No transfer dependency","1991","Not Employed","Not Working","1577","0.638097304272099","0.621227150008695","0.654967458535503","0"
"No transfer dependency","1991","Employed","Full Time","2004","0.571103219405731","0.555887063874801","0.58631937493666","0"
"No transfer dependency","1991","Employed","Part Time","500","0.361235012689826","0.337792920059813","0.38467710531984","0"
"No transfer dependency","1991","Employed","Not Working","","","","","0"
"Very high transfer dependency","1991","Not Employed","Full Time","","","","","4"
"Very high transfer dependency","1991","Employed","Full Time","","","","","4"
"Very high transfer dependency","1991","Not Employed","Not Working","32","0.00982711355119463","0.00636414783461498","0.0132900792677743","4"
"Very high transfer dependency","1991","Not Employed","Part Time","","","","","4"
"Very high transfer dependency","1991","Employed","Part Time","9","","","","4"
"Very high transfer dependency","1991","Employed","Not Working","","","","","4"
"Very low transfer dependency","1991","Employed","Full Time","1988","0.415055292578198","0.399906374139527","0.43020421101687","1"
"Very low transfer dependency","1991","Not Employed","Not Working","1253","0.287387729227993","0.271500782162482","0.303274676293504","1"
"Very low transfer dependency","1991","Not Employed","Full Time","","","","","1"
"Very low transfer dependency","1991","Not Employed","Part Time","","","","","1"
"Very low transfer dependency","1991","Employed","Part Time","1002","0.573258606272316","0.549121312028538","0.597395900516095","1"
"Very low transfer dependency","1991","Employed","Not Working","","","","","1"
"Complete transfer dependency","1992","Not Employed","Full Time","","","","","5"
"Complete transfer dependency","1992","Not Employed","Part Time","","","","","5"
"Complete transfer dependency","1992","Not Employed","Not Working","54","0.0137052928789159","0.0101112556113881","0.0172993301464437","5"
"Complete transfer dependency","1992","Employed","Full Time","","","","","5"
"Complete transfer dependency","1992","Employed","Part Time","","","","","5"
"Complete transfer dependency","1992","Employed","Not Working","","","","","5"
"High transfer dependency","1992","Not Employed","Full Time","","","","","3"
"High transfer dependency","1992","Employed","Part Time","60","0.0249974328015626","0.0186868079869017","0.0313080576162235","3"
"High transfer dependency","1992","Employed","Not Working","","","","","3"
"High transfer dependency","1992","Not Employed","Part Time","","","","","3"
"High transfer dependency","1992","Not Employed","Not Working","88","0.0167578572841141","0.0127898309062805","0.0207258836619476","3"
"High transfer dependency","1992","Employed","Full Time","20","","","","3"
"Low transfer dependency","1992","Not Employed","Full Time","","","","","2"
"Low transfer dependency","1992","Not Employed","Part Time","","","","","2"
"Low transfer dependency","1992","Not Employed","Not Working","248","0.0334672361834522","0.0279075115886173","0.0390269607782872","2"
"Low transfer dependency","1992","Employed","Full Time","192","0.022025574347716","0.0183518226228351","0.0256993260725969","2"
"Low transfer dependency","1992","Employed","Part Time","202","0.0681141248427073","0.0579300465011135","0.078298203184301","2"
"Low transfer dependency","1992","Employed","Not Working","","","","","2"
"No transfer dependency","1992","Not Employed","Full Time","","","","","0"
"No transfer dependency","1992","Employed","Full Time","2582","0.518209761017239","0.505702442037032","0.530717079997447","0"
"No transfer dependency","1992","Employed","Part Time","584","0.318278016031197","0.299448951355497","0.337107080706897","0"
"No transfer dependency","1992","Not Employed","Part Time","","","","","0"
"No transfer dependency","1992","Not Employed","Not Working","1993","0.617374261830064","0.602349886835183","0.632398636824945","0"
"No transfer dependency","1992","Employed","Not Working","","","","","0"
"Very high transfer dependency","1992","Not Employed","Full Time","","","","","4"
"Very high transfer dependency","1992","Employed","Full Time","7","","","","4"
"Very high transfer dependency","1992","Not Employed","Part Time","","","","","4"
"Very high transfer dependency","1992","Not Employed","Not Working","59","0.0150175425860747","0.0112578810572366","0.0187772041149128","4"
"Very high transfer dependency","1992","Employed","Part Time","14","","","","4"
"Very high transfer dependency","1992","Employed","Not Working","","","","","4"
"Very low transfer dependency","1992","Employed","Full Time","3330","0.455601653787857","0.443135471374191","0.468067836201523","1"
"Very low transfer dependency","1992","Not Employed","Not Working","1578","0.303677809237379","0.289462814239721","0.317892804235037","1"
"Very low transfer dependency","1992","Not Employed","Full Time","","","","","1"
"Very low transfer dependency","1992","Not Employed","Part Time","","","","","1"
"Very low transfer dependency","1992","Employed","Part Time","1491","0.58389459476191","0.5639699456177","0.60381924390612","1"
"Very low transfer dependency","1992","Employed","Not Working","","","","","1"
"Complete transfer dependency","1993","Not Employed","Part Time","","","","","5"
"Complete transfer dependency","1993","Not Employed","Full Time","","","","","5"
"Complete transfer dependency","1993","Not Employed","Not Working","57","0.0134336981709102","0.00999955815259625","0.0168678381892241","5"
"Complete transfer dependency","1993","Employed","Full Time","","","","","5"
"Complete transfer dependency","1993","Employed","Part Time","","","","","5"
"Complete transfer dependency","1993","Employed","Not Working","","","","","5"
"High transfer dependency","1993","Not Employed","Full Time","","","","","3"
"High transfer dependency","1993","Not Employed","Part Time","","","","","3"
"High transfer dependency","1993","Not Employed","Not Working","109","0.0179113527164634","0.0139549854029258","0.0218677200300011","3"
"High transfer dependency","1993","Employed","Full Time","31","0.0041461000251071","0.00251763328962425","0.00577456676058994","3"
"High transfer dependency","1993","Employed","Part Time","72","0.0292950326202191","0.0224625146704924","0.0361275505699459","3"
"High transfer dependency","1993","Employed","Not Working","","","","","3"
"Low transfer dependency","1993","Not Employed","Full Time","","","","","2"
"Low transfer dependency","1993","Not Employed","Part Time","","","","","2"
"Low transfer dependency","1993","Not Employed","Not Working","351","0.0477781314085008","0.0414154420190371","0.0541408207979645","2"
"Low transfer dependency","1993","Employed","Full Time","240","0.0284914673277912","0.024275066328415","0.0327078683271673","2"
"Low transfer dependency","1993","Employed","Part Time","193","0.0625201157900183","0.0527109736441571","0.0723292579358796","2"
"Low transfer dependency","1993","Employed","Not Working","","","","","2"
"No transfer dependency","1993","Not Employed","Full Time","","","","","0"
"No transfer dependency","1993","Not Employed","Part Time","","","","","0"
"No transfer dependency","1993","Not Employed","Not Working","2072","0.602655324169322","0.588057932376786","0.617252715961857","0"
"No transfer dependency","1993","Employed","Full Time","2493","0.516636289170207","0.503971712865296","0.529300865475117","0"
"No transfer dependency","1993","Employed","Part Time","613","0.33151828282538","0.312444419279633","0.350592146371127","0"
"No transfer dependency","1993","Employed","Not Working","","","","","0"
"Very high transfer dependency","1993","Not Employed","Full Time","","","","","4"
"Very high transfer dependency","1993","Employed","Full Time","5","","","","4"
"Very high transfer dependency","1993","Not Employed","Not Working","86","0.0181158260093953","0.0141373543637583","0.0220942976550322","4"
"Very high transfer dependency","1993","Not Employed","Part Time","","","","","4"
"Very high transfer dependency","1993","Employed","Not Working","","","","","4"
"Very high transfer dependency","1993","Employed","Part Time","29","","","","4"
"Very low transfer dependency","1993","Not Employed","Not Working","1642","0.300105667525409","0.286434348946466","0.313776986104351","1"
"Very low transfer dependency","1993","Employed","Full Time","3212","0.450108857987952","0.437500505793844","0.462717210182061","1"
"Very low transfer dependency","1993","Not Employed","Part Time","","","","","1"
"Very low transfer dependency","1993","Not Employed","Full Time","","","","","1"
