"transab_cat","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"No transfer dependency","1984","(2a) intermediate vocational","higher vocational","84","0.480293674234281","0.409807835586044","0.550779512882518"
"No transfer dependency","1984","(2a) intermediate vocational","higher education","","","",""
"No transfer dependency","1984","(2c_gen) general maturity certificate","in school","","","",""
"No transfer dependency","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"No transfer dependency","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"No transfer dependency","1984","(2c_gen) general maturity certificate","middle vocational","99","0.264790477852647","0.221278754307076","0.308302201398218"
"No transfer dependency","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"No transfer dependency","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"No transfer dependency","1984","(2c_gen) general maturity certificate","higher education","","","",""
"No transfer dependency","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"No transfer dependency","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"No transfer dependency","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"No transfer dependency","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"No transfer dependency","1984","(2c_voc) vocational maturity certificate","vocational + Abi","131","0.520695683263401","0.464258867538176","0.577132498988626"
"No transfer dependency","1984","(2c_voc) vocational maturity certificate","higher vocational","63","0.508565465230867","0.424852239592163","0.592278690869571"
"No transfer dependency","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"No transfer dependency","1984","(3a) lower tertiary education","in school","","","",""
"No transfer dependency","1984","(3a) lower tertiary education","inadequately","","","",""
"No transfer dependency","1984","(3a) lower tertiary education","general elemantary","","","",""
"No transfer dependency","1984","(3a) lower tertiary education","middle vocational","","","",""
"No transfer dependency","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"No transfer dependency","1984","(3a) lower tertiary education","higher vocational","","","",""
"No transfer dependency","1984","(3a) lower tertiary education","higher education","126","0.530966911381192","0.469106392800367","0.592827429962016"
"No transfer dependency","1984","(3b) higher tertiary education","in school","","","",""
"No transfer dependency","1984","(3b) higher tertiary education","inadequately","","","",""
"No transfer dependency","1984","(3b) higher tertiary education","general elemantary","","","",""
"No transfer dependency","1984","(3b) higher tertiary education","middle vocational","","","",""
"No transfer dependency","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"No transfer dependency","1984","(3b) higher tertiary education","higher vocational","","","",""
"No transfer dependency","1984","(3b) higher tertiary education","higher education","222","0.465546518899644","0.422041546364245","0.509051491435042"
"Very low transfer dependency","1984","(0) in school","in school","146","0.809310026551984","0.751760339660624","0.866859713443344"
"Very low transfer dependency","1984","(0) in school","inadequately","","","",""
"Very low transfer dependency","1984","(0) in school","general elemantary","","","",""
"Very low transfer dependency","1984","(0) in school","middle vocational","1","","",""
"Very low transfer dependency","1984","(0) in school","vocational + Abi","","","",""
"Very low transfer dependency","1984","(0) in school","higher vocational","","","",""
"Very low transfer dependency","1984","(0) in school","higher education","","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","in school","","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","inadequately","574","0.536257834647433","0.504679410451488","0.567836258843378"
"Very low transfer dependency","1984","(1a) inadequately completed","general elemantary","","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","middle vocational","68","0.477112837526527","0.385824833469635","0.568400841583419"
"Very low transfer dependency","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","higher vocational","2","","",""
"Very low transfer dependency","1984","(1a) inadequately completed","higher education","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","in school","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","inadequately","13","","",""
"Very low transfer dependency","1984","(1b) general elementary school","general elemantary","1434","0.39519248705337","0.377383601806433","0.413001372300307"
"Very low transfer dependency","1984","(1b) general elementary school","middle vocational","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","vocational + Abi","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","higher vocational","","","",""
"Very low transfer dependency","1984","(1b) general elementary school","higher education","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","in school","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","inadequately","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","middle vocational","1972","0.458311110277004","0.442553836013035","0.474068384540974"
"Very low transfer dependency","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Very low transfer dependency","1984","(1c) basic vocational qualification","higher vocational","152","0.487910613279932","0.429980004216716","0.545841222343148"
"Very low transfer dependency","1984","(1c) basic vocational qualification","higher education","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","in school","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","inadequately","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","general elemantary","312","0.647195349275855","0.603385189647126","0.691005508904583"
"Very low transfer dependency","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","higher vocational","","","",""
"Very low transfer dependency","1984","(2b) intermediate general qualification","higher education","","","",""
"Very low transfer dependency","1984","(2a) intermediate vocational","in school","","","",""
"Very low transfer dependency","1984","(2a) intermediate vocational","inadequately","","","",""
"Very low transfer dependency","1984","(2a) intermediate vocational","general elemantary","","","",""
"Very low transfer dependency","1984","(2a) intermediate vocational","middle vocational","545","0.434200934591193","0.405466578752117","0.462935290430269"
"Very low transfer dependency","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"Very low transfer dependency","1984","(2a) intermediate vocational","higher vocational","95","0.448687650070488","0.378519446965758","0.518855853175218"
"Very low transfer dependency","1984","(2a) intermediate vocational","higher education","","","",""
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","in school","","","",""
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","middle vocational","245","0.624331918916588","0.576572453077029","0.672091384756147"
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"Very low transfer dependency","1984","(2c_gen) general maturity certificate","higher education","","","",""
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","vocational + Abi","137","0.384388130741106","0.329433623253343","0.439342638228868"
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","higher vocational","65","0.424971421529382","0.342193906478891","0.507748936579873"
"Very low transfer dependency","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"Very low transfer dependency","1984","(3a) lower tertiary education","in school","","","",""
"Very low transfer dependency","1984","(3a) lower tertiary education","inadequately","","","",""
"Very low transfer dependency","1984","(3a) lower tertiary education","general elemantary","","","",""
"Very low transfer dependency","1984","(3a) lower tertiary education","middle vocational","","","",""
"Very low transfer dependency","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"Very low transfer dependency","1984","(3a) lower tertiary education","higher vocational","","","",""
"Very low transfer dependency","1984","(3a) lower tertiary education","higher education","113","0.421309188272358","0.360102082298797","0.48251629424592"
"Very low transfer dependency","1984","(3b) higher tertiary education","in school","","","",""
"Very low transfer dependency","1984","(3b) higher tertiary education","inadequately","","","",""
"Very low transfer dependency","1984","(3b) higher tertiary education","general elemantary","","","",""
"Very low transfer dependency","1984","(3b) higher tertiary education","middle vocational","","","",""
"Very low transfer dependency","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"Very low transfer dependency","1984","(3b) higher tertiary education","higher vocational","","","",""
"Very low transfer dependency","1984","(3b) higher tertiary education","higher education","264","0.500596529771315","0.456987934510838","0.544205125031791"
"Low transfer dependency","1984","(0) in school","in school","15","","",""
"Low transfer dependency","1984","(0) in school","inadequately","","","",""
"Low transfer dependency","1984","(0) in school","general elemantary","","","",""
"Low transfer dependency","1984","(0) in school","middle vocational","","","",""
"Low transfer dependency","1984","(0) in school","vocational + Abi","","","",""
"Low transfer dependency","1984","(0) in school","higher vocational","","","",""
"Low transfer dependency","1984","(0) in school","higher education","","","",""
"Low transfer dependency","1984","(1a) inadequately completed","in school","","","",""
"Low transfer dependency","1984","(1a) inadequately completed","inadequately","82","0.110343390004127","0.090503022946534","0.13018375706172"
"Low transfer dependency","1984","(1a) inadequately completed","general elemantary","","","",""
"Low transfer dependency","1984","(1a) inadequately completed","middle vocational","12","","",""
"Low transfer dependency","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Low transfer dependency","1984","(1a) inadequately completed","higher vocational","","","",""
"Low transfer dependency","1984","(1a) inadequately completed","higher education","","","",""
"Low transfer dependency","1984","(1b) general elementary school","in school","","","",""
"Low transfer dependency","1984","(1b) general elementary school","inadequately","3","","",""
"Low transfer dependency","1984","(1b) general elementary school","general elemantary","132","0.0332874361385046","0.0267529316354081","0.0398219406416011"
"Low transfer dependency","1984","(1b) general elementary school","middle vocational","","","",""
"Low transfer dependency","1984","(1b) general elementary school","vocational + Abi","","","",""
"Low transfer dependency","1984","(1b) general elementary school","higher vocational","","","",""
"Low transfer dependency","1984","(1b) general elementary school","higher education","","","",""
"Low transfer dependency","1984","(1c) basic vocational qualification","in school","","","",""
"Low transfer dependency","1984","(1c) basic vocational qualification","inadequately","","","",""
"Low transfer dependency","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Low transfer dependency","1984","(1c) basic vocational qualification","middle vocational","148","0.0320160725086105","0.0264487800251179","0.0375833649921031"
"Low transfer dependency","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Low transfer dependency","1984","(1c) basic vocational qualification","higher vocational","3","","",""
"Low transfer dependency","1984","(1c) basic vocational qualification","higher education","","","",""
"Low transfer dependency","1984","(2b) intermediate general qualification","in school","","","",""
"Low transfer dependency","1984","(2b) intermediate general qualification","inadequately","","","",""
"Low transfer dependency","1984","(2b) intermediate general qualification","general elemantary","15","","",""
"Low transfer dependency","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Low transfer dependency","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Low transfer dependency","1984","(2b) intermediate general qualification","higher vocational","","","",""
"Low transfer dependency","1984","(2b) intermediate general qualification","higher education","","","",""
"Low transfer dependency","1984","(2a) intermediate vocational","in school","","","",""
"Low transfer dependency","1984","(2a) intermediate vocational","inadequately","","","",""
"Low transfer dependency","1984","(2a) intermediate vocational","general elemantary","","","",""
"Low transfer dependency","1984","(2a) intermediate vocational","middle vocational","24","","",""
"Low transfer dependency","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"Low transfer dependency","1984","(2a) intermediate vocational","higher vocational","8","","",""
"Low transfer dependency","1984","(2a) intermediate vocational","higher education","","","",""
"Low transfer dependency","1984","(2c_gen) general maturity certificate","in school","","","",""
"Low transfer dependency","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"Low transfer dependency","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"Low transfer dependency","1984","(2c_gen) general maturity certificate","middle vocational","20","","",""
"Low transfer dependency","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Low transfer dependency","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"Low transfer dependency","1984","(2c_gen) general maturity certificate","higher education","","","",""
"Low transfer dependency","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"Low transfer dependency","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Low transfer dependency","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Low transfer dependency","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Low transfer dependency","1984","(2c_voc) vocational maturity certificate","vocational + Abi","17","","",""
"Low transfer dependency","1984","(2c_voc) vocational maturity certificate","higher vocational","2","","",""
"Low transfer dependency","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"Low transfer dependency","1984","(3a) lower tertiary education","in school","","","",""
"Low transfer dependency","1984","(3a) lower tertiary education","inadequately","","","",""
"Low transfer dependency","1984","(3a) lower tertiary education","general elemantary","","","",""
"Low transfer dependency","1984","(3a) lower tertiary education","middle vocational","","","",""
"Low transfer dependency","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"Low transfer dependency","1984","(3a) lower tertiary education","higher vocational","","","",""
"Low transfer dependency","1984","(3a) lower tertiary education","higher education","6","","",""
"Low transfer dependency","1984","(3b) higher tertiary education","in school","","","",""
"Low transfer dependency","1984","(3b) higher tertiary education","inadequately","","","",""
"Low transfer dependency","1984","(3b) higher tertiary education","general elemantary","","","",""
"Low transfer dependency","1984","(3b) higher tertiary education","middle vocational","","","",""
"Low transfer dependency","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"Low transfer dependency","1984","(3b) higher tertiary education","higher vocational","","","",""
"Low transfer dependency","1984","(3b) higher tertiary education","higher education","12","","",""
"High transfer dependency","1984","(0) in school","in school","1","","",""
"High transfer dependency","1984","(0) in school","inadequately","","","",""
"High transfer dependency","1984","(0) in school","general elemantary","","","",""
"High transfer dependency","1984","(0) in school","middle vocational","","","",""
"High transfer dependency","1984","(0) in school","vocational + Abi","","","",""
"High transfer dependency","1984","(0) in school","higher vocational","","","",""
"High transfer dependency","1984","(0) in school","higher education","","","",""
"High transfer dependency","1984","(1a) inadequately completed","in school","","","",""
"High transfer dependency","1984","(1a) inadequately completed","inadequately","16","","",""
"High transfer dependency","1984","(1a) inadequately completed","general elemantary","","","",""
"High transfer dependency","1984","(1a) inadequately completed","middle vocational","1","","",""
"High transfer dependency","1984","(1a) inadequately completed","vocational + Abi","","","",""
"High transfer dependency","1984","(1a) inadequately completed","higher vocational","","","",""
"High transfer dependency","1984","(1a) inadequately completed","higher education","","","",""
"High transfer dependency","1984","(1b) general elementary school","in school","","","",""
"High transfer dependency","1984","(1b) general elementary school","inadequately","","","",""
"High transfer dependency","1984","(1b) general elementary school","general elemantary","44","0.0132762463479162","0.00910698374923944","0.017445508946593"
"High transfer dependency","1984","(1b) general elementary school","middle vocational","","","",""
"High transfer dependency","1984","(1b) general elementary school","vocational + Abi","","","",""
"High transfer dependency","1984","(1b) general elementary school","higher vocational","","","",""
"High transfer dependency","1984","(1b) general elementary school","higher education","","","",""
"High transfer dependency","1984","(1c) basic vocational qualification","in school","","","",""
"High transfer dependency","1984","(1c) basic vocational qualification","inadequately","","","",""
"High transfer dependency","1984","(1c) basic vocational qualification","general elemantary","","","",""
"High transfer dependency","1984","(1c) basic vocational qualification","middle vocational","28","","",""
"High transfer dependency","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"High transfer dependency","1984","(1c) basic vocational qualification","higher vocational","1","","",""
"High transfer dependency","1984","(1c) basic vocational qualification","higher education","","","",""
"High transfer dependency","1984","(2b) intermediate general qualification","in school","","","",""
"High transfer dependency","1984","(2b) intermediate general qualification","inadequately","","","",""
"High transfer dependency","1984","(2b) intermediate general qualification","general elemantary","2","","",""
"High transfer dependency","1984","(2b) intermediate general qualification","middle vocational","","","",""
"High transfer dependency","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"High transfer dependency","1984","(2b) intermediate general qualification","higher vocational","","","",""
"High transfer dependency","1984","(2b) intermediate general qualification","higher education","","","",""
"High transfer dependency","1984","(2a) intermediate vocational","in school","","","",""
"High transfer dependency","1984","(2a) intermediate vocational","inadequately","","","",""
"High transfer dependency","1984","(2a) intermediate vocational","general elemantary","","","",""
"High transfer dependency","1984","(2a) intermediate vocational","middle vocational","6","","",""
"High transfer dependency","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"High transfer dependency","1984","(2a) intermediate vocational","higher vocational","2","","",""
"High transfer dependency","1984","(2a) intermediate vocational","higher education","","","",""
"High transfer dependency","1984","(2c_gen) general maturity certificate","in school","","","",""
"High transfer dependency","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"High transfer dependency","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"High transfer dependency","1984","(2c_gen) general maturity certificate","middle vocational","15","","",""
"High transfer dependency","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"High transfer dependency","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"High transfer dependency","1984","(2c_gen) general maturity certificate","higher education","","","",""
"High transfer dependency","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"High transfer dependency","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"High transfer dependency","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"High transfer dependency","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"High transfer dependency","1984","(2c_voc) vocational maturity certificate","vocational + Abi","9","","",""
"High transfer dependency","1984","(2c_voc) vocational maturity certificate","higher vocational","2","","",""
"High transfer dependency","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"High transfer dependency","1984","(3a) lower tertiary education","in school","","","",""
"High transfer dependency","1984","(3a) lower tertiary education","inadequately","","","",""
"High transfer dependency","1984","(3a) lower tertiary education","general elemantary","","","",""
"High transfer dependency","1984","(3a) lower tertiary education","middle vocational","","","",""
"High transfer dependency","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"High transfer dependency","1984","(3a) lower tertiary education","higher vocational","","","",""
"High transfer dependency","1984","(3a) lower tertiary education","higher education","","","",""
"High transfer dependency","1984","(3b) higher tertiary education","in school","","","",""
"High transfer dependency","1984","(3b) higher tertiary education","inadequately","","","",""
"High transfer dependency","1984","(3b) higher tertiary education","general elemantary","","","",""
"High transfer dependency","1984","(3b) higher tertiary education","middle vocational","","","",""
"High transfer dependency","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"High transfer dependency","1984","(3b) higher tertiary education","higher vocational","","","",""
"High transfer dependency","1984","(3b) higher tertiary education","higher education","4","","",""
"Very high transfer dependency","1984","(0) in school","in school","2","","",""
"Very high transfer dependency","1984","(0) in school","inadequately","","","",""
"Very high transfer dependency","1984","(0) in school","general elemantary","","","",""
"Very high transfer dependency","1984","(0) in school","middle vocational","","","",""
"Very high transfer dependency","1984","(0) in school","vocational + Abi","","","",""
"Very high transfer dependency","1984","(0) in school","higher vocational","","","",""
"Very high transfer dependency","1984","(0) in school","higher education","","","",""
"Very high transfer dependency","1984","(1a) inadequately completed","in school","","","",""
"Very high transfer dependency","1984","(1a) inadequately completed","inadequately","10","","",""
"Very high transfer dependency","1984","(1a) inadequately completed","general elemantary","","","",""
"Very high transfer dependency","1984","(1a) inadequately completed","middle vocational","2","","",""
"Very high transfer dependency","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Very high transfer dependency","1984","(1a) inadequately completed","higher vocational","","","",""
"Very high transfer dependency","1984","(1a) inadequately completed","higher education","","","",""
"Very high transfer dependency","1984","(1b) general elementary school","in school","","","",""
"Very high transfer dependency","1984","(1b) general elementary school","inadequately","1","","",""
"Very high transfer dependency","1984","(1b) general elementary school","general elemantary","13","","",""
"Very high transfer dependency","1984","(1b) general elementary school","middle vocational","","","",""
"Very high transfer dependency","1984","(1b) general elementary school","vocational + Abi","","","",""
"Very high transfer dependency","1984","(1b) general elementary school","higher vocational","","","",""
"Very high transfer dependency","1984","(1b) general elementary school","higher education","","","",""
"Very high transfer dependency","1984","(1c) basic vocational qualification","in school","","","",""
"Very high transfer dependency","1984","(1c) basic vocational qualification","inadequately","","","",""
"Very high transfer dependency","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Very high transfer dependency","1984","(1c) basic vocational qualification","middle vocational","11","","",""
"Very high transfer dependency","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Very high transfer dependency","1984","(1c) basic vocational qualification","higher vocational","2","","",""
"Very high transfer dependency","1984","(1c) basic vocational qualification","higher education","","","",""
"Very high transfer dependency","1984","(2b) intermediate general qualification","in school","","","",""
"Very high transfer dependency","1984","(2b) intermediate general qualification","inadequately","","","",""
"Very high transfer dependency","1984","(2b) intermediate general qualification","general elemantary","2","","",""
"Very high transfer dependency","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Very high transfer dependency","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Very high transfer dependency","1984","(2b) intermediate general qualification","higher vocational","","","",""
"Very high transfer dependency","1984","(2b) intermediate general qualification","higher education","","","",""
"Very high transfer dependency","1984","(2a) intermediate vocational","in school","","","",""
"Very high transfer dependency","1984","(2a) intermediate vocational","inadequately","","","",""
"Very high transfer dependency","1984","(2a) intermediate vocational","general elemantary","","","",""
"Very high transfer dependency","1984","(2a) intermediate vocational","middle vocational","","","",""
"Very high transfer dependency","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"Very high transfer dependency","1984","(2a) intermediate vocational","higher vocational","2","","",""
"Very high transfer dependency","1984","(2a) intermediate vocational","higher education","","","",""
"Very high transfer dependency","1984","(2c_gen) general maturity certificate","in school","","","",""
"Very high transfer dependency","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"Very high transfer dependency","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"Very high transfer dependency","1984","(2c_gen) general maturity certificate","middle vocational","6","","",""
"Very high transfer dependency","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Very high transfer dependency","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"Very high transfer dependency","1984","(2c_gen) general maturity certificate","higher education","","","",""
"Very high transfer dependency","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"Very high transfer dependency","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Very high transfer dependency","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Very high transfer dependency","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Very high transfer dependency","1984","(2c_voc) vocational maturity certificate","vocational + Abi","2","","",""
"Very high transfer dependency","1984","(2c_voc) vocational maturity certificate","higher vocational","1","","",""
"Very high transfer dependency","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"Very high transfer dependency","1984","(3a) lower tertiary education","in school","","","",""
"Very high transfer dependency","1984","(3a) lower tertiary education","inadequately","","","",""
"Very high transfer dependency","1984","(3a) lower tertiary education","general elemantary","","","",""
"Very high transfer dependency","1984","(3a) lower tertiary education","middle vocational","","","",""
"Very high transfer dependency","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"Very high transfer dependency","1984","(3a) lower tertiary education","higher vocational","","","",""
"Very high transfer dependency","1984","(3a) lower tertiary education","higher education","","","",""
"Very high transfer dependency","1984","(3b) higher tertiary education","in school","","","",""
"Very high transfer dependency","1984","(3b) higher tertiary education","inadequately","","","",""
"Very high transfer dependency","1984","(3b) higher tertiary education","general elemantary","","","",""
"Very high transfer dependency","1984","(3b) higher tertiary education","middle vocational","","","",""
"Very high transfer dependency","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"Very high transfer dependency","1984","(3b) higher tertiary education","higher vocational","","","",""
"Very high transfer dependency","1984","(3b) higher tertiary education","higher education","2","","",""
"Complete transfer dependency","1984","(0) in school","in school","","","",""
"Complete transfer dependency","1984","(0) in school","inadequately","","","",""
"Complete transfer dependency","1984","(0) in school","general elemantary","","","",""
"Complete transfer dependency","1984","(0) in school","middle vocational","","","",""
"Complete transfer dependency","1984","(0) in school","vocational + Abi","","","",""
"Complete transfer dependency","1984","(0) in school","higher vocational","","","",""
"Complete transfer dependency","1984","(0) in school","higher education","","","",""
"Complete transfer dependency","1984","(1a) inadequately completed","in school","","","",""
"Complete transfer dependency","1984","(1a) inadequately completed","inadequately","20","","",""
"Complete transfer dependency","1984","(1a) inadequately completed","general elemantary","","","",""
"Complete transfer dependency","1984","(1a) inadequately completed","middle vocational","3","","",""
"Complete transfer dependency","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Complete transfer dependency","1984","(1a) inadequately completed","higher vocational","","","",""
"Complete transfer dependency","1984","(1a) inadequately completed","higher education","","","",""
"Complete transfer dependency","1984","(1b) general elementary school","in school","","","",""
"Complete transfer dependency","1984","(1b) general elementary school","inadequately","1","","",""
"Complete transfer dependency","1984","(1b) general elementary school","general elemantary","47","0.017173650316947","0.0124411188470438","0.0219061817868502"
"Complete transfer dependency","1984","(1b) general elementary school","middle vocational","","","",""
"Complete transfer dependency","1984","(1b) general elementary school","vocational + Abi","","","",""
"Complete transfer dependency","1984","(1b) general elementary school","higher vocational","","","",""
"Complete transfer dependency","1984","(1b) general elementary school","higher education","","","",""
"Complete transfer dependency","1984","(1c) basic vocational qualification","in school","","","",""
