"transab_cat","year","age_gr","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1988","35-65 y.","41","0.00789794555154572","0.00539273780477925","0.0104031532983122"
"High transfer dependency","1988","66 and older","5","","",""
"Very high transfer dependency","1988","16-34 y.","37","0.0120219286189928","0.00847563102840346","0.0155682262095822"
"Very high transfer dependency","1988","35-65 y.","36","0.0101417971982749","0.00730614829246281","0.012977446104087"
"Very high transfer dependency","1988","66 and older","3","","",""
"Complete transfer dependency","1988","16-34 y.","26","","",""
"Complete transfer dependency","1988","35-65 y.","40","0.00995906671170971","0.00714882031247638","0.012769313110943"
"Complete transfer dependency","1988","66 and older","1","","",""
"No transfer dependency","1989","16-34 y.","1123","0.379570148860832","0.363597715199335","0.395542582522329"
"No transfer dependency","1989","35-65 y.","1866","0.496254287965935","0.481829147337457","0.510679428594413"
"No transfer dependency","1989","66 and older","880","0.87901424278678","0.859011004914273","0.899017480659286"
"Very low transfer dependency","1989","16-34 y.","2183","0.553042849969317","0.53667879005568","0.569406909882953"
"Very low transfer dependency","1989","35-65 y.","2478","0.449314115094751","0.434962881225757","0.463665348963745"
"Very low transfer dependency","1989","66 and older","123","0.104822582174251","0.0860329964052304","0.123612167943272"
"Low transfer dependency","1989","16-34 y.","132","0.030063817965703","0.0244433513553641","0.0356842845760419"
"Low transfer dependency","1989","35-65 y.","147","0.0257602462617534","0.0211896783421433","0.0303308141813634"
"Low transfer dependency","1989","66 and older","11","","",""
"High transfer dependency","1989","16-34 y.","52","0.0184180986994528","0.0139925778163494","0.0228436195825562"
"High transfer dependency","1989","35-65 y.","46","0.0093507245915861","0.00657392309732881","0.0121275260858434"
"High transfer dependency","1989","66 and older","4","","",""
"Very high transfer dependency","1989","16-34 y.","24","","",""
"Very high transfer dependency","1989","35-65 y.","30","0.00684727991879224","0.00446808897706039","0.00922647086052408"
"Very high transfer dependency","1989","66 and older","2","","",""
"Complete transfer dependency","1989","16-34 y.","32","0.0102769386706422","0.00695747857137896","0.0135963987699054"
"Complete transfer dependency","1989","35-65 y.","48","0.0124733461671825","0.00927129594613038","0.0156753963882346"
"Complete transfer dependency","1989","66 and older","1","","",""
"No transfer dependency","1990","16-34 y.","1183","0.411186122696338","0.39463953061052","0.427732714782156"
"No transfer dependency","1990","35-65 y.","1888","0.510855508239257","0.496160161686902","0.525550854791613"
"No transfer dependency","1990","66 and older","906","0.882518036978849","0.86305125677088","0.901984817186818"
"Very low transfer dependency","1990","16-34 y.","2009","0.526665250854587","0.509875206465866","0.543455295243308"
"Very low transfer dependency","1990","35-65 y.","2337","0.444097853919051","0.42949120062409","0.458704507214012"
"Very low transfer dependency","1990","66 and older","124","0.101915373462611","0.0836248887735303","0.120205858151692"
"Low transfer dependency","1990","16-34 y.","125","0.0353405480907639","0.0291315150647601","0.0415495811167678"
"Low transfer dependency","1990","35-65 y.","110","0.0200107348905242","0.0158939859089731","0.0241274838720754"
"Low transfer dependency","1990","66 and older","12","","",""
"High transfer dependency","1990","16-34 y.","42","0.0140224560873716","0.0100683722453937","0.0179765399293496"
"High transfer dependency","1990","35-65 y.","49","0.0102749076421857","0.00731035980777472","0.0132394554765967"
"High transfer dependency","1990","66 and older","8","","",""
"Very high transfer dependency","1990","16-34 y.","20","","",""
"Very high transfer dependency","1990","35-65 y.","26","","",""
"Very high transfer dependency","1990","66 and older","1","","",""
"Complete transfer dependency","1990","16-34 y.","18","","",""
"Complete transfer dependency","1990","35-65 y.","35","0.00888143134800112","0.00612329014378521","0.011639572552217"
"Complete transfer dependency","1990","66 and older","","","",""
"No transfer dependency","1991","16-34 y.","1196","0.413915302376329","0.397239113340346","0.430591491412313"
"No transfer dependency","1991","35-65 y.","1934","0.518860775850675","0.504058768353368","0.533662783347983"
"No transfer dependency","1991","66 and older","951","0.902882135940296","0.885106113903853","0.920658157976738"
"Very low transfer dependency","1991","16-34 y.","1936","0.520853902480182","0.503939649729754","0.537768155230611"
"Very low transfer dependency","1991","35-65 y.","2214","0.432894390296831","0.4182158534167","0.447572927176963"
"Very low transfer dependency","1991","66 and older","93","0.0794774977751478","0.0632403857840133","0.0957146097662822"
"Low transfer dependency","1991","16-34 y.","133","0.0386529480783852","0.0321262685558307","0.0451796276009397"
"Low transfer dependency","1991","35-65 y.","135","0.0257822714564867","0.0210871328221064","0.030477410090867"
"Low transfer dependency","1991","66 and older","12","","",""
"High transfer dependency","1991","16-34 y.","39","0.0115927376516064","0.0079684567974266","0.0152170185057862"
"High transfer dependency","1991","35-65 y.","44","0.009258836361148","0.00642145229355187","0.0120962204287441"
"High transfer dependency","1991","66 and older","8","","",""
"Very high transfer dependency","1991","16-34 y.","21","","",""
"Very high transfer dependency","1991","35-65 y.","18","","",""
"Very high transfer dependency","1991","66 and older","2","","",""
"Complete transfer dependency","1991","16-34 y.","26","","",""
"Complete transfer dependency","1991","35-65 y.","32","0.00776316743711381","0.00516308590565216","0.0103632489685755"
"Complete transfer dependency","1991","66 and older","","","",""
"No transfer dependency","1992","16-34 y.","1374","0.359253178630047","0.345536697765436","0.372969659494658"
"No transfer dependency","1992","35-65 y.","2607","0.498748949902283","0.486464614929113","0.511033284875453"
"No transfer dependency","1992","66 and older","1178","0.849420555109148","0.830935835083505","0.86790527513479"
"Very low transfer dependency","1992","16-34 y.","2833","0.546483061443469","0.532250460560273","0.560715662326666"
"Very low transfer dependency","1992","35-65 y.","3324","0.444685198368139","0.432476230036001","0.456894166700277"
"Very low transfer dependency","1992","66 and older","242","0.142511700352905","0.124443786536062","0.160579614169749"
"Low transfer dependency","1992","16-34 y.","348","0.0575336899088004","0.0508764655513179","0.0641909142662829"
"Low transfer dependency","1992","35-65 y.","287","0.0325258122987038","0.0281675157767754","0.0368841088206321"
"Low transfer dependency","1992","66 and older","7","","",""
"High transfer dependency","1992","16-34 y.","76","0.0196236655446629","0.0156582779982446","0.0235890530910812"
"High transfer dependency","1992","35-65 y.","84","0.0109776774444719","0.00841766966315808","0.0135376852257857"
"High transfer dependency","1992","66 and older","8","","",""
"Very high transfer dependency","1992","16-34 y.","44","0.0103649850622659","0.00746950199987684","0.0132604681246549"
"Very high transfer dependency","1992","35-65 y.","34","0.00689849150669119","0.00486493196305285","0.00893205105032953"
"Very high transfer dependency","1992","66 and older","2","","",""
"Complete transfer dependency","1992","16-34 y.","25","","",""
"Complete transfer dependency","1992","35-65 y.","28","","",""
"Complete transfer dependency","1992","66 and older","1","","",""
"No transfer dependency","1993","16-34 y.","1421","0.370321173159085","0.356526074563485","0.384116271754685"
"No transfer dependency","1993","35-65 y.","2529","0.483409125335487","0.471205124498287","0.495613126172686"
"No transfer dependency","1993","66 and older","1228","0.854720099127051","0.83682765446927","0.872612543784831"
"Very low transfer dependency","1993","16-34 y.","2697","0.522015465560966","0.507745444987233","0.536285486134699"
"Very low transfer dependency","1993","35-65 y.","3356","0.447470747124541","0.435327595886281","0.459613898362802"
"Very low transfer dependency","1993","66 and older","234","0.131791944437559","0.114616369044683","0.148967519830434"
"Low transfer dependency","1993","16-34 y.","390","0.0654087893065212","0.0583455341800199","0.0724720444330225"
"Low transfer dependency","1993","35-65 y.","375","0.0407629953771709","0.0359338814820349","0.045592109272307"
"Low transfer dependency","1993","66 and older","19","","",""
"High transfer dependency","1993","16-34 y.","104","0.0211785651476244","0.0170654014501049","0.0252917288451439"
"High transfer dependency","1993","35-65 y.","103","0.0142833417689193","0.0113855818340378","0.0171811017038008"
"High transfer dependency","1993","66 and older","5","","",""
"Very high transfer dependency","1993","16-34 y.","61","0.0108651378507467","0.00790357218395172","0.0138267035175418"
"Very high transfer dependency","1993","35-65 y.","55","0.0096707055607055","0.00728074719845131","0.0120606639229597"
"Very high transfer dependency","1993","66 and older","4","","",""
"Complete transfer dependency","1993","16-34 y.","34","0.0102108689750567","0.00733890701138934","0.013082830938724"
"Complete transfer dependency","1993","35-65 y.","23","","",""
"Complete transfer dependency","1993","66 and older","","","",""
"No transfer dependency","1994","16-34 y.","1415","0.366085619350464","0.352209621236899","0.37996161746403"
"No transfer dependency","1994","35-65 y.","2506","0.484004968039738","0.471657813184917","0.49635212289456"
"No transfer dependency","1994","66 and older","1291","0.877444544771101","0.86088807930028","0.894001010241923"
"Very low transfer dependency","1994","16-34 y.","2618","0.514978668942299","0.500582973990501","0.529374363894097"
"Very low transfer dependency","1994","35-65 y.","3206","0.440533029758923","0.428267235124861","0.452798824392984"
"Very low transfer dependency","1994","66 and older","185","0.108174289440353","0.0924925770404976","0.123856001840208"
"Low transfer dependency","1994","16-34 y.","390","0.0680592654667299","0.0608049678052074","0.0753135631282525"
"Low transfer dependency","1994","35-65 y.","366","0.0404162870545731","0.0355506594592983","0.0452819146498479"
"Low transfer dependency","1994","66 and older","21","","",""
"High transfer dependency","1994","16-34 y.","96","0.0221843067347435","0.0179419319990917","0.0264266814703953"
"High transfer dependency","1994","35-65 y.","128","0.0178029429277438","0.0145358277951586","0.0210700580603289"
"High transfer dependency","1994","66 and older","5","","",""
"Very high transfer dependency","1994","16-34 y.","70","0.0173223162847389","0.0135642353901941","0.0210803971792837"
"Very high transfer dependency","1994","35-65 y.","52","0.00987297624719831","0.0074301716523746","0.012315780842022"
"Very high transfer dependency","1994","66 and older","5","","",""
"Complete transfer dependency","1994","16-34 y.","41","0.0113698232210244","0.00831594733310599","0.0144236991089428"
"Complete transfer dependency","1994","35-65 y.","35","0.00736979597182388","0.0052565954925061","0.00948299645114167"
"Complete transfer dependency","1994","66 and older","","","",""
"No transfer dependency","1995","16-34 y.","1493","0.378342064539685","0.364541596793118","0.392142532286253"
"No transfer dependency","1995","35-65 y.","2560","0.47433155702669","0.462227733154181","0.4864353808992"
"No transfer dependency","1995","66 and older","1352","0.903360333836023","0.88859861258786","0.918122055084185"
"Very low transfer dependency","1995","16-34 y.","2624","0.493507984876689","0.479281122043848","0.50773484770953"
"Very low transfer dependency","1995","35-65 y.","3320","0.436945161211613","0.424922116904344","0.448968205518883"
"Very low transfer dependency","1995","66 and older","156","0.0830732182423164","0.0692844133124861","0.0968620231721466"
"Low transfer dependency","1995","16-34 y.","360","0.0643784794112969","0.0573946084013946","0.0713623504211993"
"Low transfer dependency","1995","35-65 y.","389","0.0460022563523256","0.0409243010523697","0.0510802116522814"
"Low transfer dependency","1995","66 and older","18","","",""
"High transfer dependency","1995","16-34 y.","113","0.0255789462136289","0.0210864222261244","0.0300714702011335"
"High transfer dependency","1995","35-65 y.","128","0.0163218182085574","0.0132504179218765","0.0193932184952384"
"High transfer dependency","1995","66 and older","7","","",""
"Very high transfer dependency","1995","16-34 y.","95","0.0199983503990607","0.0160146539272816","0.0239820468708398"
"Very high transfer dependency","1995","35-65 y.","81","0.0136548828405199","0.0108417899606721","0.0164679757203677"
"Very high transfer dependency","1995","66 and older","3","","",""
"Complete transfer dependency","1995","16-34 y.","59","0.0181941745596387","0.0143909258051668","0.0219974233141106"
"Complete transfer dependency","1995","35-65 y.","60","0.0127443243602935","0.010025389139063","0.015463259581524"
"Complete transfer dependency","1995","66 and older","3","","",""
"No transfer dependency","1996","16-34 y.","1471","0.366856321327215","0.352947107528025","0.380765535126405"
"No transfer dependency","1996","35-65 y.","2319","0.439294808836143","0.427198803085589","0.451390814586696"
"No transfer dependency","1996","66 and older","1349","0.894280302022345","0.879027085725538","0.909533518319152"
"Very low transfer dependency","1996","16-34 y.","2548","0.518614381296029","0.504194148372965","0.533034614219093"
"Very low transfer dependency","1996","35-65 y.","3353","0.450968323783408","0.438840904847283","0.463095742719534"
"Very low transfer dependency","1996","66 and older","167","0.0845524773790729","0.0707509695916672","0.0983539851664787"
"Low transfer dependency","1996","16-34 y.","349","0.063711073011217","0.0566622623506882","0.0707598836717457"
"Low transfer dependency","1996","35-65 y.","454","0.0569863278228233","0.0513364248286894","0.0626362308169572"
"Low transfer dependency","1996","66 and older","33","0.0137716983101084","0.0079903501988478","0.019553046421369"
"High transfer dependency","1996","16-34 y.","118","0.0242739480753034","0.0198323669240966","0.0287155292265101"
"High transfer dependency","1996","35-65 y.","183","0.0251240620760244","0.0213097496298886","0.0289383745221602"
"High transfer dependency","1996","66 and older","5","","",""
"Very high transfer dependency","1996","16-34 y.","76","0.0141400367407893","0.0107325331231137","0.0175475403584648"
"Very high transfer dependency","1996","35-65 y.","106","0.0151624518780209","0.0121841845487877","0.0181407192072541"
"Very high transfer dependency","1996","66 and older","3","","",""
"Complete transfer dependency","1996","16-34 y.","50","0.0124042395494467","0.00920992174227732","0.015598557356616"
"Complete transfer dependency","1996","35-65 y.","52","0.0124640256035803","0.00976005298539096","0.0151679982217696"
"Complete transfer dependency","1996","66 and older","4","","",""
"No transfer dependency","1997","16-34 y.","1341","0.331463332286004","0.317801831321614","0.345124833250394"
"No transfer dependency","1997","35-65 y.","2233","0.411784045775124","0.399873478855155","0.423694612695093"
"No transfer dependency","1997","66 and older","1378","0.880341749943202","0.864463320426706","0.896220179459697"
"Very low transfer dependency","1997","16-34 y.","2530","0.522292318802512","0.507796058241655","0.536788579363369"
"Very low transfer dependency","1997","35-65 y.","3442","0.466128539078264","0.454055948425668","0.47820112973086"
"Very low transfer dependency","1997","66 and older","182","0.091417994280616","0.0773183393941826","0.105517649167049"
"Low transfer dependency","1997","16-34 y.","421","0.0811305551095165","0.0732066879938011","0.0890544222252319"
"Low transfer dependency","1997","35-65 y.","540","0.0673540294586202","0.0612884893907959","0.0734195695264445"
"Low transfer dependency","1997","66 and older","30","0.0143992441137559","0.0085710912542075","0.0202273969733043"
"High transfer dependency","1997","16-34 y.","129","0.0292752649275634","0.0243829261828555","0.0341676036722713"
"High transfer dependency","1997","35-65 y.","180","0.0244433019220167","0.0207061954679631","0.0281804083760703"
"High transfer dependency","1997","66 and older","11","","",""
"Very high transfer dependency","1997","16-34 y.","92","0.0215092103197883","0.0172989528113769","0.0257194678281996"
"Very high transfer dependency","1997","35-65 y.","111","0.0179394319959076","0.0147272306747874","0.0211516333170278"
"Very high transfer dependency","1997","66 and older","1","","",""
"Complete transfer dependency","1997","16-34 y.","48","0.0143293185546161","0.010880290372131","0.0177783467371011"
"Complete transfer dependency","1997","35-65 y.","53","0.0123506517700676","0.009677795505829","0.0150235080343062"
"Complete transfer dependency","1997","66 and older","3","","",""
"No transfer dependency","1998","16-34 y.","1382","0.325756279833938","0.312514689881709","0.338997869786166"
"No transfer dependency","1998","35-65 y.","2659","0.421542790074159","0.410331928697773","0.432753651450544"
"No transfer dependency","1998","66 and older","1616","0.882819857086332","0.868304079506491","0.897335634666173"
"Very low transfer dependency","1998","16-34 y.","2707","0.531180165207149","0.517080487185682","0.545279843228616"
"Very low transfer dependency","1998","35-65 y.","3836","0.461438188561894","0.450120517306169","0.47275585981762"
"Very low transfer dependency","1998","66 and older","211","0.0943504740051278","0.0811579050731795","0.107543042937076"
"Low transfer dependency","1998","16-34 y.","434","0.0758397276840217","0.0683596292713551","0.0833198260966883"
"Low transfer dependency","1998","35-65 y.","571","0.0632373059810504","0.0577116479524571","0.0687629640096437"
"Low transfer dependency","1998","66 and older","46","0.0154949516249136","0.00992076720734854","0.0210691360424786"
"High transfer dependency","1998","16-34 y.","135","0.0271656396758964","0.0225724466118267","0.0317588327399661"
"High transfer dependency","1998","35-65 y.","183","0.0222531838944797","0.0189043638226916","0.0256020039662677"
"High transfer dependency","1998","66 and older","5","","",""
"Very high transfer dependency","1998","16-34 y.","90","0.0221525173345209","0.017994058705035","0.0263109759640069"
"Very high transfer dependency","1998","35-65 y.","131","0.017294052327755","0.0143343863032334","0.0202537183522765"
"Very high transfer dependency","1998","66 and older","5","","",""
"Complete transfer dependency","1998","16-34 y.","64","0.0179056702644742","0.0141588990516866","0.0216524414772617"
"Complete transfer dependency","1998","35-65 y.","73","0.0142344791606616","0.011545173705878","0.0169237846154452"
"Complete transfer dependency","1998","66 and older","3","","",""
"No transfer dependency","1999","16-34 y.","1332","0.316063002620075","0.302535714982238","0.329590290257912"
"No transfer dependency","1999","35-65 y.","2535","0.415844694935154","0.40448154312218","0.427207846748127"
"No transfer dependency","1999","66 and older","1579","0.891559016362496","0.877301279681382","0.905816753043609"
"Very low transfer dependency","1999","16-34 y.","2527","0.544505100428197","0.530015427562412","0.558994773293982"
"Very low transfer dependency","1999","35-65 y.","3843","0.481971772373787","0.470451663642233","0.493491881105342"
"Very low transfer dependency","1999","66 and older","200","0.0872256997215389","0.0742872348737738","0.100164164569304"
"Low transfer dependency","1999","16-34 y.","408","0.0758930330877382","0.0681879394240136","0.0835981267514628"
"Low transfer dependency","1999","35-65 y.","534","0.0608160752016171","0.0553060500210331","0.0663261003822012"
"Low transfer dependency","1999","66 and older","36","0.011441304763547","0.0065646970122415","0.0163179125148525"
"High transfer dependency","1999","16-34 y.","149","0.0326688124954997","0.0274966743715626","0.0378409506194369"
"High transfer dependency","1999","35-65 y.","157","0.0163703407898252","0.0134447489794122","0.0192959326002381"
"High transfer dependency","1999","66 and older","10","","",""
"Very high transfer dependency","1999","16-34 y.","78","0.0194936672578709","0.0154712435002373","0.0235160910155044"
"Very high transfer dependency","1999","35-65 y.","93","0.0121844424589049","0.0096550872404985","0.0147137976773113"
"Very high transfer dependency","1999","66 and older","2","","",""
"Complete transfer dependency","1999","16-34 y.","44","0.0113763841106196","0.00829082792458508","0.0144619402966541"
"Complete transfer dependency","1999","35-65 y.","65","0.0128126742407119","0.0102197564869595","0.0154055919944643"
"Complete transfer dependency","1999","66 and older","","","",""
"No transfer dependency","2000","16-34 y.","2060","0.336286773401608","0.325238333213482","0.347335213589734"
"No transfer dependency","2000","35-65 y.","5191","0.446190302998702","0.437747844635651","0.454632761361753"
"No transfer dependency","2000","66 and older","3198","0.895648279469266","0.885700342913938","0.905596216024594"
"Very low transfer dependency","2000","16-34 y.","3948","0.527258149364372","0.515582541092536","0.538933757636208"
"Very low transfer dependency","2000","35-65 y.","6690","0.45757481370755","0.449113660383738","0.466035967031362"
"Very low transfer dependency","2000","66 and older","325","0.0791640614065004","0.0703784980359221","0.0879496247770788"
"Low transfer dependency","2000","16-34 y.","613","0.0800236197045485","0.0736783034252047","0.0863689359838923"
"Low transfer dependency","2000","35-65 y.","861","0.0530857203444355","0.0492779322109656","0.0568935084779053"
"Low transfer dependency","2000","66 and older","80","0.018727059009088","0.0143159869456298","0.0231381310725462"
"High transfer dependency","2000","16-34 y.","194","0.0279878582368743","0.0241306195206246","0.031845096953124"
"High transfer dependency","2000","35-65 y.","258","0.0165461187925145","0.0143796439312484","0.0187125936537806"
"High transfer dependency","2000","66 and older","16","","",""
"Very high transfer dependency","2000","16-34 y.","125","0.0166741367501003","0.0136796234242279","0.0196686500759727"
"Very high transfer dependency","2000","35-65 y.","174","0.0149698100459078","0.012907464176628","0.0170321559151875"
"Very high transfer dependency","2000","66 and older","3","","",""
"Complete transfer dependency","2000","16-34 y.","84","0.0117694625424967","0.00924735680517262","0.0142915682798208"
"Complete transfer dependency","2000","35-65 y.","144","0.0116332341108905","0.00981211695102125","0.0134543512707598"
"Complete transfer dependency","2000","66 and older","6","","",""
"No transfer dependency","2001","16-34 y.","1647","0.316256051380302","0.304643600100772","0.327868502659832"
"No transfer dependency","2001","35-65 y.","4230","0.413848832954883","0.405078219097966","0.422619446811799"
"No transfer dependency","2001","66 and older","2926","0.869222685373916","0.857950968831734","0.880494401916098"
"Very low transfer dependency","2001","16-34 y.","3560","0.537321456887991","0.524870162353502","0.549772751422481"
"Very low transfer dependency","2001","35-65 y.","6525","0.487722366204029","0.478821273179161","0.496623459228898"
"Very low transfer dependency","2001","66 and older","417","0.103719461034648","0.0935262636541811","0.113912658415115"
"Low transfer dependency","2001","16-34 y.","584","0.083558611416871","0.0766481715944201","0.090469051239322"
"Low transfer dependency","2001","35-65 y.","814","0.053410807860439","0.0494067563987837","0.0574148593220944"
"Low transfer dependency","2001","66 and older","67","0.0178821368491457","0.0134516664719718","0.0223126072263195"
"High transfer dependency","2001","16-34 y.","175","0.0282663625071475","0.0241276399376407","0.0324050850766544"
"High transfer dependency","2001","35-65 y.","249","0.0175717869936059","0.0152320734751979","0.0199115005120138"
"High transfer dependency","2001","66 and older","19","","",""
"Very high transfer dependency","2001","16-34 y.","129","0.0231480730642258","0.0193929037278253","0.0269032424006263"
"Very high transfer dependency","2001","35-65 y.","179","0.0164477448765101","0.014182807461307","0.0187126822917132"
"Very high transfer dependency","2001","66 and older","3","","",""
"Complete transfer dependency","2001","16-34 y.","65","0.0114494447434622","0.00879270269228535","0.014106186794639"
"Complete transfer dependency","2001","35-65 y.","117","0.0109984611105332","0.00914121801797334","0.012855704203093"
"Complete transfer dependency","2001","66 and older","5","","",""
