"transab_cat","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","no degree/no degree yet","Female","437","0.636950283826451","0.600991454782767","0.672909112870136"
"Low transfer dependency","1984","lower secondary degree","Male","97","0.0305868307077126","0.0241463316375661","0.0370273297778591"
"Low transfer dependency","1984","lower secondary degree","Female","110","0.029171131402544","0.0233119769138333","0.0350302858912547"
"Low transfer dependency","1984","secondary school degree","Male","24","","",""
"Low transfer dependency","1984","secondary school degree","Female","24","","",""
"Low transfer dependency","1984","college entrance qualification","Male","20","","",""
"Low transfer dependency","1984","college entrance qualification","Female","14","","",""
"Low transfer dependency","1984","Other degree","Male","61","0.0766530499681128","0.0587681791521443","0.0945379207840813"
"Low transfer dependency","1984","Other degree","Female","40","0.0799099836364644","0.0576303708909666","0.102189596381962"
"Low transfer dependency","1984","no degree/no degree yet","Male","45","0.094142357368321","0.0701687618255984","0.118115952911044"
"Low transfer dependency","1984","no degree/no degree yet","Female","64","0.107753327458871","0.0845672364556313","0.13093941846211"
"High transfer dependency","1984","lower secondary degree","Male","19","","",""
"High transfer dependency","1984","lower secondary degree","Female","35","0.0108136029576212","0.0072127013978399","0.0144145045174026"
"High transfer dependency","1984","secondary school degree","Male","5","","",""
"High transfer dependency","1984","secondary school degree","Female","7","","",""
"High transfer dependency","1984","college entrance qualification","Male","9","","",""
"High transfer dependency","1984","college entrance qualification","Female","8","","",""
"High transfer dependency","1984","Other degree","Male","16","","",""
"High transfer dependency","1984","Other degree","Female","14","","",""
"High transfer dependency","1984","no degree/no degree yet","Male","10","","",""
"High transfer dependency","1984","no degree/no degree yet","Female","8","","",""
"Very high transfer dependency","1984","lower secondary degree","Male","7","","",""
"Very high transfer dependency","1984","lower secondary degree","Female","17","","",""
"Very high transfer dependency","1984","secondary school degree","Male","","","",""
"Very high transfer dependency","1984","secondary school degree","Female","4","","",""
"Very high transfer dependency","1984","college entrance qualification","Male","5","","",""
"Very high transfer dependency","1984","college entrance qualification","Female","3","","",""
"Very high transfer dependency","1984","Other degree","Male","4","","",""
"Very high transfer dependency","1984","Other degree","Female","2","","",""
"Very high transfer dependency","1984","no degree/no degree yet","Male","9","","",""
"Very high transfer dependency","1984","no degree/no degree yet","Female","5","","",""
"Complete transfer dependency","1984","lower secondary degree","Male","35","0.0131639011551104","0.0089009275391218","0.017426874771099"
"Complete transfer dependency","1984","lower secondary degree","Female","45","0.0141927649191857","0.0100744791728917","0.0183110506654797"
"Complete transfer dependency","1984","secondary school degree","Male","3","","",""
"Complete transfer dependency","1984","secondary school degree","Female","12","","",""
"Complete transfer dependency","1984","college entrance qualification","Male","9","","",""
"Complete transfer dependency","1984","college entrance qualification","Female","14","","",""
"Complete transfer dependency","1984","Other degree","Male","8","","",""
"Complete transfer dependency","1984","Other degree","Female","6","","",""
"Complete transfer dependency","1984","no degree/no degree yet","Male","8","","",""
"Complete transfer dependency","1984","no degree/no degree yet","Female","15","","",""
"No transfer dependency","1985","lower secondary degree","Male","1061","0.498667619733994","0.479028732345431","0.518306507122557"
"No transfer dependency","1985","lower secondary degree","Female","1311","0.541932182383863","0.523614378051416","0.560249986716311"
"No transfer dependency","1985","secondary school degree","Male","290","0.430780490527685","0.395505406832603","0.466055574222768"
"No transfer dependency","1985","secondary school degree","Female","438","0.496675419673335","0.466140985090289","0.527209854256382"
"No transfer dependency","1985","college entrance qualification","Male","302","0.469883781391368","0.433504030943996","0.506263531838741"
"No transfer dependency","1985","college entrance qualification","Female","204","0.531809129055445","0.485025195161378","0.578593062949511"
"No transfer dependency","1985","Other degree","Male","173","0.283049613958514","0.249890661021365","0.316208566895663"
"No transfer dependency","1985","Other degree","Female","106","0.2774944186355","0.236664846145393","0.318323991125608"
"No transfer dependency","1985","no degree/no degree yet","Male","104","0.206102911022046","0.170504433826822","0.241701388217269"
"No transfer dependency","1985","no degree/no degree yet","Female","103","0.19043558922767","0.157886267125511","0.222984911329828"
"Very low transfer dependency","1985","lower secondary degree","Male","1300","0.453586361356107","0.434032200804237","0.473140521907978"
"Very low transfer dependency","1985","lower secondary degree","Female","1360","0.399088704963423","0.381084416765928","0.417092993160918"
"Very low transfer dependency","1985","secondary school degree","Male","444","0.543567707888543","0.508085130649341","0.579050285127746"
"Very low transfer dependency","1985","secondary school degree","Female","545","0.466173149378756","0.435707999887197","0.496638298870315"
"Very low transfer dependency","1985","college entrance qualification","Male","382","0.484412822319383","0.447984613987474","0.520841030651293"
"Very low transfer dependency","1985","college entrance qualification","Female","202","0.40111439452362","0.355161440607047","0.447067348440192"
"Very low transfer dependency","1985","Other degree","Male","475","0.62065438227901","0.584938003326554","0.656370761231466"
"Very low transfer dependency","1985","Other degree","Female","315","0.62832486560456","0.584259134467212","0.672390596741908"
"Very low transfer dependency","1985","no degree/no degree yet","Male","347","0.705055576817595","0.664923741328439","0.74518741230675"
"Very low transfer dependency","1985","no degree/no degree yet","Female","397","0.675456958535081","0.636643961591082","0.71426995547908"
"Low transfer dependency","1985","lower secondary degree","Male","77","0.0258386929871455","0.0196070993358062","0.0320702866384848"
"Low transfer dependency","1985","lower secondary degree","Female","82","0.0272002809111356","0.0212198226031003","0.0331807392191708"
"Low transfer dependency","1985","secondary school degree","Male","10","","",""
"Low transfer dependency","1985","secondary school degree","Female","24","","",""
"Low transfer dependency","1985","college entrance qualification","Male","17","","",""
"Low transfer dependency","1985","college entrance qualification","Female","13","","",""
"Low transfer dependency","1985","Other degree","Male","38","0.0491063642960231","0.0332004061832674","0.0650123224087789"
"Low transfer dependency","1985","Other degree","Female","23","","",""
"Low transfer dependency","1985","no degree/no degree yet","Male","27","","",""
"Low transfer dependency","1985","no degree/no degree yet","Female","35","0.0568930129827839","0.0376907622896998","0.076095263675868"
"High transfer dependency","1985","lower secondary degree","Male","19","","",""
"High transfer dependency","1985","lower secondary degree","Female","38","0.0136015315887983","0.0093430364473378","0.0178600267302587"
"High transfer dependency","1985","secondary school degree","Male","7","","",""
"High transfer dependency","1985","secondary school degree","Female","7","","",""
"High transfer dependency","1985","college entrance qualification","Male","14","","",""
"High transfer dependency","1985","college entrance qualification","Female","12","","",""
"High transfer dependency","1985","Other degree","Male","13","","",""
"High transfer dependency","1985","Other degree","Female","10","","",""
"High transfer dependency","1985","no degree/no degree yet","Male","6","","",""
"High transfer dependency","1985","no degree/no degree yet","Female","6","","",""
"Very high transfer dependency","1985","lower secondary degree","Male","15","","",""
"Very high transfer dependency","1985","lower secondary degree","Female","16","","",""
"Very high transfer dependency","1985","secondary school degree","Male","3","","",""
"Very high transfer dependency","1985","secondary school degree","Female","7","","",""
"Very high transfer dependency","1985","college entrance qualification","Male","8","","",""
"Very high transfer dependency","1985","college entrance qualification","Female","4","","",""
"Very high transfer dependency","1985","Other degree","Male","3","","",""
"Very high transfer dependency","1985","Other degree","Female","3","","",""
"Very high transfer dependency","1985","no degree/no degree yet","Male","2","","",""
"Very high transfer dependency","1985","no degree/no degree yet","Female","8","","",""
"Complete transfer dependency","1985","lower secondary degree","Male","18","","",""
"Complete transfer dependency","1985","lower secondary degree","Female","35","0.0126701905473933","0.00855813708846204","0.0167822440063245"
"Complete transfer dependency","1985","secondary school degree","Male","3","","",""
"Complete transfer dependency","1985","secondary school degree","Female","9","","",""
"Complete transfer dependency","1985","college entrance qualification","Male","","","",""
"Complete transfer dependency","1985","college entrance qualification","Female","2","","",""
"Complete transfer dependency","1985","Other degree","Male","7","","",""
"Complete transfer dependency","1985","Other degree","Female","5","","",""
"Complete transfer dependency","1985","no degree/no degree yet","Male","10","","",""
"Complete transfer dependency","1985","no degree/no degree yet","Female","10","","",""
"No transfer dependency","1986","lower secondary degree","Male","1027","0.501507316030724","0.481291922934595","0.521722709126853"
"No transfer dependency","1986","lower secondary degree","Female","1252","0.556393527354068","0.53746742902637","0.575319625681766"
"No transfer dependency","1986","secondary school degree","Male","297","0.452550079643323","0.41659049181732","0.488509667469326"
"No transfer dependency","1986","secondary school degree","Female","431","0.503611191508649","0.472730143341619","0.534492239675679"
"No transfer dependency","1986","college entrance qualification","Male","307","0.469606596053494","0.433303310471068","0.505909881635921"
"No transfer dependency","1986","college entrance qualification","Female","209","0.510772157358295","0.465239102773533","0.556305211943056"
"No transfer dependency","1986","Other degree","Male","170","0.264144632999103","0.230761444398972","0.297527821599235"
"No transfer dependency","1986","Other degree","Female","91","0.27384401710269","0.231938611264427","0.315749422940952"
"No transfer dependency","1986","no degree/no degree yet","Male","99","0.231167554785983","0.192849724861966","0.269485384709999"
"No transfer dependency","1986","no degree/no degree yet","Female","103","0.216821332534488","0.181672366093289","0.251970298975687"
"Very low transfer dependency","1986","lower secondary degree","Male","1205","0.446861974354429","0.42676097648717","0.466962972221687"
"Very low transfer dependency","1986","lower secondary degree","Female","1250","0.38931812604613","0.370743035163949","0.407893216928312"
"Very low transfer dependency","1986","secondary school degree","Male","415","0.514579570221241","0.478472314728425","0.550686825714056"
"Very low transfer dependency","1986","secondary school degree","Female","527","0.453149787210401","0.422403800249771","0.48389577417103"
"Very low transfer dependency","1986","college entrance qualification","Male","384","0.477479971531108","0.441146338020766","0.51381360504145"
"Very low transfer dependency","1986","college entrance qualification","Female","223","0.414177285276751","0.369309582151687","0.459044988401816"
"Very low transfer dependency","1986","Other degree","Male","446","0.621690931289409","0.584969353587602","0.658412508991217"
"Very low transfer dependency","1986","Other degree","Female","315","0.670187688022878","0.626006731201536","0.71436864484422"
"Very low transfer dependency","1986","no degree/no degree yet","Male","321","0.707841279491539","0.666508083772243","0.749174475210835"
"Very low transfer dependency","1986","no degree/no degree yet","Female","364","0.649273384127186","0.608570114932469","0.689976653321903"
"Low transfer dependency","1986","lower secondary degree","Male","70","0.0280307386609568","0.0213571767110952","0.0347043006108183"
"Low transfer dependency","1986","lower secondary degree","Female","67","0.0241570822084248","0.018308059381611","0.0300061050352386"
"Low transfer dependency","1986","secondary school degree","Male","17","","",""
"Low transfer dependency","1986","secondary school degree","Female","30","0.0223189209869595","0.0131952722115127","0.0314425697624063"
"Low transfer dependency","1986","college entrance qualification","Male","20","","",""
"Low transfer dependency","1986","college entrance qualification","Female","12","","",""
"Low transfer dependency","1986","Other degree","Male","29","","",""
"Low transfer dependency","1986","Other degree","Female","13","","",""
"Low transfer dependency","1986","no degree/no degree yet","Male","25","","",""
"Low transfer dependency","1986","no degree/no degree yet","Female","36","0.0586634425648598","0.0386193054500793","0.0787075796796404"
"High transfer dependency","1986","lower secondary degree","Male","23","","",""
"High transfer dependency","1986","lower secondary degree","Female","33","0.0134440789959587","0.00905677728067109","0.0178313807112463"
"High transfer dependency","1986","secondary school degree","Male","4","","",""
"High transfer dependency","1986","secondary school degree","Female","9","","",""
"High transfer dependency","1986","college entrance qualification","Male","4","","",""
"High transfer dependency","1986","college entrance qualification","Female","6","","",""
"High transfer dependency","1986","Other degree","Male","12","","",""
"High transfer dependency","1986","Other degree","Female","9","","",""
"High transfer dependency","1986","no degree/no degree yet","Male","9","","",""
"High transfer dependency","1986","no degree/no degree yet","Female","11","","",""
"Very high transfer dependency","1986","lower secondary degree","Male","7","","",""
"Very high transfer dependency","1986","lower secondary degree","Female","15","","",""
"Very high transfer dependency","1986","secondary school degree","Male","3","","",""
"Very high transfer dependency","1986","secondary school degree","Female","5","","",""
"Very high transfer dependency","1986","college entrance qualification","Male","7","","",""
"Very high transfer dependency","1986","college entrance qualification","Female","9","","",""
"Very high transfer dependency","1986","Other degree","Male","4","","",""
"Very high transfer dependency","1986","Other degree","Female","3","","",""
"Very high transfer dependency","1986","no degree/no degree yet","Male","6","","",""
"Very high transfer dependency","1986","no degree/no degree yet","Female","8","","",""
"Complete transfer dependency","1986","lower secondary degree","Male","18","","",""
"Complete transfer dependency","1986","lower secondary degree","Female","30","0.010300026285361","0.00645373592703381","0.0141463166436882"
"Complete transfer dependency","1986","secondary school degree","Male","","","",""
"Complete transfer dependency","1986","secondary school degree","Female","5","","",""
"Complete transfer dependency","1986","college entrance qualification","Male","4","","",""
"Complete transfer dependency","1986","college entrance qualification","Female","4","","",""
"Complete transfer dependency","1986","Other degree","Male","9","","",""
"Complete transfer dependency","1986","Other degree","Female","4","","",""
"Complete transfer dependency","1986","no degree/no degree yet","Male","5","","",""
"Complete transfer dependency","1986","no degree/no degree yet","Female","6","","",""
"No transfer dependency","1987","lower secondary degree","Male","1058","0.534614231998381","0.514299756184801","0.554928707811961"
"No transfer dependency","1987","lower secondary degree","Female","1266","0.571139313199316","0.552090146668376","0.590188479730255"
"No transfer dependency","1987","secondary school degree","Male","293","0.461426551934583","0.425189350869324","0.497663752999843"
"No transfer dependency","1987","secondary school degree","Female","432","0.527291186391787","0.496049411896283","0.558532960887292"
"No transfer dependency","1987","college entrance qualification","Male","308","0.475216319480991","0.438509299822282","0.511923339139699"
"No transfer dependency","1987","college entrance qualification","Female","202","0.509542325098915","0.463709050099182","0.555375600098649"
"No transfer dependency","1987","Other degree","Male","156","0.262454886035362","0.228889028300437","0.296020743770286"
"No transfer dependency","1987","Other degree","Female","78","0.212278722848752","0.174199704053659","0.250357741643845"
"No transfer dependency","1987","no degree/no degree yet","Male","91","0.227983057155832","0.18842172384523","0.267544390466433"
"No transfer dependency","1987","no degree/no degree yet","Female","108","0.213374766537113","0.178329940731537","0.248419592342689"
"Very low transfer dependency","1987","lower secondary degree","Male","1138","0.414344342880912","0.394282044202722","0.434406641559101"
"Very low transfer dependency","1987","lower secondary degree","Female","1169","0.369549939005236","0.350971520333629","0.388128357676843"
"Very low transfer dependency","1987","secondary school degree","Male","405","0.505396161175329","0.469052757628734","0.541739564721924"
"Very low transfer dependency","1987","secondary school degree","Female","510","0.437903118092085","0.406856936441151","0.468949299743019"
"Very low transfer dependency","1987","college entrance qualification","Male","364","0.465811580752225","0.429145400784743","0.502477760719707"
"Very low transfer dependency","1987","college entrance qualification","Female","230","0.431287806625097","0.38588111595188","0.476694497298314"
"Very low transfer dependency","1987","Other degree","Male","462","0.663076306111798","0.62701647779436","0.699136134429235"
"Very low transfer dependency","1987","Other degree","Female","333","0.705135125595247","0.662673763380673","0.747596487809821"
"Very low transfer dependency","1987","no degree/no degree yet","Male","303","0.698120680828257","0.654830624559166","0.741410737097348"
"Very low transfer dependency","1987","no degree/no degree yet","Female","364","0.666186742027453","0.625848383399268","0.706525100655638"
"Low transfer dependency","1987","lower secondary degree","Male","76","0.0291353119114285","0.0222856678825274","0.0359849559403297"
"Low transfer dependency","1987","lower secondary degree","Female","95","0.0343992319354519","0.0273843558020263","0.0414141080688775"
"Low transfer dependency","1987","secondary school degree","Male","14","","",""
"Low transfer dependency","1987","secondary school degree","Female","25","","",""
"Low transfer dependency","1987","college entrance qualification","Male","24","","",""
"Low transfer dependency","1987","college entrance qualification","Female","12","","",""
"Low transfer dependency","1987","Other degree","Male","22","","",""
"Low transfer dependency","1987","Other degree","Female","17","","",""
"Low transfer dependency","1987","no degree/no degree yet","Male","18","","",""
"Low transfer dependency","1987","no degree/no degree yet","Female","28","","",""
"High transfer dependency","1987","lower secondary degree","Male","22","","",""
"High transfer dependency","1987","lower secondary degree","Female","21","","",""
"High transfer dependency","1987","secondary school degree","Male","7","","",""
"High transfer dependency","1987","secondary school degree","Female","7","","",""
"High transfer dependency","1987","college entrance qualification","Male","5","","",""
"High transfer dependency","1987","college entrance qualification","Female","5","","",""
"High transfer dependency","1987","Other degree","Male","11","","",""
"High transfer dependency","1987","Other degree","Female","8","","",""
"High transfer dependency","1987","no degree/no degree yet","Male","10","","",""
"High transfer dependency","1987","no degree/no degree yet","Female","13","","",""
"Very high transfer dependency","1987","lower secondary degree","Male","10","","",""
"Very high transfer dependency","1987","lower secondary degree","Female","18","","",""
"Very high transfer dependency","1987","secondary school degree","Male","4","","",""
"Very high transfer dependency","1987","secondary school degree","Female","5","","",""
"Very high transfer dependency","1987","college entrance qualification","Male","7","","",""
"Very high transfer dependency","1987","college entrance qualification","Female","5","","",""
"Very high transfer dependency","1987","Other degree","Male","3","","",""
"Very high transfer dependency","1987","Other degree","Female","3","","",""
"Very high transfer dependency","1987","no degree/no degree yet","Male","4","","",""
"Very high transfer dependency","1987","no degree/no degree yet","Female","4","","",""
"Complete transfer dependency","1987","lower secondary degree","Male","12","","",""
"Complete transfer dependency","1987","lower secondary degree","Female","24","","",""
"Complete transfer dependency","1987","secondary school degree","Male","4","","",""
"Complete transfer dependency","1987","secondary school degree","Female","2","","",""
"Complete transfer dependency","1987","college entrance qualification","Male","3","","",""
"Complete transfer dependency","1987","college entrance qualification","Female","3","","",""
"Complete transfer dependency","1987","Other degree","Male","6","","",""
"Complete transfer dependency","1987","Other degree","Female","4","","",""
"Complete transfer dependency","1987","no degree/no degree yet","Male","6","","",""
"Complete transfer dependency","1987","no degree/no degree yet","Female","8","","",""
"No transfer dependency","1988","lower secondary degree","Male","1047","0.55463748440251","0.534032572278111","0.575242396526909"
"No transfer dependency","1988","lower secondary degree","Female","1202","0.581170703361152","0.561626734262884","0.600714672459419"
"No transfer dependency","1988","secondary school degree","Male","286","0.495216642967027","0.457610106805238","0.532823179128815"
"No transfer dependency","1988","secondary school degree","Female","417","0.533728136353409","0.502039082646295","0.565417190060522"
"No transfer dependency","1988","college entrance qualification","Male","310","0.512181182615144","0.47430413534619","0.550058229884097"
"No transfer dependency","1988","college entrance qualification","Female","196","0.539118856960999","0.491390354234638","0.58684735968736"
"No transfer dependency","1988","Other degree","Male","139","0.251602035825807","0.217306791019704","0.28589728063191"
"No transfer dependency","1988","Other degree","Female","79","0.235033012529231","0.194188501550152","0.275877523508309"
"No transfer dependency","1988","no degree/no degree yet","Male","86","0.231429588580085","0.188686730174129","0.27417244698604"
"No transfer dependency","1988","no degree/no degree yet","Female","100","0.198916888396179","0.163679862311273","0.234153914481086"
"Very low transfer dependency","1988","lower secondary degree","Male","1084","0.400636142388217","0.380320541817093","0.42095174295934"
"Very low transfer dependency","1988","lower secondary degree","Female","1106","0.361125958706446","0.342098562598618","0.380153354814275"
"Very low transfer dependency","1988","secondary school degree","Male","376","0.487075409519266","0.449479718971435","0.524671100067096"
"Very low transfer dependency","1988","secondary school degree","Female","494","0.423264815420332","0.391879685946736","0.454649944893928"
"Very low transfer dependency","1988","college entrance qualification","Male","335","0.452352652486857","0.414636785361021","0.490068519612693"
"Very low transfer dependency","1988","college entrance qualification","Female","205","0.422713786374625","0.375413923832118","0.470013648917132"
"Very low transfer dependency","1988","Other degree","Male","425","0.640255673685065","0.602325552733005","0.678185794637125"
"Very low transfer dependency","1988","Other degree","Female","305","0.674194091811142","0.629048030253615","0.71934015336867"
"Very low transfer dependency","1988","no degree/no degree yet","Male","249","0.640275754352395","0.59163719829928","0.688914310405511"
"Very low transfer dependency","1988","no degree/no degree yet","Female","339","0.68273358005785","0.641650564177523","0.723816595938176"
"Low transfer dependency","1988","lower secondary degree","Male","62","0.0227344331241972","0.0165548711705181","0.0289139950778762"
"Low transfer dependency","1988","lower secondary degree","Female","63","0.024769613174078","0.0186128051952259","0.0309264211529302"
"Low transfer dependency","1988","secondary school degree","Male","9","","",""
"Low transfer dependency","1988","secondary school degree","Female","27","","",""
"Low transfer dependency","1988","college entrance qualification","Male","15","","",""
"Low transfer dependency","1988","college entrance qualification","Female","12","","",""
"Low transfer dependency","1988","Other degree","Male","27","","",""
"Low transfer dependency","1988","Other degree","Female","18","","",""
"Low transfer dependency","1988","no degree/no degree yet","Male","28","","",""
"Low transfer dependency","1988","no degree/no degree yet","Female","34","0.0629092186975425","0.0414767296791576","0.0843417077159274"
"High transfer dependency","1988","lower secondary degree","Male","18","","",""
"High transfer dependency","1988","lower secondary degree","Female","26","","",""
"High transfer dependency","1988","secondary school degree","Male","3","","",""
"High transfer dependency","1988","secondary school degree","Female","7","","",""
"High transfer dependency","1988","college entrance qualification","Male","6","","",""
"High transfer dependency","1988","college entrance qualification","Female","3","","",""
"High transfer dependency","1988","Other degree","Male","9","","",""
"High transfer dependency","1988","Other degree","Female","5","","",""
"High transfer dependency","1988","no degree/no degree yet","Male","3","","",""
"High transfer dependency","1988","no degree/no degree yet","Female","5","","",""
"Very high transfer dependency","1988","lower secondary degree","Male","14","","",""
"Very high transfer dependency","1988","lower secondary degree","Female","29","","",""
"Very high transfer dependency","1988","secondary school degree","Male","5","","",""
"Very high transfer dependency","1988","secondary school degree","Female","6","","",""
"Very high transfer dependency","1988","college entrance qualification","Male","3","","",""
"Very high transfer dependency","1988","college entrance qualification","Female","2","","",""
"Very high transfer dependency","1988","Other degree","Male","6","","",""
"Very high transfer dependency","1988","Other degree","Female","2","","",""
"Very high transfer dependency","1988","no degree/no degree yet","Male","3","","",""
"Very high transfer dependency","1988","no degree/no degree yet","Female","4","","",""
"Complete transfer dependency","1988","lower secondary degree","Male","10","","",""
"Complete transfer dependency","1988","lower secondary degree","Female","22","","",""
"Complete transfer dependency","1988","secondary school degree","Male","","","",""
"Complete transfer dependency","1988","secondary school degree","Female","1","","",""
"Complete transfer dependency","1988","college entrance qualification","Male","","","",""
"Complete transfer dependency","1988","college entrance qualification","Female","1","","",""
"Complete transfer dependency","1988","Other degree","Male","9","","",""
"Complete transfer dependency","1988","Other degree","Female","5","","",""
"Complete transfer dependency","1988","no degree/no degree yet","Male","5","","",""
"Complete transfer dependency","1988","no degree/no degree yet","Female","11","","",""
"No transfer dependency","1989","lower secondary degree","Male","985","0.553296918885128","0.532104320918778","0.574489516851479"
"No transfer dependency","1989","lower secondary degree","Female","1141","0.579980445669542","0.559961275135681","0.599999616203404"
"No transfer dependency","1989","secondary school degree","Male","299","0.51587861813991","0.477895714265317","0.553861522014502"
"No transfer dependency","1989","secondary school degree","Female","435","0.560151815229631","0.52833574318297","0.591967887276293"
"No transfer dependency","1989","college entrance qualification","Male","332","0.522521641711378","0.485143731150878","0.559899552271877"
"No transfer dependency","1989","college entrance qualification","Female","208","0.56015131958701","0.513015873685476","0.607286765488543"
"No transfer dependency","1989","Other degree","Male","154","0.288860688789131","0.252258082684744","0.325463294893518"
"No transfer dependency","1989","Other degree","Female","90","0.298935302281148","0.254676991701282","0.343193612861013"
"No transfer dependency","1989","no degree/no degree yet","Male","74","0.184318301601098","0.144152987580658","0.224483615621539"
"No transfer dependency","1989","no degree/no degree yet","Female","97","0.166739967713292","0.133324751556452","0.200155183870132"
"Very low transfer dependency","1989","lower secondary degree","Male","1020","0.400231773532689","0.379346358566086","0.421117188499292"
"Very low transfer dependency","1989","lower secondary degree","Female","1059","0.36299674131262","0.343492599825612","0.382500882799627"
"Very low transfer dependency","1989","secondary school degree","Male","352","0.463352909644298","0.425453049694257","0.501252769594339"
"Very low transfer dependency","1989","secondary school degree","Female","471","0.407549261932343","0.376053039889339","0.439045483975347"
"Very low transfer dependency","1989","college entrance qualification","Male","331","0.444510492560248","0.407325733517696","0.481695251602799"
"Very low transfer dependency","1989","college entrance qualification","Female","194","0.380235235437908","0.334137147504763","0.426333323371052"
"Very low transfer dependency","1989","Other degree","Male","381","0.60213262469175","0.562604547638477","0.641660701745023"
"Very low transfer dependency","1989","Other degree","Female","287","0.605451719743422","0.55820006565385","0.652703373832993"
"Very low transfer dependency","1989","no degree/no degree yet","Male","251","0.708240189160329","0.661152259537042","0.755328118783616"
"Very low transfer dependency","1989","no degree/no degree yet","Female","321","0.668271424826406","0.62606271961763","0.710480130035182"
"Low transfer dependency","1989","lower secondary degree","Male","64","0.0224273346251689","0.0161154513963783","0.0287392178539595"
"Low transfer dependency","1989","lower secondary degree","Female","67","0.0246387023751228","0.0183509370600444","0.0309264676902012"
"Low transfer dependency","1989","secondary school degree","Male","7","","",""
"Low transfer dependency","1989","secondary school degree","Female","13","","",""
"Low transfer dependency","1989","college entrance qualification","Male","15","","",""
"Low transfer dependency","1989","college entrance qualification","Female","18","","",""
"Low transfer dependency","1989","Other degree","Male","29","","",""
"Low transfer dependency","1989","Other degree","Female","17","","",""
"Low transfer dependency","1989","no degree/no degree yet","Male","22","","",""
"Low transfer dependency","1989","no degree/no degree yet","Female","32","0.0685278725279498","0.0458786812606453","0.0911770637952542"
"High transfer dependency","1989","lower secondary degree","Male","19","","",""
"High transfer dependency","1989","lower secondary degree","Female","23","","",""
"High transfer dependency","1989","secondary school degree","Male","3","","",""
"High transfer dependency","1989","secondary school degree","Female","10","","",""
"High transfer dependency","1989","college entrance qualification","Male","7","","",""
"High transfer dependency","1989","college entrance qualification","Female","5","","",""
"High transfer dependency","1989","Other degree","Male","8","","",""
"High transfer dependency","1989","Other degree","Female","7","","",""
"High transfer dependency","1989","no degree/no degree yet","Male","4","","",""
"High transfer dependency","1989","no degree/no degree yet","Female","12","","",""
"Very high transfer dependency","1989","lower secondary degree","Male","12","","",""
"Very high transfer dependency","1989","lower secondary degree","Female","21","","",""
"Very high transfer dependency","1989","secondary school degree","Male","2","","",""
"Very high transfer dependency","1989","secondary school degree","Female","3","","",""
"Very high transfer dependency","1989","college entrance qualification","Male","1","","",""
"Very high transfer dependency","1989","college entrance qualification","Female","1","","",""
"Very high transfer dependency","1989","Other degree","Male","6","","",""
"Very high transfer dependency","1989","Other degree","Female","4","","",""
"Very high transfer dependency","1989","no degree/no degree yet","Male","","","",""
"Very high transfer dependency","1989","no degree/no degree yet","Female","4","","",""
"Complete transfer dependency","1989","lower secondary degree","Male","14","","",""
"Complete transfer dependency","1989","lower secondary degree","Female","24","","",""
"Complete transfer dependency","1989","secondary school degree","Male","2","","",""
"Complete transfer dependency","1989","secondary school degree","Female","3","","",""
"Complete transfer dependency","1989","college entrance qualification","Male","","","",""
"Complete transfer dependency","1989","college entrance qualification","Female","","","",""
"Complete transfer dependency","1989","Other degree","Male","11","","",""
"Complete transfer dependency","1989","Other degree","Female","6","","",""
"Complete transfer dependency","1989","no degree/no degree yet","Male","7","","",""
