"transab_cat","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Single parent ","higher education","8","","",""
"Very low transfer dependency","1984","Couple + C. LE 16 ","in school","","","",""
"Very low transfer dependency","1984","Couple + C. LE 16 ","inadequately","260","0.786076160751854","0.740204886108857","0.831947435394851"
"Very low transfer dependency","1984","Couple + C. LE 16 ","general elemantary","556","0.838222224480164","0.809956292558836","0.866488156401493"
"Very low transfer dependency","1984","Couple + C. LE 16 ","middle vocational","1308","0.895198719407681","0.879524856100312","0.91087258271505"
"Very low transfer dependency","1984","Couple + C. LE 16 ","vocational + Abi","69","0.8465171849559","0.769434609710646","0.923599760201154"
"Very low transfer dependency","1984","Couple + C. LE 16 ","higher vocational","177","0.901142656838397","0.859463759644087","0.942821554032707"
"Very low transfer dependency","1984","Couple + C. LE 16 ","higher education","219","0.908197620845509","0.872333056009308","0.94406218568171"
"Very low transfer dependency","1984","Couple + C. GT 16 ","in school","63","0.839827547734694","0.756822131872465","0.922832963596923"
"Very low transfer dependency","1984","Couple + C. GT 16 ","inadequately","67","0.599484872548397","0.518605623362562","0.680364121734231"
"Very low transfer dependency","1984","Couple + C. GT 16 ","general elemantary","327","0.590659330564598","0.55004260806894","0.631276053060256"
"Very low transfer dependency","1984","Couple + C. GT 16 ","middle vocational","496","0.566255708569196","0.533511843832117","0.598999573306275"
"Very low transfer dependency","1984","Couple + C. GT 16 ","vocational + Abi","23","","",""
"Very low transfer dependency","1984","Couple + C. GT 16 ","higher vocational","45","0.538388839607038","0.430487375085647","0.64629030412843"
"Very low transfer dependency","1984","Couple + C. GT 16 ","higher education","55","0.687940641643009","0.590015782718146","0.785865500567872"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","in school","70","0.917847649026407","0.856514109758174","0.979181188294641"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","inadequately","153","0.776052455301688","0.719397863493087","0.832707047110289"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","general elemantary","478","0.912824962045437","0.889481971892166","0.936167952198709"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","middle vocational","566","0.929566551809646","0.90968046858584","0.949452635033452"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","vocational + Abi","15","","",""
"Very low transfer dependency","1984","Couple + C. LE and GT 16","higher vocational","42","1","1","1"
"Very low transfer dependency","1984","Couple + C. LE and GT 16","higher education","57","1","1","1"
"Low transfer dependency","1984","1-pers.-HH","in school","","","",""
"Low transfer dependency","1984","1-pers.-HH","inadequately","5","","",""
"Low transfer dependency","1984","1-pers.-HH","general elemantary","11","","",""
"Low transfer dependency","1984","1-pers.-HH","middle vocational","16","","",""
"Low transfer dependency","1984","1-pers.-HH","vocational + Abi","3","","",""
"Low transfer dependency","1984","1-pers.-HH","higher vocational","2","","",""
"Low transfer dependency","1984","1-pers.-HH","higher education","4","","",""
"Low transfer dependency","1984","(Married) couple without C. ","in school","1","","",""
"Low transfer dependency","1984","(Married) couple without C. ","inadequately","8","","",""
"Low transfer dependency","1984","(Married) couple without C. ","general elemantary","19","","",""
"Low transfer dependency","1984","(Married) couple without C. ","middle vocational","32","0.0195592258177391","0.0123131017118796","0.0268053499235987"
"Low transfer dependency","1984","(Married) couple without C. ","vocational + Abi","1","","",""
"Low transfer dependency","1984","(Married) couple without C. ","higher vocational","5","","",""
"Low transfer dependency","1984","(Married) couple without C. ","higher education","4","","",""
"Low transfer dependency","1984","Single parent ","in school","4","","",""
"Low transfer dependency","1984","Single parent ","inadequately","8","","",""
"Low transfer dependency","1984","Single parent ","general elemantary","11","","",""
"Low transfer dependency","1984","Single parent ","middle vocational","24","","",""
"Low transfer dependency","1984","Single parent ","vocational + Abi","","","",""
"Low transfer dependency","1984","Single parent ","higher vocational","","","",""
"Low transfer dependency","1984","Single parent ","higher education","2","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","in school","","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","inadequately","21","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","general elemantary","25","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","middle vocational","60","0.0356973861183826","0.0262031962100248","0.0451915760267405"
"Low transfer dependency","1984","Couple + C. LE 16 ","vocational + Abi","7","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","higher vocational","5","","",""
"Low transfer dependency","1984","Couple + C. LE 16 ","higher education","6","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","in school","","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","inadequately","6","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","general elemantary","14","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","middle vocational","31","0.0362529977763666","0.0239031888815194","0.0486028066712139"
"Low transfer dependency","1984","Couple + C. GT 16 ","vocational + Abi","1","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","higher vocational","1","","",""
"Low transfer dependency","1984","Couple + C. GT 16 ","higher education","","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","in school","5","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","inadequately","28","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","general elemantary","50","0.0468459755776907","0.0293602222626542","0.0643317288927271"
"Low transfer dependency","1984","Couple + C. LE and GT 16","middle vocational","26","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","higher vocational","","","",""
"Low transfer dependency","1984","Couple + C. LE and GT 16","higher education","","","",""
"High transfer dependency","1984","1-pers.-HH","in school","","","",""
"High transfer dependency","1984","1-pers.-HH","inadequately","2","","",""
"High transfer dependency","1984","1-pers.-HH","general elemantary","6","","",""
"High transfer dependency","1984","1-pers.-HH","middle vocational","7","","",""
"High transfer dependency","1984","1-pers.-HH","vocational + Abi","1","","",""
"High transfer dependency","1984","1-pers.-HH","higher vocational","2","","",""
"High transfer dependency","1984","1-pers.-HH","higher education","2","","",""
"High transfer dependency","1984","(Married) couple without C. ","in school","","","",""
"High transfer dependency","1984","(Married) couple without C. ","inadequately","1","","",""
"High transfer dependency","1984","(Married) couple without C. ","general elemantary","5","","",""
"High transfer dependency","1984","(Married) couple without C. ","middle vocational","5","","",""
"High transfer dependency","1984","(Married) couple without C. ","vocational + Abi","3","","",""
"High transfer dependency","1984","(Married) couple without C. ","higher vocational","","","",""
"High transfer dependency","1984","(Married) couple without C. ","higher education","","","",""
"High transfer dependency","1984","Single parent ","in school","","","",""
"High transfer dependency","1984","Single parent ","inadequately","1","","",""
"High transfer dependency","1984","Single parent ","general elemantary","6","","",""
"High transfer dependency","1984","Single parent ","middle vocational","7","","",""
"High transfer dependency","1984","Single parent ","vocational + Abi","","","",""
"High transfer dependency","1984","Single parent ","higher vocational","1","","",""
"High transfer dependency","1984","Single parent ","higher education","","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","in school","","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","inadequately","8","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","general elemantary","13","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","middle vocational","13","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","vocational + Abi","3","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","higher vocational","1","","",""
"High transfer dependency","1984","Couple + C. LE 16 ","higher education","2","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","in school","","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","inadequately","","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","general elemantary","6","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","middle vocational","2","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","vocational + Abi","","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","higher vocational","","","",""
"High transfer dependency","1984","Couple + C. GT 16 ","higher education","","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","in school","1","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","inadequately","2","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","general elemantary","6","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","middle vocational","7","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","vocational + Abi","","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","higher vocational","","","",""
"High transfer dependency","1984","Couple + C. LE and GT 16","higher education","","","",""
"Very high transfer dependency","1984","1-pers.-HH","in school","","","",""
"Very high transfer dependency","1984","1-pers.-HH","inadequately","","","",""
"Very high transfer dependency","1984","1-pers.-HH","general elemantary","3","","",""
"Very high transfer dependency","1984","1-pers.-HH","middle vocational","3","","",""
"Very high transfer dependency","1984","1-pers.-HH","vocational + Abi","2","","",""
"Very high transfer dependency","1984","1-pers.-HH","higher vocational","2","","",""
"Very high transfer dependency","1984","1-pers.-HH","higher education","1","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","in school","","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","inadequately","","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","general elemantary","3","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","middle vocational","3","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","vocational + Abi","","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","higher vocational","1","","",""
"Very high transfer dependency","1984","(Married) couple without C. ","higher education","1","","",""
"Very high transfer dependency","1984","Single parent ","in school","","","",""
"Very high transfer dependency","1984","Single parent ","inadequately","1","","",""
"Very high transfer dependency","1984","Single parent ","general elemantary","2","","",""
"Very high transfer dependency","1984","Single parent ","middle vocational","2","","",""
"Very high transfer dependency","1984","Single parent ","vocational + Abi","","","",""
"Very high transfer dependency","1984","Single parent ","higher vocational","1","","",""
"Very high transfer dependency","1984","Single parent ","higher education","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","in school","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","inadequately","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","general elemantary","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","middle vocational","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","vocational + Abi","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","higher vocational","","","",""
"Very high transfer dependency","1984","Couple + C. LE 16 ","higher education","","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","in school","2","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","inadequately","4","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","general elemantary","7","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","middle vocational","6","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","vocational + Abi","","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","higher vocational","1","","",""
"Very high transfer dependency","1984","Couple + C. GT 16 ","higher education","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","in school","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","inadequately","6","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","general elemantary","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","middle vocational","5","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","higher vocational","","","",""
"Very high transfer dependency","1984","Couple + C. LE and GT 16","higher education","","","",""
"Complete transfer dependency","1984","1-pers.-HH","in school","","","",""
"Complete transfer dependency","1984","1-pers.-HH","inadequately","5","","",""
"Complete transfer dependency","1984","1-pers.-HH","general elemantary","16","","",""
"Complete transfer dependency","1984","1-pers.-HH","middle vocational","26","","",""
"Complete transfer dependency","1984","1-pers.-HH","vocational + Abi","3","","",""
"Complete transfer dependency","1984","1-pers.-HH","higher vocational","5","","",""
"Complete transfer dependency","1984","1-pers.-HH","higher education","3","","",""
"Complete transfer dependency","1984","(Married) couple without C. ","in school","","","",""
"Complete transfer dependency","1984","(Married) couple without C. ","inadequately","3","","",""
"Complete transfer dependency","1984","(Married) couple without C. ","general elemantary","4","","",""
"Complete transfer dependency","1984","(Married) couple without C. ","middle vocational","4","","",""
"Complete transfer dependency","1984","(Married) couple without C. ","vocational + Abi","","","",""
"Complete transfer dependency","1984","(Married) couple without C. ","higher vocational","2","","",""
"Complete transfer dependency","1984","(Married) couple without C. ","higher education","1","","",""
"Complete transfer dependency","1984","Single parent ","in school","","","",""
"Complete transfer dependency","1984","Single parent ","inadequately","4","","",""
"Complete transfer dependency","1984","Single parent ","general elemantary","11","","",""
"Complete transfer dependency","1984","Single parent ","middle vocational","11","","",""
"Complete transfer dependency","1984","Single parent ","vocational + Abi","","","",""
"Complete transfer dependency","1984","Single parent ","higher vocational","","","",""
"Complete transfer dependency","1984","Single parent ","higher education","","","",""
"Complete transfer dependency","1984","Couple + C. LE 16 ","in school","","","",""
"Complete transfer dependency","1984","Couple + C. LE 16 ","inadequately","6","","",""
"Complete transfer dependency","1984","Couple + C. LE 16 ","general elemantary","18","","",""
"Complete transfer dependency","1984","Couple + C. LE 16 ","middle vocational","18","","",""
"Complete transfer dependency","1984","Couple + C. LE 16 ","vocational + Abi","1","","",""
"Complete transfer dependency","1984","Couple + C. LE 16 ","higher vocational","2","","",""
"Complete transfer dependency","1984","Couple + C. LE 16 ","higher education","2","","",""
"Complete transfer dependency","1984","Couple + C. GT 16 ","in school","","","",""
"Complete transfer dependency","1984","Couple + C. GT 16 ","inadequately","","","",""
"Complete transfer dependency","1984","Couple + C. GT 16 ","general elemantary","","","",""
"Complete transfer dependency","1984","Couple + C. GT 16 ","middle vocational","2","","",""
"Complete transfer dependency","1984","Couple + C. GT 16 ","vocational + Abi","1","","",""
"Complete transfer dependency","1984","Couple + C. GT 16 ","higher vocational","","","",""
"Complete transfer dependency","1984","Couple + C. GT 16 ","higher education","","","",""
"Complete transfer dependency","1984","Couple + C. LE and GT 16","in school","","","",""
"Complete transfer dependency","1984","Couple + C. LE and GT 16","inadequately","3","","",""
"Complete transfer dependency","1984","Couple + C. LE and GT 16","general elemantary","1","","",""
"Complete transfer dependency","1984","Couple + C. LE and GT 16","middle vocational","","","",""
"Complete transfer dependency","1984","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Complete transfer dependency","1984","Couple + C. LE and GT 16","higher vocational","","","",""
"Complete transfer dependency","1984","Couple + C. LE and GT 16","higher education","","","",""
"No transfer dependency","1985","1-pers.-HH","in school","","","",""
"No transfer dependency","1985","1-pers.-HH","inadequately","34","0.725449987851326","0.604149962476211","0.84675001322644"
"No transfer dependency","1985","1-pers.-HH","general elemantary","263","0.814516615946211","0.772894115463514","0.856139116428909"
"No transfer dependency","1985","1-pers.-HH","middle vocational","448","0.841454777724598","0.810817953871489","0.872091601577707"
"No transfer dependency","1985","1-pers.-HH","vocational + Abi","32","0.85534932546088","0.74495473880266","0.9657439121191"
"No transfer dependency","1985","1-pers.-HH","higher vocational","64","0.784350988707291","0.694228732163162","0.874473245251419"
"No transfer dependency","1985","1-pers.-HH","higher education","95","0.911327320672876","0.856954038150301","0.965700603195451"
"No transfer dependency","1985","(Married) couple without C. ","in school","","","",""
"No transfer dependency","1985","(Married) couple without C. ","inadequately","56","0.672192242144224","0.57355411303127","0.770830371257177"
"No transfer dependency","1985","(Married) couple without C. ","general elemantary","495","0.871900234609419","0.844818422391529","0.898982046827309"
"No transfer dependency","1985","(Married) couple without C. ","middle vocational","1088","0.874757593278159","0.856617797990537","0.89289738856578"
"No transfer dependency","1985","(Married) couple without C. ","vocational + Abi","55","0.770433985710565","0.673960454740385","0.866907516680746"
"No transfer dependency","1985","(Married) couple without C. ","higher vocational","138","0.897937611290695","0.850279350695448","0.945595871885942"
"No transfer dependency","1985","(Married) couple without C. ","higher education","163","0.85465786810854","0.804934407439599","0.904381328777481"
"No transfer dependency","1985","Single parent ","in school","4","","",""
"No transfer dependency","1985","Single parent ","inadequately","12","","",""
"No transfer dependency","1985","Single parent ","general elemantary","54","0.285854292057352","0.222110894123507","0.349597689991197"
"No transfer dependency","1985","Single parent ","middle vocational","74","0.319072431028219","0.258569590157933","0.379575271898505"
"No transfer dependency","1985","Single parent ","vocational + Abi","4","","",""
"No transfer dependency","1985","Single parent ","higher vocational","9","","",""
"No transfer dependency","1985","Single parent ","higher education","9","","",""
"No transfer dependency","1985","Couple + C. LE 16 ","in school","","","",""
"No transfer dependency","1985","Couple + C. LE 16 ","inadequately","6","","",""
"No transfer dependency","1985","Couple + C. LE 16 ","general elemantary","17","","",""
"No transfer dependency","1985","Couple + C. LE 16 ","middle vocational","31","0.0248542537454591","0.0163422529321908","0.0333662545587275"
"No transfer dependency","1985","Couple + C. LE 16 ","vocational + Abi","3","","",""
"No transfer dependency","1985","Couple + C. LE 16 ","higher vocational","2","","",""
"No transfer dependency","1985","Couple + C. LE 16 ","higher education","11","","",""
"No transfer dependency","1985","Couple + C. GT 16 ","in school","4","","",""
"No transfer dependency","1985","Couple + C. GT 16 ","inadequately","59","0.424793962142893","0.33916040356791","0.510427520717876"
"No transfer dependency","1985","Couple + C. GT 16 ","general elemantary","204","0.345007414777756","0.306219843140466","0.383794986415046"
"No transfer dependency","1985","Couple + C. GT 16 ","middle vocational","329","0.391613993024761","0.358972484746393","0.424255501303128"
"No transfer dependency","1985","Couple + C. GT 16 ","vocational + Abi","13","","",""
"No transfer dependency","1985","Couple + C. GT 16 ","higher vocational","42","0.452621331109072","0.351459178959429","0.553783483258716"
"No transfer dependency","1985","Couple + C. GT 16 ","higher education","27","","",""
"No transfer dependency","1985","Couple + C. LE and GT 16","in school","1","","",""
"No transfer dependency","1985","Couple + C. LE and GT 16","inadequately","3","","",""
"No transfer dependency","1985","Couple + C. LE and GT 16","general elemantary","12","","",""
"No transfer dependency","1985","Couple + C. LE and GT 16","middle vocational","4","","",""
"No transfer dependency","1985","Couple + C. LE and GT 16","vocational + Abi","","","",""
"No transfer dependency","1985","Couple + C. LE and GT 16","higher vocational","","","",""
"No transfer dependency","1985","Couple + C. LE and GT 16","higher education","2","","",""
"Very low transfer dependency","1985","1-pers.-HH","in school","","","",""
"Very low transfer dependency","1985","1-pers.-HH","inadequately","12","","",""
"Very low transfer dependency","1985","1-pers.-HH","general elemantary","44","0.112257949450689","0.0784532066513321","0.146062692250045"
"Very low transfer dependency","1985","1-pers.-HH","middle vocational","59","0.0922014728823146","0.0679345094360445","0.116468436328585"
"Very low transfer dependency","1985","1-pers.-HH","vocational + Abi","4","","",""
"Very low transfer dependency","1985","1-pers.-HH","higher vocational","7","","",""
"Very low transfer dependency","1985","1-pers.-HH","higher education","6","","",""
"Very low transfer dependency","1985","(Married) couple without C. ","in school","","","",""
"Very low transfer dependency","1985","(Married) couple without C. ","inadequately","24","","",""
"Very low transfer dependency","1985","(Married) couple without C. ","general elemantary","67","0.0877292572782604","0.064804525782221","0.1106539887743"
"Very low transfer dependency","1985","(Married) couple without C. ","middle vocational","145","0.0937254409546838","0.0777529938241275","0.10969788808524"
"Very low transfer dependency","1985","(Married) couple without C. ","vocational + Abi","12","","",""
"Very low transfer dependency","1985","(Married) couple without C. ","higher vocational","10","","",""
"Very low transfer dependency","1985","(Married) couple without C. ","higher education","27","","",""
"Very low transfer dependency","1985","Single parent ","in school","14","","",""
"Very low transfer dependency","1985","Single parent ","inadequately","18","","",""
"Very low transfer dependency","1985","Single parent ","general elemantary","109","0.558885561906936","0.488835823449001","0.628935300364871"
"Very low transfer dependency","1985","Single parent ","middle vocational","125","0.551399710907965","0.486842656080257","0.615956765735672"
"Very low transfer dependency","1985","Single parent ","vocational + Abi","3","","",""
"Very low transfer dependency","1985","Single parent ","higher vocational","12","","",""
"Very low transfer dependency","1985","Single parent ","higher education","6","","",""
"Very low transfer dependency","1985","Couple + C. LE 16 ","in school","","","",""
"Very low transfer dependency","1985","Couple + C. LE 16 ","inadequately","219","0.832988176114245","0.786660400834308","0.879315951394183"
"Very low transfer dependency","1985","Couple + C. LE 16 ","general elemantary","476","0.866479828140094","0.83792349041458","0.895036165865609"
"Very low transfer dependency","1985","Couple + C. LE 16 ","middle vocational","1181","0.926063298347273","0.911756353604229","0.940370243090317"
"Very low transfer dependency","1985","Couple + C. LE 16 ","vocational + Abi","67","0.894980204677953","0.826054122505981","0.963906286849924"
"Very low transfer dependency","1985","Couple + C. LE 16 ","higher vocational","172","0.954688907350621","0.924388950547959","0.984988864153282"
"Very low transfer dependency","1985","Couple + C. LE 16 ","higher education","213","0.93651729144517","0.904937011602833","0.968097571287508"
"Very low transfer dependency","1985","Couple + C. GT 16 ","in school","68","0.894130419498332","0.824958898372286","0.963301940624379"
"Very low transfer dependency","1985","Couple + C. GT 16 ","inadequately","61","0.497099991863394","0.410482459793363","0.583717523933425"
"Very low transfer dependency","1985","Couple + C. GT 16 ","general elemantary","350","0.624815142138925","0.585309547010693","0.664320737267157"
"Very low transfer dependency","1985","Couple + C. GT 16 ","middle vocational","500","0.586197597776326","0.553261660261798","0.619133535290853"
"Very low transfer dependency","1985","Couple + C. GT 16 ","vocational + Abi","21","","",""
"Very low transfer dependency","1985","Couple + C. GT 16 ","higher vocational","48","0.523579079508203","0.422072738913554","0.625085420102853"
"Very low transfer dependency","1985","Couple + C. GT 16 ","higher education","64","0.709022871180184","0.616208820550064","0.801836921810303"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","in school","73","0.932799882638733","0.877590384098561","0.988009381178906"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","inadequately","163","0.847266474054133","0.796383243517133","0.898149704591134"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","general elemantary","441","0.917069948835023","0.892701788837404","0.941438108832641"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","middle vocational","522","0.96545857604226","0.950182955566355","0.980734196518165"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","vocational + Abi","13","","",""
"Very low transfer dependency","1985","Couple + C. LE and GT 16","higher vocational","33","1","1","1"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","higher education","45","0.951631586380883","0.890295719426048","1.01296745333572"
"Low transfer dependency","1985","1-pers.-HH","in school","","","",""
"Low transfer dependency","1985","1-pers.-HH","inadequately","3","","",""
"Low transfer dependency","1985","1-pers.-HH","general elemantary","8","","",""
