"transab_cat","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Low transfer dependency","1984","Not Employed","higher education","5","","",""
"Low transfer dependency","1984","Employed","in school","","","",""
"Low transfer dependency","1984","Employed","inadequately","36","0.0832527947130858","0.061506941396343","0.104998648029829"
"Low transfer dependency","1984","Employed","general elemantary","65","0.0318432750655999","0.0233738047191678","0.0403127454120321"
"Low transfer dependency","1984","Employed","middle vocational","126","0.0285601732487725","0.0231858562533713","0.0339344902441737"
"Low transfer dependency","1984","Employed","vocational + Abi","14","","",""
"Low transfer dependency","1984","Employed","higher vocational","9","","",""
"Low transfer dependency","1984","Employed","higher education","13","","",""
"High transfer dependency","1984","Not Employed","in school","1","","",""
"High transfer dependency","1984","Not Employed","inadequately","8","","",""
"High transfer dependency","1984","Not Employed","general elemantary","26","","",""
"High transfer dependency","1984","Not Employed","middle vocational","28","","",""
"High transfer dependency","1984","Not Employed","vocational + Abi","3","","",""
"High transfer dependency","1984","Not Employed","higher vocational","2","","",""
"High transfer dependency","1984","Not Employed","higher education","3","","",""
"High transfer dependency","1984","Employed","in school","","","",""
"High transfer dependency","1984","Employed","inadequately","8","","",""
"High transfer dependency","1984","Employed","general elemantary","20","","",""
"High transfer dependency","1984","Employed","middle vocational","22","","",""
"High transfer dependency","1984","Employed","vocational + Abi","6","","",""
"High transfer dependency","1984","Employed","higher vocational","3","","",""
"High transfer dependency","1984","Employed","higher education","1","","",""
"Very high transfer dependency","1984","Not Employed","in school","2","","",""
"Very high transfer dependency","1984","Not Employed","inadequately","9","","",""
"Very high transfer dependency","1984","Not Employed","general elemantary","12","","",""
"Very high transfer dependency","1984","Not Employed","middle vocational","10","","",""
"Very high transfer dependency","1984","Not Employed","vocational + Abi","1","","",""
"Very high transfer dependency","1984","Not Employed","higher vocational","4","","",""
"Very high transfer dependency","1984","Not Employed","higher education","1","","",""
"Very high transfer dependency","1984","Employed","in school","","","",""
"Very high transfer dependency","1984","Employed","inadequately","2","","",""
"Very high transfer dependency","1984","Employed","general elemantary","3","","",""
"Very high transfer dependency","1984","Employed","middle vocational","9","","",""
"Very high transfer dependency","1984","Employed","vocational + Abi","1","","",""
"Very high transfer dependency","1984","Employed","higher vocational","1","","",""
"Very high transfer dependency","1984","Employed","higher education","1","","",""
"Complete transfer dependency","1984","Not Employed","in school","","","",""
"Complete transfer dependency","1984","Not Employed","inadequately","21","","",""
"Complete transfer dependency","1984","Not Employed","general elemantary","51","0.0261821282535656","0.0185939543134173","0.0337703021937139"
"Complete transfer dependency","1984","Not Employed","middle vocational","63","0.0316590437172538","0.0236326022669536","0.0396854851675539"
"Complete transfer dependency","1984","Not Employed","vocational + Abi","5","","",""
"Complete transfer dependency","1984","Not Employed","higher vocational","9","","",""
"Complete transfer dependency","1984","Not Employed","higher education","6","","",""
"Complete transfer dependency","1984","Employed","in school","","","",""
"Complete transfer dependency","1984","Employed","inadequately","","","",""
"Complete transfer dependency","1984","Employed","general elemantary","","","",""
"Complete transfer dependency","1984","Employed","middle vocational","","","",""
"Complete transfer dependency","1984","Employed","vocational + Abi","","","",""
"Complete transfer dependency","1984","Employed","higher vocational","","","",""
"Complete transfer dependency","1984","Employed","higher education","","","",""
"No transfer dependency","1985","Not Employed","in school","9","","",""
"No transfer dependency","1985","Not Employed","inadequately","49","0.224551990253973","0.179044631791261","0.270059348716686"
"No transfer dependency","1985","Not Employed","general elemantary","690","0.582514058424298","0.557549642594667","0.607478474253929"
"No transfer dependency","1985","Not Employed","middle vocational","840","0.610226028867073","0.586884282763034","0.633567774971111"
"No transfer dependency","1985","Not Employed","vocational + Abi","34","0.559451913782056","0.447837743208948","0.671066084355163"
"No transfer dependency","1985","Not Employed","higher vocational","97","0.673443206076483","0.601671046053561","0.745215366099405"
"No transfer dependency","1985","Not Employed","higher education","87","0.710430496365604","0.637109791317387","0.78375120141382"
"No transfer dependency","1985","Employed","in school","","","",""
"No transfer dependency","1985","Employed","inadequately","136","0.346253412230404","0.303954255941267","0.38855256851954"
"No transfer dependency","1985","Employed","general elemantary","439","0.36156268051402","0.337035350148873","0.386090010879167"
"No transfer dependency","1985","Employed","middle vocational","1226","0.424846397051552","0.408036843886984","0.44165595021612"
"No transfer dependency","1985","Employed","vocational + Abi","83","0.556299472174444","0.485841408457143","0.626757535891745"
"No transfer dependency","1985","Employed","higher vocational","171","0.436829460720957","0.389839819331168","0.483819102110746"
"No transfer dependency","1985","Employed","higher education","238","0.46877772736442","0.427810904358862","0.509744550369977"
"Very low transfer dependency","1985","Not Employed","in school","151","0.861152997022169","0.809774442641129","0.912531551403209"
"Very low transfer dependency","1985","Not Employed","inadequately","205","0.519330216408151","0.46484332429366","0.573817108522641"
"Very low transfer dependency","1985","Not Employed","general elemantary","668","0.341301302163513","0.317298626892034","0.365303977434992"
"Very low transfer dependency","1985","Not Employed","middle vocational","684","0.316755583947491","0.294490120203011","0.339021047691971"
"Very low transfer dependency","1985","Not Employed","vocational + Abi","31","0.333538919748577","0.227539875318281","0.439537964178873"
"Very low transfer dependency","1985","Not Employed","higher vocational","54","0.253971969528343","0.187353195960593","0.320590743096092"
"Very low transfer dependency","1985","Not Employed","higher education","50","0.247025774264472","0.177306860268016","0.316744688260928"
"Very low transfer dependency","1985","Employed","in school","7","","",""
"Very low transfer dependency","1985","Employed","inadequately","332","0.598715503449153","0.555137593299955","0.642293413598351"
"Very low transfer dependency","1985","Employed","general elemantary","960","0.590382637294584","0.565277921096505","0.615487353492662"
"Very low transfer dependency","1985","Employed","middle vocational","1986","0.54588379659524","0.528952825128316","0.562814768062165"
"Very low transfer dependency","1985","Employed","vocational + Abi","95","0.396909749187227","0.327524293534184","0.46629520484027"
"Very low transfer dependency","1985","Employed","higher vocational","241","0.523450979599846","0.476133892012617","0.570768067187076"
"Very low transfer dependency","1985","Employed","higher education","327","0.521930513753622","0.480923086839369","0.562937940667874"
"Low transfer dependency","1985","Not Employed","in school","8","","",""
"Low transfer dependency","1985","Not Employed","inadequately","35","0.123164892894077","0.0873264393228845","0.15900334646527"
"Low transfer dependency","1985","Not Employed","general elemantary","53","0.0256990718036811","0.0176887022650754","0.0337094413422868"
"Low transfer dependency","1985","Not Employed","middle vocational","60","0.0251069007672401","0.017619059818177","0.0325947417163031"
"Low transfer dependency","1985","Not Employed","vocational + Abi","6","","",""
"Low transfer dependency","1985","Not Employed","higher vocational","5","","",""
"Low transfer dependency","1985","Not Employed","higher education","6","","",""
"Low transfer dependency","1985","Employed","in school","","","",""
"Low transfer dependency","1985","Employed","inadequately","17","","",""
"Low transfer dependency","1985","Employed","general elemantary","60","0.0362310865199206","0.0266915673450688","0.0457706056947724"
"Low transfer dependency","1985","Employed","middle vocational","74","0.0189743650627076","0.0143348554276581","0.0236138746977572"
"Low transfer dependency","1985","Employed","vocational + Abi","9","","",""
"Low transfer dependency","1985","Employed","higher vocational","10","","",""
"Low transfer dependency","1985","Employed","higher education","4","","",""
"High transfer dependency","1985","Not Employed","in school","2","","",""
"High transfer dependency","1985","Not Employed","inadequately","10","","",""
"High transfer dependency","1985","Not Employed","general elemantary","30","0.017015183442002","0.0104682338479834","0.0235621330360206"
"High transfer dependency","1985","Not Employed","middle vocational","28","","",""
"High transfer dependency","1985","Not Employed","vocational + Abi","2","","",""
"High transfer dependency","1985","Not Employed","higher vocational","4","","",""
"High transfer dependency","1985","Not Employed","higher education","3","","",""
"High transfer dependency","1985","Employed","in school","","","",""
"High transfer dependency","1985","Employed","inadequately","1","","",""
"High transfer dependency","1985","Employed","general elemantary","13","","",""
"High transfer dependency","1985","Employed","middle vocational","29","","",""
"High transfer dependency","1985","Employed","vocational + Abi","4","","",""
"High transfer dependency","1985","Employed","higher vocational","6","","",""
"High transfer dependency","1985","Employed","higher education","1","","",""
"Very high transfer dependency","1985","Not Employed","in school","3","","",""
"Very high transfer dependency","1985","Not Employed","inadequately","6","","",""
"Very high transfer dependency","1985","Not Employed","general elemantary","17","","",""
"Very high transfer dependency","1985","Not Employed","middle vocational","29","","",""
"Very high transfer dependency","1985","Not Employed","vocational + Abi","2","","",""
"Very high transfer dependency","1985","Not Employed","higher vocational","2","","",""
"Very high transfer dependency","1985","Not Employed","higher education","1","","",""
"Very high transfer dependency","1985","Employed","in school","","","",""
"Very high transfer dependency","1985","Employed","inadequately","","","",""
"Very high transfer dependency","1985","Employed","general elemantary","2","","",""
"Very high transfer dependency","1985","Employed","middle vocational","7","","",""
"Very high transfer dependency","1985","Employed","vocational + Abi","","","",""
"Very high transfer dependency","1985","Employed","higher vocational","","","",""
"Very high transfer dependency","1985","Employed","higher education","","","",""
"Complete transfer dependency","1985","Not Employed","in school","1","","",""
"Complete transfer dependency","1985","Not Employed","inadequately","18","","",""
"Complete transfer dependency","1985","Not Employed","general elemantary","41","0.0234977500765956","0.015829486382053","0.0311660137711382"
"Complete transfer dependency","1985","Not Employed","middle vocational","36","0.0193743163195038","0.0127773178304465","0.025971314808561"
"Complete transfer dependency","1985","Not Employed","vocational + Abi","1","","",""
"Complete transfer dependency","1985","Not Employed","higher vocational","2","","",""
"Complete transfer dependency","1985","Not Employed","higher education","","","",""
"Complete transfer dependency","1985","Employed","in school","","","",""
"Complete transfer dependency","1985","Employed","inadequately","","","",""
"Complete transfer dependency","1985","Employed","general elemantary","","","",""
"Complete transfer dependency","1985","Employed","middle vocational","","","",""
"Complete transfer dependency","1985","Employed","vocational + Abi","","","",""
"Complete transfer dependency","1985","Employed","higher vocational","","","",""
"Complete transfer dependency","1985","Employed","higher education","","","",""
"No transfer dependency","1986","Not Employed","in school","10","","",""
"No transfer dependency","1986","Not Employed","inadequately","47","0.237135198395756","0.189635097484749","0.284635299306763"
"No transfer dependency","1986","Not Employed","general elemantary","620","0.609725628064144","0.583489406181989","0.635961849946299"
"No transfer dependency","1986","Not Employed","middle vocational","782","0.590712674448715","0.566581967805944","0.614843381091486"
"No transfer dependency","1986","Not Employed","vocational + Abi","37","0.649815434249478","0.538066707739024","0.761564160759932"
"No transfer dependency","1986","Not Employed","higher vocational","93","0.654333254332034","0.58064192407301","0.728024584591059"
"No transfer dependency","1986","Not Employed","higher education","75","0.656986178402214","0.577783024743485","0.736189332060943"
"No transfer dependency","1986","Employed","in school","","","",""
"No transfer dependency","1986","Employed","inadequately","123","0.329195339818283","0.285583386707338","0.372807292929227"
"No transfer dependency","1986","Employed","general elemantary","469","0.385138215577454","0.360099534856928","0.41017689629798"
"No transfer dependency","1986","Employed","middle vocational","1256","0.439423304304293","0.422280604596789","0.456566004011798"
"No transfer dependency","1986","Employed","vocational + Abi","87","0.583239110989809","0.513501948233243","0.652976273746375"
"No transfer dependency","1986","Employed","higher vocational","157","0.440909305635602","0.391946611379609","0.489871999891595"
"No transfer dependency","1986","Employed","higher education","237","0.45310845817162","0.412420503723261","0.49379641261998"
"Very low transfer dependency","1986","Not Employed","in school","159","0.881293536773051","0.833508796202513","0.929078277343589"
"Very low transfer dependency","1986","Not Employed","inadequately","196","0.53183100577495","0.476104619201873","0.587557392348028"
"Very low transfer dependency","1986","Not Employed","general elemantary","589","0.315620943351687","0.290624379320361","0.340617507383013"
"Very low transfer dependency","1986","Not Employed","middle vocational","691","0.343147740217929","0.319848478053356","0.366447002382502"
"Very low transfer dependency","1986","Not Employed","vocational + Abi","23","","",""
"Very low transfer dependency","1986","Not Employed","higher vocational","50","0.228395140375226","0.163347880536003","0.29344240021445"
"Very low transfer dependency","1986","Not Employed","higher education","52","0.273848152569775","0.199447425637119","0.348248879502432"
"Very low transfer dependency","1986","Employed","in school","5","","",""
"Very low transfer dependency","1986","Employed","inadequately","294","0.599486488617045","0.554010835283569","0.644962141950521"
"Very low transfer dependency","1986","Employed","general elemantary","920","0.573536643726365","0.548089688227303","0.598983599225428"
"Very low transfer dependency","1986","Employed","middle vocational","1846","0.522861342809575","0.505609490795276","0.540113194823875"
"Very low transfer dependency","1986","Employed","vocational + Abi","89","0.338105858490559","0.271191688817985","0.405020028163133"
"Very low transfer dependency","1986","Employed","higher vocational","231","0.539326238099167","0.490170745070081","0.588481731128254"
"Very low transfer dependency","1986","Employed","higher education","329","0.526062919110458","0.485250404078867","0.566875434142048"
"Low transfer dependency","1986","Not Employed","in school","3","","",""
"Low transfer dependency","1986","Not Employed","inadequately","31","0.082699976396431","0.0519403449252581","0.113459607867604"
"Low transfer dependency","1986","Not Employed","general elemantary","48","0.0297300757311321","0.0205953955623728","0.0388647558998914"
"Low transfer dependency","1986","Not Employed","middle vocational","47","0.024461666768655","0.01688055429554","0.03204277924177"
"Low transfer dependency","1986","Not Employed","vocational + Abi","5","","",""
"Low transfer dependency","1986","Not Employed","higher vocational","6","","",""
"Low transfer dependency","1986","Not Employed","higher education","2","","",""
"Low transfer dependency","1986","Employed","in school","","","",""
"Low transfer dependency","1986","Employed","inadequately","25","","",""
"Low transfer dependency","1986","Employed","general elemantary","40","0.0246206166898065","0.0166470866633332","0.0325941467162799"
"Low transfer dependency","1986","Employed","middle vocational","88","0.0271641812012673","0.0215493301386459","0.0327790322638887"
"Low transfer dependency","1986","Employed","vocational + Abi","10","","",""
"Low transfer dependency","1986","Employed","higher vocational","6","","",""
"Low transfer dependency","1986","Employed","higher education","8","","",""
"High transfer dependency","1986","Not Employed","in school","2","","",""
"High transfer dependency","1986","Not Employed","inadequately","14","","",""
"High transfer dependency","1986","Not Employed","general elemantary","24","","",""
"High transfer dependency","1986","Not Employed","middle vocational","23","","",""
"High transfer dependency","1986","Not Employed","vocational + Abi","2","","",""
"High transfer dependency","1986","Not Employed","higher vocational","3","","",""
"High transfer dependency","1986","Not Employed","higher education","2","","",""
"High transfer dependency","1986","Employed","in school","","","",""
"High transfer dependency","1986","Employed","inadequately","2","","",""
"High transfer dependency","1986","Employed","general elemantary","18","","",""
"High transfer dependency","1986","Employed","middle vocational","24","","",""
"High transfer dependency","1986","Employed","vocational + Abi","5","","",""
"High transfer dependency","1986","Employed","higher vocational","1","","",""
"High transfer dependency","1986","Employed","higher education","1","","",""
"Very high transfer dependency","1986","Not Employed","in school","2","","",""
"Very high transfer dependency","1986","Not Employed","inadequately","9","","",""
"Very high transfer dependency","1986","Not Employed","general elemantary","9","","",""
"Very high transfer dependency","1986","Not Employed","middle vocational","27","","",""
"Very high transfer dependency","1986","Not Employed","vocational + Abi","2","","",""
"Very high transfer dependency","1986","Not Employed","higher vocational","3","","",""
"Very high transfer dependency","1986","Not Employed","higher education","2","","",""
"Very high transfer dependency","1986","Employed","in school","","","",""
"Very high transfer dependency","1986","Employed","inadequately","2","","",""
"Very high transfer dependency","1986","Employed","general elemantary","4","","",""
"Very high transfer dependency","1986","Employed","middle vocational","6","","",""
"Very high transfer dependency","1986","Employed","vocational + Abi","1","","",""
"Very high transfer dependency","1986","Employed","higher vocational","","","",""
"Very high transfer dependency","1986","Employed","higher education","","","",""
"Complete transfer dependency","1986","Not Employed","in school","","","",""
"Complete transfer dependency","1986","Not Employed","inadequately","11","","",""
"Complete transfer dependency","1986","Not Employed","general elemantary","38","0.0238696982194984","0.0156600147099671","0.0320793817290296"
"Complete transfer dependency","1986","Not Employed","middle vocational","25","","",""
"Complete transfer dependency","1986","Not Employed","vocational + Abi","1","","",""
"Complete transfer dependency","1986","Not Employed","higher vocational","5","","",""
"Complete transfer dependency","1986","Not Employed","higher education","5","","",""
"Complete transfer dependency","1986","Employed","in school","","","",""
"Complete transfer dependency","1986","Employed","inadequately","","","",""
"Complete transfer dependency","1986","Employed","general elemantary","","","",""
"Complete transfer dependency","1986","Employed","middle vocational","","","",""
"Complete transfer dependency","1986","Employed","vocational + Abi","","","",""
"Complete transfer dependency","1986","Employed","higher vocational","","","",""
"Complete transfer dependency","1986","Employed","higher education","","","",""
"No transfer dependency","1987","Not Employed","in school","12","","",""
"No transfer dependency","1987","Not Employed","inadequately","43","0.181525358720235","0.136377169005177","0.226673548435293"
"No transfer dependency","1987","Not Employed","general elemantary","610","0.640101970844231","0.613694208898741","0.666509732789721"
"No transfer dependency","1987","Not Employed","middle vocational","778","0.609562519618753","0.585236630230326","0.633888409007179"
"No transfer dependency","1987","Not Employed","vocational + Abi","40","0.632409367617934","0.520259108455301","0.744559626780566"
"No transfer dependency","1987","Not Employed","higher vocational","85","0.634821594184466","0.559746145327986","0.709897043040945"
"No transfer dependency","1987","Not Employed","higher education","74","0.621599497690863","0.541262563776276","0.701936431605449"
"No transfer dependency","1987","Employed","in school","","","",""
"No transfer dependency","1987","Employed","inadequately","123","0.296976959635552","0.254618467963045","0.339335451308058"
"No transfer dependency","1987","Employed","general elemantary","477","0.421117012541883","0.395721231769119","0.446512793314647"
"No transfer dependency","1987","Employed","middle vocational","1287","0.462950912201048","0.445647680902048","0.480254143500047"
"No transfer dependency","1987","Employed","vocational + Abi","88","0.558414271897799","0.488716875594065","0.628111668201533"
"No transfer dependency","1987","Employed","higher vocational","146","0.415345395568604","0.36624929545876","0.464441495678449"
"No transfer dependency","1987","Employed","higher education","236","0.458845646003666","0.417937994338296","0.499753297669036"
"Very low transfer dependency","1987","Not Employed","in school","146","0.835657868413089","0.779950538680309","0.891365198145869"
"Very low transfer dependency","1987","Not Employed","inadequately","187","0.607702118315345","0.55051181077391","0.664892425856779"
"Very low transfer dependency","1987","Not Employed","general elemantary","547","0.289657429013612","0.264700362459443","0.31461449556778"
"Very low transfer dependency","1987","Not Employed","middle vocational","631","0.314246152146186","0.291098712521015","0.337393591771356"
"Very low transfer dependency","1987","Not Employed","vocational + Abi","21","","",""
"Very low transfer dependency","1987","Not Employed","higher vocational","62","0.302281542733029","0.230672895667685","0.373890189798374"
"Very low transfer dependency","1987","Not Employed","higher education","53","0.272267438062539","0.198533432158293","0.346001443966785"
"Very low transfer dependency","1987","Employed","in school","10","","",""
"Very low transfer dependency","1987","Employed","inadequately","300","0.618579749376144","0.573550567942222","0.663608930810067"
"Very low transfer dependency","1987","Employed","general elemantary","896","0.523199364135498","0.497509204700125","0.54888952357087"
"Very low transfer dependency","1987","Employed","middle vocational","1806","0.50761680261251","0.490267886135633","0.524965719089386"
"Very low transfer dependency","1987","Employed","vocational + Abi","98","0.400347316165461","0.331577298334694","0.469117333996228"
"Very low transfer dependency","1987","Employed","higher vocational","230","0.553710641927213","0.504183609197433","0.603237674656992"
"Very low transfer dependency","1987","Employed","higher education","322","0.518423603292232","0.477404549054042","0.559442657530423"
"Low transfer dependency","1987","Not Employed","in school","8","","",""
"Low transfer dependency","1987","Not Employed","inadequately","17","","",""
"Low transfer dependency","1987","Not Employed","general elemantary","57","0.0363837051992912","0.0260816752118532","0.0466857351867292"
"Low transfer dependency","1987","Not Employed","middle vocational","65","0.0340849676229609","0.025037339235764","0.0431325960101579"
"Low transfer dependency","1987","Not Employed","vocational + Abi","4","","",""
"Low transfer dependency","1987","Not Employed","higher vocational","5","","",""
"Low transfer dependency","1987","Not Employed","higher education","5","","",""
"Low transfer dependency","1987","Employed","in school","","","",""
"Low transfer dependency","1987","Employed","inadequately","16","","",""
"Low transfer dependency","1987","Employed","general elemantary","61","0.04055789842007","0.0304115005004104","0.0507042963397296"
"Low transfer dependency","1987","Employed","middle vocational","69","0.0216364516995394","0.016587561790781","0.0266853416082977"
"Low transfer dependency","1987","Employed","vocational + Abi","5","","",""
"Low transfer dependency","1987","Employed","higher vocational","8","","",""
"Low transfer dependency","1987","Employed","higher education","11","","",""
"High transfer dependency","1987","Not Employed","in school","3","","",""
"High transfer dependency","1987","Not Employed","inadequately","15","","",""
"High transfer dependency","1987","Not Employed","general elemantary","18","","",""
"High transfer dependency","1987","Not Employed","middle vocational","19","","",""
"High transfer dependency","1987","Not Employed","vocational + Abi","2","","",""
"High transfer dependency","1987","Not Employed","higher vocational","2","","",""
"High transfer dependency","1987","Not Employed","higher education","2","","",""
"High transfer dependency","1987","Employed","in school","","","",""
"High transfer dependency","1987","Employed","inadequately","7","","",""
"High transfer dependency","1987","Employed","general elemantary","11","","",""
"High transfer dependency","1987","Employed","middle vocational","25","","",""
"High transfer dependency","1987","Employed","vocational + Abi","4","","",""
"High transfer dependency","1987","Employed","higher vocational","2","","",""
"High transfer dependency","1987","Employed","higher education","","","",""
"Very high transfer dependency","1987","Not Employed","in school","1","","",""
"Very high transfer dependency","1987","Not Employed","inadequately","5","","",""
"Very high transfer dependency","1987","Not Employed","general elemantary","9","","",""
"Very high transfer dependency","1987","Not Employed","middle vocational","27","","",""
"Very high transfer dependency","1987","Not Employed","vocational + Abi","3","","",""
"Very high transfer dependency","1987","Not Employed","higher vocational","3","","",""
"Very high transfer dependency","1987","Not Employed","higher education","2","","",""
"Very high transfer dependency","1987","Employed","in school","","","",""
"Very high transfer dependency","1987","Employed","inadequately","1","","",""
"Very high transfer dependency","1987","Employed","general elemantary","7","","",""
"Very high transfer dependency","1987","Employed","middle vocational","3","","",""
"Very high transfer dependency","1987","Employed","vocational + Abi","","","",""
"Very high transfer dependency","1987","Employed","higher vocational","1","","",""
"Very high transfer dependency","1987","Employed","higher education","1","","",""
"Complete transfer dependency","1987","Not Employed","in school","","","",""
"Complete transfer dependency","1987","Not Employed","inadequately","13","","",""
"Complete transfer dependency","1987","Not Employed","general elemantary","28","","",""
"Complete transfer dependency","1987","Not Employed","middle vocational","25","","",""
"Complete transfer dependency","1987","Not Employed","vocational + Abi","1","","",""
"Complete transfer dependency","1987","Not Employed","higher vocational","1","","",""
"Complete transfer dependency","1987","Not Employed","higher education","4","","",""
"Complete transfer dependency","1987","Employed","in school","","","",""
"Complete transfer dependency","1987","Employed","inadequately","","","",""
"Complete transfer dependency","1987","Employed","general elemantary","","","",""
"Complete transfer dependency","1987","Employed","middle vocational","","","",""
"Complete transfer dependency","1987","Employed","vocational + Abi","","","",""
"Complete transfer dependency","1987","Employed","higher vocational","","","",""
"Complete transfer dependency","1987","Employed","higher education","","","",""
"No transfer dependency","1988","Not Employed","in school","8","","",""
"No transfer dependency","1988","Not Employed","inadequately","47","0.203179742373931","0.156628901677069","0.249730583070793"
"No transfer dependency","1988","Not Employed","general elemantary","568","0.642316163322111","0.614979391657078","0.669652934987143"
"No transfer dependency","1988","Not Employed","middle vocational","768","0.638493856587215","0.613739592036282","0.663248121138148"
"No transfer dependency","1988","Not Employed","vocational + Abi","40","0.697721800301951","0.589362022577905","0.806081578025997"
"No transfer dependency","1988","Not Employed","higher vocational","75","0.599817040561773","0.52061650482325","0.679017576300296"
"No transfer dependency","1988","Not Employed","higher education","73","0.68126552431693","0.599576104603004","0.762954944030856"
"No transfer dependency","1988","Employed","in school","","","",""
"No transfer dependency","1988","Employed","inadequately","111","0.288889990269978","0.243732764670246","0.334047215869709"
"No transfer dependency","1988","Employed","general elemantary","468","0.42610529514182","0.400474938657151","0.45173565162649"
"No transfer dependency","1988","Employed","middle vocational","1254","0.47854206819457","0.460822448816633","0.496261687572507"
"No transfer dependency","1988","Employed","vocational + Abi","79","0.508589412574972","0.43750453780535","0.579674287344595"
"No transfer dependency","1988","Employed","higher vocational","151","0.493899215153031","0.4423963394165","0.545402090889561"
"No transfer dependency","1988","Employed","higher education","231","0.517126332497112","0.473842251767746","0.560410413226477"
"Very low transfer dependency","1988","Not Employed","in school","125","0.838647675685165","0.778565696327548","0.898729655042782"
"Very low transfer dependency","1988","Not Employed","inadequately","183","0.56604596021547","0.508706333925205","0.623385586505736"
"Very low transfer dependency","1988","Not Employed","general elemantary","494","0.28013179959385","0.254520545638987","0.305743053548712"
"Very low transfer dependency","1988","Not Employed","middle vocational","570","0.29697295982917","0.273430150036145","0.320515769622195"
"Very low transfer dependency","1988","Not Employed","vocational + Abi","25","","",""
"Very low transfer dependency","1988","Not Employed","higher vocational","62","0.332227757680261","0.256086234156872","0.408369281203651"
"Very low transfer dependency","1988","Not Employed","higher education","46","0.283501100331751","0.204491798742672","0.36251040192083"
"Very low transfer dependency","1988","Employed","in school","6","","",""
"Very low transfer dependency","1988","Employed","inadequately","252","0.618488474978088","0.570092165505346","0.66688478445083"
"Very low transfer dependency","1988","Employed","general elemantary","890","0.519400185235771","0.493504767463042","0.545295603008499"
"Very low transfer dependency","1988","Employed","middle vocational","1716","0.493119927599053","0.475385647059501","0.510854208138604"
"Very low transfer dependency","1988","Employed","vocational + Abi","102","0.45997095923562","0.389103795021651","0.530838123449589"
"Very low transfer dependency","1988","Employed","higher vocational","202","0.483095707571959","0.431618442603785","0.534572972540133"
"Very low transfer dependency","1988","Employed","higher education","274","0.467266703395594","0.424050118076985","0.510483288714202"
"Low transfer dependency","1988","Not Employed","in school","7","","",""
