"transab_cat","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Very high transfer dependency","1984","Full Time","Other degree","","","",""
"Very high transfer dependency","1984","Full Time","no degree/no degree yet","","","",""
"Very high transfer dependency","1984","Part Time","lower secondary degree","6","","",""
"Very high transfer dependency","1984","Part Time","secondary school degree","","","",""
"Very high transfer dependency","1984","Part Time","college entrance qualification","7","","",""
"Very high transfer dependency","1984","Part Time","Other degree","1","","",""
"Very high transfer dependency","1984","Part Time","no degree/no degree yet","1","","",""
"Very high transfer dependency","1984","Not Working","lower secondary degree","16","","",""
"Very high transfer dependency","1984","Not Working","secondary school degree","4","","",""
"Very high transfer dependency","1984","Not Working","college entrance qualification","1","","",""
"Very high transfer dependency","1984","Not Working","Other degree","5","","",""
"Very high transfer dependency","1984","Not Working","no degree/no degree yet","13","","",""
"Complete transfer dependency","1984","Full Time","lower secondary degree","","","",""
"Complete transfer dependency","1984","Full Time","secondary school degree","","","",""
"Complete transfer dependency","1984","Full Time","college entrance qualification","","","",""
"Complete transfer dependency","1984","Full Time","Other degree","","","",""
"Complete transfer dependency","1984","Full Time","no degree/no degree yet","","","",""
"Complete transfer dependency","1984","Part Time","lower secondary degree","","","",""
"Complete transfer dependency","1984","Part Time","secondary school degree","","","",""
"Complete transfer dependency","1984","Part Time","college entrance qualification","","","",""
"Complete transfer dependency","1984","Part Time","Other degree","","","",""
"Complete transfer dependency","1984","Part Time","no degree/no degree yet","","","",""
"Complete transfer dependency","1984","Not Working","lower secondary degree","80","0.0287076908501278","0.0222341518078017","0.0351812298924539"
"Complete transfer dependency","1984","Not Working","secondary school degree","15","","",""
"Complete transfer dependency","1984","Not Working","college entrance qualification","23","","",""
"Complete transfer dependency","1984","Not Working","Other degree","14","","",""
"Complete transfer dependency","1984","Not Working","no degree/no degree yet","23","","",""
"No transfer dependency","1985","Full Time","lower secondary degree","878","0.454770804481346","0.433785964068795","0.475755644893897"
"No transfer dependency","1985","Full Time","secondary school degree","391","0.501376596413548","0.467422361527808","0.535330831299288"
"No transfer dependency","1985","Full Time","college entrance qualification","249","0.525304772433026","0.482508065521455","0.568101479344597"
"No transfer dependency","1985","Full Time","Other degree","204","0.311736127888117","0.278519247304921","0.344953008471313"
"No transfer dependency","1985","Full Time","no degree/no degree yet","129","0.388041276941685","0.342142176902603","0.433940376980767"
"No transfer dependency","1985","Part Time","lower secondary degree","226","0.294982344130918","0.265021703488141","0.324942984773695"
"No transfer dependency","1985","Part Time","secondary school degree","74","0.261684283766361","0.214685314969523","0.308683252563199"
"No transfer dependency","1985","Part Time","college entrance qualification","97","0.400268850952258","0.340828407940602","0.459709293963915"
"No transfer dependency","1985","Part Time","Other degree","27","","",""
"No transfer dependency","1985","Part Time","no degree/no degree yet","14","","",""
"No transfer dependency","1985","Not Working","lower secondary degree","1268","0.646682080781653","0.62705732892748","0.666306832635825"
"No transfer dependency","1985","Not Working","secondary school degree","263","0.526322297817317","0.486956305004647","0.565688290629986"
"No transfer dependency","1985","Not Working","college entrance qualification","160","0.510204767796102","0.459676582432225","0.560732953159979"
"No transfer dependency","1985","Not Working","Other degree","48","0.258058993456572","0.204871980077749","0.311246006835395"
"No transfer dependency","1985","Not Working","no degree/no degree yet","64","0.1486945296927","0.117846470270697","0.179542589114703"
"Very low transfer dependency","1985","Full Time","lower secondary degree","1251","0.531025715632148","0.509995093395489","0.552056337868808"
"Very low transfer dependency","1985","Full Time","secondary school degree","429","0.484802229439379","0.450863554519783","0.518740904358974"
"Very low transfer dependency","1985","Full Time","college entrance qualification","271","0.471423413803681","0.428641837557831","0.51420499004953"
"Very low transfer dependency","1985","Full Time","Other degree","518","0.660534469822463","0.626577152413363","0.694491787231563"
"Very low transfer dependency","1985","Full Time","no degree/no degree yet","294","0.59420347254943","0.547951964383859","0.640454980715001"
"Very low transfer dependency","1985","Part Time","lower secondary degree","586","0.617764093551716","0.585839148427607","0.649689038675825"
"Very low transfer dependency","1985","Part Time","secondary school degree","250","0.705219036761312","0.656467289800998","0.753970783721625"
"Very low transfer dependency","1985","Part Time","college entrance qualification","138","0.497402151391104","0.436743607667217","0.558060695114992"
"Very low transfer dependency","1985","Part Time","Other degree","114","0.620016697397477","0.545730159909634","0.69430323488532"
"Very low transfer dependency","1985","Part Time","no degree/no degree yet","85","0.800148437085834","0.725756536087004","0.874540338084664"
"Very low transfer dependency","1985","Not Working","lower secondary degree","823","0.279102281270893","0.260686317701574","0.297518244840213"
"Very low transfer dependency","1985","Not Working","secondary school degree","310","0.419565844510359","0.380658606929169","0.458473082091549"
"Very low transfer dependency","1985","Not Working","college entrance qualification","175","0.399112601794206","0.349613372507853","0.44861183108056"
"Very low transfer dependency","1985","Not Working","Other degree","158","0.535125329906145","0.47449958149519","0.595751078317101"
"Very low transfer dependency","1985","Not Working","no degree/no degree yet","365","0.710224823990419","0.670891001456067","0.749558646524771"
"Low transfer dependency","1985","Full Time","lower secondary degree","28","","",""
"Low transfer dependency","1985","Full Time","secondary school degree","13","","",""
"Low transfer dependency","1985","Full Time","college entrance qualification","2","","",""
"Low transfer dependency","1985","Full Time","Other degree","23","","",""
"Low transfer dependency","1985","Full Time","no degree/no degree yet","10","","",""
"Low transfer dependency","1985","Part Time","lower secondary degree","56","0.0586389624174924","0.0432033332684475","0.0740745915665374"
"Low transfer dependency","1985","Part Time","secondary school degree","4","","",""
"Low transfer dependency","1985","Part Time","college entrance qualification","13","","",""
"Low transfer dependency","1985","Part Time","Other degree","14","","",""
"Low transfer dependency","1985","Part Time","no degree/no degree yet","10","","",""
"Low transfer dependency","1985","Not Working","lower secondary degree","75","0.0275494911874967","0.020829534505776","0.0342694478692175"
"Low transfer dependency","1985","Not Working","secondary school degree","17","","",""
"Low transfer dependency","1985","Not Working","college entrance qualification","15","","",""
"Low transfer dependency","1985","Not Working","Other degree","24","","",""
"Low transfer dependency","1985","Not Working","no degree/no degree yet","42","0.0677296315232767","0.045942606222354","0.0895166568241995"
"High transfer dependency","1985","Full Time","lower secondary degree","6","","",""
"High transfer dependency","1985","Full Time","secondary school degree","","","",""
"High transfer dependency","1985","Full Time","college entrance qualification","1","","",""
"High transfer dependency","1985","Full Time","Other degree","2","","",""
"High transfer dependency","1985","Full Time","no degree/no degree yet","","","",""
"High transfer dependency","1985","Part Time","lower secondary degree","18","","",""
"High transfer dependency","1985","Part Time","secondary school degree","7","","",""
"High transfer dependency","1985","Part Time","college entrance qualification","11","","",""
"High transfer dependency","1985","Part Time","Other degree","7","","",""
"High transfer dependency","1985","Part Time","no degree/no degree yet","2","","",""
"High transfer dependency","1985","Not Working","lower secondary degree","33","0.0136620571362058","0.00889613604948527","0.0184279782229264"
"High transfer dependency","1985","Not Working","secondary school degree","7","","",""
"High transfer dependency","1985","Not Working","college entrance qualification","14","","",""
"High transfer dependency","1985","Not Working","Other degree","14","","",""
"High transfer dependency","1985","Not Working","no degree/no degree yet","10","","",""
"Very high transfer dependency","1985","Full Time","lower secondary degree","","","",""
"Very high transfer dependency","1985","Full Time","secondary school degree","","","",""
"Very high transfer dependency","1985","Full Time","college entrance qualification","","","",""
"Very high transfer dependency","1985","Full Time","Other degree","","","",""
"Very high transfer dependency","1985","Full Time","no degree/no degree yet","","","",""
"Very high transfer dependency","1985","Part Time","lower secondary degree","4","","",""
"Very high transfer dependency","1985","Part Time","secondary school degree","1","","",""
"Very high transfer dependency","1985","Part Time","college entrance qualification","2","","",""
"Very high transfer dependency","1985","Part Time","Other degree","2","","",""
"Very high transfer dependency","1985","Part Time","no degree/no degree yet","","","",""
"Very high transfer dependency","1985","Not Working","lower secondary degree","27","","",""
"Very high transfer dependency","1985","Not Working","secondary school degree","9","","",""
"Very high transfer dependency","1985","Not Working","college entrance qualification","10","","",""
"Very high transfer dependency","1985","Not Working","Other degree","4","","",""
"Very high transfer dependency","1985","Not Working","no degree/no degree yet","10","","",""
"Complete transfer dependency","1985","Full Time","lower secondary degree","","","",""
"Complete transfer dependency","1985","Full Time","secondary school degree","","","",""
"Complete transfer dependency","1985","Full Time","college entrance qualification","","","",""
"Complete transfer dependency","1985","Full Time","Other degree","","","",""
"Complete transfer dependency","1985","Full Time","no degree/no degree yet","","","",""
"Complete transfer dependency","1985","Part Time","lower secondary degree","","","",""
"Complete transfer dependency","1985","Part Time","secondary school degree","","","",""
"Complete transfer dependency","1985","Part Time","college entrance qualification","","","",""
"Complete transfer dependency","1985","Part Time","Other degree","","","",""
"Complete transfer dependency","1985","Part Time","no degree/no degree yet","","","",""
"Complete transfer dependency","1985","Not Working","lower secondary degree","53","0.0216612791009411","0.0156845633882843","0.0276379948135979"
"Complete transfer dependency","1985","Not Working","secondary school degree","12","","",""
"Complete transfer dependency","1985","Not Working","college entrance qualification","2","","",""
"Complete transfer dependency","1985","Not Working","Other degree","12","","",""
"Complete transfer dependency","1985","Not Working","no degree/no degree yet","20","","",""
"No transfer dependency","1986","Full Time","lower secondary degree","891","0.471820523600486","0.450320585154359","0.493320462046613"
"No transfer dependency","1986","Full Time","secondary school degree","400","0.520946552299063","0.486899156033289","0.554993948564837"
"No transfer dependency","1986","Full Time","college entrance qualification","272","0.544120094497079","0.502420635649946","0.585819553344212"
"No transfer dependency","1986","Full Time","Other degree","192","0.305823072744589","0.272074004204855","0.339572141284322"
"No transfer dependency","1986","Full Time","no degree/no degree yet","115","0.358396210561667","0.310682038435547","0.406110382687787"
"No transfer dependency","1986","Part Time","lower secondary degree","230","0.308892438133528","0.277684253545613","0.340100622721443"
"No transfer dependency","1986","Part Time","secondary school degree","82","0.258680130981135","0.212201293420422","0.305158968541847"
"No transfer dependency","1986","Part Time","college entrance qualification","84","0.33663517957585","0.280163862245617","0.393106496906082"
"No transfer dependency","1986","Part Time","Other degree","33","0.215855179654452","0.150877064886574","0.28083329442233"
"No transfer dependency","1986","Part Time","no degree/no degree yet","25","","",""
"No transfer dependency","1986","Not Working","lower secondary degree","1158","0.646347659061421","0.625820890182832","0.66687442794001"
"No transfer dependency","1986","Not Working","secondary school degree","246","0.543208535218895","0.502493346557904","0.583923723879887"
"No transfer dependency","1986","Not Working","college entrance qualification","160","0.503845777963498","0.453037581552978","0.554653974374019"
"No transfer dependency","1986","Not Working","Other degree","36","0.198211958827982","0.147242634808006","0.249181282847959"
"No transfer dependency","1986","Not Working","no degree/no degree yet","62","0.168734032411976","0.135674555742754","0.201793509081198"
"Very low transfer dependency","1986","Full Time","lower secondary degree","1143","0.512084141664518","0.490556266228372","0.533612017100663"
"Very low transfer dependency","1986","Full Time","secondary school degree","415","0.466369841536836","0.432369698158489","0.500369984915184"
"Very low transfer dependency","1986","Full Time","college entrance qualification","273","0.450708882242153","0.409050043616515","0.49236772086779"
"Very low transfer dependency","1986","Full Time","Other degree","511","0.675757121599232","0.641470703356972","0.710043539841492"
"Very low transfer dependency","1986","Full Time","no degree/no degree yet","260","0.615791348179318","0.567392771519835","0.664189924838802"
"Very low transfer dependency","1986","Part Time","lower secondary degree","537","0.591058128653359","0.557850494752366","0.624265762554351"
"Very low transfer dependency","1986","Part Time","secondary school degree","239","0.683999886312009","0.634654956482587","0.733344816141431"
"Very low transfer dependency","1986","Part Time","college entrance qualification","162","0.55393462380343","0.494532706333777","0.613336541273084"
"Very low transfer dependency","1986","Part Time","Other degree","95","0.568811834502829","0.490594059334246","0.647029609671413"
"Very low transfer dependency","1986","Part Time","no degree/no degree yet","68","0.616166048523488","0.526100301513615","0.706231795533362"
"Very low transfer dependency","1986","Not Working","lower secondary degree","775","0.285944907575472","0.266544704439952","0.305345110710992"
"Very low transfer dependency","1986","Not Working","secondary school degree","288","0.394519723308355","0.35457140248987","0.43446804412684"
"Very low transfer dependency","1986","Not Working","college entrance qualification","172","0.38831805096673","0.338792052152231","0.43784404978123"
"Very low transfer dependency","1986","Not Working","Other degree","155","0.587964506216798","0.525034608020028","0.650894404413568"
"Very low transfer dependency","1986","Not Working","no degree/no degree yet","357","0.713439470330627","0.67352674500999","0.753352195651264"
"Low transfer dependency","1986","Full Time","lower secondary degree","33","0.014253802444076","0.00914868233302049","0.0193589225551315"
"Low transfer dependency","1986","Full Time","secondary school degree","10","","",""
"Low transfer dependency","1986","Full Time","college entrance qualification","2","","",""
"Low transfer dependency","1986","Full Time","Other degree","12","","",""
"Low transfer dependency","1986","Full Time","no degree/no degree yet","13","","",""
"Low transfer dependency","1986","Part Time","lower secondary degree","47","0.0618206147922199","0.045553832733222","0.0780873968512177"
"Low transfer dependency","1986","Part Time","secondary school degree","14","","",""
"Low transfer dependency","1986","Part Time","college entrance qualification","15","","",""
"Low transfer dependency","1986","Part Time","Other degree","18","","",""
"Low transfer dependency","1986","Part Time","no degree/no degree yet","13","","",""
"Low transfer dependency","1986","Not Working","lower secondary degree","57","0.0240647660910576","0.0174851499884181","0.0306443821936971"
"Low transfer dependency","1986","Not Working","secondary school degree","23","","",""
"Low transfer dependency","1986","Not Working","college entrance qualification","15","","",""
"Low transfer dependency","1986","Not Working","Other degree","12","","",""
"Low transfer dependency","1986","Not Working","no degree/no degree yet","35","0.0463078709728343","0.0277573488474908","0.0648583930981779"
"High transfer dependency","1986","Full Time","lower secondary degree","4","","",""
"High transfer dependency","1986","Full Time","secondary school degree","1","","",""
"High transfer dependency","1986","Full Time","college entrance qualification","","","",""
"High transfer dependency","1986","Full Time","Other degree","1","","",""
"High transfer dependency","1986","Full Time","no degree/no degree yet","","","",""
"High transfer dependency","1986","Part Time","lower secondary degree","24","","",""
"High transfer dependency","1986","Part Time","secondary school degree","6","","",""
"High transfer dependency","1986","Part Time","college entrance qualification","3","","",""
"High transfer dependency","1986","Part Time","Other degree","8","","",""
"High transfer dependency","1986","Part Time","no degree/no degree yet","4","","",""
"High transfer dependency","1986","Not Working","lower secondary degree","28","","",""
"High transfer dependency","1986","Not Working","secondary school degree","6","","",""
"High transfer dependency","1986","Not Working","college entrance qualification","7","","",""
"High transfer dependency","1986","Not Working","Other degree","12","","",""
"High transfer dependency","1986","Not Working","no degree/no degree yet","16","","",""
"Very high transfer dependency","1986","Full Time","lower secondary degree","","","",""
"Very high transfer dependency","1986","Full Time","secondary school degree","1","","",""
"Very high transfer dependency","1986","Full Time","college entrance qualification","1","","",""
"Very high transfer dependency","1986","Full Time","Other degree","","","",""
"Very high transfer dependency","1986","Full Time","no degree/no degree yet","","","",""
"Very high transfer dependency","1986","Part Time","lower secondary degree","4","","",""
"Very high transfer dependency","1986","Part Time","secondary school degree","","","",""
"Very high transfer dependency","1986","Part Time","college entrance qualification","5","","",""
"Very high transfer dependency","1986","Part Time","Other degree","","","",""
"Very high transfer dependency","1986","Part Time","no degree/no degree yet","2","","",""
"Very high transfer dependency","1986","Not Working","lower secondary degree","18","","",""
"Very high transfer dependency","1986","Not Working","secondary school degree","7","","",""
"Very high transfer dependency","1986","Not Working","college entrance qualification","10","","",""
"Very high transfer dependency","1986","Not Working","Other degree","7","","",""
"Very high transfer dependency","1986","Not Working","no degree/no degree yet","12","","",""
"Complete transfer dependency","1986","Full Time","lower secondary degree","","","",""
"Complete transfer dependency","1986","Full Time","secondary school degree","","","",""
"Complete transfer dependency","1986","Full Time","college entrance qualification","","","",""
"Complete transfer dependency","1986","Full Time","Other degree","","","",""
"Complete transfer dependency","1986","Full Time","no degree/no degree yet","","","",""
"Complete transfer dependency","1986","Part Time","lower secondary degree","","","",""
"Complete transfer dependency","1986","Part Time","secondary school degree","","","",""
"Complete transfer dependency","1986","Part Time","college entrance qualification","","","",""
"Complete transfer dependency","1986","Part Time","Other degree","","","",""
"Complete transfer dependency","1986","Part Time","no degree/no degree yet","","","",""
"Complete transfer dependency","1986","Not Working","lower secondary degree","48","0.0210052915192881","0.0148485097147946","0.0271620733237816"
"Complete transfer dependency","1986","Not Working","secondary school degree","5","","",""
"Complete transfer dependency","1986","Not Working","college entrance qualification","8","","",""
"Complete transfer dependency","1986","Not Working","Other degree","13","","",""
"Complete transfer dependency","1986","Not Working","no degree/no degree yet","11","","",""
"No transfer dependency","1987","Full Time","lower secondary degree","928","0.503054461097379","0.481463280933503","0.524645641261254"
"No transfer dependency","1987","Full Time","secondary school degree","415","0.538146313243495","0.504147758222901","0.572144868264089"
"No transfer dependency","1987","Full Time","college entrance qualification","269","0.527083618206942","0.485546770152935","0.568620466260949"
"No transfer dependency","1987","Full Time","Other degree","177","0.300777881208865","0.266925902473427","0.334629859944303"
"No transfer dependency","1987","Full Time","no degree/no degree yet","120","0.38689242082841","0.337794212473686","0.435990629183134"
"No transfer dependency","1987","Part Time","lower secondary degree","240","0.341040414183463","0.308828336230172","0.373252492136754"
"No transfer dependency","1987","Part Time","secondary school degree","74","0.260673033038394","0.21359252030711","0.307753545769678"
"No transfer dependency","1987","Part Time","college entrance qualification","87","0.366086367279033","0.308194961356553","0.423977773201512"
"No transfer dependency","1987","Part Time","Other degree","22","","",""
"No transfer dependency","1987","Part Time","no degree/no degree yet","20","","",""
"No transfer dependency","1987","Not Working","lower secondary degree","1156","0.66439512527936","0.643787758981671","0.68500249157705"
"No transfer dependency","1987","Not Working","secondary school degree","236","0.567486600459201","0.526006920122602","0.6089662807958"
"No transfer dependency","1987","Not Working","college entrance qualification","154","0.517790926707695","0.465216050286039","0.570365803129351"
"No transfer dependency","1987","Not Working","Other degree","35","0.178967571701853","0.131066209313742","0.226868934089964"
"No transfer dependency","1987","Not Working","no degree/no degree yet","59","0.160081141940255","0.12660877827789","0.193553505602619"
"Very low transfer dependency","1987","Full Time","lower secondary degree","1090","0.478101549909045","0.456530684940851","0.499672414877239"
"Very low transfer dependency","1987","Full Time","secondary school degree","400","0.450013944441794","0.416086832459616","0.483941056423972"
"Very low transfer dependency","1987","Full Time","college entrance qualification","281","0.461915684754049","0.420438609887424","0.503392759620674"
"Very low transfer dependency","1987","Full Time","Other degree","512","0.671615552606455","0.636949435885234","0.706281669327676"
"Very low transfer dependency","1987","Full Time","no degree/no degree yet","252","0.600853487805318","0.551484678407397","0.650222297203239"
"Very low transfer dependency","1987","Part Time","lower secondary degree","522","0.57412400868934","0.540524659840976","0.607723357537705"
"Very low transfer dependency","1987","Part Time","secondary school degree","238","0.677890037087044","0.627776326320852","0.728003747853237"
"Very low transfer dependency","1987","Part Time","college entrance qualification","155","0.542561618233877","0.482693155407381","0.602430081060372"
"Very low transfer dependency","1987","Part Time","Other degree","113","0.755071728002474","0.68670577675343","0.823437679251519"
"Very low transfer dependency","1987","Part Time","no degree/no degree yet","79","0.708004162348224","0.625966491223508","0.79004183347294"
"Very low transfer dependency","1987","Not Working","lower secondary degree","695","0.260148889989175","0.241002879374075","0.279294900604274"
"Very low transfer dependency","1987","Not Working","secondary school degree","277","0.382166908312348","0.341483255997507","0.422850560627188"
"Very low transfer dependency","1987","Not Working","college entrance qualification","158","0.375603442504525","0.324649430432517","0.426557454576534"
"Very low transfer dependency","1987","Not Working","Other degree","170","0.652718679052471","0.593223158261557","0.712214199843385"
"Very low transfer dependency","1987","Not Working","no degree/no degree yet","336","0.712727622761824","0.671422267875478","0.754032977648169"
"Low transfer dependency","1987","Full Time","lower secondary degree","37","0.0162731833490953","0.0108094688842675","0.0217368978139231"
"Low transfer dependency","1987","Full Time","secondary school degree","8","","",""
"Low transfer dependency","1987","Full Time","college entrance qualification","4","","",""
"Low transfer dependency","1987","Full Time","Other degree","14","","",""
"Low transfer dependency","1987","Full Time","no degree/no degree yet","5","","",""
"Low transfer dependency","1987","Part Time","lower secondary degree","51","0.0594428239511338","0.0433760477192825","0.0755096001829851"
"Low transfer dependency","1987","Part Time","secondary school degree","11","","",""
"Low transfer dependency","1987","Part Time","college entrance qualification","17","","",""
"Low transfer dependency","1987","Part Time","Other degree","10","","",""
"Low transfer dependency","1987","Part Time","no degree/no degree yet","13","","",""
"Low transfer dependency","1987","Not Working","lower secondary degree","83","0.0357708039923041","0.0276658672165953","0.0438757407680129"
"Low transfer dependency","1987","Not Working","secondary school degree","20","","",""
"Low transfer dependency","1987","Not Working","college entrance qualification","15","","",""
"Low transfer dependency","1987","Not Working","Other degree","15","","",""
"Low transfer dependency","1987","Not Working","no degree/no degree yet","28","","",""
"High transfer dependency","1987","Full Time","lower secondary degree","5","","",""
"High transfer dependency","1987","Full Time","secondary school degree","2","","",""
"High transfer dependency","1987","Full Time","college entrance qualification","","","",""
"High transfer dependency","1987","Full Time","Other degree","2","","",""
"High transfer dependency","1987","Full Time","no degree/no degree yet","1","","",""
"High transfer dependency","1987","Part Time","lower secondary degree","14","","",""
"High transfer dependency","1987","Part Time","secondary school degree","7","","",""
"High transfer dependency","1987","Part Time","college entrance qualification","6","","",""
"High transfer dependency","1987","Part Time","Other degree","7","","",""
"High transfer dependency","1987","Part Time","no degree/no degree yet","5","","",""
"High transfer dependency","1987","Not Working","lower secondary degree","24","","",""
"High transfer dependency","1987","Not Working","secondary school degree","5","","",""
"High transfer dependency","1987","Not Working","college entrance qualification","4","","",""
"High transfer dependency","1987","Not Working","Other degree","10","","",""
"High transfer dependency","1987","Not Working","no degree/no degree yet","17","","",""
"Very high transfer dependency","1987","Full Time","lower secondary degree","","","",""
"Very high transfer dependency","1987","Full Time","secondary school degree","1","","",""
"Very high transfer dependency","1987","Full Time","college entrance qualification","1","","",""
"Very high transfer dependency","1987","Full Time","Other degree","","","",""
"Very high transfer dependency","1987","Full Time","no degree/no degree yet","","","",""
"Very high transfer dependency","1987","Part Time","lower secondary degree","5","","",""
"Very high transfer dependency","1987","Part Time","secondary school degree","4","","",""
"Very high transfer dependency","1987","Part Time","college entrance qualification","1","","",""
"Very high transfer dependency","1987","Part Time","Other degree","","","",""
"Very high transfer dependency","1987","Part Time","no degree/no degree yet","1","","",""
"Very high transfer dependency","1987","Not Working","lower secondary degree","23","","",""
"Very high transfer dependency","1987","Not Working","secondary school degree","4","","",""
"Very high transfer dependency","1987","Not Working","college entrance qualification","10","","",""
"Very high transfer dependency","1987","Not Working","Other degree","6","","",""
"Very high transfer dependency","1987","Not Working","no degree/no degree yet","7","","",""
"Complete transfer dependency","1987","Full Time","lower secondary degree","","","",""
"Complete transfer dependency","1987","Full Time","secondary school degree","","","",""
"Complete transfer dependency","1987","Full Time","college entrance qualification","","","",""
"Complete transfer dependency","1987","Full Time","Other degree","","","",""
