"transab_cat","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1985","Berlin","Urban Area","172","0.346846316991879","0.297747534415485","0.395945099568272"
"Very low transfer dependency","1985","Berlin","Rural Area","","","",""
"Very low transfer dependency","1985","Brandenburg","Urban Area","","","",""
"Very low transfer dependency","1985","Brandenburg","Rural Area","","","",""
"Very low transfer dependency","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Very low transfer dependency","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Very low transfer dependency","1985","Saxony","Urban Area","","","",""
"Very low transfer dependency","1985","Saxony","Rural Area","","","",""
"Very low transfer dependency","1985","Saxony-Anhalt","Urban Area","","","",""
"Very low transfer dependency","1985","Saxony-Anhalt","Rural Area","","","",""
"Very low transfer dependency","1985","Thuringia","Urban Area","","","",""
"Very low transfer dependency","1985","Thuringia","Rural Area","","","",""
"Low transfer dependency","1985","Schleswig-Holstein","Urban Area","3","","",""
"Low transfer dependency","1985","Schleswig-Holstein","Rural Area","8","","",""
"Low transfer dependency","1985","Hamburg","Urban Area","14","","",""
"Low transfer dependency","1985","Hamburg","Rural Area","","","",""
"Low transfer dependency","1985","Lower Saxony","Urban Area","34","0.0459285468173493","0.0284022721005447","0.0634548215341538"
"Low transfer dependency","1985","Lower Saxony","Rural Area","27","","",""
"Low transfer dependency","1985","Bremen","Urban Area","23","","",""
"Low transfer dependency","1985","Bremen","Rural Area","","","",""
"Low transfer dependency","1985","North Rhine-Westphalia","Urban Area","96","0.0232859999207767","0.0176950147910673","0.0288769850504861"
"Low transfer dependency","1985","North Rhine-Westphalia","Rural Area","2","","",""
"Low transfer dependency","1985","Hesse","Urban Area","25","","",""
"Low transfer dependency","1985","Hesse","Rural Area","11","","",""
"Low transfer dependency","1985","Rhineland-Palatinate,Saarland","Urban Area","9","","",""
"Low transfer dependency","1985","Rhineland-Palatinate,Saarland","Rural Area","5","","",""
"Low transfer dependency","1985","Baden-Württemberg","Urban Area","34","0.00984686001534544","0.00514615167045676","0.0145475683602341"
"Low transfer dependency","1985","Baden-Württemberg","Rural Area","6","","",""
"Low transfer dependency","1985","Bavaria","Urban Area","10","","",""
"Low transfer dependency","1985","Bavaria","Rural Area","28","","",""
"Low transfer dependency","1985","Berlin","Urban Area","21","","",""
"Low transfer dependency","1985","Berlin","Rural Area","","","",""
"Low transfer dependency","1985","Brandenburg","Urban Area","","","",""
"Low transfer dependency","1985","Brandenburg","Rural Area","","","",""
"Low transfer dependency","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Low transfer dependency","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Low transfer dependency","1985","Saxony","Urban Area","","","",""
"Low transfer dependency","1985","Saxony","Rural Area","","","",""
"Low transfer dependency","1985","Saxony-Anhalt","Urban Area","","","",""
"Low transfer dependency","1985","Saxony-Anhalt","Rural Area","","","",""
"Low transfer dependency","1985","Thuringia","Urban Area","","","",""
"Low transfer dependency","1985","Thuringia","Rural Area","","","",""
"High transfer dependency","1985","Schleswig-Holstein","Urban Area","2","","",""
"High transfer dependency","1985","Schleswig-Holstein","Rural Area","","","",""
"High transfer dependency","1985","Hamburg","Urban Area","10","","",""
"High transfer dependency","1985","Hamburg","Rural Area","","","",""
"High transfer dependency","1985","Lower Saxony","Urban Area","4","","",""
"High transfer dependency","1985","Lower Saxony","Rural Area","5","","",""
"High transfer dependency","1985","Bremen","Urban Area","4","","",""
"High transfer dependency","1985","Bremen","Rural Area","","","",""
"High transfer dependency","1985","North Rhine-Westphalia","Urban Area","48","0.0132496485175835","0.00901065249970203","0.017488644535465"
"High transfer dependency","1985","North Rhine-Westphalia","Rural Area","","","",""
"High transfer dependency","1985","Hesse","Urban Area","15","","",""
"High transfer dependency","1985","Hesse","Rural Area","","","",""
"High transfer dependency","1985","Rhineland-Palatinate,Saarland","Urban Area","5","","",""
"High transfer dependency","1985","Rhineland-Palatinate,Saarland","Rural Area","3","","",""
"High transfer dependency","1985","Baden-Württemberg","Urban Area","14","","",""
"High transfer dependency","1985","Baden-Württemberg","Rural Area","4","","",""
"High transfer dependency","1985","Bavaria","Urban Area","13","","",""
"High transfer dependency","1985","Bavaria","Rural Area","3","","",""
"High transfer dependency","1985","Berlin","Urban Area","4","","",""
"High transfer dependency","1985","Berlin","Rural Area","","","",""
"High transfer dependency","1985","Brandenburg","Urban Area","","","",""
"High transfer dependency","1985","Brandenburg","Rural Area","","","",""
"High transfer dependency","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"High transfer dependency","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"High transfer dependency","1985","Saxony","Urban Area","","","",""
"High transfer dependency","1985","Saxony","Rural Area","","","",""
"High transfer dependency","1985","Saxony-Anhalt","Urban Area","","","",""
"High transfer dependency","1985","Saxony-Anhalt","Rural Area","","","",""
"High transfer dependency","1985","Thuringia","Urban Area","","","",""
"High transfer dependency","1985","Thuringia","Rural Area","","","",""
"Very high transfer dependency","1985","Schleswig-Holstein","Urban Area","","","",""
"Very high transfer dependency","1985","Schleswig-Holstein","Rural Area","2","","",""
"Very high transfer dependency","1985","Hamburg","Urban Area","1","","",""
"Very high transfer dependency","1985","Hamburg","Rural Area","","","",""
"Very high transfer dependency","1985","Lower Saxony","Urban Area","7","","",""
"Very high transfer dependency","1985","Lower Saxony","Rural Area","8","","",""
"Very high transfer dependency","1985","Bremen","Urban Area","1","","",""
"Very high transfer dependency","1985","Bremen","Rural Area","","","",""
"Very high transfer dependency","1985","North Rhine-Westphalia","Urban Area","25","","",""
"Very high transfer dependency","1985","North Rhine-Westphalia","Rural Area","","","",""
"Very high transfer dependency","1985","Hesse","Urban Area","6","","",""
"Very high transfer dependency","1985","Hesse","Rural Area","","","",""
"Very high transfer dependency","1985","Rhineland-Palatinate,Saarland","Urban Area","1","","",""
"Very high transfer dependency","1985","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Very high transfer dependency","1985","Baden-Württemberg","Urban Area","4","","",""
"Very high transfer dependency","1985","Baden-Württemberg","Rural Area","2","","",""
"Very high transfer dependency","1985","Bavaria","Urban Area","8","","",""
"Very high transfer dependency","1985","Bavaria","Rural Area","5","","",""
"Very high transfer dependency","1985","Berlin","Urban Area","1","","",""
"Very high transfer dependency","1985","Berlin","Rural Area","","","",""
"Very high transfer dependency","1985","Brandenburg","Urban Area","","","",""
"Very high transfer dependency","1985","Brandenburg","Rural Area","","","",""
"Very high transfer dependency","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Very high transfer dependency","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Very high transfer dependency","1985","Saxony","Urban Area","","","",""
"Very high transfer dependency","1985","Saxony","Rural Area","","","",""
"Very high transfer dependency","1985","Saxony-Anhalt","Urban Area","","","",""
"Very high transfer dependency","1985","Saxony-Anhalt","Rural Area","","","",""
"Very high transfer dependency","1985","Thuringia","Urban Area","","","",""
"Very high transfer dependency","1985","Thuringia","Rural Area","","","",""
"Complete transfer dependency","1985","Schleswig-Holstein","Urban Area","3","","",""
"Complete transfer dependency","1985","Schleswig-Holstein","Rural Area","2","","",""
"Complete transfer dependency","1985","Hamburg","Urban Area","3","","",""
"Complete transfer dependency","1985","Hamburg","Rural Area","","","",""
"Complete transfer dependency","1985","Lower Saxony","Urban Area","4","","",""
"Complete transfer dependency","1985","Lower Saxony","Rural Area","12","","",""
"Complete transfer dependency","1985","Bremen","Urban Area","2","","",""
"Complete transfer dependency","1985","Bremen","Rural Area","","","",""
"Complete transfer dependency","1985","North Rhine-Westphalia","Urban Area","45","0.0155798245382346","0.0109885980323574","0.0201710510441119"
"Complete transfer dependency","1985","North Rhine-Westphalia","Rural Area","2","","",""
"Complete transfer dependency","1985","Hesse","Urban Area","7","","",""
"Complete transfer dependency","1985","Hesse","Rural Area","3","","",""
"Complete transfer dependency","1985","Rhineland-Palatinate,Saarland","Urban Area","3","","",""
"Complete transfer dependency","1985","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Complete transfer dependency","1985","Baden-Württemberg","Urban Area","4","","",""
"Complete transfer dependency","1985","Baden-Württemberg","Rural Area","","","",""
"Complete transfer dependency","1985","Bavaria","Urban Area","5","","",""
"Complete transfer dependency","1985","Bavaria","Rural Area","3","","",""
"Complete transfer dependency","1985","Berlin","Urban Area","2","","",""
"Complete transfer dependency","1985","Berlin","Rural Area","","","",""
"Complete transfer dependency","1985","Brandenburg","Urban Area","","","",""
"Complete transfer dependency","1985","Brandenburg","Rural Area","","","",""
"Complete transfer dependency","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Complete transfer dependency","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Complete transfer dependency","1985","Saxony","Urban Area","","","",""
"Complete transfer dependency","1985","Saxony","Rural Area","","","",""
"Complete transfer dependency","1985","Saxony-Anhalt","Urban Area","","","",""
"Complete transfer dependency","1985","Saxony-Anhalt","Rural Area","","","",""
"Complete transfer dependency","1985","Thuringia","Urban Area","","","",""
"Complete transfer dependency","1985","Thuringia","Rural Area","","","",""
"No transfer dependency","1986","Schleswig-Holstein","Urban Area","60","0.491156843073538","0.410886147624963","0.571427538522113"
"No transfer dependency","1986","Schleswig-Holstein","Rural Area","64","0.449751263189363","0.373146406091105","0.52635612028762"
"No transfer dependency","1986","Hamburg","Urban Area","107","0.605576003493437","0.543744691257411","0.667407315729463"
"No transfer dependency","1986","Hamburg","Rural Area","4","","",""
"No transfer dependency","1986","Lower Saxony","Urban Area","232","0.483057614026633","0.442177445049196","0.52393778300407"
"No transfer dependency","1986","Lower Saxony","Rural Area","155","0.388937887634252","0.346291815561154","0.43158395970735"
"No transfer dependency","1986","Bremen","Urban Area","47","0.575176388475594","0.480173618200783","0.670179158750405"
"No transfer dependency","1986","Bremen","Rural Area","","","",""
"No transfer dependency","1986","North Rhine-Westphalia","Urban Area","961","0.458528894366681","0.439611100820544","0.477446687912817"
"No transfer dependency","1986","North Rhine-Westphalia","Rural Area","32","0.47774322192803","0.359884193871684","0.595602249984376"
"No transfer dependency","1986","Hesse","Urban Area","356","0.541815177114531","0.508611516202963","0.5750188380261"
"No transfer dependency","1986","Hesse","Rural Area","51","0.5117380577758","0.427728454801735","0.595747660749865"
"No transfer dependency","1986","Rhineland-Palatinate,Saarland","Urban Area","294","0.565541292347761","0.525944841696305","0.605137742999218"
"No transfer dependency","1986","Rhineland-Palatinate,Saarland","Rural Area","69","0.571190761994407","0.488619066610192","0.653762457378622"
"No transfer dependency","1986","Baden-Württemberg","Urban Area","638","0.515096250514961","0.49068403932202","0.539508461707902"
"No transfer dependency","1986","Baden-Württemberg","Rural Area","122","0.527615574496205","0.470451803659082","0.584779345333328"
"No transfer dependency","1986","Bavaria","Urban Area","402","0.527237965033575","0.494906529464341","0.559569400602808"
"No transfer dependency","1986","Bavaria","Rural Area","272","0.425131463974055","0.390701910202701","0.459561017745409"
"No transfer dependency","1986","Berlin","Urban Area","151","0.593801411848547","0.542052662379977","0.645550161317116"
"No transfer dependency","1986","Berlin","Rural Area","","","",""
"No transfer dependency","1986","Brandenburg","Urban Area","","","",""
"No transfer dependency","1986","Brandenburg","Rural Area","","","",""
"No transfer dependency","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"No transfer dependency","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"No transfer dependency","1986","Saxony","Urban Area","","","",""
"No transfer dependency","1986","Saxony","Rural Area","","","",""
"No transfer dependency","1986","Saxony-Anhalt","Urban Area","","","",""
"No transfer dependency","1986","Saxony-Anhalt","Rural Area","","","",""
"No transfer dependency","1986","Thuringia","Urban Area","","","",""
"No transfer dependency","1986","Thuringia","Rural Area","","","",""
"Very low transfer dependency","1986","Schleswig-Holstein","Urban Area","75","0.426271245291842","0.346865617428157","0.505676873155528"
"Very low transfer dependency","1986","Schleswig-Holstein","Rural Area","89","0.491080197646792","0.414097793545799","0.568062601747786"
"Very low transfer dependency","1986","Hamburg","Urban Area","114","0.343938167818868","0.283840856433369","0.404035479204368"
"Very low transfer dependency","1986","Hamburg","Rural Area","2","","",""
"Very low transfer dependency","1986","Lower Saxony","Urban Area","308","0.453185285490937","0.412461312446572","0.493909258535303"
"Very low transfer dependency","1986","Lower Saxony","Rural Area","301","0.534283940767087","0.490648145072324","0.577919736461849"
"Very low transfer dependency","1986","Bremen","Urban Area","41","0.313692328437971","0.224517394344872","0.402867262531071"
"Very low transfer dependency","1986","Bremen","Rural Area","","","",""
"Very low transfer dependency","1986","North Rhine-Westphalia","Urban Area","1522","0.478810688100014","0.459844539324471","0.497776836875557"
"Very low transfer dependency","1986","North Rhine-Westphalia","Rural Area","31","0.413563020233859","0.29736330359358","0.529762736874138"
"Very low transfer dependency","1986","Hesse","Urban Area","459","0.405196507898411","0.372480550122613","0.437912465674208"
"Very low transfer dependency","1986","Hesse","Rural Area","73","0.45765846365325","0.373927552048824","0.541389375257675"
"Very low transfer dependency","1986","Rhineland-Palatinate,Saarland","Urban Area","283","0.393179181716953","0.354160253264383","0.432198110169523"
"Very low transfer dependency","1986","Rhineland-Palatinate,Saarland","Rural Area","66","0.403040455082088","0.321202396463392","0.484878513700783"
"Very low transfer dependency","1986","Baden-Württemberg","Urban Area","900","0.453169945725916","0.428853959386058","0.477485932065774"
"Very low transfer dependency","1986","Baden-Württemberg","Rural Area","154","0.442575815641736","0.385703485332014","0.499448145951458"
"Very low transfer dependency","1986","Bavaria","Urban Area","489","0.435352110590028","0.403244385496777","0.467459835683279"
"Very low transfer dependency","1986","Bavaria","Rural Area","473","0.504168137880874","0.469347204063514","0.538989071698234"
"Very low transfer dependency","1986","Berlin","Urban Area","166","0.359081865381325","0.308533390373122","0.409630340389528"
"Very low transfer dependency","1986","Berlin","Rural Area","","","",""
"Very low transfer dependency","1986","Brandenburg","Urban Area","","","",""
"Very low transfer dependency","1986","Brandenburg","Rural Area","","","",""
"Very low transfer dependency","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Very low transfer dependency","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Very low transfer dependency","1986","Saxony","Urban Area","","","",""
"Very low transfer dependency","1986","Saxony","Rural Area","","","",""
"Very low transfer dependency","1986","Saxony-Anhalt","Urban Area","","","",""
"Very low transfer dependency","1986","Saxony-Anhalt","Rural Area","","","",""
"Very low transfer dependency","1986","Thuringia","Urban Area","","","",""
"Very low transfer dependency","1986","Thuringia","Rural Area","","","",""
"Low transfer dependency","1986","Schleswig-Holstein","Urban Area","11","","",""
"Low transfer dependency","1986","Schleswig-Holstein","Rural Area","6","","",""
"Low transfer dependency","1986","Hamburg","Urban Area","9","","",""
"Low transfer dependency","1986","Hamburg","Rural Area","","","",""
"Low transfer dependency","1986","Lower Saxony","Urban Area","19","","",""
"Low transfer dependency","1986","Lower Saxony","Rural Area","27","","",""
"Low transfer dependency","1986","Bremen","Urban Area","6","","",""
"Low transfer dependency","1986","Bremen","Rural Area","","","",""
"Low transfer dependency","1986","North Rhine-Westphalia","Urban Area","91","0.0299827667071911","0.0235079860277831","0.036457547386599"
"Low transfer dependency","1986","North Rhine-Westphalia","Rural Area","","","",""
"Low transfer dependency","1986","Hesse","Urban Area","26","","",""
"Low transfer dependency","1986","Hesse","Rural Area","8","","",""
"Low transfer dependency","1986","Rhineland-Palatinate,Saarland","Urban Area","12","","",""
"Low transfer dependency","1986","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Low transfer dependency","1986","Baden-Württemberg","Urban Area","44","0.0179746557161017","0.0114849232833231","0.0244643881488803"
"Low transfer dependency","1986","Baden-Württemberg","Rural Area","15","","",""
"Low transfer dependency","1986","Bavaria","Urban Area","11","","",""
"Low transfer dependency","1986","Bavaria","Rural Area","29","","",""
"Low transfer dependency","1986","Berlin","Urban Area","15","","",""
"Low transfer dependency","1986","Berlin","Rural Area","","","",""
"Low transfer dependency","1986","Brandenburg","Urban Area","","","",""
"Low transfer dependency","1986","Brandenburg","Rural Area","","","",""
"Low transfer dependency","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Low transfer dependency","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Low transfer dependency","1986","Saxony","Urban Area","","","",""
"Low transfer dependency","1986","Saxony","Rural Area","","","",""
"Low transfer dependency","1986","Saxony-Anhalt","Urban Area","","","",""
"Low transfer dependency","1986","Saxony-Anhalt","Rural Area","","","",""
"Low transfer dependency","1986","Thuringia","Urban Area","","","",""
"Low transfer dependency","1986","Thuringia","Rural Area","","","",""
"High transfer dependency","1986","Schleswig-Holstein","Urban Area","","","",""
"High transfer dependency","1986","Schleswig-Holstein","Rural Area","1","","",""
"High transfer dependency","1986","Hamburg","Urban Area","","","",""
"High transfer dependency","1986","Hamburg","Rural Area","","","",""
"High transfer dependency","1986","Lower Saxony","Urban Area","7","","",""
"High transfer dependency","1986","Lower Saxony","Rural Area","3","","",""
"High transfer dependency","1986","Bremen","Urban Area","5","","",""
"High transfer dependency","1986","Bremen","Rural Area","","","",""
"High transfer dependency","1986","North Rhine-Westphalia","Urban Area","36","0.0100679251119705","0.00627763746002414","0.0138582127639168"
"High transfer dependency","1986","North Rhine-Westphalia","Rural Area","5","","",""
"High transfer dependency","1986","Hesse","Urban Area","9","","",""
"High transfer dependency","1986","Hesse","Rural Area","2","","",""
"High transfer dependency","1986","Rhineland-Palatinate,Saarland","Urban Area","8","","",""
"High transfer dependency","1986","Rhineland-Palatinate,Saarland","Rural Area","3","","",""
"High transfer dependency","1986","Baden-Württemberg","Urban Area","15","","",""
"High transfer dependency","1986","Baden-Württemberg","Rural Area","2","","",""
"High transfer dependency","1986","Bavaria","Urban Area","5","","",""
"High transfer dependency","1986","Bavaria","Rural Area","12","","",""
"High transfer dependency","1986","Berlin","Urban Area","9","","",""
"High transfer dependency","1986","Berlin","Rural Area","","","",""
"High transfer dependency","1986","Brandenburg","Urban Area","","","",""
"High transfer dependency","1986","Brandenburg","Rural Area","","","",""
"High transfer dependency","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"High transfer dependency","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"High transfer dependency","1986","Saxony","Urban Area","","","",""
"High transfer dependency","1986","Saxony","Rural Area","","","",""
"High transfer dependency","1986","Saxony-Anhalt","Urban Area","","","",""
"High transfer dependency","1986","Saxony-Anhalt","Rural Area","","","",""
"High transfer dependency","1986","Thuringia","Urban Area","","","",""
"High transfer dependency","1986","Thuringia","Rural Area","","","",""
"Very high transfer dependency","1986","Schleswig-Holstein","Urban Area","3","","",""
"Very high transfer dependency","1986","Schleswig-Holstein","Rural Area","","","",""
"Very high transfer dependency","1986","Hamburg","Urban Area","2","","",""
"Very high transfer dependency","1986","Hamburg","Rural Area","","","",""
"Very high transfer dependency","1986","Lower Saxony","Urban Area","3","","",""
"Very high transfer dependency","1986","Lower Saxony","Rural Area","3","","",""
"Very high transfer dependency","1986","Bremen","Urban Area","3","","",""
"Very high transfer dependency","1986","Bremen","Rural Area","","","",""
"Very high transfer dependency","1986","North Rhine-Westphalia","Urban Area","29","","",""
"Very high transfer dependency","1986","North Rhine-Westphalia","Rural Area","","","",""
"Very high transfer dependency","1986","Hesse","Urban Area","4","","",""
"Very high transfer dependency","1986","Hesse","Rural Area","","","",""
"Very high transfer dependency","1986","Rhineland-Palatinate,Saarland","Urban Area","2","","",""
"Very high transfer dependency","1986","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Very high transfer dependency","1986","Baden-Württemberg","Urban Area","8","","",""
"Very high transfer dependency","1986","Baden-Württemberg","Rural Area","","","",""
"Very high transfer dependency","1986","Bavaria","Urban Area","6","","",""
"Very high transfer dependency","1986","Bavaria","Rural Area","3","","",""
"Very high transfer dependency","1986","Berlin","Urban Area","2","","",""
"Very high transfer dependency","1986","Berlin","Rural Area","","","",""
"Very high transfer dependency","1986","Brandenburg","Urban Area","","","",""
"Very high transfer dependency","1986","Brandenburg","Rural Area","","","",""
"Very high transfer dependency","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Very high transfer dependency","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Very high transfer dependency","1986","Saxony","Urban Area","","","",""
"Very high transfer dependency","1986","Saxony","Rural Area","","","",""
"Very high transfer dependency","1986","Saxony-Anhalt","Urban Area","","","",""
"Very high transfer dependency","1986","Saxony-Anhalt","Rural Area","","","",""
"Very high transfer dependency","1986","Thuringia","Urban Area","","","",""
"Very high transfer dependency","1986","Thuringia","Rural Area","","","",""
"Complete transfer dependency","1986","Schleswig-Holstein","Urban Area","","","",""
"Complete transfer dependency","1986","Schleswig-Holstein","Rural Area","2","","",""
"Complete transfer dependency","1986","Hamburg","Urban Area","8","","",""
"Complete transfer dependency","1986","Hamburg","Rural Area","","","",""
"Complete transfer dependency","1986","Lower Saxony","Urban Area","5","","",""
"Complete transfer dependency","1986","Lower Saxony","Rural Area","13","","",""
"Complete transfer dependency","1986","Bremen","Urban Area","2","","",""
"Complete transfer dependency","1986","Bremen","Rural Area","","","",""
"Complete transfer dependency","1986","North Rhine-Westphalia","Urban Area","26","","",""
"Complete transfer dependency","1986","North Rhine-Westphalia","Rural Area","1","","",""
"Complete transfer dependency","1986","Hesse","Urban Area","11","","",""
"Complete transfer dependency","1986","Hesse","Rural Area","2","","",""
"Complete transfer dependency","1986","Rhineland-Palatinate,Saarland","Urban Area","3","","",""
"Complete transfer dependency","1986","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Complete transfer dependency","1986","Baden-Württemberg","Urban Area","5","","",""
"Complete transfer dependency","1986","Baden-Württemberg","Rural Area","","","",""
"Complete transfer dependency","1986","Bavaria","Urban Area","3","","",""
"Complete transfer dependency","1986","Bavaria","Rural Area","3","","",""
"Complete transfer dependency","1986","Berlin","Urban Area","3","","",""
"Complete transfer dependency","1986","Berlin","Rural Area","","","",""
"Complete transfer dependency","1986","Brandenburg","Urban Area","","","",""
"Complete transfer dependency","1986","Brandenburg","Rural Area","","","",""
"Complete transfer dependency","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Complete transfer dependency","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Complete transfer dependency","1986","Saxony","Urban Area","","","",""
"Complete transfer dependency","1986","Saxony","Rural Area","","","",""
"Complete transfer dependency","1986","Saxony-Anhalt","Urban Area","","","",""
"Complete transfer dependency","1986","Saxony-Anhalt","Rural Area","","","",""
"Complete transfer dependency","1986","Thuringia","Urban Area","","","",""
"Complete transfer dependency","1986","Thuringia","Rural Area","","","",""
"No transfer dependency","1987","Schleswig-Holstein","Urban Area","55","0.500109668972335","0.418159459844948","0.582059878099722"
"No transfer dependency","1987","Schleswig-Holstein","Rural Area","66","0.456047955390669","0.382043301789543","0.530052608991795"
"No transfer dependency","1987","Hamburg","Urban Area","95","0.637741952695033","0.571784401716183","0.703699503673883"
"No transfer dependency","1987","Hamburg","Rural Area","4","","",""
"No transfer dependency","1987","Lower Saxony","Urban Area","250","0.529956284537627","0.488802193336523","0.57111037573873"
"No transfer dependency","1987","Lower Saxony","Rural Area","163","0.413775895991752","0.369943859260126","0.457607932723379"
