variable,type,label_de,study,dataset,version,meantable,probtable,template_id,label,concept,description,description_de,minedition,topic
plh0109,byte,"Importance: To have a happy marriage, partnership",soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0110,byte,Importance: To have children,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0111,byte,"Importance: To be politically, socially active",soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0112,byte,"Importance: See the world, travel a lot",soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0162,byte,Satisfaction: Standard of Living,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0164,byte,Satisfaction: School Education and Vocational Retraining,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0171,byte,Satisfaction: Health,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0172,byte,Satisfaction: Sleep,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0173,byte,Satisfaction: Work,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0174,byte,Satisfaction: Housework,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0175,byte,Satisfaction: Household Income,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0176,byte,Satisfaction: Personal Income,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0177,byte,Satisfaction: Dwelling,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0178,byte,Satisfaction: Amount Of Leisure Time,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0179,byte,Satisfaction: Child Care,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0180,byte,Satisfaction: Family Life,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0182,byte,Satisfaction: Current Life,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0183,byte,Satisfaction: Life in Five Years,soep-core,p_data,v36,Yes,No,,,,,,,"Attitudes, Values, and Personality"
plh0184,byte,Frequency angry last 4 weeks,soep-core,p_data,v36,Yes,Yes,,,,,,,Health and Care
plh0185,byte,Frequency anxious last 4 weeks,soep-core,p_data,v36,Yes,Yes,,,,,,,Health and Care
plh0186,byte,Frequency happy last 4 weeks,soep-core,p_data,v36,Yes,Yes,,,,,,,Health and Care
plh0187,byte,Frequency sad last 4 weeks,soep-core,p_data,v36,Yes,Yes,,,,,,,Health and Care
plh0188,byte,See future confidently,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0189,byte,Often feel lonely,soep-core,p_data,v36,Yes,Yes,,,,,,,Health and Care
plh0190,byte,No joy at work,soep-core,p_data,v36,Yes,Yes,,,,,,,Health and Care
plh0191,byte,Conditions so complicated today,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0192,byte,General trust,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0193,byte,No reliance on anyone today,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0194,byte,Caution towards strangers,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0195,byte,"People take advantage, are fair",soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0196,byte,"People helpful, self-interest",soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0204_h,byte,Risk-taking,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0206i01,byte,Reciprocity: Willingness to return favors,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0206i02,byte,Reciprocity: Revenge in case of grave injustice,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0206i03,byte,Reciprocity: Paying back: putting someone in a difficult position,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0206i04,byte,Reciprocity: Special effort to return help,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0206i05,byte,Reciprocity: Offensive behavior in case of insults,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0206i06,byte,Reciprocity: Willingness to incur costs to return help,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0212,byte,Big Five Traits (Conscientiousness): Work diligently,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0213,byte,Big Five Traits (Extraversion): I am communicative,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0214,byte,Big Five Traits (Agreeableness): I am sometimes too rough with others,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0215,byte,Big Five Traits (Openness): I am original,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0216,byte,Big Five Traits (Neuroticism): Often worry about things,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0217,byte,Big Five Traits (Agreeableness): Can forgive,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0218,byte,Big Five Traits (Conscientiousness): I am rather lazy,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0219,byte,Big Five Traits (Extraversion): I am sociable,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0220,byte,Big Five Traits (Openness): Appreciate artistic experience,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0221,byte,Big Five Traits (Neuroticism): I am easily nervous,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0222,byte,"Big Five Traits (Conscientiousness): Perform tasks effectively, efficiently",soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0223,byte,Big Five Traits (Extraversion): I am reserved,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0224,byte,Big Five Traits (Agreeableness): Be friendly with others,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0225,byte,Big Five Traits (Openness): Have vivid imagination,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
plh0226,byte,Big Five Traits (Neuroticism): Handle stress well,soep-core,p_data,v36,Yes,Yes,,,,,,,"Attitudes, Values, and Personality"
pli0059,byte,"Hours of sleep, normal working day",soep-core,p_data,v36,Yes,No,,,,,,,Health and Care
pli0080,byte,"Visits neighbors,friends",soep-core,p_data,v36,Yes,Yes,,,,,,,Time Use and Environmental Behavior
pli0081,byte,"Visits family,relatives",soep-core,p_data,v36,Yes,Yes,,,,,,,Time Use and Environmental Behavior
pli0082,byte,"Trips, short trips",soep-core,p_data,v36,Yes,Yes,,,,,,,Time Use and Environmental Behavior
pli0083,byte,"Television, video",soep-core,p_data,v36,Yes,Yes,,,,,,,Time Use and Environmental Behavior
pli0089,byte,Visits to sporting events,soep-core,p_data,v36,Yes,Yes,,,,,,,Time Use and Environmental Behavior
pli0091_h,byte,"Visits to cinema,pop,jazz concerts,disco",soep-core,p_data,v36,Yes,Yes,,,,,,,Time Use and Environmental Behavior
pli0092_h,byte,Sport activity,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
pli0093_h,byte,Artistic and musical activities,soep-core,p_data,v36,Yes,Yes,,,,,,,Time Use and Environmental Behavior
pli0095_h,byte,Helping Friends and Relatives,soep-core,p_data,v36,No,Yes,,,,,,,Time Use and Environmental Behavior
pli0096_h,byte,Voluntary work,soep-core,p_data,v36,No,Yes,,,,,,,Work and Employment
pli0097_h,byte,"Involved. Parties, local politics, citizens' initiative",soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
pli0098_h,byte,"Going to church, attending religious events",soep-core,p_data,v36,No,Yes,,,,,,,Time Use and Environmental Behavior
pli0165,byte,Use of online social networks,soep-core,p_data,v36,Yes,Yes,,,,,,,Time Use and Environmental Behavior
plj0014_v3,byte,German Citizenship,soep-core,p_data,v36,No,Yes,,,,,,,Demography
plj0046,byte,Worries: Job Security Immigration To Germany,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plj0047,byte,Worries: Job Security Hostility To Foreigners,soep-core,p_data,v36,No,Yes,,,,,,,"Attitudes, Values, and Personality"
plj0587,byte,Loneliness: Lacking the company of others,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
plj0588,byte,Loneliness: Feeling of being left out,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
plj0589,byte,Loneliness: Feeling of being socially isolated,soep-core,p_data,v36,No,Yes,,,,,,,Health and Care
sampreg,float,Sample Region,soep-core,p_data,v36,demo,demo,,,,,,,Demography
sex,byte,Gender,soep-core,p_data,v36,demo,demo,,,,,,,Demography
syear,double,Survey Year,soep-core,p_data,v36,,,,,,,,,
transab,byte,Transfer dependency,soep-core,p_data,v36,Yes,No,,,,,,,"Income, Taxes, and Social Security"
transab_cat,byte,Transfer dependency grouped 1,soep-core,p_data,v36,No,Yes,,,,,,,"Income, Taxes, and Social Security"
transab_cat2,byte,Transfer dependency grouped 2,soep-core,p_data,v36,No,Yes,,,,,,,"Income, Taxes, and Social Security"
years_injob,byte,Employed by current employer in years,soep-core,p_data,v36,Yes,No,,,,,,,Work and Employment
