"plb0195_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Partly, partly","1990","Not Employed","no migration background","1","","",""
"Partly, partly","1990","Not Employed","direct migration background","2","","",""
"Partly, partly","1990","Not Employed","indirect migration background","","","",""
"Partly, partly","1990","Employed","no migration background","398","0.147350818353503","0.133726245895704","0.160975390811302"
"Partly, partly","1990","Employed","direct migration background","120","0.144135644627815","0.121073621352242","0.167197667903387"
"Partly, partly","1990","Employed","indirect migration background","18","","",""
"Paid","1990","Not Employed","no migration background","11","","",""
"Paid","1990","Not Employed","direct migration background","10","","",""
"Paid","1990","Not Employed","indirect migration background","1","","",""
"Paid","1990","Employed","no migration background","847","0.324943760456435","0.306941149513554","0.342946371399316"
"Paid","1990","Employed","direct migration background","587","0.57020615186296","0.537700768999562","0.602711534726358"
"Paid","1990","Employed","indirect migration background","36","0.248560117125272","0.160724742081653","0.33639549216889"
"Not paid","1990","Not Employed","no migration background","2","","",""
"Not paid","1990","Not Employed","direct migration background","1","","",""
"Not paid","1990","Not Employed","indirect migration background","","","",""
"Not paid","1990","Employed","no migration background","446","0.18095285752269","0.166155008583262","0.195750706462118"
"Not paid","1990","Employed","direct migration background","51","0.0785432693786576","0.0608787754522421","0.0962077633050731"
"Not paid","1990","Employed","indirect migration background","13","","",""
"Acclaimed","1991","Not Employed","no migration background","9","","",""
"Acclaimed","1991","Not Employed","direct migration background","2","","",""
"Acclaimed","1991","Not Employed","indirect migration background","1","","",""
"Acclaimed","1991","Employed","no migration background","934","0.340254277565093","0.322461873706113","0.358046681424073"
"Acclaimed","1991","Employed","direct migration background","180","0.217254156288653","0.191235859322142","0.243272453255165"
"Acclaimed","1991","Employed","indirect migration background","38","0.346156323824397","0.258439687756826","0.433872959891967"
"Partly, partly","1991","Not Employed","no migration background","4","","",""
"Partly, partly","1991","Not Employed","direct migration background","2","","",""
"Partly, partly","1991","Not Employed","indirect migration background","1","","",""
"Partly, partly","1991","Employed","no migration background","430","0.149482878509743","0.136092840930807","0.162872916088679"
"Partly, partly","1991","Employed","direct migration background","119","0.134387889809129","0.112868687748352","0.155907091869906"
"Partly, partly","1991","Employed","indirect migration background","19","","",""
"Paid","1991","Not Employed","no migration background","17","","",""
"Paid","1991","Not Employed","direct migration background","12","","",""
"Paid","1991","Not Employed","indirect migration background","5","","",""
"Paid","1991","Employed","no migration background","923","0.336065650181417","0.318327057113397","0.353804243249436"
"Paid","1991","Employed","direct migration background","619","0.573749392886912","0.542547707092235","0.604951078681588"
"Paid","1991","Employed","indirect migration background","45","0.325913652419801","0.23949292617738","0.412334378662222"
"Not paid","1991","Not Employed","no migration background","6","","",""
"Not paid","1991","Not Employed","direct migration background","","","",""
"Not paid","1991","Not Employed","indirect migration background","1","","",""
"Not paid","1991","Employed","no migration background","437","0.174197193743747","0.159954134072054","0.18844025341544"
"Not paid","1991","Employed","direct migration background","47","0.074608561015306","0.0580302033508551","0.0911869186797569"
"Not paid","1991","Employed","indirect migration background","11","","",""
"Acclaimed","1992","Not Employed","no migration background","24","","",""
"Acclaimed","1992","Not Employed","direct migration background","1","","",""
"Acclaimed","1992","Not Employed","indirect migration background","","","",""
"Acclaimed","1992","Employed","no migration background","1594","0.361598603641843","0.347252956958202","0.375944250325483"
"Acclaimed","1992","Employed","direct migration background","197","0.239021030531923","0.211551769124027","0.266490291939819"
"Acclaimed","1992","Employed","indirect migration background","36","0.381409407662229","0.292633212707397","0.47018560261706"
"Partly, partly","1992","Not Employed","no migration background","7","","",""
"Partly, partly","1992","Not Employed","direct migration background","1","","",""
"Partly, partly","1992","Not Employed","indirect migration background","","","",""
"Partly, partly","1992","Employed","no migration background","740","0.167095468839766","0.155956633271029","0.178234304408502"
"Partly, partly","1992","Employed","direct migration background","132","0.18420743381568","0.159239302159725","0.209175565471635"
"Partly, partly","1992","Employed","indirect migration background","14","","",""
"Paid","1992","Not Employed","no migration background","9","","",""
"Paid","1992","Not Employed","direct migration background","3","","",""
"Paid","1992","Not Employed","indirect migration background","3","","",""
"Paid","1992","Employed","no migration background","1280","0.30855725714822","0.294765937068892","0.322348577227547"
"Paid","1992","Employed","direct migration background","541","0.484574104990347","0.452385228707109","0.516762981273584"
"Paid","1992","Employed","indirect migration background","49","0.369850501992819","0.281616886702177","0.45808411728346"
"Not paid","1992","Not Employed","no migration background","4","","",""
"Not paid","1992","Not Employed","direct migration background","3","","",""
"Not paid","1992","Not Employed","indirect migration background","","","",""
"Not paid","1992","Employed","no migration background","695","0.162748670370172","0.151727023519361","0.173770317220983"
"Not paid","1992","Employed","direct migration background","56","0.0921974306620502","0.0735637902346617","0.110831071089439"
"Not paid","1992","Employed","indirect migration background","16","","",""
"Acclaimed","1993","Not Employed","no migration background","23","","",""
"Acclaimed","1993","Not Employed","direct migration background","1","","",""
"Acclaimed","1993","Not Employed","indirect migration background","1","","",""
"Acclaimed","1993","Employed","no migration background","1541","0.354493657724275","0.340066125866921","0.368921189581629"
"Acclaimed","1993","Employed","direct migration background","188","0.272758870108744","0.242385937595342","0.303131802622146"
"Acclaimed","1993","Employed","indirect migration background","50","0.328152324440157","0.253751880400094","0.402552768480221"
"Partly, partly","1993","Not Employed","no migration background","7","","",""
"Partly, partly","1993","Not Employed","direct migration background","1","","",""
"Partly, partly","1993","Not Employed","indirect migration background","2","","",""
"Partly, partly","1993","Employed","no migration background","737","0.166644726405186","0.155405189138099","0.177884263672273"
"Partly, partly","1993","Employed","direct migration background","127","0.147900368141712","0.123690753103196","0.172109983180228"
"Partly, partly","1993","Employed","indirect migration background","28","","",""
"Paid","1993","Not Employed","no migration background","15","","",""
"Paid","1993","Not Employed","direct migration background","9","","",""
"Paid","1993","Not Employed","indirect migration background","1","","",""
"Paid","1993","Employed","no migration background","1231","0.301467055739515","0.287626582925345","0.315307528553686"
"Paid","1993","Employed","direct migration background","449","0.45574853345929","0.421784402149226","0.489712664769354"
"Paid","1993","Employed","indirect migration background","61","0.397913224047874","0.320355312476359","0.47547113561939"
"Not paid","1993","Not Employed","no migration background","12","","",""
"Not paid","1993","Not Employed","direct migration background","2","","",""
"Not paid","1993","Not Employed","indirect migration background","","","",""
"Not paid","1993","Employed","no migration background","714","0.177394560131024","0.165873207004627","0.188915913257421"
"Not paid","1993","Employed","direct migration background","62","0.123592228290254","0.101147892447361","0.146036564133147"
"Not paid","1993","Employed","indirect migration background","14","","",""
"Acclaimed","1994","Not Employed","no migration background","16","","",""
"Acclaimed","1994","Not Employed","direct migration background","3","","",""
"Acclaimed","1994","Not Employed","indirect migration background","6","","",""
"Acclaimed","1994","Employed","no migration background","1644","0.385241603651826","0.370548293331666","0.399934913971985"
"Acclaimed","1994","Employed","direct migration background","207","0.28335719222116","0.251361677667885","0.315352706774435"
"Acclaimed","1994","Employed","indirect migration background","51","0.306012671668116","0.235697086632215","0.376328256704017"
"Partly, partly","1994","Not Employed","no migration background","5","","",""
"Partly, partly","1994","Not Employed","direct migration background","3","","",""
"Partly, partly","1994","Not Employed","indirect migration background","","","",""
"Partly, partly","1994","Employed","no migration background","767","0.175147818286721","0.163671799380079","0.186623837193363"
"Partly, partly","1994","Employed","direct migration background","100","0.138400226391691","0.113881845149876","0.162918607633505"
"Partly, partly","1994","Employed","indirect migration background","31","0.201152922964585","0.139988185213875","0.262317660715294"
"Paid","1994","Not Employed","no migration background","15","","",""
"Paid","1994","Not Employed","direct migration background","4","","",""
"Paid","1994","Not Employed","indirect migration background","4","","",""
"Paid","1994","Employed","no migration background","1090","0.26671669230443","0.253364215778302","0.280069168830557"
"Paid","1994","Employed","direct migration background","401","0.459538276714208","0.424153706756225","0.494922846672191"
"Paid","1994","Employed","indirect migration background","59","0.393220022393584","0.318688575645844","0.467751469141325"
"Not paid","1994","Not Employed","no migration background","5","","",""
"Not paid","1994","Not Employed","direct migration background","","","",""
"Not paid","1994","Not Employed","indirect migration background","1","","",""
"Not paid","1994","Employed","no migration background","713","0.172893885757024","0.161476379492269","0.184311392021778"
"Not paid","1994","Employed","direct migration background","54","0.118704304672941","0.0957393991028028","0.141669210243079"
"Not paid","1994","Employed","indirect migration background","24","","",""
"Acclaimed","1995","Not Employed","no migration background","26","","",""
"Acclaimed","1995","Not Employed","direct migration background","6","","",""
"Acclaimed","1995","Not Employed","indirect migration background","","","",""
"Acclaimed","1995","Employed","no migration background","1715","0.389253622518072","0.374719050284656","0.403788194751488"
"Acclaimed","1995","Employed","direct migration background","230","0.26362550993713","0.235519112843691","0.291731907030568"
"Acclaimed","1995","Employed","indirect migration background","73","0.369684563796274","0.300312238981827","0.439056888610722"
"Partly, partly","1995","Not Employed","no migration background","16","","",""
"Partly, partly","1995","Not Employed","direct migration background","1","","",""
"Partly, partly","1995","Not Employed","indirect migration background","","","",""
"Partly, partly","1995","Employed","no migration background","811","0.184691157712461","0.173123655232736","0.196258660192185"
"Partly, partly","1995","Employed","direct migration background","137","0.130391973681351","0.108911230976165","0.151872716386536"
"Partly, partly","1995","Employed","indirect migration background","29","","",""
"Paid","1995","Not Employed","no migration background","18","","",""
"Paid","1995","Not Employed","direct migration background","9","","",""
"Paid","1995","Not Employed","indirect migration background","4","","",""
"Paid","1995","Employed","no migration background","1091","0.254820995823938","0.241831168364276","0.2678108232836"
"Paid","1995","Employed","direct migration background","500","0.471985979783752","0.440140384595527","0.503831574971977"
"Paid","1995","Employed","indirect migration background","58","0.283729855532164","0.218943647380929","0.348516063683399"
"Not paid","1995","Not Employed","no migration background","8","","",""
"Not paid","1995","Not Employed","direct migration background","1","","",""
"Not paid","1995","Not Employed","indirect migration background","1","","",""
"Not paid","1995","Employed","no migration background","706","0.17123422394553","0.160004562520745","0.182463885370314"
"Not paid","1995","Employed","direct migration background","77","0.133996536597768","0.112266087844824","0.155726985350711"
"Not paid","1995","Employed","indirect migration background","26","","",""
"Acclaimed","1996","Not Employed","no migration background","22","","",""
"Acclaimed","1996","Not Employed","direct migration background","3","","",""
"Acclaimed","1996","Not Employed","indirect migration background","3","","",""
"Acclaimed","1996","Employed","no migration background","1832","0.424895381104736","0.410005641697868","0.439785120511604"
"Acclaimed","1996","Employed","direct migration background","278","0.34328446978177","0.311606421623058","0.374962517940482"
"Acclaimed","1996","Employed","indirect migration background","74","0.443924629751778","0.3727133586024","0.515135900901156"
"Partly, partly","1996","Not Employed","no migration background","6","","",""
"Partly, partly","1996","Not Employed","direct migration background","3","","",""
"Partly, partly","1996","Not Employed","indirect migration background","","","",""
"Partly, partly","1996","Employed","no migration background","711","0.174745505626411","0.163306991295469","0.186184019957354"
"Partly, partly","1996","Employed","direct migration background","118","0.127731746577188","0.105461903761996","0.15000158939238"
"Partly, partly","1996","Employed","indirect migration background","42","0.199757685568262","0.142453045052484","0.257062326084041"
"Paid","1996","Not Employed","no migration background","21","","",""
"Paid","1996","Not Employed","direct migration background","3","","",""
"Paid","1996","Not Employed","indirect migration background","4","","",""
"Paid","1996","Employed","no migration background","991","0.230560380549028","0.217873575195243","0.243247185902814"
"Paid","1996","Employed","direct migration background","403","0.408890101919135","0.376089628822214","0.441690575016055"
"Paid","1996","Employed","indirect migration background","50","0.253942729853233","0.191557574184838","0.316327885521628"
"Not paid","1996","Not Employed","no migration background","5","","",""
"Not paid","1996","Not Employed","direct migration background","3","","",""
"Not paid","1996","Not Employed","indirect migration background","2","","",""
"Not paid","1996","Employed","no migration background","700","0.169798732719824","0.158489540585193","0.181107924854456"
"Not paid","1996","Employed","direct migration background","64","0.120093681721908","0.0984056074975294","0.141781755946286"
"Not paid","1996","Employed","indirect migration background","21","","",""
"Acclaimed","1997","Not Employed","no migration background","15","","",""
"Acclaimed","1997","Not Employed","direct migration background","3","","",""
"Acclaimed","1997","Not Employed","indirect migration background","2","","",""
"Acclaimed","1997","Employed","no migration background","1606","0.437627585750189","0.421633977308969","0.45362119419141"
"Acclaimed","1997","Employed","direct migration background","252","0.374739276141349","0.338222587719469","0.41125596456323"
"Acclaimed","1997","Employed","indirect migration background","91","0.527440940180443","0.457006607896253","0.597875272464633"
"Partly, partly","1997","Not Employed","no migration background","2","","",""
"Partly, partly","1997","Not Employed","direct migration background","2","","",""
"Partly, partly","1997","Not Employed","indirect migration background","1","","",""
"Partly, partly","1997","Employed","no migration background","797","0.210231842244578","0.197095296950513","0.223368387538643"
"Partly, partly","1997","Employed","direct migration background","132","0.181235464598849","0.152175350920601","0.210295578277097"
"Partly, partly","1997","Employed","indirect migration background","40","0.157268586992858","0.105907403758322","0.208629770227394"
"Paid","1997","Not Employed","no migration background","4","","",""
"Paid","1997","Not Employed","direct migration background","2","","",""
"Paid","1997","Not Employed","indirect migration background","1","","",""
"Paid","1997","Employed","no migration background","616","0.156608975499632","0.144892285987329","0.168325665011935"
"Paid","1997","Employed","direct migration background","216","0.262848961572416","0.229642119383767","0.296055803761064"
"Paid","1997","Employed","indirect migration background","38","0.232113242269637","0.172551418861339","0.291675065677935"
"Not paid","1997","Not Employed","no migration background","5","","",""
"Not paid","1997","Not Employed","direct migration background","","","",""
"Not paid","1997","Not Employed","indirect migration background","1","","",""
"Not paid","1997","Employed","no migration background","677","0.195531596505601","0.182745290951727","0.208317902059475"
"Not paid","1997","Employed","direct migration background","75","0.181176297687385","0.152119878136848","0.210232717237923"
"Not paid","1997","Employed","indirect migration background","24","","",""
"Acclaimed","1998","Not Employed","no migration background","13","","",""
"Acclaimed","1998","Not Employed","direct migration background","1","","",""
"Acclaimed","1998","Not Employed","indirect migration background","1","","",""
"Acclaimed","1998","Employed","no migration background","1881","0.450213721505598","0.435129662683263","0.465297780327934"
"Acclaimed","1998","Employed","direct migration background","245","0.379275512775283","0.341021174426173","0.417529851124392"
"Acclaimed","1998","Employed","indirect migration background","79","0.490557693487022","0.417729195496314","0.563386191477731"
"Partly, partly","1998","Not Employed","no migration background","8","","",""
"Partly, partly","1998","Not Employed","direct migration background","3","","",""
"Partly, partly","1998","Not Employed","indirect migration background","","","",""
"Partly, partly","1998","Employed","no migration background","904","0.210687301741482","0.198323397554311","0.223051205928653"
"Partly, partly","1998","Employed","direct migration background","124","0.19892212825109","0.167449517558501","0.230394738943679"
"Partly, partly","1998","Employed","indirect migration background","44","0.207821733421189","0.148711081828738","0.26693238501364"
"Paid","1998","Not Employed","no migration background","6","","",""
"Paid","1998","Not Employed","direct migration background","5","","",""
"Paid","1998","Not Employed","indirect migration background","3","","",""
"Paid","1998","Employed","no migration background","641","0.15413454513019","0.143187105917834","0.165081984342547"
"Paid","1998","Employed","direct migration background","184","0.260154487549077","0.225565325875873","0.294743649222282"
"Paid","1998","Employed","indirect migration background","36","0.17789546554781","0.122182693913036","0.233608237182585"
"Not paid","1998","Not Employed","no migration background","10","","",""
"Not paid","1998","Not Employed","direct migration background","1","","",""
"Not paid","1998","Not Employed","indirect migration background","1","","",""
"Not paid","1998","Employed","no migration background","753","0.184964431622729","0.173192593062526","0.196736270182933"
"Not paid","1998","Employed","direct migration background","65","0.16164787142455","0.132624217678482","0.190671525170618"
"Not paid","1998","Employed","indirect migration background","22","","",""
"Acclaimed","1999","Not Employed","no migration background","16","","",""
"Acclaimed","1999","Not Employed","direct migration background","2","","",""
"Acclaimed","1999","Not Employed","indirect migration background","3","","",""
"Acclaimed","1999","Employed","no migration background","1879","0.450755896854482","0.435644869280342","0.465866924428621"
"Acclaimed","1999","Employed","direct migration background","220","0.433095634157864","0.392238239389496","0.473953028926231"
"Acclaimed","1999","Employed","indirect migration background","87","0.531338914306363","0.462006422027508","0.600671406585219"
"Partly, partly","1999","Not Employed","no migration background","4","","",""
"Partly, partly","1999","Not Employed","direct migration background","1","","",""
"Partly, partly","1999","Not Employed","indirect migration background","","","",""
"Partly, partly","1999","Employed","no migration background","910","0.222115336977092","0.209491613686401","0.234739060267782"
"Partly, partly","1999","Employed","direct migration background","111","0.159002431635073","0.12884994593348","0.189154917336667"
"Partly, partly","1999","Employed","indirect migration background","44","0.144611319539923","0.095745583274599","0.193477055805248"
"Paid","1999","Not Employed","no migration background","5","","",""
"Paid","1999","Not Employed","direct migration background","","","",""
"Paid","1999","Not Employed","indirect migration background","2","","",""
"Paid","1999","Employed","no migration background","616","0.141146159422847","0.130572270304243","0.15172004854145"
"Paid","1999","Employed","direct migration background","180","0.255269499360622","0.219317512127459","0.291221486593785"
"Paid","1999","Employed","indirect migration background","45","0.197664834075758","0.142334387851577","0.25299528029994"
"Not paid","1999","Not Employed","no migration background","3","","",""
"Not paid","1999","Not Employed","direct migration background","","","",""
"Not paid","1999","Not Employed","indirect migration background","1","","",""
"Not paid","1999","Employed","no migration background","760","0.18598260674558","0.174165977873955","0.197799235617205"
"Not paid","1999","Employed","direct migration background","54","0.152632434846441","0.122978440429026","0.182286429263855"
"Not paid","1999","Employed","indirect migration background","23","","",""
"Acclaimed","2000","Not Employed","no migration background","30","0.496584214353307","0.373120969735959","0.620047458970656"
"Acclaimed","2000","Not Employed","direct migration background","4","","",""
"Acclaimed","2000","Not Employed","indirect migration background","","","",""
"Acclaimed","2000","Employed","no migration background","3375","0.479916032964592","0.468274659250376","0.491557406678808"
"Acclaimed","2000","Employed","direct migration background","373","0.413493215522723","0.380826032678085","0.446160398367362"
"Acclaimed","2000","Employed","indirect migration background","118","0.507132603338943","0.446595274161217","0.567669932516669"
"Partly, partly","2000","Not Employed","no migration background","18","","",""
"Partly, partly","2000","Not Employed","direct migration background","1","","",""
"Partly, partly","2000","Not Employed","indirect migration background","","","",""
"Partly, partly","2000","Employed","no migration background","1456","0.208132870292304","0.19867308316594","0.217592657418667"
"Partly, partly","2000","Employed","direct migration background","166","0.185935402452831","0.16012757494205","0.211743229963611"
"Partly, partly","2000","Employed","indirect migration background","61","0.202163972874629","0.153533762436468","0.250794183312791"
"Paid","2000","Not Employed","no migration background","9","","",""
"Paid","2000","Not Employed","direct migration background","5","","",""
"Paid","2000","Not Employed","indirect migration background","1","","",""
"Paid","2000","Employed","no migration background","1003","0.143254697869345","0.135091408879486","0.151417986859205"
