"plb0195_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Not paid","1990","Full Time","Rural Area","85","0.152683571449648","0.124279754610087","0.181087388289209"
"Not paid","1990","Part Time","Urban Area","61","0.1320267040222","0.10186822167758","0.16218518636682"
"Not paid","1990","Part Time","Rural Area","10","","",""
"Not paid","1990","Not Working","Urban Area","2","","",""
"Not paid","1990","Not Working","Rural Area","1","","",""
"Acclaimed","1991","Full Time","Urban Area","709","0.309701592116266","0.291551572170973","0.327851612061558"
"Acclaimed","1991","Full Time","Rural Area","199","0.340861715800345","0.303246760074072","0.378476671526618"
"Acclaimed","1991","Part Time","Urban Area","187","0.37532910601194","0.334066940896737","0.416591271127143"
"Acclaimed","1991","Part Time","Rural Area","57","0.335399354356397","0.264427668609307","0.406371040103487"
"Acclaimed","1991","Not Working","Urban Area","8","","",""
"Acclaimed","1991","Not Working","Rural Area","4","","",""
"Partly, partly","1991","Full Time","Urban Area","372","0.151501280798856","0.137427178626282","0.165575382971431"
"Partly, partly","1991","Full Time","Rural Area","98","0.155988634458885","0.127194515198914","0.184782753718856"
"Partly, partly","1991","Part Time","Urban Area","73","0.133429916845677","0.104453231255221","0.162406602436133"
"Partly, partly","1991","Part Time","Rural Area","25","","",""
"Partly, partly","1991","Not Working","Urban Area","7","","",""
"Partly, partly","1991","Not Working","Rural Area","","","",""
"Paid","1991","Full Time","Urban Area","1064","0.360341994049875","0.341496032077437","0.379187956022314"
"Paid","1991","Full Time","Rural Area","243","0.370587047754549","0.332260815279799","0.4089132802293"
"Paid","1991","Part Time","Urban Area","214","0.360947800673337","0.320020733727785","0.401874867618889"
"Paid","1991","Part Time","Rural Area","66","0.401172471644942","0.327494091207475","0.47485085208241"
"Paid","1991","Not Working","Urban Area","29","","",""
"Paid","1991","Not Working","Rural Area","5","","",""
"Not paid","1991","Full Time","Urban Area","348","0.178455133035003","0.163424851440861","0.193485414629145"
"Not paid","1991","Full Time","Rural Area","70","0.13256260198622","0.105652660431365","0.159472543541075"
"Not paid","1991","Part Time","Urban Area","55","0.130293176469046","0.101607339241644","0.158979013696449"
"Not paid","1991","Part Time","Rural Area","22","","",""
"Not paid","1991","Not Working","Urban Area","4","","",""
"Not paid","1991","Not Working","Rural Area","3","","",""
"Acclaimed","1992","Full Time","Urban Area","913","0.335363440060645","0.318259872745973","0.352467007375317"
"Acclaimed","1992","Full Time","Rural Area","557","0.371005095564101","0.346140718067386","0.395869473060815"
"Acclaimed","1992","Part Time","Urban Area","191","0.355717242096534","0.316823716598967","0.3946107675941"
"Acclaimed","1992","Part Time","Rural Area","147","0.394318104344115","0.342295283565722","0.446340925122509"
"Acclaimed","1992","Not Working","Urban Area","16","","",""
"Acclaimed","1992","Not Working","Rural Area","8","","",""
"Partly, partly","1992","Full Time","Urban Area","517","0.177164385747187","0.163332497178125","0.190996274316249"
"Partly, partly","1992","Full Time","Rural Area","245","0.177427655321498","0.157764111121603","0.197091199521394"
"Partly, partly","1992","Part Time","Urban Area","78","0.116051016250557","0.0900299748865834","0.142072057614531"
"Partly, partly","1992","Part Time","Rural Area","40","0.153293263266253","0.11494229932909","0.191644227203416"
"Partly, partly","1992","Not Working","Urban Area","4","","",""
"Partly, partly","1992","Not Working","Rural Area","4","","",""
"Paid","1992","Full Time","Urban Area","1064","0.319843303961857","0.302946294381697","0.336740313542017"
"Paid","1992","Full Time","Rural Area","451","0.309037219116173","0.285252566612676","0.33282187161967"
"Paid","1992","Part Time","Urban Area","232","0.390479948532649","0.350844847825027","0.430115049240271"
"Paid","1992","Part Time","Rural Area","110","0.343027468218628","0.292493163258786","0.39356177317847"
"Paid","1992","Not Working","Urban Area","9","","",""
"Paid","1992","Not Working","Rural Area","6","","",""
"Not paid","1992","Full Time","Urban Area","433","0.167628870230311","0.154096631740897","0.181161108719726"
"Not paid","1992","Full Time","Rural Area","197","0.142530029998228","0.12453607053299","0.160523989463466"
"Not paid","1992","Part Time","Urban Area","81","0.13775179312026","0.109752222007209","0.165751364233311"
"Not paid","1992","Part Time","Rural Area","42","0.109361164171004","0.0761387935753672","0.142583534766641"
"Not paid","1992","Not Working","Urban Area","3","","",""
"Not paid","1992","Not Working","Rural Area","4","","",""
"Acclaimed","1993","Full Time","Urban Area","891","0.326877010270878","0.309591945246063","0.344162075295692"
"Acclaimed","1993","Full Time","Rural Area","536","0.36340596964792","0.338700409050842","0.388111530244998"
"Acclaimed","1993","Part Time","Urban Area","220","0.367249215746355","0.328709576987655","0.405788854505054"
"Acclaimed","1993","Part Time","Rural Area","132","0.415278015347293","0.360946886147356","0.46960914454723"
"Acclaimed","1993","Not Working","Urban Area","15","","",""
"Acclaimed","1993","Not Working","Rural Area","10","","",""
"Partly, partly","1993","Full Time","Urban Area","510","0.1730752212916","0.159134601972936","0.187015840610264"
"Partly, partly","1993","Full Time","Rural Area","252","0.165037855073734","0.145970406579841","0.184105303567626"
"Partly, partly","1993","Part Time","Urban Area","81","0.131656595210984","0.104624611327254","0.158688579094713"
"Partly, partly","1993","Part Time","Rural Area","49","0.157510952424557","0.117346480588375","0.197675424260739"
"Partly, partly","1993","Not Working","Urban Area","6","","",""
"Partly, partly","1993","Not Working","Rural Area","4","","",""
"Paid","1993","Full Time","Urban Area","976","0.317186540491596","0.30003749197533","0.334335589007862"
"Paid","1993","Full Time","Rural Area","446","0.301867364194277","0.278287328664498","0.325447399724057"
"Paid","1993","Part Time","Urban Area","219","0.347674889618366","0.309600796655653","0.385748982581079"
"Paid","1993","Part Time","Rural Area","100","0.340814496104344","0.288554737038643","0.393074255170045"
"Paid","1993","Not Working","Urban Area","18","","",""
"Paid","1993","Not Working","Rural Area","7","","",""
"Not paid","1993","Full Time","Urban Area","452","0.182861227945927","0.168616953193932","0.197105502697922"
"Not paid","1993","Full Time","Rural Area","222","0.169688811084069","0.150408481566338","0.1889691406018"
"Not paid","1993","Part Time","Urban Area","81","0.153419299424296","0.124606527963239","0.182232070885353"
"Not paid","1993","Part Time","Rural Area","35","0.0863965361238058","0.0554200904673075","0.117372981780304"
"Not paid","1993","Not Working","Urban Area","7","","",""
"Not paid","1993","Not Working","Rural Area","7","","",""
"Acclaimed","1994","Full Time","Urban Area","963","0.359902544554068","0.341970104603518","0.377834984504617"
"Acclaimed","1994","Full Time","Rural Area","521","0.364971782779251","0.33972674388409","0.390216821674413"
"Acclaimed","1994","Part Time","Urban Area","266","0.426760470536499","0.388795379008945","0.464725562064054"
"Acclaimed","1994","Part Time","Rural Area","152","0.416016379186884","0.363624475309095","0.468408283064673"
"Acclaimed","1994","Not Working","Urban Area","17","","",""
"Acclaimed","1994","Not Working","Rural Area","8","","",""
"Partly, partly","1994","Full Time","Urban Area","493","0.174514333240961","0.160333746661007","0.188694919820915"
"Partly, partly","1994","Full Time","Rural Area","273","0.194374906802906","0.173624028686794","0.215125784919018"
"Partly, partly","1994","Part Time","Urban Area","82","0.128751503292418","0.103043315226187","0.154459691358648"
"Partly, partly","1994","Part Time","Rural Area","50","0.163919579457115","0.124569277011646","0.203269881902585"
"Partly, partly","1994","Not Working","Urban Area","6","","",""
"Partly, partly","1994","Not Working","Rural Area","2","","",""
"Paid","1994","Full Time","Urban Area","849","0.282392246689606","0.265573492560574","0.299211000818638"
"Paid","1994","Full Time","Rural Area","385","0.285987047315328","0.262290988723969","0.309683105906687"
"Paid","1994","Part Time","Urban Area","223","0.31714941808519","0.28142878934877","0.35287004682161"
"Paid","1994","Part Time","Rural Area","93","0.282410588064788","0.234560016346207","0.330261159783369"
"Paid","1994","Not Working","Urban Area","17","","",""
"Paid","1994","Not Working","Rural Area","6","","",""
"Not paid","1994","Full Time","Urban Area","447","0.183190875515365","0.168738604879496","0.197643146151234"
"Not paid","1994","Full Time","Rural Area","218","0.154666263102514","0.135705239221956","0.173627286983073"
"Not paid","1994","Part Time","Urban Area","81","0.127338608085893","0.10175114532858","0.152926070843207"
"Not paid","1994","Part Time","Rural Area","45","0.137653453291213","0.101031365259205","0.17427554132322"
"Not paid","1994","Not Working","Urban Area","4","","",""
"Not paid","1994","Not Working","Rural Area","2","","",""
"Acclaimed","1995","Full Time","Urban Area","988","0.363670850964632","0.345897013687276","0.381444688241988"
"Acclaimed","1995","Full Time","Rural Area","576","0.365526900996325","0.34118049390264","0.38987330809001"
"Acclaimed","1995","Part Time","Urban Area","302","0.405306243989494","0.370763600772145","0.439848887206844"
"Acclaimed","1995","Part Time","Rural Area","152","0.411314787231217","0.360484148660296","0.462145425802137"
"Acclaimed","1995","Not Working","Urban Area","21","","",""
"Acclaimed","1995","Not Working","Rural Area","11","","",""
"Partly, partly","1995","Full Time","Urban Area","528","0.191548833944678","0.177009225981647","0.20608844190771"
"Partly, partly","1995","Full Time","Rural Area","288","0.184806268736037","0.165183631924384","0.204428905547691"
"Partly, partly","1995","Part Time","Urban Area","102","0.119508304426926","0.0966849799372204","0.142331628916631"
"Partly, partly","1995","Part Time","Rural Area","59","0.182418694635542","0.142525667842431","0.222311721428654"
"Partly, partly","1995","Not Working","Urban Area","9","","",""
"Partly, partly","1995","Not Working","Rural Area","8","","",""
"Paid","1995","Full Time","Urban Area","856","0.266158485035912","0.249829569561454","0.282487400510371"
"Paid","1995","Full Time","Rural Area","401","0.279384820474182","0.256700712439454","0.302068928508911"
"Paid","1995","Part Time","Urban Area","276","0.32616723467954","0.29318246479452","0.359152004564561"
"Paid","1995","Part Time","Rural Area","116","0.318885295779481","0.270743286127794","0.367027305431167"
"Paid","1995","Not Working","Urban Area","23","","",""
"Paid","1995","Not Working","Rural Area","8","","",""
"Not paid","1995","Full Time","Urban Area","442","0.178621830054777","0.164469599668688","0.192774060440866"
"Not paid","1995","Full Time","Rural Area","238","0.170282009793456","0.151279181779033","0.189284837807878"
"Not paid","1995","Part Time","Urban Area","96","0.14901821690404","0.123963064818213","0.174073368989866"
"Not paid","1995","Part Time","Rural Area","33","0.0873812223537602","0.0582102706216956","0.116552174085825"
"Not paid","1995","Not Working","Urban Area","7","","",""
"Not paid","1995","Not Working","Rural Area","3","","",""
"Acclaimed","1996","Full Time","Urban Area","1071","0.402670914306508","0.38418560554786","0.421156223065155"
"Acclaimed","1996","Full Time","Rural Area","611","0.415897892372887","0.39068499188904","0.441110792856733"
"Acclaimed","1996","Part Time","Urban Area","355","0.457612607698014","0.422469252305902","0.492755963090127"
"Acclaimed","1996","Part Time","Rural Area","147","0.423393545624661","0.370874055785132","0.47591303546419"
"Acclaimed","1996","Not Working","Urban Area","18","","",""
"Acclaimed","1996","Not Working","Rural Area","10","","",""
"Partly, partly","1996","Full Time","Urban Area","468","0.172587213970737","0.158343928775156","0.186830499166318"
"Partly, partly","1996","Full Time","Rural Area","249","0.167982924308157","0.148858703401073","0.187107145215242"
"Partly, partly","1996","Part Time","Urban Area","104","0.155651264872583","0.130078558236569","0.181223971508597"
"Partly, partly","1996","Part Time","Rural Area","50","0.182706122718068","0.141631431630573","0.223780813805563"
"Partly, partly","1996","Not Working","Urban Area","5","","",""
"Partly, partly","1996","Not Working","Rural Area","4","","",""
"Paid","1996","Full Time","Urban Area","711","0.234815832181563","0.218838972430447","0.250792691932679"
"Paid","1996","Full Time","Rural Area","386","0.256755067602554","0.234408513995302","0.279101621209806"
"Paid","1996","Part Time","Urban Area","240","0.281839050027276","0.250103142840962","0.31357495721359"
"Paid","1996","Part Time","Rural Area","107","0.314428677633317","0.265077669539735","0.3637796857269"
"Paid","1996","Not Working","Urban Area","19","","",""
"Paid","1996","Not Working","Rural Area","9","","",""
"Not paid","1996","Full Time","Urban Area","454","0.189926039541192","0.175141788120672","0.204710290961713"
"Not paid","1996","Full Time","Rural Area","222","0.159364115716402","0.140640733877024","0.17808749755578"
"Not paid","1996","Part Time","Urban Area","73","0.104897077402127","0.0832819588153435","0.12651219598891"
"Not paid","1996","Part Time","Rural Area","36","0.0794716540239537","0.0507219524070141","0.108221355640893"
"Not paid","1996","Not Working","Urban Area","9","","",""
"Not paid","1996","Not Working","Rural Area","1","","",""
"Acclaimed","1997","Full Time","Urban Area","962","0.406948228570344","0.387342845870962","0.426553611269725"
"Acclaimed","1997","Full Time","Rural Area","570","0.440646304188958","0.413710424900533","0.467582183477383"
"Acclaimed","1997","Part Time","Urban Area","275","0.499090729759788","0.457455353392167","0.54072610612741"
"Acclaimed","1997","Part Time","Rural Area","142","0.496563336090261","0.439313529168846","0.553813143011675"
"Acclaimed","1997","Not Working","Urban Area","12","","",""
"Acclaimed","1997","Not Working","Rural Area","8","","",""
"Partly, partly","1997","Full Time","Urban Area","526","0.212573866770087","0.196246381989259","0.228901351550915"
"Partly, partly","1997","Full Time","Rural Area","292","0.220681841315848","0.198181788760839","0.243181893870858"
"Partly, partly","1997","Part Time","Urban Area","97","0.174686452008762","0.143068603964792","0.206304300052731"
"Partly, partly","1997","Part Time","Rural Area","54","0.153668284134286","0.1123752581096","0.194961310158972"
"Partly, partly","1997","Not Working","Urban Area","3","","",""
"Partly, partly","1997","Not Working","Rural Area","2","","",""
"Paid","1997","Full Time","Urban Area","474","0.16333753307691","0.148584626960181","0.178090439193638"
"Paid","1997","Full Time","Rural Area","220","0.161437910631147","0.141475489583181","0.181400331679113"
"Paid","1997","Part Time","Urban Area","111","0.185257876115182","0.152906583751978","0.217609168478386"
"Paid","1997","Part Time","Rural Area","65","0.236604635389799","0.187941435324266","0.285267835455331"
"Paid","1997","Not Working","Urban Area","6","","",""
"Paid","1997","Not Working","Rural Area","1","","",""
"Not paid","1997","Full Time","Urban Area","450","0.217140371582659","0.200686364636887","0.233594378528432"
"Not paid","1997","Full Time","Rural Area","223","0.177233943864047","0.156515627082268","0.197952260645825"
"Not paid","1997","Part Time","Urban Area","71","0.140964942116268","0.111987889366803","0.169941994865734"
"Not paid","1997","Part Time","Rural Area","32","0.113163744385654","0.0768902282774141","0.149437260493895"
"Not paid","1997","Not Working","Urban Area","3","","",""
"Not paid","1997","Not Working","Rural Area","3","","",""
"Acclaimed","1998","Full Time","Urban Area","1051","0.421605517289188","0.402256021530966","0.440955013047409"
"Acclaimed","1998","Full Time","Rural Area","657","0.449812301990897","0.424010199887644","0.47561440409415"
"Acclaimed","1998","Part Time","Urban Area","325","0.486580761586692","0.449041297266015","0.524120225907368"
"Acclaimed","1998","Part Time","Rural Area","172","0.497973062462951","0.446818839200515","0.549127285725387"
"Acclaimed","1998","Not Working","Urban Area","7","","",""
"Acclaimed","1998","Not Working","Rural Area","8","","",""
"Partly, partly","1998","Full Time","Urban Area","531","0.207318628338534","0.191434151057158","0.22320310561991"
"Partly, partly","1998","Full Time","Rural Area","332","0.229503136936767","0.207692731552929","0.251313542320605"
"Partly, partly","1998","Part Time","Urban Area","147","0.198838493840826","0.168861725989482","0.22881526169217"
"Partly, partly","1998","Part Time","Rural Area","62","0.177691941430773","0.138583888143332","0.216799994718214"
"Partly, partly","1998","Not Working","Urban Area","9","","",""
"Partly, partly","1998","Not Working","Rural Area","2","","",""
"Paid","1998","Full Time","Urban Area","440","0.162501044386052","0.148045826120229","0.176956262651875"
"Paid","1998","Full Time","Rural Area","212","0.151692011910922","0.133086478680656","0.170297545141188"
"Paid","1998","Part Time","Urban Area","128","0.185842369080706","0.156627687947715","0.215057050213698"
"Paid","1998","Part Time","Rural Area","81","0.203087977589797","0.161929210627113","0.244246744552481"
"Paid","1998","Not Working","Urban Area","8","","",""
"Paid","1998","Not Working","Rural Area","6","","",""
"Not paid","1998","Full Time","Urban Area","480","0.208574809986227","0.192654911239269","0.224494708733184"
"Not paid","1998","Full Time","Rural Area","227","0.168992549161414","0.149555952401295","0.188429145921533"
"Not paid","1998","Part Time","Urban Area","81","0.128738375491776","0.103584619702941","0.153892131280611"
"Not paid","1998","Part Time","Rural Area","52","0.121247018516479","0.0878518223667548","0.154642214666203"
"Not paid","1998","Not Working","Urban Area","10","","",""
"Not paid","1998","Not Working","Rural Area","2","","",""
"Acclaimed","1999","Full Time","Urban Area","1054","0.43815707944406","0.418684555816093","0.457629603072026"
"Acclaimed","1999","Full Time","Rural Area","620","0.440568901421047","0.414498197684388","0.466639605157706"
"Acclaimed","1999","Part Time","Urban Area","326","0.485090719357813","0.447019574315408","0.523161864400218"
"Acclaimed","1999","Part Time","Rural Area","186","0.519436778921871","0.469202762173714","0.569670795670029"
"Acclaimed","1999","Not Working","Urban Area","16","","",""
"Acclaimed","1999","Not Working","Rural Area","5","","",""
"Partly, partly","1999","Full Time","Urban Area","550","0.211388216299515","0.195364181309221","0.22741225128981"
"Partly, partly","1999","Full Time","Rural Area","333","0.242636246853314","0.220124840331324","0.265147653375305"
"Partly, partly","1999","Part Time","Urban Area","111","0.172537016903597","0.143754118412343","0.201319915394851"
"Partly, partly","1999","Part Time","Rural Area","71","0.218334365553549","0.176798061360421","0.259870669746677"
"Partly, partly","1999","Not Working","Urban Area","2","","",""
"Partly, partly","1999","Not Working","Rural Area","3","","",""
"Paid","1999","Full Time","Urban Area","414","0.141712995896962","0.128025595417661","0.155400396376262"
"Paid","1999","Full Time","Rural Area","216","0.156616108379744","0.137530614713292","0.175701602046195"
"Paid","1999","Part Time","Urban Area","133","0.197230331032059","0.166919249990332","0.227541412073785"
"Paid","1999","Part Time","Rural Area","78","0.155811313143999","0.119346369183945","0.192276257104054"
"Paid","1999","Not Working","Urban Area","4","","",""
"Paid","1999","Not Working","Rural Area","3","","",""
"Not paid","1999","Full Time","Urban Area","476","0.208741708359463","0.192791600648314","0.224691816070613"
