"plb0195_h","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Paid","1986","Full Time","no migration background","692","0.336213699474135","0.31586274590275","0.35656465304552","3"
"Paid","1986","Part Time","direct migration background","79","0.512690618589229","0.42742161327347","0.597959623904989","3"
"Paid","1986","Part Time","indirect migration background","4","","","","3"
"Paid","1986","Full Time","indirect migration background","13","","","","3"
"Paid","1986","Part Time","no migration background","188","0.375206217349205","0.333102581814919","0.417309852883491","3"
"Paid","1986","Not Working","no migration background","15","","","","3"
"Paid","1986","Not Working","direct migration background","8","","","","3"
"Paid","1986","Not Working","indirect migration background","","","","","3"
"Partly, partly","1986","Full Time","direct migration background","60","0.0945096922974695","0.0732008975807994","0.11581848701414","2"
"Partly, partly","1986","Part Time","indirect migration background","1","","","","2"
"Partly, partly","1986","Not Working","direct migration background","","","","","2"
"Partly, partly","1986","Full Time","no migration background","263","0.126165444872696","0.111861766463808","0.140469123281584","2"
"Partly, partly","1986","Part Time","direct migration background","14","","","","2"
"Partly, partly","1986","Not Working","indirect migration background","1","","","","2"
"Partly, partly","1986","Full Time","indirect migration background","3","","","","2"
"Partly, partly","1986","Part Time","no migration background","49","0.106955033298991","0.0800797214658711","0.133830345132111","2"
"Partly, partly","1986","Not Working","no migration background","4","","","","2"
"Acclaimed","1987","Full Time","no migration background","","","","","1"
"Acclaimed","1987","Full Time","direct migration background","","","","","1"
"Acclaimed","1987","Full Time","indirect migration background","","","","","1"
"Acclaimed","1987","Part Time","no migration background","","","","","1"
"Acclaimed","1987","Part Time","direct migration background","","","","","1"
"Acclaimed","1987","Part Time","indirect migration background","","","","","1"
"Acclaimed","1987","Not Working","no migration background","","","","","1"
"Acclaimed","1987","Not Working","direct migration background","","","","","1"
"Acclaimed","1987","Not Working","indirect migration background","","","","","1"
"Not paid","1987","Full Time","no migration background","","","","","4"
"Not paid","1987","Full Time","indirect migration background","","","","","4"
"Not paid","1987","Part Time","no migration background","","","","","4"
"Not paid","1987","Part Time","direct migration background","","","","","4"
"Not paid","1987","Full Time","direct migration background","","","","","4"
"Not paid","1987","Part Time","indirect migration background","","","","","4"
"Not paid","1987","Not Working","no migration background","","","","","4"
"Not paid","1987","Not Working","direct migration background","","","","","4"
"Not paid","1987","Not Working","indirect migration background","","","","","4"
"Paid","1987","Part Time","direct migration background","","","","","3"
"Paid","1987","Full Time","direct migration background","","","","","3"
"Paid","1987","Part Time","indirect migration background","","","","","3"
"Paid","1987","Full Time","no migration background","","","","","3"
"Paid","1987","Full Time","indirect migration background","","","","","3"
"Paid","1987","Part Time","no migration background","","","","","3"
"Paid","1987","Not Working","no migration background","","","","","3"
"Paid","1987","Not Working","direct migration background","","","","","3"
"Paid","1987","Not Working","indirect migration background","","","","","3"
"Partly, partly","1987","Full Time","no migration background","","","","","2"
"Partly, partly","1987","Full Time","direct migration background","","","","","2"
"Partly, partly","1987","Part Time","direct migration background","","","","","2"
"Partly, partly","1987","Part Time","indirect migration background","","","","","2"
"Partly, partly","1987","Not Working","direct migration background","","","","","2"
"Partly, partly","1987","Not Working","indirect migration background","","","","","2"
"Partly, partly","1987","Full Time","indirect migration background","","","","","2"
"Partly, partly","1987","Part Time","no migration background","","","","","2"
"Partly, partly","1987","Not Working","no migration background","","","","","2"
"Acclaimed","1988","Full Time","no migration background","674","0.332429019816125","0.311885701502886","0.352972338129365","1"
"Acclaimed","1988","Full Time","direct migration background","109","0.208847677844567","0.179279493334207","0.238415862354927","1"
"Acclaimed","1988","Full Time","indirect migration background","18","","","","1"
"Acclaimed","1988","Part Time","no migration background","173","0.364075674301454","0.320985437112253","0.407165911490655","1"
"Acclaimed","1988","Part Time","direct migration background","29","","","","1"
"Acclaimed","1988","Part Time","indirect migration background","5","","","","1"
"Acclaimed","1988","Not Working","no migration background","9","","","","1"
"Acclaimed","1988","Not Working","direct migration background","4","","","","1"
"Acclaimed","1988","Not Working","indirect migration background","","","","","1"
"Not paid","1988","Part Time","no migration background","85","0.178666216217523","0.144360902297348","0.212971530137698","4"
"Not paid","1988","Part Time","direct migration background","11","","","","4"
"Not paid","1988","Full Time","no migration background","430","0.214833487023957","0.196923128498237","0.232743845549677","4"
"Not paid","1988","Full Time","direct migration background","54","0.115982158490734","0.0926902063417377","0.13927411063973","4"
"Not paid","1988","Part Time","indirect migration background","2","","","","4"
"Not paid","1988","Not Working","no migration background","7","","","","4"
"Not paid","1988","Not Working","direct migration background","","","","","4"
"Not paid","1988","Not Working","indirect migration background","","","","","4"
"Not paid","1988","Full Time","indirect migration background","2","","","","4"
"Paid","1988","Full Time","direct migration background","489","0.573076728602515","0.537096735021823","0.609056722183206","3"
"Paid","1988","Part Time","indirect migration background","6","","","","3"
"Paid","1988","Not Working","no migration background","10","","","","3"
"Paid","1988","Not Working","direct migration background","8","","","","3"
"Paid","1988","Full Time","no migration background","629","0.312445524269712","0.292233346141639","0.332657702397786","3"
"Paid","1988","Part Time","direct migration background","103","0.532642980945706","0.453325523180659","0.611960438710754","3"
"Paid","1988","Not Working","indirect migration background","2","","","","3"
"Paid","1988","Full Time","indirect migration background","12","","","","3"
"Paid","1988","Part Time","no migration background","179","0.365314512886275","0.322193090181676","0.408435935590874","3"
"Partly, partly","1988","Full Time","direct migration background","74","0.102093435062185","0.0800695332437015","0.124117336880668","2"
"Partly, partly","1988","Part Time","indirect migration background","1","","","","2"
"Partly, partly","1988","Full Time","no migration background","287","0.140291968890205","0.125147142357908","0.155436795422503","2"
"Partly, partly","1988","Part Time","direct migration background","9","","","","2"
"Partly, partly","1988","Part Time","no migration background","42","0.0919435965947477","0.0660675758239486","0.117819617365547","2"
"Partly, partly","1988","Not Working","direct migration background","","","","","2"
"Partly, partly","1988","Not Working","indirect migration background","","","","","2"
"Partly, partly","1988","Full Time","indirect migration background","5","","","","2"
"Partly, partly","1988","Not Working","no migration background","2","","","","2"
"Acclaimed","1989","Full Time","no migration background","684","0.322398042898968","0.302544236412301","0.342251849385634","1"
"Acclaimed","1989","Full Time","direct migration background","122","0.191855761567823","0.164501599190094","0.219209923945553","1"
"Acclaimed","1989","Full Time","indirect migration background","18","","","","1"
"Acclaimed","1989","Part Time","no migration background","177","0.36073500111547","0.318643182184599","0.402826820046342","1"
"Acclaimed","1989","Part Time","direct migration background","27","","","","1"
"Acclaimed","1989","Part Time","indirect migration background","7","","","","1"
"Acclaimed","1989","Not Working","no migration background","8","","","","1"
"Acclaimed","1989","Not Working","direct migration background","4","","","","1"
"Acclaimed","1989","Not Working","indirect migration background","","","","","1"
"Not paid","1989","Part Time","no migration background","72","0.145743389536724","0.114815399572748","0.1766713795007","4"
"Not paid","1989","Part Time","direct migration background","7","","","","4"
"Not paid","1989","Full Time","no migration background","437","0.208654113392151","0.191393472771424","0.225914754012879","4"
"Not paid","1989","Full Time","direct migration background","44","0.0605436105647446","0.0439758416730253","0.077111379456464","4"
"Not paid","1989","Full Time","indirect migration background","4","","","","4"
"Not paid","1989","Part Time","indirect migration background","2","","","","4"
"Not paid","1989","Not Working","no migration background","5","","","","4"
"Not paid","1989","Not Working","direct migration background","1","","","","4"
"Not paid","1989","Not Working","indirect migration background","","","","","4"
"Paid","1989","Full Time","no migration background","682","0.320284288437962","0.300464832338174","0.34010374453775","3"
"Paid","1989","Full Time","direct migration background","522","0.564929568525276","0.530489144117996","0.599369992932557","3"
"Paid","1989","Part Time","direct migration background","68","0.485594592817914","0.39464332024706","0.576545865388768","3"
"Paid","1989","Part Time","indirect migration background","8","","","","3"
"Paid","1989","Not Working","no migration background","18","","","","3"
"Paid","1989","Not Working","direct migration background","6","","","","3"
"Paid","1989","Not Working","indirect migration background","","","","","3"
"Paid","1989","Full Time","indirect migration background","23","","","","3"
"Paid","1989","Part Time","no migration background","190","0.3677221301283","0.325457510652915","0.409986749603685","3"
"Partly, partly","1989","Full Time","direct migration background","108","0.182671059342156","0.155828441441047","0.209513677243264","2"
"Partly, partly","1989","Full Time","no migration background","326","0.148663555270919","0.133551861984749","0.163775248557089","2"
"Partly, partly","1989","Part Time","direct migration background","14","","","","2"
"Partly, partly","1989","Part Time","indirect migration background","1","","","","2"
"Partly, partly","1989","Part Time","no migration background","61","0.125799479219506","0.0967319551400653","0.154867003298946","2"
"Partly, partly","1989","Not Working","direct migration background","1","","","","2"
"Partly, partly","1989","Not Working","indirect migration background","","","","","2"
"Partly, partly","1989","Full Time","indirect migration background","12","","","","2"
"Partly, partly","1989","Not Working","no migration background","4","","","","2"
"Acclaimed","1990","Full Time","no migration background","732","0.342436783413207","0.322256382266279","0.362617184560134","1"
"Acclaimed","1990","Full Time","direct migration background","115","0.207705443077932","0.179291305102845","0.236119581053018","1"
"Acclaimed","1990","Full Time","indirect migration background","15","","","","1"
"Acclaimed","1990","Part Time","no migration background","177","0.365887934258047","0.322616462455913","0.409159406060181","1"
"Acclaimed","1990","Part Time","direct migration background","18","","","","1"
"Acclaimed","1990","Part Time","indirect migration background","11","","","","1"
"Acclaimed","1990","Not Working","no migration background","8","","","","1"
"Acclaimed","1990","Not Working","direct migration background","1","","","","1"
"Acclaimed","1990","Not Working","indirect migration background","","","","","1"
"Not paid","1990","Part Time","no migration background","58","0.123634648360327","0.094064240615803","0.153205056104851","4"
"Not paid","1990","Part Time","direct migration background","8","","","","4"
"Not paid","1990","Full Time","no migration background","388","0.193880372782187","0.177067671159817","0.210693074404556","4"
"Not paid","1990","Full Time","direct migration background","43","0.0803714914652678","0.0613289707458519","0.0994140121846837","4"
"Not paid","1990","Full Time","indirect migration background","8","","","","4"
"Not paid","1990","Part Time","indirect migration background","5","","","","4"
"Not paid","1990","Not Working","no migration background","2","","","","4"
"Not paid","1990","Not Working","direct migration background","1","","","","4"
"Not paid","1990","Not Working","indirect migration background","","","","","4"
"Paid","1990","Full Time","no migration background","674","0.315756385641846","0.295988861291258","0.335523909992435","3"
"Paid","1990","Full Time","direct migration background","520","0.572925361985576","0.538278163453527","0.607572560517624","3"
"Paid","1990","Part Time","direct migration background","67","0.553707652627999","0.459954431878548","0.64746087337745","3"
"Paid","1990","Part Time","indirect migration background","11","","","","3"
"Paid","1990","Not Working","no migration background","11","","","","3"
"Paid","1990","Not Working","direct migration background","10","","","","3"
"Paid","1990","Not Working","indirect migration background","1","","","","3"
"Paid","1990","Full Time","indirect migration background","25","","","","3"
"Paid","1990","Part Time","no migration background","173","0.365678879364049","0.322412640919076","0.408945117809021","3"
"Partly, partly","1990","Full Time","no migration background","330","0.14792645816276","0.132828010276541","0.163024906048979","2"
"Partly, partly","1990","Full Time","direct migration background","105","0.138997703471225","0.114766600824373","0.163228806118077","2"
"Partly, partly","1990","Part Time","direct migration background","15","","","","2"
"Partly, partly","1990","Part Time","indirect migration background","3","","","","2"
"Partly, partly","1990","Part Time","no migration background","68","0.144798538017577","0.11318588675106","0.176411189284094","2"
"Partly, partly","1990","Full Time","indirect migration background","15","","","","2"
"Partly, partly","1990","Not Working","direct migration background","2","","","","2"
"Partly, partly","1990","Not Working","indirect migration background","","","","","2"
"Partly, partly","1990","Not Working","no migration background","1","","","","2"
"Acclaimed","1991","Full Time","no migration background","726","0.33079620021666","0.311072769109293","0.350519631324028","1"
"Acclaimed","1991","Full Time","direct migration background","154","0.212527383411998","0.184729507888138","0.240325258935858","1"
"Acclaimed","1991","Full Time","indirect migration background","28","","","","1"
"Acclaimed","1991","Part Time","no migration background","208","0.378480357270769","0.337497139374608","0.419463575166931","1"
"Acclaimed","1991","Part Time","direct migration background","26","","","","1"
"Acclaimed","1991","Part Time","indirect migration background","10","","","","1"
"Acclaimed","1991","Not Working","no migration background","9","","","","1"
"Acclaimed","1991","Not Working","direct migration background","2","","","","1"
"Acclaimed","1991","Not Working","indirect migration background","1","","","","1"
"Not paid","1991","Full Time","no migration background","374","0.183458827048769","0.167233951935257","0.199683702162281","4"
"Not paid","1991","Part Time","no migration background","63","0.136765068811804","0.10773092321627","0.165799214407339","4"
"Not paid","1991","Part Time","direct migration background","12","","","","4"
"Not paid","1991","Full Time","direct migration background","35","0.0686887056286287","0.0515026374993703","0.085874773757887","4"
"Not paid","1991","Full Time","indirect migration background","9","","","","4"
"Not paid","1991","Part Time","indirect migration background","2","","","","4"
"Not paid","1991","Not Working","no migration background","6","","","","4"
"Not paid","1991","Not Working","direct migration background","","","","","4"
"Not paid","1991","Not Working","indirect migration background","1","","","","4"
"Paid","1991","Part Time","indirect migration background","10","","","","3"
"Paid","1991","Full Time","no migration background","730","0.331013945693482","0.311287234334446","0.350740657052519","3"
"Paid","1991","Part Time","direct migration background","77","0.534649787547625","0.449878861378366","0.619420713716885","3"
"Paid","1991","Not Working","direct migration background","12","","","","3"
"Paid","1991","Not Working","indirect migration background","5","","","","3"
"Paid","1991","Full Time","direct migration background","542","0.58162604356424","0.54810707306135","0.61514501406713","3"
"Paid","1991","Full Time","indirect migration background","35","0.400378643455976","0.296215848084721","0.504541438827231","3"
"Paid","1991","Part Time","no migration background","193","0.356482786909242","0.316010632862214","0.396954940956271","3"
"Paid","1991","Not Working","no migration background","17","","","","3"
"Partly, partly","1991","Full Time","no migration background","356","0.154731027041088","0.13957067870177","0.169891375380407","2"
"Partly, partly","1991","Full Time","direct migration background","101","0.137157867395133","0.113782283837809","0.160533450952458","2"
"Partly, partly","1991","Part Time","direct migration background","18","","","","2"
"Partly, partly","1991","Part Time","no migration background","74","0.128271787008184","0.1000156311974","0.156527942818968","2"
"Partly, partly","1991","Part Time","indirect migration background","6","","","","2"
"Partly, partly","1991","Not Working","direct migration background","2","","","","2"
"Partly, partly","1991","Not Working","indirect migration background","1","","","","2"
"Partly, partly","1991","Full Time","indirect migration background","13","","","","2"
"Partly, partly","1991","Not Working","no migration background","4","","","","2"
"Acclaimed","1992","Full Time","no migration background","1293","0.35961526233261","0.343793517996957","0.375437006668264","1"
"Acclaimed","1992","Full Time","direct migration background","169","0.234212885074085","0.204939059156028","0.263486710992141","1"
"Acclaimed","1992","Full Time","indirect migration background","22","","","","1"
"Acclaimed","1992","Part Time","no migration background","301","0.37029537640321","0.336298436658912","0.404292316147507","1"
"Acclaimed","1992","Part Time","direct migration background","28","","","","1"
"Acclaimed","1992","Part Time","indirect migration background","14","","","","1"
"Acclaimed","1992","Not Working","no migration background","24","","","","1"
"Acclaimed","1992","Not Working","direct migration background","1","","","","1"
"Acclaimed","1992","Not Working","indirect migration background","","","","","1"
"Not paid","1992","Full Time","no migration background","590","0.170571566406558","0.158170541008782","0.182972591804334","4"
"Not paid","1992","Full Time","indirect migration background","12","","","","4"
"Not paid","1992","Part Time","no migration background","105","0.128445976805753","0.104889808498466","0.15200214511304","4"
"Not paid","1992","Part Time","direct migration background","14","","","","4"
"Not paid","1992","Full Time","direct migration background","42","0.0847217325207167","0.0654733581859722","0.103970106855461","4"
"Not paid","1992","Part Time","indirect migration background","4","","","","4"
"Not paid","1992","Not Working","no migration background","4","","","","4"
"Not paid","1992","Not Working","direct migration background","3","","","","4"
"Not paid","1992","Not Working","indirect migration background","","","","","4"
"Paid","1992","Full Time","no migration background","1014","0.294235418008919","0.279211188027846","0.309259647989992","3"
"Paid","1992","Full Time","direct migration background","475","0.491108917693069","0.456553082266177","0.525664753119962","3"
"Paid","1992","Part Time","direct migration background","66","0.443937202071219","0.355773287258204","0.532101116884234","3"
"Paid","1992","Part Time","indirect migration background","12","","","","3"
"Paid","1992","Part Time","no migration background","266","0.371357230072477","0.337340297891156","0.405374162253798","3"
"Paid","1992","Full Time","indirect migration background","37","0.426216915454827","0.319180790931352","0.533253039978302","3"
"Paid","1992","Not Working","direct migration background","3","","","","3"
"Paid","1992","Not Working","indirect migration background","3","","","","3"
"Paid","1992","Not Working","no migration background","9","","","","3"
"Partly, partly","1992","Full Time","no migration background","637","0.175577753251912","0.163034089220383","0.188121417283442","2"
"Partly, partly","1992","Full Time","direct migration background","118","0.189956464712129","0.16284198433609","0.217070945088169","2"
"Partly, partly","1992","Part Time","direct migration background","14","","","","2"
"Partly, partly","1992","Full Time","indirect migration background","11","","","","2"
"Partly, partly","1992","Part Time","no migration background","103","0.12990141671856","0.106231953211256","0.153570880225864","2"
"Partly, partly","1992","Part Time","indirect migration background","3","","","","2"
"Partly, partly","1992","Not Working","direct migration background","1","","","","2"
"Partly, partly","1992","Not Working","indirect migration background","","","","","2"
"Partly, partly","1992","Not Working","no migration background","7","","","","2"
"Acclaimed","1993","Full Time","no migration background","1241","0.347844134434642","0.33201065903287","0.363677609836414","1"
"Acclaimed","1993","Full Time","direct migration background","158","0.259076370634039","0.226735317532441","0.291417423735636","1"
"Acclaimed","1993","Full Time","indirect migration background","28","","","","1"
"Acclaimed","1993","Part Time","no migration background","300","0.384121391434587","0.349241943951753","0.419000838917421","1"
"Acclaimed","1993","Part Time","direct migration background","30","0.337230104990434","0.252993673342438","0.421466536638431","1"
"Acclaimed","1993","Part Time","indirect migration background","22","","","","1"
"Acclaimed","1993","Not Working","no migration background","23","","","","1"
"Acclaimed","1993","Not Working","direct migration background","1","","","","1"
"Acclaimed","1993","Not Working","indirect migration background","1","","","","1"
"Not paid","1993","Full Time","no migration background","615","0.187414190459676","0.174441081678937","0.200387299240416","4"
"Not paid","1993","Full Time","direct migration background","51","0.120079965702922","0.0960855370509248","0.144074394354919","4"
"Not paid","1993","Full Time","indirect migration background","8","","","","4"
"Not paid","1993","Part Time","no migration background","99","0.132750917824226","0.108418880119451","0.157082955529002","4"
"Not paid","1993","Part Time","direct migration background","11","","","","4"
"Not paid","1993","Part Time","indirect migration background","6","","","","4"
"Not paid","1993","Not Working","no migration background","12","","","","4"
"Not paid","1993","Not Working","direct migration background","2","","","","4"
"Not paid","1993","Not Working","indirect migration background","","","","","4"
"Paid","1993","Full Time","no migration background","985","0.291321951325375","0.276217000957105","0.306426901693644","3"
"Paid","1993","Full Time","direct migration background","390","0.479044462607264","0.442168635165789","0.515920290048739","3"
"Paid","1993","Full Time","indirect migration background","47","0.439254857690544","0.343871530426337","0.534638184954751","3"
"Paid","1993","Part Time","no migration background","246","0.346669762603343","0.312541659434795","0.380797865771892","3"
"Paid","1993","Part Time","direct migration background","59","0.345979311639633","0.261222187152794","0.430736436126471","3"
"Paid","1993","Part Time","indirect migration background","14","","","","3"
"Paid","1993","Not Working","direct migration background","9","","","","3"
"Paid","1993","Not Working","indirect migration background","1","","","","3"
"Paid","1993","Not Working","no migration background","15","","","","3"
"Partly, partly","1993","Full Time","no migration background","635","0.173419723780307","0.160833368946331","0.186006078614283","2"
"Partly, partly","1993","Full Time","direct migration background","106","0.141799201055775","0.116048747569366","0.167549654542185","2"
"Partly, partly","1993","Part Time","direct migration background","21","","","","2"
"Partly, partly","1993","Part Time","no migration background","102","0.136457928137843","0.111841279476384","0.161074576799303","2"
"Partly, partly","1993","Full Time","indirect migration background","21","","","","2"
"Partly, partly","1993","Part Time","indirect migration background","7","","","","2"
"Partly, partly","1993","Not Working","direct migration background","1","","","","2"
"Partly, partly","1993","Not Working","indirect migration background","2","","","","2"
"Partly, partly","1993","Not Working","no migration background","7","","","","2"
"Acclaimed","1994","Full Time","no migration background","1285","0.373164415763365","0.35692192223996","0.389406909286769","1"
"Acclaimed","1994","Full Time","direct migration background","161","0.265881860138768","0.231049637671367","0.300714082606169","1"
"Acclaimed","1994","Full Time","indirect migration background","38","0.305433523293848","0.224689879448546","0.386177167139149","1"
"Acclaimed","1994","Part Time","no migration background","359","0.433110488645009","0.39894473759391","0.467276239696108","1"
"Acclaimed","1994","Part Time","direct migration background","46","0.357323024243366","0.279053315781415","0.435592732705318","1"
"Acclaimed","1994","Part Time","indirect migration background","13","","","","1"
"Acclaimed","1994","Not Working","no migration background","16","","","","1"
"Acclaimed","1994","Not Working","direct migration background","3","","","","1"
"Acclaimed","1994","Not Working","indirect migration background","6","","","","1"
"Not paid","1994","Full Time","no migration background","606","0.183227793402981","0.17023591579904","0.196219671006921","4"
"Not paid","1994","Full Time","direct migration background","41","0.120075647145412","0.0944482800361136","0.14570301425471","4"
"Not paid","1994","Full Time","indirect migration background","18","","","","4"
"Not paid","1994","Part Time","no migration background","107","0.131934629247723","0.10860015464041","0.155269103855035","4"
"Not paid","1994","Part Time","direct migration background","13","","","","4"
"Not paid","1994","Part Time","indirect migration background","6","","","","4"
"Not paid","1994","Not Working","no migration background","5","","","","4"
"Not paid","1994","Not Working","direct migration background","","","","","4"
"Not paid","1994","Not Working","indirect migration background","1","","","","4"
"Paid","1994","Full Time","no migration background","866","0.260955135747903","0.246206763348197","0.275703508147608","3"
"Paid","1994","Full Time","direct migration background","327","0.468695098154916","0.429351781292433","0.508038415017399","3"
"Paid","1994","Full Time","indirect migration background","41","0.359666508123116","0.275537417869356","0.443795598376876","3"
"Paid","1994","Part Time","no migration background","224","0.289553075304615","0.258279875403513","0.320826275205718","3"
"Paid","1994","Part Time","direct migration background","74","0.42078124976059","0.340147595776817","0.501414903744363","3"
"Paid","1994","Part Time","indirect migration background","18","","","","3"
"Paid","1994","Not Working","direct migration background","4","","","","3"
"Paid","1994","Not Working","indirect migration background","4","","","","3"
"Paid","1994","Not Working","no migration background","15","","","","3"
