"plb0195_h","year","n","percent","lower_confidence","upper_confidence"
"Paid","2011","1242","0.12031537168436","0.113987559628521","0.126643183740198"
"Not paid","2011","1961","0.189724098744186","0.182097915753243","0.19735028173513"
"Acclaimed","2012","5301","0.509257261674527","0.499642458531028","0.518872064818025"
"Partly, partly","2012","2062","0.207449275424434","0.19965071690495","0.215247833943917"
"Paid","2012","1212","0.115808438349919","0.10965400424392","0.121962872455917"
"Not paid","2012","1810","0.167485024551121","0.160303298109788","0.174666750992454"
"Acclaimed","2013","5604","0.509858329032664","0.500537965021997","0.519178693043331"
"Partly, partly","2013","2210","0.208079033200471","0.20051066272315","0.215647403677793"
"Paid","2013","1407","0.114156615423705","0.108227685507483","0.120085545339926"
"Not paid","2013","1830","0.16790602234316","0.160937083911896","0.174874960774423"
"Acclaimed","2014","5093","0.507562008716744","0.497799364846611","0.517324652586876"
"Partly, partly","2014","2169","0.220403475971497","0.212308952540773","0.228497999402221"
"Paid","2014","1198","0.111387669425355","0.105244084811835","0.117531254038874"
"Not paid","2014","1614","0.160646845886405","0.153476244467984","0.167817447304826"
"Acclaimed","2015","","","",""
"Partly, partly","2015","","","",""
"Paid","2015","","","",""
"Not paid","2015","","","",""
"Acclaimed","2016","","","",""
"Partly, partly","2016","","","",""
"Paid","2016","","","",""
"Not paid","2016","","","",""
"Acclaimed","2017","","","",""
"Partly, partly","2017","","","",""
"Paid","2017","","","",""
"Not paid","2017","","","",""
"Acclaimed","2018","5270","0.53468150365154","0.524850075708313","0.544512931594766"
"Partly, partly","2018","2145","0.22306471238948","0.214859275263364","0.231270149515596"
"Paid","2018","1193","0.109854475247018","0.103690892292227","0.116018058201809"
"Not paid","2018","1280","0.132399308711962","0.125718997954814","0.13907961946911"
