"plh0206i01","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"3 on scale 1-7 ","2005","Saxony","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","Saxony-Anhalt","no migration background","5","","","","3"
"3 on scale 1-7 ","2005","Saxony-Anhalt","direct migration background","1","","","","3"
"3 on scale 1-7 ","2005","Saxony-Anhalt","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","Thuringia","no migration background","11","","","","3"
"3 on scale 1-7 ","2005","Thuringia","direct migration background","","","","","3"
"3 on scale 1-7 ","2005","Thuringia","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","Baden-Württemberg","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","North Rhine-Westphalia","direct migration background","6","","","","3"
"3 on scale 1-7 ","2005","North Rhine-Westphalia","indirect migration background","1","","","","3"
"3 on scale 1-7 ","2005","Hesse","no migration background","7","","","","3"
"3 on scale 1-7 ","2005","Hesse","direct migration background","2","","","","3"
"3 on scale 1-7 ","2005","Hesse","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","no migration background","16","","","","3"
"3 on scale 1-7 ","2005","Berlin","no migration background","6","","","","3"
"3 on scale 1-7 ","2005","Berlin","direct migration background","1","","","","3"
"3 on scale 1-7 ","2005","Berlin","indirect migration background","1","","","","3"
"3 on scale 1-7 ","2005","Brandenburg","no migration background","4","","","","3"
"3 on scale 1-7 ","2005","Brandenburg","direct migration background","","","","","3"
"3 on scale 1-7 ","2005","Brandenburg","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","no migration background","1","","","","3"
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","Saxony","no migration background","5","","","","3"
"3 on scale 1-7 ","2005","Saxony","direct migration background","","","","","3"
"3 on scale 1-7 ","2005","Hamburg","direct migration background","","","","","3"
"3 on scale 1-7 ","2005","Bremen","no migration background","","","","","3"
"3 on scale 1-7 ","2005","Bremen","direct migration background","","","","","3"
"3 on scale 1-7 ","2005","Bremen","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","North Rhine-Westphalia","no migration background","19","","","","3"
"3 on scale 1-7 ","2005","Schleswig-Holstein","no migration background","2","","","","3"
"3 on scale 1-7 ","2005","Schleswig-Holstein","direct migration background","","","","","3"
"3 on scale 1-7 ","2005","Schleswig-Holstein","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","Hamburg","no migration background","2","","","","3"
"3 on scale 1-7 ","2005","Hamburg","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","Lower Saxony","no migration background","6","","","","3"
"3 on scale 1-7 ","2005","Lower Saxony","direct migration background","","","","","3"
"3 on scale 1-7 ","2005","Lower Saxony","indirect migration background","1","","","","3"
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","direct migration background","7","","","","4"
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","indirect migration background","1","","","","4"
"4 on scale 1-7","2005","Baden-Württemberg","no migration background","56","0.0323544590372866","0.0241137604108058","0.0405951576637674","4"
"4 on scale 1-7","2005","Baden-Württemberg","direct migration background","35","0.0511265264265072","0.0325494012390508","0.0697036516139636","4"
"4 on scale 1-7","2005","Bavaria","indirect migration background","5","","","","4"
"4 on scale 1-7","2005","Berlin","no migration background","29","","","","4"
"4 on scale 1-7","2005","Berlin","direct migration background","1","","","","4"
"4 on scale 1-7","2005","Baden-Württemberg","indirect migration background","10","","","","4"
"4 on scale 1-7","2005","Bavaria","no migration background","82","0.0336266700173275","0.0264725439343587","0.0407807961002964","4"
"4 on scale 1-7","2005","Bavaria","direct migration background","21","","","","4"
"4 on scale 1-7","2005","Berlin","indirect migration background","2","","","","4"
"4 on scale 1-7","2005","Brandenburg","no migration background","24","","","","4"
"4 on scale 1-7","2005","Brandenburg","direct migration background","1","","","","4"
"4 on scale 1-7","2005","Saxony","indirect migration background","","","","","4"
"4 on scale 1-7","2005","Saxony-Anhalt","no migration background","24","","","","4"
"4 on scale 1-7","2005","Saxony-Anhalt","direct migration background","","","","","4"
"4 on scale 1-7","2005","Saxony-Anhalt","indirect migration background","","","","","4"
"4 on scale 1-7","2005","Thuringia","no migration background","28","","","","4"
"4 on scale 1-7","2005","Thuringia","direct migration background","","","","","4"
"4 on scale 1-7","2005","Thuringia","indirect migration background","2","","","","4"
"4 on scale 1-7","2005","Schleswig-Holstein","no migration background","12","","","","4"
"4 on scale 1-7","2005","Schleswig-Holstein","direct migration background","1","","","","4"
"4 on scale 1-7","2005","Schleswig-Holstein","indirect migration background","","","","","4"
"4 on scale 1-7","2005","Hamburg","no migration background","1","","","","4"
"4 on scale 1-7","2005","Hamburg","direct migration background","","","","","4"
"4 on scale 1-7","2005","Hamburg","indirect migration background","","","","","4"
"4 on scale 1-7","2005","Lower Saxony","no migration background","32","0.0211179380816468","0.013937041506181","0.0282988346571126","4"
"4 on scale 1-7","2005","Lower Saxony","direct migration background","3","","","","4"
"4 on scale 1-7","2005","Lower Saxony","indirect migration background","1","","","","4"
"4 on scale 1-7","2005","Bremen","no migration background","","","","","4"
"4 on scale 1-7","2005","Bremen","direct migration background","","","","","4"
"4 on scale 1-7","2005","Bremen","indirect migration background","","","","","4"
"4 on scale 1-7","2005","North Rhine-Westphalia","no migration background","82","0.0231216701055206","0.0181182882422901","0.028125051968751","4"
"4 on scale 1-7","2005","North Rhine-Westphalia","direct migration background","30","0.0590689346931734","0.0409031390815282","0.0772347303048186","4"
"4 on scale 1-7","2005","North Rhine-Westphalia","indirect migration background","9","","","","4"
"4 on scale 1-7","2005","Hesse","no migration background","30","0.0406812583319396","0.0289102649883843","0.0524522516754949","4"
"4 on scale 1-7","2005","Hesse","direct migration background","7","","","","4"
"4 on scale 1-7","2005","Hesse","indirect migration background","3","","","","4"
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","no migration background","17","","","","4"
"4 on scale 1-7","2005","Brandenburg","indirect migration background","","","","","4"
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","no migration background","13","","","","4"
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","direct migration background","","","","","4"
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","indirect migration background","","","","","4"
"4 on scale 1-7","2005","Saxony","no migration background","33","0.0232519942276651","0.0156076619387955","0.0308963265165348","4"
"4 on scale 1-7","2005","Saxony","direct migration background","","","","","4"
"5 on scale 1-7","2005","Baden-Württemberg","indirect migration background","27","","","","5"
"5 on scale 1-7","2005","Bavaria","no migration background","217","0.0911659702072445","0.0797424261754306","0.102589514239058","5"
"5 on scale 1-7","2005","Bavaria","direct migration background","25","","","","5"
"5 on scale 1-7","2005","Bavaria","indirect migration background","13","","","","5"
"5 on scale 1-7","2005","Berlin","no migration background","54","0.0789429930838236","0.0584945658971179","0.0993914202705294","5"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","direct migration background","14","","","","5"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","indirect migration background","4","","","","5"
"5 on scale 1-7","2005","Baden-Württemberg","no migration background","157","0.087039763434305","0.073911006959614","0.100168519908996","5"
"5 on scale 1-7","2005","Baden-Württemberg","direct migration background","55","0.127705283940157","0.099554709240321","0.155855858639992","5"
"5 on scale 1-7","2005","Berlin","direct migration background","4","","","","5"
"5 on scale 1-7","2005","Berlin","indirect migration background","3","","","","5"
"5 on scale 1-7","2005","Brandenburg","no migration background","66","0.0652903881318549","0.0488655468204321","0.0817152294432778","5"
"5 on scale 1-7","2005","Brandenburg","direct migration background","1","","","","5"
"5 on scale 1-7","2005","Brandenburg","indirect migration background","1","","","","5"
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","no migration background","24","","","","5"
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","direct migration background","1","","","","5"
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","indirect migration background","","","","","5"
"5 on scale 1-7","2005","Saxony","indirect migration background","1","","","","5"
"5 on scale 1-7","2005","Saxony-Anhalt","no migration background","65","0.0722177123782771","0.0549977130323313","0.089437711724223","5"
"5 on scale 1-7","2005","Saxony-Anhalt","direct migration background","2","","","","5"
"5 on scale 1-7","2005","Saxony-Anhalt","indirect migration background","","","","","5"
"5 on scale 1-7","2005","Thuringia","no migration background","89","0.10286679477355","0.0826689852430671","0.123064604304033","5"
"5 on scale 1-7","2005","Thuringia","direct migration background","1","","","","5"
"5 on scale 1-7","2005","Thuringia","indirect migration background","1","","","","5"
"5 on scale 1-7","2005","Schleswig-Holstein","no migration background","36","0.0714625747438458","0.0504623855196769","0.0924627639680147","5"
"5 on scale 1-7","2005","Schleswig-Holstein","direct migration background","6","","","","5"
"5 on scale 1-7","2005","Schleswig-Holstein","indirect migration background","3","","","","5"
"5 on scale 1-7","2005","Hamburg","no migration background","17","","","","5"
"5 on scale 1-7","2005","Hamburg","direct migration background","","","","","5"
"5 on scale 1-7","2005","Hamburg","indirect migration background","1","","","","5"
"5 on scale 1-7","2005","North Rhine-Westphalia","direct migration background","52","0.0848414594409043","0.0633706615165568","0.106312257365252","5"
"5 on scale 1-7","2005","North Rhine-Westphalia","indirect migration background","28","","","","5"
"5 on scale 1-7","2005","Hesse","no migration background","86","0.0748605058470617","0.0591798418104531","0.0905411698836703","5"
"5 on scale 1-7","2005","Hesse","direct migration background","23","","","","5"
"5 on scale 1-7","2005","Hesse","indirect migration background","6","","","","5"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","no migration background","59","0.0654740918456148","0.0501885965655556","0.080759587125674","5"
"5 on scale 1-7","2005","Saxony","no migration background","94","0.0598935748651136","0.0478571692288308","0.0719299805013964","5"
"5 on scale 1-7","2005","Saxony","direct migration background","3","","","","5"
"5 on scale 1-7","2005","Bremen","no migration background","8","","","","5"
"5 on scale 1-7","2005","Bremen","direct migration background","2","","","","5"
"5 on scale 1-7","2005","Lower Saxony","no migration background","121","0.0764155784775784","0.0631472265360691","0.0896839304190877","5"
"5 on scale 1-7","2005","Lower Saxony","direct migration background","14","","","","5"
"5 on scale 1-7","2005","Lower Saxony","indirect migration background","1","","","","5"
"5 on scale 1-7","2005","Bremen","indirect migration background","1","","","","5"
"5 on scale 1-7","2005","North Rhine-Westphalia","no migration background","286","0.0876708800814807","0.0782555128545673","0.0970862473083941","5"
"6 on scale 1-7","2005","Saxony-Anhalt","direct migration background","4","","","","6"
"6 on scale 1-7","2005","Saxony","indirect migration background","2","","","","6"
"6 on scale 1-7","2005","Saxony-Anhalt","no migration background","221","0.251749923389844","0.222876632454262","0.280623214325426","6"
"6 on scale 1-7","2005","Rhineland-Palatinate,Saarland","direct migration background","27","","","","6"
"6 on scale 1-7","2005","Rhineland-Palatinate,Saarland","indirect migration background","9","","","","6"
"6 on scale 1-7","2005","Baden-Württemberg","no migration background","477","0.256768033369588","0.236422387638211","0.277113679100966","6"
"6 on scale 1-7","2005","Baden-Württemberg","direct migration background","134","0.220221209715986","0.185269655526455","0.255172763905516","6"
"6 on scale 1-7","2005","Baden-Württemberg","indirect migration background","51","0.243407256227734","0.185503770349448","0.301310742106019","6"
"6 on scale 1-7","2005","Bavaria","no migration background","669","0.230205039042769","0.213498475158923","0.246911602926614","6"
"6 on scale 1-7","2005","Bavaria","direct migration background","84","0.235186012859745","0.190038700922939","0.280333324796551","6"
"6 on scale 1-7","2005","Bavaria","indirect migration background","32","0.244420925705021","0.16878181719524","0.320060034214803","6"
"6 on scale 1-7","2005","Berlin","no migration background","170","0.23169322089423","0.19969809260682","0.26368834918164","6"
"6 on scale 1-7","2005","Berlin","direct migration background","10","","","","6"
"6 on scale 1-7","2005","Berlin","indirect migration background","8","","","","6"
"6 on scale 1-7","2005","Brandenburg","no migration background","206","0.233842288629749","0.205700038563581","0.261984538695917","6"
"6 on scale 1-7","2005","Brandenburg","direct migration background","4","","","","6"
"6 on scale 1-7","2005","Mecklenburg-Western Pomerania","no migration background","136","0.250857440776957","0.212355790999255","0.289359090554659","6"
"6 on scale 1-7","2005","Mecklenburg-Western Pomerania","direct migration background","4","","","","6"
"6 on scale 1-7","2005","Mecklenburg-Western Pomerania","indirect migration background","","","","","6"
"6 on scale 1-7","2005","Saxony","no migration background","357","0.220875305156445","0.199832906059057","0.241917704253834","6"
"6 on scale 1-7","2005","Saxony","direct migration background","5","","","","6"
"6 on scale 1-7","2005","Saxony-Anhalt","indirect migration background","1","","","","6"
"6 on scale 1-7","2005","Thuringia","no migration background","253","0.292484843621845","0.262239553152351","0.322730134091338","6"
"6 on scale 1-7","2005","Thuringia","direct migration background","6","","","","6"
"6 on scale 1-7","2005","Thuringia","indirect migration background","1","","","","6"
"6 on scale 1-7","2005","Brandenburg","indirect migration background","","","","","6"
"6 on scale 1-7","2005","Schleswig-Holstein","no migration background","112","0.202019280629946","0.169286961177944","0.234751600081948","6"
"6 on scale 1-7","2005","Schleswig-Holstein","direct migration background","14","","","","6"
"6 on scale 1-7","2005","Schleswig-Holstein","indirect migration background","2","","","","6"
"6 on scale 1-7","2005","Hamburg","no migration background","72","0.231726488053285","0.180537846160079","0.282915129946491","6"
"6 on scale 1-7","2005","Hamburg","direct migration background","5","","","","6"
"6 on scale 1-7","2005","Hamburg","indirect migration background","1","","","","6"
"6 on scale 1-7","2005","Lower Saxony","no migration background","366","0.229717158642124","0.208707956465683","0.250726360818565","6"
"6 on scale 1-7","2005","Lower Saxony","direct migration background","42","0.203738904845354","0.148056908890173","0.259420900800534","6"
"6 on scale 1-7","2005","Lower Saxony","indirect migration background","12","","","","6"
"6 on scale 1-7","2005","Bremen","no migration background","23","","","","6"
"6 on scale 1-7","2005","North Rhine-Westphalia","direct migration background","126","0.175477324962406","0.146167869141767","0.204786780783045","6"
"6 on scale 1-7","2005","North Rhine-Westphalia","indirect migration background","49","0.195832497120275","0.145626209411155","0.246038784829395","6"
"6 on scale 1-7","2005","Hesse","no migration background","306","0.252438572376625","0.226554311948694","0.278322832804555","6"
"6 on scale 1-7","2005","Hesse","direct migration background","45","0.206400920396173","0.152552295599631","0.260249545192714","6"
"6 on scale 1-7","2005","Hesse","indirect migration background","14","","","","6"
"6 on scale 1-7","2005","Rhineland-Palatinate,Saarland","no migration background","245","0.242223789179895","0.21574927611385","0.26869830224594","6"
"6 on scale 1-7","2005","Bremen","direct migration background","2","","","","6"
"6 on scale 1-7","2005","Bremen","indirect migration background","1","","","","6"
"6 on scale 1-7","2005","North Rhine-Westphalia","no migration background","854","0.237710464027573","0.223538894858539","0.251882033196606","6"
"7 Strongly agree","2005","Saxony","indirect migration background","4","","","","7"
"7 Strongly agree","2005","Saxony-Anhalt","no migration background","551","0.639617195360971","0.607677532752363","0.671556857969579","7"
"7 Strongly agree","2005","Saxony-Anhalt","direct migration background","15","","","","7"
"7 Strongly agree","2005","Saxony-Anhalt","indirect migration background","5","","","","7"
"7 Strongly agree","2005","Thuringia","direct migration background","9","","","","7"
"7 Strongly agree","2005","Thuringia","indirect migration background","3","","","","7"
"7 Strongly agree","2005","Thuringia","no migration background","486","0.562617679995408","0.529635792759912","0.595599567230903","7"
"7 Strongly agree","2005","Rhineland-Palatinate,Saarland","direct migration background","126","0.674228921479589","0.605763420514249","0.74269442244493","7"
"7 Strongly agree","2005","Rhineland-Palatinate,Saarland","indirect migration background","35","0.841537060136086","0.739290070892465","0.943784049379708","7"
"7 Strongly agree","2005","Baden-Württemberg","no migration background","1070","0.619352353151274","0.596738775270948","0.641965931031599","7"
"7 Strongly agree","2005","Baden-Württemberg","direct migration background","307","0.583957101035826","0.542384160892678","0.625530041178974","7"
"7 Strongly agree","2005","Baden-Württemberg","indirect migration background","123","0.56731420346535","0.500463649357763","0.634164757572938","7"
"7 Strongly agree","2005","Bavaria","no migration background","1437","0.629591516828373","0.610426372820645","0.6487566608361","7"
"7 Strongly agree","2005","Bavaria","direct migration background","201","0.62402570441112","0.572463846389827","0.675587562432412","7"
"7 Strongly agree","2005","Bavaria","indirect migration background","73","0.628342220999555","0.543285823711874","0.713398618287235","7"
"7 Strongly agree","2005","Berlin","no migration background","406","0.609943472112842","0.572954826540162","0.646932117685522","7"
"7 Strongly agree","2005","Berlin","direct migration background","36","0.708136245716426","0.585742662180867","0.830529829251984","7"
"7 Strongly agree","2005","Berlin","indirect migration background","22","","","","7"
"7 Strongly agree","2005","Brandenburg","no migration background","569","0.676851526428674","0.645756855610558","0.707946197246789","7"
"7 Strongly agree","2005","Brandenburg","direct migration background","7","","","","7"
"7 Strongly agree","2005","Brandenburg","indirect migration background","4","","","","7"
"7 Strongly agree","2005","Mecklenburg-Western Pomerania","no migration background","310","0.660217523581468","0.61815187177669","0.702283175386245","7"
"7 Strongly agree","2005","Mecklenburg-Western Pomerania","direct migration background","10","","","","7"
"7 Strongly agree","2005","Mecklenburg-Western Pomerania","indirect migration background","2","","","","7"
"7 Strongly agree","2005","Saxony","no migration background","994","0.68433018404163","0.660754322966004","0.707906045117256","7"
"7 Strongly agree","2005","Saxony","direct migration background","21","","","","7"
"7 Strongly agree","2005","Schleswig-Holstein","no migration background","414","0.693729060853729","0.656151203729543","0.731306917977915","7"
"7 Strongly agree","2005","Schleswig-Holstein","direct migration background","39","0.729278500570142","0.616848931905723","0.841708069234562","7"
"7 Strongly agree","2005","Schleswig-Holstein","indirect migration background","6","","","","7"
"7 Strongly agree","2005","Hamburg","no migration background","168","0.669827734999166","0.61277457615204","0.726880893846293","7"
"7 Strongly agree","2005","Hamburg","direct migration background","17","","","","7"
"7 Strongly agree","2005","Hamburg","indirect migration background","7","","","","7"
"7 Strongly agree","2005","Lower Saxony","no migration background","1008","0.66219139426827","0.638569492923936","0.685813295612603","7"
"7 Strongly agree","2005","Lower Saxony","direct migration background","142","0.732179830389399","0.670961626537266","0.793398034241533","7"
"7 Strongly agree","2005","Lower Saxony","indirect migration background","34","0.688696536282051","0.55905147515361","0.818341597410491","7"
"7 Strongly agree","2005","Bremen","no migration background","96","0.66240622569744","0.580161956136691","0.744650495258189","7"
"7 Strongly agree","2005","Bremen","direct migration background","12","","","","7"
"7 Strongly agree","2005","Bremen","indirect migration background","2","","","","7"
"7 Strongly agree","2005","North Rhine-Westphalia","no migration background","2213","0.643115037557054","0.627165713993952","0.659064361120156","7"
"7 Strongly agree","2005","North Rhine-Westphalia","direct migration background","430","0.666146167129298","0.629808344503805","0.702483989754791","7"
"7 Strongly agree","2005","North Rhine-Westphalia","indirect migration background","152","0.609402186455687","0.547677430977453","0.67112694193392","7"
"7 Strongly agree","2005","Hesse","no migration background","648","0.620622267614812","0.591709873471486","0.649534661758138","7"
"7 Strongly agree","2005","Hesse","direct migration background","140","0.604569283419228","0.53951491513176","0.669623651706697","7"
"7 Strongly agree","2005","Hesse","indirect migration background","46","0.676139961455923","0.565726880254902","0.786553042656945","7"
"7 Strongly agree","2005","Rhineland-Palatinate,Saarland","no migration background","663","0.656025122983108","0.626670757422846","0.685379488543369","7"
"1 Strongly disagree","2006","Schleswig-Holstein","no migration background","","","","","1"
"1 Strongly disagree","2006","Schleswig-Holstein","direct migration background","","","","","1"
"1 Strongly disagree","2006","Schleswig-Holstein","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Hamburg","no migration background","","","","","1"
"1 Strongly disagree","2006","Hamburg","direct migration background","","","","","1"
"1 Strongly disagree","2006","Hamburg","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Lower Saxony","no migration background","","","","","1"
"1 Strongly disagree","2006","Lower Saxony","direct migration background","","","","","1"
"1 Strongly disagree","2006","Lower Saxony","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Bremen","no migration background","","","","","1"
"1 Strongly disagree","2006","Bremen","direct migration background","","","","","1"
"1 Strongly disagree","2006","Bremen","indirect migration background","","","","","1"
"1 Strongly disagree","2006","North Rhine-Westphalia","no migration background","","","","","1"
"1 Strongly disagree","2006","North Rhine-Westphalia","direct migration background","","","","","1"
"1 Strongly disagree","2006","North Rhine-Westphalia","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Hesse","no migration background","","","","","1"
"1 Strongly disagree","2006","Hesse","direct migration background","","","","","1"
"1 Strongly disagree","2006","Hesse","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Rhineland-Palatinate,Saarland","no migration background","","","","","1"
"1 Strongly disagree","2006","Rhineland-Palatinate,Saarland","direct migration background","","","","","1"
