"plh0206i01","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"5 on scale 1-7","2005","35-65 y.","Rural Area","285","0.072807855199694","0.0645653163711922","0.0810503940281958"
"5 on scale 1-7","2005","66 and older","Urban Area","227","0.092528203003724","0.0812302672110147","0.103826138796433"
"5 on scale 1-7","2005","66 and older","Rural Area","110","0.0888687059639784","0.0731941174724534","0.104543294455504"
"6 on scale 1-7","2005","16-34 y.","Urban Area","934","0.258465700159465","0.244078600912761","0.272852799406169"
"6 on scale 1-7","2005","16-34 y.","Rural Area","466","0.227678107353437","0.208115103282193","0.247241111424682"
"6 on scale 1-7","2005","35-65 y.","Urban Area","1946","0.229484283097929","0.22014703898292","0.238821527212938"
"6 on scale 1-7","2005","35-65 y.","Rural Area","970","0.243752359877274","0.230131847607795","0.257372872146753"
"6 on scale 1-7","2005","66 and older","Urban Area","569","0.218991398230983","0.202866874088395","0.235115922373572"
"6 on scale 1-7","2005","66 and older","Rural Area","277","0.189909133321957","0.168303299474338","0.211514967169576"
"7 Strongly agree","2005","16-34 y.","Urban Area","2142","0.592618067403511","0.576470969280258","0.608765165526765"
"7 Strongly agree","2005","16-34 y.","Rural Area","1077","0.663925151108245","0.641888108938456","0.685962193278034"
"7 Strongly agree","2005","35-65 y.","Urban Area","4996","0.656021287161491","0.645473138587123","0.666569435735859"
"7 Strongly agree","2005","35-65 y.","Rural Area","2419","0.645818556674249","0.630646125622652","0.660990987725847"
"7 Strongly agree","2005","66 and older","Urban Area","1613","0.639853841710407","0.621137315179508","0.658570368241307"
"7 Strongly agree","2005","66 and older","Rural Area","816","0.675388107492307","0.649595802476128","0.701180412508487"
"1 Strongly disagree","2006","16-34 y.","Urban Area","","","",""
"1 Strongly disagree","2006","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2006","35-65 y.","Urban Area","","","",""
"1 Strongly disagree","2006","35-65 y.","Rural Area","","","",""
"1 Strongly disagree","2006","66 and older","Urban Area","","","",""
"1 Strongly disagree","2006","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Urban Area","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2006","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2006","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Urban Area","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Rural Area","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Rural Area","","","",""
"3 on scale 1-7 ","2006","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2006","66 and older","Rural Area","","","",""
"4 on scale 1-7","2006","16-34 y.","Urban Area","","","",""
"4 on scale 1-7","2006","16-34 y.","Rural Area","","","",""
"4 on scale 1-7","2006","35-65 y.","Urban Area","","","",""
"4 on scale 1-7","2006","35-65 y.","Rural Area","","","",""
"4 on scale 1-7","2006","66 and older","Urban Area","","","",""
"4 on scale 1-7","2006","66 and older","Rural Area","","","",""
"5 on scale 1-7","2006","16-34 y.","Urban Area","","","",""
"5 on scale 1-7","2006","16-34 y.","Rural Area","","","",""
"5 on scale 1-7","2006","35-65 y.","Urban Area","","","",""
"5 on scale 1-7","2006","35-65 y.","Rural Area","","","",""
"5 on scale 1-7","2006","66 and older","Urban Area","","","",""
"5 on scale 1-7","2006","66 and older","Rural Area","","","",""
"6 on scale 1-7","2006","16-34 y.","Urban Area","","","",""
"6 on scale 1-7","2006","16-34 y.","Rural Area","","","",""
"6 on scale 1-7","2006","35-65 y.","Urban Area","","","",""
"6 on scale 1-7","2006","35-65 y.","Rural Area","","","",""
"6 on scale 1-7","2006","66 and older","Urban Area","","","",""
"6 on scale 1-7","2006","66 and older","Rural Area","","","",""
"7 Strongly agree","2006","16-34 y.","Urban Area","","","",""
"7 Strongly agree","2006","16-34 y.","Rural Area","","","",""
"7 Strongly agree","2006","35-65 y.","Urban Area","","","",""
"7 Strongly agree","2006","35-65 y.","Rural Area","","","",""
"7 Strongly agree","2006","66 and older","Urban Area","","","",""
"7 Strongly agree","2006","66 and older","Rural Area","","","",""
"1 Strongly disagree","2007","16-34 y.","Urban Area","","","",""
"1 Strongly disagree","2007","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2007","35-65 y.","Urban Area","","","",""
"1 Strongly disagree","2007","35-65 y.","Rural Area","","","",""
"1 Strongly disagree","2007","66 and older","Urban Area","","","",""
"1 Strongly disagree","2007","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Urban Area","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2007","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2007","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Urban Area","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Rural Area","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Rural Area","","","",""
"3 on scale 1-7 ","2007","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2007","66 and older","Rural Area","","","",""
"4 on scale 1-7","2007","16-34 y.","Urban Area","","","",""
"4 on scale 1-7","2007","16-34 y.","Rural Area","","","",""
"4 on scale 1-7","2007","35-65 y.","Urban Area","","","",""
"4 on scale 1-7","2007","35-65 y.","Rural Area","","","",""
"4 on scale 1-7","2007","66 and older","Urban Area","","","",""
"4 on scale 1-7","2007","66 and older","Rural Area","","","",""
"5 on scale 1-7","2007","16-34 y.","Urban Area","","","",""
"5 on scale 1-7","2007","16-34 y.","Rural Area","","","",""
"5 on scale 1-7","2007","35-65 y.","Urban Area","","","",""
"5 on scale 1-7","2007","35-65 y.","Rural Area","","","",""
"5 on scale 1-7","2007","66 and older","Urban Area","","","",""
"5 on scale 1-7","2007","66 and older","Rural Area","","","",""
"6 on scale 1-7","2007","16-34 y.","Urban Area","","","",""
"6 on scale 1-7","2007","16-34 y.","Rural Area","","","",""
"6 on scale 1-7","2007","35-65 y.","Urban Area","","","",""
"6 on scale 1-7","2007","35-65 y.","Rural Area","","","",""
"6 on scale 1-7","2007","66 and older","Urban Area","","","",""
"6 on scale 1-7","2007","66 and older","Rural Area","","","",""
"7 Strongly agree","2007","16-34 y.","Urban Area","","","",""
"7 Strongly agree","2007","16-34 y.","Rural Area","","","",""
"7 Strongly agree","2007","35-65 y.","Urban Area","","","",""
"7 Strongly agree","2007","35-65 y.","Rural Area","","","",""
"7 Strongly agree","2007","66 and older","Urban Area","","","",""
"7 Strongly agree","2007","66 and older","Rural Area","","","",""
"1 Strongly disagree","2008","16-34 y.","Urban Area","","","",""
"1 Strongly disagree","2008","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2008","35-65 y.","Urban Area","","","",""
"1 Strongly disagree","2008","35-65 y.","Rural Area","","","",""
"1 Strongly disagree","2008","66 and older","Urban Area","","","",""
"1 Strongly disagree","2008","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2008","16-34 y.","Urban Area","","","",""
"2 on scale 1-7 ","2008","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2008","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2008","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2008","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2008","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2008","16-34 y.","Urban Area","","","",""
"3 on scale 1-7 ","2008","16-34 y.","Rural Area","","","",""
"3 on scale 1-7 ","2008","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2008","35-65 y.","Rural Area","","","",""
"3 on scale 1-7 ","2008","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2008","66 and older","Rural Area","","","",""
"4 on scale 1-7","2008","16-34 y.","Urban Area","","","",""
"4 on scale 1-7","2008","16-34 y.","Rural Area","","","",""
"4 on scale 1-7","2008","35-65 y.","Urban Area","","","",""
"4 on scale 1-7","2008","35-65 y.","Rural Area","","","",""
"4 on scale 1-7","2008","66 and older","Urban Area","","","",""
"4 on scale 1-7","2008","66 and older","Rural Area","","","",""
"5 on scale 1-7","2008","16-34 y.","Urban Area","","","",""
"5 on scale 1-7","2008","16-34 y.","Rural Area","","","",""
"5 on scale 1-7","2008","35-65 y.","Urban Area","","","",""
"5 on scale 1-7","2008","35-65 y.","Rural Area","","","",""
"5 on scale 1-7","2008","66 and older","Urban Area","","","",""
"5 on scale 1-7","2008","66 and older","Rural Area","","","",""
"6 on scale 1-7","2008","16-34 y.","Urban Area","","","",""
"6 on scale 1-7","2008","16-34 y.","Rural Area","","","",""
"6 on scale 1-7","2008","35-65 y.","Urban Area","","","",""
"6 on scale 1-7","2008","35-65 y.","Rural Area","","","",""
"6 on scale 1-7","2008","66 and older","Urban Area","","","",""
"6 on scale 1-7","2008","66 and older","Rural Area","","","",""
"7 Strongly agree","2008","16-34 y.","Urban Area","","","",""
"7 Strongly agree","2008","16-34 y.","Rural Area","","","",""
"7 Strongly agree","2008","35-65 y.","Urban Area","","","",""
"7 Strongly agree","2008","35-65 y.","Rural Area","","","",""
"7 Strongly agree","2008","66 and older","Urban Area","","","",""
"7 Strongly agree","2008","66 and older","Rural Area","","","",""
"1 Strongly disagree","2009","16-34 y.","Urban Area","","","",""
"1 Strongly disagree","2009","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2009","35-65 y.","Urban Area","","","",""
"1 Strongly disagree","2009","35-65 y.","Rural Area","","","",""
"1 Strongly disagree","2009","66 and older","Urban Area","","","",""
"1 Strongly disagree","2009","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2009","16-34 y.","Urban Area","","","",""
"2 on scale 1-7 ","2009","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2009","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2009","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2009","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2009","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2009","16-34 y.","Urban Area","","","",""
"3 on scale 1-7 ","2009","16-34 y.","Rural Area","","","",""
"3 on scale 1-7 ","2009","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2009","35-65 y.","Rural Area","","","",""
"3 on scale 1-7 ","2009","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2009","66 and older","Rural Area","","","",""
"4 on scale 1-7","2009","16-34 y.","Urban Area","","","",""
"4 on scale 1-7","2009","16-34 y.","Rural Area","","","",""
"4 on scale 1-7","2009","35-65 y.","Urban Area","","","",""
"4 on scale 1-7","2009","35-65 y.","Rural Area","","","",""
"4 on scale 1-7","2009","66 and older","Urban Area","","","",""
"4 on scale 1-7","2009","66 and older","Rural Area","","","",""
"5 on scale 1-7","2009","16-34 y.","Urban Area","","","",""
"5 on scale 1-7","2009","16-34 y.","Rural Area","","","",""
"5 on scale 1-7","2009","35-65 y.","Urban Area","","","",""
"5 on scale 1-7","2009","35-65 y.","Rural Area","","","",""
"5 on scale 1-7","2009","66 and older","Urban Area","","","",""
"5 on scale 1-7","2009","66 and older","Rural Area","","","",""
"6 on scale 1-7","2009","16-34 y.","Urban Area","","","",""
"6 on scale 1-7","2009","16-34 y.","Rural Area","","","",""
"6 on scale 1-7","2009","35-65 y.","Urban Area","","","",""
"6 on scale 1-7","2009","35-65 y.","Rural Area","","","",""
"6 on scale 1-7","2009","66 and older","Urban Area","","","",""
"6 on scale 1-7","2009","66 and older","Rural Area","","","",""
"7 Strongly agree","2009","16-34 y.","Urban Area","","","",""
"7 Strongly agree","2009","16-34 y.","Rural Area","","","",""
"7 Strongly agree","2009","35-65 y.","Urban Area","","","",""
"7 Strongly agree","2009","35-65 y.","Rural Area","","","",""
"7 Strongly agree","2009","66 and older","Urban Area","","","",""
"7 Strongly agree","2009","66 and older","Rural Area","","","",""
"1 Strongly disagree","2010","16-34 y.","Urban Area","9","","",""
"1 Strongly disagree","2010","16-34 y.","Rural Area","2","","",""
"1 Strongly disagree","2010","35-65 y.","Urban Area","14","","",""
"1 Strongly disagree","2010","35-65 y.","Rural Area","9","","",""
"1 Strongly disagree","2010","66 and older","Urban Area","6","","",""
"1 Strongly disagree","2010","66 and older","Rural Area","5","","",""
"2 on scale 1-7 ","2010","16-34 y.","Urban Area","7","","",""
"2 on scale 1-7 ","2010","16-34 y.","Rural Area","7","","",""
"2 on scale 1-7 ","2010","35-65 y.","Urban Area","13","","",""
"2 on scale 1-7 ","2010","35-65 y.","Rural Area","13","","",""
"2 on scale 1-7 ","2010","66 and older","Urban Area","7","","",""
"2 on scale 1-7 ","2010","66 and older","Rural Area","8","","",""
"3 on scale 1-7 ","2010","16-34 y.","Urban Area","12","","",""
"3 on scale 1-7 ","2010","16-34 y.","Rural Area","3","","",""
"3 on scale 1-7 ","2010","35-65 y.","Urban Area","39","0.00889317407838324","0.00650808139538483","0.0112782667613817"
"3 on scale 1-7 ","2010","35-65 y.","Rural Area","21","","",""
"3 on scale 1-7 ","2010","66 and older","Urban Area","11","","",""
"3 on scale 1-7 ","2010","66 and older","Rural Area","16","","",""
"4 on scale 1-7","2010","16-34 y.","Urban Area","52","0.0254306723399752","0.0191492973554811","0.0317120473244693"
"4 on scale 1-7","2010","16-34 y.","Rural Area","46","0.0365909760699849","0.0258371750668636","0.0473447770731063"
"4 on scale 1-7","2010","35-65 y.","Urban Area","158","0.0297504601447673","0.0254342240114774","0.0340666962780572"
"4 on scale 1-7","2010","35-65 y.","Rural Area","77","0.0267006924506093","0.0210395571457628","0.0323618277554558"
"4 on scale 1-7","2010","66 and older","Urban Area","73","0.0247822591925117","0.0188810737483103","0.0306834446367131"
"4 on scale 1-7","2010","66 and older","Rural Area","57","0.0421017782752651","0.0314832426598804","0.0527203138906498"
"5 on scale 1-7","2010","16-34 y.","Urban Area","200","0.089315363213201","0.0779360377372513","0.100694688689151"
"5 on scale 1-7","2010","16-34 y.","Rural Area","131","0.10509594577374","0.0875308362258571","0.122661055321623"
"5 on scale 1-7","2010","35-65 y.","Urban Area","492","0.0876205145815208","0.0804374911139542","0.0948035380490875"
"5 on scale 1-7","2010","35-65 y.","Rural Area","310","0.0838043746237361","0.0740736200912311","0.0935351291562411"
"5 on scale 1-7","2010","66 and older","Urban Area","265","0.101961157075961","0.0904747829701359","0.113447531181786"
"5 on scale 1-7","2010","66 and older","Rural Area","136","0.101216052988895","0.0852680217771391","0.117164084200651"
"6 on scale 1-7","2010","16-34 y.","Urban Area","707","0.302660675609978","0.284330378389294","0.320990972830661"
"6 on scale 1-7","2010","16-34 y.","Rural Area","341","0.313663386546416","0.287088578222096","0.340238194870735"
"6 on scale 1-7","2010","35-65 y.","Urban Area","1644","0.255660030095773","0.2445776327325","0.266742427459045"
"6 on scale 1-7","2010","35-65 y.","Rural Area","839","0.2663622138822","0.250838478923693","0.281885948840707"
"6 on scale 1-7","2010","66 and older","Urban Area","689","0.253204362389404","0.236697881381431","0.269710843397376"
"6 on scale 1-7","2010","66 and older","Rural Area","346","0.226203462857627","0.204081801482514","0.24832512423274"
"7 Strongly agree","2010","16-34 y.","Urban Area","1426","0.571107903989873","0.551360839848982","0.590854968130764"
"7 Strongly agree","2010","16-34 y.","Rural Area","641","0.532392807289199","0.503815169682976","0.560970444895423"
"7 Strongly agree","2010","35-65 y.","Urban Area","3592","0.61290220731481","0.60052785234764","0.62527656228198"
"7 Strongly agree","2010","35-65 y.","Rural Area","1846","0.606163098320151","0.589004886866896","0.623321309773406"
"7 Strongly agree","2010","66 and older","Urban Area","1615","0.609261202352096","0.590740261364018","0.627782143340174"
"7 Strongly agree","2010","66 and older","Rural Area","806","0.614301299128595","0.588563611268104","0.640038986989085"
"1 Strongly disagree","2011","16-34 y.","Urban Area","","","",""
"1 Strongly disagree","2011","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2011","35-65 y.","Urban Area","","","",""
"1 Strongly disagree","2011","35-65 y.","Rural Area","","","",""
"1 Strongly disagree","2011","66 and older","Urban Area","","","",""
"1 Strongly disagree","2011","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2011","16-34 y.","Urban Area","","","",""
"2 on scale 1-7 ","2011","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2011","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2011","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2011","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2011","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2011","16-34 y.","Urban Area","","","",""
"3 on scale 1-7 ","2011","16-34 y.","Rural Area","","","",""
"3 on scale 1-7 ","2011","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2011","35-65 y.","Rural Area","","","",""
"3 on scale 1-7 ","2011","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2011","66 and older","Rural Area","","","",""
"4 on scale 1-7","2011","16-34 y.","Urban Area","","","",""
"4 on scale 1-7","2011","16-34 y.","Rural Area","","","",""
"4 on scale 1-7","2011","35-65 y.","Urban Area","","","",""
"4 on scale 1-7","2011","35-65 y.","Rural Area","","","",""
"4 on scale 1-7","2011","66 and older","Urban Area","","","",""
"4 on scale 1-7","2011","66 and older","Rural Area","","","",""
"5 on scale 1-7","2011","16-34 y.","Urban Area","","","",""
"5 on scale 1-7","2011","16-34 y.","Rural Area","","","",""
"5 on scale 1-7","2011","35-65 y.","Urban Area","","","",""
"5 on scale 1-7","2011","35-65 y.","Rural Area","","","",""
"5 on scale 1-7","2011","66 and older","Urban Area","","","",""
"5 on scale 1-7","2011","66 and older","Rural Area","","","",""
"6 on scale 1-7","2011","16-34 y.","Urban Area","","","",""
"6 on scale 1-7","2011","16-34 y.","Rural Area","","","",""
"6 on scale 1-7","2011","35-65 y.","Urban Area","","","",""
"6 on scale 1-7","2011","35-65 y.","Rural Area","","","",""
"6 on scale 1-7","2011","66 and older","Urban Area","","","",""
"6 on scale 1-7","2011","66 and older","Rural Area","","","",""
"7 Strongly agree","2011","16-34 y.","Urban Area","","","",""
"7 Strongly agree","2011","16-34 y.","Rural Area","","","",""
"7 Strongly agree","2011","35-65 y.","Urban Area","","","",""
"7 Strongly agree","2011","35-65 y.","Rural Area","","","",""
"7 Strongly agree","2011","66 and older","Urban Area","","","",""
"7 Strongly agree","2011","66 and older","Rural Area","","","",""
"1 Strongly disagree","2012","16-34 y.","Urban Area","","","",""
"1 Strongly disagree","2012","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2012","35-65 y.","Urban Area","","","",""
"1 Strongly disagree","2012","35-65 y.","Rural Area","","","",""
"1 Strongly disagree","2012","66 and older","Urban Area","","","",""
"1 Strongly disagree","2012","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2012","16-34 y.","Urban Area","","","",""
"2 on scale 1-7 ","2012","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2012","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2012","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2012","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2012","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2012","16-34 y.","Urban Area","","","",""
"3 on scale 1-7 ","2012","16-34 y.","Rural Area","","","",""
"3 on scale 1-7 ","2012","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2012","35-65 y.","Rural Area","","","",""
"3 on scale 1-7 ","2012","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2012","66 and older","Rural Area","","","",""
"4 on scale 1-7","2012","16-34 y.","Urban Area","","","",""
"4 on scale 1-7","2012","16-34 y.","Rural Area","","","",""
"4 on scale 1-7","2012","35-65 y.","Urban Area","","","",""
"4 on scale 1-7","2012","35-65 y.","Rural Area","","","",""
"4 on scale 1-7","2012","66 and older","Urban Area","","","",""
"4 on scale 1-7","2012","66 and older","Rural Area","","","",""
"5 on scale 1-7","2012","16-34 y.","Urban Area","","","",""
"5 on scale 1-7","2012","16-34 y.","Rural Area","","","",""
"5 on scale 1-7","2012","35-65 y.","Urban Area","","","",""
"5 on scale 1-7","2012","35-65 y.","Rural Area","","","",""
"5 on scale 1-7","2012","66 and older","Urban Area","","","",""
"5 on scale 1-7","2012","66 and older","Rural Area","","","",""
"6 on scale 1-7","2012","16-34 y.","Urban Area","","","",""
"6 on scale 1-7","2012","16-34 y.","Rural Area","","","",""
"6 on scale 1-7","2012","35-65 y.","Urban Area","","","",""
"6 on scale 1-7","2012","35-65 y.","Rural Area","","","",""
"6 on scale 1-7","2012","66 and older","Urban Area","","","",""
"6 on scale 1-7","2012","66 and older","Rural Area","","","",""
"7 Strongly agree","2012","16-34 y.","Urban Area","","","",""
"7 Strongly agree","2012","16-34 y.","Rural Area","","","",""
"7 Strongly agree","2012","35-65 y.","Urban Area","","","",""
"7 Strongly agree","2012","35-65 y.","Rural Area","","","",""
"7 Strongly agree","2012","66 and older","Urban Area","","","",""
"7 Strongly agree","2012","66 and older","Rural Area","","","",""
"1 Strongly disagree","2013","16-34 y.","Urban Area","","","",""
"1 Strongly disagree","2013","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2013","35-65 y.","Urban Area","","","",""
"1 Strongly disagree","2013","35-65 y.","Rural Area","","","",""
"1 Strongly disagree","2013","66 and older","Urban Area","","","",""
"1 Strongly disagree","2013","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2013","16-34 y.","Urban Area","","","",""
"2 on scale 1-7 ","2013","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2013","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2013","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2013","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2013","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2013","16-34 y.","Urban Area","","","",""
"3 on scale 1-7 ","2013","16-34 y.","Rural Area","","","",""
"3 on scale 1-7 ","2013","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2013","35-65 y.","Rural Area","","","",""
"3 on scale 1-7 ","2013","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2013","66 and older","Rural Area","","","",""
"4 on scale 1-7","2013","16-34 y.","Urban Area","","","",""
"4 on scale 1-7","2013","16-34 y.","Rural Area","","","",""
"4 on scale 1-7","2013","35-65 y.","Urban Area","","","",""
"4 on scale 1-7","2013","35-65 y.","Rural Area","","","",""
"4 on scale 1-7","2013","66 and older","Urban Area","","","",""
"4 on scale 1-7","2013","66 and older","Rural Area","","","",""
"5 on scale 1-7","2013","16-34 y.","Urban Area","","","",""
"5 on scale 1-7","2013","16-34 y.","Rural Area","","","",""
"5 on scale 1-7","2013","35-65 y.","Urban Area","","","",""
"5 on scale 1-7","2013","35-65 y.","Rural Area","","","",""
"5 on scale 1-7","2013","66 and older","Urban Area","","","",""
"5 on scale 1-7","2013","66 and older","Rural Area","","","",""
"6 on scale 1-7","2013","16-34 y.","Urban Area","","","",""
"6 on scale 1-7","2013","16-34 y.","Rural Area","","","",""
"6 on scale 1-7","2013","35-65 y.","Urban Area","","","",""
"6 on scale 1-7","2013","35-65 y.","Rural Area","","","",""
"6 on scale 1-7","2013","66 and older","Urban Area","","","",""
"6 on scale 1-7","2013","66 and older","Rural Area","","","",""
"7 Strongly agree","2013","16-34 y.","Urban Area","","","",""
"7 Strongly agree","2013","16-34 y.","Rural Area","","","",""
"7 Strongly agree","2013","35-65 y.","Urban Area","","","",""
"7 Strongly agree","2013","35-65 y.","Rural Area","","","",""
"7 Strongly agree","2013","66 and older","Urban Area","","","",""
"7 Strongly agree","2013","66 and older","Rural Area","","","",""
"1 Strongly disagree","2014","16-34 y.","Urban Area","","","",""
"1 Strongly disagree","2014","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2014","35-65 y.","Urban Area","","","",""
"1 Strongly disagree","2014","35-65 y.","Rural Area","","","",""
"1 Strongly disagree","2014","66 and older","Urban Area","","","",""
"1 Strongly disagree","2014","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2014","16-34 y.","Urban Area","","","",""
"2 on scale 1-7 ","2014","16-34 y.","Rural Area","","","",""
"2 on scale 1-7 ","2014","35-65 y.","Urban Area","","","",""
"2 on scale 1-7 ","2014","35-65 y.","Rural Area","","","",""
"2 on scale 1-7 ","2014","66 and older","Urban Area","","","",""
"2 on scale 1-7 ","2014","66 and older","Rural Area","","","",""
"3 on scale 1-7 ","2014","16-34 y.","Urban Area","","","",""
"3 on scale 1-7 ","2014","16-34 y.","Rural Area","","","",""
"3 on scale 1-7 ","2014","35-65 y.","Urban Area","","","",""
"3 on scale 1-7 ","2014","35-65 y.","Rural Area","","","",""
"3 on scale 1-7 ","2014","66 and older","Urban Area","","","",""
"3 on scale 1-7 ","2014","66 and older","Rural Area","","","",""
"4 on scale 1-7","2014","16-34 y.","Urban Area","","","",""
"4 on scale 1-7","2014","16-34 y.","Rural Area","","","",""
"4 on scale 1-7","2014","35-65 y.","Urban Area","","","",""
