"plh0206i01","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2009","West Germany","","","","","1"
"1 Strongly disagree","2009","East Germany","","","","","1"
"2 on scale 1-7 ","2009","East Germany","","","","","2"
"2 on scale 1-7 ","2009","West Germany","","","","","2"
"3 on scale 1-7 ","2009","West Germany","","","","","3"
"3 on scale 1-7 ","2009","East Germany","","","","","3"
"4 on scale 1-7","2009","East Germany","","","","","4"
"4 on scale 1-7","2009","West Germany","","","","","4"
"5 on scale 1-7","2009","East Germany","","","","","5"
"5 on scale 1-7","2009","West Germany","","","","","5"
"6 on scale 1-7","2009","East Germany","","","","","6"
"6 on scale 1-7","2009","West Germany","","","","","6"
"7 Strongly agree","2009","West Germany","","","","","7"
"7 Strongly agree","2009","East Germany","","","","","7"
"1 Strongly disagree","2010","West Germany","30","0.00329578612813769","0.00229320462767745","0.00429836762859793","1"
"1 Strongly disagree","2010","East Germany","15","","","","1"
"2 on scale 1-7 ","2010","West Germany","43","0.00322127254410653","0.00223005234194424","0.00421249274626883","2"
"2 on scale 1-7 ","2010","East Germany","12","","","","2"
"3 on scale 1-7 ","2010","East Germany","22","","","","3"
"3 on scale 1-7 ","2010","West Germany","80","0.00767761425723236","0.00615076357544914","0.00920446493901558","3"
"4 on scale 1-7","2010","East Germany","129","0.0323167239177907","0.0269280039889513","0.03770544384663","4"
"4 on scale 1-7","2010","West Germany","334","0.0284120564402445","0.02550569634662","0.031318416533869","4"
"5 on scale 1-7","2010","East Germany","425","0.0929512890032201","0.0841032231927651","0.101799354813675","5"
"5 on scale 1-7","2010","West Germany","1109","0.0919777992208172","0.0869225011301369","0.0970330973114975","5"
"6 on scale 1-7","2010","West Germany","3414","0.264494564209261","0.256779165967333","0.27220996245119","6"
"6 on scale 1-7","2010","East Germany","1152","0.270254439921036","0.256721957237812","0.28378692260426","6"
"7 Strongly agree","2010","West Germany","7544","0.600920907200201","0.592354569834041","0.609487244566361","7"
"7 Strongly agree","2010","East Germany","2382","0.593501477807534","0.57853410009784","0.608468855517229","7"
"1 Strongly disagree","2011","West Germany","","","","","1"
"1 Strongly disagree","2011","East Germany","","","","","1"
"2 on scale 1-7 ","2011","East Germany","","","","","2"
"2 on scale 1-7 ","2011","West Germany","","","","","2"
"3 on scale 1-7 ","2011","West Germany","","","","","3"
"3 on scale 1-7 ","2011","East Germany","","","","","3"
"4 on scale 1-7","2011","East Germany","","","","","4"
"4 on scale 1-7","2011","West Germany","","","","","4"
"5 on scale 1-7","2011","East Germany","","","","","5"
"5 on scale 1-7","2011","West Germany","","","","","5"
"6 on scale 1-7","2011","East Germany","","","","","6"
"6 on scale 1-7","2011","West Germany","","","","","6"
"7 Strongly agree","2011","West Germany","","","","","7"
"7 Strongly agree","2011","East Germany","","","","","7"
"1 Strongly disagree","2012","West Germany","","","","","1"
"1 Strongly disagree","2012","East Germany","","","","","1"
"2 on scale 1-7 ","2012","West Germany","","","","","2"
"2 on scale 1-7 ","2012","East Germany","","","","","2"
"3 on scale 1-7 ","2012","East Germany","","","","","3"
"3 on scale 1-7 ","2012","West Germany","","","","","3"
"4 on scale 1-7","2012","East Germany","","","","","4"
"4 on scale 1-7","2012","West Germany","","","","","4"
"5 on scale 1-7","2012","East Germany","","","","","5"
"5 on scale 1-7","2012","West Germany","","","","","5"
"6 on scale 1-7","2012","West Germany","","","","","6"
"6 on scale 1-7","2012","East Germany","","","","","6"
"7 Strongly agree","2012","West Germany","","","","","7"
"7 Strongly agree","2012","East Germany","","","","","7"
"1 Strongly disagree","2013","West Germany","","","","","1"
"1 Strongly disagree","2013","East Germany","","","","","1"
"2 on scale 1-7 ","2013","East Germany","","","","","2"
"2 on scale 1-7 ","2013","West Germany","","","","","2"
"3 on scale 1-7 ","2013","East Germany","","","","","3"
"3 on scale 1-7 ","2013","West Germany","","","","","3"
"4 on scale 1-7","2013","East Germany","","","","","4"
"4 on scale 1-7","2013","West Germany","","","","","4"
"5 on scale 1-7","2013","West Germany","","","","","5"
"5 on scale 1-7","2013","East Germany","","","","","5"
"6 on scale 1-7","2013","East Germany","","","","","6"
"6 on scale 1-7","2013","West Germany","","","","","6"
"7 Strongly agree","2013","West Germany","","","","","7"
"7 Strongly agree","2013","East Germany","","","","","7"
"1 Strongly disagree","2014","West Germany","","","","","1"
"1 Strongly disagree","2014","East Germany","","","","","1"
"2 on scale 1-7 ","2014","West Germany","","","","","2"
"2 on scale 1-7 ","2014","East Germany","","","","","2"
"3 on scale 1-7 ","2014","East Germany","","","","","3"
"3 on scale 1-7 ","2014","West Germany","","","","","3"
"4 on scale 1-7","2014","East Germany","","","","","4"
"4 on scale 1-7","2014","West Germany","","","","","4"
"5 on scale 1-7","2014","East Germany","","","","","5"
"5 on scale 1-7","2014","West Germany","","","","","5"
"6 on scale 1-7","2014","West Germany","","","","","6"
"6 on scale 1-7","2014","East Germany","","","","","6"
"7 Strongly agree","2014","West Germany","","","","","7"
"7 Strongly agree","2014","East Germany","","","","","7"
"1 Strongly disagree","2015","West Germany","70","0.00407606420547071","0.00322092431786344","0.00493120409307798","1"
"1 Strongly disagree","2015","East Germany","25","","","","1"
"2 on scale 1-7 ","2015","East Germany","22","","","","2"
"2 on scale 1-7 ","2015","West Germany","106","0.00457246773240874","0.0036669776038647","0.00547795786095278","2"
"3 on scale 1-7 ","2015","East Germany","42","0.00762126624607776","0.00530983605926601","0.00993269643288951","3"
"3 on scale 1-7 ","2015","West Germany","170","0.00745358578661549","0.00629917171842365","0.00860799985480733","3"
"4 on scale 1-7","2015","East Germany","160","0.0245731270879898","0.0204582576408261","0.0286879965351534","4"
"4 on scale 1-7","2015","West Germany","651","0.0280534179048209","0.0258371734590154","0.0302696623506264","4"
"5 on scale 1-7","2015","West Germany","1672","0.0826364345448748","0.0789410460684668","0.0863318230212828","5"
"5 on scale 1-7","2015","East Germany","493","0.0919866830486877","0.0843053414735784","0.099668024623797","5"
"6 on scale 1-7","2015","East Germany","1557","0.293533251774927","0.281429973879029","0.305636529670825","6"
"6 on scale 1-7","2015","West Germany","5718","0.275969896214489","0.269970428258061","0.281969364170917","6"
"7 Strongly agree","2015","West Germany","12938","0.59723813361132","0.590655472334126","0.603820794888514","7"
"7 Strongly agree","2015","East Germany","3139","0.573762963297703","0.560619181618883","0.586906744976524","7"
"1 Strongly disagree","2016","West Germany","23","","","","1"
"1 Strongly disagree","2016","East Germany","7","","","","1"
"2 on scale 1-7 ","2016","East Germany","1","","","","2"
"2 on scale 1-7 ","2016","West Germany","9","","","","2"
"3 on scale 1-7 ","2016","East Germany","5","","","","3"
"3 on scale 1-7 ","2016","West Germany","19","","","","3"
"4 on scale 1-7","2016","West Germany","38","0.0309782569197772","0.0253643897066841","0.0365921241328703","4"
"4 on scale 1-7","2016","East Germany","16","","","","4"
"5 on scale 1-7","2016","East Germany","13","","","","5"
"5 on scale 1-7","2016","West Germany","86","0.0592053351136574","0.0515582710054192","0.0668523992218956","5"
"6 on scale 1-7","2016","West Germany","198","0.134000803209598","0.122963084257085","0.145038522162112","6"
"6 on scale 1-7","2016","East Germany","26","","","","6"
"7 Strongly agree","2016","West Germany","3286","0.747336781546129","0.733256994801774","0.761416568290485","7"
"7 Strongly agree","2016","East Germany","673","0.870305122551202","0.846115105835477","0.894495139266928","7"
"1 Strongly disagree","2017","West Germany","9","","","","1"
"1 Strongly disagree","2017","East Germany","","","","","1"
"2 on scale 1-7 ","2017","East Germany","","","","","2"
"2 on scale 1-7 ","2017","West Germany","2","","","","2"
"3 on scale 1-7 ","2017","East Germany","","","","","3"
"3 on scale 1-7 ","2017","West Germany","5","","","","3"
"4 on scale 1-7","2017","East Germany","3","","","","4"
"4 on scale 1-7","2017","West Germany","23","","","","4"
"5 on scale 1-7","2017","West Germany","64","0.0315633700443211","0.0248598073795889","0.0382669327090534","5"
"5 on scale 1-7","2017","East Germany","5","","","","5"
"6 on scale 1-7","2017","East Germany","17","","","","6"
"6 on scale 1-7","2017","West Germany","208","0.0832559102492242","0.0726631295261544","0.093848690972294","6"
"7 Strongly agree","2017","West Germany","2302","0.868706756764383","0.855757758456062","0.881655755072705","7"
"7 Strongly agree","2017","East Germany","240","0.916140906988258","0.882768973277923","0.949512840698592","7"
"1 Strongly disagree","2018","East Germany","","","","","1"
"1 Strongly disagree","2018","West Germany","1","","","","1"
"2 on scale 1-7 ","2018","East Germany","","","","","2"
"2 on scale 1-7 ","2018","West Germany","1","","","","2"
"3 on scale 1-7 ","2018","East Germany","","","","","3"
"3 on scale 1-7 ","2018","West Germany","1","","","","3"
"4 on scale 1-7","2018","West Germany","1","","","","4"
"4 on scale 1-7","2018","East Germany","","","","","4"
"5 on scale 1-7","2018","East Germany","1","","","","5"
"5 on scale 1-7","2018","West Germany","12","","","","5"
"6 on scale 1-7","2018","West Germany","33","0.0714759608455739","0.0453670432806985","0.0975848784104493","6"
"6 on scale 1-7","2018","East Germany","6","","","","6"
"7 Strongly agree","2018","West Germany","325","0.884442799849585","0.852042750577741","0.916842849121428","7"
"7 Strongly agree","2018","East Germany","42","0.863758936297796","0.767708279122265","0.959809593473327","7"
"1 Strongly disagree","2019","East Germany","","","","","1"
"1 Strongly disagree","2019","West Germany","1","","","","1"
"2 on scale 1-7 ","2019","East Germany","","","","","2"
"2 on scale 1-7 ","2019","West Germany","1","","","","2"
"3 on scale 1-7 ","2019","West Germany","","","","","3"
"3 on scale 1-7 ","2019","East Germany","","","","","3"
"4 on scale 1-7","2019","East Germany","","","","","4"
"4 on scale 1-7","2019","West Germany","5","","","","4"
"5 on scale 1-7","2019","West Germany","11","","","","5"
"5 on scale 1-7","2019","East Germany","","","","","5"
"6 on scale 1-7","2019","East Germany","","","","","6"
"6 on scale 1-7","2019","West Germany","32","0.0849401035730065","0.0507886445321831","0.11909156261383","6"
"7 Strongly agree","2019","West Germany","206","0.844529785813282","0.800142438389014","0.88891713323755","7"
"7 Strongly agree","2019","East Germany","23","","","","7"
