"plh0206i01","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"4 on scale 1-7","2005","Full Time","(Married) couple without C. ","46","0.021337238371544","0.0155034061335212","0.0271710706095668","4"
"4 on scale 1-7","2005","Full Time","Couple + C. GT 16 ","43","0.0289979301101059","0.0207292073906844","0.0372666528295273","4"
"4 on scale 1-7","2005","Full Time","Couple + C. LE and GT 16","18","","","","4"
"4 on scale 1-7","2005","Part Time","Single parent ","13","","","","4"
"4 on scale 1-7","2005","Part Time","Couple + C. LE 16 ","28","","","","4"
"4 on scale 1-7","2005","Not Working","1-pers.-HH","47","0.0348674366605986","0.0253728292901705","0.0443620440310267","4"
"4 on scale 1-7","2005","Not Working","(Married) couple without C. ","108","0.0308244372555224","0.0251031870501714","0.0365456874608733","4"
"4 on scale 1-7","2005","Full Time","Single parent ","12","","","","4"
"4 on scale 1-7","2005","Part Time","1-pers.-HH","13","","","","4"
"4 on scale 1-7","2005","Part Time","(Married) couple without C. ","29","","","","4"
"4 on scale 1-7","2005","Full Time","Couple + C. LE 16 ","50","0.0289240597323333","0.021260161401801","0.0365879580628657","4"
"5 on scale 1-7","2005","Part Time","Couple + C. GT 16 ","82","0.086794915407451","0.0691953220009204","0.104394508813982","5"
"5 on scale 1-7","2005","Part Time","Couple + C. LE and GT 16","31","0.0731469130478447","0.0505490977471861","0.0957447283485032","5"
"5 on scale 1-7","2005","Not Working","Couple + C. LE 16 ","50","0.07507961212462","0.0551258920124195","0.0950333322368206","5"
"5 on scale 1-7","2005","Not Working","Couple + C. GT 16 ","106","0.105793026781642","0.0874409627375743","0.124145090825709","5"
"5 on scale 1-7","2005","Not Working","Couple + C. LE and GT 16","85","0.15225069671545","0.122032987245307","0.182468406185593","5"
"5 on scale 1-7","2005","Full Time","Single parent ","23","","","","5"
"5 on scale 1-7","2005","Full Time","Couple + C. LE 16 ","139","0.0872343829150177","0.0743306015597298","0.100138164270306","5"
"5 on scale 1-7","2005","Full Time","Couple + C. LE and GT 16","66","0.0885219798853008","0.0667019040172572","0.110342055753344","5"
"5 on scale 1-7","2005","Part Time","Single parent ","22","","","","5"
"5 on scale 1-7","2005","Part Time","Couple + C. LE 16 ","88","0.0707875218229065","0.056324784624221","0.0852502590215919","5"
"5 on scale 1-7","2005","Not Working","Single parent ","38","0.0638849337518347","0.0396143831190337","0.0881554843846357","5"
"5 on scale 1-7","2005","Not Working","(Married) couple without C. ","310","0.0906279188857633","0.0811252860965757","0.100130551674951","5"
"5 on scale 1-7","2005","Full Time","1-pers.-HH","81","0.0831109440243814","0.0665318502007261","0.0996900378480367","5"
"5 on scale 1-7","2005","Full Time","(Married) couple without C. ","171","0.0729534273548347","0.0624545726375785","0.083452282072091","5"
"5 on scale 1-7","2005","Full Time","Couple + C. GT 16 ","110","0.0758504974002125","0.0628039623599837","0.0888970324404414","5"
"5 on scale 1-7","2005","Part Time","1-pers.-HH","36","0.0722953925033219","0.0488573230746847","0.0957334619319591","5"
"5 on scale 1-7","2005","Part Time","(Married) couple without C. ","65","0.0570975963627331","0.0438193302115346","0.0703758625139317","5"
"5 on scale 1-7","2005","Not Working","1-pers.-HH","112","0.0791054377206834","0.0651359127401036","0.0930749627012633","5"
"6 on scale 1-7","2005","Part Time","Couple + C. GT 16 ","254","0.243730144055501","0.216891266448714","0.270569021662287","6"
"6 on scale 1-7","2005","Part Time","Couple + C. LE and GT 16","138","0.246679518711277","0.209266785520782","0.284092251901773","6"
"6 on scale 1-7","2005","Not Working","Single parent ","98","0.280575120695688","0.235985570329559","0.325164671061818","6"
"6 on scale 1-7","2005","Not Working","Couple + C. LE 16 ","169","0.207312706698665","0.176617214694534","0.238008198702797","6"
"6 on scale 1-7","2005","Not Working","Couple + C. GT 16 ","299","0.272546295866658","0.245978214633237","0.299114377100079","6"
"6 on scale 1-7","2005","Not Working","Couple + C. LE and GT 16","116","0.206014954538493","0.171997351342537","0.24003255773445","6"
"6 on scale 1-7","2005","Full Time","1-pers.-HH","257","0.221868317087374","0.196913897042372","0.246822737132377","6"
"6 on scale 1-7","2005","Full Time","(Married) couple without C. ","620","0.244184117246237","0.226840686405975","0.261527548086499","6"
"6 on scale 1-7","2005","Full Time","Single parent ","87","0.219744688708539","0.176549209284778","0.262940168132301","6"
"6 on scale 1-7","2005","Full Time","Couple + C. LE 16 ","527","0.290112325225079","0.269359777524401","0.310864872925757","6"
"6 on scale 1-7","2005","Full Time","Couple + C. LE and GT 16","162","0.234326363121613","0.201788425682827","0.2668643005604","6"
"6 on scale 1-7","2005","Part Time","1-pers.-HH","122","0.246484717194725","0.207481296206372","0.285488138183078","6"
"6 on scale 1-7","2005","Part Time","Single parent ","80","0.208240810771027","0.166120316172603","0.250361305369451","6"
"6 on scale 1-7","2005","Part Time","Couple + C. LE 16 ","273","0.202255919996951","0.17960441617063","0.224907423823273","6"
"6 on scale 1-7","2005","Not Working","1-pers.-HH","290","0.197155010443779","0.176563259571087","0.21774676131647","6"
"6 on scale 1-7","2005","Full Time","Couple + C. GT 16 ","427","0.251216478352952","0.229844385505148","0.272588571200756","6"
"6 on scale 1-7","2005","Part Time","(Married) couple without C. ","294","0.224928695986658","0.201034504119614","0.248822887853702","6"
"6 on scale 1-7","2005","Not Working","(Married) couple without C. ","823","0.226773883388928","0.212912968048758","0.240634798729098","6"
"7 Strongly agree","2005","Not Working","Couple + C. GT 16 ","617","0.566816421701478","0.537250285519799","0.596382557883158","7"
"7 Strongly agree","2005","Not Working","Single parent ","228","0.590198699978724","0.541389512543413","0.639007887414035","7"
"7 Strongly agree","2005","Not Working","Couple + C. LE 16 ","425","0.687460367886082","0.652361987934529","0.722558747837635","7"
"7 Strongly agree","2005","Not Working","Couple + C. LE and GT 16","315","0.58109928832988","0.539601122952246","0.622597453707514","7"
"7 Strongly agree","2005","Part Time","Couple + C. GT 16 ","609","0.616991514247571","0.586602604056197","0.647380424438945","7"
"7 Strongly agree","2005","Part Time","Couple + C. LE and GT 16","321","0.631882122202071","0.590024505974296","0.673739738429846","7"
"7 Strongly agree","2005","Not Working","1-pers.-HH","965","0.673977590745869","0.64971596104089","0.698239220450847","7"
"7 Strongly agree","2005","Not Working","(Married) couple without C. ","2220","0.640156880529244","0.624269878701556","0.656043882356933","7"
"7 Strongly agree","2005","Full Time","Couple + C. LE and GT 16","400","0.643302336745783","0.606505092681111","0.680099580810455","7"
"7 Strongly agree","2005","Part Time","1-pers.-HH","297","0.65211893005342","0.609012657368256","0.695225202738583","7"
"7 Strongly agree","2005","Part Time","(Married) couple without C. ","776","0.688402115719616","0.66189774891676","0.714906482522471","7"
"7 Strongly agree","2005","Part Time","Single parent ","239","0.690539928970232","0.642587491102061","0.738492366838402","7"
"7 Strongly agree","2005","Part Time","Couple + C. LE 16 ","812","0.686981141644031","0.66083110612223","0.713131177165833","7"
"7 Strongly agree","2005","Full Time","1-pers.-HH","693","0.651734134289303","0.623121095993497","0.680347172585109","7"
"7 Strongly agree","2005","Full Time","(Married) couple without C. ","1494","0.652115839185547","0.632887224269811","0.671344454101283","7"
"7 Strongly agree","2005","Full Time","Single parent ","228","0.651300971536029","0.60158717048254","0.701014772589517","7"
"7 Strongly agree","2005","Full Time","Couple + C. LE 16 ","1103","0.584299892770497","0.561762613595737","0.606837171945257","7"
"7 Strongly agree","2005","Full Time","Couple + C. GT 16 ","983","0.631412060230211","0.607639724867431","0.655184395592991","7"
"1 Strongly disagree","2006","Full Time","1-pers.-HH","","","","","1"
"1 Strongly disagree","2006","Full Time","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2006","Full Time","Single parent ","","","","","1"
"1 Strongly disagree","2006","Full Time","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2006","Full Time","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2006","Full Time","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2006","Part Time","1-pers.-HH","","","","","1"
"1 Strongly disagree","2006","Part Time","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2006","Part Time","Single parent ","","","","","1"
"1 Strongly disagree","2006","Part Time","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2006","Part Time","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2006","Part Time","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2006","Not Working","1-pers.-HH","","","","","1"
"1 Strongly disagree","2006","Not Working","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2006","Not Working","Single parent ","","","","","1"
"1 Strongly disagree","2006","Not Working","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2006","Not Working","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2006","Not Working","Couple + C. LE and GT 16","","","","","1"
"2 on scale 1-7 ","2006","Full Time","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2006","Full Time","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2006","Part Time","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2006","Part Time","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Single parent ","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Single parent ","","","","","2"
"2 on scale 1-7 ","2006","Full Time","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2006","Full Time","Single parent ","","","","","2"
"2 on scale 1-7 ","2006","Full Time","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2006","Full Time","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2006","Not Working","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2006","Not Working","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Couple + C. GT 16 ","","","","","2"
"3 on scale 1-7 ","2006","Full Time","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2006","Not Working","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2006","Not Working","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2006","Not Working","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2006","Full Time","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2006","Not Working","Single parent ","","","","","3"
"3 on scale 1-7 ","2006","Not Working","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2006","Full Time","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2006","Full Time","Single parent ","","","","","3"
"3 on scale 1-7 ","2006","Full Time","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2006","Full Time","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Single parent ","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2006","Not Working","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2006","Part Time","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2006","Part Time","(Married) couple without C. ","","","","","3"
"4 on scale 1-7","2006","Not Working","Single parent ","","","","","4"
"4 on scale 1-7","2006","Not Working","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2006","Not Working","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2006","Full Time","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2006","Not Working","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2006","Not Working","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2006","Full Time","1-pers.-HH","","","","","4"
"4 on scale 1-7","2006","Full Time","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2006","Full Time","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2006","Part Time","Single parent ","","","","","4"
"4 on scale 1-7","2006","Part Time","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2006","Part Time","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2006","Part Time","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2006","Not Working","1-pers.-HH","","","","","4"
"4 on scale 1-7","2006","Full Time","Single parent ","","","","","4"
"4 on scale 1-7","2006","Part Time","1-pers.-HH","","","","","4"
"4 on scale 1-7","2006","Part Time","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2006","Full Time","Couple + C. LE 16 ","","","","","4"
"5 on scale 1-7","2006","Full Time","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2006","Not Working","Single parent ","","","","","5"
"5 on scale 1-7","2006","Not Working","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2006","Not Working","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2006","Not Working","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2006","Not Working","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2006","Full Time","Single parent ","","","","","5"
"5 on scale 1-7","2006","Full Time","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2006","Full Time","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2006","Part Time","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2006","Part Time","Single parent ","","","","","5"
"5 on scale 1-7","2006","Part Time","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2006","Part Time","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2006","Part Time","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2006","Full Time","1-pers.-HH","","","","","5"
"5 on scale 1-7","2006","Part Time","1-pers.-HH","","","","","5"
"5 on scale 1-7","2006","Full Time","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2006","Not Working","1-pers.-HH","","","","","5"
"6 on scale 1-7","2006","Not Working","Single parent ","","","","","6"
"6 on scale 1-7","2006","Full Time","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2006","Not Working","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2006","Not Working","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2006","Not Working","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2006","Part Time","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2006","Part Time","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2006","Not Working","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2006","Full Time","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2006","Full Time","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2006","Part Time","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2006","Full Time","1-pers.-HH","","","","","6"
"6 on scale 1-7","2006","Full Time","Single parent ","","","","","6"
"6 on scale 1-7","2006","Part Time","1-pers.-HH","","","","","6"
"6 on scale 1-7","2006","Part Time","Single parent ","","","","","6"
"6 on scale 1-7","2006","Not Working","1-pers.-HH","","","","","6"
"6 on scale 1-7","2006","Part Time","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2006","Full Time","(Married) couple without C. ","","","","","6"
"7 Strongly agree","2006","Not Working","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2006","Not Working","Single parent ","","","","","7"
"7 Strongly agree","2006","Not Working","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2006","Not Working","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2006","Full Time","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2006","Part Time","1-pers.-HH","","","","","7"
"7 Strongly agree","2006","Part Time","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2006","Part Time","Single parent ","","","","","7"
"7 Strongly agree","2006","Part Time","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2006","Part Time","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2006","Part Time","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2006","Not Working","1-pers.-HH","","","","","7"
"7 Strongly agree","2006","Not Working","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2006","Full Time","1-pers.-HH","","","","","7"
"7 Strongly agree","2006","Full Time","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2006","Full Time","Single parent ","","","","","7"
"7 Strongly agree","2006","Full Time","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2006","Full Time","Couple + C. GT 16 ","","","","","7"
"1 Strongly disagree","2007","Full Time","1-pers.-HH","","","","","1"
"1 Strongly disagree","2007","Full Time","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2007","Full Time","Single parent ","","","","","1"
"1 Strongly disagree","2007","Full Time","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2007","Full Time","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2007","Full Time","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2007","Part Time","1-pers.-HH","","","","","1"
"1 Strongly disagree","2007","Part Time","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2007","Part Time","Single parent ","","","","","1"
"1 Strongly disagree","2007","Part Time","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2007","Part Time","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2007","Part Time","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2007","Not Working","1-pers.-HH","","","","","1"
"1 Strongly disagree","2007","Not Working","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2007","Not Working","Single parent ","","","","","1"
"1 Strongly disagree","2007","Not Working","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2007","Not Working","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2007","Not Working","Couple + C. LE and GT 16","","","","","1"
"2 on scale 1-7 ","2007","Full Time","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2007","Full Time","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2007","Full Time","Single parent ","","","","","2"
"2 on scale 1-7 ","2007","Full Time","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2007","Full Time","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2007","Full Time","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2007","Part Time","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2007","Part Time","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2007","Part Time","Single parent ","","","","","2"
"2 on scale 1-7 ","2007","Part Time","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2007","Not Working","Single parent ","","","","","2"
"2 on scale 1-7 ","2007","Not Working","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2007","Not Working","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2007","Not Working","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2007","Not Working","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2007","Part Time","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2007","Not Working","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2007","Part Time","Couple + C. GT 16 ","","","","","2"
"3 on scale 1-7 ","2007","Not Working","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2007","Not Working","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2007","Not Working","Single parent ","","","","","3"
"3 on scale 1-7 ","2007","Not Working","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2007","Full Time","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2007","Full Time","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2007","Full Time","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2007","Full Time","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2007","Not Working","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2007","Full Time","Single parent ","","","","","3"
"3 on scale 1-7 ","2007","Full Time","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2007","Part Time","Single parent ","","","","","3"
"3 on scale 1-7 ","2007","Part Time","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2007","Not Working","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2007","Part Time","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2007","Part Time","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2007","Part Time","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2007","Part Time","Couple + C. LE and GT 16","","","","","3"
"4 on scale 1-7","2007","Not Working","Single parent ","","","","","4"
"4 on scale 1-7","2007","Not Working","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2007","Full Time","1-pers.-HH","","","","","4"
"4 on scale 1-7","2007","Full Time","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2007","Not Working","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2007","Not Working","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2007","Part Time","Single parent ","","","","","4"
"4 on scale 1-7","2007","Part Time","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2007","Not Working","1-pers.-HH","","","","","4"
"4 on scale 1-7","2007","Not Working","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2007","Full Time","Single parent ","","","","","4"
"4 on scale 1-7","2007","Part Time","1-pers.-HH","","","","","4"
"4 on scale 1-7","2007","Full Time","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2007","Part Time","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2007","Full Time","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2007","Part Time","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2007","Part Time","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2007","Full Time","Couple + C. GT 16 ","","","","","4"
"5 on scale 1-7","2007","Not Working","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2007","Not Working","Single parent ","","","","","5"
"5 on scale 1-7","2007","Not Working","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2007","Not Working","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2007","Not Working","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2007","Full Time","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2007","Full Time","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2007","Full Time","Single parent ","","","","","5"
