"plh0206i01","year","n","percent","lower_confidence","upper_confidence"
"4 on scale 1-7","2013","","","",""
"5 on scale 1-7","2013","","","",""
"6 on scale 1-7","2013","","","",""
"7 Strongly agree","2013","","","",""
"1 Strongly disagree","2014","","","",""
"2 on scale 1-7 ","2014","","","",""
"3 on scale 1-7 ","2014","","","",""
"4 on scale 1-7","2014","","","",""
"5 on scale 1-7","2014","","","",""
"6 on scale 1-7","2014","","","",""
"7 Strongly agree","2014","","","",""
"1 Strongly disagree","2015","95","0.0040863811674382","0.00332208625859284","0.00485067607628355"
"2 on scale 1-7 ","2015","128","0.00453974795588386","0.00373435370219526","0.00534514220957247"
"3 on scale 1-7 ","2015","212","0.00748344123829859","0.00645091701066468","0.0085159654659325"
"4 on scale 1-7","2015","811","0.0274337532482577","0.0254767889415256","0.0293907175549899"
"5 on scale 1-7","2015","2165","0.0843012432728911","0.0809725483311559","0.0876299382146263"
"6 on scale 1-7","2015","7275","0.279097046002898","0.273723057704126","0.28447103430167"
"7 Strongly agree","2015","16077","0.593058387114332","0.587172723039201","0.598944051189463"
"1 Strongly disagree","2016","30","0.00661453419989222","0.00421939760292178","0.00900967079686265"
"2 on scale 1-7 ","2016","10","","",""
"3 on scale 1-7 ","2016","24","","",""
"4 on scale 1-7","2016","54","0.032804829154725","0.0275416554616131","0.0380680028478368"
"5 on scale 1-7","2016","99","0.0539373107538429","0.047262693681016","0.0606119278266698"
"6 on scale 1-7","2016","224","0.120832700196455","0.111202179780649","0.130463220612262"
"7 Strongly agree","2016","3959","0.764986931959809","0.752458556303165","0.777515307616453"
"1 Strongly disagree","2017","9","","",""
"2 on scale 1-7 ","2017","2","","",""
"3 on scale 1-7 ","2017","5","","",""
"4 on scale 1-7","2017","26","","",""
"5 on scale 1-7","2017","69","0.0291897127704553","0.0230395757473554","0.0353398497935551"
"6 on scale 1-7","2017","225","0.0802397426089746","0.0703146451585966","0.0901648400593526"
"7 Strongly agree","2017","2542","0.874425691768422","0.862319304898636","0.886532078638207"
"1 Strongly disagree","2018","1","","",""
"2 on scale 1-7 ","2018","1","","",""
"3 on scale 1-7 ","2018","1","","",""
"4 on scale 1-7","2018","1","","",""
"5 on scale 1-7","2018","13","","",""
"6 on scale 1-7","2018","39","0.0757477997841048","0.0505328466569394","0.10096275291127"
"7 Strongly agree","2018","367","0.881392144626848","0.850580191982053","0.912204097271643"
"1 Strongly disagree","2019","1","","",""
"2 on scale 1-7 ","2019","1","","",""
"3 on scale 1-7 ","2019","","","",""
"4 on scale 1-7","2019","5","","",""
"5 on scale 1-7","2019","11","","",""
"6 on scale 1-7","2019","32","0.0758764921885718","0.0448048203941153","0.106948163983028"
"7 Strongly agree","2019","229","0.861119377113134","0.820540642677505","0.901698111548763"
