"plh0206i01","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"3 on scale 1-7 ","2012","Full Time","","","","","3"
"4 on scale 1-7","2012","Not Working","","","","","4"
"4 on scale 1-7","2012","Part Time","","","","","4"
"4 on scale 1-7","2012","Full Time","","","","","4"
"5 on scale 1-7","2012","Not Working","","","","","5"
"5 on scale 1-7","2012","Part Time","","","","","5"
"5 on scale 1-7","2012","Full Time","","","","","5"
"6 on scale 1-7","2012","Not Working","","","","","6"
"6 on scale 1-7","2012","Part Time","","","","","6"
"6 on scale 1-7","2012","Full Time","","","","","6"
"7 Strongly agree","2012","Not Working","","","","","7"
"7 Strongly agree","2012","Full Time","","","","","7"
"7 Strongly agree","2012","Part Time","","","","","7"
"1 Strongly disagree","2013","Part Time","","","","","1"
"1 Strongly disagree","2013","Not Working","","","","","1"
"1 Strongly disagree","2013","Full Time","","","","","1"
"2 on scale 1-7 ","2013","Not Working","","","","","2"
"2 on scale 1-7 ","2013","Full Time","","","","","2"
"2 on scale 1-7 ","2013","Part Time","","","","","2"
"3 on scale 1-7 ","2013","Not Working","","","","","3"
"3 on scale 1-7 ","2013","Part Time","","","","","3"
"3 on scale 1-7 ","2013","Full Time","","","","","3"
"4 on scale 1-7","2013","Not Working","","","","","4"
"4 on scale 1-7","2013","Part Time","","","","","4"
"4 on scale 1-7","2013","Full Time","","","","","4"
"5 on scale 1-7","2013","Not Working","","","","","5"
"5 on scale 1-7","2013","Full Time","","","","","5"
"5 on scale 1-7","2013","Part Time","","","","","5"
"6 on scale 1-7","2013","Not Working","","","","","6"
"6 on scale 1-7","2013","Part Time","","","","","6"
"6 on scale 1-7","2013","Full Time","","","","","6"
"7 Strongly agree","2013","Not Working","","","","","7"
"7 Strongly agree","2013","Full Time","","","","","7"
"7 Strongly agree","2013","Part Time","","","","","7"
"1 Strongly disagree","2014","Part Time","","","","","1"
"1 Strongly disagree","2014","Not Working","","","","","1"
"1 Strongly disagree","2014","Full Time","","","","","1"
"2 on scale 1-7 ","2014","Not Working","","","","","2"
"2 on scale 1-7 ","2014","Full Time","","","","","2"
"2 on scale 1-7 ","2014","Part Time","","","","","2"
"3 on scale 1-7 ","2014","Not Working","","","","","3"
"3 on scale 1-7 ","2014","Part Time","","","","","3"
"3 on scale 1-7 ","2014","Full Time","","","","","3"
"4 on scale 1-7","2014","Part Time","","","","","4"
"4 on scale 1-7","2014","Not Working","","","","","4"
"4 on scale 1-7","2014","Full Time","","","","","4"
"5 on scale 1-7","2014","Not Working","","","","","5"
"5 on scale 1-7","2014","Part Time","","","","","5"
"5 on scale 1-7","2014","Full Time","","","","","5"
"6 on scale 1-7","2014","Not Working","","","","","6"
"6 on scale 1-7","2014","Part Time","","","","","6"
"6 on scale 1-7","2014","Full Time","","","","","6"
"7 Strongly agree","2014","Not Working","","","","","7"
"7 Strongly agree","2014","Full Time","","","","","7"
"7 Strongly agree","2014","Part Time","","","","","7"
"1 Strongly disagree","2015","Part Time","25","","","","1"
"1 Strongly disagree","2015","Not Working","36","0.00363860391038358","0.00246718480755942","0.00481002301320774","1"
"1 Strongly disagree","2015","Full Time","34","0.00433161193980769","0.00301088164783457","0.00565234223178081","1"
"2 on scale 1-7 ","2015","Not Working","49","0.00489497323952344","0.00353714109482554","0.00625280538422134","2"
"2 on scale 1-7 ","2015","Full Time","41","0.00446193426016905","0.0031215709624818","0.00580229755785629","2"
"2 on scale 1-7 ","2015","Part Time","38","0.00409319493132077","0.00260975254095599","0.00557663732168555","2"
"3 on scale 1-7 ","2015","Not Working","80","0.00861513928482095","0.00681714313384299","0.0104131354357989","3"
"3 on scale 1-7 ","2015","Part Time","56","0.00691310208661059","0.00498797133009818","0.008838232843123","3"
"3 on scale 1-7 ","2015","Full Time","76","0.00669303145050641","0.00505325297103346","0.00833280992997937","3"
"4 on scale 1-7","2015","Not Working","336","0.0307298763265865","0.0273721964781899","0.0340875561749832","4"
"4 on scale 1-7","2015","Part Time","193","0.0249085048761609","0.0212875206283524","0.0285294891239695","4"
"4 on scale 1-7","2015","Full Time","282","0.0256816605337644","0.0225004383844147","0.028862882683114","4"
"5 on scale 1-7","2015","Not Working","881","0.0921617024360904","0.0865341965373953","0.0977892083347856","5"
"5 on scale 1-7","2015","Part Time","550","0.079746523593228","0.0734523352457847","0.0860407119406713","5"
"5 on scale 1-7","2015","Full Time","734","0.0791889193415279","0.0737582984629912","0.0846195402200646","5"
"6 on scale 1-7","2015","Part Time","1904","0.270839657656875","0.260514474376289","0.281164840937461","6"
"6 on scale 1-7","2015","Not Working","2645","0.271959181352785","0.263302205780919","0.280616156924651","6"
"6 on scale 1-7","2015","Full Time","2726","0.291627906845434","0.28248725283392","0.300768560856949","6"
"7 Strongly agree","2015","Not Working","6122","0.58800052344981","0.578424754617998","0.597576292281622","7"
"7 Strongly agree","2015","Full Time","5605","0.58801493562879","0.578116491797563","0.597913379460017","7"
"7 Strongly agree","2015","Part Time","4350","0.609080908220531","0.597743571245274","0.620418245195789","7"
"1 Strongly disagree","2016","Part Time","","","","","1"
"1 Strongly disagree","2016","Not Working","30","0.00663351224923464","0.00422894608096434","0.00903807841750494","1"
"1 Strongly disagree","2016","Full Time","","","","","1"
"2 on scale 1-7 ","2016","Not Working","10","","","","2"
"2 on scale 1-7 ","2016","Part Time","","","","","2"
"2 on scale 1-7 ","2016","Full Time","","","","","2"
"3 on scale 1-7 ","2016","Not Working","24","","","","3"
"3 on scale 1-7 ","2016","Part Time","","","","","3"
"3 on scale 1-7 ","2016","Full Time","","","","","3"
"4 on scale 1-7","2016","Not Working","54","0.032898950924687","0.0276152629297661","0.0381826389196079","4"
"4 on scale 1-7","2016","Part Time","","","","","4"
"4 on scale 1-7","2016","Full Time","","","","","4"
"5 on scale 1-7","2016","Not Working","98","0.0537186214915442","0.0470400621522454","0.060397180830843","5"
"5 on scale 1-7","2016","Part Time","","","","","5"
"5 on scale 1-7","2016","Full Time","","","","","5"
"6 on scale 1-7","2016","Part Time","","","","","6"
"6 on scale 1-7","2016","Not Working","224","0.121179386580894","0.111512765284744","0.130846007877044","6"
"6 on scale 1-7","2016","Full Time","","","","","6"
"7 Strongly agree","2016","Not Working","3938","0.764686088847998","0.752120709387147","0.77725146830885","7"
"7 Strongly agree","2016","Full Time","","","","","7"
"7 Strongly agree","2016","Part Time","","","","","7"
"1 Strongly disagree","2017","Part Time","","","","","1"
"1 Strongly disagree","2017","Not Working","9","","","","1"
"1 Strongly disagree","2017","Full Time","","","","","1"
"2 on scale 1-7 ","2017","Not Working","2","","","","2"
"2 on scale 1-7 ","2017","Part Time","","","","","2"
"2 on scale 1-7 ","2017","Full Time","","","","","2"
"3 on scale 1-7 ","2017","Not Working","5","","","","3"
"3 on scale 1-7 ","2017","Part Time","","","","","3"
"3 on scale 1-7 ","2017","Full Time","","","","","3"
"4 on scale 1-7","2017","Part Time","","","","","4"
"4 on scale 1-7","2017","Not Working","26","","","","4"
"4 on scale 1-7","2017","Full Time","","","","","4"
"5 on scale 1-7","2017","Not Working","69","0.0291897127704553","0.0230395757473554","0.0353398497935551","5"
"5 on scale 1-7","2017","Full Time","","","","","5"
"5 on scale 1-7","2017","Part Time","","","","","5"
"6 on scale 1-7","2017","Part Time","","","","","6"
"6 on scale 1-7","2017","Full Time","","","","","6"
"6 on scale 1-7","2017","Not Working","225","0.0802397426089746","0.0703146451585966","0.0901648400593526","6"
"7 Strongly agree","2017","Not Working","2542","0.874425691768422","0.862319304898636","0.886532078638207","7"
"7 Strongly agree","2017","Full Time","","","","","7"
"7 Strongly agree","2017","Part Time","","","","","7"
"1 Strongly disagree","2018","Part Time","","","","","1"
"1 Strongly disagree","2018","Not Working","1","","","","1"
"1 Strongly disagree","2018","Full Time","","","","","1"
"2 on scale 1-7 ","2018","Not Working","1","","","","2"
"2 on scale 1-7 ","2018","Part Time","","","","","2"
"2 on scale 1-7 ","2018","Full Time","","","","","2"
"3 on scale 1-7 ","2018","Part Time","","","","","3"
"3 on scale 1-7 ","2018","Not Working","1","","","","3"
"3 on scale 1-7 ","2018","Full Time","","","","","3"
"4 on scale 1-7","2018","Part Time","","","","","4"
"4 on scale 1-7","2018","Not Working","1","","","","4"
"4 on scale 1-7","2018","Full Time","","","","","4"
"5 on scale 1-7","2018","Full Time","","","","","5"
"5 on scale 1-7","2018","Part Time","","","","","5"
"5 on scale 1-7","2018","Not Working","13","","","","5"
"6 on scale 1-7","2018","Part Time","","","","","6"
"6 on scale 1-7","2018","Not Working","39","0.0757477997841048","0.0505328466569394","0.10096275291127","6"
"6 on scale 1-7","2018","Full Time","","","","","6"
"7 Strongly agree","2018","Full Time","","","","","7"
"7 Strongly agree","2018","Part Time","","","","","7"
"7 Strongly agree","2018","Not Working","367","0.881392144626848","0.850580191982053","0.912204097271643","7"
"1 Strongly disagree","2019","Part Time","","","","","1"
"1 Strongly disagree","2019","Not Working","1","","","","1"
"1 Strongly disagree","2019","Full Time","","","","","1"
"2 on scale 1-7 ","2019","Not Working","1","","","","2"
"2 on scale 1-7 ","2019","Part Time","","","","","2"
"2 on scale 1-7 ","2019","Full Time","","","","","2"
"3 on scale 1-7 ","2019","Full Time","","","","","3"
"3 on scale 1-7 ","2019","Part Time","","","","","3"
"3 on scale 1-7 ","2019","Not Working","","","","","3"
"4 on scale 1-7","2019","Part Time","","","","","4"
"4 on scale 1-7","2019","Full Time","","","","","4"
"4 on scale 1-7","2019","Not Working","5","","","","4"
"5 on scale 1-7","2019","Full Time","","","","","5"
"5 on scale 1-7","2019","Part Time","","","","","5"
"5 on scale 1-7","2019","Not Working","11","","","","5"
"6 on scale 1-7","2019","Part Time","","","","","6"
"6 on scale 1-7","2019","Full Time","","","","","6"
"6 on scale 1-7","2019","Not Working","32","0.0758764921885718","0.0448048203941153","0.106948163983028","6"
"7 Strongly agree","2019","Full Time","","","","","7"
"7 Strongly agree","2019","Part Time","","","","","7"
"7 Strongly agree","2019","Not Working","229","0.861119377113134","0.820540642677505","0.901698111548763","7"
