"plh0206i01","year","regtyp","n","percent","lower_confidence","upper_confidence"
"3 on scale 1-7 ","2011","Rural Area","","","",""
"4 on scale 1-7","2011","Urban Area","","","",""
"4 on scale 1-7","2011","Rural Area","","","",""
"5 on scale 1-7","2011","Urban Area","","","",""
"5 on scale 1-7","2011","Rural Area","","","",""
"6 on scale 1-7","2011","Urban Area","","","",""
"6 on scale 1-7","2011","Rural Area","","","",""
"7 Strongly agree","2011","Urban Area","","","",""
"7 Strongly agree","2011","Rural Area","","","",""
"1 Strongly disagree","2012","Urban Area","","","",""
"1 Strongly disagree","2012","Rural Area","","","",""
"2 on scale 1-7 ","2012","Urban Area","","","",""
"2 on scale 1-7 ","2012","Rural Area","","","",""
"3 on scale 1-7 ","2012","Urban Area","","","",""
"3 on scale 1-7 ","2012","Rural Area","","","",""
"4 on scale 1-7","2012","Urban Area","","","",""
"4 on scale 1-7","2012","Rural Area","","","",""
"5 on scale 1-7","2012","Urban Area","","","",""
"5 on scale 1-7","2012","Rural Area","","","",""
"6 on scale 1-7","2012","Urban Area","","","",""
"6 on scale 1-7","2012","Rural Area","","","",""
"7 Strongly agree","2012","Urban Area","","","",""
"7 Strongly agree","2012","Rural Area","","","",""
"1 Strongly disagree","2013","Urban Area","","","",""
"1 Strongly disagree","2013","Rural Area","","","",""
"2 on scale 1-7 ","2013","Urban Area","","","",""
"2 on scale 1-7 ","2013","Rural Area","","","",""
"3 on scale 1-7 ","2013","Urban Area","","","",""
"3 on scale 1-7 ","2013","Rural Area","","","",""
"4 on scale 1-7","2013","Urban Area","","","",""
"4 on scale 1-7","2013","Rural Area","","","",""
"5 on scale 1-7","2013","Urban Area","","","",""
"5 on scale 1-7","2013","Rural Area","","","",""
"6 on scale 1-7","2013","Urban Area","","","",""
"6 on scale 1-7","2013","Rural Area","","","",""
"7 Strongly agree","2013","Urban Area","","","",""
"7 Strongly agree","2013","Rural Area","","","",""
"1 Strongly disagree","2014","Urban Area","","","",""
"1 Strongly disagree","2014","Rural Area","","","",""
"2 on scale 1-7 ","2014","Urban Area","","","",""
"2 on scale 1-7 ","2014","Rural Area","","","",""
"3 on scale 1-7 ","2014","Urban Area","","","",""
"3 on scale 1-7 ","2014","Rural Area","","","",""
"4 on scale 1-7","2014","Urban Area","","","",""
"4 on scale 1-7","2014","Rural Area","","","",""
"5 on scale 1-7","2014","Urban Area","","","",""
"5 on scale 1-7","2014","Rural Area","","","",""
"6 on scale 1-7","2014","Urban Area","","","",""
"6 on scale 1-7","2014","Rural Area","","","",""
"7 Strongly agree","2014","Urban Area","","","",""
"7 Strongly agree","2014","Rural Area","","","",""
"1 Strongly disagree","2015","Urban Area","61","0.00447016494443314","0.00348525372514331","0.00545507616372297"
"1 Strongly disagree","2015","Rural Area","34","0.00324844498271572","0.00208188731676158","0.00441500264866987"
"2 on scale 1-7 ","2015","Urban Area","97","0.00528055702568444","0.0042105211412167","0.00635059291015219"
"2 on scale 1-7 ","2015","Rural Area","31","0.00292229885363929","0.00181567046050588","0.0040289272467727"
"3 on scale 1-7 ","2015","Urban Area","141","0.00702025482768153","0.00578756218545639","0.00825294746990666"
"3 on scale 1-7 ","2015","Rural Area","71","0.00849474155111216","0.00661327028928593","0.0103762128129384"
"4 on scale 1-7","2015","Urban Area","516","0.026275406243646","0.0239138355009245","0.0286369769863675"
"4 on scale 1-7","2015","Rural Area","295","0.0299628358406203","0.0264677275418521","0.0334579441393885"
"5 on scale 1-7","2015","Urban Area","1362","0.0805699724622602","0.0765515636308614","0.0845883812936589"
"5 on scale 1-7","2015","Rural Area","803","0.092447931628787","0.0865096694502793","0.0983861938072946"
"6 on scale 1-7","2015","Urban Area","4760","0.281137421859415","0.274500137301425","0.287774706417404"
"6 on scale 1-7","2015","Rural Area","2515","0.274642181407015","0.265491893449472","0.283792469364557"
"7 Strongly agree","2015","Urban Area","10686","0.59524622263688","0.587999327956909","0.602493117316851"
"7 Strongly agree","2015","Rural Area","5391","0.588281565736111","0.578192109306029","0.598371022166192"
"1 Strongly disagree","2016","Urban Area","18","","",""
"1 Strongly disagree","2016","Rural Area","12","","",""
"2 on scale 1-7 ","2016","Urban Area","10","","",""
"2 on scale 1-7 ","2016","Rural Area","","","",""
"3 on scale 1-7 ","2016","Urban Area","18","","",""
"3 on scale 1-7 ","2016","Rural Area","6","","",""
"4 on scale 1-7","2016","Urban Area","33","0.0401685342266931","0.0331908876243267","0.0471461808290595"
"4 on scale 1-7","2016","Rural Area","21","","",""
"5 on scale 1-7","2016","Urban Area","69","0.0589589723669363","0.0505885433477035","0.0673294013861691"
"5 on scale 1-7","2016","Rural Area","30","0.040652110885613","0.030148761336272","0.051155460434954"
"6 on scale 1-7","2016","Urban Area","172","0.132655212048244","0.120601341258559","0.144709082837929"
"6 on scale 1-7","2016","Rural Area","52","0.0895553173305918","0.0743683633655233","0.10474227129566"
"7 Strongly agree","2016","Urban Area","2722","0.736128309465721","0.720466510474099","0.751790108457343"
"7 Strongly agree","2016","Rural Area","1237","0.841334682424736","0.82190240934961","0.860766955499861"
"1 Strongly disagree","2017","Urban Area","5","","",""
"1 Strongly disagree","2017","Rural Area","4","","",""
"2 on scale 1-7 ","2017","Urban Area","","","",""
"2 on scale 1-7 ","2017","Rural Area","2","","",""
"3 on scale 1-7 ","2017","Urban Area","2","","",""
"3 on scale 1-7 ","2017","Rural Area","3","","",""
"4 on scale 1-7","2017","Urban Area","20","","",""
"4 on scale 1-7","2017","Rural Area","6","","",""
"5 on scale 1-7","2017","Urban Area","53","0.0285735251493943","0.0214427662102813","0.0357042840885074"
"5 on scale 1-7","2017","Rural Area","16","","",""
"6 on scale 1-7","2017","Urban Area","171","0.0831561615223875","0.0713381671668408","0.0949741558779343"
"6 on scale 1-7","2017","Rural Area","54","0.0723063006469279","0.0541422397650745","0.0904703615287813"
"7 Strongly agree","2017","Urban Area","1846","0.87156098502561","0.857240878474782","0.885881091576439"
"7 Strongly agree","2017","Rural Area","696","0.882218462751306","0.859611133760564","0.904825791742047"
"1 Strongly disagree","2018","Urban Area","1","","",""
"1 Strongly disagree","2018","Rural Area","","","",""
"2 on scale 1-7 ","2018","Urban Area","1","","",""
"2 on scale 1-7 ","2018","Rural Area","","","",""
"3 on scale 1-7 ","2018","Urban Area","1","","",""
"3 on scale 1-7 ","2018","Rural Area","","","",""
"4 on scale 1-7","2018","Urban Area","1","","",""
"4 on scale 1-7","2018","Rural Area","","","",""
"5 on scale 1-7","2018","Urban Area","8","","",""
"5 on scale 1-7","2018","Rural Area","5","","",""
"6 on scale 1-7","2018","Urban Area","24","","",""
"6 on scale 1-7","2018","Rural Area","15","","",""
"7 Strongly agree","2018","Urban Area","230","0.869524094847912","0.829046635771288","0.910001553924536"
"7 Strongly agree","2018","Rural Area","137","0.903713433831655","0.857571426553442","0.949855441109868"
"1 Strongly disagree","2019","Urban Area","1","","",""
"1 Strongly disagree","2019","Rural Area","","","",""
"2 on scale 1-7 ","2019","Urban Area","1","","",""
"2 on scale 1-7 ","2019","Rural Area","","","",""
"3 on scale 1-7 ","2019","Urban Area","","","",""
"3 on scale 1-7 ","2019","Rural Area","","","",""
"4 on scale 1-7","2019","Urban Area","3","","",""
"4 on scale 1-7","2019","Rural Area","2","","",""
"5 on scale 1-7","2019","Urban Area","9","","",""
"5 on scale 1-7","2019","Rural Area","2","","",""
"6 on scale 1-7","2019","Urban Area","19","","",""
"6 on scale 1-7","2019","Rural Area","13","","",""
"7 Strongly agree","2019","Urban Area","142","0.849408221492407","0.796418952536178","0.902397490448636"
"7 Strongly agree","2019","Rural Area","84","0.870604199956775","0.805146932253024","0.936061467660525"
