"plh0206i01","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","lower secondary degree","1","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","secondary school degree","1","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","Other degree","1","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Baden-Württemberg","lower secondary degree","4","","",""
"1 Strongly disagree","2005","Baden-Württemberg","secondary school degree","1","","",""
"1 Strongly disagree","2005","Baden-Württemberg","college entrance qualification","1","","",""
"1 Strongly disagree","2005","Baden-Württemberg","Other degree","","","",""
"1 Strongly disagree","2005","Baden-Württemberg","no degree/no degree yet","1","","",""
"1 Strongly disagree","2005","Bavaria","lower secondary degree","3","","",""
"1 Strongly disagree","2005","Bavaria","secondary school degree","1","","",""
"1 Strongly disagree","2005","Bavaria","college entrance qualification","","","",""
"1 Strongly disagree","2005","Bavaria","Other degree","1","","",""
"1 Strongly disagree","2005","Bavaria","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Berlin","lower secondary degree","","","",""
"1 Strongly disagree","2005","Berlin","secondary school degree","","","",""
"1 Strongly disagree","2005","Berlin","college entrance qualification","","","",""
"1 Strongly disagree","2005","Berlin","Other degree","","","",""
"1 Strongly disagree","2005","Berlin","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Brandenburg","lower secondary degree","","","",""
"1 Strongly disagree","2005","Brandenburg","secondary school degree","","","",""
"1 Strongly disagree","2005","Brandenburg","college entrance qualification","","","",""
"1 Strongly disagree","2005","Brandenburg","Other degree","","","",""
"1 Strongly disagree","2005","Brandenburg","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","college entrance qualification","1","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","Other degree","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Saxony","lower secondary degree","2","","",""
"1 Strongly disagree","2005","Saxony","secondary school degree","2","","",""
"1 Strongly disagree","2005","Saxony","college entrance qualification","1","","",""
"1 Strongly disagree","2005","Saxony","Other degree","","","",""
"1 Strongly disagree","2005","Saxony","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","lower secondary degree","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","secondary school degree","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","college entrance qualification","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","Other degree","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Thuringia","lower secondary degree","","","",""
"1 Strongly disagree","2005","Thuringia","secondary school degree","","","",""
"1 Strongly disagree","2005","Thuringia","college entrance qualification","","","",""
"1 Strongly disagree","2005","Thuringia","Other degree","","","",""
"1 Strongly disagree","2005","Thuringia","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","lower secondary degree","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","secondary school degree","1","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","Other degree","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Hamburg","lower secondary degree","","","",""
"2 on scale 1-7 ","2005","Hamburg","secondary school degree","","","",""
"2 on scale 1-7 ","2005","Hamburg","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","Hamburg","Other degree","","","",""
"2 on scale 1-7 ","2005","Hamburg","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","lower secondary degree","2","","",""
"2 on scale 1-7 ","2005","Lower Saxony","secondary school degree","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","Other degree","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Bremen","lower secondary degree","","","",""
"2 on scale 1-7 ","2005","Bremen","secondary school degree","","","",""
"2 on scale 1-7 ","2005","Bremen","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","Bremen","Other degree","","","",""
"2 on scale 1-7 ","2005","Bremen","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","lower secondary degree","4","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","secondary school degree","1","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","college entrance qualification","2","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","Other degree","2","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Hesse","lower secondary degree","","","",""
"2 on scale 1-7 ","2005","Hesse","secondary school degree","","","",""
"2 on scale 1-7 ","2005","Hesse","college entrance qualification","1","","",""
"2 on scale 1-7 ","2005","Hesse","Other degree","","","",""
"2 on scale 1-7 ","2005","Hesse","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","lower secondary degree","3","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","secondary school degree","1","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","college entrance qualification","1","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","Other degree","1","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","lower secondary degree","2","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","secondary school degree","","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","Other degree","","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","no degree/no degree yet","1","","",""
"2 on scale 1-7 ","2005","Bavaria","lower secondary degree","3","","",""
"2 on scale 1-7 ","2005","Bavaria","secondary school degree","","","",""
"2 on scale 1-7 ","2005","Bavaria","college entrance qualification","2","","",""
"2 on scale 1-7 ","2005","Bavaria","Other degree","2","","",""
"2 on scale 1-7 ","2005","Bavaria","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Berlin","lower secondary degree","1","","",""
"2 on scale 1-7 ","2005","Berlin","secondary school degree","1","","",""
"2 on scale 1-7 ","2005","Berlin","college entrance qualification","2","","",""
"2 on scale 1-7 ","2005","Berlin","Other degree","","","",""
"2 on scale 1-7 ","2005","Berlin","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Brandenburg","lower secondary degree","","","",""
"2 on scale 1-7 ","2005","Brandenburg","secondary school degree","","","",""
"2 on scale 1-7 ","2005","Brandenburg","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","Brandenburg","Other degree","","","",""
"2 on scale 1-7 ","2005","Brandenburg","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","secondary school degree","2","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","Other degree","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Saxony","lower secondary degree","2","","",""
"2 on scale 1-7 ","2005","Saxony","secondary school degree","3","","",""
"2 on scale 1-7 ","2005","Saxony","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","Saxony","Other degree","","","",""
"2 on scale 1-7 ","2005","Saxony","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","lower secondary degree","1","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","secondary school degree","1","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","Other degree","","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Thuringia","lower secondary degree","1","","",""
"2 on scale 1-7 ","2005","Thuringia","secondary school degree","","","",""
"2 on scale 1-7 ","2005","Thuringia","college entrance qualification","1","","",""
"2 on scale 1-7 ","2005","Thuringia","Other degree","","","",""
"2 on scale 1-7 ","2005","Thuringia","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","lower secondary degree","1","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","secondary school degree","","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","college entrance qualification","1","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","Other degree","","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Hamburg","lower secondary degree","","","",""
"3 on scale 1-7 ","2005","Hamburg","secondary school degree","","","",""
"3 on scale 1-7 ","2005","Hamburg","college entrance qualification","1","","",""
"3 on scale 1-7 ","2005","Hamburg","Other degree","","","",""
"3 on scale 1-7 ","2005","Hamburg","no degree/no degree yet","1","","",""
"3 on scale 1-7 ","2005","Lower Saxony","lower secondary degree","3","","",""
"3 on scale 1-7 ","2005","Lower Saxony","secondary school degree","3","","",""
"3 on scale 1-7 ","2005","Lower Saxony","college entrance qualification","","","",""
"3 on scale 1-7 ","2005","Lower Saxony","Other degree","","","",""
"3 on scale 1-7 ","2005","Lower Saxony","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Bremen","lower secondary degree","","","",""
"3 on scale 1-7 ","2005","Bremen","secondary school degree","","","",""
"3 on scale 1-7 ","2005","Bremen","college entrance qualification","","","",""
"3 on scale 1-7 ","2005","Bremen","Other degree","","","",""
"3 on scale 1-7 ","2005","Bremen","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","lower secondary degree","12","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","secondary school degree","3","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","college entrance qualification","8","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","Other degree","1","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","no degree/no degree yet","2","","",""
"3 on scale 1-7 ","2005","Hesse","lower secondary degree","4","","",""
"3 on scale 1-7 ","2005","Hesse","secondary school degree","2","","",""
"3 on scale 1-7 ","2005","Hesse","college entrance qualification","1","","",""
"3 on scale 1-7 ","2005","Hesse","Other degree","1","","",""
"3 on scale 1-7 ","2005","Hesse","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","lower secondary degree","8","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","secondary school degree","2","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","college entrance qualification","7","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","Other degree","1","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","lower secondary degree","3","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","secondary school degree","3","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","college entrance qualification","1","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","Other degree","2","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","no degree/no degree yet","1","","",""
"3 on scale 1-7 ","2005","Bavaria","lower secondary degree","13","","",""
"3 on scale 1-7 ","2005","Bavaria","secondary school degree","3","","",""
"3 on scale 1-7 ","2005","Bavaria","college entrance qualification","8","","",""
"3 on scale 1-7 ","2005","Bavaria","Other degree","4","","",""
"3 on scale 1-7 ","2005","Bavaria","no degree/no degree yet","2","","",""
"3 on scale 1-7 ","2005","Berlin","lower secondary degree","2","","",""
"3 on scale 1-7 ","2005","Berlin","secondary school degree","4","","",""
"3 on scale 1-7 ","2005","Berlin","college entrance qualification","1","","",""
"3 on scale 1-7 ","2005","Berlin","Other degree","","","",""
"3 on scale 1-7 ","2005","Berlin","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Brandenburg","lower secondary degree","","","",""
"3 on scale 1-7 ","2005","Brandenburg","secondary school degree","2","","",""
"3 on scale 1-7 ","2005","Brandenburg","college entrance qualification","2","","",""
"3 on scale 1-7 ","2005","Brandenburg","Other degree","","","",""
"3 on scale 1-7 ","2005","Brandenburg","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","secondary school degree","1","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","Other degree","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Saxony","lower secondary degree","3","","",""
"3 on scale 1-7 ","2005","Saxony","secondary school degree","","","",""
"3 on scale 1-7 ","2005","Saxony","college entrance qualification","2","","",""
"3 on scale 1-7 ","2005","Saxony","Other degree","","","",""
"3 on scale 1-7 ","2005","Saxony","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","lower secondary degree","4","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","secondary school degree","","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","college entrance qualification","","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","Other degree","1","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Thuringia","lower secondary degree","3","","",""
"3 on scale 1-7 ","2005","Thuringia","secondary school degree","5","","",""
"3 on scale 1-7 ","2005","Thuringia","college entrance qualification","","","",""
"3 on scale 1-7 ","2005","Thuringia","Other degree","","","",""
"3 on scale 1-7 ","2005","Thuringia","no degree/no degree yet","2","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","lower secondary degree","7","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","secondary school degree","2","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","college entrance qualification","2","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","Other degree","","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","no degree/no degree yet","1","","",""
"4 on scale 1-7","2005","Hamburg","lower secondary degree","1","","",""
"4 on scale 1-7","2005","Hamburg","secondary school degree","","","",""
"4 on scale 1-7","2005","Hamburg","college entrance qualification","","","",""
"4 on scale 1-7","2005","Hamburg","Other degree","","","",""
"4 on scale 1-7","2005","Hamburg","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","Lower Saxony","lower secondary degree","17","","",""
"4 on scale 1-7","2005","Lower Saxony","secondary school degree","11","","",""
"4 on scale 1-7","2005","Lower Saxony","college entrance qualification","4","","",""
"4 on scale 1-7","2005","Lower Saxony","Other degree","1","","",""
"4 on scale 1-7","2005","Lower Saxony","no degree/no degree yet","3","","",""
"4 on scale 1-7","2005","Bremen","lower secondary degree","","","",""
"4 on scale 1-7","2005","Bremen","secondary school degree","","","",""
"4 on scale 1-7","2005","Bremen","college entrance qualification","","","",""
"4 on scale 1-7","2005","Bremen","Other degree","","","",""
"4 on scale 1-7","2005","Bremen","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","lower secondary degree","46","0.0271150052011915","0.0190423111578761","0.0351876992445069"
"4 on scale 1-7","2005","North Rhine-Westphalia","secondary school degree","16","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","college entrance qualification","27","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","Other degree","21","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","no degree/no degree yet","7","","",""
"4 on scale 1-7","2005","Hesse","lower secondary degree","16","","",""
"4 on scale 1-7","2005","Hesse","secondary school degree","8","","",""
"4 on scale 1-7","2005","Hesse","college entrance qualification","8","","",""
"4 on scale 1-7","2005","Hesse","Other degree","5","","",""
"4 on scale 1-7","2005","Hesse","no degree/no degree yet","1","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","lower secondary degree","10","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","secondary school degree","7","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","college entrance qualification","3","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Other degree","4","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","Baden-Württemberg","lower secondary degree","37","0.0483881598909678","0.0340381902885784","0.0627381294933571"
"4 on scale 1-7","2005","Baden-Württemberg","secondary school degree","11","","",""
"4 on scale 1-7","2005","Baden-Württemberg","college entrance qualification","23","","",""
"4 on scale 1-7","2005","Baden-Württemberg","Other degree","17","","",""
"4 on scale 1-7","2005","Baden-Württemberg","no degree/no degree yet","11","","",""
"4 on scale 1-7","2005","Bavaria","lower secondary degree","45","0.0306262901652635","0.0208118607750846","0.0404407195554425"
"4 on scale 1-7","2005","Bavaria","secondary school degree","20","","",""
"4 on scale 1-7","2005","Bavaria","college entrance qualification","21","","",""
"4 on scale 1-7","2005","Bavaria","Other degree","7","","",""
"4 on scale 1-7","2005","Bavaria","no degree/no degree yet","12","","",""
"4 on scale 1-7","2005","Berlin","lower secondary degree","5","","",""
"4 on scale 1-7","2005","Berlin","secondary school degree","12","","",""
"4 on scale 1-7","2005","Berlin","college entrance qualification","11","","",""
"4 on scale 1-7","2005","Berlin","Other degree","","","",""
"4 on scale 1-7","2005","Berlin","no degree/no degree yet","3","","",""
"4 on scale 1-7","2005","Brandenburg","lower secondary degree","6","","",""
"4 on scale 1-7","2005","Brandenburg","secondary school degree","13","","",""
"4 on scale 1-7","2005","Brandenburg","college entrance qualification","3","","",""
"4 on scale 1-7","2005","Brandenburg","Other degree","","","",""
"4 on scale 1-7","2005","Brandenburg","no degree/no degree yet","2","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","lower secondary degree","4","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","secondary school degree","7","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","college entrance qualification","1","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","Other degree","","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","Saxony","lower secondary degree","12","","",""
"4 on scale 1-7","2005","Saxony","secondary school degree","11","","",""
"4 on scale 1-7","2005","Saxony","college entrance qualification","6","","",""
"4 on scale 1-7","2005","Saxony","Other degree","1","","",""
"4 on scale 1-7","2005","Saxony","no degree/no degree yet","2","","",""
"4 on scale 1-7","2005","Saxony-Anhalt","lower secondary degree","8","","",""
"4 on scale 1-7","2005","Saxony-Anhalt","secondary school degree","9","","",""
"4 on scale 1-7","2005","Saxony-Anhalt","college entrance qualification","3","","",""
"4 on scale 1-7","2005","Saxony-Anhalt","Other degree","","","",""
"4 on scale 1-7","2005","Saxony-Anhalt","no degree/no degree yet","3","","",""
"4 on scale 1-7","2005","Thuringia","lower secondary degree","17","","",""
"4 on scale 1-7","2005","Thuringia","secondary school degree","11","","",""
"4 on scale 1-7","2005","Thuringia","college entrance qualification","1","","",""
"4 on scale 1-7","2005","Thuringia","Other degree","","","",""
"4 on scale 1-7","2005","Thuringia","no degree/no degree yet","","","",""
"5 on scale 1-7","2005","Schleswig-Holstein","lower secondary degree","12","","",""
"5 on scale 1-7","2005","Schleswig-Holstein","secondary school degree","9","","",""
"5 on scale 1-7","2005","Schleswig-Holstein","college entrance qualification","17","","",""
"5 on scale 1-7","2005","Schleswig-Holstein","Other degree","3","","",""
"5 on scale 1-7","2005","Schleswig-Holstein","no degree/no degree yet","4","","",""
"5 on scale 1-7","2005","Hamburg","lower secondary degree","5","","",""
"5 on scale 1-7","2005","Hamburg","secondary school degree","5","","",""
"5 on scale 1-7","2005","Hamburg","college entrance qualification","6","","",""
"5 on scale 1-7","2005","Hamburg","Other degree","","","",""
"5 on scale 1-7","2005","Hamburg","no degree/no degree yet","2","","",""
"5 on scale 1-7","2005","Lower Saxony","lower secondary degree","62","0.0955632544888205","0.0728396527207255","0.118286856256915"
"5 on scale 1-7","2005","Lower Saxony","secondary school degree","28","","",""
"5 on scale 1-7","2005","Lower Saxony","college entrance qualification","30","0.0718719748318868","0.0466870220576983","0.0970569276060753"
"5 on scale 1-7","2005","Lower Saxony","Other degree","8","","",""
"5 on scale 1-7","2005","Lower Saxony","no degree/no degree yet","6","","",""
"5 on scale 1-7","2005","Bremen","lower secondary degree","3","","",""
"5 on scale 1-7","2005","Bremen","secondary school degree","1","","",""
"5 on scale 1-7","2005","Bremen","college entrance qualification","3","","",""
"5 on scale 1-7","2005","Bremen","Other degree","2","","",""
"5 on scale 1-7","2005","Bremen","no degree/no degree yet","2","","",""
"5 on scale 1-7","2005","North Rhine-Westphalia","lower secondary degree","127","0.0875948903043834","0.0735436023060006","0.101646178302766"
"5 on scale 1-7","2005","North Rhine-Westphalia","secondary school degree","76","0.0815012928036233","0.0640662087122282","0.0989363768950183"
"5 on scale 1-7","2005","North Rhine-Westphalia","college entrance qualification","102","0.106838478860787","0.0896587564020886","0.124018201319486"
"5 on scale 1-7","2005","North Rhine-Westphalia","Other degree","25","","",""
"5 on scale 1-7","2005","North Rhine-Westphalia","no degree/no degree yet","25","","",""
"5 on scale 1-7","2005","Hesse","lower secondary degree","40","0.0958686262795739","0.0681060196473157","0.123631232911832"
"5 on scale 1-7","2005","Hesse","secondary school degree","22","","",""
"5 on scale 1-7","2005","Hesse","college entrance qualification","34","0.0670931266073204","0.0427274351022551","0.0914588181123858"
"5 on scale 1-7","2005","Hesse","Other degree","10","","",""
"5 on scale 1-7","2005","Hesse","no degree/no degree yet","8","","",""
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","lower secondary degree","37","0.0588294690834896","0.0396630740992662","0.077995864067713"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","secondary school degree","17","","",""
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","college entrance qualification","11","","",""
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Other degree","5","","",""
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","5","","",""
"5 on scale 1-7","2005","Baden-Württemberg","lower secondary degree","83","0.0899018813758701","0.0707734213569395","0.109030341394801"
"5 on scale 1-7","2005","Baden-Württemberg","secondary school degree","40","0.0676235344995856","0.0472409900429551","0.0880060789562162"
"5 on scale 1-7","2005","Baden-Württemberg","college entrance qualification","49","0.0806148450130133","0.0589214932298658","0.102308196796161"
"5 on scale 1-7","2005","Baden-Württemberg","Other degree","33","0.167332573402673","0.122559336481128","0.212105810324218"
"5 on scale 1-7","2005","Baden-Württemberg","no degree/no degree yet","26","","",""
"5 on scale 1-7","2005","Bavaria","lower secondary degree","112","0.0945218642828302","0.0778579369454533","0.111185791620207"
"5 on scale 1-7","2005","Bavaria","secondary school degree","58","0.0737874276607909","0.0545308997572496","0.0930439555643322"
"5 on scale 1-7","2005","Bavaria","college entrance qualification","61","0.105368704413926","0.0827530413411169","0.127984367486735"
"5 on scale 1-7","2005","Bavaria","Other degree","8","","",""
"5 on scale 1-7","2005","Bavaria","no degree/no degree yet","12","","",""
"5 on scale 1-7","2005","Berlin","lower secondary degree","7","","",""
"5 on scale 1-7","2005","Berlin","secondary school degree","18","","",""
"5 on scale 1-7","2005","Berlin","college entrance qualification","25","","",""
"5 on scale 1-7","2005","Berlin","Other degree","2","","",""
"5 on scale 1-7","2005","Berlin","no degree/no degree yet","6","","",""
"5 on scale 1-7","2005","Brandenburg","lower secondary degree","20","","",""
"5 on scale 1-7","2005","Brandenburg","secondary school degree","27","","",""
"5 on scale 1-7","2005","Brandenburg","college entrance qualification","16","","",""
"5 on scale 1-7","2005","Brandenburg","Other degree","","","",""
"5 on scale 1-7","2005","Brandenburg","no degree/no degree yet","5","","",""
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","lower secondary degree","4","","",""
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","secondary school degree","16","","",""
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","college entrance qualification","2","","",""
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","Other degree","1","","",""
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"5 on scale 1-7","2005","Saxony","lower secondary degree","33","0.0777547107569165","0.0514463897207953","0.104063031793038"
"5 on scale 1-7","2005","Saxony","secondary school degree","43","0.0595683379195921","0.0422196580743584","0.0769170177648259"
"5 on scale 1-7","2005","Saxony","college entrance qualification","18","","",""
"5 on scale 1-7","2005","Saxony","Other degree","","","",""
"5 on scale 1-7","2005","Saxony","no degree/no degree yet","3","","",""
"5 on scale 1-7","2005","Saxony-Anhalt","lower secondary degree","29","","",""
"5 on scale 1-7","2005","Saxony-Anhalt","secondary school degree","19","","",""
