"plh0206i01","year","age_gr","n","percent","lower_confidence","upper_confidence"
"4 on scale 1-7","2006","66 and older","","","",""
"5 on scale 1-7","2006","16-34 y.","","","",""
"5 on scale 1-7","2006","35-65 y.","","","",""
"5 on scale 1-7","2006","66 and older","","","",""
"6 on scale 1-7","2006","16-34 y.","","","",""
"6 on scale 1-7","2006","35-65 y.","","","",""
"6 on scale 1-7","2006","66 and older","","","",""
"7 Strongly agree","2006","16-34 y.","","","",""
"7 Strongly agree","2006","35-65 y.","","","",""
"7 Strongly agree","2006","66 and older","","","",""
"1 Strongly disagree","2007","16-34 y.","","","",""
"1 Strongly disagree","2007","35-65 y.","","","",""
"1 Strongly disagree","2007","66 and older","","","",""
"2 on scale 1-7 ","2007","16-34 y.","","","",""
"2 on scale 1-7 ","2007","35-65 y.","","","",""
"2 on scale 1-7 ","2007","66 and older","","","",""
"3 on scale 1-7 ","2007","16-34 y.","","","",""
"3 on scale 1-7 ","2007","35-65 y.","","","",""
"3 on scale 1-7 ","2007","66 and older","","","",""
"4 on scale 1-7","2007","16-34 y.","","","",""
"4 on scale 1-7","2007","35-65 y.","","","",""
"4 on scale 1-7","2007","66 and older","","","",""
"5 on scale 1-7","2007","16-34 y.","","","",""
"5 on scale 1-7","2007","35-65 y.","","","",""
"5 on scale 1-7","2007","66 and older","","","",""
"6 on scale 1-7","2007","16-34 y.","","","",""
"6 on scale 1-7","2007","35-65 y.","","","",""
"6 on scale 1-7","2007","66 and older","","","",""
"7 Strongly agree","2007","16-34 y.","","","",""
"7 Strongly agree","2007","35-65 y.","","","",""
"7 Strongly agree","2007","66 and older","","","",""
"1 Strongly disagree","2008","16-34 y.","","","",""
"1 Strongly disagree","2008","35-65 y.","","","",""
"1 Strongly disagree","2008","66 and older","","","",""
"2 on scale 1-7 ","2008","16-34 y.","","","",""
"2 on scale 1-7 ","2008","35-65 y.","","","",""
"2 on scale 1-7 ","2008","66 and older","","","",""
"3 on scale 1-7 ","2008","16-34 y.","","","",""
"3 on scale 1-7 ","2008","35-65 y.","","","",""
"3 on scale 1-7 ","2008","66 and older","","","",""
"4 on scale 1-7","2008","16-34 y.","","","",""
"4 on scale 1-7","2008","35-65 y.","","","",""
"4 on scale 1-7","2008","66 and older","","","",""
"5 on scale 1-7","2008","16-34 y.","","","",""
"5 on scale 1-7","2008","35-65 y.","","","",""
"5 on scale 1-7","2008","66 and older","","","",""
"6 on scale 1-7","2008","16-34 y.","","","",""
"6 on scale 1-7","2008","35-65 y.","","","",""
"6 on scale 1-7","2008","66 and older","","","",""
"7 Strongly agree","2008","16-34 y.","","","",""
"7 Strongly agree","2008","35-65 y.","","","",""
"7 Strongly agree","2008","66 and older","","","",""
"1 Strongly disagree","2009","16-34 y.","","","",""
"1 Strongly disagree","2009","35-65 y.","","","",""
"1 Strongly disagree","2009","66 and older","","","",""
"2 on scale 1-7 ","2009","16-34 y.","","","",""
"2 on scale 1-7 ","2009","35-65 y.","","","",""
"2 on scale 1-7 ","2009","66 and older","","","",""
"3 on scale 1-7 ","2009","16-34 y.","","","",""
"3 on scale 1-7 ","2009","35-65 y.","","","",""
"3 on scale 1-7 ","2009","66 and older","","","",""
"4 on scale 1-7","2009","16-34 y.","","","",""
"4 on scale 1-7","2009","35-65 y.","","","",""
"4 on scale 1-7","2009","66 and older","","","",""
"5 on scale 1-7","2009","16-34 y.","","","",""
"5 on scale 1-7","2009","35-65 y.","","","",""
"5 on scale 1-7","2009","66 and older","","","",""
"6 on scale 1-7","2009","16-34 y.","","","",""
"6 on scale 1-7","2009","35-65 y.","","","",""
"6 on scale 1-7","2009","66 and older","","","",""
"7 Strongly agree","2009","16-34 y.","","","",""
"7 Strongly agree","2009","35-65 y.","","","",""
"7 Strongly agree","2009","66 and older","","","",""
"1 Strongly disagree","2010","16-34 y.","","","",""
"1 Strongly disagree","2010","35-65 y.","","","",""
"1 Strongly disagree","2010","66 and older","","","",""
"2 on scale 1-7 ","2010","16-34 y.","","","",""
"2 on scale 1-7 ","2010","35-65 y.","","","",""
"2 on scale 1-7 ","2010","66 and older","","","",""
"3 on scale 1-7 ","2010","16-34 y.","","","",""
"3 on scale 1-7 ","2010","35-65 y.","60","0.00805429932191016","0.0062144844906753","0.00989411415314502"
"3 on scale 1-7 ","2010","66 and older","","","",""
"4 on scale 1-7","2010","16-34 y.","98","0.028763037539984","0.0232910630307609","0.0342350120492071"
"4 on scale 1-7","2010","35-65 y.","235","0.0287805124221909","0.0253391989223663","0.0322218259220154"
"4 on scale 1-7","2010","66 and older","130","0.0301341420948865","0.0248625395379904","0.0354057446517826"
"5 on scale 1-7","2010","16-34 y.","331","0.0940273016543746","0.0844719069256249","0.103582696383124"
"5 on scale 1-7","2010","35-65 y.","802","0.0864068299234478","0.0806236495042088","0.0921900103426868"
"5 on scale 1-7","2010","66 and older","401","0.101730913395117","0.092409385418337","0.111052441371897"
"6 on scale 1-7","2010","16-34 y.","1048","0.305945985035003","0.29085967234094","0.321032297729065"
"6 on scale 1-7","2010","35-65 y.","2483","0.259063751241526","0.250045755431442","0.268081747051609"
"6 on scale 1-7","2010","66 and older","1035","0.244860848238555","0.231601243531428","0.258120452945681"
"7 Strongly agree","2010","16-34 y.","2067","0.559547928196975","0.543294983218555","0.575800873175396"
"7 Strongly agree","2010","35-65 y.","5438","0.610758901962706","0.600722904785615","0.620794899139796"
"7 Strongly agree","2010","66 and older","2421","0.610818636345244","0.595784116393605","0.625853156296884"
"1 Strongly disagree","2011","16-34 y.","","","",""
"1 Strongly disagree","2011","35-65 y.","","","",""
"1 Strongly disagree","2011","66 and older","","","",""
"2 on scale 1-7 ","2011","16-34 y.","","","",""
"2 on scale 1-7 ","2011","35-65 y.","","","",""
"2 on scale 1-7 ","2011","66 and older","","","",""
"3 on scale 1-7 ","2011","16-34 y.","","","",""
"3 on scale 1-7 ","2011","35-65 y.","","","",""
"3 on scale 1-7 ","2011","66 and older","","","",""
"4 on scale 1-7","2011","16-34 y.","","","",""
"4 on scale 1-7","2011","35-65 y.","","","",""
"4 on scale 1-7","2011","66 and older","","","",""
"5 on scale 1-7","2011","16-34 y.","","","",""
"5 on scale 1-7","2011","35-65 y.","","","",""
"5 on scale 1-7","2011","66 and older","","","",""
"6 on scale 1-7","2011","16-34 y.","","","",""
"6 on scale 1-7","2011","35-65 y.","","","",""
"6 on scale 1-7","2011","66 and older","","","",""
"7 Strongly agree","2011","16-34 y.","","","",""
"7 Strongly agree","2011","35-65 y.","","","",""
"7 Strongly agree","2011","66 and older","","","",""
"1 Strongly disagree","2012","16-34 y.","","","",""
"1 Strongly disagree","2012","35-65 y.","","","",""
"1 Strongly disagree","2012","66 and older","","","",""
"2 on scale 1-7 ","2012","16-34 y.","","","",""
"2 on scale 1-7 ","2012","35-65 y.","","","",""
"2 on scale 1-7 ","2012","66 and older","","","",""
"3 on scale 1-7 ","2012","16-34 y.","","","",""
"3 on scale 1-7 ","2012","35-65 y.","","","",""
"3 on scale 1-7 ","2012","66 and older","","","",""
"4 on scale 1-7","2012","16-34 y.","","","",""
"4 on scale 1-7","2012","35-65 y.","","","",""
"4 on scale 1-7","2012","66 and older","","","",""
"5 on scale 1-7","2012","16-34 y.","","","",""
"5 on scale 1-7","2012","35-65 y.","","","",""
"5 on scale 1-7","2012","66 and older","","","",""
"6 on scale 1-7","2012","16-34 y.","","","",""
"6 on scale 1-7","2012","35-65 y.","","","",""
"6 on scale 1-7","2012","66 and older","","","",""
"7 Strongly agree","2012","16-34 y.","","","",""
"7 Strongly agree","2012","35-65 y.","","","",""
"7 Strongly agree","2012","66 and older","","","",""
"1 Strongly disagree","2013","16-34 y.","","","",""
"1 Strongly disagree","2013","35-65 y.","","","",""
"1 Strongly disagree","2013","66 and older","","","",""
"2 on scale 1-7 ","2013","16-34 y.","","","",""
"2 on scale 1-7 ","2013","35-65 y.","","","",""
"2 on scale 1-7 ","2013","66 and older","","","",""
"3 on scale 1-7 ","2013","16-34 y.","","","",""
"3 on scale 1-7 ","2013","35-65 y.","","","",""
"3 on scale 1-7 ","2013","66 and older","","","",""
"4 on scale 1-7","2013","16-34 y.","","","",""
"4 on scale 1-7","2013","35-65 y.","","","",""
"4 on scale 1-7","2013","66 and older","","","",""
"5 on scale 1-7","2013","16-34 y.","","","",""
"5 on scale 1-7","2013","35-65 y.","","","",""
"5 on scale 1-7","2013","66 and older","","","",""
"6 on scale 1-7","2013","16-34 y.","","","",""
"6 on scale 1-7","2013","35-65 y.","","","",""
"6 on scale 1-7","2013","66 and older","","","",""
"7 Strongly agree","2013","16-34 y.","","","",""
"7 Strongly agree","2013","35-65 y.","","","",""
"7 Strongly agree","2013","66 and older","","","",""
"1 Strongly disagree","2014","16-34 y.","","","",""
"1 Strongly disagree","2014","35-65 y.","","","",""
"1 Strongly disagree","2014","66 and older","","","",""
"2 on scale 1-7 ","2014","16-34 y.","","","",""
"2 on scale 1-7 ","2014","35-65 y.","","","",""
"2 on scale 1-7 ","2014","66 and older","","","",""
"3 on scale 1-7 ","2014","16-34 y.","","","",""
"3 on scale 1-7 ","2014","35-65 y.","","","",""
"3 on scale 1-7 ","2014","66 and older","","","",""
"4 on scale 1-7","2014","16-34 y.","","","",""
"4 on scale 1-7","2014","35-65 y.","","","",""
"4 on scale 1-7","2014","66 and older","","","",""
"5 on scale 1-7","2014","16-34 y.","","","",""
"5 on scale 1-7","2014","35-65 y.","","","",""
"5 on scale 1-7","2014","66 and older","","","",""
"6 on scale 1-7","2014","16-34 y.","","","",""
"6 on scale 1-7","2014","35-65 y.","","","",""
"6 on scale 1-7","2014","66 and older","","","",""
"7 Strongly agree","2014","16-34 y.","","","",""
"7 Strongly agree","2014","35-65 y.","","","",""
"7 Strongly agree","2014","66 and older","","","",""
"1 Strongly disagree","2015","16-34 y.","","","",""
"1 Strongly disagree","2015","35-65 y.","56","0.00383527472321748","0.00285138146262175","0.00481916798381321"
"1 Strongly disagree","2015","66 and older","","","",""
"2 on scale 1-7 ","2015","16-34 y.","","","",""
"2 on scale 1-7 ","2015","35-65 y.","84","0.00537280303180786","0.00420917334622243","0.00653643271739329"
"2 on scale 1-7 ","2015","66 and older","","","",""
"3 on scale 1-7 ","2015","16-34 y.","43","0.00430437332290595","0.00273126874587862","0.00587747789993328"
"3 on scale 1-7 ","2015","35-65 y.","137","0.00852459784988769","0.00706120108940394","0.00998799461037145"
"3 on scale 1-7 ","2015","66 and older","32","0.00829018262971424","0.00576400596321035","0.0108163592962181"
"4 on scale 1-7","2015","16-34 y.","203","0.0272509894616141","0.0233387010246135","0.0311632778986147"
"4 on scale 1-7","2015","35-65 y.","453","0.0261776597919657","0.0236361637161983","0.0287191558677331"
"4 on scale 1-7","2015","66 and older","155","0.0302220721029206","0.0254524098125356","0.0349917343933056"
"5 on scale 1-7","2015","16-34 y.","492","0.0830879663380787","0.0764555431316946","0.0897203895444628"
"5 on scale 1-7","2015","35-65 y.","1199","0.0807173061434707","0.076381278533247","0.0850533337536943"
"5 on scale 1-7","2015","66 and older","474","0.0929046314855733","0.0848167547935296","0.100992508177617"
"6 on scale 1-7","2015","16-34 y.","1716","0.272724874787596","0.262023216692035","0.283426532883158"
"6 on scale 1-7","2015","35-65 y.","4117","0.283322141709225","0.276149379741118","0.290494903677332"
"6 on scale 1-7","2015","66 and older","1442","0.276258921656521","0.263801185409606","0.288716657903436"
"7 Strongly agree","2015","16-34 y.","4153","0.604400171376442","0.592650393242287","0.616149949510597"
"7 Strongly agree","2015","35-65 y.","9115","0.592050216750425","0.584227334510616","0.599873098990235"
"7 Strongly agree","2015","66 and older","2809","0.584541304008107","0.570811608903303","0.598270999112911"
"1 Strongly disagree","2016","16-34 y.","","","",""
"1 Strongly disagree","2016","35-65 y.","","","",""
"1 Strongly disagree","2016","66 and older","","","",""
"2 on scale 1-7 ","2016","16-34 y.","","","",""
"2 on scale 1-7 ","2016","35-65 y.","","","",""
"2 on scale 1-7 ","2016","66 and older","","","",""
"3 on scale 1-7 ","2016","16-34 y.","","","",""
"3 on scale 1-7 ","2016","35-65 y.","","","",""
"3 on scale 1-7 ","2016","66 and older","","","",""
"4 on scale 1-7","2016","16-34 y.","37","0.0366667960725598","0.0293259693207106","0.044007622824409"
"4 on scale 1-7","2016","35-65 y.","","","",""
"4 on scale 1-7","2016","66 and older","","","",""
"5 on scale 1-7","2016","16-34 y.","62","0.0556425885508323","0.0466891040226028","0.0645960730790619"
"5 on scale 1-7","2016","35-65 y.","34","0.0446334477458956","0.0352313315233346","0.0540355639684566"
"5 on scale 1-7","2016","66 and older","","","",""
"6 on scale 1-7","2016","16-34 y.","147","0.113372987972593","0.100989428229414","0.125756547715772"
"6 on scale 1-7","2016","35-65 y.","76","0.144902242865443","0.12887511067805","0.160929375052836"
"6 on scale 1-7","2016","66 and older","","","",""
"7 Strongly agree","2016","16-34 y.","2230","0.763049553705088","0.746441246669569","0.779657860740608"
"7 Strongly agree","2016","35-65 y.","1706","0.786585279740923","0.767930270243322","0.805240289238523"
"7 Strongly agree","2016","66 and older","","","",""
"1 Strongly disagree","2017","16-34 y.","","","",""
"1 Strongly disagree","2017","35-65 y.","","","",""
"1 Strongly disagree","2017","66 and older","","","",""
"2 on scale 1-7 ","2017","16-34 y.","","","",""
"2 on scale 1-7 ","2017","35-65 y.","","","",""
"2 on scale 1-7 ","2017","66 and older","","","",""
"3 on scale 1-7 ","2017","16-34 y.","","","",""
"3 on scale 1-7 ","2017","35-65 y.","","","",""
"3 on scale 1-7 ","2017","66 and older","","","",""
"4 on scale 1-7","2017","16-34 y.","","","",""
"4 on scale 1-7","2017","35-65 y.","","","",""
"4 on scale 1-7","2017","66 and older","","","",""
"5 on scale 1-7","2017","16-34 y.","47","0.0304418953562145","0.0226531733165494","0.0382306173958796"
"5 on scale 1-7","2017","35-65 y.","","","",""
"5 on scale 1-7","2017","66 and older","","","",""
"6 on scale 1-7","2017","16-34 y.","149","0.0771112427348381","0.0650170476639483","0.0892054378057279"
"6 on scale 1-7","2017","35-65 y.","73","0.0910812364253073","0.0729931780126789","0.109169294837936"
"6 on scale 1-7","2017","66 and older","","","",""
"7 Strongly agree","2017","16-34 y.","1645","0.87451280699885","0.859494318382359","0.889531295615341"
"7 Strongly agree","2017","35-65 y.","865","0.871831048073983","0.850816379712004","0.892845716435961"
"7 Strongly agree","2017","66 and older","32","0.920904888059935","0.833942903829778","1.00786687229009"
"1 Strongly disagree","2018","16-34 y.","","","",""
"1 Strongly disagree","2018","35-65 y.","","","",""
"1 Strongly disagree","2018","66 and older","","","",""
"2 on scale 1-7 ","2018","16-34 y.","","","",""
"2 on scale 1-7 ","2018","35-65 y.","","","",""
"2 on scale 1-7 ","2018","66 and older","","","",""
"3 on scale 1-7 ","2018","16-34 y.","","","",""
"3 on scale 1-7 ","2018","35-65 y.","","","",""
"3 on scale 1-7 ","2018","66 and older","","","",""
"4 on scale 1-7","2018","16-34 y.","","","",""
"4 on scale 1-7","2018","35-65 y.","","","",""
"4 on scale 1-7","2018","66 and older","","","",""
"5 on scale 1-7","2018","16-34 y.","","","",""
"5 on scale 1-7","2018","35-65 y.","","","",""
"5 on scale 1-7","2018","66 and older","","","",""
"6 on scale 1-7","2018","16-34 y.","","","",""
"6 on scale 1-7","2018","35-65 y.","","","",""
"6 on scale 1-7","2018","66 and older","","","",""
"7 Strongly agree","2018","16-34 y.","226","0.900177841825328","0.863457582030461","0.936898101620194"
"7 Strongly agree","2018","35-65 y.","137","0.836399989410108","0.779612461683824","0.893187517136393"
"7 Strongly agree","2018","66 and older","","","",""
"1 Strongly disagree","2019","16-34 y.","","","",""
"1 Strongly disagree","2019","35-65 y.","","","",""
"1 Strongly disagree","2019","66 and older","","","",""
"2 on scale 1-7 ","2019","16-34 y.","","","",""
"2 on scale 1-7 ","2019","35-65 y.","","","",""
"2 on scale 1-7 ","2019","66 and older","","","",""
"3 on scale 1-7 ","2019","16-34 y.","","","",""
"3 on scale 1-7 ","2019","35-65 y.","","","",""
"3 on scale 1-7 ","2019","66 and older","","","",""
"4 on scale 1-7","2019","16-34 y.","","","",""
"4 on scale 1-7","2019","35-65 y.","","","",""
"4 on scale 1-7","2019","66 and older","","","",""
"5 on scale 1-7","2019","16-34 y.","","","",""
"5 on scale 1-7","2019","35-65 y.","","","",""
"5 on scale 1-7","2019","66 and older","","","",""
"6 on scale 1-7","2019","16-34 y.","","","",""
"6 on scale 1-7","2019","35-65 y.","","","",""
"6 on scale 1-7","2019","66 and older","","","",""
"7 Strongly agree","2019","16-34 y.","124","0.879855092717792","0.827296021391032","0.932414164044552"
"7 Strongly agree","2019","35-65 y.","100","0.825367423226763","0.759077256495389","0.891657589958137"
"7 Strongly agree","2019","66 and older","","","",""
