"plh0206i01","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"6 on scale 1-7","2005","1-pers.-HH","higher education","143","0.227653338091312","0.192954909369911","0.262351766812713","6"
"6 on scale 1-7","2005","(Married) couple without C. ","in school","1","","","","6"
"6 on scale 1-7","2005","(Married) couple without C. ","inadequately","13","","","","6"
"6 on scale 1-7","2005","(Married) couple without C. ","general elemantary","158","0.226924332482237","0.195762722248979","0.258085942715494","6"
"6 on scale 1-7","2005","(Married) couple without C. ","middle vocational","871","0.225727114168509","0.212192371854686","0.239261856482332","6"
"6 on scale 1-7","2005","(Married) couple without C. ","vocational + Abi","85","0.245693250486795","0.200720715411777","0.290665785561813","6"
"6 on scale 1-7","2005","(Married) couple without C. ","higher vocational","140","0.221047045751852","0.186740427879256","0.255353663624448","6"
"6 on scale 1-7","2005","Single parent ","in school","33","0.425619557995437","0.329666545304583","0.521572570686291","6"
"6 on scale 1-7","2005","Single parent ","inadequately","6","","","","6"
"6 on scale 1-7","2005","Single parent ","general elemantary","37","0.179197449506752","0.126825379284459","0.231569519729046","6"
"6 on scale 1-7","2005","Single parent ","middle vocational","126","0.224785316579788","0.189313188869243","0.260257444290333","6"
"6 on scale 1-7","2005","Single parent ","vocational + Abi","11","","","","6"
"6 on scale 1-7","2005","Single parent ","higher vocational","14","","","","6"
"6 on scale 1-7","2005","Single parent ","higher education","33","0.230661832176997","0.154654831436134","0.30666883291786","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","in school","","","","","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","inadequately","5","","","","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","general elemantary","72","0.202877970805405","0.155348651341216","0.250407290269595","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","middle vocational","442","0.235267598383708","0.215891916201068","0.254643280566348","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","vocational + Abi","87","0.267741231519392","0.218766373485844","0.316716089552941","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","higher education","256","0.28844973498556","0.257647272051506","0.319252197919615","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","in school","79","0.258811253312572","0.206276288377694","0.31134621824745","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","inadequately","8","","","","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","general elemantary","102","0.207022860736063","0.168726866454257","0.245318855017869","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","middle vocational","471","0.259779202969414","0.239361867544546","0.280196538394282","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","vocational + Abi","46","0.285051527774179","0.21778111428039","0.352321941267967","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","vocational + Abi","13","","","","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","higher vocational","34","0.333368258287548","0.242327766285541","0.424408750289554","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","higher education","71","0.197164399952777","0.151294612115098","0.243034187790457","6"
"7 Strongly agree","2005","Couple + C. LE and GT 16","in school","142","0.619399942361184","0.559571480782094","0.679228403940275","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","higher vocational","134","0.734827253346044","0.674981681794697","0.79467282489739","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","higher vocational","267","0.645207457984125","0.598895505274249","0.691519410694","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","inadequately","27","","","","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","general elemantary","253","0.619326379270092","0.573432999300936","0.665219759239248","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","middle vocational","1103","0.621820937489969","0.599242304551157","0.64439957042878","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","vocational + Abi","104","0.513697349567357","0.439218661118708","0.588176038016006","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","higher education","384","0.588511782670005","0.550054459528808","0.626969105811202","7"
"7 Strongly agree","2005","Couple + C. LE and GT 16","inadequately","18","","","","7"
"7 Strongly agree","2005","Couple + C. LE and GT 16","middle vocational","405","0.602979477353387","0.565651550783417","0.640307403923356","7"
"7 Strongly agree","2005","Couple + C. LE and GT 16","vocational + Abi","40","0.789793752396435","0.684016977832547","0.895570526960323","7"
"7 Strongly agree","2005","Couple + C. LE and GT 16","higher vocational","60","0.59153337391292","0.496604704429569","0.68646204339627","7"
"7 Strongly agree","2005","Couple + C. LE and GT 16","higher education","183","0.662998976471671","0.608502150509593","0.717495802433749","7"
"7 Strongly agree","2005","Couple + C. LE and GT 16","general elemantary","147","0.646259980019783","0.586389770461781","0.706130189577785","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","higher education","479","0.585550441631674","0.552056552674908","0.619044330588439","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","in school","142","0.518637256209894","0.458705010296771","0.578569502123016","7"
"7 Strongly agree","2005","(Married) couple without C. ","higher education","1010","0.622091455357672","0.598745733301662","0.645437177413682","7"
"7 Strongly agree","2005","Single parent ","in school","49","0.433791747166417","0.337613524902977","0.529969969429857","7"
"7 Strongly agree","2005","Single parent ","inadequately","10","","","","7"
"7 Strongly agree","2005","Single parent ","general elemantary","127","0.651098390958515","0.586012136759702","0.716184645157328","7"
"7 Strongly agree","2005","Single parent ","middle vocational","349","0.664309944125423","0.624182001875767","0.704437886375079","7"
"7 Strongly agree","2005","Single parent ","vocational + Abi","26","","","","7"
"7 Strongly agree","2005","Single parent ","higher vocational","33","0.598678409002408","0.465452258377081","0.731904559627735","7"
"7 Strongly agree","2005","Single parent ","higher education","80","0.722703864195257","0.641932171443521","0.803475556946992","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","in school","2","","","","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","inadequately","23","","","","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","general elemantary","164","0.617322648298871","0.559877384344142","0.6747679122536","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","middle vocational","1209","0.661599010470897","0.639985046041041","0.683212974900752","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","vocational + Abi","192","0.613136252623345","0.559267020897975","0.667005484348715","7"
"7 Strongly agree","2005","1-pers.-HH","in school","1","","","","7"
"7 Strongly agree","2005","1-pers.-HH","inadequately","20","","","","7"
"7 Strongly agree","2005","1-pers.-HH","general elemantary","271","0.634286295679224","0.588869185304672","0.679703406053775","7"
"7 Strongly agree","2005","1-pers.-HH","middle vocational","1055","0.682654528219592","0.659438331045094","0.705870725394091","7"
"7 Strongly agree","2005","1-pers.-HH","vocational + Abi","115","0.673616706043467","0.604539964492669","0.742693447594265","7"
"7 Strongly agree","2005","1-pers.-HH","higher vocational","125","0.599940091768224","0.531528225824278","0.66835195771217","7"
"7 Strongly agree","2005","1-pers.-HH","higher education","352","0.640598441990811","0.600893041843947","0.680303842137675","7"
"7 Strongly agree","2005","(Married) couple without C. ","in school","3","","","","7"
"7 Strongly agree","2005","(Married) couple without C. ","inadequately","39","0.627032750678219","0.505676085180974","0.748389416175464","7"
"7 Strongly agree","2005","(Married) couple without C. ","general elemantary","436","0.629680405440872","0.593753749783971","0.665607061097772","7"
"7 Strongly agree","2005","(Married) couple without C. ","middle vocational","2381","0.661746265091778","0.64642910853635","0.677063421647207","7"
"7 Strongly agree","2005","(Married) couple without C. ","vocational + Abi","222","0.625131715606066","0.574560676759832","0.6757027544523","7"
"7 Strongly agree","2005","(Married) couple without C. ","higher vocational","370","0.695607980319699","0.657564622485284","0.733651338154115","7"
"1 Strongly disagree","2006","Single parent ","general elemantary","","","","","1"
"1 Strongly disagree","2006","Single parent ","middle vocational","","","","","1"
"1 Strongly disagree","2006","Single parent ","vocational + Abi","","","","","1"
"1 Strongly disagree","2006","Single parent ","higher vocational","","","","","1"
"1 Strongly disagree","2006","Single parent ","higher education","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","in school","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","inadequately","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","general elemantary","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","middle vocational","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","higher vocational","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","higher education","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","in school","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","inadequately","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","general elemantary","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","in school","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","inadequately","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","general elemantary","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","middle vocational","","","","","1"
