"plh0206i01","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"4 on scale 1-7","2005","higher education","Rural Area","25","","",""
"5 on scale 1-7","2005","in school","Urban Area","66","0.166203891280581","0.131732436683008","0.200675345878154"
"5 on scale 1-7","2005","in school","Rural Area","26","","",""
"5 on scale 1-7","2005","inadequately","Urban Area","13","","",""
"5 on scale 1-7","2005","inadequately","Rural Area","9","","",""
"5 on scale 1-7","2005","general elemantary","Urban Area","147","0.0871700809160522","0.0735302820270904","0.100809879805014"
"5 on scale 1-7","2005","general elemantary","Rural Area","84","0.0961610485209104","0.0752562236513539","0.117065873390467"
"5 on scale 1-7","2005","middle vocational","Urban Area","503","0.0822946282771824","0.0756439390226639","0.0889453175317009"
"5 on scale 1-7","2005","middle vocational","Rural Area","280","0.0668587890389745","0.0588246645934763","0.0748929134844727"
"5 on scale 1-7","2005","vocational + Abi","Urban Area","68","0.0870281566356183","0.06829775677083","0.105758556500407"
"5 on scale 1-7","2005","vocational + Abi","Rural Area","23","","",""
"5 on scale 1-7","2005","higher vocational","Urban Area","62","0.0594411515090703","0.0447935118985536","0.074088791119587"
"5 on scale 1-7","2005","higher vocational","Rural Area","36","0.0735445133909711","0.0518865103799655","0.0952025164019766"
"5 on scale 1-7","2005","higher education","Urban Area","241","0.0914507033761601","0.0810788327446042","0.101822574007716"
"5 on scale 1-7","2005","higher education","Rural Area","84","0.0820913104241972","0.0665600821540836","0.0976225386943108"
"6 on scale 1-7","2005","in school","Urban Area","120","0.262087156360837","0.221364651094427","0.302809661627246"
"6 on scale 1-7","2005","in school","Rural Area","54","0.230783857815009","0.17224443151458","0.289323284115439"
"6 on scale 1-7","2005","inadequately","Urban Area","35","0.216920792732687","0.156711257314997","0.277130328150377"
"6 on scale 1-7","2005","inadequately","Rural Area","7","","",""
"6 on scale 1-7","2005","general elemantary","Urban Area","381","0.218515877539143","0.198534248682324","0.238497506395962"
"6 on scale 1-7","2005","general elemantary","Rural Area","178","0.199328384557509","0.171000561465264","0.227656207649755"
"6 on scale 1-7","2005","middle vocational","Urban Area","1557","0.225245713200241","0.215135983673895","0.235355442726587"
"6 on scale 1-7","2005","middle vocational","Rural Area","906","0.232691916255887","0.219100611482522","0.246283221029252"
"6 on scale 1-7","2005","vocational + Abi","Urban Area","216","0.23818361847955","0.209878201133432","0.266489035825668"
"6 on scale 1-7","2005","vocational + Abi","Rural Area","70","0.247117979959254","0.195087029055376","0.299148930863132"
"6 on scale 1-7","2005","higher vocational","Urban Area","246","0.250046991911127","0.223220808153312","0.276873175668941"
"6 on scale 1-7","2005","higher vocational","Rural Area","153","0.252881014861989","0.216816176452025","0.288945853271954"
"6 on scale 1-7","2005","higher education","Urban Area","844","0.265061329085118","0.24917995581649","0.280942702353746"
"6 on scale 1-7","2005","higher education","Rural Area","326","0.225061996919226","0.20143317704585","0.248690816792603"
"7 Strongly agree","2005","in school","Urban Area","239","0.522832487018483","0.476580989301471","0.569083984735494"
"7 Strongly agree","2005","in school","Rural Area","107","0.585316990812113","0.516866709219322","0.653767272404903"
"7 Strongly agree","2005","inadequately","Urban Area","113","0.635717082738947","0.565415810858979","0.706018354618916"
"7 Strongly agree","2005","inadequately","Rural Area","36","0.660155222080465","0.536099326163802","0.784211117997127"
"7 Strongly agree","2005","general elemantary","Urban Area","1011","0.625270592781729","0.601864862330907","0.648676323232552"
"7 Strongly agree","2005","general elemantary","Rural Area","454","0.634367769909251","0.60021749513975","0.668518044678753"
"7 Strongly agree","2005","middle vocational","Urban Area","4265","0.653059638899319","0.641540152652617","0.664579125146021"
"7 Strongly agree","2005","middle vocational","Rural Area","2394","0.667852019354049","0.652702754920804","0.683001283787294"
"7 Strongly agree","2005","vocational + Abi","Urban Area","548","0.62883030779511","0.59672761589575","0.660932999694469"
"7 Strongly agree","2005","vocational + Abi","Rural Area","167","0.638894402657685","0.580954497578198","0.696834307737172"
"7 Strongly agree","2005","higher vocational","Urban Area","659","0.661419425596988","0.632103707022094","0.690735144171882"
"7 Strongly agree","2005","higher vocational","Rural Area","349","0.649397975618497","0.609807231320827","0.688988719916167"
"7 Strongly agree","2005","higher education","Urban Area","1793","0.609475012387441","0.591920382238245","0.627029642536637"
"7 Strongly agree","2005","higher education","Rural Area","749","0.663087018743529","0.636344543450622","0.689829494036436"
"1 Strongly disagree","2006","in school","Urban Area","","","",""
"1 Strongly disagree","2006","in school","Rural Area","","","",""
"1 Strongly disagree","2006","inadequately","Urban Area","","","",""
"1 Strongly disagree","2006","inadequately","Rural Area","","","",""
"1 Strongly disagree","2006","general elemantary","Urban Area","","","",""
"1 Strongly disagree","2006","general elemantary","Rural Area","","","",""
"1 Strongly disagree","2006","middle vocational","Urban Area","","","",""
"1 Strongly disagree","2006","middle vocational","Rural Area","","","",""
"1 Strongly disagree","2006","vocational + Abi","Urban Area","","","",""
"1 Strongly disagree","2006","vocational + Abi","Rural Area","","","",""
"1 Strongly disagree","2006","higher vocational","Urban Area","","","",""
"1 Strongly disagree","2006","higher vocational","Rural Area","","","",""
"1 Strongly disagree","2006","higher education","Urban Area","","","",""
"1 Strongly disagree","2006","higher education","Rural Area","","","",""
"2 on scale 1-7 ","2006","in school","Urban Area","","","",""
"2 on scale 1-7 ","2006","in school","Rural Area","","","",""
"2 on scale 1-7 ","2006","inadequately","Urban Area","","","",""
"2 on scale 1-7 ","2006","inadequately","Rural Area","","","",""
"2 on scale 1-7 ","2006","general elemantary","Urban Area","","","",""
"2 on scale 1-7 ","2006","general elemantary","Rural Area","","","",""
"2 on scale 1-7 ","2006","middle vocational","Urban Area","","","",""
"2 on scale 1-7 ","2006","middle vocational","Rural Area","","","",""
"2 on scale 1-7 ","2006","vocational + Abi","Urban Area","","","",""
"2 on scale 1-7 ","2006","vocational + Abi","Rural Area","","","",""
"2 on scale 1-7 ","2006","higher vocational","Urban Area","","","",""
"2 on scale 1-7 ","2006","higher vocational","Rural Area","","","",""
"2 on scale 1-7 ","2006","higher education","Urban Area","","","",""
"2 on scale 1-7 ","2006","higher education","Rural Area","","","",""
"3 on scale 1-7 ","2006","in school","Urban Area","","","",""
"3 on scale 1-7 ","2006","in school","Rural Area","","","",""
"3 on scale 1-7 ","2006","inadequately","Urban Area","","","",""
"3 on scale 1-7 ","2006","inadequately","Rural Area","","","",""
"3 on scale 1-7 ","2006","general elemantary","Urban Area","","","",""
"3 on scale 1-7 ","2006","general elemantary","Rural Area","","","",""
"3 on scale 1-7 ","2006","middle vocational","Urban Area","","","",""
"3 on scale 1-7 ","2006","middle vocational","Rural Area","","","",""
"3 on scale 1-7 ","2006","vocational + Abi","Urban Area","","","",""
"3 on scale 1-7 ","2006","vocational + Abi","Rural Area","","","",""
"3 on scale 1-7 ","2006","higher vocational","Urban Area","","","",""
"3 on scale 1-7 ","2006","higher vocational","Rural Area","","","",""
"3 on scale 1-7 ","2006","higher education","Urban Area","","","",""
"3 on scale 1-7 ","2006","higher education","Rural Area","","","",""
"4 on scale 1-7","2006","in school","Urban Area","","","",""
"4 on scale 1-7","2006","in school","Rural Area","","","",""
"4 on scale 1-7","2006","inadequately","Urban Area","","","",""
"4 on scale 1-7","2006","inadequately","Rural Area","","","",""
"4 on scale 1-7","2006","general elemantary","Urban Area","","","",""
"4 on scale 1-7","2006","general elemantary","Rural Area","","","",""
"4 on scale 1-7","2006","middle vocational","Urban Area","","","",""
"4 on scale 1-7","2006","middle vocational","Rural Area","","","",""
"4 on scale 1-7","2006","vocational + Abi","Urban Area","","","",""
"4 on scale 1-7","2006","vocational + Abi","Rural Area","","","",""
"4 on scale 1-7","2006","higher vocational","Urban Area","","","",""
"4 on scale 1-7","2006","higher vocational","Rural Area","","","",""
"4 on scale 1-7","2006","higher education","Urban Area","","","",""
"4 on scale 1-7","2006","higher education","Rural Area","","","",""
"5 on scale 1-7","2006","in school","Urban Area","","","",""
"5 on scale 1-7","2006","in school","Rural Area","","","",""
"5 on scale 1-7","2006","inadequately","Urban Area","","","",""
"5 on scale 1-7","2006","inadequately","Rural Area","","","",""
"5 on scale 1-7","2006","general elemantary","Urban Area","","","",""
"5 on scale 1-7","2006","general elemantary","Rural Area","","","",""
"5 on scale 1-7","2006","middle vocational","Urban Area","","","",""
"5 on scale 1-7","2006","middle vocational","Rural Area","","","",""
"5 on scale 1-7","2006","vocational + Abi","Urban Area","","","",""
"5 on scale 1-7","2006","vocational + Abi","Rural Area","","","",""
"5 on scale 1-7","2006","higher vocational","Urban Area","","","",""
"5 on scale 1-7","2006","higher vocational","Rural Area","","","",""
"5 on scale 1-7","2006","higher education","Urban Area","","","",""
"5 on scale 1-7","2006","higher education","Rural Area","","","",""
"6 on scale 1-7","2006","in school","Urban Area","","","",""
"6 on scale 1-7","2006","in school","Rural Area","","","",""
"6 on scale 1-7","2006","inadequately","Urban Area","","","",""
"6 on scale 1-7","2006","inadequately","Rural Area","","","",""
"6 on scale 1-7","2006","general elemantary","Urban Area","","","",""
"6 on scale 1-7","2006","general elemantary","Rural Area","","","",""
"6 on scale 1-7","2006","middle vocational","Urban Area","","","",""
"6 on scale 1-7","2006","middle vocational","Rural Area","","","",""
"6 on scale 1-7","2006","vocational + Abi","Urban Area","","","",""
"6 on scale 1-7","2006","vocational + Abi","Rural Area","","","",""
"6 on scale 1-7","2006","higher vocational","Urban Area","","","",""
"6 on scale 1-7","2006","higher vocational","Rural Area","","","",""
"6 on scale 1-7","2006","higher education","Urban Area","","","",""
"6 on scale 1-7","2006","higher education","Rural Area","","","",""
"7 Strongly agree","2006","in school","Urban Area","","","",""
"7 Strongly agree","2006","in school","Rural Area","","","",""
"7 Strongly agree","2006","inadequately","Urban Area","","","",""
"7 Strongly agree","2006","inadequately","Rural Area","","","",""
"7 Strongly agree","2006","general elemantary","Urban Area","","","",""
"7 Strongly agree","2006","general elemantary","Rural Area","","","",""
"7 Strongly agree","2006","middle vocational","Urban Area","","","",""
"7 Strongly agree","2006","middle vocational","Rural Area","","","",""
"7 Strongly agree","2006","vocational + Abi","Urban Area","","","",""
"7 Strongly agree","2006","vocational + Abi","Rural Area","","","",""
"7 Strongly agree","2006","higher vocational","Urban Area","","","",""
"7 Strongly agree","2006","higher vocational","Rural Area","","","",""
"7 Strongly agree","2006","higher education","Urban Area","","","",""
"7 Strongly agree","2006","higher education","Rural Area","","","",""
"1 Strongly disagree","2007","in school","Urban Area","","","",""
"1 Strongly disagree","2007","in school","Rural Area","","","",""
"1 Strongly disagree","2007","inadequately","Urban Area","","","",""
"1 Strongly disagree","2007","inadequately","Rural Area","","","",""
"1 Strongly disagree","2007","general elemantary","Urban Area","","","",""
"1 Strongly disagree","2007","general elemantary","Rural Area","","","",""
"1 Strongly disagree","2007","middle vocational","Urban Area","","","",""
"1 Strongly disagree","2007","middle vocational","Rural Area","","","",""
"1 Strongly disagree","2007","vocational + Abi","Urban Area","","","",""
"1 Strongly disagree","2007","vocational + Abi","Rural Area","","","",""
"1 Strongly disagree","2007","higher vocational","Urban Area","","","",""
"1 Strongly disagree","2007","higher vocational","Rural Area","","","",""
"1 Strongly disagree","2007","higher education","Urban Area","","","",""
"1 Strongly disagree","2007","higher education","Rural Area","","","",""
"2 on scale 1-7 ","2007","in school","Urban Area","","","",""
"2 on scale 1-7 ","2007","in school","Rural Area","","","",""
"2 on scale 1-7 ","2007","inadequately","Urban Area","","","",""
"2 on scale 1-7 ","2007","inadequately","Rural Area","","","",""
"2 on scale 1-7 ","2007","general elemantary","Urban Area","","","",""
"2 on scale 1-7 ","2007","general elemantary","Rural Area","","","",""
"2 on scale 1-7 ","2007","middle vocational","Urban Area","","","",""
"2 on scale 1-7 ","2007","middle vocational","Rural Area","","","",""
"2 on scale 1-7 ","2007","vocational + Abi","Urban Area","","","",""
"2 on scale 1-7 ","2007","vocational + Abi","Rural Area","","","",""
"2 on scale 1-7 ","2007","higher vocational","Urban Area","","","",""
"2 on scale 1-7 ","2007","higher vocational","Rural Area","","","",""
"2 on scale 1-7 ","2007","higher education","Urban Area","","","",""
"2 on scale 1-7 ","2007","higher education","Rural Area","","","",""
"3 on scale 1-7 ","2007","in school","Urban Area","","","",""
"3 on scale 1-7 ","2007","in school","Rural Area","","","",""
"3 on scale 1-7 ","2007","inadequately","Urban Area","","","",""
"3 on scale 1-7 ","2007","inadequately","Rural Area","","","",""
"3 on scale 1-7 ","2007","general elemantary","Urban Area","","","",""
"3 on scale 1-7 ","2007","general elemantary","Rural Area","","","",""
"3 on scale 1-7 ","2007","middle vocational","Urban Area","","","",""
"3 on scale 1-7 ","2007","middle vocational","Rural Area","","","",""
"3 on scale 1-7 ","2007","vocational + Abi","Urban Area","","","",""
"3 on scale 1-7 ","2007","vocational + Abi","Rural Area","","","",""
"3 on scale 1-7 ","2007","higher vocational","Urban Area","","","",""
"3 on scale 1-7 ","2007","higher vocational","Rural Area","","","",""
"3 on scale 1-7 ","2007","higher education","Urban Area","","","",""
"3 on scale 1-7 ","2007","higher education","Rural Area","","","",""
"4 on scale 1-7","2007","in school","Urban Area","","","",""
"4 on scale 1-7","2007","in school","Rural Area","","","",""
"4 on scale 1-7","2007","inadequately","Urban Area","","","",""
"4 on scale 1-7","2007","inadequately","Rural Area","","","",""
"4 on scale 1-7","2007","general elemantary","Urban Area","","","",""
"4 on scale 1-7","2007","general elemantary","Rural Area","","","",""
"4 on scale 1-7","2007","middle vocational","Urban Area","","","",""
"4 on scale 1-7","2007","middle vocational","Rural Area","","","",""
"4 on scale 1-7","2007","vocational + Abi","Urban Area","","","",""
"4 on scale 1-7","2007","vocational + Abi","Rural Area","","","",""
"4 on scale 1-7","2007","higher vocational","Urban Area","","","",""
"4 on scale 1-7","2007","higher vocational","Rural Area","","","",""
"4 on scale 1-7","2007","higher education","Urban Area","","","",""
"4 on scale 1-7","2007","higher education","Rural Area","","","",""
"5 on scale 1-7","2007","in school","Urban Area","","","",""
"5 on scale 1-7","2007","in school","Rural Area","","","",""
"5 on scale 1-7","2007","inadequately","Urban Area","","","",""
"5 on scale 1-7","2007","inadequately","Rural Area","","","",""
"5 on scale 1-7","2007","general elemantary","Urban Area","","","",""
"5 on scale 1-7","2007","general elemantary","Rural Area","","","",""
"5 on scale 1-7","2007","middle vocational","Urban Area","","","",""
"5 on scale 1-7","2007","middle vocational","Rural Area","","","",""
"5 on scale 1-7","2007","vocational + Abi","Urban Area","","","",""
"5 on scale 1-7","2007","vocational + Abi","Rural Area","","","",""
"5 on scale 1-7","2007","higher vocational","Urban Area","","","",""
"5 on scale 1-7","2007","higher vocational","Rural Area","","","",""
"5 on scale 1-7","2007","higher education","Urban Area","","","",""
"5 on scale 1-7","2007","higher education","Rural Area","","","",""
"6 on scale 1-7","2007","in school","Urban Area","","","",""
"6 on scale 1-7","2007","in school","Rural Area","","","",""
"6 on scale 1-7","2007","inadequately","Urban Area","","","",""
"6 on scale 1-7","2007","inadequately","Rural Area","","","",""
"6 on scale 1-7","2007","general elemantary","Urban Area","","","",""
"6 on scale 1-7","2007","general elemantary","Rural Area","","","",""
"6 on scale 1-7","2007","middle vocational","Urban Area","","","",""
"6 on scale 1-7","2007","middle vocational","Rural Area","","","",""
"6 on scale 1-7","2007","vocational + Abi","Urban Area","","","",""
"6 on scale 1-7","2007","vocational + Abi","Rural Area","","","",""
"6 on scale 1-7","2007","higher vocational","Urban Area","","","",""
"6 on scale 1-7","2007","higher vocational","Rural Area","","","",""
"6 on scale 1-7","2007","higher education","Urban Area","","","",""
"6 on scale 1-7","2007","higher education","Rural Area","","","",""
"7 Strongly agree","2007","in school","Urban Area","","","",""
"7 Strongly agree","2007","in school","Rural Area","","","",""
"7 Strongly agree","2007","inadequately","Urban Area","","","",""
"7 Strongly agree","2007","inadequately","Rural Area","","","",""
"7 Strongly agree","2007","general elemantary","Urban Area","","","",""
"7 Strongly agree","2007","general elemantary","Rural Area","","","",""
"7 Strongly agree","2007","middle vocational","Urban Area","","","",""
"7 Strongly agree","2007","middle vocational","Rural Area","","","",""
"7 Strongly agree","2007","vocational + Abi","Urban Area","","","",""
"7 Strongly agree","2007","vocational + Abi","Rural Area","","","",""
"7 Strongly agree","2007","higher vocational","Urban Area","","","",""
"7 Strongly agree","2007","higher vocational","Rural Area","","","",""
"7 Strongly agree","2007","higher education","Urban Area","","","",""
"7 Strongly agree","2007","higher education","Rural Area","","","",""
"1 Strongly disagree","2008","in school","Urban Area","","","",""
"1 Strongly disagree","2008","in school","Rural Area","","","",""
"1 Strongly disagree","2008","inadequately","Urban Area","","","",""
"1 Strongly disagree","2008","inadequately","Rural Area","","","",""
"1 Strongly disagree","2008","general elemantary","Urban Area","","","",""
"1 Strongly disagree","2008","general elemantary","Rural Area","","","",""
"1 Strongly disagree","2008","middle vocational","Urban Area","","","",""
"1 Strongly disagree","2008","middle vocational","Rural Area","","","",""
"1 Strongly disagree","2008","vocational + Abi","Urban Area","","","",""
"1 Strongly disagree","2008","vocational + Abi","Rural Area","","","",""
"1 Strongly disagree","2008","higher vocational","Urban Area","","","",""
"1 Strongly disagree","2008","higher vocational","Rural Area","","","",""
"1 Strongly disagree","2008","higher education","Urban Area","","","",""
"1 Strongly disagree","2008","higher education","Rural Area","","","",""
"2 on scale 1-7 ","2008","in school","Urban Area","","","",""
"2 on scale 1-7 ","2008","in school","Rural Area","","","",""
"2 on scale 1-7 ","2008","inadequately","Urban Area","","","",""
"2 on scale 1-7 ","2008","inadequately","Rural Area","","","",""
"2 on scale 1-7 ","2008","general elemantary","Urban Area","","","",""
"2 on scale 1-7 ","2008","general elemantary","Rural Area","","","",""
"2 on scale 1-7 ","2008","middle vocational","Urban Area","","","",""
"2 on scale 1-7 ","2008","middle vocational","Rural Area","","","",""
"2 on scale 1-7 ","2008","vocational + Abi","Urban Area","","","",""
"2 on scale 1-7 ","2008","vocational + Abi","Rural Area","","","",""
"2 on scale 1-7 ","2008","higher vocational","Urban Area","","","",""
"2 on scale 1-7 ","2008","higher vocational","Rural Area","","","",""
"2 on scale 1-7 ","2008","higher education","Urban Area","","","",""
"2 on scale 1-7 ","2008","higher education","Rural Area","","","",""
"3 on scale 1-7 ","2008","in school","Urban Area","","","",""
"3 on scale 1-7 ","2008","in school","Rural Area","","","",""
"3 on scale 1-7 ","2008","inadequately","Urban Area","","","",""
"3 on scale 1-7 ","2008","inadequately","Rural Area","","","",""
"3 on scale 1-7 ","2008","general elemantary","Urban Area","","","",""
"3 on scale 1-7 ","2008","general elemantary","Rural Area","","","",""
"3 on scale 1-7 ","2008","middle vocational","Urban Area","","","",""
"3 on scale 1-7 ","2008","middle vocational","Rural Area","","","",""
"3 on scale 1-7 ","2008","vocational + Abi","Urban Area","","","",""
"3 on scale 1-7 ","2008","vocational + Abi","Rural Area","","","",""
"3 on scale 1-7 ","2008","higher vocational","Urban Area","","","",""
"3 on scale 1-7 ","2008","higher vocational","Rural Area","","","",""
"3 on scale 1-7 ","2008","higher education","Urban Area","","","",""
"3 on scale 1-7 ","2008","higher education","Rural Area","","","",""
"4 on scale 1-7","2008","in school","Urban Area","","","",""
"4 on scale 1-7","2008","in school","Rural Area","","","",""
"4 on scale 1-7","2008","inadequately","Urban Area","","","",""
"4 on scale 1-7","2008","inadequately","Rural Area","","","",""
"4 on scale 1-7","2008","general elemantary","Urban Area","","","",""
"4 on scale 1-7","2008","general elemantary","Rural Area","","","",""
"4 on scale 1-7","2008","middle vocational","Urban Area","","","",""
"4 on scale 1-7","2008","middle vocational","Rural Area","","","",""
"4 on scale 1-7","2008","vocational + Abi","Urban Area","","","",""
"4 on scale 1-7","2008","vocational + Abi","Rural Area","","","",""
"4 on scale 1-7","2008","higher vocational","Urban Area","","","",""
"4 on scale 1-7","2008","higher vocational","Rural Area","","","",""
"4 on scale 1-7","2008","higher education","Urban Area","","","",""
"4 on scale 1-7","2008","higher education","Rural Area","","","",""
"5 on scale 1-7","2008","in school","Urban Area","","","",""
"5 on scale 1-7","2008","in school","Rural Area","","","",""
"5 on scale 1-7","2008","inadequately","Urban Area","","","",""
"5 on scale 1-7","2008","inadequately","Rural Area","","","",""
"5 on scale 1-7","2008","general elemantary","Urban Area","","","",""
"5 on scale 1-7","2008","general elemantary","Rural Area","","","",""
"5 on scale 1-7","2008","middle vocational","Urban Area","","","",""
"5 on scale 1-7","2008","middle vocational","Rural Area","","","",""
"5 on scale 1-7","2008","vocational + Abi","Urban Area","","","",""
"5 on scale 1-7","2008","vocational + Abi","Rural Area","","","",""
"5 on scale 1-7","2008","higher vocational","Urban Area","","","",""
"5 on scale 1-7","2008","higher vocational","Rural Area","","","",""
"5 on scale 1-7","2008","higher education","Urban Area","","","",""
"5 on scale 1-7","2008","higher education","Rural Area","","","",""
"6 on scale 1-7","2008","in school","Urban Area","","","",""
"6 on scale 1-7","2008","in school","Rural Area","","","",""
"6 on scale 1-7","2008","inadequately","Urban Area","","","",""
"6 on scale 1-7","2008","inadequately","Rural Area","","","",""
"6 on scale 1-7","2008","general elemantary","Urban Area","","","",""
"6 on scale 1-7","2008","general elemantary","Rural Area","","","",""
"6 on scale 1-7","2008","middle vocational","Urban Area","","","",""
"6 on scale 1-7","2008","middle vocational","Rural Area","","","",""
"6 on scale 1-7","2008","vocational + Abi","Urban Area","","","",""
"6 on scale 1-7","2008","vocational + Abi","Rural Area","","","",""
"6 on scale 1-7","2008","higher vocational","Urban Area","","","",""
"6 on scale 1-7","2008","higher vocational","Rural Area","","","",""
"6 on scale 1-7","2008","higher education","Urban Area","","","",""
"6 on scale 1-7","2008","higher education","Rural Area","","","",""
"7 Strongly agree","2008","in school","Urban Area","","","",""
"7 Strongly agree","2008","in school","Rural Area","","","",""
"7 Strongly agree","2008","inadequately","Urban Area","","","",""
"7 Strongly agree","2008","inadequately","Rural Area","","","",""
"7 Strongly agree","2008","general elemantary","Urban Area","","","",""
"7 Strongly agree","2008","general elemantary","Rural Area","","","",""
"7 Strongly agree","2008","middle vocational","Urban Area","","","",""
"7 Strongly agree","2008","middle vocational","Rural Area","","","",""
"7 Strongly agree","2008","vocational + Abi","Urban Area","","","",""
"7 Strongly agree","2008","vocational + Abi","Rural Area","","","",""
"7 Strongly agree","2008","higher vocational","Urban Area","","","",""
"7 Strongly agree","2008","higher vocational","Rural Area","","","",""
"7 Strongly agree","2008","higher education","Urban Area","","","",""
"7 Strongly agree","2008","higher education","Rural Area","","","",""
"1 Strongly disagree","2009","in school","Urban Area","","","",""
"1 Strongly disagree","2009","in school","Rural Area","","","",""
"1 Strongly disagree","2009","inadequately","Urban Area","","","",""
"1 Strongly disagree","2009","inadequately","Rural Area","","","",""
"1 Strongly disagree","2009","general elemantary","Urban Area","","","",""
"1 Strongly disagree","2009","general elemantary","Rural Area","","","",""
"1 Strongly disagree","2009","middle vocational","Urban Area","","","",""
"1 Strongly disagree","2009","middle vocational","Rural Area","","","",""
"1 Strongly disagree","2009","vocational + Abi","Urban Area","","","",""
"1 Strongly disagree","2009","vocational + Abi","Rural Area","","","",""
"1 Strongly disagree","2009","higher vocational","Urban Area","","","",""
"1 Strongly disagree","2009","higher vocational","Rural Area","","","",""
"1 Strongly disagree","2009","higher education","Urban Area","","","",""
"1 Strongly disagree","2009","higher education","Rural Area","","","",""
"2 on scale 1-7 ","2009","in school","Urban Area","","","",""
"2 on scale 1-7 ","2009","in school","Rural Area","","","",""
"2 on scale 1-7 ","2009","inadequately","Urban Area","","","",""
"2 on scale 1-7 ","2009","inadequately","Rural Area","","","",""
"2 on scale 1-7 ","2009","general elemantary","Urban Area","","","",""
"2 on scale 1-7 ","2009","general elemantary","Rural Area","","","",""
"2 on scale 1-7 ","2009","middle vocational","Urban Area","","","",""
"2 on scale 1-7 ","2009","middle vocational","Rural Area","","","",""
"2 on scale 1-7 ","2009","vocational + Abi","Urban Area","","","",""
"2 on scale 1-7 ","2009","vocational + Abi","Rural Area","","","",""
