"plh0206i01","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Baden-Württemberg","middle vocational","4","","",""
"1 Strongly disagree","2005","Baden-Württemberg","vocational + Abi","","","",""
"1 Strongly disagree","2005","Baden-Württemberg","higher vocational","","","",""
"1 Strongly disagree","2005","Baden-Württemberg","higher education","1","","",""
"1 Strongly disagree","2005","Bavaria","in school","","","",""
"1 Strongly disagree","2005","Bavaria","inadequately","","","",""
"1 Strongly disagree","2005","Bavaria","general elemantary","3","","",""
"1 Strongly disagree","2005","Bavaria","middle vocational","","","",""
"1 Strongly disagree","2005","Bavaria","vocational + Abi","1","","",""
"1 Strongly disagree","2005","Bavaria","higher vocational","1","","",""
"1 Strongly disagree","2005","Bavaria","higher education","","","",""
"1 Strongly disagree","2005","Berlin","in school","","","",""
"1 Strongly disagree","2005","Berlin","inadequately","","","",""
"1 Strongly disagree","2005","Berlin","general elemantary","","","",""
"1 Strongly disagree","2005","Berlin","middle vocational","","","",""
"1 Strongly disagree","2005","Berlin","vocational + Abi","","","",""
"1 Strongly disagree","2005","Berlin","higher vocational","","","",""
"1 Strongly disagree","2005","Berlin","higher education","","","",""
"1 Strongly disagree","2005","Brandenburg","in school","","","",""
"1 Strongly disagree","2005","Brandenburg","inadequately","","","",""
"1 Strongly disagree","2005","Brandenburg","general elemantary","","","",""
"1 Strongly disagree","2005","Brandenburg","middle vocational","","","",""
"1 Strongly disagree","2005","Brandenburg","vocational + Abi","","","",""
"1 Strongly disagree","2005","Brandenburg","higher vocational","","","",""
"1 Strongly disagree","2005","Brandenburg","higher education","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","in school","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","inadequately","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","general elemantary","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","middle vocational","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","higher vocational","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","higher education","1","","",""
"1 Strongly disagree","2005","Saxony","in school","","","",""
"1 Strongly disagree","2005","Saxony","inadequately","","","",""
"1 Strongly disagree","2005","Saxony","general elemantary","","","",""
"1 Strongly disagree","2005","Saxony","middle vocational","4","","",""
"1 Strongly disagree","2005","Saxony","vocational + Abi","","","",""
"1 Strongly disagree","2005","Saxony","higher vocational","","","",""
"1 Strongly disagree","2005","Saxony","higher education","1","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","in school","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","inadequately","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","general elemantary","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","middle vocational","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","vocational + Abi","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","higher vocational","","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","higher education","","","",""
"1 Strongly disagree","2005","Thuringia","in school","","","",""
"1 Strongly disagree","2005","Thuringia","inadequately","","","",""
"1 Strongly disagree","2005","Thuringia","general elemantary","","","",""
"1 Strongly disagree","2005","Thuringia","middle vocational","","","",""
"1 Strongly disagree","2005","Thuringia","vocational + Abi","","","",""
"1 Strongly disagree","2005","Thuringia","higher vocational","","","",""
"1 Strongly disagree","2005","Thuringia","higher education","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","in school","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","inadequately","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","general elemantary","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","middle vocational","1","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","higher vocational","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","higher education","","","",""
"2 on scale 1-7 ","2005","Hamburg","in school","","","",""
"2 on scale 1-7 ","2005","Hamburg","inadequately","","","",""
"2 on scale 1-7 ","2005","Hamburg","general elemantary","","","",""
"2 on scale 1-7 ","2005","Hamburg","middle vocational","","","",""
"2 on scale 1-7 ","2005","Hamburg","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Hamburg","higher vocational","","","",""
"2 on scale 1-7 ","2005","Hamburg","higher education","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","in school","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","inadequately","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","general elemantary","2","","",""
"2 on scale 1-7 ","2005","Lower Saxony","middle vocational","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","higher vocational","","","",""
"2 on scale 1-7 ","2005","Lower Saxony","higher education","","","",""
"2 on scale 1-7 ","2005","Bremen","in school","","","",""
"2 on scale 1-7 ","2005","Bremen","inadequately","","","",""
"2 on scale 1-7 ","2005","Bremen","general elemantary","","","",""
"2 on scale 1-7 ","2005","Bremen","middle vocational","","","",""
"2 on scale 1-7 ","2005","Bremen","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Bremen","higher vocational","","","",""
"2 on scale 1-7 ","2005","Bremen","higher education","","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","in school","","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","inadequately","","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","general elemantary","2","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","middle vocational","3","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","higher vocational","1","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","higher education","3","","",""
"2 on scale 1-7 ","2005","Hesse","in school","","","",""
"2 on scale 1-7 ","2005","Hesse","inadequately","","","",""
"2 on scale 1-7 ","2005","Hesse","general elemantary","","","",""
"2 on scale 1-7 ","2005","Hesse","middle vocational","","","",""
"2 on scale 1-7 ","2005","Hesse","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Hesse","higher vocational","1","","",""
"2 on scale 1-7 ","2005","Hesse","higher education","","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","in school","","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","inadequately","","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","general elemantary","1","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","middle vocational","4","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","higher vocational","","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","higher education","1","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","in school","","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","inadequately","1","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","general elemantary","1","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","middle vocational","1","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","higher vocational","","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","higher education","","","",""
"2 on scale 1-7 ","2005","Bavaria","in school","","","",""
"2 on scale 1-7 ","2005","Bavaria","inadequately","","","",""
"2 on scale 1-7 ","2005","Bavaria","general elemantary","2","","",""
"2 on scale 1-7 ","2005","Bavaria","middle vocational","3","","",""
"2 on scale 1-7 ","2005","Bavaria","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Bavaria","higher vocational","","","",""
"2 on scale 1-7 ","2005","Bavaria","higher education","2","","",""
"2 on scale 1-7 ","2005","Berlin","in school","","","",""
"2 on scale 1-7 ","2005","Berlin","inadequately","","","",""
"2 on scale 1-7 ","2005","Berlin","general elemantary","1","","",""
"2 on scale 1-7 ","2005","Berlin","middle vocational","2","","",""
"2 on scale 1-7 ","2005","Berlin","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Berlin","higher vocational","","","",""
"2 on scale 1-7 ","2005","Berlin","higher education","1","","",""
"2 on scale 1-7 ","2005","Brandenburg","in school","","","",""
"2 on scale 1-7 ","2005","Brandenburg","inadequately","","","",""
"2 on scale 1-7 ","2005","Brandenburg","general elemantary","","","",""
"2 on scale 1-7 ","2005","Brandenburg","middle vocational","","","",""
"2 on scale 1-7 ","2005","Brandenburg","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Brandenburg","higher vocational","","","",""
"2 on scale 1-7 ","2005","Brandenburg","higher education","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","in school","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","inadequately","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","general elemantary","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","middle vocational","1","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","higher vocational","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","higher education","1","","",""
"2 on scale 1-7 ","2005","Saxony","in school","","","",""
"2 on scale 1-7 ","2005","Saxony","inadequately","","","",""
"2 on scale 1-7 ","2005","Saxony","general elemantary","","","",""
"2 on scale 1-7 ","2005","Saxony","middle vocational","2","","",""
"2 on scale 1-7 ","2005","Saxony","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Saxony","higher vocational","","","",""
"2 on scale 1-7 ","2005","Saxony","higher education","3","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","in school","","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","inadequately","","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","general elemantary","1","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","middle vocational","","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","higher vocational","1","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","higher education","","","",""
"2 on scale 1-7 ","2005","Thuringia","in school","","","",""
"2 on scale 1-7 ","2005","Thuringia","inadequately","","","",""
"2 on scale 1-7 ","2005","Thuringia","general elemantary","1","","",""
"2 on scale 1-7 ","2005","Thuringia","middle vocational","","","",""
"2 on scale 1-7 ","2005","Thuringia","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Thuringia","higher vocational","","","",""
"2 on scale 1-7 ","2005","Thuringia","higher education","1","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","in school","","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","inadequately","","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","general elemantary","1","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","middle vocational","","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","higher vocational","","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","higher education","1","","",""
"3 on scale 1-7 ","2005","Hamburg","in school","1","","",""
"3 on scale 1-7 ","2005","Hamburg","inadequately","","","",""
"3 on scale 1-7 ","2005","Hamburg","general elemantary","","","",""
"3 on scale 1-7 ","2005","Hamburg","middle vocational","1","","",""
"3 on scale 1-7 ","2005","Hamburg","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Hamburg","higher vocational","","","",""
"3 on scale 1-7 ","2005","Hamburg","higher education","","","",""
"3 on scale 1-7 ","2005","Lower Saxony","in school","","","",""
"3 on scale 1-7 ","2005","Lower Saxony","inadequately","","","",""
"3 on scale 1-7 ","2005","Lower Saxony","general elemantary","3","","",""
"3 on scale 1-7 ","2005","Lower Saxony","middle vocational","2","","",""
"3 on scale 1-7 ","2005","Lower Saxony","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Lower Saxony","higher vocational","1","","",""
"3 on scale 1-7 ","2005","Lower Saxony","higher education","","","",""
"3 on scale 1-7 ","2005","Bremen","in school","","","",""
"3 on scale 1-7 ","2005","Bremen","inadequately","","","",""
"3 on scale 1-7 ","2005","Bremen","general elemantary","","","",""
"3 on scale 1-7 ","2005","Bremen","middle vocational","","","",""
"3 on scale 1-7 ","2005","Bremen","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Bremen","higher vocational","","","",""
"3 on scale 1-7 ","2005","Bremen","higher education","","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","in school","","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","inadequately","2","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","general elemantary","3","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","middle vocational","11","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","vocational + Abi","3","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","higher vocational","4","","",""
"3 on scale 1-7 ","2005","North Rhine-Westphalia","higher education","3","","",""
"3 on scale 1-7 ","2005","Hesse","in school","","","",""
"3 on scale 1-7 ","2005","Hesse","inadequately","","","",""
"3 on scale 1-7 ","2005","Hesse","general elemantary","1","","",""
"3 on scale 1-7 ","2005","Hesse","middle vocational","5","","",""
"3 on scale 1-7 ","2005","Hesse","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Hesse","higher vocational","1","","",""
"3 on scale 1-7 ","2005","Hesse","higher education","1","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","in school","","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","inadequately","","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","general elemantary","3","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","middle vocational","7","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","higher vocational","2","","",""
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","higher education","6","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","in school","","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","inadequately","1","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","general elemantary","2","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","middle vocational","5","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","vocational + Abi","1","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","higher vocational","","","",""
"3 on scale 1-7 ","2005","Baden-Württemberg","higher education","1","","",""
"3 on scale 1-7 ","2005","Bavaria","in school","","","",""
"3 on scale 1-7 ","2005","Bavaria","inadequately","2","","",""
"3 on scale 1-7 ","2005","Bavaria","general elemantary","4","","",""
"3 on scale 1-7 ","2005","Bavaria","middle vocational","12","","",""
"3 on scale 1-7 ","2005","Bavaria","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Bavaria","higher vocational","3","","",""
"3 on scale 1-7 ","2005","Bavaria","higher education","9","","",""
"3 on scale 1-7 ","2005","Berlin","in school","","","",""
"3 on scale 1-7 ","2005","Berlin","inadequately","","","",""
"3 on scale 1-7 ","2005","Berlin","general elemantary","2","","",""
"3 on scale 1-7 ","2005","Berlin","middle vocational","4","","",""
"3 on scale 1-7 ","2005","Berlin","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Berlin","higher vocational","1","","",""
"3 on scale 1-7 ","2005","Berlin","higher education","","","",""
"3 on scale 1-7 ","2005","Brandenburg","in school","","","",""
"3 on scale 1-7 ","2005","Brandenburg","inadequately","","","",""
"3 on scale 1-7 ","2005","Brandenburg","general elemantary","1","","",""
"3 on scale 1-7 ","2005","Brandenburg","middle vocational","1","","",""
"3 on scale 1-7 ","2005","Brandenburg","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Brandenburg","higher vocational","","","",""
"3 on scale 1-7 ","2005","Brandenburg","higher education","2","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","in school","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","inadequately","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","general elemantary","1","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","middle vocational","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","higher vocational","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","higher education","","","",""
"3 on scale 1-7 ","2005","Saxony","in school","","","",""
"3 on scale 1-7 ","2005","Saxony","inadequately","","","",""
"3 on scale 1-7 ","2005","Saxony","general elemantary","1","","",""
"3 on scale 1-7 ","2005","Saxony","middle vocational","2","","",""
"3 on scale 1-7 ","2005","Saxony","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Saxony","higher vocational","","","",""
"3 on scale 1-7 ","2005","Saxony","higher education","2","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","in school","","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","inadequately","","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","general elemantary","","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","middle vocational","5","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","higher vocational","","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","higher education","","","",""
"3 on scale 1-7 ","2005","Thuringia","in school","1","","",""
"3 on scale 1-7 ","2005","Thuringia","inadequately","1","","",""
"3 on scale 1-7 ","2005","Thuringia","general elemantary","","","",""
"3 on scale 1-7 ","2005","Thuringia","middle vocational","7","","",""
"3 on scale 1-7 ","2005","Thuringia","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Thuringia","higher vocational","","","",""
"3 on scale 1-7 ","2005","Thuringia","higher education","1","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","in school","1","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","inadequately","","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","general elemantary","1","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","middle vocational","7","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","vocational + Abi","1","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","higher vocational","1","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","higher education","1","","",""
"4 on scale 1-7","2005","Hamburg","in school","","","",""
"4 on scale 1-7","2005","Hamburg","inadequately","","","",""
"4 on scale 1-7","2005","Hamburg","general elemantary","","","",""
"4 on scale 1-7","2005","Hamburg","middle vocational","1","","",""
"4 on scale 1-7","2005","Hamburg","vocational + Abi","","","",""
"4 on scale 1-7","2005","Hamburg","higher vocational","","","",""
"4 on scale 1-7","2005","Hamburg","higher education","","","",""
"4 on scale 1-7","2005","Lower Saxony","in school","3","","",""
"4 on scale 1-7","2005","Lower Saxony","inadequately","","","",""
"4 on scale 1-7","2005","Lower Saxony","general elemantary","7","","",""
"4 on scale 1-7","2005","Lower Saxony","middle vocational","21","","",""
"4 on scale 1-7","2005","Lower Saxony","vocational + Abi","","","",""
"4 on scale 1-7","2005","Lower Saxony","higher vocational","3","","",""
"4 on scale 1-7","2005","Lower Saxony","higher education","2","","",""
"4 on scale 1-7","2005","Bremen","in school","","","",""
"4 on scale 1-7","2005","Bremen","inadequately","","","",""
"4 on scale 1-7","2005","Bremen","general elemantary","","","",""
"4 on scale 1-7","2005","Bremen","middle vocational","","","",""
"4 on scale 1-7","2005","Bremen","vocational + Abi","","","",""
"4 on scale 1-7","2005","Bremen","higher vocational","","","",""
"4 on scale 1-7","2005","Bremen","higher education","","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","in school","4","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","inadequately","5","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","general elemantary","27","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","middle vocational","47","0.0233386489100209","0.0168441705682144","0.0298331272518274"
"4 on scale 1-7","2005","North Rhine-Westphalia","vocational + Abi","7","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","higher vocational","9","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","higher education","18","","",""
"4 on scale 1-7","2005","Hesse","in school","1","","",""
"4 on scale 1-7","2005","Hesse","inadequately","","","",""
"4 on scale 1-7","2005","Hesse","general elemantary","11","","",""
"4 on scale 1-7","2005","Hesse","middle vocational","17","","",""
"4 on scale 1-7","2005","Hesse","vocational + Abi","4","","",""
"4 on scale 1-7","2005","Hesse","higher vocational","1","","",""
"4 on scale 1-7","2005","Hesse","higher education","5","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","in school","","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","inadequately","","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","general elemantary","3","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","middle vocational","16","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","higher vocational","1","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","higher education","3","","",""
"4 on scale 1-7","2005","Baden-Württemberg","in school","5","","",""
"4 on scale 1-7","2005","Baden-Württemberg","inadequately","6","","",""
"4 on scale 1-7","2005","Baden-Württemberg","general elemantary","17","","",""
"4 on scale 1-7","2005","Baden-Württemberg","middle vocational","40","0.0350584845668331","0.0244512013562815","0.0456657677773848"
"4 on scale 1-7","2005","Baden-Württemberg","vocational + Abi","12","","",""
"4 on scale 1-7","2005","Baden-Württemberg","higher vocational","7","","",""
"4 on scale 1-7","2005","Baden-Württemberg","higher education","12","","",""
"4 on scale 1-7","2005","Bavaria","in school","11","","",""
"4 on scale 1-7","2005","Bavaria","inadequately","1","","",""
"4 on scale 1-7","2005","Bavaria","general elemantary","24","","",""
"4 on scale 1-7","2005","Bavaria","middle vocational","45","0.0238105421241323","0.0161029220495294","0.0315181621987353"
"4 on scale 1-7","2005","Bavaria","vocational + Abi","5","","",""
"4 on scale 1-7","2005","Bavaria","higher vocational","2","","",""
"4 on scale 1-7","2005","Bavaria","higher education","18","","",""
"4 on scale 1-7","2005","Berlin","in school","2","","",""
"4 on scale 1-7","2005","Berlin","inadequately","1","","",""
"4 on scale 1-7","2005","Berlin","general elemantary","6","","",""
"4 on scale 1-7","2005","Berlin","middle vocational","13","","",""
"4 on scale 1-7","2005","Berlin","vocational + Abi","2","","",""
"4 on scale 1-7","2005","Berlin","higher vocational","","","",""
"4 on scale 1-7","2005","Berlin","higher education","7","","",""
"4 on scale 1-7","2005","Brandenburg","in school","2","","",""
"4 on scale 1-7","2005","Brandenburg","inadequately","","","",""
"4 on scale 1-7","2005","Brandenburg","general elemantary","2","","",""
"4 on scale 1-7","2005","Brandenburg","middle vocational","11","","",""
"4 on scale 1-7","2005","Brandenburg","vocational + Abi","","","",""
"4 on scale 1-7","2005","Brandenburg","higher vocational","3","","",""
"4 on scale 1-7","2005","Brandenburg","higher education","6","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","in school","","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","inadequately","","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","general elemantary","2","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","middle vocational","5","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","higher vocational","2","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","higher education","3","","",""
"4 on scale 1-7","2005","Saxony","in school","2","","",""
