"plh0206i01","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","9","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","1","","","","2"
"2 on scale 1-7 ","2005","66 and older","1-pers.-HH","3","","","","2"
"2 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","6","","","","2"
"3 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","1","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","7","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","6","","","","3"
"3 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","4","","","","3"
"3 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Single parent ","4","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","5","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","6","","","","3"
"3 on scale 1-7 ","2005","66 and older","Single parent ","1","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","Single parent ","2","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","20","","","","3"
"3 on scale 1-7 ","2005","66 and older","1-pers.-HH","7","","","","3"
"3 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","19","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","6","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","10","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","24","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","12","","","","3"
"4 on scale 1-7","2005","66 and older","Couple + C. GT 16 ","6","","","","4"
"4 on scale 1-7","2005","66 and older","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2005","35-65 y.","Couple + C. GT 16 ","55","0.0232091674668804","0.0168269028126636","0.0295914321210971","4"
"4 on scale 1-7","2005","35-65 y.","Couple + C. LE and GT 16","33","0.0333972465722216","0.0226165896189054","0.0441779035255378","4"
"4 on scale 1-7","2005","66 and older","Single parent ","1","","","","4"
"4 on scale 1-7","2005","66 and older","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2005","16-34 y.","1-pers.-HH","15","","","","4"
"4 on scale 1-7","2005","16-34 y.","(Married) couple without C. ","19","","","","4"
"4 on scale 1-7","2005","16-34 y.","Couple + C. GT 16 ","53","0.0597938852427796","0.0470988002054896","0.0724889702800696","4"
"4 on scale 1-7","2005","16-34 y.","Couple + C. LE and GT 16","22","","","","4"
"4 on scale 1-7","2005","35-65 y.","Single parent ","20","","","","4"
"4 on scale 1-7","2005","35-65 y.","Couple + C. LE 16 ","72","0.029593783222642","0.0230986319005013","0.0360889345447828","4"
"4 on scale 1-7","2005","66 and older","1-pers.-HH","35","0.033066275572268","0.0224070356326683","0.0437255155118676","4"
"4 on scale 1-7","2005","66 and older","(Married) couple without C. ","77","0.0331819058464096","0.0259525560503693","0.0404112556424499","4"
"4 on scale 1-7","2005","16-34 y.","Single parent ","24","","","","4"
"4 on scale 1-7","2005","35-65 y.","1-pers.-HH","32","0.0290156931228726","0.0194870174871059","0.0385443687586393","4"
"4 on scale 1-7","2005","35-65 y.","(Married) couple without C. ","87","0.0231790940647305","0.0183508282867621","0.0280073598426989","4"
"4 on scale 1-7","2005","16-34 y.","Couple + C. LE 16 ","25","","","","4"
"5 on scale 1-7","2005","35-65 y.","Couple + C. GT 16 ","152","0.0723767813235095","0.0613935614280941","0.0833600012189249","5"
"5 on scale 1-7","2005","35-65 y.","Couple + C. LE and GT 16","92","0.0914406210261447","0.0741459572745052","0.108735284777784","5"
"5 on scale 1-7","2005","66 and older","Couple + C. LE 16 ","1","","","","5"
"5 on scale 1-7","2005","66 and older","Couple + C. GT 16 ","19","","","","5"
"5 on scale 1-7","2005","66 and older","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2005","16-34 y.","Single parent ","43","0.0750983484218812","0.0511439877067738","0.0990527091369886","5"
"5 on scale 1-7","2005","16-34 y.","Couple + C. LE 16 ","86","0.0823430300937029","0.0660689510936124","0.0986171090937934","5"
"5 on scale 1-7","2005","16-34 y.","Couple + C. LE and GT 16","90","0.123299382443171","0.0977070676527544","0.148891697233588","5"
"5 on scale 1-7","2005","35-65 y.","Single parent ","32","0.0624513612911695","0.042638890535314","0.082263832047025","5"
"5 on scale 1-7","2005","35-65 y.","Couple + C. LE 16 ","190","0.0780434946021744","0.0677624838138372","0.0883245053905116","5"
"5 on scale 1-7","2005","66 and older","Single parent ","8","","","","5"
"5 on scale 1-7","2005","66 and older","(Married) couple without C. ","215","0.0956730320684798","0.0838007638229668","0.107545300313993","5"
"5 on scale 1-7","2005","16-34 y.","1-pers.-HH","65","0.0968722537079846","0.0748820130084841","0.118862494407485","5"
"5 on scale 1-7","2005","16-34 y.","(Married) couple without C. ","68","0.0703984882314914","0.0541054086534142","0.0866915678095686","5"
"5 on scale 1-7","2005","16-34 y.","Couple + C. GT 16 ","127","0.101723012860389","0.0855380973708063","0.117907928349971","5"
"5 on scale 1-7","2005","35-65 y.","1-pers.-HH","84","0.0729596005747205","0.0581957202044844","0.0877234809449566","5"
"5 on scale 1-7","2005","35-65 y.","(Married) couple without C. ","263","0.0699162607494995","0.0617337687564687","0.0780987527425303","5"
"5 on scale 1-7","2005","66 and older","1-pers.-HH","80","0.0767291680916681","0.0608627078953438","0.0925956282879924","5"
"6 on scale 1-7","2005","35-65 y.","Couple + C. GT 16 ","536","0.237177912734657","0.219148026281493","0.255207799187822","6"
"6 on scale 1-7","2005","35-65 y.","Couple + C. LE and GT 16","266","0.244205483868569","0.218427707266518","0.269983260470619","6"
"6 on scale 1-7","2005","66 and older","Single parent ","20","","","","6"
"6 on scale 1-7","2005","66 and older","Couple + C. LE 16 ","1","","","","6"
"6 on scale 1-7","2005","66 and older","Couple + C. GT 16 ","35","0.218710576413295","0.155827336125518","0.281593816701073","6"
"6 on scale 1-7","2005","66 and older","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2005","16-34 y.","1-pers.-HH","169","0.222727776351438","0.191794248431866","0.253661304271011","6"
"6 on scale 1-7","2005","16-34 y.","(Married) couple without C. ","240","0.241651735594326","0.214386929746129","0.268916541442524","6"
"6 on scale 1-7","2005","16-34 y.","Single parent ","128","0.314838384147508","0.272623853558892","0.357052914736124","6"
"6 on scale 1-7","2005","16-34 y.","Couple + C. LE 16 ","265","0.233893626602146","0.208832733412367","0.258954519791926","6"
"6 on scale 1-7","2005","16-34 y.","Couple + C. LE and GT 16","150","0.206867111650131","0.175337242611861","0.238396980688402","6"
"6 on scale 1-7","2005","35-65 y.","1-pers.-HH","279","0.219667083129454","0.196163589681834","0.243170576577074","6"
"6 on scale 1-7","2005","35-65 y.","Single parent ","117","0.167607366107615","0.137024270325196","0.198190461890034","6"
"6 on scale 1-7","2005","35-65 y.","Couple + C. LE 16 ","703","0.254654204729149","0.237956123359215","0.271352286099083","6"
"6 on scale 1-7","2005","66 and older","1-pers.-HH","221","0.201190812358853","0.177292851701791","0.225088773015915","6"
"6 on scale 1-7","2005","16-34 y.","Couple + C. GT 16 ","409","0.287872784153245","0.263630430206697","0.312115138099794","6"
"6 on scale 1-7","2005","35-65 y.","(Married) couple without C. ","957","0.24016536063612","0.226458115014627","0.253872606257614","6"
"6 on scale 1-7","2005","66 and older","(Married) couple without C. ","540","0.216688475730546","0.200059658652969","0.233317292808122","6"
"7 Strongly agree","2005","66 and older","Couple + C. GT 16 ","102","0.593421705745427","0.518699814501916","0.668143596988938","7"
"7 Strongly agree","2005","66 and older","Single parent ","31","0.559680933049007","0.436112867422195","0.683248998675819","7"
"7 Strongly agree","2005","66 and older","Couple + C. LE 16 ","2","","","","7"
"7 Strongly agree","2005","66 and older","Couple + C. LE and GT 16","3","","","","7"
"7 Strongly agree","2005","35-65 y.","Couple + C. GT 16 ","1368","0.652675408866282","0.632493574753827","0.672857242978738","7"
"7 Strongly agree","2005","35-65 y.","Couple + C. LE and GT 16","668","0.622633460693497","0.593548813236209","0.651718108150784","7"
"7 Strongly agree","2005","66 and older","1-pers.-HH","733","0.67638604728414","0.648496196982073","0.704275897586206","7"
"7 Strongly agree","2005","66 and older","(Married) couple without C. ","1496","0.642721159730153","0.623379615837195","0.662062703623111","7"
"7 Strongly agree","2005","16-34 y.","Couple + C. LE and GT 16","365","0.614922919028026","0.577044866877249","0.652800971178803","7"
"7 Strongly agree","2005","35-65 y.","1-pers.-HH","779","0.66217589882973","0.635326042688004","0.689025754971456","7"
"7 Strongly agree","2005","35-65 y.","(Married) couple without C. ","2384","0.656400251994087","0.641161610413617","0.671638893574557","7"
"7 Strongly agree","2005","35-65 y.","Single parent ","399","0.723670107049587","0.687055444903688","0.760284769195486","7"
"7 Strongly agree","2005","35-65 y.","Couple + C. LE 16 ","1626","0.628630226219555","0.610111413035773","0.647149039403337","7"
"7 Strongly agree","2005","16-34 y.","1-pers.-HH","443","0.639735065487546","0.604043404158433","0.675426726816659","7"
"7 Strongly agree","2005","16-34 y.","(Married) couple without C. ","610","0.662605433236245","0.632491350435747","0.692719516036744","7"
"7 Strongly agree","2005","16-34 y.","Single parent ","265","0.557359179635604","0.512213632083256","0.602504727187952","7"
"7 Strongly agree","2005","16-34 y.","Couple + C. LE 16 ","712","0.649161558224274","0.62090802293279","0.677415093515758","7"
"7 Strongly agree","2005","16-34 y.","Couple + C. GT 16 ","739","0.543163377109681","0.516492248844679","0.569834505374683","7"
"1 Strongly disagree","2006","16-34 y.","1-pers.-HH","","","","","1"
"1 Strongly disagree","2006","16-34 y.","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Single parent ","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2006","35-65 y.","1-pers.-HH","","","","","1"
"1 Strongly disagree","2006","35-65 y.","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Single parent ","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2006","66 and older","1-pers.-HH","","","","","1"
"1 Strongly disagree","2006","66 and older","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2006","66 and older","Single parent ","","","","","1"
"1 Strongly disagree","2006","66 and older","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2006","66 and older","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2006","66 and older","Couple + C. LE and GT 16","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Single parent ","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Single parent ","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Single parent ","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2006","66 and older","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2006","66 and older","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Couple + C. GT 16 ","","","","","2"
"3 on scale 1-7 ","2006","16-34 y.","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Single parent ","","","","","3"
"3 on scale 1-7 ","2006","66 and older","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Single parent ","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Single parent ","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2006","66 and older","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","(Married) couple without C. ","","","","","3"
"4 on scale 1-7","2006","66 and older","Single parent ","","","","","4"
"4 on scale 1-7","2006","66 and older","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2006","66 and older","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2006","16-34 y.","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2006","66 and older","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2006","66 and older","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2006","16-34 y.","1-pers.-HH","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Single parent ","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2006","66 and older","1-pers.-HH","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Single parent ","","","","","4"
"4 on scale 1-7","2006","35-65 y.","1-pers.-HH","","","","","4"
"4 on scale 1-7","2006","35-65 y.","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Couple + C. LE 16 ","","","","","4"
"5 on scale 1-7","2006","16-34 y.","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2006","66 and older","Single parent ","","","","","5"
"5 on scale 1-7","2006","66 and older","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2006","66 and older","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2006","66 and older","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2006","66 and older","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Single parent ","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2006","35-65 y.","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Single parent ","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Couple + C. LE 16 ","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Couple + C. GT 16 ","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Couple + C. LE and GT 16","","","","","5"
"5 on scale 1-7","2006","16-34 y.","1-pers.-HH","","","","","5"
"5 on scale 1-7","2006","35-65 y.","1-pers.-HH","","","","","5"
"5 on scale 1-7","2006","16-34 y.","(Married) couple without C. ","","","","","5"
"5 on scale 1-7","2006","66 and older","1-pers.-HH","","","","","5"
"6 on scale 1-7","2006","66 and older","Single parent ","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2006","66 and older","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2006","66 and older","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2006","66 and older","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Couple + C. LE and GT 16","","","","","6"
"6 on scale 1-7","2006","66 and older","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Couple + C. GT 16 ","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Couple + C. LE 16 ","","","","","6"
"6 on scale 1-7","2006","16-34 y.","1-pers.-HH","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Single parent ","","","","","6"
"6 on scale 1-7","2006","35-65 y.","1-pers.-HH","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Single parent ","","","","","6"
"6 on scale 1-7","2006","66 and older","1-pers.-HH","","","","","6"
"6 on scale 1-7","2006","35-65 y.","(Married) couple without C. ","","","","","6"
"6 on scale 1-7","2006","16-34 y.","(Married) couple without C. ","","","","","6"
"7 Strongly agree","2006","66 and older","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2006","66 and older","Single parent ","","","","","7"
"7 Strongly agree","2006","66 and older","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2006","66 and older","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2006","16-34 y.","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2006","35-65 y.","1-pers.-HH","","","","","7"
"7 Strongly agree","2006","35-65 y.","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2006","35-65 y.","Single parent ","","","","","7"
"7 Strongly agree","2006","35-65 y.","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2006","35-65 y.","Couple + C. GT 16 ","","","","","7"
"7 Strongly agree","2006","35-65 y.","Couple + C. LE and GT 16","","","","","7"
"7 Strongly agree","2006","66 and older","1-pers.-HH","","","","","7"
"7 Strongly agree","2006","66 and older","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2006","16-34 y.","1-pers.-HH","","","","","7"
"7 Strongly agree","2006","16-34 y.","(Married) couple without C. ","","","","","7"
"7 Strongly agree","2006","16-34 y.","Single parent ","","","","","7"
"7 Strongly agree","2006","16-34 y.","Couple + C. LE 16 ","","","","","7"
"7 Strongly agree","2006","16-34 y.","Couple + C. GT 16 ","","","","","7"
"1 Strongly disagree","2007","16-34 y.","1-pers.-HH","","","","","1"
"1 Strongly disagree","2007","16-34 y.","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2007","16-34 y.","Single parent ","","","","","1"
"1 Strongly disagree","2007","16-34 y.","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2007","16-34 y.","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2007","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2007","35-65 y.","1-pers.-HH","","","","","1"
"1 Strongly disagree","2007","35-65 y.","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Single parent ","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2007","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2007","66 and older","1-pers.-HH","","","","","1"
"1 Strongly disagree","2007","66 and older","(Married) couple without C. ","","","","","1"
"1 Strongly disagree","2007","66 and older","Single parent ","","","","","1"
"1 Strongly disagree","2007","66 and older","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2007","66 and older","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2007","66 and older","Couple + C. LE and GT 16","","","","","1"
"2 on scale 1-7 ","2007","16-34 y.","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Single parent ","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2007","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Single parent ","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2007","66 and older","Single parent ","","","","","2"
"2 on scale 1-7 ","2007","66 and older","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2007","66 and older","Couple + C. GT 16 ","","","","","2"
"2 on scale 1-7 ","2007","66 and older","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2007","66 and older","(Married) couple without C. ","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2007","66 and older","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2007","35-65 y.","Couple + C. GT 16 ","","","","","2"
"3 on scale 1-7 ","2007","66 and older","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2007","66 and older","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2007","66 and older","Single parent ","","","","","3"
"3 on scale 1-7 ","2007","66 and older","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Couple + C. LE and GT 16","","","","","3"
"3 on scale 1-7 ","2007","66 and older","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Single parent ","","","","","3"
"3 on scale 1-7 ","2007","16-34 y.","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","Single parent ","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","Couple + C. LE 16 ","","","","","3"
"3 on scale 1-7 ","2007","66 and older","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","1-pers.-HH","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","Couple + C. GT 16 ","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","(Married) couple without C. ","","","","","3"
"3 on scale 1-7 ","2007","35-65 y.","Couple + C. LE and GT 16","","","","","3"
"4 on scale 1-7","2007","66 and older","Single parent ","","","","","4"
"4 on scale 1-7","2007","66 and older","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2007","16-34 y.","1-pers.-HH","","","","","4"
"4 on scale 1-7","2007","16-34 y.","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2007","66 and older","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2007","66 and older","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2007","35-65 y.","Single parent ","","","","","4"
"4 on scale 1-7","2007","35-65 y.","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2007","66 and older","1-pers.-HH","","","","","4"
"4 on scale 1-7","2007","66 and older","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2007","16-34 y.","Single parent ","","","","","4"
"4 on scale 1-7","2007","35-65 y.","1-pers.-HH","","","","","4"
"4 on scale 1-7","2007","16-34 y.","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2007","35-65 y.","(Married) couple without C. ","","","","","4"
"4 on scale 1-7","2007","16-34 y.","Couple + C. LE and GT 16","","","","","4"
"4 on scale 1-7","2007","35-65 y.","Couple + C. LE 16 ","","","","","4"
"4 on scale 1-7","2007","35-65 y.","Couple + C. GT 16 ","","","","","4"
"4 on scale 1-7","2007","16-34 y.","Couple + C. GT 16 ","","","","","4"
