"plb0196_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1986","direct migration background","(3a) lower tertiary education","7","","",""
"No","1986","direct migration background","(3b) higher tertiary education","47","1","1","1"
"No","1986","indirect migration background","(0) in school","","","",""
"No","1986","indirect migration background","(1a) inadequately completed","4","","",""
"No","1986","indirect migration background","(1b) general elementary school","16","","",""
"No","1986","indirect migration background","(1c) basic vocational qualification","27","","",""
"No","1986","indirect migration background","(2b) intermediate general qualification","6","","",""
"No","1986","indirect migration background","(2a) intermediate vocational","8","","",""
"No","1986","indirect migration background","(2c_gen) general maturity certificate","3","","",""
"No","1986","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"No","1986","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1986","indirect migration background","(3b) higher tertiary education","2","","",""
"Yes","1987","no migration background","(0) in school","","","",""
"Yes","1987","no migration background","(1a) inadequately completed","","","",""
"Yes","1987","no migration background","(1b) general elementary school","","","",""
"Yes","1987","no migration background","(1c) basic vocational qualification","","","",""
"Yes","1987","no migration background","(2b) intermediate general qualification","","","",""
"Yes","1987","no migration background","(2a) intermediate vocational","","","",""
"Yes","1987","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1987","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","no migration background","(3a) lower tertiary education","","","",""
"Yes","1987","no migration background","(3b) higher tertiary education","","","",""
"Yes","1987","direct migration background","(0) in school","","","",""
"Yes","1987","direct migration background","(1a) inadequately completed","","","",""
"Yes","1987","direct migration background","(1b) general elementary school","","","",""
"Yes","1987","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","1987","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","1987","direct migration background","(2a) intermediate vocational","","","",""
"Yes","1987","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1987","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","direct migration background","(3a) lower tertiary education","","","",""
"Yes","1987","direct migration background","(3b) higher tertiary education","","","",""
"Yes","1987","indirect migration background","(0) in school","","","",""
"Yes","1987","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1987","indirect migration background","(1b) general elementary school","","","",""
"Yes","1987","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","1987","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1987","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","1987","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1987","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1987","indirect migration background","(3b) higher tertiary education","","","",""
"No","1987","no migration background","(0) in school","","","",""
"No","1987","no migration background","(1a) inadequately completed","","","",""
"No","1987","no migration background","(1b) general elementary school","","","",""
"No","1987","no migration background","(1c) basic vocational qualification","","","",""
"No","1987","no migration background","(2b) intermediate general qualification","","","",""
"No","1987","no migration background","(2a) intermediate vocational","","","",""
"No","1987","no migration background","(2c_gen) general maturity certificate","","","",""
"No","1987","no migration background","(2c_voc) vocational maturity certificate","","","",""
"No","1987","no migration background","(3a) lower tertiary education","","","",""
"No","1987","no migration background","(3b) higher tertiary education","","","",""
"No","1987","direct migration background","(0) in school","","","",""
"No","1987","direct migration background","(1a) inadequately completed","","","",""
"No","1987","direct migration background","(1b) general elementary school","","","",""
"No","1987","direct migration background","(1c) basic vocational qualification","","","",""
"No","1987","direct migration background","(2b) intermediate general qualification","","","",""
"No","1987","direct migration background","(2a) intermediate vocational","","","",""
"No","1987","direct migration background","(2c_gen) general maturity certificate","","","",""
"No","1987","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"No","1987","direct migration background","(3a) lower tertiary education","","","",""
"No","1987","direct migration background","(3b) higher tertiary education","","","",""
"No","1987","indirect migration background","(0) in school","","","",""
"No","1987","indirect migration background","(1a) inadequately completed","","","",""
"No","1987","indirect migration background","(1b) general elementary school","","","",""
"No","1987","indirect migration background","(1c) basic vocational qualification","","","",""
"No","1987","indirect migration background","(2b) intermediate general qualification","","","",""
"No","1987","indirect migration background","(2a) intermediate vocational","","","",""
"No","1987","indirect migration background","(2c_gen) general maturity certificate","","","",""
"No","1987","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"No","1987","indirect migration background","(3a) lower tertiary education","","","",""
"No","1987","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","1988","no migration background","(0) in school","","","",""
"Yes","1988","no migration background","(1a) inadequately completed","","","",""
"Yes","1988","no migration background","(1b) general elementary school","","","",""
"Yes","1988","no migration background","(1c) basic vocational qualification","","","",""
"Yes","1988","no migration background","(2b) intermediate general qualification","","","",""
"Yes","1988","no migration background","(2a) intermediate vocational","","","",""
"Yes","1988","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1988","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","no migration background","(3a) lower tertiary education","","","",""
"Yes","1988","no migration background","(3b) higher tertiary education","","","",""
"Yes","1988","direct migration background","(0) in school","","","",""
"Yes","1988","direct migration background","(1a) inadequately completed","","","",""
"Yes","1988","direct migration background","(1b) general elementary school","","","",""
"Yes","1988","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","1988","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","1988","direct migration background","(2a) intermediate vocational","","","",""
"Yes","1988","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1988","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","direct migration background","(3a) lower tertiary education","","","",""
"Yes","1988","direct migration background","(3b) higher tertiary education","","","",""
"Yes","1988","indirect migration background","(0) in school","","","",""
"Yes","1988","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1988","indirect migration background","(1b) general elementary school","","","",""
"Yes","1988","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","1988","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1988","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","1988","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1988","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1988","indirect migration background","(3b) higher tertiary education","","","",""
"No","1988","no migration background","(0) in school","4","","",""
"No","1988","no migration background","(1a) inadequately completed","13","","",""
"No","1988","no migration background","(1b) general elementary school","433","1","1","1"
"No","1988","no migration background","(1c) basic vocational qualification","1097","1","1","1"
"No","1988","no migration background","(2b) intermediate general qualification","147","1","1","1"
"No","1988","no migration background","(2a) intermediate vocational","488","1","1","1"
"No","1988","no migration background","(2c_gen) general maturity certificate","61","1","1","1"
"No","1988","no migration background","(2c_voc) vocational maturity certificate","91","1","1","1"
"No","1988","no migration background","(3a) lower tertiary education","85","1","1","1"
"No","1988","no migration background","(3b) higher tertiary education","188","1","1","1"
"No","1988","direct migration background","(0) in school","","","",""
"No","1988","direct migration background","(1a) inadequately completed","306","1","1","1"
"No","1988","direct migration background","(1b) general elementary school","432","1","1","1"
"No","1988","direct migration background","(1c) basic vocational qualification","317","1","1","1"
"No","1988","direct migration background","(2b) intermediate general qualification","22","","",""
"No","1988","direct migration background","(2a) intermediate vocational","45","1","1","1"
"No","1988","direct migration background","(2c_gen) general maturity certificate","43","1","1","1"
"No","1988","direct migration background","(2c_voc) vocational maturity certificate","54","1","1","1"
"No","1988","direct migration background","(3a) lower tertiary education","7","","",""
"No","1988","direct migration background","(3b) higher tertiary education","28","","",""
"No","1988","indirect migration background","(0) in school","1","","",""
"No","1988","indirect migration background","(1a) inadequately completed","6","","",""
"No","1988","indirect migration background","(1b) general elementary school","22","","",""
"No","1988","indirect migration background","(1c) basic vocational qualification","28","","",""
"No","1988","indirect migration background","(2b) intermediate general qualification","8","","",""
"No","1988","indirect migration background","(2a) intermediate vocational","9","","",""
"No","1988","indirect migration background","(2c_gen) general maturity certificate","3","","",""
"No","1988","indirect migration background","(2c_voc) vocational maturity certificate","2","","",""
"No","1988","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1988","indirect migration background","(3b) higher tertiary education","1","","",""
"Yes","1989","no migration background","(0) in school","","","",""
"Yes","1989","no migration background","(1a) inadequately completed","","","",""
"Yes","1989","no migration background","(1b) general elementary school","","","",""
"Yes","1989","no migration background","(1c) basic vocational qualification","","","",""
"Yes","1989","no migration background","(2b) intermediate general qualification","","","",""
"Yes","1989","no migration background","(2a) intermediate vocational","","","",""
"Yes","1989","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1989","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","no migration background","(3a) lower tertiary education","","","",""
"Yes","1989","no migration background","(3b) higher tertiary education","","","",""
"Yes","1989","direct migration background","(0) in school","","","",""
"Yes","1989","direct migration background","(1a) inadequately completed","","","",""
"Yes","1989","direct migration background","(1b) general elementary school","","","",""
"Yes","1989","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","1989","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","1989","direct migration background","(2a) intermediate vocational","","","",""
"Yes","1989","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1989","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","direct migration background","(3a) lower tertiary education","","","",""
"Yes","1989","direct migration background","(3b) higher tertiary education","","","",""
"Yes","1989","indirect migration background","(0) in school","","","",""
"Yes","1989","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1989","indirect migration background","(1b) general elementary school","","","",""
"Yes","1989","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","1989","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1989","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","1989","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1989","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1989","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1989","indirect migration background","(3b) higher tertiary education","","","",""
"No","1989","no migration background","(0) in school","4","","",""
"No","1989","no migration background","(1a) inadequately completed","19","","",""
"No","1989","no migration background","(1b) general elementary school","410","1","1","1"
"No","1989","no migration background","(1c) basic vocational qualification","1048","1","1","1"
"No","1989","no migration background","(2b) intermediate general qualification","122","1","1","1"
"No","1989","no migration background","(2a) intermediate vocational","466","1","1","1"
"No","1989","no migration background","(2c_gen) general maturity certificate","67","1","1","1"
"No","1989","no migration background","(2c_voc) vocational maturity certificate","100","1","1","1"
"No","1989","no migration background","(3a) lower tertiary education","81","1","1","1"
"No","1989","no migration background","(3b) higher tertiary education","173","1","1","1"
"No","1989","direct migration background","(0) in school","1","","",""
"No","1989","direct migration background","(1a) inadequately completed","275","1","1","1"
"No","1989","direct migration background","(1b) general elementary school","426","1","1","1"
"No","1989","direct migration background","(1c) basic vocational qualification","293","1","1","1"
"No","1989","direct migration background","(2b) intermediate general qualification","25","","",""
"No","1989","direct migration background","(2a) intermediate vocational","38","1","1","1"
"No","1989","direct migration background","(2c_gen) general maturity certificate","43","1","1","1"
"No","1989","direct migration background","(2c_voc) vocational maturity certificate","50","1","1","1"
"No","1989","direct migration background","(3a) lower tertiary education","7","","",""
"No","1989","direct migration background","(3b) higher tertiary education","33","1","1","1"
"No","1989","indirect migration background","(0) in school","5","","",""
"No","1989","indirect migration background","(1a) inadequately completed","5","","",""
"No","1989","indirect migration background","(1b) general elementary school","29","","",""
"No","1989","indirect migration background","(1c) basic vocational qualification","26","","",""
"No","1989","indirect migration background","(2b) intermediate general qualification","14","","",""
"No","1989","indirect migration background","(2a) intermediate vocational","8","","",""
"No","1989","indirect migration background","(2c_gen) general maturity certificate","5","","",""
"No","1989","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"No","1989","indirect migration background","(3a) lower tertiary education","","","",""
"No","1989","indirect migration background","(3b) higher tertiary education","2","","",""
"Yes","1990","no migration background","(0) in school","","","",""
"Yes","1990","no migration background","(1a) inadequately completed","","","",""
"Yes","1990","no migration background","(1b) general elementary school","","","",""
"Yes","1990","no migration background","(1c) basic vocational qualification","","","",""
"Yes","1990","no migration background","(2b) intermediate general qualification","","","",""
"Yes","1990","no migration background","(2a) intermediate vocational","","","",""
"Yes","1990","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1990","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1990","no migration background","(3a) lower tertiary education","","","",""
"Yes","1990","no migration background","(3b) higher tertiary education","","","",""
"Yes","1990","direct migration background","(0) in school","","","",""
"Yes","1990","direct migration background","(1a) inadequately completed","","","",""
"Yes","1990","direct migration background","(1b) general elementary school","","","",""
"Yes","1990","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","1990","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","1990","direct migration background","(2a) intermediate vocational","","","",""
"Yes","1990","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1990","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1990","direct migration background","(3a) lower tertiary education","","","",""
"Yes","1990","direct migration background","(3b) higher tertiary education","","","",""
"Yes","1990","indirect migration background","(0) in school","","","",""
"Yes","1990","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1990","indirect migration background","(1b) general elementary school","","","",""
"Yes","1990","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","1990","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1990","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","1990","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1990","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1990","indirect migration background","(3b) higher tertiary education","","","",""
"No","1990","no migration background","(0) in school","5","","",""
"No","1990","no migration background","(1a) inadequately completed","17","","",""
"No","1990","no migration background","(1b) general elementary school","360","1","1","1"
"No","1990","no migration background","(1c) basic vocational qualification","996","1","1","1"
"No","1990","no migration background","(2b) intermediate general qualification","111","1","1","1"
"No","1990","no migration background","(2a) intermediate vocational","460","1","1","1"
"No","1990","no migration background","(2c_gen) general maturity certificate","72","1","1","1"
"No","1990","no migration background","(2c_voc) vocational maturity certificate","96","1","1","1"
"No","1990","no migration background","(3a) lower tertiary education","82","1","1","1"
"No","1990","no migration background","(3b) higher tertiary education","147","1","1","1"
"No","1990","direct migration background","(0) in school","","","",""
"No","1990","direct migration background","(1a) inadequately completed","275","1","1","1"
"No","1990","direct migration background","(1b) general elementary school","414","1","1","1"
"No","1990","direct migration background","(1c) basic vocational qualification","285","1","1","1"
"No","1990","direct migration background","(2b) intermediate general qualification","30","1","1","1"
"No","1990","direct migration background","(2a) intermediate vocational","37","1","1","1"
"No","1990","direct migration background","(2c_gen) general maturity certificate","36","1","1","1"
"No","1990","direct migration background","(2c_voc) vocational maturity certificate","49","1","1","1"
"No","1990","direct migration background","(3a) lower tertiary education","9","","",""
"No","1990","direct migration background","(3b) higher tertiary education","28","","",""
"No","1990","indirect migration background","(0) in school","1","","",""
"No","1990","indirect migration background","(1a) inadequately completed","3","","",""
"No","1990","indirect migration background","(1b) general elementary school","40","1","1","1"
"No","1990","indirect migration background","(1c) basic vocational qualification","31","1","1","1"
"No","1990","indirect migration background","(2b) intermediate general qualification","17","","",""
"No","1990","indirect migration background","(2a) intermediate vocational","8","","",""
"No","1990","indirect migration background","(2c_gen) general maturity certificate","7","","",""
"No","1990","indirect migration background","(2c_voc) vocational maturity certificate","2","","",""
"No","1990","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","1991","no migration background","(0) in school","","","",""
"Yes","1991","no migration background","(1a) inadequately completed","","","",""
"Yes","1991","no migration background","(1b) general elementary school","","","",""
"Yes","1991","no migration background","(1c) basic vocational qualification","","","",""
"Yes","1991","no migration background","(2b) intermediate general qualification","","","",""
"Yes","1991","no migration background","(2a) intermediate vocational","","","",""
"Yes","1991","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1991","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1991","no migration background","(3a) lower tertiary education","","","",""
"Yes","1991","no migration background","(3b) higher tertiary education","","","",""
"Yes","1991","direct migration background","(0) in school","","","",""
"Yes","1991","direct migration background","(1a) inadequately completed","","","",""
"Yes","1991","direct migration background","(1b) general elementary school","","","",""
"Yes","1991","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","1991","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","1991","direct migration background","(2a) intermediate vocational","","","",""
"Yes","1991","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1991","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1991","direct migration background","(3a) lower tertiary education","","","",""
"Yes","1991","direct migration background","(3b) higher tertiary education","","","",""
"Yes","1991","indirect migration background","(0) in school","","","",""
"Yes","1991","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1991","indirect migration background","(1b) general elementary school","","","",""
"Yes","1991","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","1991","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1991","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","1991","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1991","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1991","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1991","indirect migration background","(3b) higher tertiary education","","","",""
"No","1991","no migration background","(0) in school","6","","",""
"No","1991","no migration background","(1a) inadequately completed","35","1","1","1"
"No","1991","no migration background","(1b) general elementary school","415","1","1","1"
"No","1991","no migration background","(1c) basic vocational qualification","1493","1","1","1"
"No","1991","no migration background","(2b) intermediate general qualification","186","1","1","1"
"No","1991","no migration background","(2a) intermediate vocational","1187","1","1","1"
"No","1991","no migration background","(2c_gen) general maturity certificate","66","1","1","1"
"No","1991","no migration background","(2c_voc) vocational maturity certificate","153","1","1","1"
"No","1991","no migration background","(3a) lower tertiary education","379","1","1","1"
"No","1991","no migration background","(3b) higher tertiary education","290","1","1","1"
"No","1991","direct migration background","(0) in school","1","","",""
"No","1991","direct migration background","(1a) inadequately completed","272","1","1","1"
"No","1991","direct migration background","(1b) general elementary school","403","1","1","1"
"No","1991","direct migration background","(1c) basic vocational qualification","314","1","1","1"
"No","1991","direct migration background","(2b) intermediate general qualification","26","","",""
"No","1991","direct migration background","(2a) intermediate vocational","44","1","1","1"
"No","1991","direct migration background","(2c_gen) general maturity certificate","35","1","1","1"
"No","1991","direct migration background","(2c_voc) vocational maturity certificate","57","1","1","1"
"No","1991","direct migration background","(3a) lower tertiary education","17","","",""
"No","1991","direct migration background","(3b) higher tertiary education","42","1","1","1"
"No","1991","indirect migration background","(0) in school","","","",""
"No","1991","indirect migration background","(1a) inadequately completed","4","","",""
"No","1991","indirect migration background","(1b) general elementary school","59","1","1","1"
"No","1991","indirect migration background","(1c) basic vocational qualification","33","1","1","1"
"No","1991","indirect migration background","(2b) intermediate general qualification","15","","",""
"No","1991","indirect migration background","(2a) intermediate vocational","9","","",""
"No","1991","indirect migration background","(2c_gen) general maturity certificate","11","","",""
"No","1991","indirect migration background","(2c_voc) vocational maturity certificate","2","","",""
"No","1991","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1991","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","1992","no migration background","(0) in school","","","",""
"Yes","1992","no migration background","(1a) inadequately completed","","","",""
"Yes","1992","no migration background","(1b) general elementary school","","","",""
"Yes","1992","no migration background","(1c) basic vocational qualification","","","",""
"Yes","1992","no migration background","(2b) intermediate general qualification","","","",""
"Yes","1992","no migration background","(2a) intermediate vocational","","","",""
"Yes","1992","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1992","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1992","no migration background","(3a) lower tertiary education","","","",""
"Yes","1992","no migration background","(3b) higher tertiary education","","","",""
"Yes","1992","direct migration background","(0) in school","","","",""
"Yes","1992","direct migration background","(1a) inadequately completed","","","",""
"Yes","1992","direct migration background","(1b) general elementary school","","","",""
"Yes","1992","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","1992","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","1992","direct migration background","(2a) intermediate vocational","","","",""
"Yes","1992","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1992","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1992","direct migration background","(3a) lower tertiary education","","","",""
"Yes","1992","direct migration background","(3b) higher tertiary education","","","",""
"Yes","1992","indirect migration background","(0) in school","","","",""
"Yes","1992","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1992","indirect migration background","(1b) general elementary school","","","",""
"Yes","1992","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","1992","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1992","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","1992","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1992","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1992","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1992","indirect migration background","(3b) higher tertiary education","","","",""
"No","1992","no migration background","(0) in school","8","","",""
"No","1992","no migration background","(1a) inadequately completed","35","1","1","1"
"No","1992","no migration background","(1b) general elementary school","367","1","1","1"
"No","1992","no migration background","(1c) basic vocational qualification","1320","1","1","1"
"No","1992","no migration background","(2b) intermediate general qualification","170","1","1","1"
"No","1992","no migration background","(2a) intermediate vocational","960","1","1","1"
"No","1992","no migration background","(2c_gen) general maturity certificate","71","1","1","1"
"No","1992","no migration background","(2c_voc) vocational maturity certificate","135","1","1","1"
"No","1992","no migration background","(3a) lower tertiary education","313","1","1","1"
"No","1992","no migration background","(3b) higher tertiary education","250","1","1","1"
"No","1992","direct migration background","(0) in school","1","","",""
"No","1992","direct migration background","(1a) inadequately completed","234","1","1","1"
"No","1992","direct migration background","(1b) general elementary school","400","1","1","1"
"No","1992","direct migration background","(1c) basic vocational qualification","304","1","1","1"
"No","1992","direct migration background","(2b) intermediate general qualification","27","","",""
"No","1992","direct migration background","(2a) intermediate vocational","45","1","1","1"
"No","1992","direct migration background","(2c_gen) general maturity certificate","35","1","1","1"
"No","1992","direct migration background","(2c_voc) vocational maturity certificate","55","1","1","1"
"No","1992","direct migration background","(3a) lower tertiary education","19","","",""
"No","1992","direct migration background","(3b) higher tertiary education","30","1","1","1"
"No","1992","indirect migration background","(0) in school","1","","",""
"No","1992","indirect migration background","(1a) inadequately completed","6","","",""
"No","1992","indirect migration background","(1b) general elementary school","64","1","1","1"
"No","1992","indirect migration background","(1c) basic vocational qualification","33","1","1","1"
"No","1992","indirect migration background","(2b) intermediate general qualification","19","","",""
"No","1992","indirect migration background","(2a) intermediate vocational","14","","",""
"No","1992","indirect migration background","(2c_gen) general maturity certificate","12","","",""
"No","1992","indirect migration background","(2c_voc) vocational maturity certificate","6","","",""
"No","1992","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1992","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","1993","no migration background","(0) in school","","","",""
"Yes","1993","no migration background","(1a) inadequately completed","","","",""
"Yes","1993","no migration background","(1b) general elementary school","","","",""
"Yes","1993","no migration background","(1c) basic vocational qualification","","","",""
"Yes","1993","no migration background","(2b) intermediate general qualification","","","",""
"Yes","1993","no migration background","(2a) intermediate vocational","","","",""
"Yes","1993","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1993","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1993","no migration background","(3a) lower tertiary education","","","",""
"Yes","1993","no migration background","(3b) higher tertiary education","","","",""
"Yes","1993","direct migration background","(0) in school","","","",""
"Yes","1993","direct migration background","(1a) inadequately completed","","","",""
"Yes","1993","direct migration background","(1b) general elementary school","","","",""
"Yes","1993","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","1993","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","1993","direct migration background","(2a) intermediate vocational","","","",""
"Yes","1993","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1993","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1993","direct migration background","(3a) lower tertiary education","","","",""
"Yes","1993","direct migration background","(3b) higher tertiary education","","","",""
"Yes","1993","indirect migration background","(0) in school","","","",""
"Yes","1993","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1993","indirect migration background","(1b) general elementary school","","","",""
"Yes","1993","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","1993","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1993","indirect migration background","(2a) intermediate vocational","","","",""
