"plb0196_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"No","1991","lower secondary degree","Male","1254","1","1","1"
"No","1991","lower secondary degree","Female","1058","1","1","1"
"No","1991","secondary school degree","Male","809","1","1","1"
"No","1991","secondary school degree","Female","905","1","1","1"
"No","1991","college entrance qualification","Male","391","1","1","1"
"No","1991","college entrance qualification","Female","275","1","1","1"
"No","1991","Other degree","Male","328","1","1","1"
"No","1991","Other degree","Female","216","1","1","1"
"No","1991","no degree/no degree yet","Male","156","1","1","1"
"No","1991","no degree/no degree yet","Female","146","1","1","1"
"Yes","1992","lower secondary degree","Male","","","",""
"Yes","1992","lower secondary degree","Female","","","",""
"Yes","1992","secondary school degree","Male","","","",""
"Yes","1992","secondary school degree","Female","","","",""
"Yes","1992","college entrance qualification","Male","","","",""
"Yes","1992","college entrance qualification","Female","","","",""
"Yes","1992","Other degree","Male","","","",""
"Yes","1992","Other degree","Female","","","",""
"Yes","1992","no degree/no degree yet","Male","","","",""
"Yes","1992","no degree/no degree yet","Female","","","",""
"No","1992","lower secondary degree","Male","1156","1","1","1"
"No","1992","lower secondary degree","Female","916","1","1","1"
"No","1992","secondary school degree","Male","655","1","1","1"
"No","1992","secondary school degree","Female","776","1","1","1"
"No","1992","college entrance qualification","Male","369","1","1","1"
"No","1992","college entrance qualification","Female","247","1","1","1"
"No","1992","Other degree","Male","334","1","1","1"
"No","1992","Other degree","Female","195","1","1","1"
"No","1992","no degree/no degree yet","Male","141","1","1","1"
"No","1992","no degree/no degree yet","Female","130","1","1","1"
"Yes","1993","lower secondary degree","Male","","","",""
"Yes","1993","lower secondary degree","Female","","","",""
"Yes","1993","secondary school degree","Male","","","",""
"Yes","1993","secondary school degree","Female","","","",""
"Yes","1993","college entrance qualification","Male","","","",""
"Yes","1993","college entrance qualification","Female","","","",""
"Yes","1993","Other degree","Male","","","",""
"Yes","1993","Other degree","Female","","","",""
"Yes","1993","no degree/no degree yet","Male","","","",""
"Yes","1993","no degree/no degree yet","Female","","","",""
"No","1993","lower secondary degree","Male","1107","1","1","1"
"No","1993","lower secondary degree","Female","864","1","1","1"
"No","1993","secondary school degree","Male","652","1","1","1"
"No","1993","secondary school degree","Female","777","1","1","1"
"No","1993","college entrance qualification","Male","367","1","1","1"
"No","1993","college entrance qualification","Female","271","1","1","1"
"No","1993","Other degree","Male","332","1","1","1"
"No","1993","Other degree","Female","186","1","1","1"
"No","1993","no degree/no degree yet","Male","144","1","1","1"
"No","1993","no degree/no degree yet","Female","130","1","1","1"
"Yes","1994","lower secondary degree","Male","","","",""
"Yes","1994","lower secondary degree","Female","","","",""
"Yes","1994","secondary school degree","Male","","","",""
"Yes","1994","secondary school degree","Female","","","",""
"Yes","1994","college entrance qualification","Male","","","",""
"Yes","1994","college entrance qualification","Female","","","",""
"Yes","1994","Other degree","Male","","","",""
"Yes","1994","Other degree","Female","","","",""
"Yes","1994","no degree/no degree yet","Male","","","",""
"Yes","1994","no degree/no degree yet","Female","","","",""
"No","1994","lower secondary degree","Male","984","1","1","1"
"No","1994","lower secondary degree","Female","770","1","1","1"
"No","1994","secondary school degree","Male","623","1","1","1"
"No","1994","secondary school degree","Female","729","1","1","1"
"No","1994","college entrance qualification","Male","371","1","1","1"
"No","1994","college entrance qualification","Female","292","1","1","1"
"No","1994","Other degree","Male","270","1","1","1"
"No","1994","Other degree","Female","161","1","1","1"
"No","1994","no degree/no degree yet","Male","125","1","1","1"
"No","1994","no degree/no degree yet","Female","122","1","1","1"
"Yes","1995","lower secondary degree","Male","","","",""
"Yes","1995","lower secondary degree","Female","","","",""
"Yes","1995","secondary school degree","Male","","","",""
"Yes","1995","secondary school degree","Female","","","",""
"Yes","1995","college entrance qualification","Male","","","",""
"Yes","1995","college entrance qualification","Female","","","",""
"Yes","1995","Other degree","Male","","","",""
"Yes","1995","Other degree","Female","","","",""
"Yes","1995","no degree/no degree yet","Male","","","",""
"Yes","1995","no degree/no degree yet","Female","","","",""
"No","1995","lower secondary degree","Male","944","1","1","1"
"No","1995","lower secondary degree","Female","728","1","1","1"
"No","1995","secondary school degree","Male","614","1","1","1"
"No","1995","secondary school degree","Female","767","1","1","1"
"No","1995","college entrance qualification","Male","369","1","1","1"
"No","1995","college entrance qualification","Female","300","1","1","1"
"No","1995","Other degree","Male","320","1","1","1"
"No","1995","Other degree","Female","207","1","1","1"
"No","1995","no degree/no degree yet","Male","107","1","1","1"
"No","1995","no degree/no degree yet","Female","97","1","1","1"
"Yes","1996","lower secondary degree","Male","","","",""
"Yes","1996","lower secondary degree","Female","","","",""
"Yes","1996","secondary school degree","Male","","","",""
"Yes","1996","secondary school degree","Female","","","",""
"Yes","1996","college entrance qualification","Male","","","",""
"Yes","1996","college entrance qualification","Female","","","",""
"Yes","1996","Other degree","Male","","","",""
"Yes","1996","Other degree","Female","","","",""
"Yes","1996","no degree/no degree yet","Male","","","",""
"Yes","1996","no degree/no degree yet","Female","","","",""
"No","1996","lower secondary degree","Male","918","1","1","1"
"No","1996","lower secondary degree","Female","704","1","1","1"
"No","1996","secondary school degree","Male","599","1","1","1"
"No","1996","secondary school degree","Female","769","1","1","1"
"No","1996","college entrance qualification","Male","370","1","1","1"
"No","1996","college entrance qualification","Female","294","1","1","1"
"No","1996","Other degree","Male","289","1","1","1"
"No","1996","Other degree","Female","184","1","1","1"
"No","1996","no degree/no degree yet","Male","98","1","1","1"
"No","1996","no degree/no degree yet","Female","91","1","1","1"
"Yes","1997","lower secondary degree","Male","","","",""
"Yes","1997","lower secondary degree","Female","","","",""
"Yes","1997","secondary school degree","Male","","","",""
"Yes","1997","secondary school degree","Female","","","",""
"Yes","1997","college entrance qualification","Male","","","",""
"Yes","1997","college entrance qualification","Female","","","",""
"Yes","1997","Other degree","Male","","","",""
"Yes","1997","Other degree","Female","","","",""
"Yes","1997","no degree/no degree yet","Male","","","",""
"Yes","1997","no degree/no degree yet","Female","","","",""
"No","1997","lower secondary degree","Male","338","1","1","1"
"No","1997","lower secondary degree","Female","174","1","1","1"
"No","1997","secondary school degree","Male","247","1","1","1"
"No","1997","secondary school degree","Female","252","1","1","1"
"No","1997","college entrance qualification","Male","111","1","1","1"
"No","1997","college entrance qualification","Female","100","1","1","1"
"No","1997","Other degree","Male","87","1","1","1"
"No","1997","Other degree","Female","27","","",""
"No","1997","no degree/no degree yet","Male","26","","",""
"No","1997","no degree/no degree yet","Female","17","","",""
"Yes","1998","lower secondary degree","Male","","","",""
"Yes","1998","lower secondary degree","Female","","","",""
"Yes","1998","secondary school degree","Male","","","",""
"Yes","1998","secondary school degree","Female","","","",""
"Yes","1998","college entrance qualification","Male","","","",""
"Yes","1998","college entrance qualification","Female","","","",""
"Yes","1998","Other degree","Male","","","",""
"Yes","1998","Other degree","Female","","","",""
"Yes","1998","no degree/no degree yet","Male","","","",""
"Yes","1998","no degree/no degree yet","Female","","","",""
"No","1998","lower secondary degree","Male","337","1","1","1"
"No","1998","lower secondary degree","Female","198","1","1","1"
"No","1998","secondary school degree","Male","282","1","1","1"
"No","1998","secondary school degree","Female","264","1","1","1"
"No","1998","college entrance qualification","Male","120","1","1","1"
"No","1998","college entrance qualification","Female","109","1","1","1"
"No","1998","Other degree","Male","61","1","1","1"
"No","1998","Other degree","Female","31","1","1","1"
"No","1998","no degree/no degree yet","Male","21","","",""
"No","1998","no degree/no degree yet","Female","13","","",""
"Yes","1999","lower secondary degree","Male","","","",""
"Yes","1999","lower secondary degree","Female","","","",""
"Yes","1999","secondary school degree","Male","","","",""
"Yes","1999","secondary school degree","Female","","","",""
"Yes","1999","college entrance qualification","Male","","","",""
"Yes","1999","college entrance qualification","Female","","","",""
"Yes","1999","Other degree","Male","","","",""
"Yes","1999","Other degree","Female","","","",""
"Yes","1999","no degree/no degree yet","Male","","","",""
"Yes","1999","no degree/no degree yet","Female","","","",""
"No","1999","lower secondary degree","Male","321","1","1","1"
"No","1999","lower secondary degree","Female","171","1","1","1"
"No","1999","secondary school degree","Male","271","1","1","1"
"No","1999","secondary school degree","Female","285","1","1","1"
"No","1999","college entrance qualification","Male","119","1","1","1"
"No","1999","college entrance qualification","Female","98","1","1","1"
"No","1999","Other degree","Male","49","1","1","1"
"No","1999","Other degree","Female","23","","",""
"No","1999","no degree/no degree yet","Male","22","","",""
"No","1999","no degree/no degree yet","Female","10","","",""
"Yes","2000","lower secondary degree","Male","","","",""
"Yes","2000","lower secondary degree","Female","","","",""
"Yes","2000","secondary school degree","Male","","","",""
"Yes","2000","secondary school degree","Female","","","",""
"Yes","2000","college entrance qualification","Male","","","",""
"Yes","2000","college entrance qualification","Female","","","",""
"Yes","2000","Other degree","Male","","","",""
"Yes","2000","Other degree","Female","","","",""
"Yes","2000","no degree/no degree yet","Male","","","",""
"Yes","2000","no degree/no degree yet","Female","","","",""
"No","2000","lower secondary degree","Male","563","1","1","1"
"No","2000","lower secondary degree","Female","298","1","1","1"
"No","2000","secondary school degree","Male","484","1","1","1"
"No","2000","secondary school degree","Female","499","1","1","1"
"No","2000","college entrance qualification","Male","276","1","1","1"
"No","2000","college entrance qualification","Female","236","1","1","1"
"No","2000","Other degree","Male","89","1","1","1"
"No","2000","Other degree","Female","45","1","1","1"
"No","2000","no degree/no degree yet","Male","20","","",""
"No","2000","no degree/no degree yet","Female","9","","",""
"Yes","2001","lower secondary degree","Male","","","",""
"Yes","2001","lower secondary degree","Female","","","",""
"Yes","2001","secondary school degree","Male","","","",""
"Yes","2001","secondary school degree","Female","","","",""
"Yes","2001","college entrance qualification","Male","","","",""
"Yes","2001","college entrance qualification","Female","","","",""
"Yes","2001","Other degree","Male","","","",""
"Yes","2001","Other degree","Female","","","",""
"Yes","2001","no degree/no degree yet","Male","","","",""
"Yes","2001","no degree/no degree yet","Female","","","",""
"No","2001","lower secondary degree","Male","510","1","1","1"
"No","2001","lower secondary degree","Female","298","1","1","1"
"No","2001","secondary school degree","Male","423","1","1","1"
"No","2001","secondary school degree","Female","462","1","1","1"
"No","2001","college entrance qualification","Male","293","1","1","1"
"No","2001","college entrance qualification","Female","217","1","1","1"
"No","2001","Other degree","Male","83","1","1","1"
"No","2001","Other degree","Female","43","1","1","1"
"No","2001","no degree/no degree yet","Male","12","","",""
"No","2001","no degree/no degree yet","Female","9","","",""
"Yes","2002","lower secondary degree","Male","860","0.634931205745757","0.608998084507378","0.660864326984135"
"Yes","2002","lower secondary degree","Female","402","0.604919846494815","0.567221408530087","0.642618284459544"
"Yes","2002","secondary school degree","Male","1068","0.712904257473924","0.690085678374764","0.735722836573084"
"Yes","2002","secondary school degree","Female","1035","0.694731373912592","0.671324568282244","0.71813817954294"
"Yes","2002","college entrance qualification","Male","1206","0.785590970844733","0.764931544072756","0.806250397616711"
"Yes","2002","college entrance qualification","Female","786","0.747859069173176","0.721668333945367","0.774049804400984"
"Yes","2002","Other degree","Male","120","0.594745246481658","0.526362735397631","0.663127757565685"
"Yes","2002","Other degree","Female","72","0.611446772001552","0.519942908575727","0.702950635427377"
"Yes","2002","no degree/no degree yet","Male","20","","",""
"Yes","2002","no degree/no degree yet","Female","17","","",""
"No","2002","lower secondary degree","Male","464","0.365068794254243","0.339135673015865","0.391001915492622"
"No","2002","lower secondary degree","Female","244","0.395080153505185","0.357381715540456","0.432778591469913"
"No","2002","secondary school degree","Male","442","0.287095742526076","0.264277163426916","0.309914321625236"
"No","2002","secondary school degree","Female","452","0.305268626087408","0.28186182045706","0.328675431717756"
"No","2002","college entrance qualification","Male","310","0.214409029155267","0.193749602383289","0.235068455927244"
"No","2002","college entrance qualification","Female","270","0.252140930826824","0.225950195599016","0.278331666054633"
"No","2002","Other degree","Male","78","0.405254753518342","0.336872242434315","0.473637264602369"
"No","2002","Other degree","Female","37","0.388553227998448","0.297049364572623","0.480057091424273"
"No","2002","no degree/no degree yet","Male","19","","",""
"No","2002","no degree/no degree yet","Female","8","","",""
"Yes","2003","lower secondary degree","Male","800","0.649633539757746","0.622917287906409","0.676349791609083"
"Yes","2003","lower secondary degree","Female","395","0.622814545301651","0.58502719901203","0.660601891591271"
"Yes","2003","secondary school degree","Male","1027","0.73878219904787","0.715868756744437","0.761695641351304"
"Yes","2003","secondary school degree","Female","980","0.663996812310298","0.639859080886267","0.688134543734329"
"Yes","2003","college entrance qualification","Male","1127","0.793301946293064","0.772044839339166","0.814559053246962"
"Yes","2003","college entrance qualification","Female","754","0.762403997482237","0.736733855010956","0.788074139953518"
"Yes","2003","Other degree","Male","95","0.49212140770858","0.418470595549482","0.565772219867677"
"Yes","2003","Other degree","Female","68","0.624701652158573","0.53252523742547","0.716878066891676"
"Yes","2003","no degree/no degree yet","Male","17","","",""
"Yes","2003","no degree/no degree yet","Female","10","","",""
"No","2003","lower secondary degree","Male","425","0.350366460242254","0.323650208390917","0.377082712093591"
"No","2003","lower secondary degree","Female","237","0.377185454698349","0.339398108408729","0.41497280098797"
"No","2003","secondary school degree","Male","385","0.26121780095213","0.238304358648696","0.284131243255563"
"No","2003","secondary school degree","Female","491","0.336003187689702","0.31186545626567","0.360140919113733"
"No","2003","college entrance qualification","Male","267","0.206698053706936","0.185440946753038","0.227955160660834"
"No","2003","college entrance qualification","Female","302","0.237596002517763","0.211925860046482","0.263266144989044"
"No","2003","Other degree","Male","82","0.50787859229142","0.434227780132323","0.581529404450518"
"No","2003","Other degree","Female","38","0.375298347841427","0.283121933108324","0.46747476257453"
"No","2003","no degree/no degree yet","Male","10","","",""
"No","2003","no degree/no degree yet","Female","5","","",""
"Yes","2004","lower secondary degree","Male","783","0.660519926205913","0.633363239914071","0.687676612497756"
"Yes","2004","lower secondary degree","Female","358","0.596874634383814","0.556885150761819","0.636864118005809"
"Yes","2004","secondary school degree","Male","1020","0.735523789621735","0.712354103948033","0.758693475295437"
"Yes","2004","secondary school degree","Female","992","0.685502676273837","0.661301501910096","0.709703850637577"
"Yes","2004","college entrance qualification","Male","1067","0.79569147153034","0.774183631073233","0.817199311987446"
"Yes","2004","college entrance qualification","Female","716","0.704823160121438","0.676927021539408","0.732719298703468"
"Yes","2004","Other degree","Male","100","0.579278607468066","0.502784295524665","0.655772919411468"
"Yes","2004","Other degree","Female","69","0.731028208977842","0.64323609866859","0.818820319287095"
"Yes","2004","no degree/no degree yet","Male","13","","",""
"Yes","2004","no degree/no degree yet","Female","12","","",""
"No","2004","lower secondary degree","Male","385","0.339480073794087","0.312323387502244","0.36663676008593"
"No","2004","lower secondary degree","Female","220","0.403125365616186","0.363135881994191","0.443114849238181"
"No","2004","secondary school degree","Male","372","0.264476210378265","0.241306524704563","0.287645896051967"
"No","2004","secondary school degree","Female","422","0.314497323726163","0.290296149362423","0.338698498089904"
"No","2004","college entrance qualification","Male","283","0.20430852846966","0.182800688012554","0.225816368926767"
"No","2004","college entrance qualification","Female","311","0.295176839878562","0.267280701296532","0.323072978460592"
"No","2004","Other degree","Male","60","0.420721392531934","0.344227080588532","0.497215704475335"
"No","2004","Other degree","Female","29","","",""
"No","2004","no degree/no degree yet","Male","7","","",""
"No","2004","no degree/no degree yet","Female","5","","",""
"Yes","2005","lower secondary degree","Male","722","0.684370905633184","0.65608350791952","0.712658303346849"
"Yes","2005","lower secondary degree","Female","326","0.635416170800051","0.594361841426947","0.676470500173155"
"Yes","2005","secondary school degree","Male","932","0.724318140921178","0.700110802406939","0.748525479435416"
"Yes","2005","secondary school degree","Female","903","0.695018107011152","0.670077136136184","0.71995907788612"
"Yes","2005","college entrance qualification","Male","980","0.768040894165273","0.744433568409495","0.79164821992105"
"Yes","2005","college entrance qualification","Female","706","0.698860086063017","0.670152751746745","0.72756742037929"
"Yes","2005","Other degree","Male","105","0.675497971640257","0.601311774693812","0.749684168586703"
"Yes","2005","Other degree","Female","58","0.593492512434714","0.495237577746487","0.691747447122942"
"Yes","2005","no degree/no degree yet","Male","13","","",""
"Yes","2005","no degree/no degree yet","Female","11","","",""
"No","2005","lower secondary degree","Male","315","0.315629094366816","0.287341696653151","0.34391649208048"
"No","2005","lower secondary degree","Female","202","0.364583829199949","0.323529499826845","0.405638158573053"
"No","2005","secondary school degree","Male","377","0.275681859078822","0.251474520564584","0.299889197593061"
"No","2005","secondary school degree","Female","406","0.304981892988848","0.28004092211388","0.329922863863816"
"No","2005","college entrance qualification","Male","248","0.231959105834727","0.20835178007895","0.255566431590505"
"No","2005","college entrance qualification","Female","275","0.301139913936983","0.27243257962071","0.329847248253255"
"No","2005","Other degree","Male","48","0.324502028359743","0.250315831413297","0.398688225306188"
"No","2005","Other degree","Female","38","0.406507487565286","0.308252552877058","0.504762422253513"
"No","2005","no degree/no degree yet","Male","11","","",""
"No","2005","no degree/no degree yet","Female","5","","",""
"Yes","2006","lower secondary degree","Male","792","0.70253156199308","0.675710908194549","0.72935221579161"
"Yes","2006","lower secondary degree","Female","378","0.630809817590272","0.591770399629524","0.669849235551021"
"Yes","2006","secondary school degree","Male","1011","0.732801738167852","0.709318879430773","0.756284596904932"
"Yes","2006","secondary school degree","Female","1070","0.721368954115206","0.698703622528903","0.74403428570151"
"Yes","2006","college entrance qualification","Male","1079","0.796606048274754","0.77495694708417","0.818255149465338"
"Yes","2006","college entrance qualification","Female","838","0.734321463912702","0.708726387826541","0.759916539998863"
"Yes","2006","Other degree","Male","106","0.630487021374888","0.555225590387936","0.70574845236184"
"Yes","2006","Other degree","Female","81","0.67467743475844","0.590854540040135","0.758500329476746"
"Yes","2006","no degree/no degree yet","Male","15","","",""
"Yes","2006","no degree/no degree yet","Female","4","","",""
"No","2006","lower secondary degree","Male","324","0.29746843800692","0.27064778420839","0.324289091805451"
"No","2006","lower secondary degree","Female","209","0.369190182409728","0.330150764448979","0.408229600370476"
"No","2006","secondary school degree","Male","353","0.267198261832148","0.243715403095068","0.290681120569227"
"No","2006","secondary school degree","Female","433","0.278631045884794","0.25596571429849","0.301296377471097"
"No","2006","college entrance qualification","Male","249","0.203393951725246","0.181744850534662","0.22504305291583"
"No","2006","college entrance qualification","Female","306","0.265678536087298","0.240083460001137","0.291273612173459"
"No","2006","Other degree","Male","52","0.369512978625112","0.294251547638159","0.444774409612065"
"No","2006","Other degree","Female","39","0.32532256524156","0.241499670523254","0.409145459959865"
"No","2006","no degree/no degree yet","Male","11","","",""
"No","2006","no degree/no degree yet","Female","4","","",""
"Yes","2007","lower secondary degree","Male","747","0.729283884753835","0.702161734256008","0.756406035251663"
"Yes","2007","lower secondary degree","Female","339","0.665751257028359","0.624970299339736","0.706532214716981"
"Yes","2007","secondary school degree","Male","993","0.751883717428219","0.728547894580599","0.775219540275838"
"Yes","2007","secondary school degree","Female","968","0.724041407134534","0.700214733946911","0.747868080322157"
"Yes","2007","college entrance qualification","Male","1036","0.825900296603773","0.805037135741651","0.846763457465894"
"Yes","2007","college entrance qualification","Female","796","0.747118868030322","0.721159548449256","0.773078187611389"
"Yes","2007","Other degree","Male","102","0.744353353917241","0.671307186901129","0.817399520933354"
"Yes","2007","Other degree","Female","69","0.724666438675189","0.637118335445873","0.812214541904506"
"Yes","2007","no degree/no degree yet","Male","9","","",""
"Yes","2007","no degree/no degree yet","Female","5","","",""
"No","2007","lower secondary degree","Male","284","0.270716115246165","0.243593964748337","0.297838265743992"
"No","2007","lower secondary degree","Female","175","0.334248742971641","0.293467785283019","0.375029700660264"
"No","2007","secondary school degree","Male","323","0.248116282571781","0.224780459724162","0.271452105419401"
"No","2007","secondary school degree","Female","384","0.275958592865466","0.252131919677843","0.299785266053089"
"No","2007","college entrance qualification","Male","233","0.174099703396227","0.153236542534106","0.194962864258349"
"No","2007","college entrance qualification","Female","281","0.252881131969678","0.226921812388611","0.278840451550744"
"No","2007","Other degree","Male","35","0.255646646082759","0.182600479066646","0.328692813098871"
"No","2007","Other degree","Female","31","0.275333561324811","0.187785458095494","0.362881664554127"
"No","2007","no degree/no degree yet","Male","6","","",""
"No","2007","no degree/no degree yet","Female","8","","",""
"Yes","2008","lower secondary degree","Male","696","0.709753358074513","0.681408955629552","0.738097760519473"
"Yes","2008","lower secondary degree","Female","319","0.634331459875211","0.592936416345982","0.675726503404441"
"Yes","2008","secondary school degree","Male","948","0.732885733663044","0.708675362993424","0.757096104332663"
"Yes","2008","secondary school degree","Female","980","0.708768612494134","0.684710633825122","0.732826591163146"
"Yes","2008","college entrance qualification","Male","951","0.788172755171789","0.765111865654576","0.811233644689001"
"Yes","2008","college entrance qualification","Female","791","0.725803351824863","0.699110880454897","0.752495823194828"
"Yes","2008","Other degree","Male","86","0.652566073356839","0.567725466987171","0.737406679726507"
"Yes","2008","Other degree","Female","70","0.66608997152291","0.574567195597072","0.757612747448748"
"Yes","2008","no degree/no degree yet","Male","12","","",""
"Yes","2008","no degree/no degree yet","Female","7","","",""
"No","2008","lower secondary degree","Male","289","0.290246641925487","0.261902239480527","0.318591044370448"
"No","2008","lower secondary degree","Female","201","0.365668540124789","0.324273496595559","0.407063583654018"
"No","2008","secondary school degree","Male","335","0.267114266336957","0.242903895667337","0.291324637006576"
"No","2008","secondary school degree","Female","390","0.291231387505866","0.267173408836854","0.315289366174878"
"No","2008","college entrance qualification","Male","255","0.211827244828212","0.188766355310999","0.234888134345424"
"No","2008","college entrance qualification","Female","282","0.274196648175137","0.247504176805172","0.300889119545103"
"No","2008","Other degree","Male","35","0.347433926643161","0.262593320273493","0.432274533012829"
"No","2008","Other degree","Female","32","0.33391002847709","0.242387252551252","0.425432804402928"
"No","2008","no degree/no degree yet","Male","8","","",""
"No","2008","no degree/no degree yet","Female","6","","",""
"Yes","2009","lower secondary degree","Male","530","0.656636583826751","0.624294166932392","0.688979000721109"
"Yes","2009","lower secondary degree","Female","289","0.641780011961581","0.597029624767979","0.686530399155184"
"Yes","2009","secondary school degree","Male","790","0.707427861038219","0.680760210669858","0.734095511406581"
"Yes","2009","secondary school degree","Female","838","0.67496651977507","0.648662046403102","0.701270993147038"
"Yes","2009","college entrance qualification","Male","880","0.808513525324267","0.785376700514928","0.831650350133606"
"Yes","2009","college entrance qualification","Female","748","0.757601838412941","0.73110767376399","0.784096003061893"
"Yes","2009","Other degree","Male","58","0.665037746878456","0.568593736747629","0.761481757009283"
"Yes","2009","Other degree","Female","43","0.425981121434057","0.311761660273649","0.540200582594466"
"Yes","2009","no degree/no degree yet","Male","11","","",""
"Yes","2009","no degree/no degree yet","Female","4","","",""
"No","2009","lower secondary degree","Male","298","0.343363416173249","0.311020999278891","0.375705833067608"
