"plb0196_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1998","direct migration background","West Germany","202","1","1","1","2"
"No","1998","direct migration background","East Germany","3","","","","2"
"No","1998","indirect migration background","West Germany","47","1","1","1","2"
"No","1998","indirect migration background","East Germany","1","","","","2"
"Yes","1998","no migration background","West Germany","","","","","1"
"Yes","1998","no migration background","East Germany","","","","","1"
"Yes","1998","direct migration background","West Germany","","","","","1"
"Yes","1998","direct migration background","East Germany","","","","","1"
"Yes","1998","indirect migration background","West Germany","","","","","1"
"Yes","1998","indirect migration background","East Germany","","","","","1"
"No","1999","no migration background","West Germany","734","1","1","1","2"
"No","1999","no migration background","East Germany","453","1","1","1","2"
"No","1999","indirect migration background","West Germany","55","1","1","1","2"
"No","1999","direct migration background","West Germany","158","1","1","1","2"
"No","1999","direct migration background","East Germany","11","","","","2"
"No","1999","indirect migration background","East Germany","2","","","","2"
"Yes","1999","no migration background","West Germany","","","","","1"
"Yes","1999","no migration background","East Germany","","","","","1"
"Yes","1999","direct migration background","West Germany","","","","","1"
"Yes","1999","direct migration background","East Germany","","","","","1"
"Yes","1999","indirect migration background","West Germany","","","","","1"
"Yes","1999","indirect migration background","East Germany","","","","","1"
"No","2000","no migration background","West Germany","1455","1","1","1","2"
"No","2000","no migration background","East Germany","672","1","1","1","2"
"No","2000","indirect migration background","West Germany","70","1","1","1","2"
"No","2000","direct migration background","West Germany","316","1","1","1","2"
"No","2000","direct migration background","East Germany","6","","","","2"
"No","2000","indirect migration background","East Germany","3","","","","2"
"Yes","2000","no migration background","West Germany","","","","","1"
"Yes","2000","direct migration background","West Germany","","","","","1"
"Yes","2000","no migration background","East Germany","","","","","1"
"Yes","2000","direct migration background","East Germany","","","","","1"
"Yes","2000","indirect migration background","West Germany","","","","","1"
"Yes","2000","indirect migration background","East Germany","","","","","1"
"No","2001","no migration background","West Germany","","","","","2"
"No","2001","no migration background","East Germany","","","","","2"
"No","2001","indirect migration background","West Germany","","","","","2"
"No","2001","direct migration background","West Germany","","","","","2"
"No","2001","direct migration background","East Germany","","","","","2"
"No","2001","indirect migration background","East Germany","","","","","2"
"Yes","2001","no migration background","West Germany","","","","","1"
"Yes","2001","direct migration background","West Germany","","","","","1"
"Yes","2001","no migration background","East Germany","","","","","1"
"Yes","2001","direct migration background","East Germany","","","","","1"
"Yes","2001","indirect migration background","West Germany","","","","","1"
"Yes","2001","indirect migration background","East Germany","","","","","1"
"No","2002","no migration background","West Germany","1390","0.288721120053022","0.276213840973212","0.301228399132833","2"
"No","2002","no migration background","East Germany","625","0.337338799946825","0.316305169344427","0.358372430549223","2"
"No","2002","indirect migration background","West Germany","72","0.327111565886687","0.268603048096908","0.385620083676465","2"
"No","2002","direct migration background","West Germany","240","0.371206452349126","0.335288010774473","0.407124893923779","2"
"No","2002","direct migration background","East Germany","12","","","","2"
"No","2002","indirect migration background","East Germany","2","","","","2"
"Yes","2002","no migration background","West Germany","3653","0.711278879946978","0.698771600867167","0.723786159026788","1"
"Yes","2002","direct migration background","West Germany","455","0.628793547650874","0.592875106076221","0.664711989225527","1"
"Yes","2002","no migration background","East Germany","1316","0.662661200053175","0.641627569450777","0.683694830655573","1"
"Yes","2002","direct migration background","East Germany","6","","","","1"
"Yes","2002","indirect migration background","West Germany","175","0.672888434113313","0.614379916323535","0.731396951903092","1"
"Yes","2002","indirect migration background","East Germany","7","","","","1"
"No","2003","no migration background","West Germany","1368","0.289437896469902","0.276655020672914","0.30222077226689","2"
"No","2003","no migration background","East Germany","574","0.330154300702202","0.308643448380496","0.351665153023909","2"
"No","2003","direct migration background","West Germany","226","0.344038802676074","0.306972761817286","0.381104843534862","2"
"No","2003","indirect migration background","West Germany","85","0.314333977626737","0.256900751928645","0.371767203324829","2"
"No","2003","direct migration background","East Germany","8","","","","2"
"No","2003","indirect migration background","East Germany","2","","","","2"
"Yes","2003","no migration background","West Germany","3467","0.710562103530098","0.69777922773311","0.723344979327086","1"
"Yes","2003","direct migration background","West Germany","405","0.655961197323926","0.618895156465138","0.693027238182714","1"
"Yes","2003","direct migration background","East Germany","9","","","","1"
"Yes","2003","no migration background","East Germany","1262","0.669845699297798","0.648334846976091","0.691356551619504","1"
"Yes","2003","indirect migration background","West Germany","166","0.685666022373263","0.628232796675171","0.743099248071355","1"
"Yes","2003","indirect migration background","East Germany","8","","","","1"
"No","2004","no migration background","West Germany","1295","0.291036328513821","0.277986028555848","0.304086628471794","2"
"No","2004","no migration background","East Germany","546","0.313702759868825","0.292195770037826","0.335209749699823","2"
"No","2004","direct migration background","West Germany","201","0.346267748262165","0.308102604511353","0.384432892012977","2"
"No","2004","indirect migration background","West Germany","65","0.266962831341937","0.210642874165409","0.323282788518465","2"
"No","2004","direct migration background","East Germany","7","","","","2"
"No","2004","indirect migration background","East Germany","2","","","","2"
"Yes","2004","no migration background","West Germany","3359","0.708963671486179","0.695913371528206","0.722013971444152","1"
"Yes","2004","direct migration background","West Germany","396","0.653732251737835","0.615567107987023","0.691897395488647","1"
"Yes","2004","direct migration background","East Germany","8","","","","1"
"Yes","2004","no migration background","East Germany","1242","0.686297240131176","0.664790250300177","0.707804229962174","1"
"Yes","2004","indirect migration background","West Germany","172","0.733037168658063","0.676717211481535","0.789357125834591","1"
"Yes","2004","indirect migration background","East Germany","5","","","","1"
"No","2005","no migration background","West Germany","1176","0.284484703555417","0.270965017024396","0.298004390086438","2"
"No","2005","no migration background","East Germany","529","0.335477714091033","0.312812130597563","0.358143297584503","2"
"No","2005","direct migration background","West Germany","179","0.368850389174245","0.32874506994102","0.408955708407471","2"
"No","2005","indirect migration background","West Germany","62","0.236545608695129","0.18300424828491","0.290086969105348","2"
"No","2005","direct migration background","East Germany","6","","","","2"
"No","2005","indirect migration background","East Germany","3","","","","2"
"Yes","2005","no migration background","West Germany","3102","0.715515296444583","0.701995609913562","0.729034982975604","1"
"Yes","2005","direct migration background","West Germany","377","0.631149610825755","0.591044291592529","0.671254930058981","1"
"Yes","2005","direct migration background","East Germany","8","","","","1"
"Yes","2005","no migration background","East Germany","1138","0.664522285908967","0.641856702415497","0.687187869402437","1"
"Yes","2005","indirect migration background","West Germany","180","0.763454391304871","0.709913030894652","0.81699575171509","1"
"Yes","2005","indirect migration background","East Germany","7","","","","1"
"No","2006","no migration background","West Germany","1243","0.267054878399724","0.254500958019447","0.279608798780001","2"
"No","2006","no migration background","East Germany","520","0.301727474372049","0.280487363584363","0.322967585159734","2"
"No","2006","direct migration background","West Germany","181","0.303756739555206","0.267142059601316","0.340371419509096","2"
"No","2006","direct migration background","East Germany","8","","","","2"
"No","2006","indirect migration background","West Germany","55","0.255042406932276","0.203050208238616","0.307034605625936","2"
"No","2006","indirect migration background","East Germany","4","","","","2"
"Yes","2006","no migration background","West Germany","3528","0.732945121600276","0.720391201219999","0.745499041980553","1"
"Yes","2006","direct migration background","West Germany","425","0.696243260444794","0.659628580490904","0.732857940398684","1"
"Yes","2006","direct migration background","East Germany","6","","","","1"
"Yes","2006","no migration background","East Germany","1274","0.698272525627951","0.677032414840266","0.719512636415637","1"
"Yes","2006","indirect migration background","West Germany","215","0.744957593067724","0.692965394374064","0.796949791761384","1"
"Yes","2006","indirect migration background","East Germany","7","","","","1"
"No","2007","no migration background","West Germany","1072","0.240908585273774","0.22827444817908","0.253542722368469","2"
"No","2007","no migration background","East Germany","522","0.312010364340496","0.290290713714744","0.333730014966247","2"
"No","2007","direct migration background","West Germany","131","0.250396109222266","0.212684608489312","0.28810760995522","2"
"No","2007","direct migration background","East Germany","6","","","","2"
"No","2007","indirect migration background","West Germany","63","0.264409510321302","0.21180502235161","0.317013998290994","2"
"No","2007","indirect migration background","East Germany","7","","","","2"
"Yes","2007","no migration background","West Germany","3329","0.759091414726226","0.746457277631531","0.77172555182092","1"
"Yes","2007","no migration background","East Germany","1226","0.687989635659505","0.666269985033753","0.709709286285257","1"
"Yes","2007","direct migration background","West Germany","376","0.749603890777734","0.71189239004478","0.787315391510688","1"
"Yes","2007","direct migration background","East Germany","9","","","","1"
"Yes","2007","indirect migration background","West Germany","207","0.735590489678698","0.682986001709006","0.788194977648391","1"
"Yes","2007","indirect migration background","East Germany","9","","","","1"
"No","2008","no migration background","West Germany","1143","0.272273130707514","0.25903917040007","0.285507091014958","2"
"No","2008","no migration background","East Germany","514","0.323839017690878","0.301653646494547","0.346024388887208","2"
"No","2008","direct migration background","West Germany","131","0.274694433921805","0.235530775587765","0.313858092255845","2"
"No","2008","direct migration background","East Germany","2","","","","2"
"No","2008","indirect migration background","West Germany","70","0.216922852248455","0.16663151701413","0.26721418748278","2"
"No","2008","indirect migration background","East Germany","6","","","","2"
"Yes","2008","no migration background","West Germany","3203","0.727726869292486","0.714492908985042","0.74096082959993","1"
"Yes","2008","no migration background","East Germany","1195","0.676160982309122","0.653975611112791","0.698346353505453","1"
"Yes","2008","direct migration background","West Germany","368","0.725305566078195","0.686141907744155","0.764469224412234","1"
"Yes","2008","direct migration background","East Germany","11","","","","1"
"Yes","2008","indirect migration background","West Germany","188","0.783077147751545","0.73278581251722","0.83336848298587","1"
"Yes","2008","indirect migration background","East Germany","10","","","","1"
"No","2009","no migration background","West Germany","1067","0.27653812761741","0.262396537943196","0.290679717291623","2"
"No","2009","no migration background","East Germany","478","0.326509689428839","0.303179624607868","0.34983975424981","2"
"No","2009","direct migration background","West Germany","135","0.349924152974304","0.302344265132386","0.397504040816222","2"
"No","2009","direct migration background","East Germany","4","","","","2"
"No","2009","indirect migration background","West Germany","74","0.307409322956582","0.250326154886924","0.36449249102624","2"
"No","2009","indirect migration background","East Germany","2","","","","2"
"Yes","2009","no migration background","West Germany","2776","0.72346187238259","0.709320282708377","0.737603462056804","1"
"Yes","2009","no migration background","East Germany","1074","0.673490310571161","0.65016024575019","0.696820375392131","1"
"Yes","2009","direct migration background","West Germany","251","0.650075847025696","0.602495959183778","0.697655734867614","1"
"Yes","2009","direct migration background","East Germany","8","","","","1"
"Yes","2009","indirect migration background","West Germany","177","0.692590677043418","0.63550750897376","0.749673845113076","1"
"Yes","2009","indirect migration background","East Germany","6","","","","1"
"No","2010","no migration background","West Germany","1631","0.31519490599545","0.302743296904642","0.327646515086257","2"
"No","2010","no migration background","East Germany","610","0.34788810210989","0.3264034687842","0.369372735435581","2"
"No","2010","direct migration background","West Germany","225","0.310376507455322","0.276838299960726","0.343914714949919","2"
"No","2010","direct migration background","East Germany","6","","","","2"
"No","2010","indirect migration background","West Germany","109","0.303475173003213","0.256308901872847","0.350641444133579","2"
"No","2010","indirect migration background","East Germany","6","","","","2"
"Yes","2010","no migration background","West Germany","3717","0.68480509400455","0.672353484913742","0.697256703095358","1"
"Yes","2010","no migration background","East Germany","1278","0.65211189789011","0.63062726456442","0.673596531215801","1"
"Yes","2010","direct migration background","West Germany","506","0.689623492544678","0.656085285050081","0.723161700039274","1"
"Yes","2010","direct migration background","East Germany","14","","","","1"
"Yes","2010","indirect migration background","West Germany","256","0.696524826996788","0.649358555866422","0.743691098127154","1"
"Yes","2010","indirect migration background","East Germany","14","","","","1"
"No","2011","no migration background","West Germany","1620","0.252466123758704","0.241917206732979","0.263015040784429","2"
"No","2011","no migration background","East Germany","661","0.298359596915257","0.279322674477095","0.317396519353418","2"
"No","2011","direct migration background","West Germany","224","0.246107288814499","0.217792441710775","0.274422135918222","2"
"No","2011","direct migration background","East Germany","7","","","","2"
"No","2011","indirect migration background","West Germany","110","0.232082397864241","0.193503697958158","0.270661097770324","2"
"No","2011","indirect migration background","East Germany","8","","","","2"
"Yes","2011","no migration background","West Germany","4895","0.747533876241296","0.736984959215571","0.758082793267021","1"
"Yes","2011","no migration background","East Germany","1558","0.701640403084743","0.682603480646582","0.720677325522905","1"
"Yes","2011","direct migration background","West Germany","665","0.753892711185501","0.725577864081778","0.782207558289225","1"
"Yes","2011","direct migration background","East Germany","17","","","","1"
"Yes","2011","indirect migration background","West Germany","350","0.767917602135759","0.729338902229676","0.806496302041842","1"
"Yes","2011","indirect migration background","East Germany","25","","","","1"
"No","2012","no migration background","West Germany","1810","0.269292701059569","0.25865350290692","0.279931899212219","2"
"No","2012","no migration background","East Germany","675","0.323872824537294","0.304340890701765","0.343404758372823","2"
"No","2012","direct migration background","West Germany","293","0.333483904197023","0.303068751580064","0.363899056813982","2"
"No","2012","direct migration background","East Germany","10","","","","2"
"No","2012","indirect migration background","West Germany","134","0.217976922477573","0.181494759208308","0.254459085746838","2"
"No","2012","indirect migration background","East Germany","5","","","","2"
"Yes","2012","no migration background","West Germany","4868","0.730707298940431","0.720068100787781","0.74134649709308","1"
"Yes","2012","no migration background","East Germany","1530","0.676127175462706","0.656595241627177","0.695659109298235","1"
"Yes","2012","direct migration background","West Germany","630","0.666516095802977","0.636100943186018","0.696931248419936","1"
"Yes","2012","direct migration background","East Germany","17","","","","1"
"Yes","2012","indirect migration background","West Germany","358","0.782023077522427","0.745540914253162","0.818505240791692","1"
"Yes","2012","indirect migration background","East Germany","24","","","","1"
"No","2013","no migration background","West Germany","1629","0.266440316442649","0.255425160848401","0.277455472036897","2"
"No","2013","no migration background","East Germany","583","0.294949189017177","0.275043068065415","0.314855309968939","2"
"No","2013","direct migration background","West Germany","572","0.299033406787226","0.278522463253957","0.319544350320494","2"
"No","2013","direct migration background","East Germany","36","0.288828349526478","0.201724259385721","0.375932439667235","2"
"No","2013","indirect migration background","West Germany","192","0.228615298011652","0.198399484363198","0.258831111660106","2"
"No","2013","indirect migration background","East Germany","13","","","","2"
"Yes","2013","no migration background","West Germany","4559","0.733559683557351","0.722544527963103","0.744574839151599","1"
"Yes","2013","no migration background","East Germany","1433","0.705050810982823","0.685144690031061","0.724956931934585","1"
"Yes","2013","direct migration background","West Germany","1342","0.700966593212774","0.680455649679506","0.721477536746043","1"
"Yes","2013","direct migration background","East Germany","68","0.711171650473522","0.624067560332765","0.798275740614279","1"
"Yes","2013","indirect migration background","West Germany","550","0.771384701988348","0.741168888339894","0.801600515636802","1"
"Yes","2013","indirect migration background","East Germany","31","0.618169531171336","0.474617004527829","0.761722057814843","1"
"No","2014","no migration background","West Germany","1583","0.262063330892233","0.250764419923584","0.273362241860883","2"
"No","2014","no migration background","East Germany","541","0.311130208985809","0.290096562770506","0.332163855201113","2"
"No","2014","direct migration background","West Germany","469","0.28628043671861","0.263526417192521","0.309034456244699","2"
"No","2014","direct migration background","East Germany","21","","","","2"
"No","2014","indirect migration background","West Germany","166","0.227425841646628","0.195201696377034","0.259649986916222","2"
"No","2014","indirect migration background","East Germany","13","","","","2"
"Yes","2014","no migration background","West Germany","4236","0.737936669107767","0.726637758139117","0.749235580076416","1"
"Yes","2014","no migration background","East Germany","1320","0.688869791014191","0.667836144798887","0.709903437229494","1"
"Yes","2014","direct migration background","West Germany","1047","0.71371956328139","0.690965543755301","0.736473582807479","1"
"Yes","2014","direct migration background","East Germany","70","0.85601693690732","0.78388555079238","0.928148323022259","1"
"Yes","2014","indirect migration background","West Germany","484","0.772574158353372","0.740350013083778","0.804798303622966","1"
"Yes","2014","indirect migration background","East Germany","33","0.81317856684799","0.700543016212831","0.925814117483149","1"
"No","2015","no migration background","West Germany","1171","0.226281319885915","0.215133624580456","0.237429015191374","2"
"No","2015","no migration background","East Germany","440","0.274597194714786","0.253511140475109","0.295683248954463","2"
"No","2015","direct migration background","West Germany","449","0.242244941113945","0.221659356248724","0.262830525979166","2"
"No","2015","direct migration background","East Germany","27","","","","2"
"No","2015","indirect migration background","West Germany","146","0.230296122440539","0.196002452851942","0.264589792029136","2"
"No","2015","indirect migration background","East Germany","15","","","","2"
"Yes","2015","no migration background","West Germany","4241","0.773718680114085","0.762570984808626","0.784866375419544","1"
"Yes","2015","no migration background","East Germany","1281","0.725402805285214","0.704316751045537","0.746488859524891","1"
"Yes","2015","direct migration background","West Germany","1215","0.757755058886055","0.737169474020834","0.778340643751276","1"
"Yes","2015","direct migration background","East Germany","79","0.802758957648135","0.727008304285421","0.87850961101085","1"
"Yes","2015","indirect migration background","West Germany","433","0.769703877559461","0.735410207970864","0.803997547148058","1"
"Yes","2015","indirect migration background","East Germany","30","0.69637031226546","0.562021424752297","0.830719199778624","1"
"No","2016","no migration background","West Germany","1175","0.225271136992613","0.21394800907147","0.236594264913756","2"
"No","2016","no migration background","East Germany","435","0.271412336329897","0.250148131418318","0.292676541241477","2"
"No","2016","direct migration background","West Germany","374","0.248121478936132","0.22587456217282","0.270368395699443","2"
"No","2016","direct migration background","East Germany","28","","","","2"
"No","2016","indirect migration background","West Germany","132","0.234051171859722","0.198569039154933","0.269533304564512","2"
"No","2016","indirect migration background","East Germany","12","","","","2"
"Yes","2016","no migration background","West Germany","4054","0.774728863007387","0.763405735086244","0.78605199092853","1"
"Yes","2016","no migration background","East Germany","1245","0.728587663670102","0.707323458758523","0.749851868581682","1"
"Yes","2016","direct migration background","West Germany","1074","0.751878521063868","0.729631604300557","0.77412543782718","1"
"Yes","2016","direct migration background","East Germany","72","0.672940263702578","0.580990654208724","0.764889873196433","1"
"Yes","2016","indirect migration background","West Germany","415","0.765948828140278","0.730466695435488","0.801430960845067","1"
"Yes","2016","indirect migration background","East Germany","36","0.812543935109296","0.702135908672577","0.922951961546015","1"
"No","2017","no migration background","West Germany","1330","0.235967405845748","0.225058817559197","0.246875994132299","2"
"No","2017","no migration background","East Germany","483","0.242969348523778","0.223308942981104","0.262629754066451","2"
"No","2017","direct migration background","West Germany","358","0.237035859047953","0.214893583294853","0.259178134801053","2"
"No","2017","direct migration background","East Germany","46","0.240126639430885","0.164015856918649","0.316237421943122","2"
"No","2017","indirect migration background","West Germany","139","0.255909423340428","0.220086031408667","0.291732815272188","2"
"No","2017","indirect migration background","East Germany","9","","","","2"
"Yes","2017","no migration background","West Germany","4490","0.764032594154252","0.753124005867702","0.774941182440803","1"
"Yes","2017","no migration background","East Germany","1345","0.757030651476222","0.737370245933549","0.776691057018896","1"
"Yes","2017","direct migration background","West Germany","1059","0.762964140952047","0.740821865198947","0.785106416705147","1"
"Yes","2017","direct migration background","East Germany","75","0.759873360569115","0.683762578056878","0.835984143081351","1"
"Yes","2017","indirect migration background","West Germany","431","0.744090576659572","0.708267184727812","0.779913968591333","1"
"Yes","2017","indirect migration background","East Germany","31","0.813652053761014","0.69298192859559","0.934322178926439","1"
"No","2018","no migration background","West Germany","1478","0.24271536948087","0.231793370506771","0.253637368454969","2"
"No","2018","no migration background","East Germany","560","0.280862570472149","0.260471259342639","0.301253881601659","2"
"No","2018","direct migration background","West Germany","483","0.264276816329707","0.243007119077494","0.285546513581919","2"
"No","2018","direct migration background","East Germany","46","0.217280110318621","0.149450848563689","0.285109372073554","2"
"No","2018","indirect migration background","West Germany","137","0.19332997334684","0.162016947135177","0.224642999558504","2"
"No","2018","indirect migration background","East Germany","22","","","","2"
"Yes","2018","no migration background","West Germany","4441","0.75728463051913","0.746362631545031","0.768206629493229","1"
"Yes","2018","no migration background","East Germany","1306","0.719137429527851","0.698746118398341","0.739528740657361","1"
"Yes","2018","direct migration background","East Germany","96","0.782719889681379","0.714890627926446","0.850549151436311","1"
"Yes","2018","direct migration background","West Germany","1168","0.735723183670293","0.714453486418081","0.756992880922505","1"
"Yes","2018","indirect migration background","West Germany","474","0.80667002665316","0.775357000441496","0.837983052864823","1"
"Yes","2018","indirect migration background","East Germany","32","0.548851204765312","0.416130578288449","0.681571831242176","1"
"No","2019","no migration background","West Germany","1246","0.220037713947738","0.208987344675279","0.231088083220196","2"
"No","2019","no migration background","East Germany","433","0.266374091794165","0.245656631872783","0.287091551715547","2"
"No","2019","direct migration background","West Germany","374","0.235956501809643","0.213715257031684","0.258197746587602","2"
"No","2019","direct migration background","East Germany","28","","","","2"
"No","2019","indirect migration background","West Germany","139","0.253154930347833","0.217012350482624","0.289297510213041","2"
"No","2019","indirect migration background","East Germany","15","","","","2"
"Yes","2019","no migration background","West Germany","4153","0.779962286052262","0.768911916779804","0.791012655324721","1"
