"plb0196_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1988","no degree/no degree yet","indirect migration background","","","",""
"No","1988","lower secondary degree","no migration background","1515","1","1","1"
"No","1988","lower secondary degree","direct migration background","281","1","1","1"
"No","1988","lower secondary degree","indirect migration background","47","1","1","1"
"No","1988","secondary school degree","no migration background","663","1","1","1"
"No","1988","secondary school degree","direct migration background","68","1","1","1"
"No","1988","secondary school degree","indirect migration background","17","","",""
"No","1988","college entrance qualification","no migration background","391","1","1","1"
"No","1988","college entrance qualification","direct migration background","43","1","1","1"
"No","1988","college entrance qualification","indirect migration background","7","","",""
"No","1988","Other degree","no migration background","19","","",""
"No","1988","Other degree","direct migration background","555","1","1","1"
"No","1988","Other degree","indirect migration background","3","","",""
"No","1988","no degree/no degree yet","no migration background","17","","",""
"No","1988","no degree/no degree yet","direct migration background","301","1","1","1"
"No","1988","no degree/no degree yet","indirect migration background","6","","",""
"Yes","1989","lower secondary degree","no migration background","","","",""
"Yes","1989","lower secondary degree","direct migration background","","","",""
"Yes","1989","lower secondary degree","indirect migration background","","","",""
"Yes","1989","secondary school degree","no migration background","","","",""
"Yes","1989","secondary school degree","direct migration background","","","",""
"Yes","1989","secondary school degree","indirect migration background","","","",""
"Yes","1989","college entrance qualification","no migration background","","","",""
"Yes","1989","college entrance qualification","direct migration background","","","",""
"Yes","1989","college entrance qualification","indirect migration background","","","",""
"Yes","1989","Other degree","no migration background","","","",""
"Yes","1989","Other degree","direct migration background","","","",""
"Yes","1989","Other degree","indirect migration background","","","",""
"Yes","1989","no degree/no degree yet","no migration background","","","",""
"Yes","1989","no degree/no degree yet","direct migration background","","","",""
"Yes","1989","no degree/no degree yet","indirect migration background","","","",""
"No","1989","lower secondary degree","no migration background","1444","1","1","1"
"No","1989","lower secondary degree","direct migration background","285","1","1","1"
"No","1989","lower secondary degree","indirect migration background","49","1","1","1"
"No","1989","secondary school degree","no migration background","611","1","1","1"
"No","1989","secondary school degree","direct migration background","63","1","1","1"
"No","1989","secondary school degree","indirect migration background","23","","",""
"No","1989","college entrance qualification","no migration background","392","1","1","1"
"No","1989","college entrance qualification","direct migration background","43","1","1","1"
"No","1989","college entrance qualification","indirect migration background","6","","",""
"No","1989","Other degree","no migration background","17","","",""
"No","1989","Other degree","direct migration background","523","1","1","1"
"No","1989","Other degree","indirect migration background","6","","",""
"No","1989","no degree/no degree yet","no migration background","23","","",""
"No","1989","no degree/no degree yet","direct migration background","274","1","1","1"
"No","1989","no degree/no degree yet","indirect migration background","10","","",""
"Yes","1990","lower secondary degree","no migration background","","","",""
"Yes","1990","lower secondary degree","direct migration background","","","",""
"Yes","1990","lower secondary degree","indirect migration background","","","",""
"Yes","1990","secondary school degree","no migration background","","","",""
"Yes","1990","secondary school degree","direct migration background","","","",""
"Yes","1990","secondary school degree","indirect migration background","","","",""
"Yes","1990","college entrance qualification","no migration background","","","",""
"Yes","1990","college entrance qualification","direct migration background","","","",""
"Yes","1990","college entrance qualification","indirect migration background","","","",""
"Yes","1990","Other degree","no migration background","","","",""
"Yes","1990","Other degree","direct migration background","","","",""
"Yes","1990","Other degree","indirect migration background","","","",""
"Yes","1990","no degree/no degree yet","no migration background","","","",""
"Yes","1990","no degree/no degree yet","direct migration background","","","",""
"Yes","1990","no degree/no degree yet","indirect migration background","","","",""
"No","1990","lower secondary degree","no migration background","1339","1","1","1"
"No","1990","lower secondary degree","direct migration background","277","1","1","1"
"No","1990","lower secondary degree","indirect migration background","69","1","1","1"
"No","1990","secondary school degree","no migration background","591","1","1","1"
"No","1990","secondary school degree","direct migration background","69","1","1","1"
"No","1990","secondary school degree","indirect migration background","26","","",""
"No","1990","college entrance qualification","no migration background","371","1","1","1"
"No","1990","college entrance qualification","direct migration background","40","1","1","1"
"No","1990","college entrance qualification","indirect migration background","9","","",""
"No","1990","Other degree","no migration background","20","","",""
"No","1990","Other degree","direct migration background","501","1","1","1"
"No","1990","Other degree","indirect migration background","2","","",""
"No","1990","no degree/no degree yet","no migration background","22","","",""
"No","1990","no degree/no degree yet","direct migration background","271","1","1","1"
"No","1990","no degree/no degree yet","indirect migration background","4","","",""
"Yes","1991","lower secondary degree","no migration background","","","",""
"Yes","1991","lower secondary degree","direct migration background","","","",""
"Yes","1991","lower secondary degree","indirect migration background","","","",""
"Yes","1991","secondary school degree","no migration background","","","",""
"Yes","1991","secondary school degree","direct migration background","","","",""
"Yes","1991","secondary school degree","indirect migration background","","","",""
"Yes","1991","college entrance qualification","no migration background","","","",""
"Yes","1991","college entrance qualification","direct migration background","","","",""
"Yes","1991","college entrance qualification","indirect migration background","","","",""
"Yes","1991","Other degree","no migration background","","","",""
"Yes","1991","Other degree","direct migration background","","","",""
"Yes","1991","Other degree","indirect migration background","","","",""
"Yes","1991","no degree/no degree yet","no migration background","","","",""
"Yes","1991","no degree/no degree yet","direct migration background","","","",""
"Yes","1991","no degree/no degree yet","indirect migration background","","","",""
"No","1991","lower secondary degree","no migration background","1919","1","1","1"
"No","1991","lower secondary degree","direct migration background","305","1","1","1"
"No","1991","lower secondary degree","indirect migration background","88","1","1","1"
"No","1991","secondary school degree","no migration background","1611","1","1","1"
"No","1991","secondary school degree","direct migration background","79","1","1","1"
"No","1991","secondary school degree","indirect migration background","24","","",""
"No","1991","college entrance qualification","no migration background","602","1","1","1"
"No","1991","college entrance qualification","direct migration background","50","1","1","1"
"No","1991","college entrance qualification","indirect migration background","14","","",""
"No","1991","Other degree","no migration background","36","1","1","1"
"No","1991","Other degree","direct migration background","504","1","1","1"
"No","1991","Other degree","indirect migration background","4","","",""
"No","1991","no degree/no degree yet","no migration background","31","1","1","1"
"No","1991","no degree/no degree yet","direct migration background","267","1","1","1"
"No","1991","no degree/no degree yet","indirect migration background","4","","",""
"Yes","1992","lower secondary degree","no migration background","","","",""
"Yes","1992","lower secondary degree","direct migration background","","","",""
"Yes","1992","lower secondary degree","indirect migration background","","","",""
"Yes","1992","secondary school degree","no migration background","","","",""
"Yes","1992","secondary school degree","direct migration background","","","",""
"Yes","1992","secondary school degree","indirect migration background","","","",""
"Yes","1992","college entrance qualification","no migration background","","","",""
"Yes","1992","college entrance qualification","direct migration background","","","",""
"Yes","1992","college entrance qualification","indirect migration background","","","",""
"Yes","1992","Other degree","no migration background","","","",""
"Yes","1992","Other degree","direct migration background","","","",""
"Yes","1992","Other degree","indirect migration background","","","",""
"Yes","1992","no degree/no degree yet","no migration background","","","",""
"Yes","1992","no degree/no degree yet","direct migration background","","","",""
"Yes","1992","no degree/no degree yet","indirect migration background","","","",""
"No","1992","lower secondary degree","no migration background","1693","1","1","1"
"No","1992","lower secondary degree","direct migration background","288","1","1","1"
"No","1992","lower secondary degree","indirect migration background","91","1","1","1"
"No","1992","secondary school degree","no migration background","1315","1","1","1"
"No","1992","secondary school degree","direct migration background","82","1","1","1"
"No","1992","secondary school degree","indirect migration background","34","1","1","1"
"No","1992","college entrance qualification","no migration background","550","1","1","1"
"No","1992","college entrance qualification","direct migration background","49","1","1","1"
"No","1992","college entrance qualification","indirect migration background","17","","",""
"No","1992","Other degree","no migration background","26","","",""
"No","1992","Other degree","direct migration background","496","1","1","1"
"No","1992","Other degree","indirect migration background","7","","",""
"No","1992","no degree/no degree yet","no migration background","35","1","1","1"
"No","1992","no degree/no degree yet","direct migration background","230","1","1","1"
"No","1992","no degree/no degree yet","indirect migration background","6","","",""
"Yes","1993","lower secondary degree","no migration background","","","",""
"Yes","1993","lower secondary degree","direct migration background","","","",""
"Yes","1993","lower secondary degree","indirect migration background","","","",""
"Yes","1993","secondary school degree","no migration background","","","",""
"Yes","1993","secondary school degree","direct migration background","","","",""
"Yes","1993","secondary school degree","indirect migration background","","","",""
"Yes","1993","college entrance qualification","no migration background","","","",""
"Yes","1993","college entrance qualification","direct migration background","","","",""
"Yes","1993","college entrance qualification","indirect migration background","","","",""
"Yes","1993","Other degree","no migration background","","","",""
"Yes","1993","Other degree","direct migration background","","","",""
"Yes","1993","Other degree","indirect migration background","","","",""
"Yes","1993","no degree/no degree yet","no migration background","","","",""
"Yes","1993","no degree/no degree yet","direct migration background","","","",""
"Yes","1993","no degree/no degree yet","indirect migration background","","","",""
"No","1993","lower secondary degree","no migration background","1586","1","1","1"
"No","1993","lower secondary degree","direct migration background","281","1","1","1"
"No","1993","lower secondary degree","indirect migration background","104","1","1","1"
"No","1993","secondary school degree","no migration background","1323","1","1","1"
"No","1993","secondary school degree","direct migration background","62","1","1","1"
"No","1993","secondary school degree","indirect migration background","44","1","1","1"
"No","1993","college entrance qualification","no migration background","560","1","1","1"
"No","1993","college entrance qualification","direct migration background","64","1","1","1"
"No","1993","college entrance qualification","indirect migration background","14","","",""
"No","1993","Other degree","no migration background","18","","",""
"No","1993","Other degree","direct migration background","493","1","1","1"
"No","1993","Other degree","indirect migration background","7","","",""
"No","1993","no degree/no degree yet","no migration background","31","1","1","1"
"No","1993","no degree/no degree yet","direct migration background","233","1","1","1"
"No","1993","no degree/no degree yet","indirect migration background","10","","",""
"Yes","1994","lower secondary degree","no migration background","","","",""
"Yes","1994","lower secondary degree","direct migration background","","","",""
"Yes","1994","lower secondary degree","indirect migration background","","","",""
"Yes","1994","secondary school degree","no migration background","","","",""
"Yes","1994","secondary school degree","direct migration background","","","",""
"Yes","1994","secondary school degree","indirect migration background","","","",""
"Yes","1994","college entrance qualification","no migration background","","","",""
"Yes","1994","college entrance qualification","direct migration background","","","",""
"Yes","1994","college entrance qualification","indirect migration background","","","",""
"Yes","1994","Other degree","no migration background","","","",""
"Yes","1994","Other degree","direct migration background","","","",""
"Yes","1994","Other degree","indirect migration background","","","",""
"Yes","1994","no degree/no degree yet","no migration background","","","",""
"Yes","1994","no degree/no degree yet","direct migration background","","","",""
"Yes","1994","no degree/no degree yet","indirect migration background","","","",""
"No","1994","lower secondary degree","no migration background","1437","1","1","1"
"No","1994","lower secondary degree","direct migration background","219","1","1","1"
"No","1994","lower secondary degree","indirect migration background","98","1","1","1"
"No","1994","secondary school degree","no migration background","1243","1","1","1"
"No","1994","secondary school degree","direct migration background","63","1","1","1"
"No","1994","secondary school degree","indirect migration background","46","1","1","1"
"No","1994","college entrance qualification","no migration background","587","1","1","1"
"No","1994","college entrance qualification","direct migration background","54","1","1","1"
"No","1994","college entrance qualification","indirect migration background","22","","",""
"No","1994","Other degree","no migration background","20","","",""
"No","1994","Other degree","direct migration background","406","1","1","1"
"No","1994","Other degree","indirect migration background","5","","",""
"No","1994","no degree/no degree yet","no migration background","23","","",""
"No","1994","no degree/no degree yet","direct migration background","217","1","1","1"
"No","1994","no degree/no degree yet","indirect migration background","7","","",""
"Yes","1995","lower secondary degree","no migration background","","","",""
"Yes","1995","lower secondary degree","direct migration background","","","",""
"Yes","1995","lower secondary degree","indirect migration background","","","",""
"Yes","1995","secondary school degree","no migration background","","","",""
"Yes","1995","secondary school degree","direct migration background","","","",""
"Yes","1995","secondary school degree","indirect migration background","","","",""
"Yes","1995","college entrance qualification","no migration background","","","",""
"Yes","1995","college entrance qualification","direct migration background","","","",""
"Yes","1995","college entrance qualification","indirect migration background","","","",""
"Yes","1995","Other degree","no migration background","","","",""
"Yes","1995","Other degree","direct migration background","","","",""
"Yes","1995","Other degree","indirect migration background","","","",""
"Yes","1995","no degree/no degree yet","no migration background","","","",""
"Yes","1995","no degree/no degree yet","direct migration background","","","",""
"Yes","1995","no degree/no degree yet","indirect migration background","","","",""
"No","1995","lower secondary degree","no migration background","1360","1","1","1"
"No","1995","lower secondary degree","direct migration background","220","1","1","1"
"No","1995","lower secondary degree","indirect migration background","92","1","1","1"
"No","1995","secondary school degree","no migration background","1270","1","1","1"
"No","1995","secondary school degree","direct migration background","68","1","1","1"
"No","1995","secondary school degree","indirect migration background","43","1","1","1"
"No","1995","college entrance qualification","no migration background","582","1","1","1"
"No","1995","college entrance qualification","direct migration background","67","1","1","1"
"No","1995","college entrance qualification","indirect migration background","20","","",""
"No","1995","Other degree","no migration background","29","","",""
"No","1995","Other degree","direct migration background","492","1","1","1"
"No","1995","Other degree","indirect migration background","6","","",""
"No","1995","no degree/no degree yet","no migration background","23","","",""
"No","1995","no degree/no degree yet","direct migration background","175","1","1","1"
"No","1995","no degree/no degree yet","indirect migration background","6","","",""
"Yes","1996","lower secondary degree","no migration background","","","",""
"Yes","1996","lower secondary degree","direct migration background","","","",""
"Yes","1996","lower secondary degree","indirect migration background","","","",""
"Yes","1996","secondary school degree","no migration background","","","",""
"Yes","1996","secondary school degree","direct migration background","","","",""
"Yes","1996","secondary school degree","indirect migration background","","","",""
"Yes","1996","college entrance qualification","no migration background","","","",""
"Yes","1996","college entrance qualification","direct migration background","","","",""
"Yes","1996","college entrance qualification","indirect migration background","","","",""
"Yes","1996","Other degree","no migration background","","","",""
"Yes","1996","Other degree","direct migration background","","","",""
"Yes","1996","Other degree","indirect migration background","","","",""
"Yes","1996","no degree/no degree yet","no migration background","","","",""
"Yes","1996","no degree/no degree yet","direct migration background","","","",""
"Yes","1996","no degree/no degree yet","indirect migration background","","","",""
"No","1996","lower secondary degree","no migration background","1303","1","1","1"
"No","1996","lower secondary degree","direct migration background","219","1","1","1"
"No","1996","lower secondary degree","indirect migration background","100","1","1","1"
"No","1996","secondary school degree","no migration background","1265","1","1","1"
"No","1996","secondary school degree","direct migration background","54","1","1","1"
"No","1996","secondary school degree","indirect migration background","49","1","1","1"
"No","1996","college entrance qualification","no migration background","589","1","1","1"
"No","1996","college entrance qualification","direct migration background","56","1","1","1"
"No","1996","college entrance qualification","indirect migration background","19","","",""
"No","1996","Other degree","no migration background","24","","",""
"No","1996","Other degree","direct migration background","444","1","1","1"
"No","1996","Other degree","indirect migration background","5","","",""
"No","1996","no degree/no degree yet","no migration background","25","","",""
"No","1996","no degree/no degree yet","direct migration background","162","1","1","1"
"No","1996","no degree/no degree yet","indirect migration background","2","","",""
"Yes","1997","lower secondary degree","no migration background","","","",""
"Yes","1997","lower secondary degree","direct migration background","","","",""
"Yes","1997","lower secondary degree","indirect migration background","","","",""
"Yes","1997","secondary school degree","no migration background","","","",""
"Yes","1997","secondary school degree","direct migration background","","","",""
"Yes","1997","secondary school degree","indirect migration background","","","",""
"Yes","1997","college entrance qualification","no migration background","","","",""
"Yes","1997","college entrance qualification","direct migration background","","","",""
"Yes","1997","college entrance qualification","indirect migration background","","","",""
"Yes","1997","Other degree","no migration background","","","",""
"Yes","1997","Other degree","direct migration background","","","",""
"Yes","1997","Other degree","indirect migration background","","","",""
"Yes","1997","no degree/no degree yet","no migration background","","","",""
"Yes","1997","no degree/no degree yet","direct migration background","","","",""
"Yes","1997","no degree/no degree yet","indirect migration background","","","",""
"No","1997","lower secondary degree","no migration background","427","1","1","1"
"No","1997","lower secondary degree","direct migration background","56","1","1","1"
"No","1997","lower secondary degree","indirect migration background","29","","",""
"No","1997","secondary school degree","no migration background","469","1","1","1"
"No","1997","secondary school degree","direct migration background","13","","",""
"No","1997","secondary school degree","indirect migration background","17","","",""
"No","1997","college entrance qualification","no migration background","191","1","1","1"
"No","1997","college entrance qualification","direct migration background","17","","",""
"No","1997","college entrance qualification","indirect migration background","3","","",""
"No","1997","Other degree","no migration background","7","","",""
"No","1997","Other degree","direct migration background","105","1","1","1"
"No","1997","Other degree","indirect migration background","2","","",""
"No","1997","no degree/no degree yet","no migration background","7","","",""
"No","1997","no degree/no degree yet","direct migration background","34","1","1","1"
"No","1997","no degree/no degree yet","indirect migration background","2","","",""
"Yes","1998","lower secondary degree","no migration background","","","",""
"Yes","1998","lower secondary degree","direct migration background","","","",""
"Yes","1998","lower secondary degree","indirect migration background","","","",""
"Yes","1998","secondary school degree","no migration background","","","",""
"Yes","1998","secondary school degree","direct migration background","","","",""
"Yes","1998","secondary school degree","indirect migration background","","","",""
"Yes","1998","college entrance qualification","no migration background","","","",""
"Yes","1998","college entrance qualification","direct migration background","","","",""
"Yes","1998","college entrance qualification","indirect migration background","","","",""
"Yes","1998","Other degree","no migration background","","","",""
"Yes","1998","Other degree","direct migration background","","","",""
"Yes","1998","Other degree","indirect migration background","","","",""
"Yes","1998","no degree/no degree yet","no migration background","","","",""
"Yes","1998","no degree/no degree yet","direct migration background","","","",""
"Yes","1998","no degree/no degree yet","indirect migration background","","","",""
"No","1998","lower secondary degree","no migration background","458","1","1","1"
"No","1998","lower secondary degree","direct migration background","54","1","1","1"
"No","1998","lower secondary degree","indirect migration background","23","","",""
"No","1998","secondary school degree","no migration background","514","1","1","1"
"No","1998","secondary school degree","direct migration background","17","","",""
"No","1998","secondary school degree","indirect migration background","15","","",""
"No","1998","college entrance qualification","no migration background","202","1","1","1"
"No","1998","college entrance qualification","direct migration background","23","","",""
"No","1998","college entrance qualification","indirect migration background","4","","",""
"No","1998","Other degree","no migration background","10","","",""
"No","1998","Other degree","direct migration background","80","1","1","1"
"No","1998","Other degree","indirect migration background","2","","",""
"No","1998","no degree/no degree yet","no migration background","11","","",""
"No","1998","no degree/no degree yet","direct migration background","23","","",""
"No","1998","no degree/no degree yet","indirect migration background","","","",""
"Yes","1999","lower secondary degree","no migration background","","","",""
"Yes","1999","lower secondary degree","direct migration background","","","",""
"Yes","1999","lower secondary degree","indirect migration background","","","",""
"Yes","1999","secondary school degree","no migration background","","","",""
"Yes","1999","secondary school degree","direct migration background","","","",""
"Yes","1999","secondary school degree","indirect migration background","","","",""
"Yes","1999","college entrance qualification","no migration background","","","",""
"Yes","1999","college entrance qualification","direct migration background","","","",""
"Yes","1999","college entrance qualification","indirect migration background","","","",""
"Yes","1999","Other degree","no migration background","","","",""
"Yes","1999","Other degree","direct migration background","","","",""
"Yes","1999","Other degree","indirect migration background","","","",""
"Yes","1999","no degree/no degree yet","no migration background","","","",""
"Yes","1999","no degree/no degree yet","direct migration background","","","",""
"Yes","1999","no degree/no degree yet","indirect migration background","","","",""
"No","1999","lower secondary degree","no migration background","413","1","1","1"
"No","1999","lower secondary degree","direct migration background","51","1","1","1"
"No","1999","lower secondary degree","indirect migration background","28","","",""
"No","1999","secondary school degree","no migration background","529","1","1","1"
"No","1999","secondary school degree","direct migration background","12","","",""
"No","1999","secondary school degree","indirect migration background","15","","",""
"No","1999","college entrance qualification","no migration background","204","1","1","1"
"No","1999","college entrance qualification","direct migration background","11","","",""
"No","1999","college entrance qualification","indirect migration background","2","","",""
"No","1999","Other degree","no migration background","7","","",""
"No","1999","Other degree","direct migration background","65","1","1","1"
"No","1999","Other degree","indirect migration background","","","",""
"No","1999","no degree/no degree yet","no migration background","5","","",""
"No","1999","no degree/no degree yet","direct migration background","25","","",""
"No","1999","no degree/no degree yet","indirect migration background","2","","",""
"Yes","2000","lower secondary degree","no migration background","","","",""
"Yes","2000","lower secondary degree","direct migration background","","","",""
"Yes","2000","lower secondary degree","indirect migration background","","","",""
"Yes","2000","secondary school degree","no migration background","","","",""
"Yes","2000","secondary school degree","direct migration background","","","",""
"Yes","2000","secondary school degree","indirect migration background","","","",""
"Yes","2000","college entrance qualification","no migration background","","","",""
"Yes","2000","college entrance qualification","direct migration background","","","",""
"Yes","2000","college entrance qualification","indirect migration background","","","",""
"Yes","2000","Other degree","no migration background","","","",""
"Yes","2000","Other degree","direct migration background","","","",""
"Yes","2000","Other degree","indirect migration background","","","",""
"Yes","2000","no degree/no degree yet","no migration background","","","",""
"Yes","2000","no degree/no degree yet","direct migration background","","","",""
"Yes","2000","no degree/no degree yet","indirect migration background","","","",""
"No","2000","lower secondary degree","no migration background","728","1","1","1"
"No","2000","lower secondary degree","direct migration background","101","1","1","1"
"No","2000","lower secondary degree","indirect migration background","32","1","1","1"
"No","2000","secondary school degree","no migration background","921","1","1","1"
"No","2000","secondary school degree","direct migration background","35","1","1","1"
"No","2000","secondary school degree","indirect migration background","27","","",""
"No","2000","college entrance qualification","no migration background","456","1","1","1"
"No","2000","college entrance qualification","direct migration background","42","1","1","1"
"No","2000","college entrance qualification","indirect migration background","14","","",""
"No","2000","Other degree","no migration background","8","","",""
"No","2000","Other degree","direct migration background","126","1","1","1"
"No","2000","Other degree","indirect migration background","","","",""
"No","2000","no degree/no degree yet","no migration background","14","","",""
"No","2000","no degree/no degree yet","direct migration background","15","","",""
"No","2000","no degree/no degree yet","indirect migration background","","","",""
"Yes","2001","lower secondary degree","no migration background","","","",""
"Yes","2001","lower secondary degree","direct migration background","","","",""
"Yes","2001","lower secondary degree","indirect migration background","","","",""
"Yes","2001","secondary school degree","no migration background","","","",""
"Yes","2001","secondary school degree","direct migration background","","","",""
"Yes","2001","secondary school degree","indirect migration background","","","",""
"Yes","2001","college entrance qualification","no migration background","","","",""
"Yes","2001","college entrance qualification","direct migration background","","","",""
"Yes","2001","college entrance qualification","indirect migration background","","","",""
"Yes","2001","Other degree","no migration background","","","",""
"Yes","2001","Other degree","direct migration background","","","",""
"Yes","2001","Other degree","indirect migration background","","","",""
"Yes","2001","no degree/no degree yet","no migration background","","","",""
"Yes","2001","no degree/no degree yet","direct migration background","","","",""
"Yes","2001","no degree/no degree yet","indirect migration background","","","",""
"No","2001","lower secondary degree","no migration background","691","1","1","1"
"No","2001","lower secondary degree","direct migration background","75","1","1","1"
"No","2001","lower secondary degree","indirect migration background","42","1","1","1"
"No","2001","secondary school degree","no migration background","828","1","1","1"
"No","2001","secondary school degree","direct migration background","28","","",""
"No","2001","secondary school degree","indirect migration background","29","","",""
"No","2001","college entrance qualification","no migration background","463","1","1","1"
"No","2001","college entrance qualification","direct migration background","27","","",""
"No","2001","college entrance qualification","indirect migration background","20","","",""
"No","2001","Other degree","no migration background","4","","",""
"No","2001","Other degree","direct migration background","120","1","1","1"
"No","2001","Other degree","indirect migration background","2","","",""
"No","2001","no degree/no degree yet","no migration background","11","","",""
"No","2001","no degree/no degree yet","direct migration background","10","","",""
"No","2001","no degree/no degree yet","indirect migration background","","","",""
"Yes","2002","lower secondary degree","no migration background","1096","0.628854724298285","0.605963436864473","0.651746011732097"
"Yes","2002","lower secondary degree","direct migration background","114","0.579762292258815","0.507453007182381","0.652071577335249"
"Yes","2002","lower secondary degree","indirect migration background","52","0.628102521847899","0.522194225305928","0.734010818389871"
"Yes","2002","secondary school degree","no migration background","1970","0.707088242488413","0.690264489686635","0.72391199529019"
"Yes","2002","secondary school degree","direct migration background","65","0.648149218535613","0.552621537477541","0.743676899593686"
"Yes","2002","secondary school degree","indirect migration background","68","0.682727606660259","0.586573749417922","0.778881463902596"
"Yes","2002","college entrance qualification","no migration background","1853","0.777838543121432","0.761127152637936","0.794549933604928"
"Yes","2002","college entrance qualification","direct migration background","82","0.702213407406303","0.619353911098796","0.78507290371381"
"Yes","2002","college entrance qualification","indirect migration background","57","0.670961208753157","0.566687925972825","0.775234491533489"
"Yes","2002","Other degree","no migration background","8","","",""
"Yes","2002","Other degree","direct migration background","183","0.602886596034027","0.546955991549452","0.658817200518602"
"Yes","2002","Other degree","indirect migration background","1","","",""
"Yes","2002","no degree/no degree yet","no migration background","22","","",""
"Yes","2002","no degree/no degree yet","direct migration background","14","","",""
"Yes","2002","no degree/no degree yet","indirect migration background","1","","",""
"No","2002","lower secondary degree","no migration background","615","0.371145275701715","0.348253988267903","0.394036563135527"
"No","2002","lower secondary degree","direct migration background","65","0.420237707741185","0.347928422664751","0.492546992817619"
"No","2002","lower secondary degree","indirect migration background","28","","",""
"No","2002","secondary school degree","no migration background","841","0.292911757511587","0.276088004709809","0.309735510313365"
"No","2002","secondary school degree","direct migration background","31","0.351850781464387","0.256323100406314","0.447378462522459"
"No","2002","secondary school degree","indirect migration background","22","","",""
"No","2002","college entrance qualification","no migration background","524","0.222161456878568","0.205450066395072","0.238872847362064"
"No","2002","college entrance qualification","direct migration background","35","0.297786592593697","0.21492709628619","0.380646088901204"
"No","2002","college entrance qualification","indirect migration background","21","","",""
"No","2002","Other degree","no migration background","3","","",""
